a28a78c26989ecea0afc7be1469635b7d430c3e4045b70784694fc9c432b4c22,4c8cafdcefcefa69a9f4885cfeabac749b9be910f2ba0481e5ea253140cde71c,b2ec24f1f6530225de328a2fbe94dda957003049c8d6bcc6f790a7ab66a18670,3fd90cedd8a69c7afd416ae594fd0b903f87ec300e29701e04fdfd6a1ef2c44e,5c2625e1bcb4f83333b6a51d44c745297a83d8967647afbe4808ae475bc1c43c
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001009","12","49"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001009","11","50"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001009","17","51"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001009","boss_def_lower_limit","52"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001009","boss_magic_def_lower_limit","53"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001009","9","54"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001010","12","55"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001010","11","56"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001010","17","57"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001010","boss_def_lower_limit","58"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001010","boss_magic_def_lower_limit","59"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001010","9","60"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","81001010","boss_tp_down_cut","61"
"バトル開始時、すべてのキャラに火傷状態を付与する。","火傷付与","81001010","1","62"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001011","12","63"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001011","11","64"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001011","17","65"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001011","boss_def_lower_limit","66"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001011","boss_magic_def_lower_limit","67"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001011","9","68"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001012","12","69"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001012","11","70"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001012","17","71"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001012","boss_def_lower_limit","72"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001012","boss_magic_def_lower_limit","73"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001012","9","74"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001013","12","75"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001013","11","76"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001013","17","77"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001013","boss_def_lower_limit","78"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001013","boss_magic_def_lower_limit","79"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001013","9","80"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001014","12","81"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001014","11","82"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001014","17","83"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001014","boss_def_lower_limit","84"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001014","boss_magic_def_lower_limit","85"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001014","9","86"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001015","12","87"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001015","11","88"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001015","17","89"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001015","boss_def_lower_limit","90"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001015","boss_magic_def_lower_limit","91"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001015","9","92"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001016","12","93"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001016","11","94"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001016","17","95"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001016","boss_def_lower_limit","96"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001016","boss_magic_def_lower_limit","97"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001016","9","98"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001017","12","99"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001017","11","100"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001017","17","101"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001017","boss_def_lower_limit","102"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001017","boss_magic_def_lower_limit","103"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001017","9","104"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001018","12","105"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001018","11","106"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001018","17","107"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001018","boss_def_lower_limit","108"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001018","boss_magic_def_lower_limit","109"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001018","9","110"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001019","12","111"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001019","11","112"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001019","17","113"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001019","boss_def_lower_limit","114"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001019","boss_magic_def_lower_limit","115"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001019","9","116"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001020","12","117"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001020","11","118"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001020","17","119"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001020","boss_def_lower_limit","120"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001020","boss_magic_def_lower_limit","121"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001020","9","122"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","81001020","boss_tp_down_cut","123"
"バトル開始時、すべてのキャラの物理防御力を大ダウンさせる。","物理防御力ダウン","81001020","7","124"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001021","12","125"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001021","11","126"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001021","17","127"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001021","boss_def_lower_limit","128"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001021","boss_magic_def_lower_limit","129"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001021","9","130"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001022","12","131"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001022","11","132"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001022","17","133"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001022","boss_def_lower_limit","134"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001022","boss_magic_def_lower_limit","135"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001022","9","136"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001023","12","137"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001023","11","138"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001023","17","139"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001023","boss_def_lower_limit","140"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001023","boss_magic_def_lower_limit","141"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001023","9","142"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001024","12","143"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001024","11","144"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001024","17","145"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001024","boss_def_lower_limit","146"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001024","boss_magic_def_lower_limit","147"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001024","9","148"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001025","12","149"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001025","11","150"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001025","17","151"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001025","boss_def_lower_limit","152"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001025","boss_magic_def_lower_limit","153"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001025","9","154"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001026","12","155"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001026","11","156"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001026","17","157"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001026","boss_def_lower_limit","158"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001026","boss_magic_def_lower_limit","159"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001026","9","160"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001027","12","161"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001027","11","162"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001027","17","163"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001027","boss_def_lower_limit","164"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001027","boss_magic_def_lower_limit","165"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001027","9","166"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001028","12","167"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001028","11","168"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001028","17","169"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001028","boss_def_lower_limit","170"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001028","boss_magic_def_lower_limit","171"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001028","9","172"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001029","12","173"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001029","11","174"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001029","17","175"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001029","boss_def_lower_limit","176"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001029","boss_magic_def_lower_limit","177"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","81001029","9","178"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","81001030","12","179"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","深域モンスター","81001030","11","180"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","81001030","17","181"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","81001030","boss_def_lower_limit","182"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","81001030","boss_magic_def_lower_limit","183"
