542956fb1202f86292abf8bd3a45473b00dfe5dcfaf8ce1d4912a1e483c26e92,15ab128832a826294bdd74cefe2a0dae6b502c8f4d8ef9d31f8d2fe893331c7c,b032ae6f880940de2205f36782950c4616d7d2b3d83d45661cc033f2b17ed7fd,7761172c4f8f6206b72c304c46d7b995c4535cf270622a5ad1befe425fd1f68f,39c3365dc5d2de3a8d72d2d591f7f8b2b1123f5890595398c9b9fe657e89f903,be0ec74603175de4fa41a007ebf3ab9353e28168d1ee571be51ea51a1b0d53eb,86d42b9c2aad1b23ced4c111f77e3a1bc69a43e938e7bc53c1a4c32e684f8f77,a5923585095f5487b08eb5f495e8ff3946733f3606255cea055036b95f4b604b,012815ba62a67f309ffdaecbc73b7ea901ab6269ac0248e9cd6808e98edccddf,032cf0379339ff0cc499e0a2dcbb241702d30bd1bf3b84a9100636bfd3c40812,e50f9f9a9d3cf7d45b9c2f478eb00fe7670136ae31ad9d6f8e10bca52af73596
"","1007402","0","","0","vo_mhp_4102","21","","vo_mhp_1007402","1007402026",""
"0","1007402","5","0","1","よく来たわね\n今日はもしかして胸の苦しみ、かしら？","11","0","117531","1007402027","0.5"
"","1007402","","","","","91","","0","1007402028",""
"0.2","1007402","1","","","mhp_sit_idle","3","","117531","1007402029",""
"0.2","1007402","1","","","mhp_yui_sit_talk_surprise","3","","100211","1007402030",""
"","1007402","0","","0","vo_mhp_4103","21","","vo_mhp_1007402","1007402031",""
"0","1007402","6","0","1","ま、まだ何も言っていないのに！？\nさすがミツキさんですね……","11","0","100211","1007402032","0.5"
"","1007402","","","","","91","","0","1007402033",""
"0.2","1007402","1","","","mhp_yui_sit_talk_sad","3","","100211","1007402034",""
"","1007402","0","","0","vo_mhp_4104","21","","vo_mhp_1007402","1007402035",""
"0","1007402","4","0","1","そうなんです、胸が苦しくて\n仕方ないんです……\nや、やっぱり重病なんでしょうか……","11","0","100211","1007402036","0.5"
"","1007402","","","","","91","","0","1007402037",""
"0.2","1007402","1","","","mhp_yui_sit_idle_sad","3","","100211","1007402038",""
"0.2","1007402","1","","","mhp_sit_talk_sad2","3","","117531","1007402039",""
"","1007402","0","","0","vo_mhp_4105","21","","vo_mhp_1007402","1007402040",""
"0","1007402","6","0","1","前にも言ったけど、直接命にかかわる\nことはないわ。でも、時に死ぬよりも\n苦しいことになる可能性もあるわね。","11","0","117531","1007402041","0.5"
"","1007402","","","","","91","","0","1007402042",""
"0.2","1007402","1","","","mhp_sit_idle","3","","117531","1007402043",""
"0.2","1007402","1","","","mhp_yui_sit_talk_wish","3","","100211","1007402044",""
"","1007402","0","","0","vo_mhp_4106","21","","vo_mhp_1007402","1007402045",""
"0","1007402","6","0","1","そんな……\nわ、わたし、どうすれば……","11","0","100211","1007402046","0.5"
"","1007402","","","","","91","","0","1007402047",""
"0.2","1007402","1","","","mhp_yui_sit_idle_sad","3","","100211","1007402048",""
"0.2","1007402","1","","","mhp_sit_talk_wish","3","","117531","1007402049",""
"","1007402","0","","0","vo_mhp_4107","21","","vo_mhp_1007402","1007402050",""
"0","1007402","6","0","1","大丈夫、そのための医者ですもの\nさて、胸の苦しさには――","11","0","117531","1007402051","0.5"
"","1007402","","","","","91","","0","1007402052",""
"","1007402","","","","0","22","","0","1007402053",""
"","1007402","0","","","1007402057","103","","動悸の薬を処方するわ。","1007402054",""
"","1007402","0","","","1007402102","103","","オーエド土産の甘いお菓子よ。","1007402055",""
"","1007402","0","","","1007402147","103","","羊の数でも数えなさい。","1007402056",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_sit_out","3","0","117531","1007402057",""
"","1007402","","","","0","93","","0.6","1007402058",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_sit_out","3","0","100211","1007402059",""
"","1007402","","","","0","93","","0.2","1007402060",""
"0.2","1007402","1","0","","mhp_walk","3","","100211","1007402061",""
"","1007402","-220","0","1.5","35","2","","100211","1007402062",""
"","1007402","-220","0","1.5","35","2","","31","1007402063",""
"","1007402","-220","0","1.5","35","2","","11","1007402064",""
"","1007402","-220","0","1.5","35","2","","12","1007402065",""
"","1007402","","","","0","93","","0.3","1007402066",""
"0.2","1007402","0","1","mhp_handover_loop","mhp_handover_in","3","0","117531","1007402067",""
"0","1007402","1","1","1","1","6","0","21","1007402068",""
"0","1007402","1","1","1","1","6","0","22","1007402069",""
"0.2","1007402","0","1","mhp_handover_loop","mhp_handover_in","3","0","21","1007402070",""
"0.2","1007402","0","1","mhp_item_EX0009_handover_loop","mhp_item_EX0009_handover_in","3","0","22","1007402071",""
"","1007402","","","","0","93","","1.2","1007402072",""
"0.2","1007402","0","1","mhp_handover_receive_loop","mhp_handover_receive_in","3","0","100211","1007402073",""
"0","1007402","1","1","1","1","6","0","11","1007402074",""
"0","1007402","1","1","1","1","6","0","12","1007402075",""
"0.2","1007402","0","1","mhp_receive_yui_loop","mhp_receive_yui_in","3","0","11","1007402076",""
"0.2","1007402","0","1","mhp_item_EX0009_receive_loop","mhp_item_EX0009_receive_in","3","0","12","1007402077",""
"","1007402","","","","0","93","","0.6","1007402078",""
"0.4","1007402","1","1","1","1","6","0","22","1007402079",""
"","1007402","","","","0","93","","0.4","1007402080",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_handover_out","3","0","117531","1007402081",""
"0.2","1007402","0","1","NoItem_idle","mhp_handover_out","3","0","21","1007402082",""
"0.2","1007402","0","1","NoItem_idle","mhp_item_EX0009_handover_out","3","0","22","1007402083",""
"","1007402","","","","0","93","","0.4","1007402084",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_handover_receive_out","3","0","100211","1007402085",""
"0.2","1007402","0","1","NoItem_idle","mhp_receive_yui_out","3","0","11","1007402086",""
"0.2","1007402","0","1","NoItem_idle","mhp_item_EX0009_receive_out","3","0","12","1007402087",""
"","1007402","","","","0","93","","2","1007402088",""
"0.2","1007402","1","","","mhp_talk_sad","3","","100211","1007402089",""
"","1007402","0","","0","vo_mhp_4108","21","","vo_mhp_1007402","1007402090",""
"0","1007402","6","0","1","お薬もらえるとなんだか安心します\nこれで治るといいんですけど……","11","0","100211","1007402091","0.5"
"","1007402","","","","","91","","0","1007402092",""
"0.2","1007402","1","","","mhp_idle_sad","3","","100211","1007402093",""
"0.2","1007402","1","","","mhp_idle_thinking","3","","117531","1007402094",""
"","1007402","0","","0","vo_mhp_4109","21","","vo_mhp_1007402","1007402095",""
"0","1007402","6","0","1","（実際はただのラムネ菓子だけどね。\n本当の病気じゃないならこれが一番よ）","11","0","117531","1007402096","0.5"
"","1007402","","","","","91","","0","1007402097",""
"","1007402","","","","0","22","","0","1007402098",""
"0.2","1007402","0","1","mhp_sit_idle","mhp_sit_in","3","0.2","117531","1007402099",""
"","1007402","","","","0","93","","1","1007402100",""
"","1007402","","","","","101","","1007402160","1007402101",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_sit_out","3","0","117531","1007402102",""
"","1007402","","","","0","93","","0.6","1007402103",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_sit_out","3","0","100211","1007402104",""
"","1007402","","","","0","93","","0.2","1007402105",""
"0.2","1007402","1","0","","mhp_walk","3","","100211","1007402106",""
"","1007402","-220","0","1.5","35","2","","100211","1007402107",""
"","1007402","-220","0","1.5","35","2","","31","1007402108",""
"","1007402","-220","0","1.5","35","2","","11","1007402109",""
"","1007402","-220","0","1.5","35","2","","12","1007402110",""
"","1007402","","","","0","93","","0.3","1007402111",""
"0.2","1007402","0","1","mhp_handover_loop","mhp_handover_in","3","0","117531","1007402112",""
"0","1007402","1","1","1","1","6","0","21","1007402113",""
"0","1007402","1","1","1","1","6","0","22","1007402114",""
"0.2","1007402","0","1","mhp_handover_loop","mhp_handover_in","3","0","21","1007402115",""
"0.2","1007402","0","1","mhp_item_EX0010_handover_loop","mhp_item_EX0010_handover_in","3","0","22","1007402116",""
"","1007402","","","","0","93","","1.2","1007402117",""
"0.2","1007402","0","1","mhp_handover_receive_loop","mhp_handover_receive_in","3","0","100211","1007402118",""
"0","1007402","1","1","1","1","6","0","11","1007402119",""
"0","1007402","1","1","1","1","6","0","12","1007402120",""
"0.2","1007402","0","1","mhp_receive_yui_loop","mhp_receive_yui_in","3","0","11","1007402121",""
"0.2","1007402","0","1","mhp_item_EX0010_receive_loop","mhp_item_EX0010_receive_in","3","0","12","1007402122",""
"","1007402","","","","0","93","","0.6","1007402123",""
"0.4","1007402","1","1","1","1","6","0","22","1007402124",""
"","1007402","","","","0","93","","0.4","1007402125",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_handover_out","3","0","117531","1007402126",""
"0.2","1007402","0","1","NoItem_idle","mhp_handover_out","3","0","21","1007402127",""
"0.2","1007402","0","1","NoItem_idle","mhp_item_EX0010_handover_out","3","0","22","1007402128",""
"","1007402","","","","0","93","","0.4","1007402129",""
"0.2","1007402","0","1","mhp_idle_normal","mhp_handover_receive_out","3","0","100211","1007402130",""
"0.2","1007402","0","1","NoItem_idle","mhp_receive_yui_out","3","0","11","1007402131",""
