914873bf20663d1a29004a45de159ce2519f6f22b44207ebe620ec530286e003,171271fee499f6401b1df7eed0a66a9be03f1f4a5d1ed52b281412106998c974,8e3f6b77c72883007925f172ee9aa594a36ff273bdab95ac0323f9ca235371be,44f0e38bde7969da95e6bcd489c1387dd06addc07c5b71627c4920bf4610718b,6ff0572c5b0fa2e149eb4a80d6ffee38e00fa5010c8a8713e9d79479ed16902d
"ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002104","star6_shadow","シャドウ強化","56"
"カリンのシャドウが追加される。","74002104","add_shadow","シャドウ1体追加","57"
"すべてのシャドウの物理攻撃力が大幅に上昇する。","74002105","boss_atk_up","シャドウ物理攻撃力アップ","58"
"ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002105","star6_shadow","シャドウ強化","59"
"カリンのシャドウが追加される。","74002105","add_shadow","シャドウ1体追加","60"
"カヤ（リベレイター）のシャドウが追加される。","74002202","add_shadow","シャドウ1体追加","61"
"ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","74002203","star6_shadow","シャドウ強化","62"
"カヤ（リベレイター）のシャドウが追加される。","74002203","add_shadow","シャドウ1体追加","63"
"ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","74002204","star6_shadow","シャドウ強化","64"
"カヤ（リベレイター）のシャドウが追加される。","74002204","add_shadow","シャドウ1体追加","65"
"すべてのシャドウの魔法防御力が大幅に上昇する。","74002205","boss_magic_def_up","シャドウ魔法防御力アップ","66"
"ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","74002205","star6_shadow","シャドウ強化","67"
"カヤ（リベレイター）のシャドウが追加される。","74002205","add_shadow","シャドウ1体追加","68"
"ノゾミのシャドウが追加される。","74002302","add_shadow","シャドウ1体追加","69"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002303","add_shadow","シャドウ2体追加","70"
"編成可能キャラ数が4キャラになる。","74002304","limit_chara_num","編成キャラ数制限","71"
"ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002304","star6_shadow","シャドウ強化","72"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002304","add_shadow","シャドウ2体追加","73"
"編成可能キャラ数が4キャラになる。","74002305","limit_chara_num","編成キャラ数制限","74"
"バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002305","boss_def_up","開始時物理防御力アップ","75"
"バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002305","boss_magic_def_up","開始時魔法防御力アップ","76"
"ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002305","star6_shadow","シャドウ強化","77"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002305","add_shadow","シャドウ2体追加","78"
"アヤネのシャドウが追加される。","74002402","add_shadow","シャドウ1体追加","79"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002403","add_shadow","シャドウ2体追加","80"
"編成可能キャラ数が4キャラになる。","74002404","limit_chara_num","編成キャラ数制限","81"
"アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002404","star6_shadow","シャドウ強化","82"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002404","add_shadow","シャドウ2体追加","83"
"編成可能キャラ数が4キャラになる。","74002405","limit_chara_num","編成キャラ数制限","84"
"バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002405","boss_def_up","開始時物理防御力アップ","85"
"バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002405","boss_magic_def_up","開始時魔法防御力アップ","86"
"アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002405","star6_shadow","シャドウ強化","87"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002405","add_shadow","シャドウ2体追加","88"
"バトル時間が70秒になる。","74002502","limit_time","バトル時間制限","89"
"バトル時間が60秒になる。","74002503","limit_time","バトル時間制限","90"
"バトル時間が60秒になる。","74002504","limit_time","バトル時間制限","91"
"ボスモンスターのユニオンバーストが強化される。","74002504","boss_ub_enhance","ボスUB強化","92"
"バトル時間が45秒になる。","74002505","limit_time","バトル時間制限","93"
"ボスモンスターのユニオンバーストが強化される。","74002505","boss_ub_enhance","ボスUB強化","94"
"カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","74003102","star6_shadow","シャドウ強化","95"
"ユキのシャドウが追加される。","74003103","add_shadow","シャドウ1体追加","96"
"ハツネ、ユキのシャドウが★6になる。","74003103","star6_shadow","シャドウ強化","97"
"編成可能キャラ数が4キャラになる。","74003104","limit_chara_num","編成キャラ数制限","98"
"編成可能キャラ数が4キャラになる。","74003105","limit_chara_num","編成キャラ数制限","99"
"すべてのシャドウの最大ＨＰが大幅に上昇する。","74003105","max_hp_up","シャドウ最大ＨＰアップ","100"
"カーズ・レリックが追加される。","74003202","add_shadow","モンスター1体追加","101"
"アオイのシャドウが★6になる。","74003203","star6_shadow","シャドウ強化","102"
"バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","74003204","boss_magic_cut","開始時魔法ダメージカット","103"
"カーズ・レリックのスキルが強化される。","74003204","boss_ub_enhance","モンスター強化","104"
"バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","74003205","boss_magic_cut","開始時魔法ダメージカット","105"
"編成可能キャラ数が4キャラになる。","74003205","limit_chara_num","編成キャラ数制限","106"
"ヒール・レリックが追加される。","74003302","add_shadow","モンスター1体追加","107"
"キャル（ニューイヤー）のシャドウに専用装備が追加される。","74003303","star6_shadow","シャドウ強化","108"
"バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","74003304","boss_physics_cut","開始時物理ダメージカット","109"
"ヒール・レリックのスキルが強化される。","74003304","boss_ub_enhance","モンスター強化","110"
"バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","74003305","boss_physics_cut","開始時物理ダメージカット","111"
"編成可能キャラ数が4キャラになる。","74003305","limit_chara_num","編成キャラ数制限","112"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003402","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","113"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003402","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","114"
"バトル時間が70秒になる。","74003403","limit_time","バトル時間制限","115"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003403","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","116"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003403","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","117"
"バトル時間が70秒になる。","74003404","limit_time","バトル時間制限","118"
"ボスモンスターのユニオンバーストが強化される。","74003404","boss_ub_enhance","ボスUB強化","119"
"バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003404","boss_tp_down_cut","ボスＴＰダウンカット","120"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003404","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","121"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003404","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","122"
"バトル時間が50秒になる。","74003405","limit_time","バトル時間制限","123"
"ボスモンスターのユニオンバーストが強化される。","74003405","boss_ub_enhance","ボスUB強化","124"
"バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003405","boss_tp_down_cut","ボスＴＰダウンカット","125"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003405","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","126"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003405","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","127"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003502","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","128"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003502","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","129"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003503","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","130"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003503","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","131"
"ルナポッドが追加される。","74003504","add_shadow","モンスター1体追加","132"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003504","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","133"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003504","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","134"
"カイザーインサイトのシャドウが追加される。","74003505","add_shadow","シャドウ1体追加","135"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003505","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","136"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003505","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","137"
"イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","74004102","star6_shadow","シャドウ強化","138"
"サレン（サマー）のシャドウが追加される。","74004103","add_shadow","シャドウ1体追加","139"
"サレン、ヨリのシャドウが★6になる。","74004103","star6_shadow","シャドウ強化","140"
"編成可能キャラ数が4キャラになる。","74004104","limit_chara_num","編成キャラ数制限","141"
"編成可能キャラ数が4キャラになる。","74004105","limit_chara_num","編成キャラ数制限","142"
"すべてのシャドウの最大ＨＰが大幅に上昇する。","74004105","max_hp_up","シャドウ最大ＨＰアップ","143"
"シールド・レリックが追加される。","74004202","add_shadow","モンスター1体追加","144"
"ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","74004203","star6_shadow","シャドウ強化","145"
"シールド・レリックのスキルが強化される。","74004204","boss_ub_enhance","モンスター強化","146"
"バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004204","hp_recover","開始時ＨＰ回復","147"
"バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004205","hp_recover","開始時ＨＰ回復","148"
"バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","74004205","energy_recover","開始時ＴＰ継続回復付与","149"
"アタック・レリックが追加される。","74004302","add_shadow","モンスター1体追加","150"
"リマのシャドウが★6になる。","74004303","star6_shadow","シャドウ強化","151"
"アタック・レリックのスキルが強化される。","74004304","boss_ub_enhance","モンスター強化","152"
"バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","74004305","boss_haste","開始時行動速度アップフィールド","153"
"パーティキャラの最大HPが20％ダウンする。","74004402","max_hp_down","キャラ最大HPダウン","154"
"バトル時間が75秒になる。","74004403","limit_time","バトル時間制限","155"
"パーティキャラの最大HPが20％ダウンする。","74004403","max_hp_down","キャラ最大HPダウン","156"
"バトル時間が75秒になる。","74004404","limit_time","バトル時間制限","157"
"編成可能キャラ数が4キャラになる。","74004404","limit_chara_num","編成キャラ数制限","158"
"パーティキャラの最大HPが20％ダウンする。","74004404","max_hp_down","キャラ最大HPダウン","159"
"バトル時間が60秒になる。","74004405","limit_time","バトル時間制限","160"
"編成可能キャラ数が4キャラになる。","74004405","limit_chara_num","編成キャラ数制限","161"
"パーティキャラの最大HPが20％ダウンする。","74004405","max_hp_down","キャラ最大HPダウン","162"
"パーティキャラの最大HPが20％ダウンする。","74004502","max_hp_down","キャラ最大HPダウン","163"
"ボスモンスターのユニオンバーストとスキルが強化される。","74004503","boss_ub_enhance","ボスUB・スキル強化","164"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004503","boss_tp_down_cut","ボスＴＰダウンカット","165"
"パーティキャラの最大HPが20％ダウンする。","74004503","max_hp_down","キャラ最大HPダウン","166"
"ルナポッドが追加される。","74004504","add_shadow","モンスター1体追加","167"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004504","boss_tp_down_cut","ボスＴＰダウンカット","168"
"パーティキャラの最大HPが20％ダウンする。","74004504","max_hp_down","キャラ最大HPダウン","169"
"アヤネのシャドウが追加される。","74004505","add_shadow","シャドウ1体追加","170"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004505","boss_tp_down_cut","ボスＴＰダウンカット","171"
"パーティキャラの最大HPが20％ダウンする。","74004505","max_hp_down","キャラ最大HPダウン","172"
"リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","74005102","star6_shadow","シャドウ強化","173"
"リマ、カヤ、イノリのシャドウが★6になる。","74005103","star6_shadow","シャドウ強化","174"
"バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005103","boss_physics_cut","物理ダメージカット","175"
"編成可能キャラ数が4キャラになる。","74005104","limit_chara_num","編成キャラ数制限","176"
"バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005104","boss_physics_cut","物理ダメージカット","177"
"編成可能キャラ数が4キャラになる。","74005105","limit_chara_num","編成キャラ数制限","178"
"バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","74005105","boss_physics_cut","物理ダメージカット","179"
"ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","74005202","star6_shadow","シャドウ強化","180"
"ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","74005203","star6_shadow","シャドウ強化","181"
"バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005203","boss_magic_cut","魔法ダメージカット","182"
"編成可能キャラ数が4キャラになる。","74005204","limit_chara_num","編成キャラ数制限","183"
"バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005204","boss_magic_cut","魔法ダメージカット","184"
"編成可能キャラ数が4キャラになる。","74005205","limit_chara_num","編成キャラ数制限","185"
"バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","74005205","boss_magic_cut","魔法ダメージカット","186"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005301","18","ダメージ減衰","187"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005301","17","ＴＰ上昇上限付与","188"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005301","boss_def_lower_limit","物理防御力（ダウン不可）アップ","189"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005301","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","190"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005301","9","ＨＰ吸収ダウン","191"
"ゼラチナ、エルダークラウドが追加される。","74005302","add_shadow","モンスター追加","192"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005302","18","ダメージ減衰","193"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005302","17","ＴＰ上昇上限付与","194"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005302","boss_def_lower_limit","物理防御力（ダウン不可）アップ","195"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005302","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","196"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005302","9","ＨＰ吸収ダウン","197"
"ユカリ、ホマレ（ニューイヤー）が追加される。","74005303","add_shadow","モンスター追加","198"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005303","18","ダメージ減衰","199"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005303","17","ＴＰ上昇上限付与","200"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005303","boss_def_lower_limit","物理防御力（ダウン不可）アップ","201"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005303","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","202"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005303","9","ＨＰ吸収ダウン","203"
"ルナポッドが追加される。","74005304","add_shadow","モンスター追加","204"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005304","18","ダメージ減衰","205"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005304","17","ＴＰ上昇上限付与","206"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005304","boss_def_lower_limit","物理防御力（ダウン不可）アップ","207"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005304","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","208"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005304","9","ＨＰ吸収ダウン","209"
"バトル時間が60秒になる。","74005305","limit_time","バトル時間制限","210"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005305","18","ダメージ減衰","211"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005305","17","ＴＰ上昇上限付与","212"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005305","boss_def_lower_limit","物理防御力（ダウン不可）アップ","213"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005305","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","214"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005305","9","ＨＰ吸収ダウン","215"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005401","18","ダメージ減衰","216"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005401","17","ＴＰ上昇上限付与","217"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005401","boss_def_lower_limit","物理防御力（ダウン不可）アップ","218"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005401","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","219"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005401","9","ＨＰ吸収ダウン","220"
"タートルタイラント、ホオズキムシが追加される。","74005402","add_shadow","モンスター追加","221"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005402","18","ダメージ減衰","222"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005402","17","ＴＰ上昇上限付与","223"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005402","boss_def_lower_limit","物理防御力（ダウン不可）アップ","224"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005402","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","225"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005402","9","ＨＰ吸収ダウン","226"
"シズル（ノワール）、コッコロ（サマー）が追加される。","74005403","add_shadow","モンスター追加","227"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005403","18","ダメージ減衰","228"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005403","17","ＴＰ上昇上限付与","229"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005403","boss_def_lower_limit","物理防御力（ダウン不可）アップ","230"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005403","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","231"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005403","9","ＨＰ吸収ダウン","232"
"ルナポッドが追加される。","74005404","add_shadow","モンスター追加","233"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005404","18","ダメージ減衰","234"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005404","17","ＴＰ上昇上限付与","235"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005404","boss_def_lower_limit","物理防御力（ダウン不可）アップ","236"
