a12ad129881deb80a9389ff86eadbe342ccec35a63c84b70fc2b2d411bd674f7,763afc2ea7fabc6da56514c0ae1b5640150420bad2f6a419b6af8e0d4c614c5f,ac3acb08b7f26642f1bd84c016831580b12dda7369f9824cde2fb795f7dc1cbf,1702d3dd564c482914392f4b7069a801bf56aacfebb903a5a2922b33619043e4,189b4a526633ff4c0ab14219f3189926cf6b3f393fada7ed0d205d2c9a123c4f,85da1dca34d4d5cd0738bd9f0b5d9e2e1a258016322767c2a289c540fb631d81,0f462efc3d5ff6d820a377bd4fb7631aa47e98511612b7da27d8f601323f11e0,925a290a4a0e81cd23ad6f99961104a226501909541fd9bd1097b5267a0c93de,67d0bd4dd6f36ffb42408f837291fae0038edae6bf9c97107240e5b6986e7631
"100304","1","0","1001","70000","1003","100304","全難易度合計で70000pt獲得しよう","0"
"100305","1","0","1001","90000","1003","100305","全難易度合計で90000pt獲得しよう","1"
"100306","1","0","1001","105000","1003","100306","全難易度合計で105000pt獲得しよう","1"
"100307","1","0","1001","120000","1003","100307","全難易度合計で120000pt獲得しよう","1"
"100308","1","0","1001","135000","1003","100308","全難易度合計で135000pt獲得しよう","1"
"100309","1","1","1002","0","1003","100309","難易度NORMAL1で1回戦おう","2"
"100310","1","1","1003","0","1003","100310","難易度NORMAL2で1回戦おう","2"
"100311","1","1","1004","0","1003","100311","難易度NORMAL3で1回戦おう","2"
"100312","1","1","1001","10000","1003","100312","難易度NORMALで10000pt獲得しよう","3"
"100313","1","1","1001","20000","1003","100313","難易度NORMALで20000pt獲得しよう","3"
"100314","1","1","1001","30000","1003","100314","難易度NORMALで30000pt獲得しよう","3"
"100315","1","2","1002","0","1003","100315","難易度HARD1で1回戦おう","4"
"100316","1","2","1003","0","1003","100316","難易度HARD2で1回戦おう","4"
"100317","1","2","1004","0","1003","100317","難易度HARD3で1回戦おう","4"
"100318","1","2","1001","15000","1003","100318","難易度HARDで15000pt獲得しよう","5"
"100319","1","2","1001","30000","1003","100319","難易度HARDで30000pt獲得しよう","5"
"100320","1","2","1001","45000","1003","100320","難易度HARDで45000pt獲得しよう","5"
"100321","1","3","1002","0","1003","100321","難易度EXTRA1で1回戦おう","6"
"100322","1","3","1003","0","1003","100322","難易度EXTRA2で1回戦おう","6"
"100323","1","3","1004","0","1003","100323","難易度EXTRA3で1回戦おう","6"
"100324","1","3","1001","20000","1003","100324","難易度EXTRAで20000pt獲得しよう","7"
"100325","1","3","1001","40000","1003","100325","難易度EXTRAで40000pt獲得しよう","7"
"100326","1","3","1001","60000","1003","100326","難易度EXTRAで60000pt獲得しよう","7"
"100401","1","0","1001","10000","1004","100401","全難易度合計で10000pt獲得しよう","0"
"100402","1","0","1001","30000","1004","100402","全難易度合計で30000pt獲得しよう","0"
"100403","1","0","1001","50000","1004","100403","全難易度合計で50000pt獲得しよう","0"
"100404","1","0","1001","70000","1004","100404","全難易度合計で70000pt獲得しよう","0"
"100405","1","0","1001","90000","1004","100405","全難易度合計で90000pt獲得しよう","1"
"100406","1","0","1001","105000","1004","100406","全難易度合計で105000pt獲得しよう","1"
"100407","1","0","1001","120000","1004","100407","全難易度合計で120000pt獲得しよう","1"
"100408","1","0","1001","135000","1004","100408","全難易度合計で135000pt獲得しよう","1"
"100409","1","1","1002","0","1004","100409","難易度NORMAL1で1回戦おう","2"
"100410","1","1","1003","0","1004","100410","難易度NORMAL2で1回戦おう","2"
"100411","1","1","1004","0","1004","100411","難易度NORMAL3で1回戦おう","2"
"100412","1","1","1001","10000","1004","100412","難易度NORMALで10000pt獲得しよう","3"
"100413","1","1","1001","20000","1004","100413","難易度NORMALで20000pt獲得しよう","3"
"100414","1","1","1001","30000","1004","100414","難易度NORMALで30000pt獲得しよう","3"
"100415","1","2","1002","0","1004","100415","難易度HARD1で1回戦おう","4"
"100416","1","2","1003","0","1004","100416","難易度HARD2で1回戦おう","4"
"100417","1","2","1004","0","1004","100417","難易度HARD3で1回戦おう","4"
"100418","1","2","1001","15000","1004","100418","難易度HARDで15000pt獲得しよう","5"
"100419","1","2","1001","30000","1004","100419","難易度HARDで30000pt獲得しよう","5"
"100420","1","2","1001","45000","1004","100420","難易度HARDで45000pt獲得しよう","5"
"100421","1","3","1002","0","1004","100421","難易度EXTRA1で1回戦おう","6"
"100422","1","3","1003","0","1004","100422","難易度EXTRA2で1回戦おう","6"
"100423","1","3","1004","0","1004","100423","難易度EXTRA3で1回戦おう","6"
"100424","1","3","1001","20000","1004","100424","難易度EXTRAで20000pt獲得しよう","7"
"100425","1","3","1001","40000","1004","100425","難易度EXTRAで40000pt獲得しよう","7"
"100426","1","3","1001","60000","1004","100426","難易度EXTRAで60000pt獲得しよう","7"
"100501","1","0","1001","10000","1005","100501","全難易度合計で10000pt獲得しよう","0"
"100502","1","0","1001","30000","1005","100502","全難易度合計で30000pt獲得しよう","0"
"100503","1","0","1001","50000","1005","100503","全難易度合計で50000pt獲得しよう","0"
"100504","1","0","1001","70000","1005","100504","全難易度合計で70000pt獲得しよう","0"
"100505","1","0","1001","90000","1005","100505","全難易度合計で90000pt獲得しよう","1"
"100506","1","0","1001","105000","1005","100506","全難易度合計で105000pt獲得しよう","1"
"100507","1","0","1001","120000","1005","100507","全難易度合計で120000pt獲得しよう","1"
"100508","1","0","1001","135000","1005","100508","全難易度合計で135000pt獲得しよう","1"
"100509","1","1","1002","0","1005","100509","難易度NORMAL1で1回戦おう","2"
"100510","1","1","1003","0","1005","100510","難易度NORMAL2で1回戦おう","2"
"100511","1","1","1004","0","1005","100511","難易度NORMAL3で1回戦おう","2"
"100512","1","1","1001","10000","1005","100512","難易度NORMALで10000pt獲得しよう","3"
"100513","1","1","1001","20000","1005","100513","難易度NORMALで20000pt獲得しよう","3"
"100514","1","1","1001","30000","1005","100514","難易度NORMALで30000pt獲得しよう","3"
"100515","1","2","1002","0","1005","100515","難易度HARD1で1回戦おう","4"
"100516","1","2","1003","0","1005","100516","難易度HARD2で1回戦おう","4"
"100517","1","2","1004","0","1005","100517","難易度HARD3で1回戦おう","4"
"100518","1","2","1001","15000","1005","100518","難易度HARDで15000pt獲得しよう","5"
"100519","1","2","1001","30000","1005","100519","難易度HARDで30000pt獲得しよう","5"
"100520","1","2","1001","45000","1005","100520","難易度HARDで45000pt獲得しよう","5"
"100521","1","3","1002","0","1005","100521","難易度EXTRA1で1回戦おう","6"
"100522","1","3","1003","0","1005","100522","難易度EXTRA2で1回戦おう","6"
"100523","1","3","1004","0","1005","100523","難易度EXTRA3で1回戦おう","6"
"100524","1","3","1001","20000","1005","100524","難易度EXTRAで20000pt獲得しよう","7"
"100525","1","3","1001","40000","1005","100525","難易度EXTRAで40000pt獲得しよう","7"
"100526","1","3","1001","60000","1005","100526","難易度EXTRAで60000pt獲得しよう","7"
"100601","1","0","1001","10000","1006","100601","全難易度合計で10000pt獲得しよう","0"
"100602","1","0","1001","30000","1006","100602","全難易度合計で30000pt獲得しよう","0"
"100603","1","0","1001","50000","1006","100603","全難易度合計で50000pt獲得しよう","0"
"100604","1","0","1001","70000","1006","100604","全難易度合計で70000pt獲得しよう","0"
"100605","1","0","1001","90000","1006","100605","全難易度合計で90000pt獲得しよう","1"
"100606","1","0","1001","105000","1006","100606","全難易度合計で105000pt獲得しよう","1"
"100607","1","0","1001","120000","1006","100607","全難易度合計で120000pt獲得しよう","1"
"100608","1","0","1001","135000","1006","100608","全難易度合計で135000pt獲得しよう","1"
"100609","1","1","1002","0","1006","100609","難易度NORMAL1で1回戦おう","2"
"100610","1","1","1003","0","1006","100610","難易度NORMAL2で1回戦おう","2"
"100611","1","1","1004","0","1006","100611","難易度NORMAL3で1回戦おう","2"
"100612","1","1","1001","10000","1006","100612","難易度NORMALで10000pt獲得しよう","3"
"100613","1","1","1001","20000","1006","100613","難易度NORMALで20000pt獲得しよう","3"
"100614","1","1","1001","30000","1006","100614","難易度NORMALで30000pt獲得しよう","3"
"100615","1","2","1002","0","1006","100615","難易度HARD1で1回戦おう","4"
"100616","1","2","1003","0","1006","100616","難易度HARD2で1回戦おう","4"
"100617","1","2","1004","0","1006","100617","難易度HARD3で1回戦おう","4"
"100618","1","2","1001","15000","1006","100618","難易度HARDで15000pt獲得しよう","5"
"100619","1","2","1001","30000","1006","100619","難易度HARDで30000pt獲得しよう","5"
"100620","1","2","1001","45000","1006","100620","難易度HARDで45000pt獲得しよう","5"
"100621","1","3","1002","0","1006","100621","難易度EXTRA1で1回戦おう","6"
"100622","1","3","1003","0","1006","100622","難易度EXTRA2で1回戦おう","6"
"100623","1","3","1004","0","1006","100623","難易度EXTRA3で1回戦おう","6"
"100624","1","3","1001","20000","1006","100624","難易度EXTRAで20000pt獲得しよう","7"
"100625","1","3","1001","40000","1006","100625","難易度EXTRAで40000pt獲得しよう","7"
"100626","1","3","1001","60000","1006","100626","難易度EXTRAで60000pt獲得しよう","7"
"100701","1","0","1001","10000","1007","100701","全難易度合計で10000pt獲得しよう","0"
"100702","1","0","1001","30000","1007","100702","全難易度合計で30000pt獲得しよう","0"
"100703","1","0","1001","50000","1007","100703","全難易度合計で50000pt獲得しよう","0"
"100704","1","0","1001","70000","1007","100704","全難易度合計で70000pt獲得しよう","0"
"100705","1","0","1001","90000","1007","100705","全難易度合計で90000pt獲得しよう","1"
"100706","1","0","1001","105000","1007","100706","全難易度合計で105000pt獲得しよう","1"
"100707","1","0","1001","120000","1007","100707","全難易度合計で120000pt獲得しよう","1"
"100708","1","0","1001","135000","1007","100708","全難易度合計で135000pt獲得しよう","1"
"100709","1","1","1002","0","1007","100709","難易度NORMAL1で1回戦おう","2"
"100710","1","1","1003","0","1007","100710","難易度NORMAL2で1回戦おう","2"
"100711","1","1","1004","0","1007","100711","難易度NORMAL3で1回戦おう","2"
"100712","1","1","1001","10000","1007","100712","難易度NORMALで10000pt獲得しよう","3"
"100713","1","1","1001","20000","1007","100713","難易度NORMALで20000pt獲得しよう","3"
"100714","1","1","1001","30000","1007","100714","難易度NORMALで30000pt獲得しよう","3"
"100715","1","2","1002","0","1007","100715","難易度HARD1で1回戦おう","4"
"100716","1","2","1003","0","1007","100716","難易度HARD2で1回戦おう","4"
"100717","1","2","1004","0","1007","100717","難易度HARD3で1回戦おう","4"
"100718","1","2","1001","15000","1007","100718","難易度HARDで15000pt獲得しよう","5"
"100719","1","2","1001","30000","1007","100719","難易度HARDで30000pt獲得しよう","5"
"100720","1","2","1001","45000","1007","100720","難易度HARDで45000pt獲得しよう","5"
"100721","1","3","1002","0","1007","100721","難易度EXTRA1で1回戦おう","6"
"100722","1","3","1003","0","1007","100722","難易度EXTRA2で1回戦おう","6"
"100723","1","3","1004","0","1007","100723","難易度EXTRA3で1回戦おう","6"
"100724","1","3","1001","20000","1007","100724","難易度EXTRAで20000pt獲得しよう","7"
"100725","1","3","1001","40000","1007","100725","難易度EXTRAで40000pt獲得しよう","7"
"100726","1","3","1001","60000","1007","100726","難易度EXTRAで60000pt獲得しよう","7"
"100801","1","0","1001","10000","1008","100801","全難易度合計で10000pt獲得しよう","0"
"100802","1","0","1001","30000","1008","100802","全難易度合計で30000pt獲得しよう","0"
"100803","1","0","1001","50000","1008","100803","全難易度合計で50000pt獲得しよう","0"
"100804","1","0","1001","70000","1008","100804","全難易度合計で70000pt獲得しよう","0"
"100805","1","0","1001","90000","1008","100805","全難易度合計で90000pt獲得しよう","1"
"100806","1","0","1001","105000","1008","100806","全難易度合計で105000pt獲得しよう","1"
"100807","1","0","1001","120000","1008","100807","全難易度合計で120000pt獲得しよう","1"
"100808","1","0","1001","135000","1008","100808","全難易度合計で135000pt獲得しよう","1"
"100809","1","1","1002","0","1008","100809","難易度NORMAL1で1回戦おう","2"
"100810","1","1","1003","0","1008","100810","難易度NORMAL2で1回戦おう","2"
"100811","1","1","1004","0","1008","100811","難易度NORMAL3で1回戦おう","2"
"100812","1","1","1001","10000","1008","100812","難易度NORMALで10000pt獲得しよう","3"
"100813","1","1","1001","20000","1008","100813","難易度NORMALで20000pt獲得しよう","3"
"100814","1","1","1001","30000","1008","100814","難易度NORMALで30000pt獲得しよう","3"
"100815","1","2","1002","0","1008","100815","難易度HARD1で1回戦おう","4"
"100816","1","2","1003","0","1008","100816","難易度HARD2で1回戦おう","4"
"100817","1","2","1004","0","1008","100817","難易度HARD3で1回戦おう","4"
"100818","1","2","1001","15000","1008","100818","難易度HARDで15000pt獲得しよう","5"
"100819","1","2","1001","30000","1008","100819","難易度HARDで30000pt獲得しよう","5"
"100820","1","2","1001","45000","1008","100820","難易度HARDで45000pt獲得しよう","5"
"100821","1","3","1002","0","1008","100821","難易度EXTRA1で1回戦おう","6"
"100822","1","3","1003","0","1008","100822","難易度EXTRA2で1回戦おう","6"
"100823","1","3","1004","0","1008","100823","難易度EXTRA3で1回戦おう","6"
"100824","1","3","1001","20000","1008","100824","難易度EXTRAで20000pt獲得しよう","7"
"100825","1","3","1001","40000","1008","100825","難易度EXTRAで40000pt獲得しよう","7"
"100826","1","3","1001","60000","1008","100826","難易度EXTRAで60000pt獲得しよう","7"
"100901","1","0","1001","10000","1009","100901","全難易度合計で10000pt獲得しよう","0"
"100902","1","0","1001","30000","1009","100902","全難易度合計で30000pt獲得しよう","0"
"100903","1","0","1001","50000","1009","100903","全難易度合計で50000pt獲得しよう","0"
"100904","1","0","1001","70000","1009","100904","全難易度合計で70000pt獲得しよう","0"
"100905","1","0","1001","90000","1009","100905","全難易度合計で90000pt獲得しよう","1"
"100906","1","0","1001","105000","1009","100906","全難易度合計で105000pt獲得しよう","1"
"100907","1","0","1001","120000","1009","100907","全難易度合計で120000pt獲得しよう","1"
"100908","1","0","1001","135000","1009","100908","全難易度合計で135000pt獲得しよう","1"
"100909","1","1","1002","0","1009","100909","難易度NORMAL1で1回戦おう","2"
"100910","1","1","1003","0","1009","100910","難易度NORMAL2で1回戦おう","2"
"100911","1","1","1004","0","1009","100911","難易度NORMAL3で1回戦おう","2"
"100912","1","1","1001","10000","1009","100912","難易度NORMALで10000pt獲得しよう","3"
"100913","1","1","1001","20000","1009","100913","難易度NORMALで20000pt獲得しよう","3"
"100914","1","1","1001","30000","1009","100914","難易度NORMALで30000pt獲得しよう","3"
"100915","1","2","1002","0","1009","100915","難易度HARD1で1回戦おう","4"
"100916","1","2","1003","0","1009","100916","難易度HARD2で1回戦おう","4"
"100917","1","2","1004","0","1009","100917","難易度HARD3で1回戦おう","4"
"100918","1","2","1001","15000","1009","100918","難易度HARDで15000pt獲得しよう","5"
"100919","1","2","1001","30000","1009","100919","難易度HARDで30000pt獲得しよう","5"
"100920","1","2","1001","45000","1009","100920","難易度HARDで45000pt獲得しよう","5"
"100921","1","3","1002","0","1009","100921","難易度EXTRA1で1回戦おう","6"
"100922","1","3","1003","0","1009","100922","難易度EXTRA2で1回戦おう","6"
"100923","1","3","1004","0","1009","100923","難易度EXTRA3で1回戦おう","6"
"100924","1","3","1001","20000","1009","100924","難易度EXTRAで20000pt獲得しよう","7"
"100925","1","3","1001","40000","1009","100925","難易度EXTRAで40000pt獲得しよう","7"
"100926","1","3","1001","60000","1009","100926","難易度EXTRAで60000pt獲得しよう","7"
