3cce80b5ef82ea08713bc3bdeecf69edd0da3015ac3455c3142bc8ac246a69ef,632f1d8c801cdb4bc4c60cb1fd662283955429d3c4412396c9e311478b203059,e5c152484c0e3aabc2ca09eeb18786e673b4baac056e83e69e8677de20b50d7f,1529d9dc2598fc30c629d1a9dcfebe589fb2aa95e020c2cab9f17a940a0e6a9a,426aa0d744ac59b19db28239010739919550d1cf9726276fe5dac577271dbab4
"1056","0","258","1","91"
"1056","0","259","2","92"
"1056","0","260","3","93"
"1056","0","261","4","94"
"1056","0","262","5","95"
"1057","0","264","1","96"
"1057","0","265","2","97"
"1057","0","266","3","98"
"1057","0","267","4","99"
"1057","0","268","5","100"
"1058","0","270","1","101"
"1058","0","271","2","102"
"1058","0","272","3","103"
"1058","0","273","4","104"
"1058","0","274","5","105"
"1059","0","276","1","106"
"1059","0","277","2","107"
"1059","0","278","3","108"
"1059","0","279","4","109"
"1059","0","280","5","110"
"1060","0","282","1","111"
"1060","0","283","2","112"
"1060","0","284","3","113"
"1060","0","285","4","114"
"1060","0","286","5","115"
"1061","0","288","1","116"
"1061","0","289","2","117"
"1061","0","290","3","118"
"1061","0","291","4","119"
"1061","0","292","5","120"
"1063","0","294","1","121"
"1063","0","295","2","122"
"1063","0","296","3","123"
"1063","0","297","4","124"
"1064","0","299","1","125"
"1064","0","300","2","126"
"1064","0","301","3","127"
"1064","0","302","4","128"
"1065","0","304","1","129"
"1065","0","305","2","130"
"1065","0","306","3","131"
"1065","0","307","4","132"
"1066","0","308","1","133"
"1066","0","310","2","134"
"1066","0","311","3","135"
"1066","0","312","4","136"
"1067","0","313","1","137"
"1067","0","315","2","138"
"1067","0","316","3","139"
"1067","0","317","4","140"
"1068","0","318","1","141"
"1068","0","320","2","142"
"1068","0","321","3","143"
"1068","0","322","4","144"
"1069","0","323","1","145"
"1069","0","325","2","146"
"1069","0","326","3","147"
"1069","0","327","4","148"
"1070","0","328","1","149"
"1070","0","330","2","150"
"1070","0","331","3","151"
"1070","0","332","4","152"
"1071","0","333","1","153"
"1071","0","335","2","154"
"1071","0","336","3","155"
"1071","0","337","4","156"
"1072","0","338","1","157"
"1072","0","340","2","158"
"1072","0","341","3","159"
"1072","0","342","4","160"
"1073","0","343","1","161"
"1073","0","345","2","162"
"1073","0","346","3","163"
"1073","0","347","4","164"
"1074","0","348","1","165"
"1074","0","350","2","166"
"1074","0","351","3","167"
"1074","0","352","4","168"
"1075","0","353","1","169"
"1075","0","355","2","170"
"1075","0","356","3","171"
"1075","0","357","4","172"
"1076","0","358","1","173"
"1076","0","360","2","174"
"1076","0","361","3","175"
"1076","0","362","4","176"
"1077","0","363","1","177"
"1077","0","365","2","178"
"1077","0","366","3","179"
"1077","0","367","4","180"
"1078","0","368","1","181"
"1078","0","370","2","182"
"1078","0","371","3","183"
"1078","0","372","4","184"
"1079","0","373","1","185"
"1079","0","375","2","186"
"1079","0","376","3","187"
"1079","0","377","4","188"
"1080","0","378","1","189"
"1080","0","380","2","190"
"1080","0","381","3","191"
"1080","0","382","4","192"
"1081","0","383","1","193"
"1081","0","385","2","194"
"1081","0","386","3","195"
"1081","0","387","4","196"
"1082","0","388","1","197"
"1082","0","390","2","198"
"1082","0","391","3","199"
"1082","0","392","4","200"
"1083","0","393","1","201"
"1083","0","395","2","202"
"1083","0","396","3","203"
"1083","0","397","4","204"
"1084","0","398","1","205"
"1084","0","400","2","206"
"1084","0","401","3","207"
"1084","0","402","4","208"
"1085","0","403","1","209"
"1085","0","405","2","210"
"1085","0","406","3","211"
"1085","0","407","4","212"
"1086","0","408","1","213"
"1086","0","410","2","214"
"1086","0","411","3","215"
"1086","0","412","4","216"
"1087","0","413","1","217"
"1087","0","415","2","218"
"1087","0","416","3","219"
"1087","0","417","4","220"
"1088","0","418","1","221"
"1088","0","420","2","222"
"1088","0","421","3","223"
"1088","0","422","4","224"
"1089","0","423","1","225"
"1089","0","425","2","226"
"1089","0","426","3","227"
"1089","0","427","4","228"
"1090","0","428","1","229"
"1090","0","430","2","230"
"1090","0","431","3","231"
"1090","0","432","4","232"
"1091","0","433","1","233"
"1091","0","435","2","234"
"1091","0","436","3","235"
"1091","0","437","4","236"
"1092","0","438","1","237"
"1092","0","440","2","238"
"1092","0","441","3","239"
"1092","0","442","4","240"
"1093","0","443","1","241"
"1093","0","445","2","242"
"1093","0","446","3","243"
"1093","0","447","4","244"
"1094","0","448","1","245"
"1094","0","450","2","246"
"1094","0","451","3","247"
"1094","0","452","4","248"
"1095","0","453","1","249"
"1095","0","455","2","250"
"1095","0","456","3","251"
"1095","0","457","4","252"
"1096","0","458","1","253"
"1096","0","460","2","254"
"1096","0","461","3","255"
"1096","0","462","4","256"
"1097","0","463","1","257"
"1097","0","465","2","258"
"1097","0","466","3","259"
"1097","0","467","4","260"
"1098","0","468","1","261"
"1098","0","470","2","262"
"1098","0","471","3","263"
"1098","0","472","4","264"
"1099","0","473","1","265"
"1099","0","475","2","266"
"1099","0","476","3","267"
"1099","0","477","4","268"
"1100","0","478","1","269"
"1100","0","480","2","270"
"1100","0","481","3","271"
"1100","0","482","4","272"
"1101","0","483","1","273"
"1101","0","485","2","274"
"1101","0","486","3","275"
"1101","0","487","4","276"
