eee4efe3e720aec1ed0c634be03c62facd8a2223387e5c4935f9f811a1ecc3ca,1aadb6a8ba6604d53f5330a29705244faec03036ea1fe24ebc035e6f7fba4942,3b19b79cbbf41b22ecf306e668a6dcdc2041f3dc93f0463e17392aa84d56e3c4,91a40c2f23f81346a498430e5fd833b681bf3d3cfdecacf4ec4a4242b6cc1cd0,2ef562a44edbebc3cf6a615eac8bafa60019487afbdc8e34f0d45e6d3bedc169,a33d65ba2e4fe1487db1665415cc051eaf630df699ae7b52badfa096d7f714d1,bd747a8215e29b60d3317505cc727e79f3861f29a835402758dceebe0e2c8e86,e18126caf048a16ca61484d698ea6fbacaaf0636b81bb26a835eac07c705b706,9acd864872198c952d7c08d5d8633e740610d5a6d5af4eaca6c93ee9cd323baf,8ed65a4a9ad00c19530fb0d9f16a6b11730af07d26b15ab4a1572266fd4dafb7,9cabeff58d1781446f30c3b9624c92a426d843c5d7528f7cbdaab1316adf542d
"1040038","1040035","","91","4","","","","","",""
"1040039","105931","","3","4","1","0","","omp_talk_normal","",""
"1040040","vo_omp_7004","","21","4","0","","","vo_omp_7004_006","","0"
"1040041","105931","","11","4","10","","1","はい♪\nいえーい、でございます…！","","1"
"1040042","1.5","","93","4","","","","1","",""
"1040043","105931","","3","4","0","0.2","1","omp_psn_11","",""
"1040044","1040041","","91","4","","","","","",""
"1040045","105931","","4","4","","","","0","",""
"1040046","105931","","3","4","1","0","","omp_idle_normal","",""
"1040047","105831","","3","4","1","0.2","","omp_idle_joy1","",""
"1040048","106031","","3","4","1","0","","omp_idle_tsun","",""
"1040049","vo_omp_7004","","21","4","0","","","vo_omp_7004_007","","0"
"1040050","106031","","11","4","10","","1","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","","1"
"1040051","7","","93","4","","","","1","",""
"1040052","106031","","3","4","0","0.1","","omp_psn_12","",""
"1040053","1.5","","93","4","","","","","",""
"1040054","1040050","","91","4","","","","","",""
"1040055","106031","","3","4","1","0.2","","omp_idle_normal","",""
"1040056","105831","","3","4","1","0","","omp_idle_surprise1","",""
"1040057","vo_omp_7004","","21","4","0","","","vo_omp_7004_008","","0"
"1040058","105831","","11","4","10","","1","キャ、キャルちゃん…","","1"
"1040059","0","","91","4","","","","","",""
"1040060","105831","","3","4","1","0","","omp_idle_surprise1","",""
"1040061","105931","","3","4","1","0","","omp_talk_sad","",""
"1040062","vo_omp_7004","","21","4","0","","","vo_omp_7004_009","","0"
"1040063","105931","","11","4","10","","1","ものすごく、本気でございますね","","1"
"1040064","0","","91","4","","","","","",""
"1040065","105931","","3","4","1","0","","omp_idle_sad","",""
"1040066","106031","","3","4","0","0","1","omp_surprise","0.1","omp_talk_surprise2"
"1040067","vo_omp_7004","","21","4","0","","","vo_omp_7004_010","","0"
"1040068","106031","","11","4","10","","1","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","","1"
"1040069","6.5","","93","4","","","","1","",""
"1040070","106031","","3","4","1","0.2","","omp_talk_tsun","",""
"1040071","1040068","","91","4","","","","","",""
"1040072","0.4","","93","4","","","","","",""
"1050001","1","omp_talk_joy1","1","5","1500","1.8","-190","112611","0","-140"
"1050002","1","omp_idle_normal","1","5","1500","1.8","-190","112511","1","140"
"1050003","1","","31","5","0","1","1","1","","0"
"1050004","1","","93","5","","","","","",""
"1050005","vo_omp_7005","","21","5","0","","","vo_omp_7005_000","","0"
"1050006","112611","","11","5","10","","1","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","","1"
"1050007","0","","91","5","","","","","",""
"1050008","112611","","3","5","1","0","","omp_idle_joy1","",""
"1050009","112511","","3","5","1","0","","omp_talk_normal","",""
"1050010","vo_omp_7005","","21","5","0","","","vo_omp_7005_001","","0"
"1050011","112511","","11","5","10","","1","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","","1"
"1050012","0","","91","5","","","","","",""
"1050013","112511","","3","5","1","0","","omp_idle_normal","",""
"1050014","112611","","3","5","1","0","","omp_talk_joy1","",""
"1050015","vo_omp_7005","","21","5","0","","","vo_omp_7005_002","","0"
"1050016","112611","","11","5","10","","1","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","","1"
"1050017","6.2","","93","5","","","","1","",""
"1050018","112611","","3","5","1","0.2","","omp_talk_thinking","",""
"1050019","1050016","","91","5","","","","","",""
"1050020","112611","","3","5","1","0","","omp_idle_thinking","",""
"1050021","112511","","3","5","1","0","","omp_talk_normal2","",""
"1050022","vo_omp_7005","","21","5","0","","","vo_omp_7005_003","","0"
"1050023","112511","","11","5","10","","1","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","","1"
"1050024","0","","91","5","","","","","",""
"1050025","112511","","3","5","1","0","","omp_idle_calm","",""
"1050026","112611","","3","5","1","0.1","","omp_talk_sad","",""
"1050027","vo_omp_7005","","21","5","0","","","vo_omp_7005_004","","0"
"1050028","112611","","11","5","10","","1","し…し…","","1"
"1050029","0","","91","5","","","","","",""
"1050030","112611","","3","5","1","0","","omp_idle_sad","",""
"1050031","112511","","3","5","1","0","","omp_psn_19","",""
"1050032","vo_omp_7005","","21","5","0","","","vo_omp_7005_005","","0"
"1050033","112511","","11","5","10","","1","し…？","","1"
"1050034","0","","91","5","","","","","",""
"1050035","112511","","3","5","1","0","","omp_psn_18","",""
"1050036","112611","","3","5","1","0","","omp_talk_sad","",""
"1050037","vo_omp_7005","","21","5","0","","","vo_omp_7005_006","","0"
"1050038","112611","","11","5","10","","1","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","","1"
"1050039","4.5","","93","5","","","","1","",""
"1050040","112611","","3","5","1","0.2","","omp_talk_surprise2","",""
"1050041","1050038","","91","5","","","","","",""
"1050042","112611","","3","5","1","0","","omp_idle_surprise2","",""
"1050043","112511","","3","5","1","0","","omp_talk_normal","",""
"1050044","vo_omp_7005","","21","5","0","","","vo_omp_7005_007","","0"
"1050045","112511","","11","5","10","","1","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","","1"
"1050046","3.5","","93","5","","","","1","",""
"1050047","112511","","3","5","1","0.2","","omp_talk_anger","",""
"1050048","1050045","","91","5","","","","","",""
"1050049","112511","","3","5","1","0","","omp_idle_anger","",""
"1050050","112611","","3","5","1","0","","omp_talk_joy1","",""
"1050051","vo_omp_7005","","21","5","0","","","vo_omp_7005_008","","0"
"1050052","112611","","11","5","10","","1","えへへ、ごめんごめん☆","","1"
"1050053","0","","91","5","","","","","",""
"1050054","112611","","3","5","1","0","","omp_idle_joy1","",""
"1050055","112511","","3","5","1","0","","omp_talk_sad","",""
"1050056","vo_omp_7005","","21","5","0","","","vo_omp_7005_009","","0"
"1050057","112511","","11","5","10","","1","まったく\n…けど、さっきのは\nほんとのことだからね","","1"
"1050058","2","","93","5","","","","1","",""
"1050059","112511","","3","5","1","0.2","","omp_talk_normal","",""
"1050060","1050057","","91","5","","","","","",""
"1050061","112511","","3","5","1","0","","omp_idle_normal","",""
"1050062","112611","","3","5","1","0","","omp_talk_joy2","",""
"1050063","vo_omp_7005","","21","5","0","","","vo_omp_7005_010","","0"
"1050064","112611","","11","5","10","","1","うん！\nありがとっ、しぶりん！","","1"
"1050065","0","","91","5","","","","","",""
"1050066","0.4","","93","5","","","","","",""
"1060001","1","omp_talk_normal","1","6","1600","1.8","-195","112511","0","-180"
"1060002","1","omp_idle_normal","1","6","1500","1.8","-190","112411","1","20"
"1060003","1","omp_idle_normal","1","6","1600","1.8","-205","112611","1","220"
"1060004","1","","31","6","0","1","1","1","","0"
"1060005","1","","93","6","","","","","",""
"1060006","vo_omp_7006","","21","6","0","","","vo_omp_7006_000","","0"
"1060007","112511","","11","6","10","","1","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","","1"
"1060008","0","","91","6","","","","","",""
"1060009","112511","","3","6","1","0","","omp_idle_normal","",""
"1060010","112611","","3","6","1","0","","omp_talk_joy1","",""
"1060011","vo_omp_7006","","21","6","0","","","vo_omp_7006_001","","0"
"1060012","112611","","11","6","10","","1","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","","1"
"1060013","0","","91","6","","","","","",""
"1060014","112411","","4","6","","","","0","",""
"1060015","112611","","3","6","1","0","","omp_idle_joy1","",""
"1060016","112411","","3","6","1","0","","omp_talk_joy1","",""
"1060017","vo_omp_7006","","21","6","0","","","vo_omp_7006_002","","0"
"1060018","112411","","11","6","10","","1","えへへっ、ありがとうございます！\nえっと…","","1"
"1060019","0","","91","6","","","","","",""
"1060020","112411","","3","6","1","0","","omp_talk_normal","",""
"1060021","vo_omp_7006","","21","6","0","","","vo_omp_7006_003","","0"
"1060022","112411","","11","6","10","","1","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","","1"
"1060023","0","","91","6","","","","","",""
"1060024","112411","","3","6","1","0","","omp_talk_thinking","",""
"1060025","vo_omp_7006","","21","6","0","","","vo_omp_7006_004","","0"
"1060026","112411","","11","6","10","","1","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","","1"
"1060027","0","","91","6","","","","","",""
"1060028","112411","","3","6","1","0","","omp_talk_normal2","",""
"1060029","vo_omp_7006","","21","6","0","","","vo_omp_7006_005","","0"
"1060030","112411","","11","6","10","","1","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","","1"
"1060031","0","","91","6","","","","","",""
"1060032","112411","","3","6","1","0","","omp_idle_calm","",""
"1060033","112611","","3","6","1","0","","omp_talk_sad","",""
"1060034","vo_omp_7006","","21","6","0","","","vo_omp_7006_006","","0"
"1060035","112611","","11","6","10","","1","しまむー…！","","1"
"1060036","0","","91","6","","","","","",""
"1060037","112411","","4","6","","","","1","",""
"1060038","112611","","3","6","1","0","","omp_idle_sad","",""
"1060039","112511","","3","6","1","0","","omp_talk_thinking","",""
"1060040","vo_omp_7006","","21","6","0","","","vo_omp_7006_007","","0"
"1060041","112511","","11","6","10","","1","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","","1"
"1060042","0","","91","6","","","","","",""
"1060043","112411","","4","6","","","","0","",""
"1060044","112511","","3","6","1","0","","omp_idle_thinking","",""
"1060045","112611","","3","6","1","0","","omp_talk_joy1","",""
"1060046","vo_omp_7006","","21","6","0","","","vo_omp_7006_008","","0"
"1060047","112611","","11","6","10","","1","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","","1"
"1060048","0","","91","6","","","","","",""
"1060049","112411","","4","6","","","","1","",""
"1060050","112611","","3","6","1","0","","omp_idle_joy1","",""
"1060051","112411","","3","6","1","0","","omp_talk_joy2","",""
"1060052","vo_omp_7006","","21","6","0","","","vo_omp_7006_009","","0"
"1060053","112411","","11","6","10","","1","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","","1"
"1060054","1.2","","93","6","","","","1","",""
"1060055","112411","","4","6","","","","0","",""
"1060056","1060053","","91","6","","","","","",""
"1060057","112511","","2","6","-195","","1","-180","","0"
"1060058","112411","","2","6","-190","","1","0","","0"
"1060059","112611","","2","6","-195","","1","180","","0"
"1060060","112511","","3","6","0","0.1","","omp_psn_dicision_rin","",""
"1060061","112411","","3","6","0","0.1","","omp_psn_dicision_uduki","",""
"1060062","112611","","3","6","0","0.1","","omp_psn_dicision_mio","",""
"1060063","2","","31","6","0","1","1","2","","0"
"1060064","1060062","","91","6","","","","","",""
"1060065","0.6","","93","6","","","","","",""
"1070001","1","omp_idle_normal","1","7","1600","1.8","-205","105831","0","-100"
"1070002","1","omp_idle_normal","1","7","1600","1.8","-225","105931","0","-390"
"1070003","1","omp_idle_normal","1","7","1500","1.8","-190","106031","0","-260"
"1070004","1","omp_idle_normal","1","7","1500","1.8","-185","112511","1","250"
"1070005","1","omp_idle_normal","1","7","1600","1.8","-220","112411","1","385"
"1070006","1","omp_idle_normal","1","7","1600","1.8","-195","112611","1","100"
"1070007","1","","31","7","0","1","1","1","","0"
"1070008","0.2","","93","7","","","","","",""
"1070009","112611","","3","7","1","0.1","","omp_idle_normal","",""
"1070010","112411","","3","7","1","0","","omp_talk_normal","",""
"1070011","112511","","3","7","1","0.1","","omp_idle_normal","",""
"1070012","105831","","3","7","1","0.1","","omp_idle_normal","",""
"1070013","0.1","","93","7","","","","","",""
"1070014","1","","93","7","","","","","",""
"1070015","vo_omp_7007","","21","7","0","","","vo_omp_7007_000","","0"
"1070016","112411","","11","7","10","","1","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","","1"
"1070017","0","","91","7","","","","","",""
"1070018","112411","","3","7","1","0.1","","omp_idle_normal","",""
"1070019","105831","","3","7","1","0.1","","omp_talk_normal","",""
"1070020","vo_omp_7007","","21","7","0","","","vo_omp_7007_001","","0"
"1070021","105831","","11","7","10","","1","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","","1"
"1070022","0","","91","7","","","","","",""
"1070023","105831","","3","7","1","0","","omp_idle_normal","",""
"1070024","105931","","3","7","1","0","","omp_talk_worry","",""
"1070025","vo_omp_7007","","21","7","0","","","vo_omp_7007_002","","0"
"1070026","105931","","11","7","10","","1","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","","1"
"1070027","0","","91","7","","","","","",""
"1070028","105931","","3","7","1","0","","omp_idle_worry","",""
"1070029","106031","","3","7","1","0","","omp_talk_normal","",""
"1070030","vo_omp_7007","","21","7","0","","","vo_omp_7007_003","","0"
"1070031","106031","","11","7","10","","1","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","","1"
"1070032","0","","91","7","","","","","",""
"1070033","106031","","3","7","1","0","","omp_idle_normal","",""
"1070034","112611","","3","7","1","0","","omp_talk_worry","",""
"1070035","vo_omp_7007","","21","7","0","","","vo_omp_7007_004","","0"
"1070036","112611","","11","7","10","","1","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","","1"
"1070037","0","","91","7","","","","","",""
"1070038","112611","","3","7","1","0","","omp_idle_worry","",""
"1070039","105931","","3","7","1","0","","omp_talk_normal2","",""
"1070040","vo_omp_7007","","21","7","0","","","vo_omp_7007_005","","0"
"1070041","105931","","11","7","10","","1","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","","1"
"1070042","0","","91","7","","","","","",""
"1070043","105931","","3","7","1","0","","omp_idle_calm","",""
"1070044","112511","","3","7","1","0","","omp_talk_normal2","",""
"1070045","vo_omp_7007","","21","7","0","","","vo_omp_7007_006","","0"
