b3a11e4643ce5c94e84e31937ebe67f5d98140afa1c876079251b837e485064d,fb48158719cefc11b0498e74471b943ae5d6c1ffe9b2118133001932ea31b3e5,5cfa0cd2b444876e5560d075913ae40c0669f13ec3e42be7df79268fd3518bce,b48c775b842ea9590474756f06c04b1b9be09927d9cfa53d3a56d86ce1391f5c,d93ee2d61187660ca0fdf039498206f8baaa6e5c7f6851f8163d296089d0b1b6,77c66a8dd94fc5616ba5ed6be9d4fea80ad724eff3cb75a05cba2ca002869c5e,61946a55e454be327a43e565ac12c838ceb31144d7fdf43db5982b83c5cabf13,81f7b8ee7dfbed7bec127a73865987b3a2ca92c735fddfe9e77b28348127d476
"5","43","5","31805","2000","2","96003","3"
"5","44","5","31240","1500","2","96003","3"
"5","45","5","31238","1500","2","96003","3"
"5","46","5","31236","1500","2","96003","3"
"5","47","10","90005","2500","2","96003","3"
"5","48","50","140001","2500","4","96003","3"
"5","49","5","25001","500","2","96003","3"
"5","50","30","150003","500","4","96003","3"
"5","51","30","150004","650","4","96003","3"
"5","52","30","150005","750","4","96003","3"
"5","53","30","150006","900","4","96003","3"
"5","54","30","150007","1000","4","96003","3"
"5","55","30","150008","1150","4","96003","3"
"5","56","500","20004","2500","2","96003","3"
"5","57","500","22003","1000","2","96003","3"
"0","58","100","20004","1000","2","96003","3"
"0","59","100","22003","400","2","96003","3"
"1","60","1","21952","20000","2","96004","4"
"1","61","1","21905","10000","2","96004","4"
"2","62","1","41000","10000","2","96004","4"
"5","63","5","31807","2000","2","96004","4"
"5","64","5","31245","1500","2","96004","4"
"5","65","5","31248","1500","2","96004","4"
"5","66","5","31250","1500","2","96004","4"
"5","67","5","31091","1500","2","96004","4"
"5","68","10","90005","2500","2","96004","4"
"10","69","50","140001","2500","4","96004","4"
"10","70","10","25001","1000","2","96004","4"
"5","71","30","150003","500","4","96004","4"
"5","72","30","150004","650","4","96004","4"
"5","73","30","150005","750","4","96004","4"
"5","74","30","150006","900","4","96004","4"
"5","75","30","150007","1000","4","96004","4"
"5","76","30","150008","1150","4","96004","4"
"5","77","30","150009","1300","4","96004","4"
"5","78","500","20004","2500","2","96004","4"
"5","79","500","22003","1000","2","96004","4"
"0","80","100","20004","1000","2","96004","4"
"0","81","100","22003","400","2","96004","4"
"1","82","1","25101","20000","2","96005","5"
"1","83","1","21952","20000","2","96005","5"
"1","84","1","21905","10000","2","96005","5"
"2","85","1","41000","10000","2","96005","5"
"5","86","5","31200","1500","2","96005","5"
"5","87","5","31253","1500","2","96005","5"
"5","88","5","31255","1500","2","96005","5"
"5","89","5","31256","1500","2","96005","5"
"5","90","10","90005","2500","2","96005","5"
"10","91","50","140001","2500","4","96005","5"
"10","92","10","25001","1000","2","96005","5"
"5","93","30","150003","500","4","96005","5"
"5","94","30","150004","650","4","96005","5"
"5","95","30","150005","750","4","96005","5"
"5","96","30","150006","900","4","96005","5"
"5","97","30","150007","1000","4","96005","5"
"5","98","30","150008","1150","4","96005","5"
"5","99","30","150009","1300","4","96005","5"
"5","100","500","20004","2500","2","96005","5"
"5","101","500","22003","1000","2","96005","5"
"0","102","100","20004","1000","2","96005","5"
"0","103","100","22003","400","2","96005","5"
"1","104","1","25101","20000","2","96006","6"
"1","105","1","21952","20000","2","96006","6"
"1","106","1","21905","10000","2","96006","6"
"2","107","1","41000","10000","2","96006","6"
"5","108","5","31262","1500","2","96006","6"
"5","109","5","31266","1500","2","96006","6"
"5","110","5","31269","1500","2","96006","6"
"5","111","5","31271","1500","2","96006","6"
"5","112","10","90005","2500","2","96006","6"
"10","113","50","140001","2500","4","96006","6"
"10","114","10","25001","1000","2","96006","6"
"5","115","30","150003","500","4","96006","6"
"5","116","30","150004","650","4","96006","6"
"5","117","30","150005","750","4","96006","6"
"5","118","30","150006","900","4","96006","6"
"5","119","30","150007","1000","4","96006","6"
"5","120","30","150008","1150","4","96006","6"
"5","121","30","150009","1300","4","96006","6"
"5","122","500","20004","2500","2","96006","6"
"5","123","500","22003","1000","2","96006","6"
"0","124","100","20004","1000","2","96006","6"
"0","125","100","22003","400","2","96006","6"
"1","126","1","25101","20000","2","96007","7"
"1","127","1","21952","20000","2","96007","7"
"1","128","1","21905","10000","2","96007","7"
"2","129","1","41000","10000","2","96007","7"
"5","130","5","31272","1500","2","96007","7"
"5","131","5","31808","2000","2","96007","7"
"5","132","5","31275","1500","2","96007","7"
"5","133","10","90005","2500","2","96007","7"
"10","134","50","140001","2500","4","96007","7"
"10","135","10","25001","1000","2","96007","7"
"5","136","30","150003","500","4","96007","7"
"5","137","30","150004","650","4","96007","7"
"5","138","30","150005","750","4","96007","7"
"5","139","30","150006","900","4","96007","7"
"5","140","30","150007","1000","4","96007","7"
"5","141","30","150008","1150","4","96007","7"
"5","142","30","150009","1300","4","96007","7"
"5","143","500","20004","2500","2","96007","7"
"5","144","500","22003","1000","2","96007","7"
"0","145","100","20004","1000","2","96007","7"
"0","146","100","22003","400","2","96007","7"
"1","147","1","25101","20000","2","96008","8"
"1","148","1","21952","20000","2","96008","8"
"1","149","1","21905","10000","2","96008","8"
"2","150","1","41000","10000","2","96008","8"
"5","151","5","31279","1500","2","96008","8"
"5","152","5","31809","2000","2","96008","8"
"5","153","5","31284","1500","2","96008","8"
"5","154","5","31285","1500","2","96008","8"
"5","155","5","31289","1500","2","96008","8"
"5","156","5","31287","1500","2","96008","8"
"5","157","5","31293","1500","2","96008","8"
"5","158","10","90005","2500","2","96008","8"
"10","159","50","140001","2500","4","96008","8"
"10","160","10","25001","1000","2","96008","8"
"5","161","30","150003","500","4","96008","8"
"5","162","30","150004","650","4","96008","8"
"5","163","30","150005","750","4","96008","8"
"5","164","30","150006","900","4","96008","8"
"5","165","30","150007","1000","4","96008","8"
"5","166","30","150008","1150","4","96008","8"
"5","167","30","150009","1300","4","96008","8"
"5","168","500","20004","2500","2","96008","8"
"5","169","500","22003","1000","2","96008","8"
"0","170","100","20004","1000","2","96008","8"
"0","171","100","22003","400","2","96008","8"
