e7a51150f86589c5d5ab0814cd3251f62c4093163a0f7c4403a68a2be29c28ce,dd0e5d6c204be8fe7df9835923bc765d219b9aa32ec73b3f672026b9199714e1,190438667c1e0710833760985361b5bd838cf27509084377bd4d3396f8888ace,ae3e830d394965ab28e4fee100fe23df9787d5e0c851d3bb87e14cb28cb74d0b,ac3bb31751b2a5d87a232e3e19613805747e352f40ee7d0c56ce5b48037ef7b7,cbfad4a688983af19119f929181111b12362f54233d726ff100ebf65dc63044d,a2b596af1f9a7386a5fb647330413e1a4e62c2f76b935a34f8f625b10cbcf258,aaf18c74c93fc8c5ebce6bd8ca70efc727ef5d7e047b9d4d0036c9dbd2203960,64996e2571ae55be8feffa4cd2a3506b7bff81f153e4ad8128c2f17583885fac,8876540525a3650113f4cd468e3a194e35eb181188b85097d400850445e4f22a,805de2e81a0506c7e325f9b42ccbba00fcbb583e5aa398a5dac4b38ef2ff726e,c3e6c0191f81e95bb5d8aed9fa07b83c3bad070023233551c7d39a156f467640,f5a6f87e58bf5bda998117dd4e3e41bb6f951983e2ccd05940dd8294704f0e15
"こくねつのさばく","52","20","","","-1","52","1000","酷熱の砂漠","","","2019-02-15 15:00:00",""
"めでゅーさ","53","20","","","-1","53","1000","メデューサ","","","2019-02-15 15:00:00",""
"くろがねのないとめあ","54","20","","","-1","54","1000","黒鉄の亡霊（ナイトメア）","","","2019-02-15 15:00:00",""
"りびんぐめいる","55","20","","","-1","55","1000","リビングメイル","","","2019-02-15 15:00:00",""
"あるーふねすこーど","56","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","-1","56","1500","Aloofness Code","","","2019-02-15 15:00:00","A2001372582/"
"あぶそりゅーとしーくれっと","57","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","2008015","57","1500","Absolute Secret","","","2019-02-15 15:00:00","A2001452543/"
"あくありおす","58","20","","","-1","58","1000","アクアリオス","","","2019-02-15 15:00:00",""
"ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる","59","20","","","-1","59","1000","バトルオブバレンタイン！想いぶつかるスウィートバトル","","","2019-02-15 15:00:00",""
"あぐりーらぶりー","60","20","","","-1","60","1000","アグリーラブリー","","","2019-02-15 15:00:00",""
"すーぱーちょこれーと","61","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","-1","61","1500","SUPER CHOCOLATE","","","2019-02-15 15:00:00","A2001502066/"
"さかいのなかのおあしす","62","20","","","-1","62","1000","砂海の中のオアシス","","","2019-03-19 15:00:00",""
"ふしぎなもり","63","20","","","-1","63","1000","不思議な森","","","2019-03-19 15:00:00",""
"とるぺどん","64","20","","","-1","64","1000","トルペドン","","","2019-03-19 15:00:00",""
"おうとのめいたんていなげきのすとーかー","65","20","","","-1","65","1000","王都の名探偵　嘆きの追跡者（ストーカー）","","","2019-03-19 15:00:00",""
"なげきのめがみ","66","20","","","-1","66","1000","嘆きの女神","","","2019-03-19 15:00:00",""
"みかいけつなおもい","67","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","-1","67","1500","未解決な想い","","","2019-03-19 15:00:00","A2001552686/"
"ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん","68","20","","","-1","68","1000","ロボリマ来襲！王都滅亡までのカウントダウン","","","2019-04-19 15:00:00",""
"ろぼりま","69","20","","","-1","69","1000","ロボリマ","","","2019-04-19 15:00:00",""
"ろぼりましゅうえん","70","20","","","-1","70","1000","ロボリマ~終焉~","","","2019-04-19 15:00:00",""
"あすとるむにさくそうりんのはな","71","20","","","-1","71","1000","アストルムに咲く双輪の華","","","2019-04-19 15:00:00",""
"こあぎがーす","72","20","","","-1","72","1000","コア・ギガース","","","2019-04-19 15:00:00",""
"くろっしんぐでぃすてぃにー","73","20","","","-1","73","1500","Crossing Destiny","","","2019-04-19 15:00:00",""
"がんほうにひそむもの","74","20","","","-1","74","1000","岩峰に潜むもの","","","2019-05-17 15:00:00",""
"しょーぐんどうちゅうきはくよくのさむらい","75","20","","","-1","75","1000","ショーグン道中記　白翼のサムライ","","","2019-05-17 15:00:00",""
"あくだいかん","76","20","","","-1","76","1000","アクダイカン","","","2019-05-17 15:00:00",""
"はくよくのぐろーりえ","77","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","-1","77","1500","白翼のグローリエ","","","2019-05-17 15:00:00","A2001612987/"
"かざんのふもと","78","20","","","-1","78","1000","火山の麓","","","2019-06-18 15:00:00",""
"げんれつなるあれち","79","20","","","-1","79","1000","厳烈なる荒地","","","2019-06-18 15:00:00",""
"たいだのきょうじん","80","20","","","-1","80","1000","怠惰の狂人","","","2019-06-18 15:00:00",""
"つづみのおとひびくもり","81","20","","","-1","81","1000","鼓の音響く森","","","2019-07-18 15:00:00",""
"すずなれいんぼーすてーじ","82","20","","","-1","82","1000","スズナレインボーステージ！","","","2019-07-18 15:00:00",""
"あまがみさま","83","20","","","-1","83","1000","雨神様","","","2019-07-18 15:00:00",""
"せのびふぁーすときす","84","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","-1","84","1500","背伸びFirst Kiss","","","2019-07-18 15:00:00","A2001629618/"
"おにいちゃんそうだつしずるのおてつだい","85","20","","","-1","85","1000","お兄ちゃん争奪！　シズルのお手伝い","","","2019-08-15 15:00:00",""
"おにいちゃんそうだつえりこのおてつだい","86","20","","","-1","86","1000","お兄ちゃん争奪！　エリコのお手伝い","","","2019-08-15 15:00:00",""
"まなつのまほまほおうこくなみうちぎわのそうるさまー","87","20","","","-1","87","1000","真夏のマホマホ王国 波打ち際のソウルサマー！","","","2019-08-15 15:00:00",""
"まじむん","88","20","","","-1","88","1000","マジムン","","","2019-08-15 15:00:00",""
"うぃーあーごーるでん","89","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","-1","89","1500","We Are Golden","","","2019-08-15 15:00:00","A2001629618/"
"くうかだいかいてん","90","20","","","-1","90","1000","クウカ大回転","","","2019-09-16 15:00:00",""
"もりのぼっちとせいなるがくしゃのりせえんぬ","91","20","","","-1","91","1000","森の臆病者と聖なる学舎の異端児","","","2019-09-16 15:00:00",""
"おおどくまんどらごら","92","20","","","-1","92","1000","オオドクマンドラゴラ","","","2019-09-16 15:00:00",""
"なかよしせんせーしょん","93","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","-1","93","1500","なかよしセンセーション","","","2019-09-16 15:00:00","A2001640446/"
"ふおんのねをふみこえて","94","20","","","-1","94","1000","不穏の根を踏み越えて","","","2019-10-16 15:00:00",""
"かおりのまぶいしきからてどうじょう","95","20","","","-1","95","1000","カオリのマブイ式空手道場","","","2019-10-16 15:00:00",""
"りとるぶれいぶはろうぃんないと","96","20","","","-1","96","1000","リトル・ブレイブ・ハロウィンナイト！","","","2019-10-16 15:00:00",""
"ふぁんとむばろん","97","20","","","-1","97","1000","ファントムバロン","","","2019-10-16 15:00:00",""
"とりっくほりっく","98","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","-1","98","1500","トリックホリック","","","2019-10-16 15:00:00","A2001640446/"
"ぬかるむもりのさきへ","94","20","","","-1","99","1000","泥濘む森の先へ","","","2019-11-15 15:00:00",""
"だいげきせんしりとりどらごんず","95","20","","","-1","100","1000","大激戦！しりとりドラゴンズ","","","2019-11-15 15:00:00",""
"どらごんえくすぷろーらーず","96","20","","","-1","101","1000","ドラゴンエクスプローラーズ","","","2019-11-15 15:00:00",""
"どらごんもどき","97","20","","","-1","102","1000","ドラゴンもどき","","","2019-11-15 15:00:00",""
"いんふれいむず","98","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","-1","103","1500","in flames","","","2019-11-15 15:00:00","A2001716909/"
"あらたなるちからへのちょうせん","104","20","","","-1","104","1000","新たなる力への試練","","","2019-12-20 15:00:00",""
"ぷれぜんとぱにっくらんどそるのさんたたち","105","20","","","-1","105","1000","プレゼントパニック！　ランドソルのサンタたち","","","2019-12-20 15:00:00",""
"となかいヴぇんでった","106","20","","","-1","106","1000","トナカイ・ヴェンデッタ","","","2019-12-20 15:00:00",""
"こーるみーだーりん","107","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","-1","107","1500","Call Me Darling！","","","2019-12-20 15:00:00","A2001716909/"
"おうとしゅうまつけっせん","108","20","","","2015007","108","1000","王都終末決戦","","","2020-01-16 15:00:00",""
"こうていにつかえししもべとのたたかい","109","20","","","2015007","109","1000","皇帝に仕えし僕との戦い","","","2020-01-16 15:00:00",""
"かみたるものとのけっせん","110","20","","","2015007","110","1000","神たる者との決戦","","","2020-01-16 15:00:00",""
"げきそうらんどそるぎるどれーす","111","20","","","-1","111","1000","激走！　ランドソルギルドレース","","","2020-01-16 15:00:00",""
"やまがみさま","112","20","","","-1","112","1000","山神様","","","2020-01-16 15:00:00",""
"さいこうすたーとだっしゅ","113","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","-1","113","1500","SAI＊KOUスタートダッシュ","","","2020-01-16 15:00:00","A2001734667/"
"たいかいをのぞんで","114","20","","","-1","114","1000","大海を望んで","","","2020-01-16 15:00:00",""
"まほうしょうじょふたりはみすてぃあんどぴゅありー","115","20","","","-1","115","1000","魔法少女　二人はミスティ＆ピュアリー","","","2020-02-15 15:00:00",""
"あんちびーすと","116","20","","","-1","116","1000","アンチビースト","","","2020-02-15 15:00:00",""
"こもれびもんたーじゅ","117","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","-1","117","1500","木もれびモンタージュ","","","2020-02-15 15:00:00","A2001734667/"
"あいどるをめざして","118","20","","","-1","118","1000","アイドルを目指して！","","","2020-03-13 15:00:00",""
"おもいでのあしあと","119","20","","","-1","119","1000","思い出の足跡","","","2020-03-13 15:00:00",""
"ぷりんせすないと","120","20","","","-1","120","1000","プリンセスナイト","","","2020-03-13 15:00:00",""
"さずけのえんじぇるとせいなるがくしゃのりせえんぬ","121","20","","","-1","121","1000","授けの財団と聖なる学舎の異端児","","","2020-04-15 15:00:00",""
"なかよしえっくす","122","20","","","-1","122","1000","なかよしＸ","","","2020-04-15 15:00:00",""
"せいしゅんすぴなー","123","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","-1","123","1500","青春スピナー","","","2020-04-15 15:00:00","A2001772609/"
"みつりんのかげにまつは","124","20","","","-1","124","1000","密林の影に待つは","","","2020-04-15 15:00:00",""
"みらーじゅげーむ","125","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","2101001","125","1500","Mirage Game","","","2020-04-15 15:00:00","A2001693583/"
"いえすぷれしゃすはーもにー","126","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","2101014","126","1500","Yes！ Precious Harmony！","","","2020-04-15 15:00:00","A2001693583/"
"ちゅうちゅうぱにっくちーずおまもりだいさくせん","127","20","","","-1","127","1000","チュウチュウパニック！　チーズお守り大作戦！","","","2020-05-15 15:00:00",""
"まきばのよんのうしびんぼうぼくじょうふんとうき","128","20","","","-1","128","1000","まきばの四農士　貧乏牧場奮闘記！","","","2020-05-15 15:00:00",""
"しのびのとうりょうはんぞう","129","20","","","-1","129","1000","忍びの頭領ハンゾウ","","","2020-05-15 15:00:00",""
"はーとふるぷれいす","130","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","-1","130","1500","Heartful Place","","","2020-05-15 15:00:00","A2001772609/"
"ふしぎのくにのにのちいさなありすときぼうのえほん","131","20","","","-1","131","1000","不思議の国のリノ　小さなアリスと希望の絵本","","","2020-06-17 15:00:00",""
"くろのおうじゃばうぉっく","132","20","","","-1","132","1000","黒の王ジャバウォック","","","2020-06-17 15:00:00",""
"ふぇありーているはゆめのなか","133","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","-1","133","1500","フェアリーテイルは夢の中","","","2020-06-17 15:00:00","A2001823541/"
"ゆうゆうたるもり","134","20","","","-1","134","1000","幽幽たる森","","","2020-06-17 15:00:00",""
"たなばたけんきゃくりょじょうたんてんにながれるなつのこい","135","20","","","-1","135","1000","七夕剣客旅情譚　天に流れる夏の恋","","","2020-07-15 15:00:00",""
"かくせいうわきぼし","136","20","","","-1","136","1000","覚醒・浮気星","","","2020-07-15 15:00:00",""
"たそがれたいへいたびじうた","137","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","-1","137","1500","黄昏太平旅路唄","","","2020-07-15 15:00:00","A2001823541/"
"みさとさまーえーるゆめおうまなつのないん","138","20","","","-1","138","1000","ミサトサマーエール！　夢追う真夏のナイン","","","2020-08-15 15:00:00",""
"なぎさのぼうくんさめきち","139","20","","","-1","139","1000","渚の暴君・鮫吉","","","2020-08-15 15:00:00",""
"もうくんだげきどうみさとのほーむらんどりる","140","20","","","-1","140","1000","猛訓打撃道！　ミサトのホームランドリル","","","2020-08-15 15:00:00",""
"めざせほーむらん","141","20","","","-1","141","1000","目指せホームラン！","","","2020-08-15 15:00:00",""
"ひとなつのおもいで","142","20","","","-1","142","1000","ひと夏の思い出","","","2020-08-15 15:00:00",""
"あのなつのめもりー","143","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","-1","143","1500","あの夏のメモリー","","","2020-08-15 15:00:00","A2001871533/"
"きよらかなるかわおと","144","20","","","-1","144","1000","清らかなる川音","","","2020-08-15 15:00:00",""
"はっぴーちぇんじえんじぇるず","145","20","","","-1","145","1000","ハッピー・チェンジ・エンジェルズ","","","2020-09-19 15:00:00",""
"ぼうそうのいのせんとぼう","146","20","","","-1","146","1000","暴走のイノセントボウ","","","2020-09-19 15:00:00",""
"ねぇねぇぷりーず","147","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","-1","147","1500","ねぇねぇPlease！","","","2020-09-19 15:00:00","A2001871533/"
"ひびけぜっきょうはろうぃんごーすとふぇすてぃばる","148","20","","","-1","148","1000","響け！絶叫！ハロウィンゴーストフェスティバル","","","2020-10-15 15:00:00",""
"きょうふのごーすとふぁーざー","149","20","","","-1","149","1000","叫怖のゴーストファーザー","","","2020-10-15 15:00:00",""
"ぱらどっくす","150","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","-1","150","1500","Paradox","","","2020-10-15 15:00:00","A2001927869/"
"まほうていとくらぶりーもにかれっつごーまじかるかるてっと","151","20","","","-1","151","1000","魔法提督ラブリー★モニカ　レッツゴー！マジカルカルテット！","","","2020-11-21 15:00:00",""
"あんちびーすとどえむ","152","20","","","-1","152","1000","アンチビースト de M","","","2020-11-21 15:00:00",""
"かがやけらぶりーどりーみー","153","20","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","-1","153","1500","輝け！ラブリー★ドリーミー","","","2020-11-21 15:00:00","A2001927869/"
