808bc574f998a3cf6ee90317dfc4a443d14c8851679fd6f5265995951602bc41,188bd0f7a47f61d591e35e0f077c46cf1cd1c7853f1e28ddb703b5d539d3fdf0,617ef3aa0c0caf753ece028c856af8eb4cc4a6e291d3570f7cfa3f988cd2adc6,10340d958a52bc92c23e29042ad31b71805b5f83b9b8d752bfa1ae08fbcead33,20075d6c6964b33bbe9f2023694ae40da15a28e6995b27a461a507b8f9dc3a79
"1","100715","2","41000","199"
"1000000","100716","12","94002","200"
"500","100716","2","20004","201"
"40","100717","8","91002","202"
"1500","100717","2","90008","203"
"2000000","100718","12","94002","204"
"2000","100718","2","90008","205"
"3000000","100801","12","94002","206"
"300","100801","2","20004","207"
"1000","100802","2","90008","208"
"12","100803","2","25001","209"
"1000000","100804","12","94002","210"
"300","100804","2","20004","211"
"1000","100805","2","90008","212"
"10","100806","2","25001","213"
"40","100807","8","91002","214"
"1000000","100807","12","94002","215"
"300","100807","2","20004","216"
"1000","100808","2","90008","217"
"1","100809","2","41000","218"
"10","100809","2","25001","219"
"1000000","100810","12","94002","220"
"400","100810","2","20004","221"
"1500","100811","2","90008","222"
"40","100812","8","91002","223"
"9","100812","2","25001","224"
"1000000","100813","12","94002","225"
"400","100813","2","20004","226"
"1500","100814","2","90008","227"
"1","100815","2","41000","228"
"1000000","100816","12","94002","229"
"500","100816","2","20004","230"
"40","100817","8","91002","231"
"1500","100817","2","90008","232"
"2000000","100818","12","94002","233"
"2000","100818","2","90008","234"
"3000000","100901","12","94002","235"
"300","100901","2","20004","236"
"1000","100902","2","90008","237"
"150","100902","2","23003","238"
"12","100903","2","25001","239"
"1000000","100904","12","94002","240"
"300","100904","2","20004","241"
"1000","100905","2","90008","242"
"150","100905","2","23003","243"
"10","100906","2","25001","244"
"40","100907","8","91002","245"
"1000000","100907","12","94002","246"
"300","100907","2","20004","247"
"1000","100908","2","90008","248"
"200","100908","2","23003","249"
"1","100909","2","41000","250"
"10","100909","2","25001","251"
"1000000","100910","12","94002","252"
"400","100910","2","20004","253"
"1500","100911","2","90008","254"
"40","100912","8","91002","255"
"9","100912","2","25001","256"
"1000000","100913","12","94002","257"
"400","100913","2","20004","258"
"1500","100914","2","90008","259"
"1","100915","2","41000","260"
"1000000","100916","12","94002","261"
"500","100916","2","20004","262"
"40","100917","8","91002","263"
"1500","100917","2","90008","264"
"2000000","100918","12","94002","265"
"2000","100918","2","90008","266"
"3000000","101001","12","94002","267"
"300","101001","2","20004","268"
"1000","101002","2","90008","269"
"150","101002","2","23003","270"
"12","101003","2","25001","271"
"1000000","101004","12","94002","272"
"300","101004","2","20004","273"
"1000","101005","2","90008","274"
"150","101005","2","23003","275"
"10","101006","2","25001","276"
"40","101007","8","91002","277"
"1000000","101007","12","94002","278"
"300","101007","2","20004","279"
"1000","101008","2","90008","280"
"200","101008","2","23003","281"
"1","101009","2","41000","282"
"10","101009","2","25001","283"
"1000000","101010","12","94002","284"
"400","101010","2","20004","285"
"1500","101011","2","90008","286"
"40","101012","8","91002","287"
"9","101012","2","25001","288"
"1000000","101013","12","94002","289"
"400","101013","2","20004","290"
"1500","101014","2","90008","291"
"1","101015","2","41000","292"
"1000000","101016","12","94002","293"
"500","101016","2","20004","294"
"40","101017","8","91002","295"
"1500","101017","2","90008","296"
"2000000","101018","12","94002","297"
"2000","101018","2","90008","298"
"3000000","101101","12","94002","299"
"300","101101","2","20004","300"
"1000","101102","2","90008","301"
"150","101102","2","23003","302"
"12","101103","2","25001","303"
"1000000","101104","12","94002","304"
"300","101104","2","20004","305"
"1000","101105","2","90008","306"
"150","101105","2","23003","307"
"10","101106","2","25001","308"
"40","101107","8","91002","309"
"1000000","101107","12","94002","310"
"300","101107","2","20004","311"
"1000","101108","2","90008","312"
"200","101108","2","23003","313"
"1","101109","2","41000","314"
"10","101109","2","25001","315"
"1000000","101110","12","94002","316"
"400","101110","2","20004","317"
"1500","101111","2","90008","318"
"40","101112","8","91002","319"
"9","101112","2","25001","320"
"1000000","101113","12","94002","321"
"400","101113","2","20004","322"
"1500","101114","2","90008","323"
"1","101115","2","41000","324"
"1000000","101116","12","94002","325"
"500","101116","2","20004","326"
"40","101117","8","91002","327"
"1500","101117","2","90008","328"
"2000000","101118","12","94002","329"
"2000","101118","2","90008","330"
"3000000","101201","12","94002","331"
"300","101201","2","20004","332"
"1000","101202","2","90008","333"
"150","101202","2","23003","334"
"12","101203","2","25001","335"
"1000000","101204","12","94002","336"
"300","101204","2","20004","337"
"1000","101205","2","90008","338"
"150","101205","2","23003","339"
"10","101206","2","25001","340"
"40","101207","8","91002","341"
"1000000","101207","12","94002","342"
"300","101207","2","20004","343"
"1000","101208","2","90008","344"
"200","101208","2","23003","345"
"1","101209","2","41000","346"
"10","101209","2","25001","347"
"1000000","101210","12","94002","348"
"400","101210","2","20004","349"
"1500","101211","2","90008","350"
"40","101212","8","91002","351"
"9","101212","2","25001","352"
"1000000","101213","12","94002","353"
"400","101213","2","20004","354"
"1500","101214","2","90008","355"
"1","101215","2","41000","356"
"1000000","101216","12","94002","357"
"500","101216","2","20004","358"
"40","101217","8","91002","359"
"1500","101217","2","90008","360"
"2000000","101218","12","94002","361"
"2000","101218","2","90008","362"
"3000000","101301","12","94002","363"
"300","101301","2","20004","364"
"1000","101302","2","90008","365"
"150","101302","2","23003","366"
"12","101303","2","25001","367"
"1000000","101304","12","94002","368"
"300","101304","2","20004","369"
"1000","101305","2","90008","370"
"150","101305","2","23003","371"
"10","101306","2","25001","372"
"40","101307","8","91002","373"
"1000000","101307","12","94002","374"
"300","101307","2","20004","375"
"1000","101308","2","90008","376"
"200","101308","2","23003","377"
"1","101309","2","41000","378"
"10","101309","2","25001","379"
"1000000","101310","12","94002","380"
"400","101310","2","20004","381"
"1500","101311","2","90008","382"
"40","101312","8","91002","383"
"9","101312","2","25001","384"
"1000000","101313","12","94002","385"
"400","101313","2","20004","386"
"1500","101314","2","90008","387"
"1","101315","2","41000","388"
"1000000","101316","12","94002","389"
"500","101316","2","20004","390"
"40","101317","8","91002","391"
"1500","101317","2","90008","392"
"2000000","101318","12","94002","393"
"2000","101318","2","90008","394"
"3000000","101401","12","94002","395"
"300","101401","2","20004","396"
"1000","101402","2","90008","397"
"150","101402","2","23003","398"
"12","101403","2","25001","399"
"1000000","101404","12","94002","400"
"300","101404","2","20004","401"
"1000","101405","2","90008","402"
"150","101405","2","23003","403"
"10","101406","2","25001","404"
"40","101407","8","91002","405"
"1000000","101407","12","94002","406"
"300","101407","2","20004","407"
"1000","101408","2","90008","408"
"200","101408","2","23003","409"
"1","101409","2","41000","410"
"10","101409","2","25001","411"
"1000000","101410","12","94002","412"
"400","101410","2","20004","413"
"1500","101411","2","90008","414"
"40","101412","8","91002","415"
"9","101412","2","25001","416"
"1000000","101413","12","94002","417"
"400","101413","2","20004","418"
"1500","101414","2","90008","419"
"1","101415","2","41000","420"
"1000000","101416","12","94002","421"
"500","101416","2","20004","422"
"40","101417","8","91002","423"
"1500","101417","2","90008","424"
"2000000","101418","12","94002","425"
"2000","101418","2","90008","426"
"3000000","101501","12","94002","427"
"300","101501","2","20004","428"
"1000","101502","2","90008","429"
"150","101502","2","23003","430"
"12","101503","2","25001","431"
"1000000","101504","12","94002","432"
"300","101504","2","20004","433"
"1000","101505","2","90008","434"
"150","101505","2","23003","435"
"10","101506","2","25001","436"
"40","101507","8","91002","437"
"1000000","101507","12","94002","438"
"300","101507","2","20004","439"
"1000","101508","2","90008","440"
"200","101508","2","23003","441"
"1","101509","2","41000","442"
"10","101509","2","25001","443"
"1000000","101510","12","94002","444"
"400","101510","2","20004","445"
"1500","101511","2","90008","446"
"40","101512","8","91002","447"
"9","101512","2","25001","448"
"1000000","101513","12","94002","449"
"400","101513","2","20004","450"
"1500","101514","2","90008","451"
"1","101515","2","41000","452"
"1000000","101516","12","94002","453"
"500","101516","2","20004","454"
"40","101517","8","91002","455"
"1500","101517","2","90008","456"
"2000000","101518","12","94002","457"
"2000","101518","2","90008","458"
"3000000","101601","12","94002","459"
"300","101601","2","20004","460"
"1000","101602","2","90008","461"
"150","101602","2","23003","462"
"12","101603","2","25001","463"
"1000000","101604","12","94002","464"
"300","101604","2","20004","465"
"1000","101605","2","90008","466"
"150","101605","2","23003","467"
"10","101606","2","25001","468"
"40","101607","8","91002","469"
"1000000","101607","12","94002","470"
"300","101607","2","20004","471"
"1000","101608","2","90008","472"
"200","101608","2","23003","473"
"1","101609","2","41000","474"
"10","101609","2","25001","475"
"1000000","101610","12","94002","476"
"400","101610","2","20004","477"
"1500","101611","2","90008","478"
"40","101612","8","91002","479"
"9","101612","2","25001","480"
"1000000","101613","12","94002","481"
"400","101613","2","20004","482"
"1500","101614","2","90008","483"
"1","101615","2","41000","484"
"1000000","101616","12","94002","485"
"500","101616","2","20004","486"
"40","101617","8","91002","487"
"1500","101617","2","90008","488"
"2000000","101618","12","94002","489"
"2000","101618","2","90008","490"
"3000000","101701","12","94002","491"
"300","101701","2","20004","492"
"1000","101702","2","90008","493"
"150","101702","2","23003","494"
"12","101703","2","25001","495"
"1000000","101704","12","94002","496"
"300","101704","2","20004","497"
"1000","101705","2","90008","498"
"150","101705","2","23003","499"
"10","101706","2","25001","500"
"40","101707","8","91002","501"
"1000000","101707","12","94002","502"
"300","101707","2","20004","503"
"1000","101708","2","90008","504"
"200","101708","2","23003","505"
"1","101709","2","41000","506"
"10","101709","2","25001","507"
"1000000","101710","12","94002","508"
"400","101710","2","20004","509"
"1500","101711","2","90008","510"
"40","101712","8","91002","511"
"9","101712","2","25001","512"
"1000000","101713","12","94002","513"
"400","101713","2","20004","514"
"1500","101714","2","90008","515"
"1","101715","2","41000","516"
"1000000","101716","12","94002","517"
"500","101716","2","20004","518"
"40","101717","8","91002","519"
"1500","101717","2","90008","520"
"2000000","101718","12","94002","521"
"2000","101718","2","90008","522"
"3000000","101801","12","94002","523"
"300","101801","2","20004","524"
"1000","101802","2","90008","525"
"150","101802","2","23003","526"
"12","101803","2","25001","527"
"1000000","101804","12","94002","528"
"300","101804","2","20004","529"
"1000","101805","2","90008","530"
"150","101805","2","23003","531"
"10","101806","2","25001","532"
"40","101807","8","91002","533"
"1000000","101807","12","94002","534"
"300","101807","2","20004","535"
"1000","101808","2","90008","536"
"200","101808","2","23003","537"
"1","101809","2","41000","538"
"10","101809","2","25001","539"
"1000000","101810","12","94002","540"
"400","101810","2","20004","541"
"1500","101811","2","90008","542"
"40","101812","8","91002","543"
"9","101812","2","25001","544"
"1000000","101813","12","94002","545"
"400","101813","2","20004","546"
"1500","101814","2","90008","547"
"1","101815","2","41000","548"
"1000000","101816","12","94002","549"
"500","101816","2","20004","550"
"40","101817","8","91002","551"
"1500","101817","2","90008","552"
"2000000","101818","12","94002","553"
"2000","101818","2","90008","554"
"3000000","101901","12","94002","555"
"300","101901","2","20004","556"
"1000","101902","2","90008","557"
"150","101902","2","23003","558"
"12","101903","2","25001","559"
"1000000","101904","12","94002","560"
"300","101904","2","20004","561"
"1000","101905","2","90008","562"
"150","101905","2","23003","563"
"10","101906","2","25001","564"
"40","101907","8","91002","565"
"1000000","101907","12","94002","566"
"300","101907","2","20004","567"
"1000","101908","2","90008","568"
"200","101908","2","23003","569"
"1","101909","2","41000","570"
"10","101909","2","25001","571"
"1000000","101910","12","94002","572"
"400","101910","2","20004","573"
"1500","101911","2","90008","574"
"40","101912","8","91002","575"
"9","101912","2","25001","576"
"1000000","101913","12","94002","577"
"400","101913","2","20004","578"
"1500","101914","2","90008","579"
"1","101915","2","41000","580"
"1000000","101916","12","94002","581"
"500","101916","2","20004","582"
"40","101917","8","91002","583"
"1500","101917","2","90008","584"
"2000000","101918","12","94002","585"
"2000","101918","2","90008","586"
