fe39e22941af5cd5ff43b863e11baca36edee6a91c9df6012132707bd05c3d02,3b11cbbd5a463ad00a6d609a0dbe6d88490f6c885ea04e300964066c1e70c6fa,f98861d637d852925613bd749213be3189fceb5da2920fcf7a5e2ebcec8c2c04,aadc0dad56b55c259057ae01d67aaf3aab17397745d76959d465e2f13e78cdd2,7b73a18246570c96a5fc6f60ab42eb7de45c48ad5abb4b881c2903797bb14533,0cb7b9af17dc0210d6ccffa78fd097a519212e9a882504a5d9d98b5f0f18e206,c6761aaf47cbb4cf5742dee72e93d422a0a1c79b11537cc1c9d9563b3ecf37dd
"ツムギのマグカップ","0.671875","8","11301","ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.65625"
"ノゾミのマグカップ","0.671875","8","11302","ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.65625"
"チカのマグカップ","0.671875","8","11303","チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.65625"
"ツムギのペナント","0.6328125","4","11401","思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.984375"
"ノゾミのペナント","0.640625","4","11402","思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.984375"
"チカのペナント","0.6328125","4","11403","思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.984375"
"ツムギのピンバッジ","1.21875","3","11501","ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875"
"ツムギのサマーピンバッジ","1.21875","3","11502","サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1","1.21875"
"ノゾミのピンバッジ","1.21875","3","11503","ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875"
"ノゾミのサマーピンバッジ","1.21875","3","11504","サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1","1.21875"
"チカのピンバッジ","1.21875","3","11505","ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875"
"チカのサマーピンバッジ","1.21875","3","11506","サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1","1.21875"
"ツムギのボトルキャップ","0.75","6","11601","ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.625"
"ツムギのサマーボトルキャップ","0.75","6","11602","サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.625"
"ノゾミのボトルキャップ","0.75","6","11603","ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.625"
"ノゾミのサマーボトルキャップ","0.75","6","11604","サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.625"
"チカのボトルキャップ","0.75","6","11605","チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.625"
"チカのサマーボトルキャップ","0.75","6","11606","サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.625"
"ツムギのミニタペストリー","0.8828125","4","11701","ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.890625"
"ノゾミのミニタペストリー","0.8828125","4","11702","ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.890625"
"チカのミニタペストリー","0.8828125","4","11703","チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.890625"
