ab21ebf12d6512005ccd14bac97109e846674f5686033ca755ba8c3095631a0c,3201e39edf12788a6d8543499a50b030a021c4180c86b6690606a914dd17143f,7288deccea4949c4ccb3387517712a978147c0818fb1d827169a6963626a362d,a0754d1a6e8df4875faae24597dff74ab91cb466dc450b6d1219bfff7476bc14,0a59146a4f680aebe602f52deee73a3a5c4db58409bbc6c921553d14184c3ec1,78574c3681722bb1db02bbf8e10f37908abb0e32c8c7d5fa9487abbc75256dfb,77cf3514cab6d6c85a58ae01e7024598286af8605cedd55a1da74c053a70f15d,7497056f3dcca7224260e2d0e5fc254bf5b2b6e4067a7d9d56a37172e7ae113b,20761242ff76d1ce0bfae5707b7626c9efbb9830544476978e5936b0ce339111,57917dccc8f044ff0c379c7fc6cf2e82bc3bd89d7f123c7ee6d0feac20423c6a,554daa1b59ad60b8dc82a634745db48e13bfea97075e41a76c3f851074aca14f,102c2f7ae133e4a5098fe931b0e0fc4eecaeb15320f257adf725768bcfd08f46,6cccc86ab2ac3fc5cc819b31b3a24dec07d370ed03568d2e2995502c90549dd6
"アルバ浜堤","0","1","イオカステ岩山","1","0","0","0","0","1","スィオネ樹林","3331002","ヘリケ巨木"
"玄関","0","1","キッチン","1","0","0","0","0","1","風呂場","3410001","トイレ"
"警備員","0","1","弁護士","1","0","0","0","0","0","警察官","3410002","消防士"
"蛍光灯","0","1","新聞紙","1","0","0","0","0","1","雑誌","3410003","段ボール"
"青","0","1","オレンジ","1","0","0","0","0","0","黄","3410004","緑"
"練習","0","1","放置","1","0","0","0","0","0","報告","3410005","連絡"
"紫","0","1","黄","1","0","0","0","0","1","赤","3410006","青"
"リスタート","0","1","リサイクル","1","0","0","0","0","1","リデュース","3410007","リユース"
"親友","0","1","孫","1","0","0","0","0","1","妻","3410008","祖父"
"指切り","0","1","輪切り","1","0","0","0","0","1","みじん切り","3410010","せん切り"
"豆板醤","0","1","豆乳","1","0","0","0","0","1","納豆","3410011","豆腐"
"レッドペッパー","0","1","ピンクペッパー","1","0","0","0","0","1","ブラックペッパー","3410013","ホワイトペッパー"
"ブルーマウンテン","0","1","ジャスミン","1","0","0","0","0","1","ウーロン","3410015","プーアル"
"カオリ","0","1","ヒヨリ","1","0","0","0","0","1","ユイ","3411001","レイ"
"ユニ","0","1","キョウカ","1","0","0","0","0","1","ミミ","3411002","ミソギ"
"薪","0","1","天然ガス","1","0","0","0","0","1","石油","3420001","石炭"
"憲法","0","1","行政","1","0","0","0","0","1","司法","3420002","立法"
"新聞代","0","1","電車賃","1","0","0","0","0","0","電気代","3420003","水道代"
"惜春","0","1","迎春","1","0","0","0","0","1","謹賀新年","3420004","賀正"
"しばしば雨","0","1","のち雨","1","0","0","0","0","1","ときどき雨","3420005","一時雨"
"単7","0","1","単5","1","0","0","0","0","1","単1","3420007","単3"
"スライス","0","1","ボックス","1","0","0","0","0","1","マイナス","3420009","プラス"
"喉ごし豆腐","0","1","高野豆腐","1","0","0","0","0","1","絹ごし豆腐","3420010","木綿豆腐"
"マヨネーズ","0","1","ヨーグルト","1","0","0","0","0","1","チーズ","3420011","バター"
"カルパッチョ","0","1","エッグベネディクト","1","0","0","0","0","1","オムレツ","3420012","スクランブルエッグ"
"すだち米","0","1","くち米","1","0","0","0","0","0","うるち米","3420014","もち米"
"そば","0","1","ひやむぎ","1","0","0","0","0","1","うどん","3420015","スパゲッティ"
"エリコ","0","1","リノ","1","0","0","0","0","0","キャル","3421001","ニノン"
"おにぎりガチャ","0","1","キャラバンガチャ","1","0","0","0","0","0","プレミアムガチャ","3421002","レアガチャ"
"P","0","1","G","1","0","0","0","0","0","E","3430001","Z"
"とうちゃん","0","1","ばあちゃん","1","0","0","0","0","1","かあちゃん","3430002","じいちゃん"
"ベランダ","0","1","台所","1","0","0","0","0","1","居間","3430004","キッチン"
"達磨","0","1","布袋","1","0","0","0","0","1","恵比寿","3430005","大黒天"
"インフルエンザ","0","1","振動","1","0","0","0","0","1","地盤沈下","3430007","騒音"
"エスカレーター","0","1","スロープ","1","0","0","0","0","1","車椅子","3430008","歩行器"
"中学三年生","0","1","小学三年生","1","0","0","0","0","0","生後半年","3430009","幼稚園児"
"牛乳","0","1","卵","1","0","0","0","0","1","酢","3430010","油"
"ワイン","0","1","ビール","1","0","0","0","0","1","焼酎","3430011","ウィスキー"
"酒","0","1","背脂","1","0","0","0","0","0","醤油","3430012","酢"
"ゴボウ","0","1","ナズナ","1","0","0","0","0","1","スズナ","3430013","ハコベラ"
"サラミ","0","1","オートミール","1","0","0","0","0","1","コーンフレーク","3430015","グラノーラ"
"砂浜のプリンセス","0","1","フラッグは譲れない","1","0","0","0","0","0","譲れないサマーゲーム","3431001","サマーゲームの覇者"
"ぷうきちストライク","0","1","渚の不動の4番","1","0","0","0","0","1","渚の4番見習い","3431002","渚のスラッガー"
"将棋","0","1","チェス","1","0","0","0","0","1","オセロ","3510001","囲碁"
"バイオリン","0","1","リコーダー","1","0","0","0","0","1","尺八","3510002","フルート"
"インターネット","0","1","尺八","1","0","0","0","0","1","太鼓","3510003","クラリネット"
"ジェネラル","0","1","ビショップ","1","0","0","0","0","1","ポーン","3510004","クイーン"
"塔","0","1","騎士","1","0","0","0","0","0","王将","3510005","歩"
"トランプ","0","1","ダーツ","1","0","0","0","0","1","モノポリー","3510006","ツイスター"
"2","0","1","1","1","0","0","0","0","1","3","3510007","4"
"ツモ","0","1","カン","1","0","0","0","0","1","ポン","3510008","チー"
"ミ","0","1","シ","1","0","0","0","0","0","ファ","3510009","ラ"
"フルート","0","1","パイプオルガン","1","0","0","0","0","0","バイオリン","3510013","コントラバス"
"ベース","0","1","トライアングル","1","0","0","0","0","1","タンバリン","3510014","ティンパニー"
"チューバ","0","1","トランペット","1","0","0","0","0","0","フルート","3510015","ファゴット"
"","3","1","","1","2","4","1","0","0","","3511001",""
"プリンセスハート","0","1","メモリーピース","1","0","0","0","0","1","プリンセスオーブ","3511002","ピュアメモリーピース"
"ストレート","0","1","キャスト","1","0","0","0","0","0","スティルメイト","3520001","チェックメイト"
"花札","0","1","麻雀","1","0","0","0","0","1","チンチロリン","3520002","すごろく"
"ジントニック","0","1","スクリュードライバー","1","0","0","0","0","0","ブラッディマリー","3520003","レッドアイ"
"ギター","0","1","チェロ","1","0","0","0","0","1","ビオラ","3520004","バイオリン"
"伏せ箸","0","1","刺し箸","1","0","0","0","0","1","迷い箸","3520005","渡し箸"
"京劇","0","1","狂言","1","0","0","0","0","1","歌舞伎","3520006","能"
"歩","0","1","金","1","0","0","0","0","0","飛車","3520009","角"
"グレート","0","1","エレクトリック","1","0","0","0","0","1","アップライト","3520010","グランド"
"椿","0","1","桃","1","0","0","0","0","0","桜","3520011","梅"
"Q","0","1","K","1","0","0","0","0","0","C","3520012","D"
"赤","0","1","灰色","1","0","0","0","0","1","黒","3520015","白"
"E","0","1","V","1","0","0","0","0","1","S","3520016","U"
"イチゴ","0","1","チョコ","1","0","0","0","0","0","バニラ","3521001","ミント"
"メロン","0","1","キウイ","1","0","0","0","0","1","イチゴ","3521002","ブドウ"
"40","0","1","1～12","1","0","0","0","0","1","奇数","3530001","赤"
"犬間","0","1","猫間","1","0","0","0","0","1","水腰","3530002","腰板"
"ベース","0","1","ギター","1","0","0","0","0","0","三味線","3530003","バラライカ"
"2","0","1","9","1","0","0","0","0","0","J","3530005","A"
"Call","0","1","Creative","1","0","0","0","0","0","Carbon","3530006","Copy"
"一ツ目","0","1","真打","1","0","0","0","0","1","前座","3530007","二ツ目"
"カーボン","0","1","カラット","1","0","0","0","0","1","カット","3530008","カラー"
"2500","0","1","1000","1","0","0","0","0","1","10000","3530010","5000"
"クラリネット","0","1","オーボエ","1","0","0","0","0","0","フルート","3530011","ピッコロ"
"スリーペア","0","1","フルハウス","1","0","0","0","0","1","ストレート","3530012","フラッシュ"
"ヨット","0","1","スピード","1","0","0","0","0","1","ポーカー","3530013","ダウト"
"銀杏","0","1","鯉","1","0","0","0","0","0","猪","3530016","蝶"
"な～か、ぱっぱ","0","0","あかっご泣いても、蓋とるな","1","0","0","0","1","1","うつっわに乗せて、ふーふーふー","3531001","はじっめ、ちょろちょろ"
"プラチナたい焼き","0","1","レインボーたい焼き","1","0","0","0","0","0","ゼリー入りあんこたい焼き","3531002","贅沢たい焼き"
"吊り輪","0","0","平均台","1","0","0","0","1","1","ダンス","3610003","鉄棒"
"ミット","0","1","バット","1","0","0","0","0","0","ミトン","3610004","ラケット"
"バスケットボール","0","1","サッカー","1","0","0","0","0","0","テニス","3610005","野球"
"ラクロス","0","1","剣道","1","0","0","0","0","0","アーチェリー","3610006","弓道"
"柔道","0","1","レスリング","1","0","0","0","0","0","水泳","3610007","スキー"
"バスケットボール","0","1","テニス","1","0","0","0","0","1","バレーボール","3610008","バドミントン"
"サーフィン","0","1","テニス","1","0","0","0","0","0","スキー","3610010","スケート"
"ディフェンダー","0","0","ミッドフィルダー","1","0","0","0","1","1","ゴールキーパー","3610011","フォワード"
"野球","0","1","テニス","1","0","0","0","0","0","アイスホッケー","3610012","サッカー"
"スカイダイビング","0","1","レスリング","1","0","0","0","0","0","剣道","3610013","フェンシング"
"剣道","0","1","ボクシング","1","0","0","0","0","1","レスリング","3610014","柔道"
"ボクシング","0","1","スカイダイビング","1","0","0","0","0","0","サーフィン","3610015","シュノーケリング"
"ジャバウォック","0","1","ポセイドン・嵐撃の槍","1","0","0","0","0","1","ラースドラゴン","3611001","黒月の守護像"
"ミヤコ","0","1","リマ","1","0","0","0","0","0","ノゾミ","3611002","クウカ"
"15m","0","1","100m","1","0","0","0","0","0","25m","3620001","50m"
"場外に出る","0","1","足払い","1","0","0","0","0","0","二刀流","3620002","突き"
"すね","0","1","小手","1","0","0","0","0","1","面","3620003","胴"
"三段跳び","0","1","はさみ跳び","1","0","0","0","0","1","背面跳び","3620006","ベリーロール"
"カウントダウン","0","1","ゼロワン","1","0","0","0","0","1","クリケット","3620007","カウントアップ"
"正六角形","0","0","正五角形","0","0","0","0","1","1","正三角形","3620008","正四角形"
"青","0","1","黒","1","0","0","0","0","0","赤","3620009","白"
"砲丸投げ","0","1","長距離走","1","0","0","0","0","1","水泳","3620010","自転車"
"イレブンボール","0","1","ファイブボール","1","0","0","0","0","0","ナインボール","3620013","セブンボール"
"ベンチプレス","0","0","スクワット","1","0","0","0","1","1","ボディビル","3620014","デッドリフト"
"ライト","0","1","レフト","1","0","0","0","0","0","ファースト","3620015","セカンド"
"オールレンジ","0","1","タッグ","1","0","0","0","0","0","グレコローマン","3620016","フリースタイル"
"ガーゴイル","0","1","ガーゴイル・バースト","1","0","0","0","0","0","ガーゴイル・マギ","3621001","マグスガーゴイル"
"アメス","0","1","カリン","1","0","0","0","0","1","モニカ","3621002","サレン（サマー）"
"10番","0","0","7番","0","0","0","0","1","1","1番","3630001","5番"
"ロケット","0","1","ブランケット","1","0","0","0","0","0","クリケット","3630003","アルティメット"
"テニス","0","0","バドミントン","1","0","0","0","1","1","バレーボール","3630004","卓球"
"二丁投げ","0","1","一丁投げ","0","0","0","0","1","0","一本背負い","3630005","二本背負い"
"将軍","0","1","准将","1","0","0","0","0","0","大将","3630006","副将"
"サード","0","1","セカンド","1","0","0","0","0","0","キャッチャー","3630007","ファースト"
"横綱","0","1","小結","1","0","0","0","0","1","大関","3630008","関脇"
"平行棒","0","1","鉄棒","1","0","0","0","0","0","床","3630010","跳馬"
"つまみ持ち","0","1","グラップ","1","0","0","0","0","0","シェークハンド","3630012","ペンホルダー"
"ディフェンダー","0","1","リベロ","1","0","0","0","0","0","ポイントガード","3630013","パワーフォワード"
"シューティングガード","0","1","ラインバッカー","1","0","0","0","0","1","ランニングバック","3630014","センター"
"センターブロッカー","0","1","スパイカー","1","0","0","0","0","0","リベロ","3630016","セッター"
"ガイアバルディッシュ","0","1","ブルーブラッド","1","0","0","0","0","0","ターコイズ・ノア","3631001","アクアスラッシャー"
"覇海姫・竜征冥風裂波斬","0","1","レヴィアタンランス","1","0","0","0","0","1","スプレッドアフェクション","3631002","タイフーン・ラブドリーム"
