8680c04f1e84c59c54c2adf1419beae71c6e665faab8429906242d6c04f93c4c,a7b642972dd934def9b4dbf918559d9d76585ab3618de8be04fdca8cacc674ea,dcac4327de9251535dfa41a90bd12a8c830f6222a8261546a381b74dce5e64ed,152d442538e2dd1bc630c752e473f44268d561b7eecdb6fba7da1a81056e8b01,0359b2086656fc770130097a5c9ef9aaa37189a68340ffc832da9a2fdc543a36,d5f4d7858577a259acceddd0f31ae84f1794fff2bb9a033ab2045d638d2f2713,8db46f1ed29f84d0b0da523924c88bd027dd1944c2d912be57906f5f96f39954,c89efc986537e69144cb5fb4d91557e1e1dc941db0f6af730336834da655b7eb,f9845a611d62d563b6756793c3f9e8661148ff662797ab7337aa558ed0937bb6,a6905d729f831afc82a46618cb9a1bb99597a424e2e216500db2041005e1b6a0,562cf272e88bb12ae984bc09638b4a6dbef7deb4654f53b7ddf5a171bea5fac7
"","1010028","","","","11","106031","10","","ま、興味はあるし\n付き合ってあげるわ","1"
"","1010029","","","","91","0","","","","1"
"","1010030","","","","11","112431","10","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","1"
"","1010031","","","","91","0","","","","1"
"1.3","1020001","0","0","02_uek_cmn_idol_def_N","1","1","100","0","104431","2"
"","1020002","02_uek_02_ilya_loop","0","","3","104431","0","","02_uek_02_ilya","2"
"","1020003","0","","","11","104431","10","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","2"
"","1020004","","0","","91","0","","","","2"
"1.3","1030001","-140","-10","01_uek_cmn_idol_def_N","1","1","100","0","105831","3"
"1.3","1030002","120","10","01_uek_cmn_idol_def_N","1","1","100","1","105931","3"
"1.3","1030003","0","0","01_uek_cmn_idol_def_N","1","1","100","1","106031","3"
"","1030004","01_uek_03_peko_loop","0","","3","105831","0","","01_uek_03_peko","3"
"","1030005","01_uek_03_kyaru_loop","0","","3","106031","0","","01_uek_03_kyaru","3"
"","1030006","0","","","11","105831","10","","キャルちゃん！\n見てください\nいい景色ですよ☆","3"
"","1030007","","","","91","0","","","","3"
"","1030008","0","","","11","106031","10","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","3"
"","1030009","","","","91","0","","","","3"
"","1030010","01_uek_cmn_idol_def_N","1","","3","105931","0","","01_uek_03_kokkoro","3"
"","1030011","0","","","11","105931","10","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","3"
"1.3","1040001","-120","-30","02_uek_cmn_idol_def_N","1","1","100","0","101131","4"
"1.3","1040002","20","-5","02_uek_cmn_idol_def_N","1","1","100","1","104931","4"
"","1040003","","","","3","101131","1","","02_uek_talk_joy2","4"
"","1040004","0","","","11","101131","10","","マスターセンリも\n一発からです！\n頑張りますよ！","4"
"","1040005","","","","91","0","","","","4"
"0.2","1040006","","","","3","101131","1","","02_uek_cmn_idol_def_N","4"
"0.2","1040007","","","","3","104931","1","","02_uek_04_shizuru","4"
"","1040008","0","","","11","104931","10","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","4"
"","1040009","","","","91","0","","","","4"
"0.2","1040010","","","","3","104931","1","","02_uek_cmn_idol_def_N","4"
"1.3","1050001","-70","0","02_uek_cmn_idol_def_N","1","1","100","0","105031","5"
"1.3","1050002","70","1","02_uek_cmn_idol_def_N","1","1","100","1","101631","5"
"","1050003","02_uek_05_misaki_loop","-15","","3","105031","0","","02_uek_05_misaki","5"
"","1050004","02_uek_05_suzuna_loop","0","","3","101631","0","","02_uek_05_suzuna","5"
"","1050005","0","","","11","105031","10","","大人の階段を\n登るわよー！","5"
"","1050006","","0","","91","0","","","","5"
"","1050007","0","","","11","101631","10","","うちもモデルの\nてっぺん目指すし！","5"
"1.3","1060001","120","25","02_uek_cmn_idol_def_N","1","1","100","1","100531","6"
"1.3","1060002","-20","5","02_uek_cmn_idol_def_N","1","1","100","0","103731","6"
"","1060003","","","","3","100531","1","","02_uek_cmn_pose04","6"
"","1060004","0","","","11","100531","10","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","6"
"","1060005","","","","91","0","","","","6"
"0.2","1060006","","","","3","103731","1","","02_uek_talk_normal","6"
"","1060007","0","","","11","103731","10","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","6"
"","1060008","","","","91","0","","","","6"
"0.2","1060009","","","","3","103731","1","","02_uek_cmn_idol_def_N","6"
"1.3","1070001","-60","-20","02_uek_cmn_idol_def_N","1","1","100","0","103831","7"
"0.2","1070002","","","","3","103831","1","","02_uek_07_shiori","7"
"","1070003","","","","11","103831","10","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","7"
"1.3","1080001","90","40","02_uek_08_kuka_loop","1","1","100","0","104531","8"
"1","1080002","60","1","","31","2","90","","2","8"
"","1080003","0","0","","11","104531","10","","あ、足に絡みつく\nツタの感触が\nたまりません～～！","8"
"","1080004","","","","91","0","","","","8"
"0.9","1090001","-195","-35","05_idle","1","2","100","0","105831","9"
"1.2","1090002","150","-30","302102_idle","1","2","1000","0","302102","9"
"1","1090003","50","1","","31","102","150","","15","9"
"1","1090004","400","1","","31","103","150","","16","9"
"1.3","1100001","-160","-25","01_uek_cmn_idol_def_N","1","1","100","0","112531","10"
"1.3","1100002","-40","-5","01_uek_cmn_idol_def_N","1","1","100","1","112431","10"
"1.3","1100003","125","20","01_uek_cmn_idol_def_N","1","1","100","1","112631","10"
"","1100004","","0","","3","112631","1","","01_uek_talk_surprise2","10"
"","1100005","0","0","","11","112631","10","","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","10"
"","1100006","","","","91","0","","","","10"
"0.2","1100007","","0","","3","112631","1","","01_uek_cmn_idol_def_N","10"
"","1100008","","","","3","112431","1","","01_uek_talk_joy1","10"
"","1100009","0","0","","11","112431","10","","なんだか不思議な\n感触してますね～\nふわふわですよ♪","10"
"","1100010","","","","91","0","","","","10"
"0.2","1100011","","","","3","112431","1","","01_uek_cmn_idol_def_N","10"
"","1100012","","","","3","112531","1","","01_uek_talk_normal","10"
"","1100013","0","0","","11","112531","10","","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","10"
"","1100014","","","","91","0","","","","10"
"0.2","1100015","","","","3","112531","1","","01_uek_cmn_idol_def_N","10"
"","1100016","","","","91","0","","","","10"
"1.3","1110001","-135","-20","03_uek_cmn_idol_def_N","1","1","100","0","104731","11"
"1.3","1110002","100","5","03_uek_cmn_idol_def_N","1","1","100","1","107131","11"
"0","1110003","03_uek_11_jun_loop","1","","3","104731","0","","03_uek_11_jun","11"
"0","1110004","03_uek_cmn_idol_def_N","1","","3","107131","0","0.2","03_uek_11_chris","11"
"","1110005","","0","","11","104731","10","","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","11"
"","1110006","","","","91","0","","","","11"
"","1110007","0","0","","11","107131","10","","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","11"
"","1110008","","","","93","1.5","","","","11"
"","1110009","1.5","1","","2","104731","0","","-135","11"
"","1110010","","","","91","1110007","","","","11"
"1.3","1120001","-120","-20","03_uek_cmn_idol_def_N","1","1","100","0","101031","12"
"1.3","1120002","10","-5","03_uek_cmn_idol_def_N","1","1","100","1","101431","12"
"","1120003","","0","","3","101031","1","","03_uek_talk_joy1","12"
"","1120004","0","0","","11","101031","10","","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","12"
"","1120005","","","","91","0","","","","12"
"0.2","1120006","","0","","3","101031","1","","03_uek_cmn_idol_def_N","12"
"","1120007","","0","","3","101431","1","","03_uek_talk_normal","12"
"","1120008","0","0","","11","101431","10","","いくらなんでも\nそれは難しいんじゃ\nないかな…？","12"
"","1120009","","","","91","0","","","","12"
"0.2","1120010","","0","","3","101431","1","","03_uek_cmn_idol_def_N","12"
"1.3","1130001","-165","-45","01_uek_cmn_idol_def_N","1","1","100","0","105831","13"
"1.3","1130002","-45","-20","01_uek_cmn_idol_def_N","1","1","100","0","105931","13"
"1.3","1130003","120","-5","01_uek_cmn_idol_def_N","1","1","100","1","106031","13"
"","1130004","","1","","3","105931","1","","01_uek_talk_normal","13"
"","1130005","0","0","","11","105931","10","","かなり高くまで\n登ってまいりました\nですが…","13"
"","1130006","","","","91","0","","","","13"
"0.2","1130007","01_uek_cmn_idol_def_N","1","","3","105931","0","","01_uek_13_kokkoro","13"
"","1130008","01_uek_13_kyaru_loop","1","","3","106031","0","","01_uek_13_kyaru","13"
"","1130009","0","0","","11","106031","10","","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","13"
"","1130010","","","","91","0","","","","13"
"","1130011","","0","","3","105831","1","","01_uek_13_peco_loop","13"
"","1130012","0","0","","11","105831","10","","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","13"
"","1130013","","","","91","0","","","","13"
"1.3","1140001","-86","-25","03_uek_cmn_idol_def_N","1","1","100","0","104031","14"
"1","1140002","250","1","","31","1","0","","1","14"
"","1140003","03_uek_14_aoi_loop","1","","3","104031","0","","03_uek_14_aoi","14"
"","1140004","0","0","","11","104031","10","","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","14"
"1.3","1150001","-75","-20","03_uek_cmn_idol_def_N","1","1","100","0","100731","15"
"1.3","1150002","65","10","03_uek_15_father","1","1","100","1","103131","15"
"","1150003","","0","","3","100731","1","","03_uek_15_miyako","15"
"","1150004","0","0","","11","100731","10","","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","15"
"","1150005","","","","91","0","","","","15"
"","1150006","","0","","3","103131","1","","03_uek_15_father","15"
"","1150007","0","0","","11","103131","10","","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","15"
"","1150008","","","","91","0","","","","15"
"","1150009","","0","","3","103131","1","","03_uek_talk_normal","15"
"","1150010","0","0","","11","103131","10","","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","15"
"","1150011","","","","91","0","","","","15"
"0.2","1150012","","0","","3","103131","1","","03_uek_cmn_idol_def_N","15"
"1.3","1160001","-110","-45","01_uek_cmn_idol_def_N","1","1","100","0","112431","16"
"1.3","1160002","40","-15","01_uek_cmn_idol_def_N","1","1","100","1","105831","16"
"1.3","1160003","140","10","01_uek_cmn_idol_def_N","1","1","100","1","105931","16"
"","1160004","01_uek_cmn_idol_def_N","0","","3","105931","0","","01_uek_01_kokkoro","16"
"","1160005","01_uek_cmn_idol_def_N","1","","3","112431","0","","01_uek_01_uduki","16"
"","1160006","01_uek_cmn_idol_def_N","1","","3","105831","0","","01_uek_01_peko","16"
"","1160007","","","","91","0","","","","16"
"","1160008","","1","","3","105931","1","","01_uek_talk_normal","16"
"","1160009","0","0","","11","105931","10","","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","16"
"","1160010","","","","91","0","","","","16"
"","1160011","","1","","3","105931","1","","01_uek_cmn_idol_def_N","16"
"","1160012","","","","3","112431","1","","01_uek_talk_joy1","16"
"","1160013","0","0","","11","112431","10","","はい、平気です！\nとっても楽しくって\nやばいです☆","16"
"","1160014","","","","93","1.5","","","","16"
"0.2","1160015","01_uek_16_uduki_loop","1","","3","112431","0","","01_uek_16_uduki","16"
"","1160016","","","","91","1160013","","","","16"
"","1160017","","","","3","105831","1","","01_uek_talk_joy1","16"
"","1160018","0","0","","11","105831","10","","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","16"
"","1160019","","","","93","2.2","","","","16"
"0.2","1160020","01_uek_16_uduki_loop","1","","3","105831","0","","01_uek_16_peco","16"
"","1160021","","","","91","1160018","","","","16"
"1.3","1170001","150","10","03_uek_cmn_idol_def_N","1","1","300","1","102331","17"
"1.3","1170002","-100","-15","03_uek_cmn_idol_def_N","1","1","100","0","102131","17"
"0","1170003","10","1.3","","31","3","20","","3","17"
"0.2","1170004","03_uek_17_ayane_loop","1","","3","102331","0","0.2","03_uek_17_ayane","17"
"0.2","1170005","03_uek_cmn_idol_def_N","1","","3","102131","0","","03_uek_cmn_pose05","17"
"","1170006","","","","32","3","","","1","17"
"","1170007","0","0","","11","102331","10","","見て見て！\n雲でぷうきちを\n作ったよー！","17"
"","1170008","","","","91","0","","","","17"
"0.2","1170009","","","","3","102131","1","","03_uek_talk_joy1","17"
"","1170010","0","0","","11","102131","10","","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","17"
"","1170011","","","","91","0","","","","17"
"0.2","1170012","","","","3","102131","1","","03_uek_cmn_idol_def_N","17"
"1.3","1180001","229","45","01_uek_cmn_idol_def_N","1","1","100","0","112631","18"
"1.3","1180002","170","20","01_uek_cmn_idol_def_N","1","1","110","0","105831","18"
"1.3","1180003","-85","-10","01_uek_cmn_idol_def_N","1","1","100","0","105931","18"
"","1180004","01_uek_18_mio_loop","1","","3","112631","0","","01_uek_18_mio","18"
"","1180005","0","0","","11","112631","10","","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","18"
"","1180006","","","","91","0","","","","18"
"","1180007","01_uek_18_mio_loop","1","","3","105831","0","","01_uek_18_mio","18"
"","1180008","0","0","","11","105831","10","","そうですね！\nえーと、どれどれ…\nって、わわわわ！","18"
"","1180009","","","","93","3","","","","18"
"","1180010","2","1","","2","105831","5","","170","18"
"","1180011","","","","91","1180008","","","","18"
"","1180012","01_uek_cmn_idol_def_N","1","","3","105931","0","","01_uek_18_kokkoro","18"
"","1180013","0","0","","11","105931","10","","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","18"
"1.3","1190001","402","110","02_uek_19_hatsune","1","1","100","0","101231","19"
"1.3","1190002","166","30","02_uek_talk_surprise2","1","1","100","0","103831","19"
"0.2","1190003","","0","","3","103831","1","","02_uek_talk_surprise2","19"
"","1190004","0","0","","11","103831","10","","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","19"
"","1190005","","","","91","0","","","","19"
"","1190006","0","0","","11","101231","10","","しおりんの声が\n聞こえたような…\nすやぁ…☆","19"
"0.9","1200001","-195","-35","05_idle","1","2","100","0","105831","20"
"1.4","1200002","150","30","304602_idle","1","2","1000","0","304602","20"
"1","1200003","50","1","","31","102","150","","17","20"
"1","1200004","400","1","","31","103","150","","18","20"
"1.3","1210001","185","25","01_uek_21_kokkoro_loop","1","1","110","0","105931","21"
"1.3","1210002","65","-5","01_uek_21_rin_loop","1","1","120","0","112531","21"
"1.3","1210003","-140","-35","01_uek_cmn_idol_def_N","1","1","100","0","106031","21"
"","1210004","0","0","","11","105931","10","","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","21"
"","1210005","","","","91","0","","","","21"
"","1210006","0","0","","11","112531","10","","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","21"
"","1210007","","","","91","0","","","","21"
"","1210008","01_uek_cmn_idol_def_N","1","","3","106031","0","","01_uek_21_kyaru","21"
"","1210009","0","0","","11","106031","10","","…あんたたち\nなんか妙なところで\nシンクロしてるわね","21"
"","1210010","","","","91","0","","","","21"
"1.3","1220001","180","40","01_uek_cmn_idol_def_N","1","1","100","0","105831","22"
"1","1220002","250","1.3","","31","4","420","","4","22"
"0.2","1220003","","","","3","105831","1","","01_uek_cmn_pose03","22"
"","1220004","0","0","","11","105831","10","","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","22"
"","1220005","","","","91","0","","","","22"
"1.3","1230001","33","5","03_uek_cmn_idol_def_N","1","1","100","0","105231","23"
"1.3","1230002","200","40","03_uek_23_rin","1","1","1010","0","102631","23"
"1.3","1230003","-110","-25","03_uek_cmn_idol_def_N","1","1","100","0","103331","23"
"1","1230004","32","1","","31","5","220","","5","23"
"0.2","1230005","","","","3","102631","1","","03_uek_23_rin","23"
"","1230006","0","0","","11","102631","10","","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","23"
"","1230007","","","","91","0","","","","23"
"","1230008","45","0","","2","102631","40","","1100","23"
"","1230009","45","0","","33","5","32","","1120","23"
"0.2","1230010","","","","3","105231","1","","03_uek_cmn_pose04","23"
"0.2","1230011","","","","3","103331","1","","03_uek_talk_surprise2","23"
"","1230012","0","0","","11","105231","10","","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","23"
"","1230013","","","","91","0","","","","23"
"","1230014","0","0","","11","103331","10","","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","23"
"","1230015","","","","91","0","","","","23"
"1.3","1240001","-240","-45","03_uek_24_ayumi","1","1","10","0","105531","24"
"","1240002","","0","","3","105531","1","","03_uek_24_ayumi","24"
"","1240003","0","0","","11","105531","10","","あっ、あそこに\n先輩がいる\nじーーーー…","24"
"1.3","1250001","175","15","03_uek_cmn_idol_def_N","1","1","100","1","103631","25"
"1.3","1250002","-36","-10","03_uek_cmn_idol_def_N","1","1","100","0","100431","25"
"1.3","1250003","-158","-45","03_uek_cmn_idol_def_N","1","1","100","0","102031","25"
"","1250004","","0","","3","102031","1","","03_uek_cmn_pose06","25"
"","1250005","0","0","","11","102031","10","","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","25"
"","1250006","","","","91","0","","","","25"
"","1250007","03_uek_25_misogi_loop","1","","3","100431","0","","03_uek_25_misogi","25"
"","1250008","0","0","","11","100431","10","","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","25"
"","1250009","03_uek_25_kyouka_loop","0","","3","103631","1","","03_uek_25_kyouka","25"
"","1250010","","","","91","0","","","","25"
"","1250011","0","0","","11","103631","10","","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","25"
"","1250012","","","","91","0","","","","25"
"1.3","1270001","-179","-43","01_uek_cmn_idol_def_N","1","1","100","0","104831","27"
"1.3","1270002","0","-14","01_uek_27_tamaki_loop","1","1","100","0","104631","27"
"1.3","1270003","200","24","01_uek_cmn_idol_def_N","1","1","100","1","103231","27"
"","1270004","0","0","","11","104631","10","","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","27"
"","1270005","","","","91","0","","","","27"
"","1270006","01_uek_talk_normal","1","","3","104831","0","","01_uek_cmn_pose02","27"
"","1270007","0","0","","11","104831","10","","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","27"
"","1270008","","","","91","0","","","","27"
"0.3","1270009","","0","","3","104831","1","","01_uek_cmn_idol_def_N","27"
"","1270010","","0","","3","103231","1","","01_uek_27_akino_loop","27"
"","1270011","0","0","","11","103231","10","","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","27"
"1.3","1280001","0","-10","04_uek_cmn_idol_def_N","1","1","110","0","102931","28"
"1.3","1280002","-120","-30","04_uek_cmn_idol_def_N","1","1","120","0","104231","28"
"1.3","1280003","120","10","04_uek_cmn_idol_def_N","1","1","100","0","105431","28"
"0","1280004","10","1.3","","31","6","35","","6","28"
"0","1280005","-10","1.3","","31","6","-85","","9","28"
"0","1280006","30","1.3","","31","6","155","","10","28"
"0.2","1280007","","","","3","102931","1","","04_uek_28_nozomi","28"
"0.2","1280008","","","","3","104231","1","","04_uek_28_chika","28"
"0.2","1280009","","","","3","105431","1","","04_uek_28_tsumugi","28"
"","1280010","","","","32","6","","","1","28"
"","1280011","","","","32","9","","","1","28"
"","1280012","","","","32","10","","","1","28"
"","1280013","0","0","","11","102931","10","","空の上でも\nカルミナ…\nオンステージ！","28"
"","1280014","","","","91","0","","","","28"
"","1280015","0","0","","11","104231","10","","風が気持ちいい…！\n精霊たちも\n楽しそうです！","28"
"","1280016","","","","91","0","","","","28"
"","1280017","0","0","","11","105431","10","","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","28"
"","1280018","","","","91","0","","","","28"
"1.3","1290001","-40","-10","03_uek_cmn_idol_def_N","1","1","100","0","101531","29"
"1.3","1290002","95","10","03_uek_cmn_idol_def_N","1","1","100","1","101831","29"
"","1290003","","0","","3","101831","1","","03_uek_talk_joy1","29"
"","1290004","0","0","","11","101831","10","","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","29"
"","1290005","","","","91","0","","","","29"
"0.3","1290006","","0","","3","101831","1","","03_uek_cmn_idol_def_N","29"
"0.3","1290007","","0","","3","101531","1","","03_uek_talk_joy1","29"
"","1290008","0","0","","11","101531","10","","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","29"
"","1290009","","","","91","0","","","","29"
"0.3","1290010","","0","","3","101531","1","","03_uek_cmn_idol_def_N","29"
"0.9","1300001","-195","-35","05_idle","1","2","100","0","105831","30"
"1.5","1300002","150","-50","307505_idle","1","2","1000","0","307505","30"
"1","1300003","50","1","","31","102","150","","19","30"
"1","1300004","400","1","","31","103","150","","20","30"
"0","1300005","307505_idle","1","","3","307505","0","","307505_awake","30"
"1.3","1310001","140","10","01_uek_cmn_idol_def_N","1","1","110","0","105831","31"
"1.3","1310002","20","0","01_uek_cmn_idol_def_N","1","1","110","0","105931","31"
"1.3","1310003","-200","-55","01_uek_26_kyaru_loop","1","1","110","0","106031","31"
"","1310004","","","","93","1","","","","31"
"","1310005","","","","4","105831","","","1","31"
"0","1310006","","","","3","105831","1","","01_uek_cmn_pose04","31"
"","1310007","","","","11","105831","10","","見てください！\nお星様の世界です！\nすごい景色ですね☆","31"
"","1310008","","","","93","2.3","","","","31"
"0.2","1310009","","0","","3","105831","0","","01_uek_cmn_idol_def_N","31"
"","1310010","","","","91","1310007","","","","31"
"0.2","1310011","","0","","3","105831","1","","01_uek_cmn_idol_def_N","31"
"","1310012","","","","3","105931","1","","01_uek_talk_normal","31"
"","1310013","","","","11","105931","10","","本当に素晴らしい\n場所でございます\n堪能いたしましょう","31"
"","1310014","","","","91","0","","","","31"
"0.2","1310015","","","","3","105931","1","","01_uek_cmn_idol_def_N","31"
"","1310016","","","","11","106031","10","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","31"
"1.3","1320001","255","91","02_uek_32_kuka_loop","1","1","100","1","104531","32"
"1.3","1320002","-97","-29","02_uek_cmn_idol_def_N","1","1","100","0","105331","32"
"1.3","1320003","50","0","02_uek_cmn_idol_def_N","1","1","100","0","103031","32"
"0.5","1320004","","0","","3","104531","0","","02_uek_32_kuka","32"
"0.5","1320005","02_uek_talk_surprise2","1","","3","105331","0","","02_uek_cmn_shock_def_N","32"
"0.5","1320006","02_uek_talk_surprise2","1","","3","103031","0","","02_uek_cmn_shock_def_N","32"
"","1320007","","","","91","0","","","","32"
"0.5","1320008","","0","","3","103031","1","","02_uek_talk_surprise2","32"
"","1320009","0","0","","11","103031","10","","せっかく見つけた\nクウカがまた\n飛んでマス！","32"
"","1320010","","","","91","0","","","","32"
"0.5","1320011","","0","","3","105331","1","","02_uek_talk_surprise2","32"
"","1320012","0","0","","11","105331","10","","やっぱりよろこんで\nなかったか！？","32"
"1.3","1330001","0","0","02_uek_cmn_idol_def_N","1","1","100","1","100831","33"
"1","1330002","130","1.3","","31","7","-120","","7","33"
"0.2","1330003","02_uek_33_yuki_loop","1","","3","100831","0","","02_uek_33_yuki","33"
"","1330004","0","0","","11","100831","10","","星の輝きを浴びた\nボクはまた一段と\n美しいね…","33"
"","1330005","","","","91","0","","","","33"
"1.3","1340001","10","0","02_uek_cmn_idol_def_N","1","1","110","1","100931","34"
"1.3","1340002","180","10","02_uek_cmn_idol_def_N","1","1","110","1","101331","34"
"","1340003","","","","93","1","","","","34"
"0.2","1340004","02_uek_cmn_idol_def_N","1","","3","101331","1","0.2","02_uek_cmn_pose01","34"
"","1340005","0","0","","11","101331","10","","ウチュウキター！\nテンション爆上がり\nですしおすし！","34"
"","1340006","","","","91","0","","","","34"
"0.2","1340007","02_uek_34_anna_loop","1","","3","100931","0","0","02_uek_34_anna","34"
"","1340008","0","0","","11","100931","10","","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","34"
"1.3","1350001","-200","-60","01_uek_cmn_idol_def_N","1","1","100","1","100231","35"
"1.3","1350002","0","10","01_uek_cmn_idol_def_N","1","1","100","1","100331","35"
"1.3","1350003","200","20","01_uek_cmn_idol_def_N","1","1","100","1","100131","35"
"1","1350004","270","1","","31","8","0","","8","35"
"0.2","1350005","01_uek_35_yui_loop","1","","3","100231","0","0.2","01_uek_35_yui","35"
"0.2","1350006","01_uek_35_rei_loop","1","","3","100331","0","0.2","01_uek_35_rei","35"
"0.2","1350007","","","","3","100131","1","","01_uek_cmn_pose03","35"
"","1350008","0","0","","11","100231","10","","見て、流れ星…！\nみんなで願い事を\nしようよ","35"
"","1350009","","","","91","0","","","","35"
"","1350010","0","0","","11","100331","10","","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","35"
"","1350011","","","","91","0","","","","35"
"","1350012","0","0","","11","100131","10","","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","35"
"","1350013","","","","91","0","","","","35"
