4a0f76f7933b398518f0cecc5cdbe1457ee5f7a581156a2c6eda9a2557436563,af70afdbe92a10591916615e741ee43f986bdb0f2b48773c567bfa3a54711351,7bd516e04fa37560f957215e43cceaa9bd3139794d3a8fbdbe245abc17d062f4,922588b320c479a6071b20d4a60c5e04781437a292820dd5d4e32bb350a249a8,459b1abd109d52c919088a05ea95899a699acee3a00abc7ab01359d3c1f6cfac,54506fc17e9110c7eb0242deb66fc2487e815289abbfc293f2fb618b32649e48,30ea6ad832c27fd597b303a3e53a538f0dde4bc1a636ee8e4de9f0d507bead98,7a413e2f67050824b43be1a01aaad2996fdb6a650b67ef5a1d6e2123950107f3,0e8845acc8733648aa57cae257c9a9487da780ad96dae8322830a109799f1a00,25980d777dcaf40b39bd3f2e68111a3151851cca752b68ac1c3d06655c7097ac
"0","2.75","4","0","27","0","1","6","","1060027"
"0","0","1","0","28","8","0","6","天に召されちゃうんじゃないかな……","1060028"
"0","3.125","4","0","29","0","1","6","","1060029"
"vo_10011600_0701","0","2","vo_10011600","1","0","0","7","","1070001"
"0","0","1","0","2","8","0","7","　今日は何から何まで、","1070002"
"0","2.375","4","0","3","0","1","7","","1070003"
"0","0","1","0","4","7","0","7","ユニさんのお世話になっちゃった。\n","1070004"
"0","3.28571428571429","4","0","5","0","1","7","","1070005"
"vo_10011600_0702","0","2","vo_10011600","6","0","0","7","","1070006"
"0","0","1","0","7","8","0","7","クロエさんやチエルさんにからかわれているときとは全然違う、","1070007"
"0","4.625","4","0","8","0","1","7","","1070008"
"0","0","1","0","9","8","0","7","知的で、","1070009"
"0","1.5","4","0","10","0","1","7","","1070010"
"0","0","1","0","11","10","0","7","頼りになる姿をたくさん見た。","1070011"
"0","2.4","4","0","12","0","1","7","","1070012"
"vo_10011600_0703","0","2","vo_10011600","13","0","0","7","","1070013"
"0","0","1","0","14","8","0","7","てきぱきと指示する姿は","1070014"
"0","2.375","4","0","15","0","1","7","","1070015"
"0","0","1","0","16","8","0","7","ギルドマスターであるという貫禄たっぷり。","1070016"
"0","3.5","4","0","17","0","1","7","","1070017"
"vo_10011600_0704","0","2","vo_10011600","18","0","0","7","","1070018"
"0","0","1","0","19","8","0","7","ユニさんだったらきっと、","1070019"
"0","2.25","4","0","20","0","1","7","","1070020"
"0","0","1","0","21","8","0","7","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","1070021"
"0","6.625","4","0","22","0","1","7","","1070022"
"vo_10011600_0705","0","2","vo_10011600","23","0","0","7","","1070023"
"0","0","1","0","24","8","0","7","あれ？","1070024"
"0","1.125","4","0","25","0","1","7","","1070025"
"0","0","1","0","26","8","0","7","　こんなギルド名だったっけ？","1070026"
"0","2.75","4","0","27","0","1","7","","1070027"
"vo_10011600_0801","0","2","vo_10011600","1","0","0","8","","1080001"
"0","0","1","0","2","8","0","8","　初めて会ったときは","1080002"
"0","1.75","4","0","3","0","1","8","","1080003"
"0","0","1","0","4","8","0","8","怖くて話しかけることさえも出来なかったクロエさん。","1080004"
"0","4.125","4","0","5","0","1","8","","1080005"
"vo_10011600_0802","0","2","vo_10011600","6","0","0","8","","1080006"
"0","0","1","0","7","8","0","8","だけど本当はとても優しくて、","1080007"
"0","2.75","4","0","8","0","1","8","","1080008"
"0","0","1","0","9","8","0","8","こんな私のことを気にかけてくれてることが伝わってきた。\n","1080009"
"0","5.875","4","0","10","0","1","8","","1080010"
"vo_10011600_0803","0","2","vo_10011600","11","0","0","8","","1080011"
"0","0","1","0","12","8","0","8","クロエさんのおかげで少しだけだけど、","1080012"
"0","3.25","4","0","13","0","1","8","","1080013"
"0","0","1","0","14","8","0","8","ク\nラスに受け入れてもらえた。\n","1080014"
"0","4.25","4","0","15","0","1","8","","1080015"
"vo_10011600_0804","0","2","vo_10011600","16","0","0","8","","1080016"
"0","0","1","0","17","8","0","8","クロエさんにはご家族がたくさんいるみたい。","1080017"
"0","4.125","4","0","18","0","1","8","","1080018"
"vo_10011600_0805","0","2","vo_10011600","19","0","0","8","","1080019"
"0","0","1","0","20","8","0","8","　確かに、","1080020"
"0","1.625","4","0","21","0","1","8","","1080021"
"0","0","1","0","22","8","0","8","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","1080022"
"0","4.625","4","0","23","0","1","8","","1080023"
"vo_10011600_0901","0","2","vo_10011600","1","0","0","9","","1090001"
"0","0","1","0","2","8","0","9","　ちぇるーん。","1090002"
"0","3.875","4","0","3","0","1","9","","1090003"
"vo_10011600_0902","0","2","vo_10011600","4","0","0","9","","1090004"
"0","0","1","0","5","8","0","9","この挨拶を言えるようになれば","1090005"
"0","2.75","4","0","6","0","1","9","","1090006"
"0","0","1","0","7","8","0","9","私もチエルさんみたいな","1090007"
"0","2.375","4","0","8","0","1","9","","1090008"
"0","0","1","0","9","8","0","9","明るくて友達もたくさんいる、","1090009"
"0","2.75","4","0","10","0","1","9","","1090010"
"0","0","1","0","11","8","0","9","私の理想の女性になれるのかな。\n","1090011"
"0","4.375","4","0","12","0","1","9","","1090012"
"vo_10011600_0903","0","2","vo_10011600","13","0","0","9","","1090013"
"0","0","1","0","14","8","0","9","でも","1090014"
"0","1.25","4","0","15","0","1","9","","1090015"
"0","0","1","0","16","8","0","9","この挨拶はまだ私には早いので、","1090016"
"0","2.875","4","0","17","0","1","9","","1090017"
"0","0","1","0","18","8","0","9","今日は書き取りだけしておこう。\n","1090018"
"0","4.125","4","0","19","0","1","9","","1090019"
"vo_10011600_0904","0","2","vo_10011600","20","0","0","9","","1090020"
"0","0","1","0","21","8","0","9","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1090021"
"0","4.125","4","0","22","0","1","9","","1090022"
"vo_10011600_0905","0","2","vo_10011600","23","0","0","9","","1090023"
"0","0","1","0","24","8","0","9","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1090024"
"0","4.125","4","0","25","0","1","9","","1090025"
"vo_10011600_0906","0","2","vo_10011600","26","0","0","9","","1090026"
"0","0","1","0","27","8","0","9","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","1090027"
"0","4.125","4","0","28","0","1","9","","1090028"
"vo_10011600_0907","0","2","vo_10011600","29","0","0","9","","1090029"
"0","0","1","0","30","8","0","9","ちぇるーんちぇるーんちぇるーん","1090030"
"0","2.875","4","0","31","0","1","9","","1090031"
"vo_10011600_1001","0","2","vo_10011600","1","0","0","10","","1100001"
"0","0","1","0","2","8","0","10","　忘れてた忘れてた忘れてた！\n","1100002"
"0","2.75","4","0","3","0","1","10","","1100003"
"0","0","1","0","4","8","0","10","どうしよう特別講座！","1100004"
"0","2.25","4","0","5","0","1","10","","1100005"
"vo_10011600_1002","0","2","vo_10011600","6","0","0","10","","1100006"
"0","0","1","0","7","8","0","10","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","1100007"
"0","3.625","4","0","8","0","1","10","","1100008"
"0","0","1","0","9","8","0","10","何の準備もしてないよ！\n","1100009"
"0","2.375","4","0","10","0","1","10","","1100010"
"vo_10011600_1003","0","2","vo_10011600","11","0","0","10","","1100011"
"0","0","1","0","12","8","0","10","……エルフの森が","1100012"
"0","2","4","0","13","0","1","10","","1100013"
"0","0","1","0","14","8","0","10","私を呼んでる気が……","1100014"
"0","2.25","4","0","15","0","1","10","","1100015"
"vo_10011600_1004","0","2","vo_10011600","16","0","0","10","","1100016"
"0","0","1","0","17","8","0","10","いやダメダメ、","1100017"
"0","1.875","4","0","18","0","1","10","","1100018"
"0","0","1","0","19","8","0","10","ミサト先生の期待を裏切るわけには！\n","1100019"
"0","4.125","4","0","20","0","1","10","","1100020"
"vo_10011600_1005","0","2","vo_10011600","21","0","0","10","","1100021"
"0","0","1","0","22","8","0","10","でも本当にどうしよう、","1100022"
"0","3.125","4","0","23","0","1","10","","1100023"
"vo_10011600_1006","0","2","vo_10011600","24","0","0","10","","1100024"
"0","0","1","0","25","8","0","10","こうなったら","1100025"
"0","1.75","4","0","26","0","1","10","","1100026"
"0","0","1","0","27","8","0","10","ぼっちライフをどう生き抜くかをまとめて","1100027"
"0","3.375","4","0","28","0","1","10","","1100028"
"0","0","1","0","29","8","0","10","発表してみようかな……？","1100029"
"0","2.5","4","0","30","0","1","10","","1100030"
"vo_10011600_1101","0","2","vo_10011600","1","0","0","11","","1110001"
"0","0","1","0","2","8","0","11","　特別講座、","1110002"
"0","1.75","4","0","3","0","1","11","","1110003"
"0","0","1","0","4","8","0","11","終了！\n","1110004"
"0","2.625","4","0","5","0","1","11","","1110005"
"vo_10011600_1102","0","2","vo_10011600","6","0","0","11","","1110006"
"0","0","1","0","7","8","0","11","結果は……","1110007"
"0","1.625","4","0","8","0","1","11","","1110008"
"0","0","1","0","9","8","0","11","成功、","1110009"
"0","1.375","4","0","10","0","1","11","","1110010"
"0","0","1","0","11","8","0","11","だと思う。","1110011"
"0","3.125","4","0","12","0","1","11","","1110012"
"vo_10011600_1103","0","2","vo_10011600","13","0","0","11","","1110013"
"0","0","1","0","14","8","0","11","　それもこれもすべては、","1110014"
"0","2.5","4","0","15","0","1","11","","1110015"
"0","0","1","0","16","8","0","11","手伝ってくれたあの人、","1110016"
"0","1.875","4","0","17","0","1","11","","1110017"
"0","0","1","0","18","8","0","11","そして","1110018"
"0","0.875","4","0","19","0","1","11","","1110019"
"0","0","1","0","20","8","0","11","なかよし部のみなさんのおかげだ。\n","1110020"
"0","3","4","0","21","0","1","11","","1110021"
"vo_10011600_1104","0","2","vo_10011600","22","0","0","11","","1110022"
"0","0","1","0","23","8","0","11","講座が終わった後、","1110023"
"0","2.125","4","0","24","0","1","11","","1110024"
"0","0","1","0","25","8","0","11","たくさんの人に囲まれて怖かったけど、","1110025"
"0","3","4","0","26","0","1","11","","1110026"
"vo_10011600_1105","0","2","vo_10011600","27","0","0","11","","1110027"
"0","0","1","0","28","8","0","11","でも私、","1110028"
"0","1.5","4","0","29","0","1","11","","1110029"
"0","0","1","0","30","8","0","11","いつもみたいに逃げたりしなかった！\n","1110030"
"0","3.125","4","0","31","0","1","11","","1110031"
"vo_10011600_1106","0","2","vo_10011600","32","0","0","11","","1110032"
"0","0","1","0","33","8","0","11","私も少しだけ……","1110033"
"0","2","4","0","34","0","1","11","","1110034"
"0","0","1","0","35","8","0","11","ほんのちょっとだけだけど、","1110035"
"0","2.625","4","0","36","0","1","11","","1110036"
"0","0","1","0","37","8","0","11","成長……","1110037"
"0","1.5","4","0","38","0","1","11","","1110038"
"0","0","1","0","39","8","0","11","できたのかな。","1110039"
"0","1.875","4","0","40","0","1","11","","1110040"
"vo_10011600_1201","0","2","vo_10011600","1","0","0","12","","1120001"
"0","0","1","0","2","8","0","12","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","1120002"
"0","4.25","4","0","3","0","1","12","","1120003"
"0","0","1","0","4","8","0","12","あの人はやっぱりすごい！\n","1120004"
"0","3.5","4","0","5","0","1","12","","1120005"
"vo_10011600_1202","0","2","vo_10011600","6","0","0","12","","1120006"
"0","0","1","0","7","8","0","12","　廊下を歩いてるとき、","1120007"
"0","2.125","4","0","8","0","1","12","","1120008"
"0","0","1","0","9","8","0","12","他の生徒はあの人を見て驚いた顔をするんだけど、","1120009"
"0","3.375","4","0","10","0","1","12","","1120010"
"0","0","1","0","11","8","0","12","あの人はにこやかに挨拶するんです！\n","1120011"
"0","3.125","4","0","12","0","1","12","","1120012"
"vo_10011600_1203","0","2","vo_10011600","13","0","0","12","","1120013"
"0","0","1","0","14","8","0","12","そこできゃあ、","1120014"
"0","1.375","4","0","15","0","1","12","","1120015"
"0","0","1","0","16","8","0","12","と言われても","1120016"
"0","1.25","4","0","17","0","1","12","","1120017"
"0","0","1","0","18","8","0","12","涼しい顔で手を振り返す！","1120018"
"0","2.5","4","0","19","0","1","12","","1120019"
"vo_10011600_1204","0","2","vo_10011600","20","0","0","12","","1120020"
"0","0","1","0","21","8","0","12","　挨拶さえもできない私とは大違い！\n\n","1120021"
"0","4.625","4","0","22","0","1","12","","1120022"
"vo_10011600_1205","0","2","vo_10011600","23","0","0","12","","1120023"
"0","0","1","0","24","8","0","12","早く私も","1120024"
"0","1.25","4","0","25","0","1","12","","1120025"
"0","0","1","0","26","8","0","12","あんなふうになりたいなぁ……","1120026"
"0","2.5","4","0","27","0","1","12","","1120027"
"vo_10011600_1301","0","2","vo_10011600","1","0","0","13","","1130001"
"0","0","1","0","2","8","0","13","　私が持ってきたマンドラゴラが大変なことに……\n","1130002"
"0","4.875","4","0","3","0","1","13","","1130003"
"vo_10011600_1302","0","2","vo_10011600","4","0","0","13","","1130004"
"0","0","1","0","5","8","0","13","だけど、","1130005"
"0","1.25","4","0","6","0","1","13","","1130006"
"0","0","1","0","7","8","0","13","あの人となかよし部のみなさんが力を貸してくれたおかげで、","1130007"
"0","4","4","0","8","0","1","13","","1130008"
"0","0","1","0","9","8","0","13","大きな\n被害が出る前に食い止めることができた。","1130009"
"0","5","4","0","10","0","1","13","","1130010"
"vo_10011600_1303","0","2","vo_10011600","11","0","0","13","","1130011"
"0","0","1","0","12","8","0","13","　みなさんは","1130012"
"0","1.45","4","0","13","0","1","13","","1130013"
"0","0","1","0","14","8","0","13","下心があったなんて言ってたけど、","1130014"
"0","2.75","4","0","15","0","1","13","","1130015"
"0","0","1","0","16","8","0","13","そんなことは関係ないと思う。\n","1130016"
"0","3.25","4","0","17","0","1","13","","1130017"
"vo_10011600_1304","0","2","vo_10011600","18","0","0","13","","1130018"
"0","0","1","0","19","8","0","13","こうして一緒に戦うことができて、","1130019"
"0","2.75","4","0","20","0","1","13","","1130020"
"0","0","1","0","21","8","0","13","私は嬉しかった。\n","1130021"
"0","2.5","4","0","22","0","1","13","","1130022"
"vo_10011600_1305","0","2","vo_10011600","23","0","0","13","","1130023"
"0","0","1","0","24","8","0","13","なんだか……","1130024"
"0","1.75","4","0","25","0","1","13","","1130025"
"0","0","1","0","26","8","0","13","仲間、","1130026"
"0","1.375","4","0","27","0","1","13","","1130027"
"0","0","1","0","28","8","0","13","になれたみたいで。","1130028"
"0","2.125","4","0","29","0","1","13","","1130029"
"vo_10011600_1401","0","2","vo_10011600","1","0","0","14","","1140001"
"0","0","1","0","2","8","0","14","　今日は","1140002"
"0","1.5","4","0","3","0","1","14","","1140003"
"0","0","1","0","4","7","0","14","聖テレサ女学院に通う最終日","1140004"
"0","3.60714285714286","4","0","5","0","1","14","","1140005"
"0","0","1","0","6","8","0","14","……だった。\n","1140006"
"0","3.25","4","0","7","0","1","14","","1140007"
"vo_10011600_1402","0","2","vo_10011600","8","0","0","14","","1140008"
"0","0","1","0","9","8","0","14","最初にミサト先生からお願いされたときは","1140009"
"0","3.375","4","0","10","0","1","14","","1140010"
"0","0","1","0","11","8","0","14","絶対ムリだと思ってた。","1140011"
"0","3.125","4","0","12","0","1","14","","1140012"
"vo_10011600_1403","0","2","vo_10011600","13","0","0","14","","1140013"
"0","0","1","0","14","8","0","14","　だけど今は名残惜しくて、","1140014"
"0","2.625","4","0","15","0","1","14","","1140015"
"0","0","1","0","16","8","0","14","こうして日記を書いている。\n","1140016"
"0","3.375","4","0","17","0","1","14","","1140017"
"vo_10011600_1404","0","2","vo_10011600","18","0","0","14","","1140018"
"0","0","1","0","19","8","0","14","　目を閉じると、","1140019"
"0","2","4","0","20","0","1","14","","1140020"
"0","0","1","0","21","8","0","14","あの人や","1140021"
"0","1.5","4","0","22","0","1","14","","1140022"
"0","0","1","0","23","8","0","14","なかよし部のみなさん、","1140023"
"0","2.125","4","0","24","0","1","14","","1140024"
