75e46086b5653b5d4af3802bf0ece5b672b153cb6638cb8ffbe70e566d46cc83,ca9be287244b580b719dcfc796933e9480ecb80563c0fcd98f500f343bc54e4f,57fa1a2014560f4d1f916b651d2950c9baab9c22d6be30101a39dc43928982c0,7a84d8ce25518e544161feeb394a493d78bf16e78b30fb53ac1b238c2a48cb7d,df5ef5dffc48346268eb3eb3d396526139eae45f571554bde8be809ffa2108b2,95ac2e4ceae0124294950c02e44c1f98657ba5a22d891e20b30d9c3cdda8d106,0f8fe1266ddc2d279f81d41cbb0a60aff7883fa4a21c0ef646aadd331a69bc93,793b24671d5493a6755646b4bdb617b051601d6c335d3124e8cf9fa0e7d865ff,3fb5a810e6aea3623b9816e7dd35c3cf2bd53dd787429e059cea3a0f45a7da10,0e62d9b6219268ddcfa7a1410125e99b97694604faefb53ca0691ef88d695897,832acdf3cd5f410d04e594ee9fbef08010595d227f60500a0c4d201e2fd6edd4,33f1edb068acbcf1af8f9707dae039a6171c284aba33bd2f09fe0d9818b7d3ed
"0","4","0","0","0","15","15","4","1","0","2.24675324675325","1150015"
"vo_10011600_1506","2","vo_10011600","0","0","16","15","0","0","0","0","1150016"
"0","1","0","300","770","17","15","4","0","1.95324675324675","0","1150017"
"0","4","0","0","0","18","15","4","1","0","1.95324675324675","1150018"
"vo_10011600_1507","2","vo_10011600","0","0","19","15","0","0","0","0","1150019"
"0","1","0","0","500","20","15","5","0","2.07792207792208","0","1150020"
"0","4","0","0","0","21","15","5","1","0","2.97792207792208","1150021"
"vo_10011600_1508","2","vo_10011600","0","0","22","15","0","0","0","0","1150022"
"0","1","0","500","770","23","15","5","0","1.12207792207792","0","1150023"
"0","4","0","0","0","24","15","5","1","0","2.02207792207792","1150024"
"vo_10011600_1509","2","vo_10011600","0","0","25","15","0","0","0","0","1150025"
"0","1","0","0","320","26","15","6","0","1.32987012987013","0","1150026"
"0","4","0","0","0","27","15","6","1","0","2.57987012987013","1150027"
"vo_10011600_1510","2","vo_10011600","0","0","28","15","0","0","0","0","1150028"
"0","1","0","320","770","29","15","6","0","1.87012987012987","0","1150029"
"0","4","0","0","0","30","15","6","1","0","2.87012987012987","1150030"
"vo_10011600_1511","2","vo_10011600","0","0","31","15","0","0","0","0","1150031"
"0","1","0","0","375","32","15","7","0","1.55844155844156","0","1150032"
"0","4","0","0","0","33","15","7","1","0","1.75844155844156","1150033"
"vo_10011600_1512","2","vo_10011600","0","0","34","15","0","0","0","0","1150034"
"0","1","0","375","680","35","15","7","0","1.26753246753247","0","1150035"
"0","4","0","0","0","36","15","7","1","0","2.51753246753247","1150036"
"vo_10011600_1513","2","vo_10011600","0","0","37","15","0","0","0","0","1150037"
"0","1","0","0","480","38","15","8","0","1.99480519480519","0","1150038"
"0","4","0","0","0","39","15","8","1","0","2.49480519480519","1150039"
"vo_10011600_1514","2","vo_10011600","0","0","40","15","0","0","0","0","1150040"
"0","1","0","480","730","41","15","8","0","1.03896103896104","0","1150041"
"0","4","0","0","0","42","15","8","1","0","2.53896103896104","1150042"
"0","1","0","0","400","43","15","9","0","0.01","0","1150043"
"0","4","0","0","0","44","15","9","1","0","0","1150044"
"vo_10011600_1515","2","vo_10011600","0","0","45","15","0","0","0","0","1150045"
"0","1","0","400","720","46","15","9","0","1.32987012987013","0","1150046"
"vo_10011600_1601","2","vo_10011600","0","0","1","16","0","0","0","0","1160001"
"0","1","0","0","150","2","16","1","0","0.623376623376623","0","1160002"
"0","4","0","0","0","3","16","1","1","0","2.12337662337662","1160003"
"vo_10011600_1602","2","vo_10011600","0","0","4","16","0","0","0","0","1160004"
"0","1","0","0","700","5","16","2","0","3.63636363636364","0","1160005"
"0","4","0","0","0","6","16","2","1","0","5.13636363636364","1160006"
"vo_10011600_1603","2","vo_10011600","0","0","7","16","0","0","0","0","1160007"
"0","1","0","0","285","8","16","3","0","1.18441558441558","0","1160008"
"0","4","0","0","0","9","16","3","1","0","2.18441558441558","1160009"
"vo_10011600_1604","2","vo_10011600","0","0","10","16","0","0","0","0","1160010"
"0","1","0","285","370","11","16","3","0","0.353246753246753","0","1160011"
"0","4","0","0","0","12","16","3","1","0","0.553246753246753","1160012"
"vo_10011600_1605","2","vo_10011600","0","0","13","16","0","0","0","0","1160013"
"0","1","0","370","635","14","16","3","0","1.1012987012987","0","1160014"
"0","4","0","0","0","15","16","3","1","0","1.1012987012987","1160015"
"0","1","0","0","470","16","16","4","0","1.95324675324675","0","1160016"
"0","4","0","0","0","17","16","4","1","0","2.45324675324675","1160017"
"vo_10011600_1606","2","vo_10011600","0","0","18","16","0","0","0","0","1160018"
"0","1","0","470","660","19","16","4","0","0.78961038961039","0","1160019"
"0","4","0","0","0","20","16","4","1","0","1.78961038961039","1160020"
"vo_10011600_1607","2","vo_10011600","0","0","21","16","0","0","0","0","1160021"
"0","1","0","0","480","22","16","5","0","1.99480519480519","0","1160022"
"0","4","0","0","0","23","16","5","1","0","2.99480519480519","1160023"
"vo_10011600_1608","2","vo_10011600","0","0","24","16","0","0","0","0","1160024"
"0","1","0","480","660","25","16","5","0","0.748051948051948","0","1160025"
"0","4","0","0","0","26","16","5","1","0","1.99805194805195","1160026"
"vo_10011600_1609","2","vo_10011600","0","0","27","16","0","0","0","0","1160027"
"0","1","0","0","370","28","16","6","0","1.53766233766234","0","1160028"
"0","4","0","0","0","29","16","6","1","0","2.13766233766234","1160029"
"vo_10011600_1610","2","vo_10011600","0","0","30","16","0","0","0","0","1160030"
"0","1","0","370","710","31","16","6","0","1.41298701298701","0","1160031"
"0","4","0","0","0","32","16","6","1","0","1.41298701298701","1160032"
"0","1","0","0","190","33","16","7","0","0.78961038961039","0","1160033"
"0","4","0","0","0","34","16","7","1","0","2.33961038961039","1160034"
"vo_10011600_1611","2","vo_10011600","0","0","35","16","0","0","0","0","1160035"
"0","1","0","190","360","36","16","7","0","0.706493506493507","0","1160036"
"0","4","0","0","0","37","16","7","1","0","1.00649350649351","1160037"
"vo_10011600_1612","2","vo_10011600","0","0","38","16","0","0","0","0","1160038"
"0","1","0","360","710","39","16","7","0","1.45454545454545","0","1160039"
"0","4","0","0","0","40","16","7","1","0","2.95454545454545","1160040"
"vo_10011600_1613","2","vo_10011600","0","0","41","16","0","0","0","0","1160041"
"0","1","0","710","770","42","16","7","0","0.249350649350649","0","1160042"
"0","4","0","0","0","43","16","7","1","0","0.749350649350649","1160043"
"vo_10011600_1614","2","vo_10011600","0","0","44","16","0","0","0","0","1160044"
"0","1","0","0","558","45","16","8","0","2.31896103896104","0","1160045"
"0","4","0","0","0","46","16","8","1","0","3.71896103896104","1160046"
"vo_10011600_1615","2","vo_10011600","0","0","47","16","0","0","0","0","1160047"
"0","1","0","558","730","48","16","8","0","0.714805194805195","0","1160048"
"0","4","0","0","0","49","16","8","1","0","2.71480519480519","1160049"
"0","1","0","0","560","50","16","9","0","0.01","0","1160050"
"0","4","0","0","0","51","16","9","1","0","0","1160051"
"vo_10011600_1616","2","vo_10011600","0","0","52","16","0","0","0","0","1160052"
"0","1","0","560","710","53","16","9","0","0.623376623376623","0","1160053"
"vo_10011600_1701","2","vo_10011600","0","0","1","17","0","0","0","0","1170001"
"0","1","0","0","160","2","17","1","0","0.664935064935065","0","1170002"
"0","4","0","0","0","3","17","1","1","0","2.16493506493507","1170003"
"vo_10011600_1702","2","vo_10011600","0","0","4","17","0","0","0","0","1170004"
"0","1","0","0","125","5","17","2","0","0.730519480519481","0","1170005"
"0","4","0","0","0","6","17","2","1","0","1.53051948051948","1170006"
"vo_10011600_1703","2","vo_10011600","0","0","7","17","0","0","0","0","1170007"
"0","1","0","125","770","8","17","2","0","3.35064935064935","0","1170008"
"0","4","0","0","0","9","17","2","1","0","4.85064935064935","1170009"
"vo_10011600_1704","2","vo_10011600","0","0","10","17","0","0","0","0","1170010"
"0","1","0","0","205","11","17","3","0","0.851948051948052","0","1170011"
"0","4","0","0","0","12","17","3","1","0","2.10194805194805","1170012"
"vo_10011600_1705","2","vo_10011600","0","0","13","17","0","0","0","0","1170013"
"0","1","0","205","730","14","17","3","0","2.72727272727273","0","1170014"
"0","4","0","0","0","15","17","3","1","0","4.47727272727273","1170015"
"vo_10011600_1706","2","vo_10011600","0","0","16","17","0","0","0","0","1170016"
"0","1","0","0","400","17","17","4","0","1.66233766233766","0","1170017"
"0","4","0","0","0","18","17","4","1","0","2.86233766233766","1170018"
"vo_10011600_1707","2","vo_10011600","0","0","19","17","0","0","0","0","1170019"
"0","1","0","400","710","20","17","4","0","1.28831168831169","0","1170020"
"0","4","0","0","0","21","17","4","1","0","3.03831168831169","1170021"
"vo_10011600_1708","2","vo_10011600","0","0","22","17","0","0","0","0","1170022"
"0","1","0","0","570","23","17","5","0","2.36883116883117","0","1170023"
"0","4","0","0","0","24","17","5","1","0","3.76883116883117","1170024"
"vo_10011600_1709","2","vo_10011600","0","0","25","17","0","0","0","0","1170025"
"0","1","0","0","360","26","17","6","0","1.4961038961039","0","1170026"
"0","4","0","0","0","27","17","6","1","0","2.2461038961039","1170027"
"vo_10011600_1710","2","vo_10011600","0","0","28","17","0","0","0","0","1170028"
"0","1","0","360","595","29","17","6","0","0.976623376623377","0","1170029"
"0","4","0","0","0","30","17","6","1","0","1.97662337662338","1170030"
"vo_10011600_1711","2","vo_10011600","0","0","31","17","0","0","0","0","1170031"
"0","1","0","0","333","32","17","7","0","1.3838961038961","0","1170032"
"0","4","0","0","0","33","17","7","1","0","2.7838961038961","1170033"
"vo_10011600_1712","2","vo_10011600","0","0","34","17","0","0","0","0","1170034"
"0","1","0","333","530","35","17","7","0","0.818701298701299","0","1170035"
"0","4","0","0","0","36","17","7","1","0","1.8187012987013","1170036"
"vo_10011600_1713","2","vo_10011600","0","0","37","17","0","0","0","0","1170037"
"0","1","0","530","740","38","17","7","0","0.872727272727273","0","1170038"
"0","4","0","0","0","39","17","7","1","0","2.67272727272727","1170039"
"vo_10011600_1714","2","vo_10011600","0","0","40","17","0","0","0","0","1170040"
"0","1","0","0","140","41","17","8","0","0.581818181818182","0","1170041"
"0","4","0","0","0","42","17","8","1","0","1.38181818181818","1170042"
"vo_10011600_1715","2","vo_10011600","0","0","43","17","0","0","0","0","1170043"
"0","1","0","140","465","44","17","8","0","1.35064935064935","0","1170044"
"0","4","0","0","0","45","17","8","1","0","2.60064935064935","1170045"
"vo_10011600_1716","2","vo_10011600","0","0","46","17","0","0","0","0","1170046"
"0","1","0","465","700","47","17","8","0","0.976623376623377","0","1170047"
"0","4","0","0","0","48","17","8","1","0","2.97662337662338","1170048"
"0","1","0","0","470","49","17","9","0","0.01","0","1170049"
"0","4","0","0","0","50","17","9","1","0","0","1170050"
"vo_10011600_1717","2","vo_10011600","0","0","51","17","0","0","0","0","1170051"
"0","1","0","470","700","52","17","9","0","1.19480519480519","0","1170052"
