bf74ae2615a636a35b5079eeaf833a13ec8608e5a500811a28cb5a2db41626f9,94dfb496c62c0c91d1100539a145dbf7812d5c6688f8a83c9609ff1a89136427,d4f8c53075319ee337b2641bf6f56e14e6b06f948b397df7ad2be8a235432f36,82672d6575d0dba270511195360c2d46e826a8d9d411b6894dbaf16cb6f051a4,788d2f1402b75a5d6926ee9a908c4f2cbbf9495509554685bd082dea54445120,8ba5402da24156e7a7eb572df6b01bce10ff7c816fbe428dc7c5fffe797be48b,c871c35b7d267179264e5b5c3d439e1eac80b41f807a2405dfa52097a255aaac,e8f742ce4dbb002451abecaf1aaa1eb7fa4c9611ca217adbc075ae6ff3f6456e,67e7ec60ba83e4830d2759eae7a14f100fa905d9bfdb38fa14b6ea89b6d3a5f3,b25f94ee6d962c81340ffde8a854daf02d023e70aac8d13631020bd4adda7308,28c202be1277253f9f390cabb9e9ce631fbe7c6fe76ecf0393097aee37b23dac
"61055","0","10","11","0","105811","0","……キャルちゃん、\n写真写りたくないんですかね…？","1","1","5146061"
"61056","","","91","","0","","","","","5146061"
"61057","0.2","1","3","","105811","","surprise_idle_talk1R","","","5146061"
"61058","0.2","1","3","","1058","","surprise_idle_talk1R","","","5146061"
"61059","0.2","1","3","","105911","","kokkoro_surprise_talk","","","5146061"
"61060","0.2","1","3","","1059","","kokkoro_surprise_talk","","","5146061"
"61061","","0","21","","vo_apg","","vo_apg_0105","","0","5146061"
"61062","0","10","11","0","105911","0","はい。\nどうやらそのようでございます","1","1","5146061"
"61063","","","91","","0","","","","","5146061"
"61064","0.2","1","3","","105911","","kokkoro_idle_normal","","","5146061"
"61065","0.2","1","3","","1059","","kokkoro_idle_normal","","","5146061"
"61066","0.2","1","3","","105811","","idle_normal_talk1R","","","5146061"
"61067","0.2","1","3","","1058","","idle_normal_talk1R","","","5146061"
"61068","","","4","","105811","","0","","","5146061"
"61069","","","4","","1058","","0","","","5146061"
"61070","","","4","","106011","","1","","","5146061"
"61071","","","4","","1060","","1","","","5146061"
"61072","0.2","0","3","0","106011","","cool_in_sing_shy","1","cool_talk_sing_shy","5146061"
"61073","0.2","0","3","0","1060","","cool_in_sing_shy","1","cool_talk_sing_shy","5146061"
"61074","","0","21","","vo_apg","","vo_apg_0106","","0","5146061"
"61075","0","10","11","0","106011","0","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","1","1","5146061"
"61076","","","91","","0","","","","","5146061"
"61077","","","22","","0","","0","","","5146061"
"61078","0.2","1","3","","106011","","walk_kyapi_shy","","","5146061"
"61079","0.2","1","3","","1060","","walk_kyapi_shy","","","5146061"
"61080","0.2","1","3","","105811","","walk_furimuki","","","5146061"
"61081","0.2","1","3","","1058","","walk_furimuki","","","5146061"
"61082","0.2","1","3","","105911","","kokkoro_walk_surprise","","","5146061"
"61083","0.2","1","3","","1059","","kokkoro_walk_surprise","","","5146061"
"61084","","-278","2","","106011","","149","0","2","5146061"
"61085","","-278","2","","1060","","149","0","2","5146061"
"61086","","-278","2","","105811","","-54","0","2","5146061"
"61087","","-278","2","","1058","","-54","0","2","5146061"
"61088","","-288","2","","105911","","-214","0","2","5146061"
"61089","","-288","2","","1059","","-214","0","2","5146061"
"61090","","","93","","1","","0","","","5146061"
"61091","","","37","","2","","iris_in","","","5146061"
"61092","","","93","","2","","0","","","5146061"
"61093","","1","23","","se_10055900","","se_10055900_coaster_02","","","5146061"
"61094","","","32","","10","","1","","","5146061"
"61095","","0.5","122","","30","","30","","","5146061"
"61096","","0","21","","vo_apg","","vo_apg_0107","","0","5146061"
"61097","0","0","3","","202","","0107_in","","","5146061"
"61098","","","93","","0.7","","1","","","5146061"
"61099","0","0","3","","202","","0107_mid","","","5146061"
"61100","","","92","","","","","","","5146061"
"61101","0","0","3","","202","","0107_out","","","5146061"
"61102","","","93","","0.2","","0","","","5146061"
"61103","","-211","2","","202","","0","0","0","5146061"
"61104","","0.5","122","","30","","30","","","5146061"
"61105","","0","21","","vo_apg","","vo_apg_0108","","0","5146061"
"61106","0","0","3","","203","","0108_in","","","5146061"
"61107","","","93","","0.8","","1","","","5146061"
"61108","0","0","3","","203","","0108_mid","","","5146061"
"61109","","","92","","","","","","","5146061"
"61110","0","0","3","","203","","0108_out","","","5146061"
"61111","","","93","","0.2","","0","","","5146061"
"61112","","16","2","","201","","315","0","0","5146061"
"61113","","0.5","122","","30","","30","","","5146061"
"61114","","0","21","","vo_apg","","vo_apg_0109","","0","5146061"
"61115","0","0","3","","201","","0109_in","","","5146061"
"61116","","","93","","1.1","","1","","","5146061"
"61117","0","0","3","","201","","0109_mid","","","5146061"
"61118","","","92","","","","","","","5146061"
"61119","0","0","3","","201","","0109_out","","","5146061"
"61120","","","93","","0.2","","0","","","5146061"
"61121","","0.5","122","","30","","30","","","5146061"
"61122","","0","21","","vo_apg","","vo_apg_0110","","0","5146061"
"61123","0","0","3","","202","","0107_in","","","5146061"
"61124","0","0","3","","203","","0108_in","","","5146061"
"61125","0","0","3","","201","","0109_in","","","5146061"
"61126","","","93","","1.1","","1","","","5146061"
"61127","0","0","3","","202","","0107_mid","","","5146061"
"61128","0","0","3","","203","","0108_mid","","","5146061"
"61129","0","0","3","","201","","0109_mid","","","5146061"
"61130","","","92","","","","","","","5146061"
"61131","0","0","3","","202","","0107_out","","","5146061"
"61132","0","0","3","","203","","0108_out","","","5146061"
"61133","0","0","3","","201","","0109_out","","","5146061"
"61134","","","93","","0.2","","0","","","5146061"
"61135","","0","2","","201","","216","0","0","5146061"
"61136","","0","21","","vo_apg","","vo_apg_0111","","0","5146061"
"61137","0","0","3","","201","","0111_in","","","5146061"
"61138","","","93","","1.8","","1","","","5146061"
"61139","0","0","3","","201","","0111_mid","","","5146061"
"61140","","","92","","","","","","","5146061"
"61141","0","0","3","","201","","0111_out","","","5146061"
"61142","","","93","","0.2","","0","","","5146061"
"61143","","","22","","0","","0","","","5146061"
"61144","","","93","","0.5","","","","","5146061"
"61145","","","32","","11","","1","","","5146061"
"61146","","0","23","","se_10055900","","se_10055900_camera","","","5146061"
"61147","","","93","","0.2","","0","","","5146061"
"61148","","","32","","10","","0","","","5146061"
"61149","","","93","","1.8","","0","","","5146061"
"61150","","","24","","se_10055900_coaster_02","","0.5","","","5146061"
"61151","","","37","","2","","iris_out","","","5146061"
"61152","","-278","2","","106011","","129","0","0","5146061"
"61153","","-278","2","","1060","","129","0","0","5146061"
"61154","","-278","2","","105811","","-34","0","0","5146061"
"61155","","-278","2","","1058","","-34","0","0","5146061"
"61156","","-288","2","","105911","","-194","0","0","5146061"
"61157","","-288","2","","1059","","-194","0","0","5146061"
"61158","0.2","1","3","","106011","","walk_normal_dere2","","","5146061"
"61159","0.2","1","3","","1060","","walk_normal_dere2","","","5146061"
"61160","0.2","1","3","","105811","","walk_normal_joy","","","5146061"
"61161","0.2","1","3","","1058","","walk_normal_joy","","","5146061"
"61162","0.2","1","3","","105911","","kokkoro_walk_normal_dere","","","5146061"
"61163","0.2","1","3","","1059","","kokkoro_walk_normal_dere","","","5146061"
"61164","","-278","2","","106011","","290","0","2","5146061"
"61165","","-278","2","","1060","","290","0","2","5146061"
"61166","","-278","2","","105811","","-225","0","2","5146061"
"61167","","-278","2","","1058","","-225","0","2","5146061"
"61168","","-288","2","","105911","","-385","0","2","5146061"
"61169","","-288","2","","1059","","-385","0","2","5146061"
"61170","","","4","","106011","","0","","","5146061"
"61171","","","4","","1060","","0","","","5146061"
"61172","","","4","","105811","","1","","","5146061"
"61173","","","4","","1058","","1","","","5146061"
"61174","","","4","","105911","","1","","","5146061"
"61175","","","4","","1059","","1","","","5146061"
"61176","","","93","","2","","0","","","5146061"
"61177","","","4","","106011","","1","","","5146061"
"61178","","","4","","1060","","1","","","5146061"
"61179","","","4","","105811","","0","","","5146061"
"61180","","","4","","1058","","0","","","5146061"
"61181","","","4","","105911","","0","","","5146061"
"61182","","","4","","1059","","0","","","5146061"
"61183","0.2","1","3","","106011","","joy_idle_doya_shy","","","5146061"
"61184","0.2","1","3","","1060","","joy_idle_doya_shy","","","5146061"
"61185","0.2","1","3","","105811","","idle_normal","","","5146061"
"61186","0.2","1","3","","1058","","idle_normal","","","5146061"
"61187","0.2","1","3","","105911","","kokkoro_idle_normal_joy","","","5146061"
"61188","0.2","1","3","","1059","","kokkoro_idle_normal_joy","","","5146061"
"61189","","","93","","0.3","","0","","","5146061"
"61190","0.2","0","3","0.2","105811","","jump_short","1","guts2_talk_joy","5146061"
"61191","0.2","0","3","0.2","1058","","jump_short","1","guts2_talk_joy","5146061"
"61192","","0","21","","vo_apg","","vo_apg_0112","","0","5146061"
"61193","0","10","11","0","105811","0","はぁ～♪\n楽しかったですねー☆","1","1","5146061"
"61194","","","91","","0","","","","","5146061"
"61195","0.2","1","3","","105811","","idle_normal","","","5146061"
"61196","0.2","1","3","","1058","","idle_normal","","","5146061"
"61197","0.2","1","3","","105911","","kokkoro_talk_normal","","","5146061"
"61198","0.2","1","3","","1059","","kokkoro_talk_normal","","","5146061"
"61199","","0","21","","vo_apg","","vo_apg_0113","","0","5146061"
"61200","0","10","11","0","105911","0","みなさま。\nお写真が\n仕上がったみたいです","1","1","5146061"
"61201","","","91","","0","","","","","5146061"
"61202","0.2","1","3","","105911","","kokkoro_idle_normal_joy","","","5146061"
"61203","0.2","1","3","","1059","","kokkoro_idle_normal_joy","","","5146061"
"61204","0.2","0","3","0","106011","","armcrossed_in_dere_shy","1","armcrossed_talk_dere_shy","5146061"
"61205","0.2","0","3","0","1060","","armcrossed_in_dere_shy","1","armcrossed_talk_dere_shy","5146061"
"61206","","0","21","","vo_apg","","vo_apg_0114","","0","5146061"
"61207","0","10","11","0","106011","0","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","1","1","5146061"
"61208","","","91","","0","","","","","5146061"
"61209","","","22","","0","","0","","","5146061"
"61210","0.2","0","3","","106011","","armcrossed_idle_anger_lookup","","","5146061"
"61211","0.2","0","3","","1060","","armcrossed_idle_anger_lookup","","","5146061"
"61212","0.2","1","3","","105811","","idle_normal_lookup","","","5146061"
"61213","0.2","1","3","","1058","","idle_normal_lookup","","","5146061"
"61214","0.2","1","3","","105911","","kokkoro_wish_idle_joy_lookup","","","5146061"
"61215","0.2","1","3","","1059","","kokkoro_wish_idle_joy_lookup","","","5146061"
"61216","0","0","3","","21","","coaster_1_in","","","5146061"
"61217","","0","23","","se_10055900","","se_10055900_photo","","","5146061"
"61218","","","93","","2.3","","0","","","5146061"
"61219","0.2","1","3","","105811","","idle_normal_surprise","","","5146061"
"61220","0.2","1","3","","1058","","idle_normal_surprise","","","5146061"
"61221","0.2","1","3","","105911","","kokkoro_idle_normal_surprise","","","5146061"
"61222","0.2","1","3","","1059","","kokkoro_idle_normal_surprise","","","5146061"
"61223","0.2","0","3","0","106011","","pointing_in_noface","1","pointing_loop_noface","5146061"
"61224","0.2","0","3","0","1060","","pointing_in_kyaru","1","pointing_loop_kyaru","5146061"
"61225","","0","21","","vo_apg","","vo_apg_0115","","0","5146061"
"61226","0","10","11","0","106011","0","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","1","1","5146061"
"61227","","","93","","0.5","","1","","","5146061"
"61228","","0.5","122","","30","","30","","","5146061"
"61229","","","91","","61226","","","","","5146061"
"61230","0.2","1","3","","105811","","surprise_talk","","","5146061"
"61231","0.2","1","3","","1058","","surprise_talk","","","5146061"
"61232","","0","21","","vo_apg","","vo_apg_0116","","0","5146061"
"61233","0","10","11","0","105811","0","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","1","1","5146061"
"61234","","","91","","0","","","","","5146061"
"61235","0.2","1","3","","105811","","idle_normal_talk1R","","","5146061"
"61236","0.2","1","3","","1058","","idle_normal_talk1R","","","5146061"
"61237","0.2","1","3","","105911","","kokkoro_sad_talk","","","5146061"
"61238","0.2","1","3","","1059","","kokkoro_sad_talk","","","5146061"
"61239","","0","21","","vo_apg","","vo_apg_0117","","0","5146061"
"61240","0","10","11","0","105911","0","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","1","1","5146061"
"61241","","","91","","0","","","","","5146061"
"61242","0.2","1","3","","105911","","kokkoro_idle_normal","","","5146061"
"61243","0.2","1","3","","1059","","kokkoro_idle_normal","","","5146061"
"61244","0.2","0","3","0","106011","","shock_in_shy_red","1","shock_loop_shy_red","5146061"
"61245","0.2","0","3","0","1060","","shock_in_shy_red","1","shock_loop_shy_red","5146061"
"61246","","0","21","","vo_apg","","vo_apg_0118","","0","5146061"
"61247","0","10","11","0","106011","0","い…いやそういう訳じゃ\nないけどっ！！？","1","1","5146061"
"61248","","","91","","0","","","","","5146061"
"61249","0","0","3","","21","","coaster_1_out","","","5146061"
"61250","0.2","1","3","0.2","105911","","kokkoro_idle_normal_joy","","","5146061"
"61251","0.2","1","3","0.2","1059","","kokkoro_idle_normal_joy","","","5146061"
"61252","0.2","1","3","0.2","105811","","joy_talk","","","5146061"
"61253","0.2","1","3","0.2","1058","","joy_talk","","","5146061"
"61254","","0","21","","vo_apg","","vo_apg_0119","","0","5146061"
"61255","0","10","11","0","105811","0","なんだ♪\nじゃあもう一回乗りましょー♪","1","1","5146061"
"61256","","","91","","0","","","","","5146061"
"61257","0.2","1","3","","105811","","joy_idle","","","5146061"
"61258","0.2","1","3","","1058","","joy_idle","","","5146061"
"61259","0.2","1","3","","105911","","kokkoro_wish_talk_normal2","","","5146061"
"61260","0.2","1","3","","1059","","kokkoro_wish_talk_normal2","","","5146061"
"61261","","0","21","","vo_apg","","vo_apg_0120","","0","5146061"
"61262","0","10","11","0","105911","0","はい、そういたしましょう♪","1","1","5146061"
"61263","","","91","","0","","","","","5146061"
"61264","","","22","","0","","0","","","5146061"
"61265","0.2","1","3","","105911","","kokkoro_wish_idle_joy","","","5146061"
"61266","0.2","1","3","","1059","","kokkoro_wish_idle_joy","","","5146061"
"61267","0.2","1","3","","106011","","anger_talk_anger2_red","","","5146061"
"61268","0.2","1","3","","1060","","anger_talk_anger2_red","","","5146061"
"61269","0","2","12","0","106011","0","2","0","0","5146061"
"61270","0","2","12","0","105811","0","10","0","0","5146061"
"61271","0","2","12","0","105911","0","10","0","0","5146061"
"61272","","","93","","2","","0","","","5146061"
"61273","","","101","","61274","","","","","5146061"
"61274","","","22","","0","","0.2","","","5146061"
"62001","1.8","103","1","0","1","idle_normal","100911","-278","-290","5146062"
"62002","1.8","104","5","0","3","idle_normal","1009","-278","-290","5146062"
"62003","1.8","100","1","1","1","idle_normal","131011","-278","290","5146062"
"62004","","","13","","100911","","203","","","5146062"
"62005","","","13","","131011","","200","","","5146062"
"62006","0.85","15","5","0","7","idle","7","-174","0","5146062"
"62007","1","210","5","0","20","empty","20","71","-132","5146062"
"62008","1","210","5","0","22","empty","22","-42","0","5146062"
"62009","1","60","5","0","21","empty","21","153","0","5146062"
"62010","1","0","31","","1","","1","1","0","5146062"
"62011","0","0","31","","2","","2","1","-57.7","5146062"
"62012","0","0","31","","10","","10","1","0","5146062"
"62013","0","0","31","","11","","11","1","0","5146062"
"62014","0","-290","31","","14","","14","1","-278","5146062"
"62015","1","0","31","","20","","20","1","0","5146062"
"62016","","","36","","20","","100911","","","5146062"
"62017","","","36","","20","","20","","","5146062"
"62018","","","36","","20","","22","","","5146062"
"62019","","","91","","0","","0","","","5146062"
"62020","","0","102","","0","","0","","","5146062"
"62021","","","93","","1","","0","","","5146062"
"62022","0.2","0","3","0","100911","","cool_in_dere","1","cool_talk_dere","5146062"
"62023","0.2","0","3","0","1009","","cool_in_dere","1","cool_talk_dere","5146062"
"62024","","0","21","","vo_apg","","vo_apg_0201","","0","5146062"
"62025","0","10","11","0","100911","0","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","1","1","5146062"
"62026","","","91","","0","","","","","5146062"
"62027","0.2","1","3","","100911","","cool_idle","","","5146062"
"62028","0.2","1","3","","1009","","cool_idle","","","5146062"
"62029","0.2","1","3","","131011","","wish_talk_joy","","","5146062"
"62030","","0","21","","vo_apg","","vo_apg_0202","","0","5146062"
"62031","0","10","11","0","131011","0","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","1","1","5146062"
"62032","","","91","","0","","","","","5146062"
"62033","0.2","1","3","","131011","","wish_idle","","","5146062"
"62034","0.2","0","3","0.2","100911","","anna_armcrossed","1","sad_talk","5146062"
"62035","0.2","0","3","0.2","1009","","anna_armcrossed","1","sad_talk","5146062"
"62036","","0","21","","vo_apg","","vo_apg_0203","","0","5146062"
"62037","0","10","11","0","100911","0","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","1","1","5146062"
"62038","","","91","","0","","","","","5146062"
"62039","0.2","1","3","","100911","","sad_idle","","","5146062"
"62040","0.2","1","3","","1009","","sad_idle","","","5146062"
"62041","0.2","0","3","0.2","131011","","maho_talk_normal","1","surprise_talk","5146062"
"62042","","0","21","","vo_apg","","vo_apg_0204","","0","5146062"
"62043","0","10","11","0","131011","0","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","1","1","5146062"
"62044","","","91","","0","","","","","5146062"
"62045","0.2","1","3","","131011","","surprise_idle","","","5146062"
"62046","0.2","1","3","","100911","","anger_talk_shy","","","5146062"
"62047","0.2","1","3","","1009","","anger_talk_shy","","","5146062"
"62048","","0","21","","vo_apg","","vo_apg_0205","","0","5146062"
"62049","0","10","11","0","100911","0","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","1","1","5146062"
"62050","","","91","","0","","","","","5146062"
"62051","0.2","1","3","","100911","","anger_idle_shy","","","5146062"
"62052","0.2","1","3","","1009","","anger_idle_shy","","","5146062"
"62053","0.2","1","3","","131011","","worry_talk","","","5146062"
"62054","","0","21","","vo_apg","","vo_apg_0206","","0","5146062"
"62055","0","10","11","0","131011","0","せやけど、無理はせん方が\nええんとちゃいます？","1","1","5146062"
"62056","","","91","","0","","","","","5146062"
"62057","0.2","1","3","","131011","","wish_idle_shy","","","5146062"
"62058","0.2","1","3","","100911","","anger_talk_pain","","","5146062"
"62059","0.2","1","3","","1009","","anger_talk_pain","","","5146062"
"62060","","0","21","","vo_apg","","vo_apg_0207","","0","5146062"
"62061","0","10","11","0","100911","0","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","1","1","5146062"
"62062","","","91","","0","","","","","5146062"
"62063","","","22","","0","","0","","","5146062"
"62064","0.2","1","3","","100911","","run_dash_anger2","","","5146062"
"62065","0.2","1","3","","1009","","run_dash_anger2","","","5146062"
"62066","0.2","1","3","","131011","","walk_surprise","","","5146062"
"62067","","-278","2","","100911","","-129","0","2","5146062"
"62068","","-278","2","","1009","","-129","0","2","5146062"
"62069","","-278","2","","131011","","129","0","2","5146062"
"62070","","","32","","14","","1","","","5146062"
"62071","","","37","","14","","left","","","5146062"
"62072","","-278","33","","14","","-129","0","2","5146062"
"62073","","","93","","1","","0","","","5146062"
"62074","","","32","","2","","1","","","5146062"
"62075","","","93","","1.5","","0","","","5146062"
"62076","","","32","","14","","0","","","5146062"
"62077","","-331","2","","100911","","0","0","0","5146062"
"62078","","","37","","20","","scale15","","","5146062"
"62079","","1","23","","se_10055900","","se_10055900_coaster_01","","","5146062"
"62080","","0","21","","vo_apg","","vo_apg_0208","","0","5146062"
"62081","0","0","3","","22","","0208_in","","","5146062"
"62082","","","93","","3.3","","1","","","5146062"
"62083","0","0","3","","22","","0208_mid","","","5146062"
"62084","","","92","","","","","","","5146062"
"62085","0","0","3","","22","","0208_out","","","5146062"
"62086","","","93","","0.2","","0","","","5146062"
"62087","","","93","","0.3","","0","","","5146062"
"62088","","","37","","20","","scale1","","","5146062"
"62089","","","32","","10","","1","","","5146062"
"62090","","","24","","se_10055900_coaster_01","","0.5","","","5146062"
"62091","","1","23","","se_10055900","","se_10055900_coaster_02","","","5146062"
"62092","","0","2","","20","","0","0","0","5146062"
"62093","","0.5","122","","30","","30","","","5146062"
"62094","","0","21","","vo_apg","","vo_apg_0209","","0","5146062"
"62095","0","0","3","","20","","0209_in","","","5146062"
"62096","","","93","","2.6","","1","","","5146062"
"62097","0","0","3","","20","","0209_mid","","","5146062"
"62098","","","92","","","","","","","5146062"
"62099","0","0","3","","20","","0209_out","","","5146062"
"62100","","","93","","0.2","","0","","","5146062"
"62101","","1","122","","30","","30","","","5146062"
"62102","","0","21","","vo_apg","","vo_apg_0210","","0","5146062"
"62103","0","0","3","","20","","0210_in","","","5146062"
"62104","","","93","","2.7","","1","","","5146062"
"62105","0","0","3","","20","","0210_mid","","","5146062"
"62106","","","92","","","","","","","5146062"
"62107","0","0","3","","20","","0210_out","","","5146062"
"62108","","","93","","0.2","","0","","","5146062"
"62109","","","22","","0","","0","","","5146062"
"62110","0","1","3","","20","","empty","","","5146062"
"62111","","","93","","1","","","","","5146062"
"62112","","","32","","11","","1","","","5146062"
"62113","","0","23","","se_10055900","","se_10055900_camera","","","5146062"
"62114","","","93","","0.2","","0","","","5146062"
"62115","","","32","","10","","0","","","5146062"
"62116","","","93","","1.8","","0","","","5146062"
"62117","","","24","","se_10055900_coaster_02","","0.5","","","5146062"
"62118","","","37","","2","","iris_out","","","5146062"
"62119","","-278","2","","100911","","-129","0","0","5146062"
"62120","","-278","2","","1009","","-129","0","0","5146062"
"62121","","-278","2","","131011","","129","0","0","5146062"
"62122","0.2","1","3","","100911","","anna_walk","","","5146062"
"62123","0.2","1","3","","1009","","anna_walk","","","5146062"
"62124","0.2","1","3","","131011","","walk_normal_joy","","","5146062"
"62125","","-278","2","","100911","","-290","0","2","5146062"
"62126","","-278","2","","1009","","-290","0","2","5146062"
"62127","","-278","2","","131011","","290","0","2","5146062"
"62128","","","4","","100911","","1","","","5146062"
"62129","","","4","","1009","","1","","","5146062"
"62130","","","4","","131011","","0","","","5146062"
"62131","","","93","","2","","0","","","5146062"
"62132","","","4","","100911","","0","","","5146062"
"62133","","","4","","1009","","0","","","5146062"
"62134","","","4","","131011","","1","","","5146062"
"62135","0.2","1","3","","100911","","anna_idle","","","5146062"
"62136","0.2","1","3","","1009","","anna_idle","0","","5146062"
"62137","0.2","1","3","","131011","","idle_normal","","","5146062"
"62138","","","93","","0.5","","0","","","5146062"
"62139","0.2","1","3","","131011","","talk_normal_surprise","","","5146062"
"62140","","0","21","","vo_apg","","vo_apg_0211","","0","5146062"
"62141","0","10","11","0","131011","0","どないでした？\nえらい声出してはったけど","1","1","5146062"
"62142","","","91","","0","","","","","5146062"
"62143","0.2","1","3","","131011","","idle_normal_surprise","","","5146062"
"62144","0.2","0","3","0","100911","","anna_kukuku_in","1","anna_kukuku_loop","5146062"
"62145","0.2","0","3","0","1009","","anna_kukuku_in","1","anna_kukuku_loop","5146062"
"62146","","0","21","","vo_apg","","vo_apg_0212","","0","5146062"
"62147","20","10","11","0","100911","0","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","1","1","5146062"
"62148","","","91","","0","","","","","5146062"
"62149","0","0","3","","21","","coaster_2_in","","","5146062"
"62150","","0","23","","se_10055900","","se_10055900_photo","","","5146062"
"62151","","","93","","0.1","","0","","","5146062"
"62152","0.2","0","3","0","100911","","anna_ahaha_in","1","anna_ahaha_loop","5146062"
"62153","0.2","0","3","0","1009","","anna_ahaha_in","1","anna_ahaha_loop","5146062"
"62154","","0","21","","vo_apg","","vo_apg_0213","","0","5146062"
"62155","-30","10","11","0","100911","0","今、冥姫は\n疾風を追い越した！","1","1","5146062"
"62156","","","91","","0","","","","","5146062"
"62157","0.2","1","3","","131011","","wish_talk_joy","","","5146062"
