f1372d96480a67741a4c0ec8ea09505e90c8a2009b245d4be954a2a87139492f,5a8529b97294810a6d3a95038c6ef098c109daea637797476d5ff686a5377701,dd41952fe894eb835fca98d5d33c5ca87b18d33f161600fad5edb61cb538a600,218367b68ec782f1d6cdaa763da602c7db91dd375ef1faff564516e58ade55da,00feedca1a3bea28ad6b86f47cec29494a34bf21287ff8be518fc2887fd21979,cf71e18fdc4483b0be0fcd2b642a3c77ffe706d64fc2155e30d3adca30ed9133,b06461ad1a7f545e68716341887493caa30ff2e3e95aaa1acaf01a86fb6757ec
"72021021","ボスNORMAL討伐で解放！","20021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112101","27"
"72022021","ボスNORMAL討伐で解放！","20022","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112301","28"
"72025021","ボスNORMAL討伐で解放！","20025","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113001","29"
"72026021","ボスNORMAL討伐で解放！","20026","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113201","30"
"72027021","ボスNORMAL討伐で解放！","20027","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113501","31"
"72029021","ボスNORMAL討伐で解放！","20029","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114101","32"
"72031021","ボスNORMAL討伐で解放！","20031","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114601","33"
"72032021","ボスNORMAL討伐で解放！","20032","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114701","34"
"72033021","ボスNORMAL討伐で解放！","20033","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115601","35"
"72035021","ボスNORMAL討伐で解放！","20035","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115801","36"
"72038021","ボスNORMAL討伐で解放！","20038","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","116801","37"
"72040021","ボスNORMAL討伐で解放！","20040","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117401","38"
"72042021","ボスNORMAL討伐で解放！","20042","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117801","39"
"72044021","ボスNORMAL討伐で解放！","20044","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","119201","40"
"72045021","ボスNORMAL討伐で解放！","20045","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","120801","41"
"72047021","ボスNORMAL討伐で解放！","20047","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","121201","42"
"72051021","ボスNORMAL討伐で解放！","20051","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122101","43"
"72052021","ボスNORMAL討伐で解放！","20052","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122401","44"
"72053021","ボスNORMAL討伐で解放！","20053","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122801","45"
