8d2b80a8ee5b8292cc2a2b5cb98a0ae47d3fcd9f07816d054440896e3c86f5de,7a0001558bc3311a0174a15d2e0b4c1e4e97267f6c2ef796869f3f1e21862df9,d4c2d5ad315dc5ceaa86019fe7ef20bc13c548985e66eebd2237f4b84c2b8860,a8d8b9ef4be8215a50fb88f2eff55c9fbc48a8c649174a2997297d7a62d2e78f,b7b0b48ee7f5d43414f3dde7f8cabbd3f85e4582b2c59b05e04cb9a38bfce3e4,a2417ee89db15a8df57da63b3fe2a9b1cc368105869bd853a7aecd40f61f16f8,cc4193a3a74c30ff2c3551d6a14710b3b76429995841f767a83cf2f251cbbd20,8203c4d6e7030bc76571ad05e0578d00f74bf5a90cb7754861741b8d75a96b2a,759b1c25fa1231df6e118462fb8eca870e1f5b5429c3b58131f83ebe84431486
"1218001","0","2","1","30000","3","20","0","0"
"1219001","0","2","1","30000","3","15","0","0"
"1220001","0","2","1","30000","3","15","0","0"
"1221001","0","2","1","30000","3","15","0","0"
"1222001","0","2","1","3000","2","20","0","0"
"1223001","0","2","1","3000","1","30","0","0"
"1224001","0","2","1","3000","2","15","0","0"
"1224002","0","21","0","0","3000","1224003","0","0"
"1224003","0","2","1","30000","1","20","0","0"
"1225001","0","2","1","3000","2","-10","0","0"
"1225002","0","21","0","0","3000","1225003","0","0"
"1225003","0","2","2","30000","1","-20","0","0"
"1227001","0","2","2","30000","1","-15","0","0"
"1227002","0","2","2","30000","2","-15","0","0"
"1228001","0","2","2","1500","3","-35","0","0"
"1229001","0","2","1","30000","3","20","0","0"
"1230001","0","2","1","3000","2","20","0","0"
"1230002","0","21","0","0","3000","1230003","0","0"
"1230003","0","2","1","30000","1","50","0","0"
"1232001","0","2","2","3000","3","-25","0","0"
"1234001","0","2","1","30000","3","25","0","0"
"1235001","0","2","1","30000","3","20","0","0"
"1236001","0","2","1","30000","3","20","0","0"
"1237001","0","2","1","30000","3","20","0","0"
"1238001","0","2","1","3000","2","25","0","0"
"1239001","0","2","1","3000","1","35","0","0"
"1240001","0","2","1","3000","2","20","0","0"
"1240002","0","21","0","0","3000","1240003","0","0"
"1240003","0","2","1","30000","1","25","0","0"
"1241001","0","2","1","3000","2","-10","0","0"
"1241002","0","21","0","0","3000","1241003","0","0"
"1241003","0","2","2","30000","1","-25","0","0"
"1242001","0","2","2","30000","1","-20","0","0"
"1242002","0","2","2","30000","2","-20","0","0"
"1244001","0","2","2","1500","3","-75","0","0"
"1246001","0","2","1","30000","3","20","0","0"
"1247001","0","2","1","30000","3","30","0","0"
"1247002","0","21","0","0","3000","1247003","0","0"
"1247003","0","2","1","3000","1","25","0","0"
"1248001","0","2","1","3000","1","75","0","0"
"1249001","0","2","2","1500","3","-90","0","0"
"2101001","0","2","1","30000","2","10","0","0"
"2102001","0","2","1","30000","2","10","0","0"
"2103001","0","2","2","3000","2","-15","0","0"
"2103002","0","2","2","3000","3","-15","0","0"
"2105001","0","2","2","3000","3","-25","0","0"
"2107001","0","2","1","30000","3","25","0","0"
"2108001","0","2","1","30000","3","10","0","0"
"2109001","0","2","1","30000","3","10","0","0"
"2110001","0","2","1","30000","3","10","0","0"
"2111001","0","2","1","3000","2","15","0","0"
"2112001","0","2","1","3000","1","25","0","0"
"2113001","0","2","1","3000","2","10","0","0"
"2113002","0","21","0","0","3000","2113003","0","0"
"2113003","0","2","1","30000","1","25","0","0"
"2114001","0","2","1","3000","2","-10","0","0"
"2114002","0","21","1","0","3000","2114003","0","0"
"2114003","0","2","2","30000","1","-25","0","0"
"2116001","0","2","2","30000","1","-10","0","0"
"2116002","0","2","2","30000","2","-10","0","0"
"2117001","0","2","2","1500","3","-50","0","0"
"3301001","0","21","0","0","300","3301002","0","0"
"3301002","20","20","0","30","2","1","0","0"
"3301101","100","1","2","1","1","0","0","0"
"3302001","40","1","2","1","1","0","0","0"
"3302002","60","1","2","1","1","0","0","0"
"3303001","12","1","2","1","1","0","0","0"
"3303002","28","1","2","1","1","0","0","0"
"3304001","40","1","2","1","1","0","0","0"
"3304002","100","1","2","1","1","0","0","0"
"3305001","0","21","0","0","200","3305011","0","0"
"3305002","0","21","0","0","200","3305012","0","0"
"3305003","0","21","0","0","200","3305013","0","0"
"3305004","0","21","0","0","200","3305014","0","0"
"3305005","0","21","0","0","200","3305015","0","0"
"3305006","0","21","0","0","200","3305016","0","0"
"3305011","15","20","0","26","2","1","30","0"
"3305012","8","20","0","29","2","1","15","0"
"3305013","0","20","0","30","2","1","0","0"
"3305014","-8","20","0","29","2","1","-15","0"
"3305015","-15","20","0","26","2","1","-30","0"
"3305016","0","10","1","180","1","30000","0","0"
"3305101","20","1","2","1","1","0","0","0"
"3402001","29","20","0","274","2","1","0","0"
"3402101","0","11","3","0","2000","500000","0","0"
"3403001","0","21","0","0","200","3403002","0","0"
"3403002","0","10","1","0","1","200000","0","0"
"4001001","0","4","3","0","0","0","0","0"
"4001002","0","1","3","0","0","99999","0","0"
"4002001","9","1","3","9","9","99999","9","9"
