12f141b7cad235c72fca7982c9818bb65052344d66a5111dabb58131b6d73415,38203682f8fbb9fc6ae84dbc268cdc18c480402de54b461ae3613338c23156fc,da724c020df06d76a5acaeb2c2ad602c87d44660a8c856ecf4150a8af773a99a,cc4a58aff65d9853c0d884e1da2f76be642766908f9c6d6e70065738a588dbcb,736846e9efd8e6eb085d9ec4f9782d25cd51e48321f2b3568486a2dd776d491a,c01bdc60467f560e59a50a08ea4eeb9016243930085f2da6e5d31f4b819c1f04,684d70281ca3a0bc180e3ac6e7eba4cd5a651f89fed1041906cc148f73d8568c
"ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","02:31","アルマ","00:00","bgm_M102_juke","bgm_M102","11"
"キャラクターソング\n\n時間 / 01:22\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","01:22","リトルアドベンチャー","00:45","bgm_M145","bgm_M145","12"
"クランバトル\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","01:07","グラットン","00:00","bgm_M139_juke","bgm_M139","13"
"ストーリーイベントテーマ\n-｢もっと！ふたりのパ～ティ～ナイト｣アレンジ-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","01:01","トリックオアプリン！約束のハロウィンパーティー","00:00","bgm_M135_juke","bgm_M135","14"
"ストーリーイベントボスバトル\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:26","ジャック・オー・プリン","00:00","bgm_M138_juke","bgm_M138","15"
"キャラクターソング\n\n時間 / 01:21\n歌　 / シノブ（大坪由佳）\n　　　ミヤコ（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","01:21","もっと！ふたりのパ～ティ～ナイト","00:46","bgm_M161","bgm_M161","16"
"メインクエスト\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:31","耀う氷の結晶","00:00","bgm_M140_juke","bgm_M140","17"
"キャラクターソング\n\n時間 / 02:01\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","02:01","Shining Future","01:00","bgm_M150","bgm_M150","18"
"キャラクターソング\n\n時間 / 01:31\n歌　 / チカ（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰","01:31","風への誓い","00:37","bgm_M143","bgm_M143","19"
"キャラクターソング\n\n時間 / 01:47\n歌　 / ノゾミ（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎","01:47","君の笑顔が見たいから","00:54","bgm_M144","bgm_M144","20"
"キャラクターソング\n\n時間 / 01:34\n歌　 / ツムギ（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰","01:34","アマノジャクハート！","00:48","bgm_M148","bgm_M148","21"
"メインクエスト\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","01:46","不穏な空気と立ち向かう闘志","00:00","bgm_M42_juke","bgm_M42","22"
"クランバトル\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","01:07","ツインピッグス","00:00","bgm_M104_juke","bgm_M104","23"
"ストーリーイベントテーマ\n-｢Peaceful*ちゃんぷるー｣アレンジ-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:54","ヴァンパイアハンターwithイリヤ","00:00","bgm_M106_juke","bgm_M106","24"
"ストーリーイベントボスバトル\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","03:18","ガルグ","00:00","bgm_M109_juke","bgm_M109","25"
"キャラクターソング\n\n時間 / 01:30\n歌　 / マホ（内田真礼）\n　　　カオリ（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:30","Peaceful*ちゃんぷるー","00:44","bgm_M151","bgm_M151","26"
"クランバトル\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","レサトパルト","00:00","bgm_M166_juke","bgm_M166","27"
"ストーリーイベントテーマ\n-｢サイツヨでしょ、でしょ？｣アレンジ-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","01:30","トワイライトブレイカーズ","00:00","bgm_M162_juke","bgm_M162","28"
"ストーリーイベントボスバトル\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:02","オラム","00:00","bgm_M165_juke","bgm_M165","29"
"キャラクターソング\n\n時間 / 01:22\n歌　 / アンナ（髙野麻美）\n　　　ナナカ（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","01:22","サイツヨでしょ、でしょ？","00:42","bgm_M176","bgm_M176","30"
"メインクエスト\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:05","氷海の地","00:00","bgm_M141_juke","bgm_M141","31"
"メインクエスト\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","01:08","氷と雪の世界","00:00","bgm_M58_juke","bgm_M58","32"
"メインクエスト\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","01:05","爽やかな風","00:00","bgm_M101_juke","bgm_M101","33"
"クランバトル\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","01:02","カルキノス","00:00","bgm_M115_juke","bgm_M115","34"
"ストーリーイベントテーマ\n-｢えがおのマイホーム｣アレンジ-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","01:05","デンジャラスバカンス！渚のグルメプリンセス","00:00","bgm_M112_juke","bgm_M112","35"
"ストーリーイベントボスバトル\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:10","テンタパス","00:00","bgm_M116_juke","bgm_M116","36"
"キャラクターソング\n\n時間 / 01:40\n歌　 / サレン（堀江由衣）\n　　　スズメ（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:40","えがおのマイホーム","01:00","bgm_M147","bgm_M147","37"
"クランバトル\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:45","サジタリウス","00:00","bgm_M175_juke","bgm_M175","38"
"ストーリーイベントテーマ\n-｢Ding Dong Holy Night♪｣アレンジ-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）","00:55","忘却のキャロル","00:00","bgm_M171_juke","bgm_M171","39"
"ストーリーイベントボスバトル\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:57","フォギー","00:00","bgm_M172_juke","bgm_M172","40"
"キャラクターソング\n\n時間 / 01:28\n歌　 / アヤネ（芹澤優）\n　　　クルミ（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純","01:28","Ding Dong Holy Night♪","00:42","bgm_M187","bgm_M187","41"
"メインクエスト\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:57","険しき乾荒原","00:00","bgm_M93_juke","bgm_M93","42"
"クランバトル\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","01:06","オルレオン","00:00","bgm_M119_juke","bgm_M119","43"
"ストーリーイベントテーマ\n-｢キンキラ☆ハピネス！｣アレンジ-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾","01:10","タマキとミフユの無人島0ルピ生活","00:00","bgm_M121_juke","bgm_M121","44"
"ストーリーイベントボスバトル\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:35","島クジラ","00:00","bgm_M124_juke","bgm_M124","45"
"キャラクターソング\n\n時間 / 01:20\n歌　 / タマキ（沼倉愛美）\n　　　ミフユ（田所あずさ）\n　　　アキノ（松嵜麗）\n　　　ユカリ（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也","01:20","キンキラ☆ハピネス！","00:42","bgm_M146","bgm_M146","46"
"メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","新たな船出","00:00","bgm_M179_juke","bgm_M179","47"
"クランバトル\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:58","アルゲティ","00:00","bgm_M181_juke","bgm_M181","48"
"ストーリーイベントテーマ\n-｢TwinkleStars｣アレンジ-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:58","新春トゥインクルクライシス！","00:00","bgm_M182_juke","bgm_M182","49"
"ストーリーイベントボスバトル\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:32","邪餅神ガミィ","00:00","bgm_M183_juke","bgm_M183","50"
"キャラクターソング\n\n時間 / 01:24\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","01:24","TwinkleStars","00:45","bgm_M202","bgm_M202","51"
"メインクエスト\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:26","酷熱の砂漠","00:00","bgm_M94_juke","bgm_M94","52"
"クランバトル\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:25","メデューサ","00:00","bgm_M132_juke","bgm_M132","53"
"ストーリーイベントテーマ\n-｢Aloofness Code｣アレンジ-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","01:29","黒鉄の亡霊（ナイトメア）","00:00","bgm_M128_juke","bgm_M128","54"
"ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:28","リビングメイル","00:00","bgm_M131_juke","bgm_M131","55"
"キャラクターソング\n\n時間 / 01:20\n歌　 / ジュン（川澄綾子）\n　　　クリスティーナ（たかはし智秋）\n　　　トモ（茅原実里）\n　　　マツリ（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:20","Aloofness Code","00:46","bgm_M154","bgm_M154","56"
"キャラクターソング\n\n時間 / 01:13\n歌　 / キャル（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純","01:13","Absolute Secret","00:44","bgm_M214","bgm_M214","57"
"クランバトル\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","01:00","アクアリオス","00:00","bgm_M186_juke","bgm_M186","58"
"ストーリーイベントテーマ\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵","01:02","バトルオブバレンタイン！想いぶつかるスウィートバトル","00:00","bgm_M189_juke","bgm_M189","59"
"ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:24","アグリーラブリー","00:00","bgm_M192_juke","bgm_M192","60"
"キャラクターソング\n\n時間 / 01:15\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","01:15","SUPER CHOCOLATE","00:40","bgm_M200","bgm_M200","61"
"メインクエスト\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","01:07","砂海の中のオアシス","00:00","bgm_M118_juke","bgm_M118","62"
"メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","不思議な森","00:00","bgm_M180_juke","bgm_M180","63"
"クランバトル\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","01:00","トルペドン","00:00","bgm_M205_juke","bgm_M205","64"
"ストーリーイベントテーマ\n-｢未解決な想い｣アレンジ-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:39","王都の名探偵　嘆きの追跡者（ストーカー）","00:00","bgm_M206_juke","bgm_M206","65"
"ストーリーイベントボスバトル\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","02:09","嘆きの女神","00:00","bgm_M209_juke","bgm_M209","66"
"キャラクターソング\n\n時間 / 01:22\n歌　 / マコト（小松未可子）\n　　　カスミ（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","01:22","未解決な想い","00:38","bgm_M222","bgm_M222","67"
"エイプリルフールイベント\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:27","ロボリマ来襲！王都滅亡までのカウントダウン","00:00","bgm_M219_juke","bgm_M219","68"
"エイプリルフールイベント\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:38","ロボリマ","00:00","bgm_M220_juke","bgm_M220","69"
"エイプリルフールイベント\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","ロボリマ~終焉~","00:00","bgm_M221_juke","bgm_M221","70"
"ストーリーイベントテーマ\n-｢Crossing Destiny｣アレンジ-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:55","アストルムに咲く双輪の華","00:00","bgm_M215_juke","bgm_M215","71"
"ストーリーイベントボスバトル\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","01:45","コア・ギガース","00:00","bgm_M218_juke","bgm_M218","72"
"キャラクターソング\n\n時間 / 01:30\n歌　 / アン（日笠陽子）\n　　　グレア（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","01:30","Crossing Destiny","00:54","bgm_M235","bgm_M235","73"
"メインクエスト\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:55","岩峰に潜むもの","00:00","bgm_M232_juke","bgm_M232","74"
"ストーリーイベントテーマ\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:59","ショーグン道中記　白翼のサムライ","00:00","bgm_M223_juke","bgm_M223","75"
"ストーリーイベントボスバトル\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:58","アクダイカン","00:00","bgm_M226_juke","bgm_M226","76"
"キャラクターソング\n\n時間 / 01:13\n歌　 / モニカ（辻あゆみ）\n　　　ユキ（大空直美）\n　　　ニノン（佐藤聡美）\n　　　クウカ（長妻樹里）\n　　　アユミ（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:13","白翼のグローリエ","00:42","bgm_M236","bgm_M236","77"
"メインクエスト\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:20","火山の麓","00:00","bgm_M95_juke","bgm_M95","78"
"メインクエスト\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:02","厳烈なる荒地","00:00","bgm_M96_juke","bgm_M96","79"
"ストーリーイベントボスバトル\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","2:33","怠惰の狂人","00:00","bgm_M231_juke","bgm_M231","80"
"メインクエスト\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:08","鼓の音響く森","00:00","bgm_M233_juke","bgm_M233","81"
"ストーリーイベントテーマ\n-｢背伸びFirst Kiss｣アレンジ-\n\n時間 / 00:52\n作曲 / 設楽哲也\n編曲 / 庄司真吾（Cygames）","0:52","スズナレインボーステージ！","00:00","bgm_M237_juke","bgm_M237","82"
"ストーリーイベントボスバトル\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:47","雨神様","00:00","bgm_M240_juke","bgm_M240","83"
"キャラクターソング\n\n時間 / 01:19\n歌　 / イオ（伊藤静）\n　　　スズナ（上坂すみれ）\n　　　ミサキ（久野美咲）\n作詞 / 野村イクミ&滝沢和也（Cygames）\n作曲 / 設楽哲也\n編曲 / 設楽哲也","1:19","背伸びFirst Kiss","00:45","bgm_M252","bgm_M252","84"
"ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:31","お兄ちゃん争奪！　シズルのお手伝い","00:00","bgm_M199_juke","bgm_M199","85"
"ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:34","お兄ちゃん争奪！　エリコのお手伝い","00:00","bgm_M198_juke","bgm_M198","86"
"ストーリーイベントテーマ\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:57","真夏のマホマホ王国　波打ち際のソウルサマー！","00:00","bgm_M245_juke","bgm_M245","87"
"ストーリーイベントボスバトル\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:03","マジムン","00:00","bgm_M248_juke","bgm_M248","88"
"キャラクターソング\n\n時間 / 01:18\n歌　 / マホ（内田真礼）\n　　　マコト（小松未可子）\n　　　カオリ（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","01:18","We Are Golden","00:44","bgm_M263","bgm_M263","89"
"ミニゲーム\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:30","クウカ大回転","0:00","bgm_M227_juke","bgm_M227","90"
"ストーリーイベントテーマ\n-｢なかよしセンセーション｣アレンジ-\n\n時間 / 00:57\n作曲 / 大久保薫\n編曲 / 中村早織（Cygames）","0:57","森の臆病者と聖なる学舎の異端児","0:00","bgm_M254_juke","bgm_M254","91"
"ストーリーイベントボスバトル\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:45","オオドクマンドラゴラ","0:00","bgm_M257_juke","bgm_M257","92"
"キャラクターソング\n\n時間 / 01:20\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薫\n編曲 / 大久保薫","01:20","なかよしセンセーション","00:47","bgm_M272","bgm_M272","93"
"メインクエスト\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","1:00","不穏の根を踏み越えて","0:00","bgm_M260_juke","bgm_M260","94"
"ミニゲーム\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:34","カオリのマブイ式空手道場","0:00","bgm_M249_juke","bgm_M249","95"
"ストーリーイベントテーマ\n-｢トリックホリック｣アレンジ-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:52","リトル・ブレイブ・ハロウィンナイト！","0:00","bgm_M265_juke","bgm_M265","96"
"ストーリーイベントボスバトル\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:50","ファントムバロン","0:00","bgm_M268_juke","bgm_M268","97"
"キャラクターソング\n\n時間 / 01:24\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","1:24","トリックホリック","0:46","bgm_M280","bgm_M280","98"
"メインクエスト\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:14","泥濘む森の先へ","0:00","bgm_M278_juke","bgm_M278","99"
"ミニゲーム\n-｢in flames｣アレンジ-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:48","大激戦！しりとりドラゴンズ","0:00","bgm_M277_juke","bgm_M277","100"
"ストーリーイベントテーマ\n-｢in flames｣アレンジ-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","1:07","ドラゴンエクスプローラーズ","0:00","bgm_M273_juke","bgm_M273","101"
"ストーリーイベントボスバトル\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:29","ドラゴンもどき","0:00","bgm_M276_juke","bgm_M276","102"
"キャラクターソング\n\n時間 / 01:28\n歌　 / イノリ（藤田茜）\n　　　カヤ（小市眞琴）\n　　　ホマレ（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","1:28","in flames","0:56","bgm_M291","bgm_M291","103"
"解放クエスト\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:13","新たなる力への試練","0:00","bgm_M259_juke","bgm_M259","104"
"ストーリーイベントテーマ\n-｢Call Me Darling！｣アレンジ-\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:58","プレゼントパニック！　ランドソルのサンタたち","0:00","bgm_M281_juke","bgm_M281","105"
"ストーリーイベントボスバトル\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","1:48","トナカイ・ヴェンデッタ","0:00","bgm_M284_juke","bgm_M284","106"
"キャラクターソング\n\n時間 / 01:30\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","1:30","Call Me Darling！","0:54","bgm_M285","bgm_M285","107"
"王都終末決戦\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","1:45","王都終末決戦","0:00","bgm_M300_juke","bgm_M300","108"
"王都終末決戦ボスバトル\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:15","皇帝に仕えし僕との戦い","0:00","bgm_M301_juke","bgm_M301","109"
"王都終末決戦ボスバトル\n-｢Lost Princess｣「真なる皇帝」アレンジ-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","2:45","神たる者との決戦","0:00","bgm_M299_juke","bgm_M299","110"
"ストーリーイベントテーマ\n-｢SAI＊KOUスタートダッシュ｣アレンジ-\n\n時間 / 01:08\n作曲 / 奥井康介\n編曲 / 伊禮完（Cygames）","1:08","激走！　ランドソルギルドレース","0:00","bgm_M294_juke","bgm_M294","111"
"ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","2:00","山神様","0:00","bgm_M297_juke","bgm_M297","112"
"キャラクターソング\n\n時間 / 01:25\n歌　 / ペコリーヌ（M・A・O）\n　　　キャル（立花理香）\n　　　コッコロ（伊藤美来）\n　　　スズメ（悠木碧）\n作詞 / KOCHO\n作曲 / 奥井康介\n編曲 / 奥井康介","1:25","SAI＊KOUスタートダッシュ","1:00","bgm_M327","bgm_M327","113"
"メインクエスト\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:25","大海を望んで","0:00","bgm_M293_juke","bgm_M293","114"
"ストーリーイベントテーマ\n-｢木もれびモンタージュ｣アレンジ-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","1:06","魔法少女　二人はミスティ＆ピュアリー","0:00","bgm_M316_juke","bgm_M316","115"
"ストーリーイベントボスバトル\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","1:28","アンチビースト","0:00","bgm_M319_juke","bgm_M319","116"
"キャラクターソング\n\n時間 / 01:32\n歌　 / カスミ（水瀬いのり）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","1:32","木もれびモンタージュ","0:50","bgm_M340","bgm_M340","117"
"ストーリーイベントテーマ\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:51","アイドルを目指して！","0:00","bgm_M330_juke","bgm_M330","118"
"メモリアルマップ\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:34","思い出の足跡","0:00","bgm_M333_juke","bgm_M333","119"
"メインストーリー\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","2:24","プリンセスナイト","0:00","bgm_M57_juke","bgm_M57","120"
"ストーリーイベントテーマ\n-｢青春スピナー｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","1:07","授けの財団と聖なる学舎の異端児","0:00","bgm_M343_juke","bgm_M343","121"
