c459b22acd44c1183486bda23ca88e289b644d03263cba0c2a30a57692e35ebe,cf179139ffa63a31f3f26d7e8b38a13f587c953cc748435f471b2771d97319ca,2d75d2e28a981f2efd71c634997930b4cbf99a069745d960cf6a70ffa62091b9,1c02e8d8212067aee995c21fc2edd9db7af0549baa8c6caf2193a467d7983c0b,0285d57d7137611a4b7462bbe4bb7c4d5788cbac63a44c9ab6c56f359adf6ea2,2e1c24ba659d0b6b9caee57f5550688bf0b06eb47398e5624218d3cd6becbc89
"300202","101","803100254","2145042","0","107"
"300203","102","803100254","2145043","0","105"
"300204","103","803100254","2145044","0","106"
"300205","113","803100254","2145045","1","202"
"300206","114","803100254","2145046","1","203"
"300207","101","803100254","2145047","0","107"
"300208","113","803100254","2145048","1","202"
"300209","114","803100254","2145049","1","203"
"300210","101","803100254","2145050","0","107"
"300211","101","803100255","2145051","0","107"
"300212","102","803100255","2145052","0","105"
"300213","103","803100255","2145053","0","106"
"300214","113","803100255","2145054","1","202"
"300215","114","803100255","2145055","1","203"
"300216","101","803100255","2145056","0","107"
"300217","113","803100255","2145057","1","202"
"300218","114","803100255","2145058","1","203"
"300219","101","803100255","2145059","0","107"
"300220","101","803100255","2145060","0","107"
"300221","102","803100256","2145061","0","105"
"300222","103","803100256","2145062","0","106"
"300223","101","803100256","2145063","0","107"
"300224","112","803100256","2145064","1","208"
"300225","110","803100256","2145065","1","212"
"300226","102","803100256","2145066","0","105"
"300227","103","803100256","2145067","0","106"
"300228","101","803100256","2145068","0","107"
"300301","100","803100257","2145071","0","104"
"300302","101","803100257","2145072","0","107"
"300303","101","803100257","2145073","0","107"
"300304","113","803100257","2145074","1","202"
"300305","114","803100257","2145075","1","203"
"300306","100","803100257","2145076","0","104"
"300307","101","803100257","2145077","0","107"
"300308","111","803100257","2145078","1","204"
"300309","112","803100257","2145079","1","205"
"300310","100","803100257","2145080","0","104"
"300311","101","803100258","2145081","0","107"
"300312","101","803100258","2145082","0","107"
"300313","113","803100258","2145083","1","202"
"300314","114","803100258","2145084","1","203"
"300315","100","803100258","2145085","0","104"
"300316","101","803100258","2145086","0","107"
"300317","111","803100258","2145087","1","204"
"300318","112","803100258","2145088","1","205"
"300319","100","803100258","2145089","0","104"
"300320","101","803100258","2145090","0","107"
"300321","100","803100259","2145091","0","104"
"300322","101","803100259","2145092","0","107"
"300323","113","803100259","2145093","1","202"
"300324","112","803100259","2145094","1","208"
"300325","100","803100259","2145095","0","104"
"300326","101","803100259","2145096","0","107"
"300327","111","803100259","2145097","1","204"
"300328","112","803100259","2145098","1","205"
"300401","102","803100260","2146011","0","105"
"300402","102","803100260","2146012","0","105"
"300403","113","803100260","2146013","1","202"
"300404","114","803100260","2146014","1","203"
"300405","102","803100260","2146015","0","105"
"300406","113","803100260","2146016","1","202"
"300407","114","803100260","2146017","1","203"
"300408","102","803100260","2146018","0","105"
"300409","102","803100260","2146019","0","105"
"300410","102","803100260","2146020","0","105"
"300411","102","803100261","2146021","0","105"
"300412","113","803100261","2146022","1","202"
"300413","114","803100261","2146023","1","203"
"300414","102","803100261","2146024","0","105"
"300415","113","803100261","2146025","1","202"
"300416","114","803100261","2146026","1","203"
"300417","102","803100261","2146027","0","105"
"300418","102","803100261","2146028","0","105"
"300419","113","803100261","2146029","1","202"
"300420","113","803100261","2146030","1","202"
"300421","113","803100262","2146031","1","202"
"300422","114","803100262","2146032","1","203"
"300423","102","803100262","2146033","0","105"
"300424","112","803100262","2146034","1","208"
"300425","110","803100262","2146035","1","212"
"300426","113","803100262","2146036","1","202"
"300427","113","803100262","2146037","1","202"
"300428","102","803100262","2146038","0","105"
"300501","100","803100264","2146051","0","104"
"300502","100","803100264","2146052","0","104"
"300503","100","803100264","2146053","0","104"
"300504","100","803100264","2146054","0","104"
"300505","102","803100264","2146055","0","105"
"300506","103","803100264","2146056","0","106"
"300507","100","803100264","2146057","0","104"
"300508","100","803100264","2146058","0","104"
"300509","102","803100264","2146059","0","105"
"300510","103","803100264","2146060","0","106"
"300511","100","803100265","2146061","0","104"
"300512","100","803100265","2146062","0","104"
"300513","100","803100265","2146063","0","104"
"300514","100","803100265","2146064","0","104"
"300515","102","803100265","2146065","0","105"
"300516","103","803100265","2146066","0","106"
"300517","100","803100265","2146067","0","104"
"300518","100","803100265","2146068","0","104"
"300519","102","803100265","2146069","0","105"
"300520","103","803100265","2146070","0","106"
"300521","100","803100266","2146071","0","104"
"300522","100","803100266","2146072","0","104"
"300523","113","803100266","2146073","1","202"
"300524","114","803100266","2146074","1","203"
"300525","100","803100266","2146075","0","104"
"300526","112","803100266","2146076","1","208"
"300527","110","803100266","2146077","1","212"
"300528","113","803100266","2146078","1","202"
"300529","114","803100266","2146079","1","203"
"300530","100","803100266","2146080","0","104"
"300601","114","803100268","2146091","1","203"
"300602","113","803100268","2146092","1","202"
"300603","102","803100268","2146093","0","105"
"300604","114","803100268","2146094","1","203"
"300605","103","803100268","2146095","0","106"
"300606","114","803100268","2146096","1","203"
"300607","111","803100268","2146097","1","204"
"300608","114","803100268","2146098","1","203"
"300609","113","803100268","2146099","1","202"
"300610","102","803100268","2146100","0","105"
"300611","114","803100269","2147011","1","203"
"300612","103","803100269","2147012","0","106"
"300613","114","803100269","2147013","1","203"
"300614","111","803100269","2147014","1","204"
"300615","110","803100269","2147015","1","212"
"300616","114","803100269","2147016","1","203"
"300617","102","803100269","2147017","0","105"
"300618","103","803100269","2147018","0","106"
"300701","111","803100270","2147021","1","204"
"300702","100","803100270","2147022","0","104"
"300703","101","803100270","2147023","0","107"
"300704","113","803100270","2147024","1","202"
"300705","114","803100270","2147025","1","203"
"300706","102","803100270","2147026","0","105"
"300707","112","803100270","2147027","1","205"
"300708","111","803100270","2147028","1","204"
"300709","100","803100270","2147029","0","104"
"300710","101","803100270","2147030","0","107"
"300711","113","803100271","2147031","1","202"
"300712","114","803100271","2147032","1","203"
"300713","102","803100271","2147033","0","105"
"300714","112","803100271","2147034","1","205"
"300715","107","803100271","2147035","0","110"
"300716","111","803100271","2147036","1","204"
"300717","100","803100271","2147037","0","104"
"300718","101","803100271","2147038","0","107"
