cfca4981b11697c776fa0040cd512fb2b83f79a23bd7787a0671fc386162687b,f6c8d8d6da52612d762aa95dfaabf4dda823bdd1bf799e2b1aa1d5ba6e4d1efd,2df8bcad191e0bf3ae61abe36639cbe174ac714d08bb818811a4beea2b0f10c1,224d9a88f49312cddfd177872af36a811370567f1f3ce0da8e4e5ed64b6d0cbf,176e6c04071ba507a33f24a79e043c60b8bce289a3df9f310bf72ef04766ff14,842206f2eee53fb44d0b1dc6408c98f865f9f5d4505d777037885960451d71cf,27c9c56ebfa15f444d8ccad2bb2a6bf4717e592a801fdf5277510276366dce56,ca80dac688c4a663e34527c4d1c274bf593938d4cf8bc21116120bb130275b3e,ddad479bd8e65ca82549d62346cda6c38f394a0d4a8b7e14e9c4316e31a7daa9,c6993bbd008f5db1fe11d0c76c3e15fc4b575d75ba7b14905d7b77ee109975ef,bc9cf5bce345e68984048189b913330ae7dd7180c5c7e81c7ff3ce925ce92764,1b7e07020e2ffc5998b90d10dccc703de31342fb4b1bd869b14f03ce2cf9e8d2
"100980228","0","28","0","0","0","1009802","4","0","1","0","2.1"
"100980229","1.1","29","0","210","0","1009802","1","12","0","0","0"
"100980230","0","30","0","0","0","1009802","4","0","1","0","0.5"
"100980301","0","1","0","0","0","1009803","4","0","1","0","0.8"
"100980302","0","2","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0301","0"
"100980303","1.87","3","0","300","0","1009803","1","1","0","0","0"
"100980304","0","4","0","0","0","1009803","4","0","1","0","2"
"100980305","0.561","5","0","110","0","1009803","1","2","0","0","0"
"100980306","0","6","0","0","0","1009803","4","0","1","0","1.561"
"100980307","0","7","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0302","0"
"100980308","1.3","8","0","320","110","1009803","1","2","0","0","0"
"100980309","0","9","0","0","0","1009803","4","0","1","0","1.3"
"100980310","1.2","10","0","227","0","1009803","1","3","0","0","0"
"100980311","0","11","0","0","0","1009803","4","0","1","0","2.2"
"100980312","0","12","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0303","0"
"100980313","2.1","13","0","280","0","1009803","1","4","0","0","0"
"100980314","0","14","0","0","0","1009803","4","0","1","0","2.1"
"100980315","1.2","15","0","195","0","1009803","1","5","0","0","0"
"100980316","0","16","0","0","0","1009803","4","0","1","0","2.2"
"100980317","0","17","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0304","0"
"100980318","1.305","18","0","300","0","1009803","1","6","0","0","0"
"100980319","0","19","0","0","0","1009803","4","0","1","0","1.305"
"100980320","2.181","20","0","325","0","1009803","1","7","0","0","0"
"100980321","0","21","0","0","0","1009803","4","0","1","0","2.781"
"100980322","1.32","22","0","250","0","1009803","1","8","0","0","0"
"100980323","0","23","0","0","0","1009803","4","0","1","0","2.32"
"100980324","0","24","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0305","0"
"100980325","2.453","25","0","300","0","1009803","1","9","0","0","0"
"100980326","0","26","0","0","0","1009803","4","0","1","0","2.453"
"100980327","1.547","27","0","215","0","1009803","1","10","0","0","0"
"100980328","0","28","0","0","0","1009803","4","0","1","0","2.547"
"100980329","0","29","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0306","0"
"100980330","1.95","30","0","300","0","1009803","1","11","0","0","0"
"100980331","0","31","0","0","0","1009803","4","0","1","0","2.95"
"100980332","0","32","vo_lsv","0","0","1009803","2","0","0","vo_lsv_0307","0"
"100980333","1.39","33","0","240","0","1009803","1","12","0","0","0"
"100980401","0","1","0","0","0","1009804","4","0","1","0","0.8"
"100980402","0","2","vo_lsv","0","0","1009804","2","0","0","vo_lsv_0401","0"
"100980403","2.4","3","0","300","0","1009804","1","1","0","0","0"
"100980404","0","4","0","0","0","1009804","4","0","1","0","2.4"
"100980405","0.6","5","0","150","0","1009804","1","2","0","0","0"
"100980406","0","6","0","0","0","1009804","4","0","1","0","1.6"
"100980407","0","7","vo_lsv","0","0","1009804","2","0","0","vo_lsv_0402","0"
"100980408","2.35","8","0","355","0","1009804","1","3","0","0","0"
"100980409","0","9","0","0","0","1009804","4","0","1","0","3.35"
"100980410","0","10","vo_lsv","0","0","1009804","2","0","0","vo_lsv_0403","0"
"100980411","1.669","11","0","300","0","1009804","1","4","0","0","0"
"100980412","0","12","0","0","0","1009804","4","0","1","0","2.1"
"100980413","1.7","13","0","230","0","1009804","1","5","0","0","0"
"100980414","0","14","0","0","0","1009804","4","0","1","0","2"
"100980415","1.35","15","0","230","0","1009804","1","6","0","0","0"
"100980416","0","16","0","0","0","1009804","4","0","1","0","2.85"
"100980417","0","17","vo_lsv","0","0","1009804","2","0","0","vo_lsv_0404","0"
"100980418","1.51","18","0","327","0","1009804","1","7","0","0","0"
"100980419","0","19","0","0","0","1009804","4","0","1","0","1.61"
"100980420","1.29","20","0","300","0","1009804","1","8","0","0","0"
"100980421","0","21","0","0","0","1009804","4","0","1","0","1.949"
"100980422","1.925","22","0","300","0","1009804","1","9","0","0","0"
"100980501","0","1","0","0","0","1009805","4","0","1","0","0.8"
"100980502","0","2","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0501","0"
"100980503","2.115","3","0","300","0","1009805","1","1","0","0","0"
"100980504","0","4","0","0","0","1009805","4","0","1","0","3.115"
"100980505","0","5","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0502","0"
"100980506","1.743","6","0","310","0","1009805","1","2","0","0","0"
"100980507","0","7","0","0","0","1009805","4","0","1","0","2.743"
"100980508","0","8","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0503","0"
"100980509","1.86","9","0","300","0","1009805","1","3","0","0","0"
"100980510","0","10","0","0","0","1009805","4","0","1","0","2.26"
"100980511","1.667","11","0","300","0","1009805","1","4","0","0","0"
"100980512","0","12","0","0","0","1009805","4","0","1","0","2.324"
"100980513","2.168","13","0","310","0","1009805","1","5","0","0","0"
"100980514","0","14","0","0","0","1009805","4","0","1","0","3.168"
"100980515","0","15","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0504","0"
"100980516","1.752","16","0","300","0","1009805","1","6","0","0","0"
"100980517","0","17","0","0","0","1009805","4","0","1","0","2.276"
"100980518","1.43","18","0","300","0","1009805","1","7","0","0","0"
"100980519","0","19","0","0","0","1009805","4","0","1","0","1.43"
"100980520","0.749","20","0","125","0","1009805","1","8","0","0","0"
"100980521","0","21","0","0","0","1009805","4","0","1","0","1.749"
"100980522","0","22","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0505","0"
"100980523","0.65","23","0","300","125","1009805","1","8","0","0","0"
"100980524","0","24","0","0","0","1009805","4","0","1","0","0.65"
"100980525","1.753","25","0","300","0","1009805","1","9","0","0","0"
"100980526","0","26","0","0","0","1009805","4","0","1","0","1.753"
"100980527","0.929","27","0","160","0","1009805","1","10","0","0","0"
"100980528","0","28","0","0","0","1009805","4","0","1","0","1.929"
"100980529","0","29","vo_lsv","0","0","1009805","2","0","0","vo_lsv_0506","0"
"100980530","0.536","30","0","300","160","1009805","1","10","0","0","0"
"100980531","0","31","0","0","0","1009805","4","0","1","0","0.536"
"100980532","1.438","32","0","327","0","1009805","1","11","0","0","0"
"100980533","0","33","0","0","0","1009805","4","0","1","0","1.438"
"100980534","2.426","34","0","300","0","1009805","1","12","0","0","0"
"100980601","0","1","0","0","0","1009806","4","0","1","0","0.8"
"100980602","0","2","vo_lsv","0","0","1009806","2","0","0","vo_lsv_0601","0"
"100980603","2.5","3","0","330","0","1009806","1","1","0","0","0"
"100980604","0","4","0","0","0","1009806","4","0","1","0","2.5"
"100980605","1.5","5","0","270","0","1009806","1","2","0","0","0"
"100980606","0","6","0","0","0","1009806","4","0","1","0","2.5"
"100980607","0","7","vo_lsv","0","0","1009806","2","0","0","vo_lsv_0602","0"
"100980608","1.9","8","0","325","0","1009806","1","3","0","0","0"
"100980609","0","9","0","0","0","1009806","4","0","1","0","1.9"
"100980610","1.744","10","0","300","0","1009806","1","4","0","0","0"
"100980611","0","11","0","0","0","1009806","4","0","1","0","2.329"
"100980612","1.049","12","0","300","0","1009806","1","5","0","0","0"
"100980613","0","13","0","0","0","1009806","4","0","1","0","1.049"
"100980614","1.093","14","0","210","0","1009806","1","6","0","0","0"
"100980615","0","15","0","0","0","1009806","4","0","1","0","2.093"
"100980616","0","16","vo_lsv","0","0","1009806","2","0","0","vo_lsv_0603","0"
"100980617","1.9","17","0","300","0","1009806","1","7","0","0","0"
"100980618","0","18","0","0","0","1009806","4","0","1","0","1.9"
"100980619","2.4","19","0","300","0","1009806","1","8","0","0","0"
"100980620","0","20","0","0","0","1009806","4","0","1","0","2.4"
"100980621","1.65","21","0","300","0","1009806","1","9","0","0","0"
"100980622","0","22","0","0","0","1009806","4","0","1","0","2.65"
"100980623","0","23","vo_lsv","0","0","1009806","2","0","0","vo_lsv_0604","0"
"100980624","1.763","24","0","300","0","1009806","1","10","0","0","0"
"100980625","0","25","0","0","0","1009806","4","0","1","0","1.763"
"100980626","1.308","26","0","205","0","1009806","1","11","0","0","0"
"100980627","0","27","0","0","0","1009806","4","0","1","0","2.308"
"100980628","0","28","vo_lsv","0","0","1009806","2","0","0","vo_lsv_0605","0"
"100980629","1","29","0","320","205","1009806","1","11","0","0","0"
"100980630","0","30","0","0","0","1009806","4","0","1","0","1"
"100980631","1.853","31","0","270","0","1009806","1","12","0","0","0"
"100980701","0","1","0","0","0","1009807","4","0","1","0","0.8"
"100980702","0","2","vo_lsv","0","0","1009807","2","0","0","vo_lsv_0701","0"
"100980703","1.355","3","0","300","0","1009807","1","1","0","0","0"
"100980704","0","4","0","0","0","1009807","4","0","1","0","1.355"
"100980705","1.126","5","0","300","0","1009807","1","2","0","0","0"
"100980706","0","6","0","0","0","1009807","4","0","1","0","1.126"
"100980707","1.641","7","0","300","0","1009807","1","3","0","0","0"
"100980708","0","8","0","0","0","1009807","4","0","1","0","2"
"100980709","0","9","vo_lsv","0","0","1009807","2","0","0","vo_lsv_0702","0"
"100980710","1.325","10","0","300","0","1009807","1","4","0","0","0"
"100980711","0","11","0","0","0","1009807","4","0","1","0","1.325"
"100980712","1.891","12","0","327","0","1009807","1","5","0","0","0"
"100980713","0","13","0","0","0","1009807","4","0","1","0","2.437"
"100980714","1.93","14","0","327","0","1009807","1","6","0","0","0"
"100980715","0","15","0","0","0","1009807","4","0","1","0","2.93"
"100980716","0","16","vo_lsv","0","0","1009807","2","0","0","vo_lsv_0703","0"
"100980717","1.84","17","0","300","0","1009807","1","7","0","0","0"
"100980718","0","18","0","0","0","1009807","4","0","1","0","2.361"
"100980719","1.38","19","0","300","0","1009807","1","8","0","0","0"
"100980720","0","20","0","0","0","1009807","4","0","1","0","1.38"
"100980721","1.399","21","0","300","0","1009807","1","9","0","0","0"
"100980722","0","22","0","0","0","1009807","4","0","1","0","2.399"
"100980723","0","23","vo_lsv","0","0","1009807","2","0","0","vo_lsv_0704","0"
"100980724","2.268","24","0","300","0","1009807","1","10","0","0","0"
"100980725","0","25","0","0","0","1009807","4","0","1","0","2.268"
"100980726","1.299","26","0","300","0","1009807","1","11","0","0","0"
"100980801","0","1","0","0","0","1009808","4","0","1","0","0.8"
"100980802","0","2","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0801","0"
"100980803","1.4","3","0","300","0","1009808","1","1","0","0","0"
"100980804","0","4","0","0","0","1009808","4","0","1","0","1.4"
"100980805","1","5","0","300","0","1009808","1","2","0","0","0"
"100980806","0","6","0","0","0","1009808","4","0","1","0","2"
"100980807","0","7","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0802","0"
"100980808","1.6","8","0","300","0","1009808","1","3","0","0","0"
"100980809","0","9","0","0","0","1009808","4","0","1","0","1.8"
"100980810","1","10","0","300","0","1009808","1","4","0","0","0"
"100980811","0","11","0","0","0","1009808","4","0","1","0","1"
"100980812","1.5","12","0","300","0","1009808","1","5","0","0","0"
"100980813","0","13","0","0","0","1009808","4","0","1","0","2.5"
"100980814","0","14","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0803","0"
"100980815","1.9","15","0","320","0","1009808","1","6","0","0","0"
"100980816","0","16","0","0","0","1009808","4","0","1","0","2.5"
"100980817","1.3","17","0","240","0","1009808","1","7","0","0","0"
"100980818","0","18","0","0","0","1009808","4","0","1","0","2.3"
"100980819","0","19","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0804","0"
"100980820","1.3","20","0","300","0","1009808","1","8","0","0","0"
"100980821","0","21","0","0","0","1009808","4","0","1","0","1.3"
"100980822","1.5","22","0","300","0","1009808","1","9","0","0","0"
"100980823","0","23","0","0","0","1009808","4","0","1","0","2.5"
"100980824","0","24","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0805","0"
"100980825","1.4","25","0","300","0","1009808","1","10","0","0","0"
"100980826","0","26","0","0","0","1009808","4","0","1","0","2.6"
"100980827","0","27","vo_lsv","0","0","1009808","2","0","0","vo_lsv_0806","0"
"100980828","1.363","28","0","327","15","1009808","1","11","0","0","0"
"100980901","0","1","0","0","0","1009809","4","0","1","0","0.8"
"100980902","0","2","vo_lsv","0","0","1009809","2","0","0","vo_lsv_0901","0"
"100980903","2.1","3","0","300","0","1009809","1","1","0","0","0"
"100980904","0","4","0","0","0","1009809","4","0","1","0","2.9"
"100980905","0","5","vo_lsv","0","0","1009809","2","0","0","vo_lsv_0902","0"
"100980906","2.46","6","0","327","0","1009809","1","2","0","0","0"
"100980907","0","7","0","0","0","1009809","4","0","1","0","2.64"
"100980908","1.845","8","0","327","0","1009809","1","3","0","0","0"
"100980909","0","9","0","0","0","1009809","4","0","1","0","1.85"
"100980910","1.735","10","0","300","0","1009809","1","4","0","0","0"
"100980911","0","11","0","0","0","1009809","4","0","1","0","2"
"100980912","0","12","vo_lsv","0","0","1009809","2","0","0","vo_lsv_0903","0"
"100980913","2.484","13","0","327","0","1009809","1","5","0","0","0"
"100980914","0","14","0","0","0","1009809","4","0","1","0","2.663"
"100980915","1.546","15","0","327","0","1009809","1","6","0","0","0"
"100980916","0","16","0","0","0","1009809","4","0","1","0","1.55"
"100980917","1.205","17","0","327","0","1009809","1","7","0","0","0"
"100980918","0","18","0","0","0","1009809","4","0","1","0","1.5"
"100980919","0","19","vo_lsv","0","0","1009809","2","0","0","vo_lsv_0904","0"
"100980920","2.079","20","0","327","0","1009809","1","8","0","0","0"
"100980921","0","21","0","0","0","1009809","4","0","1","0","2.4"
"100980922","2.05","22","0","327","0","1009809","1","9","0","0","0"
"100980923","0","23","0","0","0","1009809","4","0","1","0","2.35"
"100980924","2.55","24","0","327","0","1009809","1","10","0","0","0"
"100981001","0","1","0","0","0","1009810","4","0","1","0","0.8"
"100981002","0","2","vo_lsv","0","0","1009810","2","0","0","vo_lsv_1001","0"
"100981003","1.707","3","0","300","0","1009810","1","1","0","0","0"
"100981004","0","4","0","0","0","1009810","4","0","1","0","1.717"
"100981005","0.75","5","0","90","0","1009810","1","2","0","0","0"
"100981006","0","6","0","0","0","1009810","4","0","1","0","1.15"
"100981007","1.46","7","0","327","92","1009810","1","2","0","0","0"
"100981008","0","8","0","0","0","1009810","4","0","1","0","1.66"
"100981009","2.03","9","0","327","0","1009810","1","3","0","0","0"
"100981010","0","10","0","0","0","1009810","4","0","1","0","2.23"
"100981011","1.732","11","0","327","0","1009810","1","4","0","0","0"
"100981012","0","12","0","0","0","1009810","4","0","1","0","2.5"
"100981013","0","13","vo_lsv","0","0","1009810","2","0","0","vo_lsv_1002","0"
"100981014","1.9","14","0","300","0","1009810","1","5","0","0","0"
"100981015","0","15","0","0","0","1009810","4","0","1","0","1.949"
"100981016","2.05","16","0","327","0","1009810","1","6","0","0","0"
"100981017","0","17","0","0","0","1009810","4","0","1","0","2.08"
"100981018","0.8","18","0","130","0","1009810","1","7","0","0","0"
"100981019","0","19","0","0","0","1009810","4","0","1","0","2"
"100981020","0","20","vo_lsv","0","0","1009810","2","0","0","vo_lsv_1003","0"
"100981021","1.575","21","0","300","135","1009810","1","7","0","0","0"
"100981022","0","22","0","0","0","1009810","4","0","1","0","1.6"
"100981023","1.243","23","0","190","0","1009810","1","8","0","0","0"
"100981024","0","24","0","0","0","1009810","4","0","1","0","3"
"100981025","0","25","vo_lsv","0","0","1009810","2","0","0","vo_lsv_1004","0"
"100981026","1.867","26","0","196","0","1009810","1","9","0","0","0"
"100981027","0","27","0","0","0","1009810","4","0","1","0","2.067"
"100981028","0.956","28","0","327","198","1009810","1","9","0","0","0"
"100981029","0","29","0","0","0","1009810","4","0","1","0","1"
"100981030","1.851","30","0","260","0","1009810","1","10","0","0","0"
"100981031","0","31","0","0","0","1009810","4","0","1","0","1.88"
"100981032","1.172","32","0","160","0","1009810","1","11","0","0","0"
"100981033","0","33","0","0","0","1009810","4","0","1","0","2.5"
"100981034","0","34","vo_lsv","0","0","1009810","2","0","0","vo_lsv_1005","0"
"100981035","0.95","35","0","88","0","1009810","1","12","0","0","0"
"100981036","0","36","0","0","0","1009810","4","0","1","0","1.1"
"100981037","1.392","37","0","230","90","1009810","1","12","0","0","0"
"100981101","0","1","0","0","0","1009811","4","0","1","0","0.8"
"100981102","0","2","vo_lsv","0","0","1009811","2","0","0","vo_lsv_1101","0"
"100981103","1.813","3","0","300","0","1009811","1","1","0","0","0"
"100981104","0","4","0","0","0","1009811","4","0","1","0","2"
"100981105","1.065","5","0","280","0","1009811","1","2","0","0","0"
"100981106","0","6","0","0","0","1009811","4","0","1","0","1.095"
"100981107","2.176","7","0","327","0","1009811","1","3","0","0","0"
"100981108","0","8","0","0","0","1009811","4","0","1","0","3.1"
"100981109","0","9","vo_lsv","0","0","1009811","2","0","0","vo_lsv_1102","0"
"100981110","1.283","10","0","280","0","1009811","1","4","0","0","0"
"100981111","0","11","0","0","0","1009811","4","0","1","0","1.31"
"100981112","2.351","12","0","327","0","1009811","1","5","0","0","0"
"100981113","0","13","0","0","0","1009811","4","0","1","0","2.381"
"100981114","2.037","14","0","327","0","1009811","1","6","0","0","0"
"100981115","0","15","0","0","0","1009811","4","0","1","0","3"
"100981116","0","16","vo_lsv","0","0","1009811","2","0","0","vo_lsv_1103","0"
"100981117","2.637","17","0","327","0","1009811","1","7","0","0","0"
"100981118","0","18","0","0","0","1009811","4","0","1","0","3.23"
"100981119","1.789","19","0","327","0","1009811","1","8","0","0","0"
"100981120","0","20","0","0","0","1009811","4","0","1","0","1.81"
"100981121","0.763","21","0","80","0","1009811","1","9","0","0","0"
"100981122","0","22","0","0","0","1009811","4","0","1","0","0.893"
"100981123","1.079","23","0","327","82","1009811","1","9","0","0","0"
"100981124","0","24","0","0","0","1009811","4","0","1","0","1.1"
"100981125","1.424","25","0","195","0","1009811","1","10","0","0","0"
"100981126","0","26","0","0","0","1009811","4","0","1","0","2.5"
"100981127","0","27","vo_lsv","0","0","1009811","2","0","0","vo_lsv_1104","0"
"100981128","0.7","28","0","350","197","1009811","1","10","0","0","0"
"100981129","0","29","0","0","0","1009811","4","0","1","0","0.75"
"100981130","2.45","30","0","300","0","1009811","1","11","0","0","0"
"100981131","0","31","0","0","0","1009811","4","0","1","0","2.55"
"100981132","1.6","32","0","220","0","1009811","1","12","0","0","0"
"100981201","0","1","0","0","0","1009812","4","0","1","0","0.8"
"100981202","0","2","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1201","0"
"100981203","2.379","3","0","300","0","1009812","1","1","0","0","0"
"100981204","0","4","0","0","0","1009812","4","0","1","0","3.5"
"100981205","0","5","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1202","0"
"100981206","1.623","6","0","327","0","1009812","1","2","0","0","0"
"100981207","0","7","0","0","0","1009812","4","0","1","0","1.63"
"100981208","2.644","8","0","327","15","1009812","1","3","0","0","0"
"100981209","0","9","0","0","0","1009812","4","0","1","0","3.5"
"100981210","0","10","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1203","0"
"100981211","1.502","11","0","300","0","1009812","1","4","0","0","0"
"100981212","0","12","0","0","0","1009812","4","0","1","0","1.51"
"100981213","2.171","13","0","327","15","1009812","1","5","0","0","0"
"100981214","0","14","0","0","0","1009812","4","0","1","0","2.2"
"100981215","1.319","15","0","180","0","1009812","1","6","0","0","0"
"100981216","0","16","0","0","0","1009812","4","0","1","0","1.8"
"100981217","0","17","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1204","0"
"100981218","1.03","18","0","300","182","1009812","1","6","0","0","0"
"100981219","0","19","0","0","0","1009812","4","0","1","0","2"
"100981220","0","20","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1205","0"
"100981221","1.96","21","0","300","0","1009812","1","7","0","0","0"
"100981222","0","22","0","0","0","1009812","4","0","1","0","2"
"100981223","2.137","23","0","327","15","1009812","1","8","0","0","0"
"100981224","0","24","0","0","0","1009812","4","0","1","0","3.5"
"100981225","0","25","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1206","0"
"100981226","1.602","26","0","300","0","1009812","1","9","0","0","0"
"100981227","0","27","0","0","0","1009812","4","0","1","0","1.7"
"100981228","2.476","28","0","327","15","1009812","1","10","0","0","0"
"100981229","0","29","0","0","0","1009812","4","0","1","0","3.5"
"100981230","0","30","vo_lsv","0","0","1009812","2","0","0","vo_lsv_1207","0"
"100981231","1.155","31","0","300","0","1009812","1","11","0","0","0"
"100981232","0","32","0","0","0","1009812","4","0","1","0","1.18"
"100981233","1.28","33","0","200","15","1009812","1","12","0","0","0"
"100981301","0","1","0","0","0","1009813","4","0","1","0","0.8"
"100981302","0","2","vo_lsv","0","0","1009813","2","0","0","vo_lsv_1301","0"
"100981303","2.09","3","0","300","0","1009813","1","1","0","0","0"
"100981304","0","4","0","0","0","1009813","4","0","1","0","2.12"
"100981305","2.649","5","0","340","15","1009813","1","2","0","0","0"
"100981306","0","6","0","0","0","1009813","4","0","1","0","3.6"
"100981307","0","7","vo_lsv","0","0","1009813","2","0","0","vo_lsv_1302","0"
"100981308","2.138","8","0","300","0","1009813","1","3","0","0","0"
"100981309","0","9","0","0","0","1009813","4","0","1","0","2.17"
"100981310","2.111","10","0","327","0","1009813","1","4","0","0","0"
"100981311","0","11","0","0","0","1009813","4","0","1","0","2.45"
"100981312","2","12","0","327","0","1009813","1","5","0","0","0"
"100981313","0","13","0","0","0","1009813","4","0","1","0","2.3"
"100981314","1.354","14","0","290","0","1009813","1","6","0","0","0"
"100981315","0","15","0","0","0","1009813","4","0","1","0","3"
"100981316","0","16","vo_lsv","0","0","1009813","2","0","0","vo_lsv_1303","0"
"100981317","1.539","17","0","300","0","1009813","1","7","0","0","0"
"100981318","0","18","0","0","0","1009813","4","0","1","0","1.569"
"100981319","0.732","19","0","90","0","1009813","1","8","0","0","0"
"100981320","0","20","0","0","0","1009813","4","0","1","0","1.08"
"100981321","1.207","21","0","300","92","1009813","1","8","0","0","0"
"100981322","0","22","0","0","0","1009813","4","0","1","0","1.407"
"100981323","1.798","23","0","327","0","1009813","1","9","0","0","0"
"100981324","0","24","0","0","0","1009813","4","0","1","0","2.7"
"100981325","0","25","vo_lsv","0","0","1009813","2","0","0","vo_lsv_1304","0"
"100981326","1.633","26","0","300","0","1009813","1","10","0","0","0"
