008e8ceedb9e3a718c67847df7cb6ba43fce42af7e531bfa63fabfbf9905883d,c71728ea6f475203009f7c859316252812c5079ca0083b2c371f075097f91742,08bf7d63075eab7a931a8d43ce587799fd3116ff87b1b81c5969f61d054359b7,08eef09ad2dc09aaaf0941a9c4d91b2cc079dabb82b71b8de8d80166928ae204,3a5f6af322747637cac99633371f415731a5e47ca48e101913db549b1d2cac37,37d076043316c5e0fe8099448b70ff2ab322f8185d4a77468f838ccfeb8d68ba,eb800081d31058f1606161f6d55957fc3b4c7387125d90837093b076078e3493,64aa37d72ff26e9012978bd4518aafdaf47319580529e043f5e8f31b47019567,9ecfea11a3970038fd05950d6e1bf7c9785dc128b407714ef13f5279e844be80,b1781607922d264989d31c11dc1b2e5fa0d2a745215eb61dd7b3516fd0b0c217,ba6c39bdd91484e96668339813d69c0b282d3257f60db2be378496789fa9fe6b
"","4814066","4814","","","91","","","","","0"
"","4814067","4814","1","","3","wac_birthday_talk_kyapi","0.2","","","102011"
"","4814068","4814","0","","21","vo_wac_04814_003","","0","","vo_wac_04814"
"0","4814069","4814","10","0.5","11","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","0","1","1","102011"
"","4814070","4814","","","91","","","","","0"
"","4814071","4814","","","22","","","","","0"
"","5014001","5014","","","25","bgm_M321_2C","","","","bgm_M321"
"0","5014002","5014","250","wac_birthday_idle_normal","1","100211","2","-1000","-70","1"
"1","5014003","5014","256","wac_birthday_idle_normal","1","100311","2","230","-270","1"
"1","5014004","5014","257","wac_birthday_idle_smile","1","100111","2","410","-310","1"
"","5014005","5014","","","13","300","","","","100211"
"","5014006","5014","","","13","300","","","","100311"
"","5014007","5014","0","","31","600","1","0","1","600"
"","5014008","5014","0","","31","602","0","0","1","602"
"","5014009","5014","0","","31","603","0","0","1","603"
"","5014010","5014","30","","31","604","1","60","1","604"
"","5014011","5014","0","","31","611","1","0","1","611"
"","5014012","5014","0","","31","700","0","0","1","700"
"","5014013","5014","0","","31","701","0","0","1","701"
"","5014014","5014","0","","31","702","0","0","1","702"
"","5014015","5014","0","","31","800","0","0","1","800"
"","5014016","5014","30","","31","902","1","60","1","902"
"","5014017","5014","","","93","","","","","1"
"0.2","5014018","5014","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","100111"
"","5014019","5014","","","93","","","","","0.1"
"0.2","5014020","5014","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_04","1","100311"
"","5014021","5014","","","93","","","","","0.3"
"","5014022","5014","1","","3","wac_birthday_run_01","0.2","","","100211"
"","5014023","5014","-70","","2","0","","3","","100211"
"","5014024","5014","","","93","","","","","2.5"
"","5014025","5014","","","32","1","","","","602"
"","5014026","5014","","","93","","","","","0.6"
"","5014027","5014","","","32","0","","","","600"
"","5014028","5014","","","32","0","","","","611"
"","5014029","5014","","","32","0","","","","604"
"","5014030","5014","","","32","1","","","","701"
"","5014031","5014","0","","33","0","","0.01","","902"
"0.2","5014032","5014","0","","3","wac_birthday_blowout_01","0.2","wac_birthday_wish_04","1","100211"
"","5014033","5014","-330","","2","-200","","0.01","","100211"
"","5014034","5014","1","","3","wac_birthday_idle_normal","0.2","","","100311"
"","5014035","5014","-320","","2","180","","0.01","","100311"
"","5014036","5014","1","","3","wac_birthday_idle_smile","0.2","","","100111"
"","5014037","5014","-340","","2","320","","0.01","","100111"
"","5014038","5014","","","93","","","","","0"
"","5014039","5014","","","32","1","","","","800"
"","5014040","5014","","","93","","","","","0.7"
"","5014041","5014","","","32","1","","","","702"
"","5014042","5014","","","93","","","","","0.5"
"","5014043","5014","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","5014044","5014","","","32","0","","","","701"
"","5014045","5014","","","93","","","","","0.4"
"","5014046","5014","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","5014047","5014","","","32","1","","","","700"
"","5014048","5014","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","5014049","5014","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","100311"
"","5014050","5014","","","93","","","","","0.1"
"0.2","5014051","5014","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","100111"
"","5014052","5014","","","93","","","","","2"
"","5014053","5014","","","131","","","","","1"
"","5014054","5014","0","","21","vo_wac_05014_000","","0","","vo_wac_05014"
"0","5014055","5014","10","0.5","11","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","0","1","1","100211"
"","5014056","5014","","","91","","","","","0"
"","5014057","5014","1","","3","wac_birthday_idle_wish","0.2","","","100211"
"","5014058","5014","1","","3","wac_birthday_talk_normal","0.2","","","100311"
"","5014059","5014","0","","21","vo_wac_05014_001","","0","","vo_wac_05014"
"0","5014060","5014","10","0.5","11","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","0","1","1","100311"
"","5014061","5014","","","91","","","","","0"
"","5014062","5014","1","","3","wac_birthday_idle_normal","0.2","","","100311"
"","5014063","5014","1","","3","wac_birthday_talk_sad","0.2","","","100211"
"","5014064","5014","0","","21","vo_wac_05014_002","","0","","vo_wac_05014"
"0","5014065","5014","10","0.5","11","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","0","1","1","100211"
"","5014066","5014","","","91","","","","","0"
"","5014067","5014","1","","3","wac_birthday_talk_smile","0.2","","","100211"
"","5014068","5014","0","","21","vo_wac_05014_003","","0","","vo_wac_05014"
"0","5014069","5014","10","0.5","11","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","0","1","1","100211"
"","5014070","5014","","","91","","","","","0"
"","5014071","5014","","","22","","","","","0"
"","5214001","5214","","","25","bgm_M321_2C","","","","bgm_M321"
"0","5214002","5214","250","wac_birthday_idle_normal","1","105511","2","-1000","-70","1"
"1","5214003","5214","256","wac_birthday_idle_doya","1","105311","2","170","-260","1"
"1","5214004","5214","259","wac_birthday_idle_normal","1","104511","2","270","-310","1"
"1","5214005","5214","257","wac_birthday_idle_wish","1","100811","2","410","-270","1"
"1","5214006","5214","258","wac_birthday_idle_kyapi","1","103011","2","510","-310","1"
"","5214007","5214","","","13","300","","","","105511"
"","5214008","5214","","","13","300","","","","105311"
"","5214009","5214","0","","31","600","1","0","1","600"
"","5214010","5214","0","","31","602","0","0","1","602"
"","5214011","5214","0","","31","603","0","0","1","603"
"","5214012","5214","30","","31","604","1","60","1","604"
"","5214013","5214","0","","31","611","1","0","1","611"
"","5214014","5214","0","","31","700","0","0","1","700"
"","5214015","5214","0","","31","701","0","0","1","701"
"","5214016","5214","0","","31","702","0","0","1","702"
"","5214017","5214","0","","31","800","0","0","1","800"
"","5214018","5214","30","","31","903","1","60","1","903"
"","5214019","5214","","","93","","","","","1"
"0.2","5214020","5214","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_03","1","104511"
"0.2","5214021","5214","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","105311"
"","5214022","5214","","","93","","","","","0.1"
"0.2","5214023","5214","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_04","1","100811"
"0.2","5214024","5214","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","103011"
"","5214025","5214","","","93","","","","","0.3"
"","5214026","5214","1","","3","wac_birthday_run_01","0.2","","","105511"
"","5214027","5214","-70","","2","0","","3","","105511"
"","5214028","5214","","","93","","","","","2.5"
"","5214029","5214","","","32","1","","","","602"
"","5214030","5214","","","93","","","","","0.6"
"","5214031","5214","","","32","0","","","","600"
"","5214032","5214","","","32","0","","","","611"
"","5214033","5214","","","32","0","","","","604"
"","5214034","5214","","","32","1","","","","701"
"","5214035","5214","0","","33","0","","0.01","","903"
"0.2","5214036","5214","0","","3","wac_birthday_blowout_03","0.2","wac_birthday_wish_04","1","105511"
"","5214037","5214","-330","","2","-200","","0.01","","105511"
"","5214038","5214","1","","3","wac_birthday_idle_doya","0.2","","","105311"
"","5214039","5214","-320","","2","150","","0.01","","105311"
"","5214040","5214","1","","3","wac_birthday_idle_normal","0.2","","","104511"
"","5214041","5214","-360","","2","260","","0.01","","104511"
"","5214042","5214","1","","3","wac_birthday_idle_wish","0.2","","","100811"
"","5214043","5214","-320","","2","400","","0.01","","100811"
"","5214044","5214","1","","3","wac_birthday_idle_kyapi","0.2","","","103011"
"","5214045","5214","-340","","2","500","","0.01","","103011"
"","5214046","5214","","","93","","","","","0"
"","5214047","5214","","","32","1","","","","800"
"","5214048","5214","","","93","","","","","0.7"
"","5214049","5214","","","32","1","","","","702"
"","5214050","5214","","","93","","","","","0.5"
"","5214051","5214","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","5214052","5214","","","32","0","","","","701"
"","5214053","5214","","","93","","","","","0.4"
"","5214054","5214","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","5214055","5214","","","32","1","","","","700"
"","5214056","5214","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","5214057","5214","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_doya","1","105311"
"0.2","5214058","5214","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","100811"
"","5214059","5214","","","93","","","","","0.1"
"0.2","5214060","5214","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","104511"
"","5214061","5214","","","93","","","","","0.1"
"0.2","5214062","5214","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_kyapi","1","103011"
"","5214063","5214","","","93","","","","","2"
"","5214064","5214","","","131","","","","","1"
"","5214065","5214","0","","21","vo_wac_05214_000","","0","","vo_wac_05214"
"0","5214066","5214","10","0.5","11","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","0","1","1","105511"
"","5214067","5214","","","91","","","","","0"
"","5214068","5214","1","","3","wac_birthday_idle_wish","0.2","","","105511"
"","5214069","5214","1","","3","wac_birthday_talk_smile","0.2","","","105311"
"","5214070","5214","0","","21","vo_wac_05214_001","","0","","vo_wac_05214"
"0","5214071","5214","10","0.5","11","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","0","1","1","105311"
"","5214072","5214","","","91","","","","","0"
"","5214073","5214","1","","3","wac_birthday_idle_doya","0.2","","","105311"
"","5214074","5214","1","","3","wac_birthday_talk_wish","0.2","","","105511"
"","5214075","5214","0","","21","vo_wac_05214_002","","0","","vo_wac_05214"
"0","5214076","5214","10","0.5","11","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","0","1","1","105511"
"","5214077","5214","","","91","","","","","0"
"","5214078","5214","1","","3","wac_birthday_talk_smile","0.2","","","105511"
"","5214079","5214","0","","21","vo_wac_05214_003","","0","","vo_wac_05214"
"0","5214080","5214","10","0.5","11","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","0","1","1","105511"
"","5214081","5214","","","91","","","","","0"
"","5214082","5214","","","22","","","","","0"
"","5514001","5514","","","25","bgm_M321_2C","","","","bgm_M321"
"0","5514002","5514","250","wac_birthday_idle_normal","1","101611","2","-1000","-70","1"
"1","5514003","5514","256","wac_birthday_idle_normal","1","105011","2","230","-270","1"
"1","5514004","5514","257","wac_birthday_idle_smile","1","101811","2","410","-310","1"
"","5514005","5514","","","13","300","","","","101611"
"","5514006","5514","","","13","300","","","","105011"
"","5514007","5514","0","","31","600","1","0","1","600"
"","5514008","5514","0","","31","602","0","0","1","602"
"","5514009","5514","0","","31","603","0","0","1","603"
"","5514010","5514","30","","31","604","1","60","1","604"
"","5514011","5514","0","","31","611","1","0","1","611"
"","5514012","5514","0","","31","700","0","0","1","700"
"","5514013","5514","0","","31","701","0","0","1","701"
"","5514014","5514","0","","31","702","0","0","1","702"
"","5514015","5514","0","","31","800","0","0","1","800"
"","5514016","5514","30","","31","904","1","60","1","904"
"","5514017","5514","","","93","","","","","1"
"0.2","5514018","5514","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_04","1","101811"
"","5514019","5514","","","93","","","","","0.1"
"0.2","5514020","5514","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_03","1","105011"
"","5514021","5514","","","93","","","","","0.3"
"","5514022","5514","1","","3","wac_birthday_run_01","0.2","","","101611"
"","5514023","5514","-70","","2","0","","3","","101611"
"","5514024","5514","","","93","","","","","2.5"
"","5514025","5514","","","32","1","","","","602"
"","5514026","5514","","","93","","","","","0.6"
"","5514027","5514","","","32","0","","","","600"
"","5514028","5514","","","32","0","","","","611"
"","5514029","5514","","","32","0","","","","604"
"","5514030","5514","","","32","1","","","","701"
"","5514031","5514","0","","33","0","","0.01","","904"
"0.2","5514032","5514","0","","3","wac_birthday_blowout_02","0.2","wac_birthday_wish_03","1","101611"
"","5514033","5514","-330","","2","-200","","0.01","","101611"
"","5514034","5514","1","","3","wac_birthday_idle_smile","0.2","","","105011"
"","5514035","5514","-320","","2","180","","0.01","","105011"
"","5514036","5514","1","","3","wac_birthday_idle_wish","0.2","","","101811"
"","5514037","5514","-340","","2","320","","0.01","","101811"
"","5514038","5514","","","93","","","","","0"
"","5514039","5514","","","32","1","","","","800"
"","5514040","5514","","","93","","","","","0.7"
"","5514041","5514","","","32","1","","","","702"
"","5514042","5514","","","93","","","","","0.5"
"","5514043","5514","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","5514044","5514","","","32","0","","","","701"
"","5514045","5514","","","93","","","","","0.4"
"","5514046","5514","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","5514047","5514","","","32","1","","","","700"
"","5514048","5514","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","5514049","5514","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","105011"
"","5514050","5514","","","93","","","","","0.1"
"0.2","5514051","5514","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","101811"
"","5514052","5514","","","93","","","","","2"
"","5514053","5514","","","131","","","","","1"
"","5514054","5514","0","","21","vo_wac_05514_000","","0","","vo_wac_05514"
"0","5514055","5514","10","0.5","11","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","0","1","1","101611"
"","5514056","5514","","","91","","","","","0"
"","5514057","5514","1","","3","wac_birthday_idle_kyapi","0.2","","","101611"
"","5514058","5514","1","","3","wac_birthday_talk_smile","0.2","","","105011"
"","5514059","5514","0","","21","vo_wac_05514_001","","0","","vo_wac_05514"
"0","5514060","5514","10","0.5","11","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","0","1","1","105011"
"","5514061","5514","","","91","","","","","0"
"","5514062","5514","1","","3","wac_birthday_idle_smile","0.2","","","105011"
"","5514063","5514","1","","3","wac_birthday_talk_smile","0.2","","","101611"
"","5514064","5514","0","","21","vo_wac_05514_002","","0","","vo_wac_05514"
"0","5514065","5514","10","0.5","11","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","0","1","1","101611"
"","5514066","5514","","","91","","","","","0"
"","5514067","5514","1","","3","wac_birthday_talk_kyapi","0.2","","","101611"
"","5514068","5514","0","","21","vo_wac_05514_003","","0","","vo_wac_05514"
"0","5514069","5514","10","0.5","11","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","0","1","1","101611"
"","5514070","5514","","","91","","","","","0"
"","5514071","5514","","","22","","","","","0"
"","6214001","6214","","","25","bgm_M321_2C","","","","bgm_M321"
"0","6214002","6214","250","wac_birthday_idle_normal","1","106731","2","-1000","-70","1"
"1","6214003","6214","256","wac_birthday_idle_doya","1","106611","2","230","-270","1"
"1","6214004","6214","257","wac_birthday_idle_normal","1","106511","2","410","-310","1"
"","6214005","6214","","","13","300","","","","106731"
"","6214006","6214","","","13","300","","","","106611"
"","6214007","6214","0","","31","600","1","0","1","600"
"","6214008","6214","0","","31","602","0","0","1","602"
"","6214009","6214","0","","31","603","0","0","1","603"
"","6214010","6214","30","","31","604","1","60","1","604"
"","6214011","6214","0","","31","611","1","0","1","611"
"","6214012","6214","0","","31","700","0","0","1","700"
"","6214013","6214","0","","31","701","0","0","1","701"
"","6214014","6214","0","","31","702","0","0","1","702"
"","6214015","6214","0","","31","800","0","0","1","800"
"","6214016","6214","30","","31","905","1","60","1","905"
"","6214017","6214","","","93","","","","","1"
"0.2","6214018","6214","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","106511"
"","6214019","6214","","","93","","","","","0.1"
"0.2","6214020","6214","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","106611"
"","6214021","6214","","","93","","","","","0.3"
"","6214022","6214","1","","3","wac_birthday_run_01","0.2","","","106731"
"","6214023","6214","-70","","2","0","","3","","106731"
"","6214024","6214","","","93","","","","","2.5"
"","6214025","6214","","","32","1","","","","602"
"","6214026","6214","","","93","","","","","0.6"
"","6214027","6214","","","32","0","","","","600"
"","6214028","6214","","","32","0","","","","611"
"","6214029","6214","","","32","0","","","","604"
"","6214030","6214","","","32","1","","","","701"
"","6214031","6214","0","","33","0","","0.01","","905"
