709ab31ad96c44ad4f33078e15c69892bb7c6ae2008adce2382f9f78d852bfb4,75b897c98b721894b0e6174a7c214762d8d5d0c14bcc19a1acc1865e17371796,c166b3b04841c4d9cc0f48364394cd0eb7f041d5da7de7f42d06fb3c8afed6ba,e9b071f23b99e6873b11117daf2bd3c28a5ca8ed1d84e91330fb5e33b639d823,3c667f2269d2972929ad54cef66b198901150a6dee68582e36ec2034f8c23c11,3781aefbf8f7844f157007cf1ff4e2b4c300cdd86aaa1d0980b64cea756ae2d8,c1f3d4ed2c183b4ca29fd2001296e063985a94c67e080bd2b7e87be7267daafd,c5a1f912046761f01c47961b2c008391a570d5859dab7faa8a9a4731fcfa2a25,06547bc27f146f77268bd34885031bebfe56949b50291d59af905a478f99acb5,1dceb52d2b23be1e3f63b3efa624dd529127c635053379f3848610ec9d45898e,0502e6a6175c6ba9d4596daf37d913f4ad6c1513a45f50f794bd2fbe9fda9224
"","","vo_wac_220215_010","vo_wac_220215","21","112","","","0","0","112053"
"1","0","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","105811","11","112","0.5","0","1","10","112054"
"","","","112054","91","112","","","","","112055"
"","0.2","wac_215_peko_idle_guts2","105811","3","112","","","","1","112056"
"","","0","105811","4","112","","","","","112057"
"","","0","105911","4","112","","","","","112058"
"","0.2","wac_215_idle_joy1","105811","3","112","","","","1","112059"
"","0.2","wac_215_idle_normal","105911","3","112","","","","1","112060"
"","0.2","wac_215_idle_surprise1","106431","3","112","","","","1","112061"
"1","0.2","wac_215_kyaru_anger","106011","3","112","","0.2","wac_215_talk_anger2","1","112062"
"","","vo_wac_220215_011","vo_wac_220215","21","112","","","0","0","112063"
"1","0","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","106011","11","112","0.5","0","1","10","112064"
"","","","112064","91","112","","","","","112065"
"","0.2","wac_215_idle_anger2","106011","3","112","","","","1","112066"
"","0.2","wac_215_talk_sad","106011","3","112","","","","1","112067"
"","","vo_wac_220215_012","vo_wac_220215","21","112","","","0","0","112068"
"1","0","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","106011","11","112","0.5","0","1","10","112069"
"","","","112069","91","112","","","","","112070"
"","0.2","wac_215_idle_sad","106011","3","112","","","","1","112071"
"","0.2","wac_215_coccoro_talk_wish2","105911","3","112","","","","1","112072"
"","","vo_wac_220215_013","vo_wac_220215","21","112","","","0","0","112073"
"1","0","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","105911","11","112","0.5","0","1","10","112074"
"","","","112074","91","112","","","","","112075"
"","0.2","wac_215_coccoro_idle_wish2","105911","3","112","","","","1","112076"
"1","0.2","wac_215_kyaru_talk_doya","106011","3","112","","0","wac_215_kyaru_talk_doya_loop","0","112077"
"","","vo_wac_220215_014","vo_wac_220215","21","112","","","0","0","112078"
"1","0","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","106011","11","112","0.5","0","1","10","112079"
"","","","112079","91","112","","","","","112080"
"","0.2","wac_215_idle_arm_crossed","106011","3","112","","","","1","112081"
"","","1","105811","4","112","","","","","112082"
"","","1","105911","4","112","","","","","112083"
"","0.2","wac_215_idle_normal_joy","105911","3","112","","","","1","112084"
"","0.2","wac_215_idle_normal2_joy","106431","3","112","","","","1","112085"
"","0.2","wac_215_karin_talk_wish","118511","3","112","","","","1","112086"
"","","vo_wac_220215_015","vo_wac_220215","21","112","","","0","0","112087"
"1","0","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","118511","11","112","0.5","0","1","10","112088"
"","","","112088","91","112","","","","","112089"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112090"
"","0.2","wac_215_karin_talk_normal","118511","3","112","","","","1","112091"
"","","vo_wac_220215_016","vo_wac_220215","21","112","","","0","0","112092"
"1","0","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","118511","11","112","0.5","0","1","10","112093"
"","","","112093","91","112","","","","","112094"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112095"
"1","0.2","wac_215_peko_talk_wish","105811","3","112","","0.2","wac_215_peko_talk_wish_loop","0","112096"
"","","vo_wac_220215_017","vo_wac_220215","21","112","","","0","0","112097"
"1","0","わかりました！
\nそれじゃあわたしは、魔物料理の絵を――","105811","11","112","0.5","0","1","10","112098"
"","","","112098","91","112","","","","","112099"
"","0.2","wac_215_peko_idle_wish","105811","3","112","","","","1","112100"
"1","0.2","wac_215_kyaru_talk_anger","106011","3","112","","0.2","wac_215_talk_arm_crossed_loop","0","112101"
"","","vo_wac_220215_018","vo_wac_220215","21","112","","","0","0","112102"
"1","0","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","106011","11","112","0.5","0","1","10","112103"
"","","","112103","91","112","","","","","112104"
"","0.2","wac_215_idle_arm_crossed","106011","3","112","","","","1","112105"
"1","0.2","wac_215_cmn_eieio","105811","3","112","","0","wac_215_cmn_eieio_loop","0","112106"
"1","0.2","wac_215_cmn_eieio","106431","3","112","","0","wac_215_cmn_eieio_loop","0","112107"
"","","","0.1","93","112","","","","","112108"
"1","0.2","wac_215_cmn_eieio","105911","3","112","","0","wac_215_cmn_eieio_loop","0","112109"
"1","0.2","wac_215_cmn_eieio","106011","3","112","","0.2","wac_215_cmn_eieio_loop","0","112110"
"","","","0.9","93","112","","","","","112111"
"1","0.2","wac_215_handclap","118511","3","112","","0.2","wac_215_karin_idle_normal","0","112112"
"","","0","2","93","112","","","","","112113"
"","","","0","91","112","","","","","112114"
"","0.2","wac_215_karin_idle_normal","118511","3","113","","","","1","113001"
"","0.2","wac_215_idle_joy1","105811","3","113","","","","1","113002"
"","","","0.1","93","113","","","","","113003"
"","0.2","wac_215_coccoro_idle_wish","105911","3","113","","","","1","113004"
"","0.2","wac_215_idle_arm_crossed","106011","3","113","","","","1","113005"
"","","","0.1","93","113","","","","","113006"
"","0.2","wac_215_idle_normal2_joy","106431","3","113","","","","1","113007"
"","","","0","91","113","","","","","113008"
"-212.75","2","105811","1","1","211","wac_default_11","0","-108","202","211001"
"-212.75","2","111","1","5","211","wac_default_11","0","-108","201","211002"
"1","1","1","1","31","211","","","0","0","211003"
"1","0","2","2","31","211","","","0","0","211004"
"1","0","11","11","31","211","","","0","0","211005"
"0","0.2","wac_paint_11","105811","3","211","","","","0","211006"
"0","0.2","wac_paint_11","111","3","211","","","","0","211007"
"","","0","0.3","93","211","","","","","211008"
"","","1","11","32","211","wac_default_11","","","","211009"
"","","se_10035700_roller","se_10035700","23","211","","","","0","211010"
"","","","1","131","211","","","","","211011"
"1","0.2","wac_talk_kyapi_in","105811","3","212","","","wac_talk_kyapi_loop","0","212001"
"","0.2","wac_no_items","111","3","212","","","","1","212002"
"","","200","105811","2","212","","","0","-340","212003"
"","","200","111","2","212","","","0","-340","212004"
"","","0","1","32","212","","","","","212005"
"","","1","2","32","212","","","","","212006"
"","","0","11","32","212","","","","","212007"
"","","vo_wac_220216_000","vo_wac_220216","21","212","","","0","0","212008"
"1","0","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","105811","11","212","0.5","0","1","10","212009"
"","","","0","91","212","","","","","212010"
"","","vo_wac_220216_001","vo_wac_220216","21","212","","","0","0","212011"
"1","0","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","105811","11","212","0.5","0","1","10","212012"
"","","","0","91","212","","","","","212013"
"","","0","0","22","212","","","","","212014"
"","0.2","wac_idle_kyapi","105811","3","213","","","","1","213001"
"","0.2","wac_no_items","111","3","213","","","","1","213002"
"","","200","105811","2","213","","","0","-340","213003"
"","","200","111","2","213","","","0","-340","213004"
"","","0","1","32","213","","","","","213005"
"","","1","2","32","213","","","","","213006"
"","","0","11","32","213","","","","","213007"
"","","","0","91","213","","","","","213008"
"-212.75","2","105911","1","1","311","wac_default_01","0","-108","202","311001"
"-212.75","2","111","1","5","311","wac_default_03","0","-108","201","311002"
"1","1","1","1","31","311","","","0","0","311003"
"1","0","2","2","31","311","","","0","0","311004"
"1","0","11","11","31","311","","","0","0","311005"
"","0.2","wac_paint_01","105911","3","311","","","","0","311006"
"","0.2","wac_paint_03","111","3","311","","","","0","311007"
"","","1","11","32","311","wac_default_11","","","","311008"
"","","se_10035700_brush","se_10035700","23","311","","","","0","311009"
"","","","1","131","311","","","","","311010"
"1","0.2","wac_talk_wish_in","105911","3","312","","","wac_talk_wish_loop","0","312001"
"","0.2","wac_no_items","111","3","312","","","","1","312002"
"","","200","105911","2","312","","","0","-340","312003"
"","","200","111","2","312","","","0","-340","312004"
"","","0","1","32","312","","","","","312005"
"","","1","2","32","312","","","","","312006"
"","","0","11","32","312","","","","","312007"
"","","vo_wac_220217_000","vo_wac_220217","21","312","","","0","0","312008"
"1","0","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","105911","11","312","0.5","0","1","10","312009"
"","","","0","91","312","","","","","312010"
"","","vo_wac_220217_001","vo_wac_220217","21","312","","","0","0","312011"
"1","0","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","105911","11","312","0.5","0","1","10","312012"
"","","","0","91","312","","","","","312013"
"","","0","0","22","312","","","","","312014"
"","0.2","wac_idle_wish","105911","3","313","","","","1","313001"
"","0.2","wac_no_items","111","3","313","","","","1","313002"
"","","200","105911","2","313","","","0","-340","313003"
"","","200","111","2","313","","","0","-340","313004"
"","","0","1","32","313","","","","","313005"
"","","1","2","32","313","","","","","313006"
"","","0","11","32","313","","","","","313007"
"","","","0","91","313","","","","","313008"
"-212.75","2","106011","1","1","411","wac_default_01","0","-108","202","411001"
"-212.75","2","111","1","5","411","wac_default_02","0","-108","201","411002"
"1","1","1","1","31","411","","","0","0","411003"
"1","0","2","2","31","411","","","0","0","411004"
"1","0","11","11","31","411","","","0","0","411005"
"","0.2","wac_paint_01","106011","3","411","","","","0","411006"
"","0.2","wac_paint_02","111","3","411","","","","0","411007"
"","","1","11","32","411","wac_default_11","","","","411008"
"0","0.2","se_10035700_brush","se_10035700","23","411","","","","0","411009"
"","","","1","131","411","","","","","411010"
"1","0.2","wac_talk_doya_in","106011","3","412","","","wac_talk_doya_loop","0","412001"
"","0.2","wac_no_items","111","3","412","","","","1","412002"
"","","200","106011","2","412","","","0","-340","412003"
"","","200","111","2","412","","","0","-340","412004"
"","","0","1","32","412","","","","","412005"
"","","1","2","32","412","","","","","412006"
"","","0","11","32","412","","","","","412007"
"","","vo_wac_220218_000","vo_wac_220218","21","412","","","0","0","412008"
"1","0","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","106011","11","412","0.5","0","1","10","412009"
"","","","0","91","412","","","","","412010"
"","","vo_wac_220218_001","vo_wac_220218","21","412","","","0","0","412011"
"1","0","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","106011","11","412","0.5","0","1","10","412012"
"","","","0","91","412","","","","","412013"
"","","0","0","22","412","","","","","412014"
"","0.2","wac_idle_doya","106011","3","413","","","","1","413001"
"","0.2","wac_no_items","111","3","413","","","","1","413002"
"","","200","106011","2","413","","","0","-340","413003"
"","","200","111","2","413","","","0","-340","413004"
"","","0","1","32","413","","","","","413005"
"","","1","2","32","413","","","","","413006"
"","","0","11","32","413","","","","","413007"
"","","","0","91","413","","","","","413008"
"-212.75","2","106431","1","1","511","wac_default_11","0","-108","202","511001"
"-212.75","2","111","1","5","511","wac_default_12","0","-108","201","511002"
"1","1","1","1","31","511","","","0","0","511003"
"1","0","2","2","31","511","","","0","0","511004"
"1","0","11","11","31","511","","","0","0","511005"
"","0.2","wac_paint_11","106431","3","511","","","","0","511006"
"","0.2","wac_paint_12","111","3","511","","","","0","511007"
"","","0","0.3","93","511","","","","","511008"
"","","1","11","32","511","wac_default_11","","","","511009"
"0","0.2","se_10035700_roller","se_10035700","23","511","","","","0","511010"
"","","","1","131","511","","","","","511011"
"1","0.2","wac_talk_smile_in","106431","3","512","","","wac_talk_smile_loop","0","512001"
"","0.2","wac_no_items","111","3","512","","","","1","512002"
"","","200","106431","2","512","","","0","-340","512003"
"","","200","111","2","512","","","0","-340","512004"
"","","0","1","32","512","","","","","512005"
"","","1","2","32","512","","","","","512006"
"","","0","11","32","512","","","","","512007"
"","","vo_wac_220219_000","vo_wac_220219","21","512","","","0","0","512008"
"1","0","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","106431","11","512","0.5","0","1","10","512009"
"","","","0","91","512","","","","","512010"
"","","vo_wac_220219_001","vo_wac_220219","21","512","","","0","0","512011"
"1","0","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","106431","11","512","0.5","0","1","10","512012"
"","","","0","91","512","","","","","512013"
"","","0","0","22","512","","","","","512014"
"","0.2","wac_idle_smile","106431","3","513","","","","1","513001"
"","0.2","wac_no_items","111","3","513","","","","1","513002"
"","","200","106431","2","513","","","0","-340","513003"
"","","200","111","2","513","","","0","-340","513004"
"","","0","1","32","513","","","","","513005"
"","","1","2","32","513","","","","","513006"
"","","0","11","32","513","","","","","513007"
"","","","0","91","513","","","","","513008"
"-212.75","2","104411","1","1","611","wac_default_01","0","-108","202","611001"
"-212.75","2","111","1","5","611","wac_default_01","0","-108","201","611002"
"1","1","1","1","31","611","","","0","0","611003"
"1","0","2","2","31","611","","","0","0","611004"
"1","0","11","11","31","611","","","0","0","611005"
"","0.2","wac_paint_01","104411","3","611","","","","0","611006"
"","0.2","wac_paint_01","111","3","611","","","","0","611007"
"","","1","11","32","611","wac_default_11","","","","611008"
"0","0.2","se_10035700_brush","se_10035700","23","611","","","","0","611009"
"","","","1","131","611","","","","","611010"
"1","0.2","wac_talk_doya_in","104411","3","612","","","wac_talk_doya_loop","0","612001"
"","0.2","wac_no_items","111","3","612","","","","1","612002"
"","","200","104411","2","612","","","0","-340","612003"
"","","200","111","2","612","","","0","-340","612004"
"","","0","1","32","612","","","","","612005"
"","","1","2","32","612","","","","","612006"
"","","0","11","32","612","","","","","612007"
"","","vo_wac_220220_000","vo_wac_220220","21","612","","","0","0","612008"
"1","0","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","104411","11","612","0.5","0","1","10","612009"
"","","","0","91","612","","","","","612010"
"","","vo_wac_220220_001","vo_wac_220220","21","612","","","0","0","612011"
"1","0","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","104411","11","612","0.5","0","1","10","612012"
"","","","0","91","612","","","","","612013"
"","","0","0","22","612","","","","","612014"
"","0.2","wac_idle_doya","104411","3","613","","","","1","613001"
"","0.2","wac_no_items","111","3","613","","","","1","613002"
"","","200","104411","2","613","","","0","-340","613003"
"","","200","111","2","613","","","0","-340","613004"
"","","0","1","32","613","","","","","613005"
"","","1","2","32","613","","","","","613006"
"","","0","11","32","613","","","","","613007"
"","","","0","91","613","","","","","613008"
"-325","2","102211","1","1","711","wac_default_bot_01","0","-108","202","711001"
"-325","2","111","1","5","711","wac_default_02","0","-108","201","711002"
"1","1","3","3","31","711","","","0","0","711003"
"1","0","2","2","31","711","","","0","0","711004"
"1","0","13","13","31","711","","","0","0","711005"
"","0.2","wac_paint_bot_01","102211","3","711","","","","0","711006"
"","0.2","wac_paint_02","111","3","711","","","","0","711007"
"","","1","13","32","711","wac_default_11","","","","711008"
"0","0.2","se_10035700_brush","se_10035700","23","711","","","","0","711009"
"","","","1","131","711","","","","","711010"
"1","0.2","wac_talk_sad_in","102211","3","712","","","wac_talk_sad_loop","0","712001"
"","0.2","wac_no_items","111","3","712","","","","1","712002"
"","","200","102211","2","712","","","0","-340","712003"
"","","200","111","2","712","","","0","-340","712004"
"","","0","3","32","712","","","","","712005"
"","","1","2","32","712","","","","","712006"
"","","0","13","32","712","","","","","712007"
"","","vo_wac_220221_000","vo_wac_220221","21","712","","","0","0","712008"
"1","0","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","102211","11","712","0.5","0","1","10","712009"
"","","","0","91","712","","","","","712010"
"","","vo_wac_220221_001","vo_wac_220221","21","712","","","0","0","712011"
"1","0","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","102211","11","712","0.5","0","1","10","712012"
"","","","0","91","712","","","","","712013"
"","","0","0","22","712","","","","","712014"
"","0.2","wac_idle_sad","102211","3","713","","","","1","713001"
"","0.2","wac_no_items","111","3","713","","","","1","713002"
"","","200","102211","2","713","","","0","-340","713003"
"","","200","111","2","713","","","0","-340","713004"
"","","0","3","32","713","","","","","713005"
"","","1","2","32","713","","","","","713006"
"","","0","13","32","713","","","","","713007"
"","","","0","91","713","","","","","713008"
"-325","2","100611","1","1","811","wac_default_bot_11","0","-108","202","811001"
"-325","2","111","1","5","811","wac_default_12","0","-108","201","811002"
"1","1","3","3","31","811","","","0","0","811003"
"1","0","2","2","31","811","","","0","0","811004"
"1","0","13","13","31","811","","","0","0","811005"
"","0.2","wac_paint_bot_11","100611","3","811","","","","0","811006"
"","0.2","wac_paint_12","111","3","811","","","","0","811007"
"","","0","0.3","93","811","","","","","811008"
"","","1","13","32","811","wac_default_11","","","","811009"
"0","0.2","se_10035700_roller","se_10035700","23","811","","","","0","811010"
"","","","1","131","811","","","","","811011"
"1","0.2","wac_talk_smile_in","100611","3","812","","","wac_talk_smile_loop","0","812001"
"","0.2","wac_no_items","111","3","812","","","","1","812002"
"","","200","100611","2","812","","","0","-340","812003"
"","","200","111","2","812","","","0","-340","812004"
"","","0","3","32","812","","","","","812005"
"","","1","2","32","812","","","","","812006"
"","","0","13","32","812","","","","","812007"
"","","vo_wac_220222_000","vo_wac_220222","21","812","","","0","0","812008"
"1","0","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","100611","11","812","0.5","0","1","10","812009"
"","","","0","91","812","","","","","812010"
"","","vo_wac_220222_001","vo_wac_220222","21","812","","","0","0","812011"
"1","0","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","100611","11","812","0.5","0","1","10","812012"
"","","","0","91","812","","","","","812013"
"","","0","0","22","812","","","","","812014"
"","0.2","wac_idle_smile","100611","3","813","","","","1","813001"
"","0.2","wac_no_items","111","3","813","","","","1","813002"
"","","200","100611","2","813","","","0","-340","813003"
"","","200","111","2","813","","","0","-340","813004"
"","","0","3","32","813","","","","","813005"
"","","1","2","32","813","","","","","813006"
"","","0","13","32","813","","","","","813007"
"","","","0","91","813","","","","","813008"
"-212.75","2","103111","1","1","911","wac_default_01","0","-108","202","911001"
"-212.75","2","111","1","5","911","wac_default_03","0","-108","201","911002"
"1","1","1","1","31","911","","","0","0","911003"
"1","0","2","2","31","911","","","0","0","911004"
"1","0","11","11","31","911","","","0","0","911005"
"","0.2","wac_paint_01","103111","3","911","","","","0","911006"
"","0.2","wac_paint_03","111","3","911","","","","0","911007"
"","","1","11","32","911","wac_default_11","","","","911008"
"0","0.2","se_10035700_brush","se_10035700","23","911","","","","0","911009"
"","","","1","131","911","","","","","911010"
"1","0.2","wac_talk_wish_in","103111","3","912","","","wac_talk_wish_loop","0","912001"
"","0.2","wac_no_items","111","3","912","","","","1","912002"
"","","200","103111","2","912","","","0","-340","912003"
"","","200","111","2","912","","","0","-340","912004"
"","","0","1","32","912","","","","","912005"
"","","1","2","32","912","","","","","912006"
"","","0","11","32","912","","","","","912007"
"","","vo_wac_220223_000","vo_wac_220223","21","912","","","0","0","912008"
"1","0","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","103111","11","912","0.5","0","1","10","912009"
"","","","0","91","912","","","","","912010"
"","","vo_wac_220223_001","vo_wac_220223","21","912","","","0","0","912011"
"1","0","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","103111","11","912","0.5","0","1","10","912012"
"","","","0","91","912","","","","","912013"
"","","0","0","22","912","","","","","912014"
"","0.2","wac_idle_wish","103111","3","913","","","","1","913001"
"","0.2","wac_no_items","111","3","913","","","","1","913002"
"","","200","103111","2","913","","","0","-340","913003"
"","","200","111","2","913","","","0","-340","913004"
"","","0","1","32","913","","","","","913005"
"","","1","2","32","913","","","","","913006"
"","","0","11","32","913","","","","","913007"
"","","","0","91","913","","","","","913008"
"-212.75","2","100711","1","1","1011","wac_default_01","0","-108","202","1011001"
"-212.75","2","111","1","5","1011","wac_default_01","0","-108","201","1011002"
"1","1","1","1","31","1011","","","0","0","1011003"
"1","0","2","2","31","1011","","","0","0","1011004"
"1","0","11","11","31","1011","","","0","0","1011005"
"","0.2","wac_paint_01","100711","3","1011","","","","0","1011006"
"","0.2","wac_paint_01","111","3","1011","","","","0","1011007"
"","","1","11","32","1011","wac_default_11","","","","1011008"
"0","0.2","se_10035700_brush","se_10035700","23","1011","","","","0","1011009"
"","","","1","131","1011","","","","","1011010"
"1","0.2","wac_talk_smile_in","100711","3","1012","","","wac_talk_smile_loop","0","1012001"
"","0.2","wac_no_items","111","3","1012","","","","1","1012002"
"","","200","100711","2","1012","","","0","-340","1012003"
"","","200","111","2","1012","","","0","-340","1012004"
"","","0","1","32","1012","","","","","1012005"
"","","1","2","32","1012","","","","","1012006"
"","","0","11","32","1012","","","","","1012007"
"","","vo_wac_220224_000","vo_wac_220224","21","1012","","","0","0","1012008"
"1","0","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","100711","11","1012","0.5","0","1","10","1012009"
"","","","0","91","1012","","","","","1012010"
