6e9ea07d2aee012b15f622c44270943fc72b6afa2965edf885a5907accad8193,d90898321b7c198cc33010b7dcd2e4830738cffde195673ba48fafab113e0c65,6457094942763ba57d94ecee5aeac2b0556dacc0f552ff2294f48ed1335a5942,009475c1cecb5911d790be9cb3f5fac2b5223816ecada297a6a062b1cecba1c8,fbada68e01ea90a57e45782f3cbc7892f6e31f0b1cf01a9e8f723dd2105d8a1e,917138dda9fbf00ac5d05b81de67b74d7631981336f1093d4f5f0aa01570d0db,3ee20c15fb15ceaabfc1a821461142b8aabc2343802c6b1f6db38b2e32c90f67,1155c0d55ade81adc906eb90953125e39d33d88b580451be41a14a1e0c1683f8,abc60927bb4ddabedb4620c0d39796453931ec59c82f6a4bd30672bd02380932,d04ef1edac847e6f5ef655f98e4d5f57addbb71d5b075517e9ef55b8e41fc933,ec25b0497640b0d371c84db5870a9c4ed99a2726d6e663a74c456f3067c2368a
"sjr_talk_idle","","122611","1","","","3","0.2","","3","3006"
"122611","40","1","100","1","sjr_talk_idle","1","1.65","-194","4","4001"
"sjr_talk_thinking_surprise","","122611","1","","","3","0.2","","4","4002"
"vo_minigame_1010_top_talk_1_004","0","vo_minigame_1010","0","","","21","","","4","4003"
"変わったコースが\nいっぱいあるね\nどれに出ようかな…","1","122611","6","0","1","11","0","0","4","4004"
"","","0","","","","91","","","4","4005"
"sjr_talk_idle","","122611","1","","","3","0.2","","4","4006"
"122611","40","1","100","1","sjr_talk_idle","1","1.65","-194","5","5001"
"sjr_talk_guts2_anger","sjr_talk_guts2_anger_loop","122611","0","0","","3","0.2","1","5","5002"
"vo_minigame_1010_top_talk_1_005","0","vo_minigame_1010","0","","","21","","","5","5003"
"レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","1","122611","7","0","1","11","0","0","5","5004"
"","","0","","","","91","","","5","5005"
"sjr_talk_idle","","122611","1","","","3","0.2","","5","5006"
"122511","40","1","100","1","sjr_talk_idle","1","1.65","-194","6","6001"
"sjr_talk_arm_crossed_joy_look","sjr_talk_arm_crossed_look_loop","122511","0","0","","3","0.2","1","6","6002"
"vo_minigame_1010_top_talk_1_006","0","vo_minigame_1010","0","","","21","","","6","6003"
"こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","1","122511","6","0","1","11","0","0","6","6004"
"","","0","","","","91","","","6","6005"
"sjr_talk_idle","","122511","1","","","3","0.2","","6","6006"
"122511","40","1","100","1","sjr_talk_idle","1","1.65","-194","7","7001"
"sjr_talk_mouth_hidden2_shy","","122511","1","","","3","0.2","","7","7002"
"vo_minigame_1010_top_talk_1_007","0","vo_minigame_1010","0","","","21","","","7","7003"
"この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","1","122511","6","0","1","11","0","0","7","7004"
"","","0","","","","91","","","7","7005"
"sjr_talk_idle","","122511","1","","","3","0.2","","7","7006"
"122511","40","1","100","1","sjr_talk_idle","1","1.65","-194","8","8001"
"sjr_talk_mouth_hidden","","122511","1","","","3","0.2","","8","8002"
"vo_minigame_1010_top_talk_1_008","0","vo_minigame_1010","0","","","21","","","8","8003"
"へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","1","122511","6","0","1","11","0","0","8","8004"
"","","0","","","","91","","","8","8005"
"sjr_talk_idle","","122511","1","","","3","0.2","","8","8006"
"122511","40","1","100","1","sjr_talk_idle","1","1.65","-194","9","9001"
"sjr_talk_stepback_surprise","","122511","1","","","3","0.2","","9","9002"
"vo_minigame_1010_top_talk_1_009","0","vo_minigame_1010","0","","","21","","","9","9003"
"コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","1","122511","6","0","1","11","0","0","9","9004"
"","","0","","","","91","","","9","9005"
"sjr_talk_idle","","122511","1","","","3","0.2","","9","9006"
"122511","40","1","100","1","sjr_talk_idle","1","1.65","-194","10","10001"
"sjr_talk_thinking_blink","","122511","1","","","3","0.2","","10","10002"
"vo_minigame_1010_top_talk_1_010","0","vo_minigame_1010","0","","","21","","","10","10003"
"ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","1","122511","5","0","1","11","0","0","10","10004"
"","","0","","","","91","","","10","10005"
"sjr_talk_idle","","122511","1","","","3","0.2","","10","10006"
"122411","40","1","100","1","sjr_talk_idle","1","1.65","-194","11","11001"
"sjr_talk_eieio","sjr_talk_eieio_loop","122411","0","0","","3","0.2","1","11","11002"
"vo_minigame_1010_top_talk_1_011","0","vo_minigame_1010","0","","","21","","","11","11003"
"準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","1","122411","6","0","1","11","0","0","11","11004"
"","","0","","","","91","","","11","11005"
"sjr_talk_idle","","122411","1","","","3","0.2","","11","11006"
"122411","40","1","100","1","sjr_talk_idle","1","1.65","-194","12","12001"
"sjr_talk_arm_opened_wink","","122411","1","","","3","0.2","","12","12002"
"vo_minigame_1010_top_talk_1_012","0","vo_minigame_1010","0","","","21","","","12","12003"
"えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","1","122411","6","0","1","11","0","0","12","12004"
"","","0","","","","91","","","12","12005"
"sjr_talk_idle","","122411","1","","","3","0.2","","12","12006"
"122411","40","1","100","1","sjr_talk_idle","1","1.65","-194","13","13001"
"sjr_talk_doya","sjr_talk_doya_loop","122411","0","0","","3","0.2","1","13","13002"
"vo_minigame_1010_top_talk_1_013","0","vo_minigame_1010","0","","","21","","","13","13003"
"あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","1","122411","8","0","1","11","0","0","13","13004"
"","","0","","","","91","","","13","13005"
"sjr_talk_idle","","122411","1","","","3","0.2","","13","13006"
"122411","40","1","100","1","sjr_talk_idle","1","1.65","-194","14","14001"
"sjr_talk_watch_arm_opened","sjr_talk_swing_joy","122411","0","0","","3","0.2","1","14","14002"
"vo_minigame_1010_top_talk_1_014","0","vo_minigame_1010","0","","","21","","","14","14003"
"どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","1","122411","7","0","1","11","0","0","14","14004"
"","","0","","","","91","","","14","14005"
"sjr_talk_idle","","122411","1","","","3","0.2","","14","14006"
"122411","40","1","100","1","sjr_talk_idle","1","1.65","-194","15","15001"
"sjr_talk_wish_doya","","122411","1","","","3","0.2","","15","15002"
"vo_minigame_1010_top_talk_1_015","0","vo_minigame_1010","0","","","21","","","15","15003"
"ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","1","122411","7","0","1","11","0","0","15","15004"
"","","0","","","","91","","","15","15005"
"sjr_talk_idle","","122411","1","","","3","0.2","","15","15006"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","16","16001"
"122511","-72","1","100","0","sjr_talk_idle","1","1.65","-194","16","16002"
"sjr_talk_wish_doya","","122611","1","","","3","0.2","","16","16003"
"vo_minigame_1010_top_talk_2_001","0","vo_minigame_1010","0","","","21","","","16","16004"
"レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","1","122611","5","0","1","11","0","0","16","16005"
"","","0","","","","91","","","16","16006"
"sjr_talk_idle","","122611","1","","","3","0.2","","16","16007"
"sjr_talk_arm_crossed_normal_joy","sjr_talk_arm_crossed_joy_loop","122511","0","0","","3","0.2","1","16","16008"
"vo_minigame_1010_top_talk_2_002","0","vo_minigame_1010","0","","","21","","","16","16009"
"ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","1","122511","6","0","0.5","11","0","0","16","16010"
"","","0","","","","91","","","16","16011"
"sjr_talk_idle","","122511","1","","","3","0.2","","16","16012"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","17","17001"
"122511","-72","1","100","0","sjr_talk_idle","1","1.65","-194","17","17002"
"sjr_talk_worry_shy","","122511","1","","","3","0.2","","17","17003"
"vo_minigame_1010_top_talk_2_003","0","vo_minigame_1010","0","","","21","","","17","17004"
"ねぇユイ\n水着で走るのって\nちょっと…","1","122511","6","0","0.5","11","0","0","17","17005"
"","","0","","","","91","","","17","17006"
"sjr_talk_idle","","122511","1","","","3","0.2","","17","17007"
"sjr_talk_wish_shy","","122611","1","","","3","0.2","","17","17008"
"vo_minigame_1010_top_talk_2_004","0","vo_minigame_1010","0","","","21","","","17","17009"
"うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","1","122611","5","0","0.5","11","0","0","17","17010"
"","","0","","","","91","","","17","17011"
"sjr_talk_idle","","122611","1","","","3","0.2","","17","17012"
"sjr_talk_thinking_blink_light","sjr_talk_thinking_light","122511","0","0","","3","0.2","1","17","17013"
"vo_minigame_1010_top_talk_2_005","0","vo_minigame_1010","0","","","21","","","17","17014"
"いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","1","122511","6","0","0.5","11","0","0","17","17015"
"","","0","","","","91","","","17","17016"
"sjr_talk_idle","","122511","1","","","3","0.2","","17","17017"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","18","18001"
"122511","-72","1","100","0","sjr_talk_idle","1","1.65","-194","18","18002"
"sjr_talk_wish_surprise","","122611","1","","","3","0.2","","18","18003"
"vo_minigame_1010_top_talk_2_006","0","vo_minigame_1010","0","","","21","","","18","18004"
"なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","1","122611","7","0","0.5","11","0","0","18","18005"
"","","0","","","","91","","","18","18006"
"sjr_talk_idle","","122611","1","","","3","0.2","","18","18007"
"sjr_talk_arm_crossed_normal2","sjr_talk_arm_crossed_normal2_loop","122511","0","0","","3","0.2","1","18","18008"
"vo_minigame_1010_top_talk_2_007","0","vo_minigame_1010","0","","","21","","","18","18009"
"気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","1","122511","7","0","0.5","11","0","0","18","18010"
"","","0","","","","91","","","18","18011"
"sjr_talk_idle","","122511","1","","","3","0.2","","18","18012"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","19","19001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","19","19002"
"sjr_talk_wave_hand","sjr_talk_idle_joy","122611","0","0","","3","0.2","1","19","19003"
"vo_minigame_1010_top_talk_2_008","0","vo_minigame_1010","0","","","21","","","19","19004"
"ヒヨリちゃん\n楽しんでる？","1","122611","11","0","0.5","11","0","0","19","19005"
"","","0","","","","91","","","19","19006"
"sjr_talk_idle","","122611","1","","","3","0.2","","19","19007"
"sjr_talk_fun","sjr_talk_swing_joy2","122411","0","0","","3","0.2","1","19","19008"
"vo_minigame_1010_top_talk_2_009","0","vo_minigame_1010","0","","","21","","","19","19009"
"もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","1","122411","8","0","0.5","11","0","0","19","19010"
"","","0","","","","91","","","19","19011"
"sjr_talk_idle","","122411","1","","","3","0.2","","19","19012"
"sjr_talk_laugh","","122611","1","","","3","0.2","","19","19013"
"vo_minigame_1010_top_talk_2_010","0","vo_minigame_1010","0","","","21","","","19","19014"
"そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","1","122611","8","0","0.5","11","0","0","19","19015"
"","","0","","","","91","","","19","19016"
"sjr_talk_idle","","122611","1","","","3","0.2","","19","19017"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","20","20001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","20","20002"
"sjr_talk_guts2","sjr_talk_guts2_loop","122411","0","0","","3","0.2","1","20","20003"
"vo_minigame_1010_top_talk_2_011","0","vo_minigame_1010","0","","","21","","","20","20004"
"ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","1","122411","9","0","0.5","11","0","0","20","20005"
"","","0","","","","91","","","20","20006"
"sjr_talk_idle","","122411","1","","","3","0.2","","20","20007"
"sjr_talk_mouth_hidden_dere_guru","sjr_talk_mouth_hidden_guru","122611","0","0","","3","0.2","1","20","20008"
"vo_minigame_1010_top_talk_2_012","0","vo_minigame_1010","0","","","21","","","20","20009"
"夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","1","122611","5","0","0.5","11","0","0","20","20010"
"","","0","","","","91","","","20","20011"
"sjr_talk_shock","sjr_talk_shock_loop","122411","0","0","","3","0.2","1","20","20012"
"vo_minigame_1010_top_talk_2_013","0","vo_minigame_1010","0","","","21","","","20","20013"
"わーっ！？\nユイちゃん！？\n目がグルグルだー！？","1","122411","17","0","0.5","11","0","0","20","20014"
"","","0","","","","91","","","20","20015"
"sjr_talk_idle","","122611","1","","","3","0.2","","20","20016"
"sjr_talk_idle","","122411","1","","","3","0.2","","20","20017"
"122611","72","1","100","1","sjr_talk_idle","1","1.65","-194","21","21001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","21","21002"
"sjr_talk_worry_sad","","122611","1","","","3","0.2","","21","21003"
"vo_minigame_1010_top_talk_2_014","0","vo_minigame_1010","0","","","21","","","21","21004"
"ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","1","122611","9","0","0.5","11","0","0","21","21005"
"","","0","","","","91","","","21","21006"
"sjr_talk_idle","","122611","1","","","3","0.2","","21","21007"
"sjr_talk_laugh_guts","sjr_talk_guts2_joy_loop","122411","0","0","","3","0.2","0","21","21008"
"vo_minigame_1010_top_talk_2_015","0","vo_minigame_1010","0","","","21","","","21","21009"
"心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","1","122411","6","0","0.5","11","0","0","21","21010"
"","","0","","","","91","","","21","21011"
"sjr_talk_idle","","122411","1","","","3","0.2","","21","21012"
"122511","72","1","100","1","sjr_talk_idle","1","1.65","-194","22","22001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","22","22002"
"sjr_talk_arm_crossed_normal","sjr_talk_arm_crossed_normal_loop","122511","0","0","","3","0.2","1","22","22003"
"vo_minigame_1010_top_talk_2_016","0","vo_minigame_1010","0","","","21","","","22","22004"
"相手がヒヨリとはいえ\n負けるつもりは\nないからね","1","122511","7","0","0.5","11","0","0","22","22005"
"","","0","","","","91","","","22","22006"
"sjr_talk_idle","","122511","1","","","3","0.2","","22","22007"
"sjr_talk_guts","sjr_talk_guts_loop","122411","0","0","","3","0.2","1","22","22008"
"vo_minigame_1010_top_talk_2_017","0","vo_minigame_1010","0","","","21","","","22","22009"
"レイさんが相手なら\nあたしだって\n全力全開だよ！","1","122411","8","0","0.5","11","0","0","22","22010"
"","","0","","","","91","","","22","22011"
"sjr_talk_idle","","122411","1","","","3","0.2","","22","22012"
"122511","72","1","100","1","sjr_talk_idle","1","1.65","-194","23","23001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","23","23002"
"sjr_talk_fun_eieio","sjr_talk_eieio_loop","122411","0","0","","3","0.2","1","23","23003"
"vo_minigame_1010_top_talk_2_018","0","vo_minigame_1010","0","","","21","","","23","23004"
"夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","1","122411","5","0","0.5","11","0","0","23","23005"
"","","0","","","","91","","","23","23006"
"sjr_talk_idle","","122411","1","","","3","0.2","","23","23007"
"sjr_talk_mouth_hidden_sad","","122511","1","","","3","0.2","","23","23008"
"vo_minigame_1010_top_talk_2_019","0","vo_minigame_1010","0","","","21","","","23","23009"
"そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","1","122511","7","0","0.5","11","0","0","23","23010"
"","","0","","","","91","","","23","23011"
"sjr_talk_idle","","122511","1","","","3","0.2","","23","23012"
"sjr_talk_arm_opened_joy_guru","sjr_talk_arm_opened_guru","122411","0","0","","3","0.2","1","23","23013"
"vo_minigame_1010_top_talk_2_020","0","vo_minigame_1010","0","","","21","","","23","23014"
"平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","1","122411","5","0","0.5","11","0","0","23","23015"
"","","0","","","","91","","","23","23016"
"sjr_talk_idle","","122411","1","","","3","0.2","","23","23017"
"122511","72","1","100","1","sjr_talk_idle","1","1.65","-194","24","24001"
"122411","-72","1","100","0","sjr_talk_idle","1","1.65","-194","24","24002"
"sjr_talk_mouth_hidden_sad","","122411","1","","","3","0.2","","24","24003"
"vo_minigame_1010_top_talk_2_021","0","vo_minigame_1010","0","","","21","","","24","24004"
"ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","1","122411","7","0","1","11","0","0","24","24005"
"","","0","","","","91","","","24","24006"
"sjr_talk_idle","","122411","1","","","3","0.2","","24","24007"
"sjr_talk_arm_crossed_normal_joy","sjr_talk_arm_crossed_joy_loop","122511","0","0","","3","0.2","0","24","24008"
"vo_minigame_1010_top_talk_2_022","0","vo_minigame_1010","0","","","21","","","24","24009"
"心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","1","122511","5","0","0.5","11","0","0","24","24010"
"","","0","","","","91","","","24","24011"
"sjr_talk_idle","","122511","1","","","3","0.2","","24","24012"
"sjr_talk_laugh","","122411","1","","","3","0.2","","24","24013"
"vo_minigame_1010_top_talk_2_023","0","vo_minigame_1010","0","","","21","","","24","24014"
"えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","1","122411","7","0","0.5","11","0","0","24","24015"
"","","0","","","","91","","","24","24016"
"sjr_talk_idle","","122411","1","","","3","0.2","","24","24017"
