d5413d2498929c7ed4a09d41d4fb4df46dbe09bb16002060c992ce298a0ab1ef,d55c2ae9a81a88040473f94ffcc00689db09321f4cadd5a64a1acbc8c1bdf58d,5df3cdcaaab6c6aea4f3d67ebdbc3c86c90f6a346f2f2854bbbd8d84d70d13e2,a3f7cba07a98d1505e1158ce6cef3ac117b660acfc03a795b555c35c5b1b741b,5b5a0a00338d53caac6c1c38723bb14fdadbbb8c2a46433fb6031e2f37016559,92a44b67e2d32388d1b1a8b9047fe755147eecdea49f990e08fed070a7bb70f5,fd4a5ee15f2f4fc060c227281112bc7bc85bf693d933c2d299e13aeee243100e,5c65ed0e740cc94b7e879bdcb34598cc36e6bb4379538ca04dde8082bee207d2,368283ae694123aadcbbdc75ea63ba94549ff6549c0ec961e29db28c4d21954f,a7162c1468e8b6dc80899d395101e75e62b4e15020d0b1ceb2a000a3bcb4d12d
"10013","2","1002","1004","1003","2021/02/28 11:59:59","2021/02/15 15:00:00","2","1003","2015009"
"10014","1","1001","0","0","2021/08/15 14:59:59","2021/02/28 12:00:00","1","0","0"
"10015","2","1002","0","0","2021/08/15 14:59:59","2021/02/28 12:00:00","2","0","2015009"
"10016","1","1001","1005","0","2021/08/31 11:59:59","2021/08/15 15:00:00","1","0","0"
"10017","2","1002","1005","0","2021/08/31 11:59:59","2021/08/15 15:00:00","2","0","2015009"
"10018","1","1001","0","0","2030/02/15 14:59:59","2021/08/31 12:00:00","1","0","0"
"10019","2","1002","0","0","2030/02/15 14:59:59","2021/08/31 12:00:00","2","0","2015009"
"10020","1","1001","1006","1004","2022/02/28 11:59:59","2022/02/15 15:00:00","1","1004","0"
"10021","2","1002","1006","1004","2022/02/28 11:59:59","2022/02/15 15:00:00","2","1004","2015009"
"10022","1","1001","0","0","2022/08/15 14:59:59","2022/02/28 12:00:00","1","0","0"
"10023","2","1002","0","0","2022/08/15 14:59:59","2022/02/28 12:00:00","2","0","2015009"
"10024","1","1001","1007","0","2022/08/31 11:59:59","2022/08/15 15:00:00","1","0","0"
"10025","2","1002","1007","0","2022/08/31 11:59:59","2022/08/15 15:00:00","2","0","2015009"
"10026","1","1001","0","0","2023/02/15 14:59:59","2022/08/31 12:00:00","1","0","0"
"10027","2","1002","0","0","2023/02/15 14:59:59","2022/08/31 12:00:00","2","0","2015009"
"10028","1","1001","1008","1005","2023/02/28 11:59:59","2023/02/15 15:00:00","1","1005","0"
"10029","2","1002","1008","1005","2023/02/28 11:59:59","2023/02/15 15:00:00","2","1005","2015009"
"10030","1","1001","0","0","2023/08/15 14:59:59","2023/02/28 12:00:00","1","0","0"
"10031","2","1002","0","0","2023/08/15 14:59:59","2023/02/28 12:00:00","2","0","2015009"
"10032","3","1003","0","0","2023/08/15 14:59:59","2023/03/15 12:00:00","2","0","2201005"
"10033","1","1001","1009","0","2023/08/31 11:59:59","2023/08/15 15:00:00","1","0","0"
"10034","2","1002","1009","0","2023/08/31 11:59:59","2023/08/15 15:00:00","2","0","2015009"
"10035","1","1001","0","0","2024/02/14 23:59:59","2023/08/31 12:00:00","1","0","0"
"10036","2","1002","0","0","2024/02/14 23:59:59","2023/08/31 12:00:00","2","0","2015009"
"10037","3","1003","1009","0","2023/08/31 11:59:59","2023/08/15 15:00:00","2","0","2201005"
"10038","3","1003","0","0","2024/02/14 23:59:59","2023/08/31 12:00:00","3","0","2201005"
"10039","1","1001","1010","1006","2024/02/29 11:59:59","2024/02/15","1","1006","0"
"10040","2","1002","1010","1006","2024/02/29 11:59:59","2024/02/15","2","1006","2015009"
"10041","1","1001","0","0","2024/08/15 14:59:59","2024/02/29 12:00:00","1","0","0"
"10042","2","1002","0","0","2024/08/15 14:59:59","2024/02/29 12:00:00","2","0","2015009"
"10043","3","1003","1010","1006","2024/02/29 11:59:59","2024/02/15","3","1006","2201005"
"10044","3","1003","0","0","2024/08/15 14:59:59","2024/02/29 12:00:00","3","0","2201005"
"10045","1","1001","1011","0","2024/08/16 11:59:59","2024/08/15 15:00:00","1","0","0"
"10046","2","1002","1011","0","2024/08/16 11:59:59","2024/08/15 15:00:00","2","0","2015009"
"10047","3","1003","1011","0","2024/08/16 11:59:59","2024/08/15 15:00:00","3","0","2201005"
"10048","1","1004","1011","0","2024/08/21 11:59:59","2024/08/16 12:00:00","1","0","0"
"10049","2","1004","1011","0","2024/08/21 11:59:59","2024/08/16 12:00:00","2","0","2015009"
"10050","3","1004","1011","0","2024/08/21 11:59:59","2024/08/16 12:00:00","3","0","2201005"
"10051","1","1001","1011","0","2024/08/31 11:59:59","2024/08/21 12:00:00","1","0","0"
"10052","2","1002","1011","0","2024/08/31 11:59:59","2024/08/21 12:00:00","2","0","2015009"
"10053","1","1001","0","0","2025/02/14 23:59:59","2024/08/31 12:00:00","1","0","0"
"10054","2","1002","0","0","2025/02/14 23:59:59","2024/08/31 12:00:00","2","0","2015009"
"10055","3","1003","1011","0","2024/08/31 11:59:59","2024/08/21 12:00:00","3","0","2201005"
"10056","3","1003","0","0","2025/02/14 23:59:59","2024/08/31 12:00:00","3","0","2201005"
