b1486df4eda571fca9abb8f6945270142e4b7e44be57c8bde4ccc7f815dbe6a3,5d01e74cd0447683486551fd8a5fa2da20d003896c815986e6d8af948c11abd1,65395ca24adb72896a467d7c6a20e38d4c6de96ecee88a1800b6dcd7bf98c700,4839beeddbe70a4ef8b5ad2ef873b19184589f29ed2a2494050d5533e85bef8e,39f7e2e7b5a68ed134aa8202c0f0ef7fc090f36f8a3655afdb1ef052e675cba7,2263979595adc905c0ab7e5487769d4003b8bd0171c8658de08e154f0264aa0e,d245df6d23401138d0513c91b349300891e1fff348af72aee046548a7cf5e465,ef89a2bd04f81a566c0e503743be4a28f677a1739cefbb569fe9ff85edc4e39b
"1","0","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","52025","10","0","2","35"
"1","0","【料理】ダイスの目が必ず「5」になる","52027","1","0","1","36"
"1","0","【料理】ダイスの目が\n「1・2」のみになる","52028","1","0","1","37"
"1","0","【料理】ダイスの目が必ず「2」になる","52029","1","0","1","38"
"1","0","【料理】次のターン数のカウントをスキップする","52029","2","0","3","39"
"2","0","【イベント】マイルショップの全商品が20%以上割引される","8","4","0","3","40"
"1","0","【料理】「マイルマス」を「トレジャーマス」に変化させる","52030","11","0","3","41"
"1","0","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","52031","1","0","1","42"
"1","0","【料理】移動時に料理マスをスキップできる","52032","10","0","2","43"
"1","0","【料理】移動時にマイルマスをスキップできる","52034","8","0","1","44"
"1","0","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","52036","1","0","1","45"
"1","0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","52037","6","0","2","46"
"1","0","【料理】ダイスが2個に増える","52038","1","0","1","47"
"1","0","【料理】「マイルマス」を「ショップマス」に変化させる","52039","11","0","3","48"
"3","0","最大ｎマイルを入手する","1","99","0","1","1001"
"3","0","ダイスを1回振りなおせる","2","99","0","1","1002"
"3","0","ダイスを1回振りなおせる_有効ターン2","3","99","0","1","1003"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1001","126501","0","1","11001"
"3","0","【仲間】最大1000マイルを入手する","1002","105301","0","1","11002"
"3","0","【仲間】料理を1つ入手する","1003","126401","0","1","11003"
"3","0","【仲間】ダイスの目を1回振りなおせる","1004","100501","0","1","11004"
"3","0","【仲間】ダイスの目を2回振りなおせる","1005","101301","0","1","11005"
"3","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1006","104301","0","1","11006"
"3","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1007","102701","0","1","11007"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1008","100901","0","1","11008"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1009","105101","0","1","11009"
"3","0","【仲間】最大1000マイルを入手する","1010","101801","0","1","11010"
"3","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1011","129701","0","1","11011"
"3","0","【仲間】ダイスの目を1回振りなおせる","1012","101601","0","1","11012"
"3","0","【仲間】ダイスの目を2回振りなおせる","1013","105601","0","1","11013"
"3","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1014","102001","0","1","11014"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1015","129601","0","1","11015"
"3","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1016","100401","0","1","11016"
"3","0","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1017","127701","0","1","11017"
"3","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1018","127801","0","1","11018"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1019","104801","0","1","11019"
"3","0","【仲間】ダイスの目を2回振りなおせる","1020","104701","0","1","11020"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1021","105001","0","1","11021"
"3","0","【仲間】最大2000マイルを入手する","1022","103201","0","1","11022"
"3","0","【仲間】福引券を1枚入手する","1023","130901","0","1","11023"
"3","0","【仲間】料理を1つ入手する","1024","102501","0","1","11024"
"3","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1025","100801","0","1","11025"
"3","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1026","123301","0","1","11026"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1027","104601","0","1","11027"
"3","0","【仲間】ダイスの目を2回振りなおせる","1028","118101","0","1","11028"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1029","103401","0","1","11029"
"3","0","【仲間】最大2000マイルを入手する","1030","118001","0","1","11030"
"3","0","【仲間】福引券を1枚入手する","1031","102801","0","1","11031"
"3","0","【仲間】料理を1つ入手する","1032","100201","0","1","11032"
"3","0","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1033","101201","0","1","11033"
"3","0","【仲間】ダイスの目を1回振りなおせる","1034","118201","0","1","11034"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1035","106101","0","1","11035"
"3","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1036","103101","0","1","11036"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1037","103301","0","1","11037"
"3","0","【仲間】最大2000マイルを入手する","1038","103601","0","1","11038"
"3","0","【仲間】福引券を1枚入手する","1039","133001","0","1","11039"
"3","0","【仲間】料理を1つ入手する","1040","133101","0","1","11040"
"3","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1041","106801","0","1","11041"
"3","0","【仲間】ダイスの目を1回振りなおせる","1042","107101","0","1","11042"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1043","107001","0","1","11043"
"3","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1044","106501","0","1","11044"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1045","111001","0","1","11045"
"3","0","【仲間】最大2000マイルを入手する","1046","134901","0","1","11046"
"3","0","【仲間】福引券を1枚入手する","1047","105401","0","1","11047"
"3","0","【仲間】料理を1つ入手する","1048","134701","0","1","11048"
"3","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1049","100101","0","1","11049"
"3","0","【仲間】ダイスの目を1回振りなおせる","1050","100701","0","1","11050"
"3","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1051","103001","0","1","11051"
"3","0","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1052","101401","0","1","11052"
"3","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1053","135901","0","1","11053"
"3","0","【仲間】最大2000マイルを入手する","1054","102601","0","1","11054"
"3","0","【仲間】福引券を1枚入手する","1055","132401","0","1","11055"
"3","0","【仲間】料理を1つ入手する","1056","135801","0","1","11056"
