c30e4caf8832db6e8ab62d1445aa6624995c06dde4c07a08df32a7dedd06e323,6ab9d210ad83d9dfd59c46991ba9cc7f4a77ffd87ef74bec8e30aabd59ac1604,e7d10638f7a57a1b947c1c5a0939c390554c2a8f8836362747c1ddc4c67fa279,aef95d4a182f4fddd15eb5a816d71d338bb36363fdfa61b359211fa6749b53ad,3be18c3f74ce66213c15648af9880174d7a57eff358cec825aefd5d310212cc6,f28b17b675c512c1418cae5a0b8b24ef5fed8dfc6fdfa443acfd078df5ac1d44
"102","803100253","2145033","0","105","300123"
"112","803100253","2145034","1","208","300124"
"110","803100253","2145035","1","212","300125"
"100","803100253","2145036","0","104","300126"
"102","803100253","2145037","0","105","300127"
"103","803100253","2145038","0","106","300128"
"101","803100254","2145041","0","107","300201"
"101","803100254","2145042","0","107","300202"
"102","803100254","2145043","0","105","300203"
"103","803100254","2145044","0","106","300204"
"113","803100254","2145045","1","202","300205"
"114","803100254","2145046","1","203","300206"
"101","803100254","2145047","0","107","300207"
"113","803100254","2145048","1","202","300208"
"114","803100254","2145049","1","203","300209"
"101","803100254","2145050","0","107","300210"
"101","803100255","2145051","0","107","300211"
"102","803100255","2145052","0","105","300212"
"103","803100255","2145053","0","106","300213"
"113","803100255","2145054","1","202","300214"
"114","803100255","2145055","1","203","300215"
"101","803100255","2145056","0","107","300216"
"113","803100255","2145057","1","202","300217"
"114","803100255","2145058","1","203","300218"
"101","803100255","2145059","0","107","300219"
"101","803100255","2145060","0","107","300220"
"102","803100256","2145061","0","105","300221"
"103","803100256","2145062","0","106","300222"
"101","803100256","2145063","0","107","300223"
"112","803100256","2145064","1","208","300224"
"110","803100256","2145065","1","212","300225"
"102","803100256","2145066","0","105","300226"
"103","803100256","2145067","0","106","300227"
"101","803100256","2145068","0","107","300228"
"100","803100257","2145071","0","104","300301"
"101","803100257","2145072","0","107","300302"
"101","803100257","2145073","0","107","300303"
"113","803100257","2145074","1","202","300304"
"114","803100257","2145075","1","203","300305"
"100","803100257","2145076","0","104","300306"
"101","803100257","2145077","0","107","300307"
"111","803100257","2145078","1","204","300308"
"112","803100257","2145079","1","205","300309"
"100","803100257","2145080","0","104","300310"
"101","803100258","2145081","0","107","300311"
"101","803100258","2145082","0","107","300312"
"113","803100258","2145083","1","202","300313"
"114","803100258","2145084","1","203","300314"
"100","803100258","2145085","0","104","300315"
"101","803100258","2145086","0","107","300316"
"111","803100258","2145087","1","204","300317"
"112","803100258","2145088","1","205","300318"
"100","803100258","2145089","0","104","300319"
"101","803100258","2145090","0","107","300320"
"100","803100259","2145091","0","104","300321"
"101","803100259","2145092","0","107","300322"
"113","803100259","2145093","1","202","300323"
"112","803100259","2145094","1","208","300324"
"100","803100259","2145095","0","104","300325"
"101","803100259","2145096","0","107","300326"
"111","803100259","2145097","1","204","300327"
"112","803100259","2145098","1","205","300328"
"102","803100260","2146011","0","105","300401"
"102","803100260","2146012","0","105","300402"
"113","803100260","2146013","1","202","300403"
"114","803100260","2146014","1","203","300404"
"102","803100260","2146015","0","105","300405"
"113","803100260","2146016","1","202","300406"
"114","803100260","2146017","1","203","300407"
"102","803100260","2146018","0","105","300408"
"102","803100260","2146019","0","105","300409"
"102","803100260","2146020","0","105","300410"
"102","803100261","2146021","0","105","300411"
"113","803100261","2146022","1","202","300412"
"114","803100261","2146023","1","203","300413"
"102","803100261","2146024","0","105","300414"
"113","803100261","2146025","1","202","300415"
"114","803100261","2146026","1","203","300416"
"102","803100261","2146027","0","105","300417"
"102","803100261","2146028","0","105","300418"
"113","803100261","2146029","1","202","300419"
"113","803100261","2146030","1","202","300420"
"113","803100262","2146031","1","202","300421"
"114","803100262","2146032","1","203","300422"
"102","803100262","2146033","0","105","300423"
"112","803100262","2146034","1","208","300424"
"110","803100262","2146035","1","212","300425"
"113","803100262","2146036","1","202","300426"
"113","803100262","2146037","1","202","300427"
"102","803100262","2146038","0","105","300428"
"100","803100264","2146051","0","104","300501"
"100","803100264","2146052","0","104","300502"
"100","803100264","2146053","0","104","300503"
"100","803100264","2146054","0","104","300504"
"102","803100264","2146055","0","105","300505"
"103","803100264","2146056","0","106","300506"
"100","803100264","2146057","0","104","300507"
"100","803100264","2146058","0","104","300508"
"102","803100264","2146059","0","105","300509"
"103","803100264","2146060","0","106","300510"
"100","803100265","2146061","0","104","300511"
"100","803100265","2146062","0","104","300512"
"100","803100265","2146063","0","104","300513"
"100","803100265","2146064","0","104","300514"
"102","803100265","2146065","0","105","300515"
"103","803100265","2146066","0","106","300516"
"100","803100265","2146067","0","104","300517"
"100","803100265","2146068","0","104","300518"
"102","803100265","2146069","0","105","300519"
"103","803100265","2146070","0","106","300520"
"100","803100266","2146071","0","104","300521"
"100","803100266","2146072","0","104","300522"
"113","803100266","2146073","1","202","300523"
"114","803100266","2146074","1","203","300524"
"100","803100266","2146075","0","104","300525"
"112","803100266","2146076","1","208","300526"
"110","803100266","2146077","1","212","300527"
"113","803100266","2146078","1","202","300528"
"114","803100266","2146079","1","203","300529"
"100","803100266","2146080","0","104","300530"
"114","803100268","2146091","1","203","300601"
"113","803100268","2146092","1","202","300602"
"102","803100268","2146093","0","105","300603"
"114","803100268","2146094","1","203","300604"
"103","803100268","2146095","0","106","300605"
"114","803100268","2146096","1","203","300606"
"111","803100268","2146097","1","204","300607"
"114","803100268","2146098","1","203","300608"
"113","803100268","2146099","1","202","300609"
"102","803100268","2146100","0","105","300610"
"114","803100269","2147011","1","203","300611"
"103","803100269","2147012","0","106","300612"
"114","803100269","2147013","1","203","300613"
"111","803100269","2147014","1","204","300614"
"110","803100269","2147015","1","212","300615"
"114","803100269","2147016","1","203","300616"
"102","803100269","2147017","0","105","300617"
"103","803100269","2147018","0","106","300618"
"111","803100270","2147021","1","204","300701"
"100","803100270","2147022","0","104","300702"
"101","803100270","2147023","0","107","300703"
"113","803100270","2147024","1","202","300704"
"114","803100270","2147025","1","203","300705"
"102","803100270","2147026","0","105","300706"
"112","803100270","2147027","1","205","300707"
"111","803100270","2147028","1","204","300708"
"100","803100270","2147029","0","104","300709"
"101","803100270","2147030","0","107","300710"
"113","803100271","2147031","1","202","300711"
"114","803100271","2147032","1","203","300712"
"102","803100271","2147033","0","105","300713"
"112","803100271","2147034","1","205","300714"
"107","803100271","2147035","0","110","300715"
"111","803100271","2147036","1","204","300716"
"100","803100271","2147037","0","104","300717"
"101","803100271","2147038","0","107","300718"
