b41b028b9f70bec0aab4e7b2de0149a306e6272347e7427ff5b425394791b9a5,8ff54253d8bdcac5f07058fcddb227a972b03f91f8f4f5bf177227c0d2103bee,fd9e1e13dfde8d4f4105bb87ed967e0f681952e81593571b26f1f0d5cea6f963,570b03b4c127a87da6c34585524ae8b574ee25bcbbda6d95b9a44ac6abd0d773,ca4e4d36e6f9062a0ee17ff0425b6f048629d8b2f02cc15adc8d31e93608bfaf,6d929391f340718719720516e8cb567ff148c1dd64d760d101125cc7c9692a0d,9061940dd02854062dccfbd05bfa6d7288c3165301f338b34a012e94ce6a54d5,7cd1fc0cbd0d41e7339175a9496bf222f797f9d0b5974db15d1b824577a577fe
"5","114","84","9","-140","-43","2411","5"
"6","114","84","9","-140","-43","2421","6"
"7","86","84","9","65","50","2461","8"
"8","86","84","9","65","50","2471","9"
"9","185","137","9","-110","80","2481","10"
"10","185","137","9","-110","80","2491","11"
"11","301","377","9","24","131","2521","7"
"12","190","305","9","-50","280","2531","12"
"1","123","145","10","-137","-527","2601","3"
"2","123","145","10","-137","-527","2611","4"
"3","408","295","10","35","-379","2621","1"
"4","171","192","10","103","-299","2622","2"
"5","342","244","10","-64","-138","2623","6"
"6","224","254","10","9","-47","2701","5"
"7","253","204","10","-88","131","2781","8"
"8","110","139","10","23","89","2791","9"
"9","110","139","10","23","89","2801","10"
"10","292","249","10","42","275","2811","7"
"11","126","151","10","-120","274","2821","11"
"12","126","151","10","-120","274","2831","12"
"13","276","316","10","-17","448","2841","13"
"1","158","203","11","-87","-292","2901","1"
"2","256","187","11","123","-224","3011","2"
"3","144","225","11","-80","-65","3031","3"
"4","149","214","11","-84","80","3111","4"
"5","201","194","11","112","227","3131","5"
"6","161","111","11","-111","159","3141","6"
"7","161","111","11","-111","159","3151","7"
"8","166","209","11","-80","307","3171","8"
"1","364","206","12","-106","-185","3211","3"
"2","160","277","12","34","-304","3221","1"
"3","249","275","12","45","-107","3231","2"
"4","167","233","12","-46","31","3321","5"
"5","174","130","12","-122","135","3381","7"
"6","174","130","12","-122","135","3391","8"
"7","244","223","12","101","127","3431","4"
"8","235","246","12","-24","254","3441","6"
"9","167","156","12","-114","303","3461","9"
"10","167","156","12","-114","303","3471","10"
"11","108","94","12","152","338","3491","11"
"12","108","94","12","152","338","3501","12"
"1","210","270","13","-48","-286","3531","3"
"2","92","103","13","144","-310","3541","2"
"3","228","219","13","-90","-152","3551","3"
"4","94","103","13","99","-148","3561","4"
"5","110","71","13","-157","-12","3571","5"
"6","209","274","13","-2","-5","3581","1"
"7","219","292","13","-72","141","3691","6"
"8","88","104","13","143","146","3701","7"
"9","160","135","13","131","299","3741","8"
"10","160","135","13","131","299","3751","9"
"11","179","268","13","-82","301","3791","10"
"1","197","286","14","6","-470","3801","2"
"2","134","89","14","-123","-520","3811","3"
"3","204","236","14","103","-369","3821","1"
"4","176","241","14","-74","-283","3861","5"
"5","156","236","14","-83","-151","3891","6"
"6","219","226","14","108","-174","3911","4"
"7","107","96","14","-130","-51","3921","10"
"8","179","251","14","50","-5","3931","9"
"9","113","102","14","-106","100","3941","11"
"10","242","317","14","-41","268","3951","12"
"11","209","240","14","79","138","3961","7"
"12","209","240","14","79","138","3971","8"
"13","125","93","14","-125","441","4021","14"
"14","219","279","14","22","485","4031","13"
