dba4cec30bf9f5b9788c46b99db7e99877725be05b8db4e80c34def6b4a0be29,4010f99cdab12ba79d9de5960984727d55ceff747600c9d4edc470f4e2815de9,f848cf4d6f1e7d93ede5bd5a13cc2230774cb531ffabc6b4e2be9bac745e6bc0,61d88b55df442f9c5830068ee2af7c7f38b65a25363ae06a1aefacd6bbe685f1,f3ecbea1eba4ab46b455d3af0c9b2ad5e9c5d8e4e17ba0524eda169088dbab06,93c53928773cf19e00d56427f0a072b9f5d7e9555a3cf8aaab655c6dfc8a7551,f702512e1e59796b44eac708bccd51330d1c0b67e141dfb48088710f5df7f771,64b3e67e34b1db8bdae4a1b541e02987decc2a56b0d320c2e7f6b4db67539f2e
"274","-120","10","151","12","2831","126","12"
"448","-17","10","316","13","2841","276","13"
"-292","-87","11","203","1","2901","158","1"
"-224","123","11","187","2","3011","256","2"
"-65","-80","11","225","3","3031","144","3"
"80","-84","11","214","4","3111","149","4"
"227","112","11","194","5","3131","201","5"
"159","-111","11","111","6","3141","161","6"
"159","-111","11","111","7","3151","161","7"
"307","-80","11","209","8","3171","166","8"
"-185","-106","12","206","3","3211","364","1"
"-304","34","12","277","1","3221","160","2"
"-107","45","12","275","2","3231","249","3"
"31","-46","12","233","5","3321","167","4"
"135","-122","12","130","7","3381","174","5"
"135","-122","12","130","8","3391","174","6"
"127","101","12","223","4","3431","244","7"
"254","-24","12","246","6","3441","235","8"
"303","-114","12","156","9","3461","167","9"
"303","-114","12","156","10","3471","167","10"
"338","152","12","94","11","3491","108","11"
"338","152","12","94","12","3501","108","12"
"-286","-48","13","270","3","3531","210","1"
"-310","144","13","103","2","3541","92","2"
"-152","-90","13","219","3","3551","228","3"
"-148","99","13","103","4","3561","94","4"
"-12","-157","13","71","5","3571","110","5"
"-5","-2","13","274","1","3581","209","6"
"141","-72","13","292","6","3691","219","7"
"146","143","13","104","7","3701","88","8"
"299","131","13","135","8","3741","160","9"
"299","131","13","135","9","3751","160","10"
"301","-82","13","268","10","3791","179","11"
"-470","6","14","286","2","3801","197","1"
"-520","-123","14","89","3","3811","134","2"
"-369","103","14","236","1","3821","204","3"
"-283","-74","14","241","5","3861","176","4"
"-151","-83","14","236","6","3891","156","5"
"-174","108","14","226","4","3911","219","6"
"-51","-130","14","96","10","3921","107","7"
"-5","50","14","251","9","3931","179","8"
"100","-106","14","102","11","3941","113","9"
"268","-41","14","317","12","3951","242","10"
"138","79","14","240","7","3961","209","11"
"138","79","14","240","8","3971","209","12"
"441","-125","14","93","14","4021","125","13"
"485","22","14","279","13","4031","219","14"
