aae536f860a1152bdb60c44c37986dc42e8b93c479c601c9abc29653d635640e,bcfb091caa447a9022ac70389858f75b69deef314931c804f7cdc10edaee416f,5c6df65fdd631f165d7cebe93d977c6134b15b906b85b09e8e1acdf206e1db03,b153570aabacf4eb5cddeecc4b605c36c81f5c8ad54b5634c7ae18a3689cdd0b,024c07ba3ec61a60ac6806bf816de66aa0e674c82dbd34114f6758a7033bb783,0c9752c5d32643b383a422e7d0f178fa8a5f070418ea64c9db959be725a391ae,41599dd11876416941a9f10b7835f6a29fa6c4141f45be32edec10aa66d3b318,193c29f239b0e7a8a99ec0c7a680d4e901e15dbd79445f383fcb4be701d1faf7,83280ef5c36ec99bb89baa356cf31088e05a9cedb16216457cc116e5cdaaf8e5,f3c8f3b5c2530e887c901458e0c352073d62e98d97466985ce7913ca3318eef6,dedab6d48155eabf7e18dd10c7c5f3c42f5223349e3de5199c8c90e8189a114c
"","","","","0","1","","32","13","1044",""
"0.2","1","0","","top_luis_arm_crossed_in","1","top_luis_arm_crossed_idle","3","1","1045","0"
"","","","","0","1","","93","4","1046",""
"0.2","1","0","","top_luis_approach_in","1","top_luis_approach_idle","3","1","1047","0"
"","","","","0","1","","93","3.5","1048",""
"0.2","","1","","top_luis_thinking","1","","3","1","1049",""
"","","","","0","1","","93","3.5","1050",""
"0.2","","1","","top_luis_walk_think","1","","3","1","1051",""
"","0","-103","","-495","1","2","2","1","1052",""
"","","","","0","1","","93","2","1053",""
"","","","","0","1","","4","1","1054",""
"","0","-103","","-216","1","2","2","1","1055",""
"","","","","0","1","","93","2","1056",""
"0","","1","","top_luis_notice","1","","3","1","1057",""
"","","","","0","1","","93","1","1058",""
"0.2","","1","","top_luis_walk_jog","1","","3","1","1059",""
"","0","-130","","-100","1","0.5","2","1","1060",""
"","","","","0","1","","93","0.5","1061",""
"","","","","1","1","","4","1","1062",""
"0.2","1","0","","top_luis_sit_in","1","top_luis_sit_idle","3","1","1063","0"
"","","","","0","1","","93","0.1","1064",""
"","0","-140","","-57","1","0.4","2","1","1065",""
"","","","","0","1","","93","1","1066",""
"0.2","","0","","top_luis_experiment_success_in","1","","3","1","1067",""
"","","","","0","1","","93","2.3","1068",""
"0.1","","0","","top_luis_experiment_success_mix","1","","3","1","1069",""
"","","","","0","1","","93","2.7","1070",""
"","","","","1","1","","32","14","1071",""
"0.1","","0","","top_luis_experiment_success_burst","1","","3","1","1072",""
"","","","","0","1","","93","2.7","1073",""
"0.1","","0","","top_luis_experiment_success_out","1","","3","1","1074",""
"","","","","0","1","","93","1.1","1075",""
"0.2","1","0","","top_luis_sit_out","1","idle_normal","3","1","1076","0"
"","0","-130","","-100","1","0.3","2","1","1077",""
"","","","","0","1","","93","1","1078",""
"0.2","","0","","walk_normal","1","","3","1","1079",""
"","0","-103","","-216","1","1","2","1","1080",""
"","","","","0","1","","93","1","1081",""
"0.1","","0","","idle_normal","1","","3","1","1082",""
"","","","","0","1","","93","0.8","1083",""
"","","","","0","1","","32","14","1084",""
"","","0","","","1","0","101","1005","1085",""
"1.43","-130","100","top_iroha_read","2","2","400","5","2","2001","1"
"1.4","130","101","butterfly","11","2","980","5","11","2002","1"
"0","1","400","","11","2","-130","31","11","2003",""
"","","","","0","2","","91","0","2004",""
"0.2","","1","","top_iroha_read","2","","3","2","2005",""
"","","","","0","2","","93","9","2006",""
"","","","","1","2","","4","11","2007",""
"","0","130","","-980","2","7","2","11","2008",""
"","","","","0","2","","93","2.5","2009",""
"0.2","","0","","top_iroha_read_notice","2","","3","2","2010",""
"","","","","0","2","","93","0.6","2011",""
"0","1","0","","top_iroha_notice_to_run","2","top_iroha_run","3","2","2012","0"
"","","","","0","2","","93","0.4","2013",""
"","","","","1","2","","32","11","2014",""
"","","","","smokeR","2","","37","11","2015",""
"","0","-130","","-980","2","4.2","33","11","2016",""
"","0","-130","","-980","2","4.2","2","2","2017",""
"","","","","0","2","","93","4.2","2018",""
"","","","","0","2","","32","11","2019",""
"","","","","0","2","","93","1","2020",""
"","","","","0","2","","4","11","2021",""
"","0","130","","980","2","7","2","11","2022",""
"","","","","0","2","","93","1.5","2023",""
"","","","","1","2","","32","11","2024",""
"","","","","smokeL","2","","37","11","2025",""
"","0","-130","","980","2","5.964","33","11","2026",""
"0","","1","","top_iroha_run_joy","2","","3","2","2027",""
"","","","","0","2","","4","2","2028",""
"","0","-130","","980","2","5.964","2","2","2029",""
"","","","","0","2","","93","5.964","2030",""
"","","","","0","2","","32","11","2031",""
"","","","","0","2","","93","2","2032",""
"0","","1","","top_iroha_walk","2","","3","2","2033",""
"","","","","1","2","","4","2","2034",""
"","0","-130","","400","2","3","2","2","2035",""
"","0","-130","","400","2","3","33","11","2036",""
"","","","","0","2","","93","3","2037",""
"0.2","1","0","","top_iroha_walk_out","2","idle_normal","3","2","2038","0"
"","","","","0","2","","93","0.4","2039",""
"0.2","","0","","top_iroha_sit_in","2","","3","2","2040","0.2"
"","","","","0","2","","93","4","2041",""
"","","","","","2","","101","2005","2042",""
"1.38","-130","100","top_sono_readPaper","3","3","350","5","3","3001","1"
"1","1","475","","10","3","-18","31","10","3002",""
"","","","","0","3","","91","0","3003",""
"0.2","","1","","top_sono_readPaper","3","","3","3","3004",""
"","","","","0","3","","93","13.6","3005",""
"0.2","1","0","","top_sono_sit_out","3","top_sono_stretch","3","3","3006","0"
"","","","","0","3","","93","3.5","3007",""
"0.2","","1","","top_sono_drink","3","","3","3","3008",""
"","","","","","3","","93","10.5","3009",""
"0.2","","0","","top_sono_sit_in","3","","3","3","3010",""
"","","","","0","3","","93","2.6","3011",""
"","","","","","3","","101","3004","3012",""
"1.43","-130","101","top_iroha_read","2","4","400","5","2","4001","1"
"1.4","-103","100","top_luis_thinking","1","4","-216","5","1","4002","1"
"1.4","130","102","butterfly","11","4","980","5","11","4003","1"
"0","1","400","","11","4","-130","31","11","4004",""
"","","","","0","4","","91","0","4005",""
"0.2","","1","","top_luis_thinking","4","","3","1","4006",""
"0.2","","1","","top_iroha_read","4","","3","2","4007",""
"","","","","0","4","","93","9","4008",""
"","","","","1","4","","4","11","4009",""
"","0","130","","-980","4","7","2","11","4010",""
"","","","","0","4","","93","2.5","4011",""
"0.2","","0","","top_iroha_read_notice","4","","3","2","4012",""
"","","","","0","4","","93","0.6","4013",""
"0","1","0","","top_iroha_notice_to_run","4","top_iroha_run","3","2","4014","0"
"","","","","0","4","","93","0.4","4015",""
"","","","","1","4","","32","11","4016",""
"","","","","smokeR","4","","37","11","4017",""
"","0","-130","","-980","4","4.2","33","11","4018",""
"","0","-130","","-980","4","4.2","2","2","4019",""
"","","","","0","4","","93","1.9","4020",""
"0.2","1","0","","top_luis_surprise_in","4","top_luis_surprise_idle","3","1","4021","0"
"","","","","0","4","","93","2.3","4022",""
"","","","","0","4","","32","11","4023",""
"","","","","0","4","","93","1","4024",""
"","","","","0","4","","4","11","4025",""
"","0","130","","980","4","7","2","11","4026",""
"","","","","0","4","","93","1.5","4027",""
"","","","","1","4","","32","11","4028",""
"","","","","smokeL","4","","37","11","4029",""
"","0","-130","","980","4","5.964","33","11","4030",""
"0","","1","","top_iroha_run_joy","4","","3","2","4031",""
"","","","","0","4","","4","2","4032",""
"","0","-130","","980","4","5.964","2","2","4033",""
"","","","","0","4","","93","2.2","4034",""
"0","","1","","top_luis_surprise_look","4","","3","1","4035",""
"","","","","0","4","","93","3.764","4036",""
"0.2","","1","","top_luis_thinking","4","","3","1","4037",""
"","","","","0","4","","32","11","4038",""
"","","","","0","4","","93","2","4039",""
"0","","1","","top_iroha_walk","4","","3","2","4040",""
"","","","","1","4","","4","2","4041",""
"","0","-130","","400","4","3","2","2","4042",""
"","0","-130","","400","4","3","33","11","4043",""
"","","","","0","4","","93","3","4044",""
"0.2","1","0","","top_iroha_walk_out","4","idle_normal","3","2","4045","0"
"","","","","0","4","","93","0.4","4046",""
"0.2","","0","","top_iroha_sit_in","4","","3","2","4047","0.2"
"","","","","0","4","","93","4","4048",""
"","","","","","4","","101","4007","4049",""
"1.4","-130","100","top_sono_readPaper","3","5","350","5","3","5001","1"
"1.4","-130","110","top_iroha_read_loop","2","5","452","5","2","5002","1"
"","","","","0","5","","91","0","5003",""
"0.2","","1","","top_iroha_read_loop","5","","3","2","5004",""
"0.2","","1","","top_sono_readPaper","5","","3","3","5005",""
"","","","","0","5","","93","13.6","5006",""
"0.2","1","0","","top_sono_sit_out","5","top_sono_stretch","3","3","5007","0"
"","0","-130","","287","5","0.3","2","3","5008",""
"","","","","0","5","","93","3.5","5009",""
"0.2","","1","","top_sono_drink","5","","3","3","5010",""
"","","","","0","5","","93","2.6","5011",""
"0.4","","0","","top_iroha_read_look","5","","3","2","5012",""
"","","","","0","5","","93","7.9","5013",""
"0.2","","0","","top_sono_sit_in","5","","3","3","5014",""
"","","","","0","5","","93","0.1","5015",""
"0.2","","1","","top_iroha_read_loop","5","","3","2","5016",""
"","0","-130","","350","5","0.3","2","3","5017",""
"","","","","0","5","","93","2.5","5018",""
"","","","","","5","","101","5005","5019",""
"1.4","-103","100","idle_normal","1","6","-216","5","1","6001","1"
"1.38","-130","101","top_sono_readPaper_loop","3","6","350","5","3","6002","1"
"1","1","475","","10","6","-18","31","10","6003",""
"0","1","56","","13","6","-140","31","13","6004",""
"0","1","56","","14","6","-140","31","14","6005",""
"","","","","0","6","","91","0","6006",""
"0.2","","1","","top_sono_readPaper_loop","6","","3","3","6007",""
"0.2","1","0","","top_luis_arm_crossed_in","6","top_luis_arm_crossed_idle","3","1","6008","0"
"","","","","0","6","","93","4","6009",""
"0.2","1","0","","top_luis_approach_in","6","top_luis_approach_idle","3","1","6010","0"
"","","","","0","6","","93","3.5","6011",""
"0.2","","1","","top_luis_thinking","6","","3","1","6012",""
"","","","","0","6","","93","3.5","6013",""
"0.2","","1","","top_luis_walk_think","6","","3","1","6014",""
"","0","-103","","-495","6","2","2","1","6015",""
"","","","","0","6","","93","2","6016",""
"","","","","0","6","","4","1","6017",""
"","0","-103","","-216","6","2","2","1","6018",""
"","","","","0","6","","93","2","6019",""
"0","","1","","top_luis_notice","6","","3","1","6020",""
"","","","","0","6","","93","1","6021",""
"0.2","","1","","top_luis_walk_jog","6","","3","1","6022",""
"","0","-130","","-100","6","0.5","2","1","6023",""
"","","","","0","6","","93","0.5","6024",""
"","","","","1","6","","4","1","6025",""
"0.2","1","0","","top_luis_sit_in","6","top_luis_sit_idle","3","1","6026","0"
"","","","","0","6","","93","0.1","6027",""
"","0","-140","","-57","6","0.4","2","1","6028",""
"","","","","0","6","","93","0.4","6029",""
"","0","-140","","-16","6","0","2","1","6030",""
"","","","","0","6","","4","1","6031",""
"","","","","0","6","","93","0.6","6032",""
"0.2","","0","","top_luis_experiment_failer_in","6","","3","1","6033",""
"","","","","0","6","","93","2.3","6034",""
"0.1","","0","","top_luis_experiment_failer_mix","6","","3","1","6035",""
"","","","","0","6","","93","2.7","6036",""
"0.2","1","0","","top_sono_notice_in_surprise","6","top_sono_notice_loop_surprise","3","3","6037","0"
"","","","","1","6","","32","13","6038",""
"0.1","","0","","top_luis_experiment_failer_burst","6","","3","1","6039",""
"","","","","0","6","","93","2.7","6040",""
"0.2","","1","","top_sono_readPaper_loop","6","","3","3","6041",""
"0.1","","0","","top_luis_experiment_failer_out","6","","3","1","6042",""
"","","","","0","6","","93","1.1","6043",""
"0.2","1","0","","top_luis_sit_out","6","idle_normal","3","1","6044","0"
"","","","","1","6","","4","1","6045",""
"","0","-140","","-57","6","0","2","1","6046",""
"","0","-130","","-100","6","0.3","2","1","6047",""
"","","","","0","6","","93","1","6048",""
"0.2","","0","","walk_normal","6","","3","1","6049",""
"","0","-103","","-216","6","1","2","1","6050",""
"","","","","0","6","","93","1","6051",""
"0.1","","0","","idle_normal","6","","3","1","6052",""
"","","","","0","6","","93","0.8","6053",""
"","","","","0","6","","32","13","6054",""
"0.2","1","0","","top_luis_arm_crossed_in","6","top_luis_arm_crossed_idle","3","1","6055","0"
"","","","","0","6","","93","4","6056",""
"0.2","1","0","","top_luis_approach_in","6","top_luis_approach_idle","3","1","6057","0"
"","","","","0","6","","93","3.5","6058",""
"0.2","","1","","top_luis_thinking","6","","3","1","6059",""
"","","","","0","6","","93","3.5","6060",""
"0.2","","1","","top_luis_walk_think","6","","3","1","6061",""
"","0","-103","","-495","6","2","2","1","6062",""
"","","","","0","6","","93","2","6063",""
"","","","","0","6","","4","1","6064",""
"","0","-103","","-216","6","2","2","1","6065",""
"","","","","0","6","","93","2","6066",""
"0","","1","","top_luis_notice","6","","3","1","6067",""
"","","","","0","6","","93","1","6068",""
"0.2","","1","","top_luis_walk_jog","6","","3","1","6069",""
"","0","-130","","-100","6","0.5","2","1","6070",""
"","","","","0","6","","93","0.5","6071",""
"","","","","1","6","","4","1","6072",""
"0.2","1","0","","top_luis_sit_in","6","top_luis_sit_idle","3","1","6073","0"
"","","","","0","6","","93","0.1","6074",""
"","0","-140","","-57","6","0.4","2","1","6075",""
"","","","","0","6","","93","0.4","6076",""
"","0","-140","","-16","6","0","2","1","6077",""
"","","","","0","6","","4","1","6078",""
"","","","","0","6","","93","0.6","6079",""
"0.2","","0","","top_luis_experiment_success_in","6","","3","1","6080",""
"","","","","0","6","","93","2.3","6081",""
"0.1","","0","","top_luis_experiment_success_mix","6","","3","1","6082",""
"","","","","0","6","","93","2.7","6083",""
"0.2","1","0","","top_sono_notice_in_dere","6","top_sono_notice_loop_dere","3","3","6084","0"
"","","","","1","6","","32","14","6085",""
"0.1","","0","","top_luis_experiment_success_burst","6","","3","1","6086",""
"","","","","0","6","","93","2.7","6087",""
"0.2","","1","","top_sono_readPaper_loop","6","","3","3","6088",""
"0.1","","0","","top_luis_experiment_success_out","6","","3","1","6089",""
"","","","","0","6","","93","1.1","6090",""
"0.2","1","0","","top_luis_sit_out","6","idle_normal","3","1","6091","0"
"","","","","1","6","","4","1","6092",""
"","0","-140","","-57","6","0","2","1","6093",""
"","0","-130","","-100","6","0.3","2","1","6094",""
"","","","","0","6","","93","1","6095",""
"0.2","","0","","walk_normal","6","","3","1","6096",""
"","0","-103","","-216","6","1","2","1","6097",""
"","","","","0","6","","93","1","6098",""
"0.1","","0","","idle_normal","6","","3","1","6099",""
"","","","","0","6","","93","0.8","6100",""
"","","","","0","6","","32","14","6101",""
"","","0","","","6","0","101","6008","6102",""
"1.4","-103","100","idle_normal","1","7","-216","5","1","7001","1"
"1.43","-130","110","top_iroha_read_loop","2","7","452","5","2","7002","1"
"1.38","-130","101","top_sono_readPaper_loop","3","7","350","5","3","7003","1"
"1.4","130","111","butterfly","11","7","980","5","11","7004","1"
"0","1","452","","11","7","-130","31","11","7005",""
"0","1","56","","14","7","-140","31","14","7006",""
"","","","","0","7","","91","0","7007",""
"0.2","","1","","top_iroha_read_loop","7","","3","2","7008",""
"0.2","","1","","top_sono_readPaper_loop","7","","3","3","7009",""
"0.2","1","0","","top_luis_arm_crossed_in","7","top_luis_arm_crossed_idle","3","1","7010","0"
"","","","","0","7","","93","4","7011",""
"0.2","1","0","","top_luis_approach_in","7","top_luis_approach_idle","3","1","7012","0"
"","","","","0","7","","93","3.5","7013",""
"0.2","","1","","top_luis_thinking","7","","3","1","7014",""
"","","","","0","7","","93","3.5","7015",""
"0.2","","1","","top_luis_walk_think","7","","3","1","7016",""
"","0","-103","","-495","7","2","2","1","7017",""
"","","","","0","7","","93","2","7018",""
"","","","","0","7","","4","1","7019",""
"","0","-103","","-216","7","2","2","1","7020",""
"","","","","0","7","","93","2","7021",""
"0","","1","","top_luis_notice","7","","3","1","7022",""
"","","","","0","7","","93","1","7023",""
"0.2","","1","","top_luis_walk_jog","7","","3","1","7024",""
"","0","-130","","-100","7","0.5","2","1","7025",""
"","","","","0","7","","93","0.5","7026",""
"","","","","1","7","","4","1","7027",""
"0.2","1","0","","top_luis_sit_in","7","top_luis_sit_idle","3","1","7028","0"
"","","","","0","7","","93","0.1","7029",""
"","0","-140","","-57","7","0.4","2","1","7030",""
"","","","","0","7","","93","0.4","7031",""
"","0","-140","","-16","7","0","2","1","7032",""
"","","","","0","7","","4","1","7033",""
"","","","","0","7","","93","0.6","7034",""
"0.2","","0","","top_luis_experiment_success_in","7","","3","1","7035",""
"","","","","0","7","","93","2.3","7036",""
"0.1","","0","","top_luis_experiment_success_mix","7","","3","1","7037",""
"","","","","0","7","","93","2.7","7038",""
"0.2","1","0","","top_sono_notice_in_dere","7","top_sono_notice_loop_dere","3","3","7039","0"
"0.2","","1","","top_iroha_read_look_light","7","","3","2","7040",""
"","","","","1","7","","32","14","7041",""
"0.1","","0","","top_luis_experiment_success_burst","7","","3","1","7042",""
"","","","","0","7","","93","2.7","7043",""
"0.2","","1","","top_sono_readPaper_loop","7","","3","3","7044",""
"0.2","","1","","top_iroha_read","7","","3","2","7045",""
"0.1","","0","","top_luis_experiment_success_out","7","","3","1","7046",""
"","","","","0","7","","93","1.1","7047",""
"0.2","1","0","","top_luis_sit_out","7","idle_normal","3","1","7048","0"
"","","","","1","7","","4","1","7049",""
"","0","-140","","-57","7","0","2","1","7050",""
"","0","-130","","-100","7","0.3","2","1","7051",""
"","","","","0","7","","93","1","7052",""
"0.2","","0","","walk_normal","7","","3","1","7053",""
"","0","-103","","-216","7","1","2","1","7054",""
"","","","","0","7","","93","1","7055",""
"0.1","","0","","idle_normal","7","","3","1","7056",""
"","","","","0","7","","93","0.8","7057",""
"","","","","0","7","","32","14","7058",""
"0.2","","1","","top_luis_thinking","7","","3","1","7059",""
"","","","","0","7","","93","5.1","7060",""
"","","","","1","7","","4","11","7061",""
"","0","130","","-980","7","7","2","11","7062",""
"","","","","0","7","","93","2.5","7063",""
"0.2","","0","","top_iroha_read_notice","7","","3","2","7064",""
"","","","","0","7","","93","0.6","7065",""
"0","1","0","","top_iroha_notice_to_run","7","top_iroha_run","3","2","7066","0"
"","","","","0","7","","93","0.4","7067",""
"","","","","1","7","","32","11","7068",""
"","","","","smokeR","7","","37","11","7069",""
"","0","-130","","-980","7","4.2","33","11","7070",""
"","0","-130","","-980","7","4.2","2","2","7071",""
"","","","","0","7","","93","0.2","7072",""
"0.2","1","0","","top_sono_notice_in_surprise","7","top_sono_notice_loop_surprise","3","3","7073","0"
"","","","","0","7","","93","1.7","7074",""
"0.2","1","0","","top_luis_surprise_in","7","top_luis_surprise_idle","3","1","7075","0"
"","","","","0","7","","93","2.5","7076",""
"","","","","0","7","","32","11","7077",""
"","","","","0","7","","93","1","7078",""
"","","","","0","7","","4","11","7079",""
"","0","130","","980","7","7","2","11","7080",""
"","","","","0","7","","93","1.5","7081",""
"","","","","1","7","","32","11","7082",""
"","","","","smokeL","7","","37","11","7083",""
"","0","-130","","980","7","5.964","33","11","7084",""
"0","","1","","top_iroha_run_joy","7","","3","2","7085",""
"","","","","0","7","","4","2","7086",""
"","0","-130","","980","7","5.964","2","2","7087",""
"","","","","0","7","","93","2.2","7088",""
"0","","1","","top_luis_surprise_look","7","","3","1","7089",""
"","","","","0","7","","93","1.8","7090",""
"0","","1","","top_sono_notice_loop_look","7","","3","3","7091",""
"","","","","0","7","","93","1.964","7092",""
"","","","","0","7","","32","11","7093",""
"","","","","0","7","","93","0.5","7094",""
"0.2","","1","","top_luis_thinking","7","","3","1","7095",""
"","","","","0","7","","93","1.5","7096",""
"0","","1","","top_iroha_walk","7","","3","2","7097",""
"","","","","1","7","","4","2","7098",""
"","0","-130","","1032","7","0","2","2","7099",""
"","0","-130","","1032","7","0","33","11","7100",""
"","0","-130","","452","7","3","2","2","7101",""
"","0","-130","","452","7","3","33","11","7102",""
"","","","","0","7","","93","3","7103",""
"0.2","1","0","","top_iroha_walk_out","7","idle_normal","3","2","7104","0"
"","","","","0","7","","93","0.4","7105",""
"0.2","1","0","","top_iroha_sit_in","7","top_iroha_read_loop","3","2","7106","0.2"
"0.2","","1","","top_sono_readPaper","7","","3","3","7107",""
"","","","","0","7","","93","4","7108",""
"","","","","0","7","","93","9.6","7109",""
"0.2","1","0","","top_sono_sit_out","7","top_sono_stretch","3","3","7110","0"
"","0","-130","","287","7","0.3","2","3","7111",""
"","","","","0","7","","93","3.5","7112",""
"0.2","","1","","top_sono_drink","7","","3","3","7113",""
"","","","","0","7","","93","2.6","7114",""
"0.4","","0","","top_iroha_read_look","7","","3","2","7115",""
"","","","","0","7","","93","3.5","7116",""
"0.2","","1","","top_luis_thinking_look","7","","3","1","7117",""
"","","","","0","7","","93","2.9","7118",""
"0.2","","1","","top_luis_thinking","7","","3","1","7119",""
"","","","","0","7","","93","1.5","7120",""
"0.2","","0","","top_sono_sit_in","7","","3","3","7121",""
"","","","","0","7","","93","0.1","7122",""
"0.2","","1","","top_iroha_read_loop","7","","3","2","7123",""
"","0","-130","","350","7","0.3","2","3","7124",""
"","","","","0","7","","93","2.5","7125",""
"0.2","","1","","top_sono_readPaper_loop","7","","3","3","7126",""
"","","","","0","7","","93","1","7127",""
"","","","","","7","","101","7012","7128",""
"1.4","-130","100","sit_readPaper","3","11","350","5","3","11001","1"
"1.5","-150","102","empty","1","11","950","5","1","11002","0"
"1","1","475","","10","11","-18","31","10","11003",""
"0","1","350","","11","11","-130","31","11","11004",""
"","","","","0","11","","91","0","11005",""
"","","","","1","11","","93","0.5","11006",""
"","","0","","vo_alces_1100","11","0","21","vo_alces","11007",""
"10","0","10","0.5","…………\n…………","11","1","11","3","11008","0"
"","","0","","","11","0","91","0","11009",""
"0.2","1","0","","sit_readPaperTurn","11","sit_readPaper","3","3","11010","0"
"","","","","1","11","","93","1","11011",""
"","","","","0","11","","93","1","11012",""
"0.2","","1","","sit_readPaper_surprise","11","","3","3","11013",""
"","","0","","vo_alces_1101","11","0","21","vo_alces","11014",""
"10","0","10","0.5","…………\n…………","11","1","11","3","11015","0"
"","","0","","","11","0","91","0","11016",""
"","","","","0","11","","93","1","11017",""
"","","","","se_alces_emotion_exQuestion","11","","23","se_alces","11018",""
"10","0","0.2","","3","11","0","12","3","11019","0"
"0.1","1","0","","sit_readPaper_notice_in","11","sit_readPaper_notice_loop","3","3","11020","0"
"","","","","0","11","","93","1.2","11021",""
"0.2","1","0","","sit_readPaper_kira_in","11","sit_readPaper_kira_talk","3","3","11022","0"
"","","0","","vo_alces_1102","11","0","21","vo_alces","11023",""
"0","0","10","3.2","……っ！！\nトマト３個入りパック150ルピ！？\n神か！？","11","1","11","3","11024","0"
"","","","","","11","","91","0","11025",""
"","","","","0.5","11","","22","0","11026",""
"0.2","","1","","sit_out_readPaper_light","11","","3","3","11027",""
"","","","","0","11","","93","0.5","11028",""
"0.2","","1","","sono_walletPick_in","11","","3","3","11029",""
"","","","","0","11","","93","1.8","11030",""
"0.2","1","0","","sono_walk_quick_R_in","11","sono_walk_quick_R","3","3","11031","0"
"","","","","1","11","","32","11","11032",""
"","0","-130","","1500","11","3.3","2","3","11033",""
"","0","-130","","1500","11","3.3","33","11","11034",""
"","","","","0","11","","93","1","11035",""
"0.2","1","0","","luis_walk_furimuki_in","11","luis_walk_furimuki","3","1","11036","0"
"","0","-150","","350","11","4","2","1","11037",""
"","","","","0","11","","93","4","11038",""
"0.2","1","0","","luis_walk_to_idle","11","luis_sad_idle","3","1","11039","0"
"","","","","se_alces_emotion_question","11","","23","se_alces","11040",""
"0","0","1.3","","5","11","0","12","1","11041","0"
"","","","","0","11","","93","2.1","11042",""
"0.2","","1","","idle_normal","11","","3","1","11043",""
"","","","","0","11","","22","0","11044",""
"","","","","0","11","","93","3","11045",""
"","","0","","","11","0","101","11045","11046",""
"1.45","-190","101","luis_run_dash_pain","1","12","400","5","1","12001","0"
"1.45","-190","102","empty","1001","12","-85","5","10","12002","0"
"","1","400","","11","12","-190","31","11","12003",""
"","","","","130","12","","13","1","12004",""
"1.45","-190","102","empty","105111","12","1050","1","1","12005","1"
"1.45","-190","103","empty","1002","12","1050","5","10","12006","1"
"0","1","-85","","12","12","-190","31","12","12007",""
"","","","","0","12","","91","0","12008",""
"","0","-190","","-85","12","1.3","2","1","12009",""
"","0","-190","","-85","12","1.3","33","11","12010",""
"","","","","1","12","","32","11","12011",""
"","","","","sweatR_run","12","","37","11","12012",""
"","","","","0","12","","93","1.3","12013",""
"0.2","1","0","","luis_run_turn","12","anger_talk_Ex0001","3","1","12014","0"
"","","0","","vo_alces_1200","12","0","21","vo_alces","12015",""
"0","0","10","1","ちょ、あの人なんで\n私を追いかけてくるの！？","12","1","11","1","12016","0"
"","","0","","","12","0","91","0","12017",""
"0.2","","1","","sad_talk_normalR","12","","3","1","12018",""
"","","0","","vo_alces_1201","12","0","21","vo_alces","12019",""
