2ea7fc6afe8aeb28482a27d56087bb4add7e3cb64761a82c5c75e92148f7545a,00ddac583f0585e11b3177db33a503f2acf0557e1013e6b8c9e01e09ec710f94,63679609f053aeefd2d89b8b88fc1a32bdb63df0a8eb5ae1f0d461497a3ae581,688f78339799d47fefd742c2ebd12a4eab3ac67f6ec068eeeb109b1d6cc269f7,3d7058c135cc3e964c0396d854ad5eef90b89c04b745174c26e7dc104bd32379,d0526832ce12bf33c897c65ad14e180c6c5b0cd350ba7f30f45971e8122f759e,c6c9c4db0b24eb3262beca8902440996261b771282537bd876fe1dc5af0ce85e,33e53c59d364c1f40c520d0545748aafff69b8b28ed582d4477c48965321f482,ca5d8e1f7a6f2fe6408e407ba8c52a9c140edc66f2de07877255831594e93e42
"20","21600","","432000","4","12","94002","","108000"
"21","21600","","474000","4","12","94002","","118500"
"22","21600","","516000","4","12","94002","","129000"
"23","21600","","562000","4","12","94002","","140500"
"24","21600","","600000","4","12","94002","","150000"
"25","21600","","642000","4","12","94002","","160500"
"26","21600","","684000","4","12","94002","","171000"
"27","21600","","726000","4","12","94002","","181500"
"28","21600","","768000","4","12","94002","","192000"
"29","21600","","810000","4","12","94002","","202500"
"30","21600","","852000","4","12","94002","","213000"
"31","21600","","894000","4","12","94002","","223500"
"32","21600","","920000","4","12","94002","","230000"
"33","21600","","940000","4","12","94002","","235000"
"34","21600","","960000","4","12","94002","","240000"
"35","21600","","980000","4","12","94002","","245000"
"36","21600","","1000000","4","12","94002","","250000"
"1","21600","","48","5","6","93001","","12"
"1","21600","","48","6","6","93001","","12"
"1","21600","","48","7","6","93001","","12"
"1","21600","","48","8","6","93001","","12"
"1","21600","","48","11","6","93001","","12"
"1","21600","","48","12","6","93001","","12"
"1","21600","","48","19","6","93001","","12"
"0","0","4999999999","0","23","0","0","14999999999","1"
"1","21600","","48","25","6","93001","","12"
"1","21600","","48","28","6","93001","","12"
"1","21600","","48","30","6","93001","","12"
