8c6d89d369cf5cc2ea68802d36652bfe1ac470a7a0695bb35e41ea3cdbb4f341,c963a1c385c10f3c9464b451f617b2769ac6c3e4f213208bf1574c1571bbddc0,22dda74551b722271d52f739e0b9ded8d6563dc4be269232bb371ad3ac2ebdc5,81e94225cff977229d1ec52ee67bcafbdc9170b5dbe0ac5e0b534a73cbd52e27,25b5d0c58051a58feb5facfe882d7d2d1ca8c0295074731e34970389595cc3e4,d62e10d1d3f0d3737c7be20bfc05b31206e1771a8f32443a985fe4e4418895ca,d0cf4a4b66d93e441c8708f2752119b3dc88123ab304805326b9cf320f32709c,74b7cb235d9ddca305bb1dfe404d7ea9fcad8d2239f8dcba2e488182cd6cae5b,34337f8905c95e695822cbb10efb3766822af1e117df77c2f61b9bce4425965b,9610f37803bfe9982842b90599233ba41bc87d23758f49d0aba38d420fc494ab,a7a8a2939ced53be797e4ef1418d32ec3e6d76120625df55c7d127f87bcd4ade
"","","","","1007401","","se_10031400_love","","se_10031400","23","1007401046"
"","","","","1007401","","","","1007401041","91","1007401047"
"","","","","1007401","","0","","3","93","1007401048"
"0.2","","","","1007401","1","mhp_sit_talk_worry","","117531","3","1007401049"
"","","","","1007401","0","vo_mhp_4005","0","vo_mhp_1007401","21","1007401050"
"0","0","0.5","0","1007401","7","どうしたの？　顔が真っ赤よ？","1","117531","11","1007401051"
"","","","","1007401","","","","0","91","1007401052"
"","","","","1007401","","0","","123","32","1007401053"
"0.2","","","","1007401","1","mhp_sit_idle","","117531","3","1007401054"
"0.2","","","","1007401","1","mhp_yui_sit_talk_worry","","100211","3","1007401055"
"0.2","","","","1007401","1","NoItem","","31","3","1007401056"
"","","","","1007401","0","vo_mhp_4006","0","vo_mhp_1007401","21","1007401057"
"0","0","0.5","0","1007401","5","そ、それが、ここのところ急に\n顔が火照ってしまうんです……\nこれって、何かの病気なんでしょうか？","1","100211","11","1007401058"
"","","","","1007401","","","","0","91","1007401059"
"0.2","0","","","1007401","1","mhp_yui_sit_idle_sad","","100211","3","1007401060"
"0.2","0","","","1007401","1","mhp_sit_talk_thinking","","117531","3","1007401061"
"","","","","1007401","0","vo_mhp_4007","0","vo_mhp_1007401","21","1007401062"
"0","0","0.5","0","1007401","5","今すぐ断定はできないわ\nでも、もしかしたら大きな病気\nそれも不治の病かもしれないわね。","1","117531","11","1007401063"
"","","","","1007401","","","","0","91","1007401064"
"0.2","","","","1007401","1","mhp_sit_idle_thinking","","117531","3","1007401065"
"0.2","","","","1007401","1","mhp_yui_sit_talk_sad","","100211","3","1007401066"
"","","","","1007401","0","vo_mhp_4008","0","vo_mhp_1007401","21","1007401067"
"0","0","0.5","0","1007401","8","そんな……","1","100211","11","1007401068"
"","","","","1007401","","","","0","91","1007401069"
"0.2","","","","1007401","1","mhp_yui_sit_idle_sad","","100211","3","1007401070"
"0.2","","","","1007401","1","mhp_sit_talk_normal","","117531","3","1007401071"
"","","","","1007401","0","vo_mhp_4009","0","vo_mhp_1007401","21","1007401072"
"0","0","0.5","0","1007401","6","普通なら命にかかわることはないけど\nこじらせると大変なことになるわ\nだから今日のところはひとまず――","1","117531","11","1007401073"
"","","","","1007401","","","","0","91","1007401074"
"","","","","1007401","","0","","0","22","1007401075"
"","","","","1007401","0","1007401079","","冷たいタオルをおでこに当てなさい。","103","1007401076"
"","","","","1007401","0","1007401125","","何も考えずゆっくり休みなさい。","103","1007401077"
"","","","","1007401","0","1007401142","","特製のカンポーを出しておくわ。","103","1007401078"
"0.2","1","","0","1007401","0","mhp_sit_out","mhp_idle_normal","117531","3","1007401079"
"","","","","1007401","","0","","0.6","93","1007401080"
"0.2","1","","0","1007401","0","mhp_sit_out","mhp_idle_normal","100211","3","1007401081"
"","","","","1007401","","0","","0.2","93","1007401082"
"0.2","0","","","1007401","1","mhp_walk","","100211","3","1007401083"
"","0","","","1007401","-220","35","1.5","100211","2","1007401084"
"","0","","","1007401","-220","35","1.5","31","2","1007401085"
"","0","","","1007401","-220","35","1.5","11","2","1007401086"
"","0","","","1007401","-220","35","1.5","12","2","1007401087"
"","","","","1007401","","0","","0.3","93","1007401088"
"0.2","1","","0","1007401","0","mhp_handover_in","mhp_handover_loop","117531","3","1007401089"
"0","1","","0","1007401","1","1","1","21","6","1007401090"
"0","1","","0","1007401","1","1","1","22","6","1007401091"
"0.2","1","","0","1007401","0","mhp_handover_in","mhp_handover_loop","21","3","1007401092"
"0.2","1","","0","1007401","0","mhp_item_EX0015_handover_in","mhp_item_EX0015_handover_loop","22","3","1007401093"
"","","","","1007401","","0","","1.2","93","1007401094"
"0.2","1","","0","1007401","0","mhp_handover_receive_in","mhp_handover_receive_loop","100211","3","1007401095"
"0","1","","0","1007401","1","1","1","11","6","1007401096"
"0","1","","0","1007401","1","1","1","12","6","1007401097"
"0.2","1","","0","1007401","0","mhp_receive_yui_in","mhp_receive_yui_loop","11","3","1007401098"
"0.2","1","","0","1007401","0","mhp_item_EX0015_receive_in","mhp_item_EX0015_receive_loop","12","3","1007401099"
"","","","","1007401","","0","","0.6","93","1007401100"
"0.4","1","","0","1007401","1","1","1","22","6","1007401101"
"","","","","1007401","","0","","0.4","93","1007401102"
"0.2","1","","0","1007401","0","mhp_handover_out","mhp_idle_normal","117531","3","1007401103"
"0.2","1","","0","1007401","0","mhp_handover_out","NoItem_idle","21","3","1007401104"
"0.2","1","","0","1007401","0","mhp_item_EX0015_handover_out","NoItem_idle","22","3","1007401105"
"","","","","1007401","","0","","0.4","93","1007401106"
"0.2","1","","0","1007401","0","mhp_handover_receive_out","mhp_idle_normal","100211","3","1007401107"
"0.2","1","","0","1007401","0","mhp_receive_yui_out","NoItem_idle","11","3","1007401108"
"0.2","1","","0","1007401","0","mhp_item_EX0015_receive_out","NoItem_idle","12","3","1007401109"
"","","","","1007401","","0","","2","93","1007401110"
"0.2","","","","1007401","1","mhp_talk_worry","","100211","3","1007401111"
"","","","","1007401","0","vo_mhp_4010","0","vo_mhp_1007401","21","1007401112"
"0","0","0.5","0","1007401","7","こ、これで治るんですか？","1","100211","11","1007401113"
"","","","","1007401","","","","0","91","1007401114"
"0.2","","","","1007401","1","mhp_idle_worry","","100211","3","1007401115"
"0.2","","","","1007401","1","mhp_talk_normal","","117531","3","1007401116"
"","","","","1007401","0","vo_mhp_4011","0","vo_mhp_1007401","21","1007401117"
"0","0","0.5","0","1007401","5","いいえ、単なる対処療法よ\nでも今はそれで十分\nまた何かあったら訪ねてきなさい。","1","117531","11","1007401118"
"","","","","1007401","","","","0","91","1007401119"
"","","","","1007401","","0","","0","22","1007401120"
"0.2","1","","0.2","1007401","0","mhp_sit_in","mhp_sit_idle","117531","3","1007401121"
"0.2","","","","1007401","0","mhp_yui_pekori","","100211","3","1007401122"
"","","","","1007401","","","","0","91","1007401123"
"","","","","1007401","","","","1007401186","101","1007401124"
"0.2","","","","1007401","1","mhp_sit_idle","","117531","3","1007401125"
"0.2","","","","1007401","1","mhp_sit_talk_worry","","100211","3","1007401126"
"","","","","1007401","0","vo_mhp_4012","0","vo_mhp_1007401","21","1007401127"
"0","0","0.5","0","1007401","8","あの、お薬とかは……","1","100211","11","1007401128"
"","","","","1007401","","","","0","91","1007401129"
"0.2","","","","1007401","1","mhp_sit_idle_sad","","100211","3","1007401130"
"0.2","","","","1007401","1","mhp_sit_talk_thinking","","117531","3","1007401131"
"","","","","1007401","0","vo_mhp_4013","0","vo_mhp_1007401","21","1007401132"
"0","0","0.5","0","1007401","5","必要ないわ。色々考えすぎるのが\nよくないの、だから心穏やかに\n過ごすのが一番よ。","1","117531","11","1007401133"
"","","","","1007401","","","","0","91","1007401134"
"","","","","1007401","","0","","0","22","1007401135"
"0.2","","","","1007401","1","mhp_sit_idle","","117531","3","1007401136"
"0.2","","","","1007401","0","mhp_yui_sit_pekori","","100211","3","1007401137"
"","","","","1007401","","","","0","91","1007401138"
"0.2","","","","1007401","0","mhp_sit_out","","100211","3","1007401139"
"","","","","1007401","","","","0","91","1007401140"
"","","","","1007401","","","","1007401186","101","1007401141"
"0.2","1","","0","1007401","0","mhp_sit_out","mhp_idle_normal","117531","3","1007401142"
"","","","","1007401","","0","","0.6","93","1007401143"
"0.2","1","","0","1007401","0","mhp_sit_out","mhp_idle_normal","100211","3","1007401144"
"","","","","1007401","","0","","0.2","93","1007401145"
"0.2","0","","","1007401","1","mhp_walk","","100211","3","1007401146"
"","0","","","1007401","-220","35","1.5","100211","2","1007401147"
"","0","","","1007401","-220","35","1.5","31","2","1007401148"
"","0","","","1007401","-220","35","1.5","11","2","1007401149"
"","0","","","1007401","-220","35","1.5","12","2","1007401150"
"","","","","1007401","","0","","0.3","93","1007401151"
"0.2","1","","0","1007401","0","mhp_handover_in","mhp_handover_loop","117531","3","1007401152"
"0","1","","0","1007401","1","1","1","21","6","1007401153"
"0","1","","0","1007401","1","1","1","22","6","1007401154"
"0.2","1","","0","1007401","0","mhp_handover_in","mhp_handover_loop","21","3","1007401155"
"0.2","1","","0","1007401","0","mhp_item_EX0007_handover_in","mhp_item_EX0007_handover_loop","22","3","1007401156"
"","","","","1007401","","0","","1.2","93","1007401157"
"0.2","1","","0","1007401","0","mhp_handover_receive_in","mhp_handover_receive_loop","100211","3","1007401158"
"0","1","","0","1007401","1","1","1","11","6","1007401159"
"0","1","","0","1007401","1","1","1","12","6","1007401160"
"0.2","1","","0","1007401","0","mhp_receive_yui_in","mhp_receive_yui_loop","11","3","1007401161"
"0.2","1","","0","1007401","0","mhp_item_EX0007_receive_in","mhp_item_EX0007_receive_loop","12","3","1007401162"
"","","","","1007401","","0","","0.6","93","1007401163"
"0.4","1","","0","1007401","1","1","1","22","6","1007401164"
"","","","","1007401","","0","","0.4","93","1007401165"
"0.2","1","","0","1007401","0","mhp_handover_out","mhp_idle_normal","117531","3","1007401166"
"0.2","1","","0","1007401","0","mhp_handover_out","NoItem_idle","21","3","1007401167"
"0.2","1","","0","1007401","0","mhp_item_EX0007_handover_out","NoItem_idle","22","3","1007401168"
"","","","","1007401","","0","","0.4","93","1007401169"
"0.2","1","","0","1007401","0","mhp_handover_receive_out","mhp_idle_normal","100211","3","1007401170"
"0.2","1","","0","1007401","0","mhp_receive_yui_out","NoItem_idle","11","3","1007401171"
"0.2","1","","0","1007401","0","mhp_item_EX0007_receive_out","NoItem_idle","12","3","1007401172"
"","","","","1007401","","0","","2","93","1007401173"
"0.2","","","","1007401","1","mhp_talk_wish","","100211","3","1007401174"
"","","","","1007401","0","vo_mhp_4014","0","vo_mhp_1007401","21","1007401175"
"0","0","0.5","0","1007401","5","カンポー……なんだかよく効きそう……\nありがとうございます、ミツキさん","1","100211","11","1007401176"
"","","","","1007401","","","","0","91","1007401177"
"0.2","","","","1007401","1","mhp_idle_wish","","100211","3","1007401178"
"0.2","","","","1007401","1","mhp_talk_thinking","","117531","3","1007401179"
"","","","","1007401","0","vo_mhp_4015","0","vo_mhp_1007401","21","1007401180"
"0","0","0.5","0","1007401","7","（まあ、滋養強壮のカンポーだから\n全然関係ないんだけどね）","1","117531","11","1007401181"
"","","","","1007401","","","","0","91","1007401182"
"","","","","1007401","","0","","0","22","1007401183"
"0.2","1","","0.2","1007401","0","mhp_sit_in","mhp_sit_idle","117531","3","1007401184"
"0.2","","","","1007401","0","mhp_yui_pekori","","100211","3","1007401185"
"","","","","1007401","","","","0","91","1007401186"
"0.2","","","","1007401","1","mhp_walk","","100211","3","1007401187"
"","","","","1007401","","1","","100211","4","1007401188"
"","0","","","1007401","-220","-1000","5","100211","2","1007401189"
"","","","","1007401","","0","","4","93","1007401190"
"0.2","","","","1007401","1","mhp_sit_talk_worry","","117631","3","1007401191"
"","","","","1007401","0","vo_mhp_4016","0","vo_mhp_1007401","21","1007401192"
"0","0","0.5","0","1007401","5","先生、あの人って本当に病気なの？","1","117631","11","1007401193"
"","","","","1007401","","","","0","91","1007401194"
"0.2","","","","1007401","1","mhp_sit_idle","","117631","3","1007401195"
"0.2","","","","1007401","1","mhp_sit_talk_thinking","","117531","3","1007401196"
"","","","","1007401","0","vo_mhp_4017","0","vo_mhp_1007401","21","1007401197"
"","0","0.5","0","1007401","4","ええ、かなりの重病よ\nこれはしっかりと診てあげないとね\nふふ、若い子っていいわね♪","1","117531","11","1007401198"
"","","","","1007401","","","","0","91","1007401199"
"","","","","1007401","","0.5","","0","22","1007401200"
"","","","","1007401","","","","0","91","1007401201"
"1.7","-240","mhp_idle_normal","0","1007402","100","100211","-1000","1","1","1007402001"
"1.7","-220","mhp_sit_idle","1","1007402","100","117531","185","1","1","1007402002"
"1.7","-200","mhp_sit_idle","1","1007402","100","117631","365","1","1","1007402003"
"1","0.85","","","1007402","-240","1","-154","1","31","1007402004"
"1.7","-220","NoItem","0","1007402","110","11","-200","1","5","1007402005"
"1.7","-220","NoItem","0","1007402","105","12","-200","1","5","1007402006"
"1.7","-220","NoItem","1","1007402","110","21","185","1","5","1007402007"
"1.7","-220","NoItem","1","1007402","105","22","185","1","5","1007402008"
"0","0","","0","1007402","1","1","1","11","6","1007402009"
"0","0","","0","1007402","1","1","1","12","6","1007402010"
"0","0","","0","1007402","1","1","1","21","6","1007402011"
"0","0","","0","1007402","1","1","1","22","6","1007402012"
"1.7","-220","NoItem","0","1007402","110","31","-1000","1","5","1007402013"
"","","","","1007402","","","","0","91","1007402014"
"0.2","","","","1007402","1","mhp_sit_talk_normal","","117531","3","1007402015"
"","","","","1007402","0","vo_mhp_4101","0","vo_mhp_1007402","21","1007402016"
"0","0","0.5","0","1007402","8","ユイちゃん、どうぞー","0","117531","11","1007402017"
"","","","","1007402","","","","0","91","1007402018"
"0.2","","","","1007402","1","mhp_sit_idle","","117531","3","1007402019"
"0.2","","","","1007402","1","mhp_yui_walk_sad2","","100211","3","1007402020"
"","0","","","1007402","-220","-200","4","100211","2","1007402021"
"","","","","1007402","","","","0","91","1007402022"
"0.2","1","","0.2","1007402","0","mhp_yui_sit_in_sad","mhp_yui_sit_idle_sad","100211","3","1007402023"
"","","","","1007402","","0","","1","93","1007402024"
"0.2","","","","1007402","1","mhp_sit_talk_normal","","117531","3","1007402025"
"","","","","1007402","0","vo_mhp_4102","0","vo_mhp_1007402","21","1007402026"
"0","0","0.5","0","1007402","5","よく来たわね\n今日はもしかして胸の苦しみ、かしら？","1","117531","11","1007402027"
"","","","","1007402","","","","0","91","1007402028"
"0.2","","","","1007402","1","mhp_sit_idle","","117531","3","1007402029"
"0.2","","","","1007402","1","mhp_yui_sit_talk_surprise","","100211","3","1007402030"
"","","","","1007402","0","vo_mhp_4103","0","vo_mhp_1007402","21","1007402031"
"0","0","0.5","0","1007402","6","ま、まだ何も言っていないのに！？\nさすがミツキさんですね……","1","100211","11","1007402032"
"","","","","1007402","","","","0","91","1007402033"
"0.2","","","","1007402","1","mhp_yui_sit_talk_sad","","100211","3","1007402034"
"","","","","1007402","0","vo_mhp_4104","0","vo_mhp_1007402","21","1007402035"
"0","0","0.5","0","1007402","4","そうなんです、胸が苦しくて\n仕方ないんです……\nや、やっぱり重病なんでしょうか……","1","100211","11","1007402036"
"","","","","1007402","","","","0","91","1007402037"
"0.2","","","","1007402","1","mhp_yui_sit_idle_sad","","100211","3","1007402038"
"0.2","","","","1007402","1","mhp_sit_talk_sad2","","117531","3","1007402039"
"","","","","1007402","0","vo_mhp_4105","0","vo_mhp_1007402","21","1007402040"
"0","0","0.5","0","1007402","6","前にも言ったけど、直接命にかかわる\nことはないわ。でも、時に死ぬよりも\n苦しいことになる可能性もあるわね。","1","117531","11","1007402041"
"","","","","1007402","","","","0","91","1007402042"
"0.2","","","","1007402","1","mhp_sit_idle","","117531","3","1007402043"
"0.2","","","","1007402","1","mhp_yui_sit_talk_wish","","100211","3","1007402044"
"","","","","1007402","0","vo_mhp_4106","0","vo_mhp_1007402","21","1007402045"
"0","0","0.5","0","1007402","6","そんな……\nわ、わたし、どうすれば……","1","100211","11","1007402046"
"","","","","1007402","","","","0","91","1007402047"
"0.2","","","","1007402","1","mhp_yui_sit_idle_sad","","100211","3","1007402048"
"0.2","","","","1007402","1","mhp_sit_talk_wish","","117531","3","1007402049"
"","","","","1007402","0","vo_mhp_4107","0","vo_mhp_1007402","21","1007402050"
"0","0","0.5","0","1007402","6","大丈夫、そのための医者ですもの\nさて、胸の苦しさには――","1","117531","11","1007402051"
"","","","","1007402","","","","0","91","1007402052"
"","","","","1007402","","0","","0","22","1007402053"
"","","","","1007402","0","1007402057","","動悸の薬を処方するわ。","103","1007402054"
"","","","","1007402","0","1007402102","","オーエド土産の甘いお菓子よ。","103","1007402055"
"","","","","1007402","0","1007402147","","羊の数でも数えなさい。","103","1007402056"
"0.2","1","","0","1007402","0","mhp_sit_out","mhp_idle_normal","117531","3","1007402057"
"","","","","1007402","","0","","0.6","93","1007402058"
"0.2","1","","0","1007402","0","mhp_sit_out","mhp_idle_normal","100211","3","1007402059"
"","","","","1007402","","0","","0.2","93","1007402060"
"0.2","0","","","1007402","1","mhp_walk","","100211","3","1007402061"
"","0","","","1007402","-220","35","1.5","100211","2","1007402062"
"","0","","","1007402","-220","35","1.5","31","2","1007402063"
"","0","","","1007402","-220","35","1.5","11","2","1007402064"
"","0","","","1007402","-220","35","1.5","12","2","1007402065"
"","","","","1007402","","0","","0.3","93","1007402066"
"0.2","1","","0","1007402","0","mhp_handover_in","mhp_handover_loop","117531","3","1007402067"
"0","1","","0","1007402","1","1","1","21","6","1007402068"
"0","1","","0","1007402","1","1","1","22","6","1007402069"
"0.2","1","","0","1007402","0","mhp_handover_in","mhp_handover_loop","21","3","1007402070"
"0.2","1","","0","1007402","0","mhp_item_EX0009_handover_in","mhp_item_EX0009_handover_loop","22","3","1007402071"
"","","","","1007402","","0","","1.2","93","1007402072"
"0.2","1","","0","1007402","0","mhp_handover_receive_in","mhp_handover_receive_loop","100211","3","1007402073"
"0","1","","0","1007402","1","1","1","11","6","1007402074"
"0","1","","0","1007402","1","1","1","12","6","1007402075"
"0.2","1","","0","1007402","0","mhp_receive_yui_in","mhp_receive_yui_loop","11","3","1007402076"
"0.2","1","","0","1007402","0","mhp_item_EX0009_receive_in","mhp_item_EX0009_receive_loop","12","3","1007402077"
"","","","","1007402","","0","","0.6","93","1007402078"
"0.4","1","","0","1007402","1","1","1","22","6","1007402079"
"","","","","1007402","","0","","0.4","93","1007402080"
"0.2","1","","0","1007402","0","mhp_handover_out","mhp_idle_normal","117531","3","1007402081"
"0.2","1","","0","1007402","0","mhp_handover_out","NoItem_idle","21","3","1007402082"
"0.2","1","","0","1007402","0","mhp_item_EX0009_handover_out","NoItem_idle","22","3","1007402083"
"","","","","1007402","","0","","0.4","93","1007402084"
"0.2","1","","0","1007402","0","mhp_handover_receive_out","mhp_idle_normal","100211","3","1007402085"
"0.2","1","","0","1007402","0","mhp_receive_yui_out","NoItem_idle","11","3","1007402086"
"0.2","1","","0","1007402","0","mhp_item_EX0009_receive_out","NoItem_idle","12","3","1007402087"
"","","","","1007402","","0","","2","93","1007402088"
"0.2","","","","1007402","1","mhp_talk_sad","","100211","3","1007402089"
"","","","","1007402","0","vo_mhp_4108","0","vo_mhp_1007402","21","1007402090"
"0","0","0.5","0","1007402","6","お薬もらえるとなんだか安心します\nこれで治るといいんですけど……","1","100211","11","1007402091"
"","","","","1007402","","","","0","91","1007402092"
"0.2","","","","1007402","1","mhp_idle_sad","","100211","3","1007402093"
"0.2","","","","1007402","1","mhp_idle_thinking","","117531","3","1007402094"
"","","","","1007402","0","vo_mhp_4109","0","vo_mhp_1007402","21","1007402095"
"0","0","0.5","0","1007402","6","（実際はただのラムネ菓子だけどね。\n本当の病気じゃないならこれが一番よ）","1","117531","11","1007402096"
"","","","","1007402","","","","0","91","1007402097"
"","","","","1007402","","0","","0","22","1007402098"
"0.2","1","","0.2","1007402","0","mhp_sit_in","mhp_sit_idle","117531","3","1007402099"
"","","","","1007402","","0","","1","93","1007402100"
"","","","","1007402","","","","1007402160","101","1007402101"
"0.2","1","","0","1007402","0","mhp_sit_out","mhp_idle_normal","117531","3","1007402102"
"","","","","1007402","","0","","0.6","93","1007402103"
"0.2","1","","0","1007402","0","mhp_sit_out","mhp_idle_normal","100211","3","1007402104"
"","","","","1007402","","0","","0.2","93","1007402105"
"0.2","0","","","1007402","1","mhp_walk","","100211","3","1007402106"
"","0","","","1007402","-220","35","1.5","100211","2","1007402107"
"","0","","","1007402","-220","35","1.5","31","2","1007402108"
"","0","","","1007402","-220","35","1.5","11","2","1007402109"
"","0","","","1007402","-220","35","1.5","12","2","1007402110"
"","","","","1007402","","0","","0.3","93","1007402111"
"0.2","1","","0","1007402","0","mhp_handover_in","mhp_handover_loop","117531","3","1007402112"
"0","1","","0","1007402","1","1","1","21","6","1007402113"
"0","1","","0","1007402","1","1","1","22","6","1007402114"
"0.2","1","","0","1007402","0","mhp_handover_in","mhp_handover_loop","21","3","1007402115"
"0.2","1","","0","1007402","0","mhp_item_EX0010_handover_in","mhp_item_EX0010_handover_loop","22","3","1007402116"
"","","","","1007402","","0","","1.2","93","1007402117"
"0.2","1","","0","1007402","0","mhp_handover_receive_in","mhp_handover_receive_loop","100211","3","1007402118"
"0","1","","0","1007402","1","1","1","11","6","1007402119"
"0","1","","0","1007402","1","1","1","12","6","1007402120"
"0.2","1","","0","1007402","0","mhp_receive_yui_in","mhp_receive_yui_loop","11","3","1007402121"
"0.2","1","","0","1007402","0","mhp_item_EX0010_receive_in","mhp_item_EX0010_receive_loop","12","3","1007402122"
"","","","","1007402","","0","","0.6","93","1007402123"
"0.4","1","","0","1007402","1","1","1","22","6","1007402124"
"","","","","1007402","","0","","0.4","93","1007402125"
"0.2","1","","0","1007402","0","mhp_handover_out","mhp_idle_normal","117531","3","1007402126"
"0.2","1","","0","1007402","0","mhp_handover_out","NoItem_idle","21","3","1007402127"
"0.2","1","","0","1007402","0","mhp_item_EX0010_handover_out","NoItem_idle","22","3","1007402128"
"","","","","1007402","","0","","0.4","93","1007402129"
"0.2","1","","0","1007402","0","mhp_handover_receive_out","mhp_idle_normal","100211","3","1007402130"
"0.2","1","","0","1007402","0","mhp_receive_yui_out","NoItem_idle","11","3","1007402131"
