75a204a4f830af5a36c712d8b68d9191637a47985cd797b75fb14cece7dbc28f,37a8a50d98b6c12c51af76fe785aaaf2a5c2240ada3b31a4b7ddc097742ba0ad,53ba2234f4bf280123dc251b4ef4e287030937305f1833908727d16b361e6013,4cccf8dd14e323d34afb9bc87bdbb013e608d05234902a1a61da1eeb9da3f4b7,192f70388a38d7404f15d5d5797b3b17cb33cc2fc5c2d6fa58c65414b756423e,5c00557c7199dc133bf810d8dd1782deb01ba2a3af2c7b7c06ce328c3e8321bc,74189d695b34411225608177192e038213c639148d8417b6db8463a53f447cea,0798293465e6ea12b1e874ecd51eb612e23915e01382219ba6d4790e7847ca6a
"11029","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1029","1","103401","0","0"
"11030","【仲間】最大2000マイルを入手する","3","1030","1","118001","0","0"
"11031","【仲間】福引券を1枚入手する","3","1031","1","102801","0","0"
"11032","【仲間】料理を1つ入手する","3","1032","1","100201","0","0"
"11033","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","3","1033","1","101201","0","0"
"11034","【仲間】ダイスの目を1回振りなおせる","3","1034","1","118201","0","0"
"11035","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1035","1","106101","0","0"
"11036","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","1036","1","103101","0","0"
"11037","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1037","1","103301","0","0"
"11038","【仲間】最大2000マイルを入手する","3","1038","1","103601","0","0"
"11039","【仲間】福引券を1枚入手する","3","1039","1","133001","0","0"
"11040","【仲間】料理を1つ入手する","3","1040","1","133101","0","0"
"11041","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1041","1","106801","0","0"
"11042","【仲間】ダイスの目を1回振りなおせる","3","1042","1","107101","0","0"
"11043","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1043","1","107001","0","0"
"11044","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","1044","1","106501","0","0"
"11045","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1045","1","111001","0","0"
"11046","【仲間】最大2000マイルを入手する","3","1046","1","134901","0","0"
"11047","【仲間】福引券を1枚入手する","3","1047","1","105401","0","0"
"11048","【仲間】料理を1つ入手する","3","1048","1","134701","0","0"
"11049","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1049","1","100101","0","0"
"11050","【仲間】ダイスの目を1回振りなおせる","3","1050","1","100701","0","0"
"11051","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1051","1","103001","0","0"
"11052","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","3","1052","1","101401","0","0"
"11053","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1053","1","135901","0","0"
"11054","【仲間】最大2000マイルを入手する","3","1054","1","102601","0","0"
"11055","【仲間】福引券を1枚入手する","3","1055","1","132401","0","0"
"11056","【仲間】料理を1つ入手する","3","1056","1","135801","0","0"
"11057","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1057","1","100301","0","0"
"11058","【仲間】ダイスの目を1回振りなおせる","3","1058","1","106701","0","0"
"11059","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1059","1","132301","0","0"
"11060","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","3","1060","1","105201","0","0"
"11061","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1061","1","102201","0","0"
"11062","【仲間】最大2000マイルを入手する","3","1062","1","100601","0","0"
"11063","【仲間】福引券を1枚入手する","3","1063","1","136201","0","0"
"11064","【仲間】料理を1つ入手する","3","1064","1","110901","0","0"
"11065","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","1065","1","103801","0","0"
"11066","【仲間】ダイスの目を1回振りなおせる","3","1066","1","101501","0","0"
"11067","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1067","1","102901","0","0"
"11068","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","3","1068","1","101701","0","0"
"11069","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1069","1","132501","0","0"
"11070","【仲間】最大2000マイルを入手する","3","1070","1","104201","0","0"
"11071","【仲間】福引券を1枚入手する","3","1071","1","101101","0","0"
"11072","【仲間】料理を1つ入手する","3","1072","1","104901","0","0"
"11073","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1073","1","101001","0","0"
"11074","【仲間】ダイスの目を1回振りなおせる","3","1074","1","135601","0","0"
"11075","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1075","1","135501","0","0"
"11076","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","3","1076","1","105501","0","0"
"11077","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1077","1","122301","0","0"
"11078","【仲間】最大2000マイルを入手する","3","1078","1","133601","0","0"
"11079","【仲間】福引券を1枚入手する","3","1079","1","102101","0","0"
"11080","【仲間】料理を1つ入手する","3","1080","1","102301","0","0"
