d61b294ee0ab1716283cb88936b78cb0ba7879973eb8f1b6c23596ed89277e9c,0d5e8ca88bfd85631c75c67da8538a1f38b487fb6a8ef5c498046f441cc1e32e,f20e10f0ed1b85628832adb2e62b7b28ce5ad3b5bea6388f42e8490304cc449c,81b87175392730117112299f86fcdb15cc8bd14062b1c610ba3f2f8730263912,f7706edea656821b67af4406a71cf66530fbe198392e974b7df35a6f80f5130d,4684afd947dc53d07a20a5ee38031b25054befb8dcd1e937bb77341287ed2ad3,482a91ff31ea9440bd279b71ec6a842c99e2ee5fb3419d106f38d63b23382280
"59","80006","2022/02/13 5:00:00","2022/02/14 4:59:59","3","9004015","0"
"60","80006","2022/02/14 5:00:00","2022/02/15 4:59:59","3","9004016","0"
"61","80006","2022/02/15 5:00:00","2022/02/16 4:59:59","3","9004017","1"
"62","70007","0","0","1","436","0"
"63","70007","0","0","2","437","0"
"64","70007","0","0","3","438","0"
"65","80007","2022/08/01 5:00:00","2022/08/02 4:59:59","3","9005001","0"
"66","80007","2022/08/02 5:00:00","2022/08/03 4:59:59","3","9005002","0"
"67","80007","2022/08/03 5:00:00","2022/08/04 4:59:59","3","9005003","0"
"68","80007","2022/08/04 5:00:00","2022/08/05 4:59:59","3","9005004","0"
"69","80007","2022/08/05 5:00:00","2022/08/06 4:59:59","3","9005005","0"
"70","80007","2022/08/06 5:00:00","2022/08/07 4:59:59","3","9005006","0"
"71","80007","2022/08/07 5:00:00","2022/08/08 4:59:59","3","9005007","0"
"72","80007","2022/08/08 5:00:00","2022/08/09 4:59:59","3","9005008","0"
"73","80007","2022/08/09 5:00:00","2022/08/10 4:59:59","3","9005009","0"
"74","80007","2022/08/10 5:00:00","2022/08/11 4:59:59","3","9005010","0"
"75","80007","2022/08/11 5:00:00","2022/08/12 4:59:59","3","9005011","0"
"76","80007","2022/08/12 5:00:00","2022/08/13 4:59:59","3","9005012","0"
"77","80007","2022/08/13 5:00:00","2022/08/14 4:59:59","3","9005013","0"
"78","80007","2022/08/14 5:00:00","2022/08/15 4:59:59","3","9005014","0"
"79","80007","2022/08/15 5:00:00","2022/08/16 4:59:59","3","9005015","1"
"80","70008","2022/12/24 5:00:00","2022/12/25 4:59:59","0","400","0"
"81","70008","2022/12/25 5:00:00","2022/12/26 4:59:59","0","401","0"
"82","70009","0","0","1","439","0"
"83","80008","2023/01/31 5:00:00","2023/02/01 4:59:59","3","9006001","0"
"84","80008","2023/02/01 5:00:00","2023/02/02 4:59:59","3","9006002","0"
"85","80008","2023/02/02 5:00:00","2023/02/03 4:59:59","3","9006003","0"
"86","80008","2023/02/03 5:00:00","2023/02/04 4:59:59","3","9006004","0"
"87","80008","2023/02/04 5:00:00","2023/02/05 4:59:59","3","9006005","0"
"88","80008","2023/02/05 5:00:00","2023/02/06 4:59:59","3","9006006","0"
"89","80008","2023/02/06 5:00:00","2023/02/07 4:59:59","3","9006007","0"
"90","80008","2023/02/07 5:00:00","2023/02/08 4:59:59","3","9006008","0"
"91","80008","2023/02/08 5:00:00","2023/02/09 4:59:59","3","9006009","0"
"92","80008","2023/02/09 5:00:00","2023/02/10 4:59:59","3","9006010","0"
"93","80008","2023/02/10 5:00:00","2023/02/11 4:59:59","3","9006011","0"
"94","80008","2023/02/11 5:00:00","2023/02/12 4:59:59","3","9006012","0"
"95","80008","2023/02/12 5:00:00","2023/02/13 4:59:59","3","9006013","0"
"96","80008","2023/02/13 5:00:00","2023/02/14 4:59:59","3","9006014","0"
"97","80008","2023/02/14 5:00:00","2023/02/15 4:59:59","3","9006015","0"
"98","80008","2023/02/15 5:00:00","2023/02/16 4:59:59","3","9006016","1"
"99","80009","2023/08/01 5:00:00","2023/08/02 4:59:59","3","9007001","0"
"100","80009","2023/08/02 5:00:00","2023/08/03 4:59:59","3","9007002","0"
"101","80009","2023/08/03 5:00:00","2023/08/04 4:59:59","3","9007003","0"
"102","80009","2023/08/04 5:00:00","2023/08/05 4:59:59","3","9007004","0"
"103","80009","2023/08/05 5:00:00","2023/08/06 4:59:59","3","9007005","0"
"104","80009","2023/08/06 5:00:00","2023/08/07 4:59:59","3","9007006","0"
"105","80009","2023/08/07 5:00:00","2023/08/08 4:59:59","3","9007007","0"
"106","80009","2023/08/08 5:00:00","2023/08/09 4:59:59","3","9007008","0"
"107","80009","2023/08/09 5:00:00","2023/08/10 4:59:59","3","9007009","0"
"108","80009","2023/08/10 5:00:00","2023/08/11 4:59:59","3","9007010","0"
"109","80009","2023/08/11 5:00:00","2023/08/12 4:59:59","3","9007011","0"
"110","80009","2023/08/12 5:00:00","2023/08/13 4:59:59","3","9007012","0"
"111","80009","2023/08/13 5:00:00","2023/08/14 4:59:59","3","9007013","0"
"112","80009","2023/08/14 5:00:00","2023/08/15 4:59:59","3","9007014","0"
"113","80009","2023/08/15 5:00:00","2023/08/16 4:59:59","3","9007015","1"
"114","70010","2023/12/24 5:00:00","2023/12/25 4:59:59","0","400","0"
"115","70012","2023/12/25 5:00:00","2023/12/26 4:59:59","0","401","0"
"116","70011","0","0","1","440","0"
"117","80010","2024/01/31 5:00:00","2024/02/01 4:59:59","3","9008001","0"
"118","80010","2024/02/01 5:00:00","2024/02/02 4:59:59","3","9008002","0"
"119","80010","2024/02/02 5:00:00","2024/02/03 4:59:59","3","9008003","0"
"120","80010","2024/02/03 5:00:00","2024/02/04 4:59:59","3","9008004","0"
"121","80010","2024/02/04 5:00:00","2024/02/05 4:59:59","3","9008005","0"
"122","80010","2024/02/05 5:00:00","2024/02/06 4:59:59","3","9008006","0"
"123","80010","2024/02/06 5:00:00","2024/02/07 4:59:59","3","9008007","0"
"124","80010","2024/02/07 5:00:00","2024/02/08 4:59:59","3","9008008","0"
"125","80010","2024/02/08 5:00:00","2024/02/09 4:59:59","3","9008009","0"
"126","80010","2024/02/09 5:00:00","2024/02/10 4:59:59","3","9008010","0"
"127","80010","2024/02/10 5:00:00","2024/02/11 4:59:59","3","9008011","0"
"128","80010","2024/02/11 5:00:00","2024/02/12 4:59:59","3","9008012","1"
"129","80010","2024/02/12 5:00:00","2024/02/13 4:59:59","3","9008013","1"
"130","80010","2024/02/13 5:00:00","2024/02/14 4:59:59","3","9008014","1"
"131","80010","2024/02/14 5:00:00","2024/02/15 4:59:59","3","9008015","1"
"132","80010","2024/02/15 5:00:00","2024/02/16 4:59:59","3","9008016","1"
