e3938ce03b5e92ff543e1d8485eb24576ff36271dc2e7bd062ca46809b437e55,f1e863593597cdd951cdd1040a5e59f7145c3ae42003b61ef9e86660a6520720,46e9797ef559381e1da9e4201bdbf42f49bcc8c2a63b6408c8e9eac1cc76c8ba,3137a29510d4c37de7a6a6f9f77b4462357850f41c6125d4dede428d642bcfb9,70cebae75e0457da9623fa64c929ed423c8ee79a00c8688786421d7d5b5629f1,134ef1bfabb7ac363f644705f9b0356c984e89252debca9d4692109937d25ada,fa9e93a7efa6f83e8662e242bb12d6f9e6369608958634cc47db5971cf376a7b,f7226fc4c00434822e008fe69c033ec243566b1bb9de2e41281733b2449e0d83
"155","1500","5","31289","2","96008","5","8"
"156","1500","5","31287","2","96008","5","8"
"157","1500","5","31293","2","96008","5","8"
"158","2500","5","90005","2","96008","10","8"
"159","2500","10","140001","4","96008","50","8"
"160","1000","10","25001","2","96008","10","8"
"161","500","5","150003","4","96008","30","8"
"162","650","5","150004","4","96008","30","8"
"163","750","5","150005","4","96008","30","8"
"164","900","5","150006","4","96008","30","8"
"165","1000","5","150007","4","96008","30","8"
"166","1150","5","150008","4","96008","30","8"
"167","1300","5","150009","4","96008","30","8"
"168","2500","5","20004","2","96008","500","8"
"169","1000","5","22003","2","96008","500","8"
"170","1000","0","20004","2","96008","100","8"
"171","400","0","22003","2","96008","100","8"
