6157fd67471d090327735166012e4639b40595044b24a40c17f30a149eb7e9e7,b63508210681aed4847a157e8df060d07d8e3f8963ff680b4e038b7c4a4ce7ab,cfece5c58d6583a99d32ce089fa3337e8396a8a555985b07deebbecfb513eb22,95c5353d8e98e292f4c6d3bf6199f9948d5b30972718413c66fac8de581a80da,eadd771732c6460f87db13e091e3fcdbb860e66abf3b51e49b37cab1ead8b4ed,757c1930d5b49caf1a16053562ff3521f9cab3a87b7c48f90069e0eb31224614,7c152c4d960f6177972a2bc99f394197a5a2cadd7a3a886fb2d95a396fd13cef,f6a80c06ea145148f64bf1562441f2a721e7cf6b7b8d1367b91223ad2eabd325,577aa0e3863e7cf3fececaedebd74ca8e034aae30002d9980ce9b75cbd179dba,639e3ce42c8317e1facce71eff39e01ab1804eee56d43b01e4b454d42d322419,90bac3151ba5be2f608aa6ab916fac94bccb3b033267e1c957e9a2deb1b5d027,a2fb722ac56a7231a53f7d212ca01e6c439c1897ea9590b63d31f01b1e0e88ca
"515406304","2.25","0","4","0","0","0","0","5154063","0","4","1"
"515406305","0","0","2","0","vo_abd_0202","0","vo_abd","5154063","0","5","0"
"515406306","0","350","1","1.8","0","2","0","5154063","0","6","0"
"515406307","3","0","4","0","0","0","0","5154063","0","7","1"
"515406308","0","0","2","0","vo_abd_0203","0","vo_abd","5154063","0","8","0"
"515406309","0","315","1","1.5","0","3","0","5154063","0","9","0"
"515406310","1.8","0","4","0","0","0","0","5154063","0","10","1"
"515406311","0","0","2","0","vo_abd_0204","0","vo_abd","5154063","0","11","0"
"515406312","0","300","1","1.3","0","4","0","5154063","0","12","0"
"515406313","2.5","0","4","0","0","0","0","5154063","0","13","1"
"515406314","0","0","2","0","vo_abd_0205","0","vo_abd","5154063","0","14","0"
"515406315","0","360","1","1.5","0","5","0","5154063","0","15","0"
"515406316","2","0","4","0","0","0","0","5154063","0","16","1"
"515406317","0","0","2","0","vo_abd_0206","0","vo_abd","5154063","0","17","0"
"515406318","0","310","1","1.8","0","6","0","5154063","0","18","0"
"515406319","3","0","4","0","0","0","0","5154063","0","19","1"
"515406320","0","0","2","0","vo_abd_0207","0","vo_abd","5154063","0","20","0"
"515406321","0","245","1","1.2","0","8","0","5154063","0","21","0"
"515406322","1.6","0","4","0","0","0","0","5154063","0","22","1"
"515406323","0","400","1","0.45","0","8","0","5154063","245","23","0"
"515406324","0.45","0","4","0","0","0","0","5154063","0","24","1"
"515406325","0","0","2","0","vo_abd_0208","0","vo_abd","5154063","0","25","0"
"515406326","0","300","1","1.1","0","9","0","5154063","0","26","0"
"515406327","1.6","0","4","0","0","0","0","5154063","0","27","1"
"515406328","0","0","2","0","vo_abd_0209","0","vo_abd","5154063","0","28","0"
"515406329","0","280","1","0.5","0","10","0","5154063","0","29","0"
"515406330","0.5","0","4","0","0","0","0","5154063","0","30","1"
"515406331","0","0","2","0","vo_abd_0210","0","vo_abd","5154063","0","31","0"
"515406332","0","360","1","1","0","11","0","5154063","0","32","0"
"515406401","0.8","0","4","0","0","0","0","5154064","0","1","1"
"515406402","0","0","2","0","vo_abd_0301","0","vo_abd","5154064","0","2","0"
"515406403","0","330","1","2","0","1","0","5154064","0","3","0"
"515406404","2.8","0","4","0","0","0","0","5154064","0","4","1"
"515406405","0","0","2","0","vo_abd_0302","0","vo_abd","5154064","0","5","0"
"515406406","0","400","1","2","0","2","0","5154064","0","6","0"
"515406407","3.5","0","4","0","0","0","0","5154064","0","7","1"
"515406408","0","0","2","0","vo_abd_0303","0","vo_abd","5154064","0","8","0"
"515406409","0","425","1","2.8","0","3","0","5154064","0","9","0"
"515406410","3.5","0","4","0","0","0","0","5154064","0","10","1"
"515406411","0","0","2","0","vo_abd_0304","0","vo_abd","5154064","0","11","0"
"515406412","0","450","1","3","0","4","0","5154064","0","12","0"
"515406413","4","0","4","0","0","0","0","5154064","0","13","1"
"515406414","0","0","2","0","vo_abd_0305","0","vo_abd","5154064","0","14","0"
"515406415","0","35","1","0.2","0","5","0","5154064","0","15","0"
"515406416","1.05","0","4","0","0","0","0","5154064","0","16","1"
"515406417","0","420","1","2","0","5","0","5154064","45","17","0"
"515406418","3.5","0","4","0","0","0","0","5154064","0","18","1"
"515406419","0","0","2","0","vo_abd_0306","0","vo_abd","5154064","0","19","0"
"515406420","0","175","1","1","0","6","0","5154064","0","20","0"
"515406421","1.7","0","4","0","0","0","0","5154064","0","21","1"
"515406422","0","260","1","1","0","6","0","5154064","175","22","0"
"515406423","2.8","0","4","0","0","0","0","5154064","0","23","1"
"515406424","0","400","1","0.8","0","6","0","5154064","260","24","0"
"515406425","0.96","0","4","0","0","0","0","5154064","0","25","1"
"515406426","0","0","2","0","vo_abd_0307","0","vo_abd","5154064","0","26","0"
"515406427","0","245","1","1.5","0","7","0","5154064","0","27","0"
"515406428","1.7","0","4","0","0","0","0","5154064","0","28","1"
"515406429","0","400","1","0.8","0","7","0","5154064","245","29","0"
"515406430","2","0","4","0","0","0","0","5154064","0","30","1"
"515406431","0","0","2","0","vo_abd_0308","0","vo_abd","5154064","0","31","0"
"515406432","0","208","1","1","0","8","0","5154064","0","32","0"
"515406433","2","0","4","0","0","0","0","5154064","0","33","1"
"515406434","0","270","1","0.3","0","8","0","5154064","208","34","0"
"515406435","1.5","0","4","0","0","0","0","5154064","0","35","1"
"515406436","0","400","1","0.8","0","8","0","5154064","275","36","0"
"515406437","2","0","4","0","0","0","0","5154064","0","37","1"
"515406438","0","0","2","0","vo_abd_0309","0","vo_abd","5154064","0","38","0"
"515406439","0","300","1","2","0","9","0","5154064","0","39","0"
"515406440","2.65","0","4","0","0","0","0","5154064","0","40","1"
"515406441","0","425","1","1","0","9","0","5154064","300","41","0"
"515406442","2","0","4","0","0","0","0","5154064","0","42","1"
"515406443","0","0","2","0","vo_abd_0310","0","vo_abd","5154064","0","43","0"
"515406444","0","375","1","2.5","0","10","0","5154064","0","44","0"
"515406445","4","0","4","0","0","0","0","5154064","0","45","1"
"515406446","0","0","2","0","vo_abd_0311","0","vo_abd","5154064","0","46","0"
"515406447","0","165","1","1.2","0","11","0","5154064","0","47","0"
"515406448","2","0","4","0","0","0","0","5154064","0","48","1"
"515406449","0","295","1","1","0","11","0","5154064","165","49","0"
"515406450","2.5","0","4","0","0","0","0","5154064","0","50","1"
"515406451","0","400","1","0.5","0","11","0","5154064","295","51","0"
"515406501","0.8","0","4","0","0","0","0","5154065","0","1","1"
"515406502","0","0","2","0","vo_abd_0401","0","vo_abd","5154065","0","2","0"
"515406503","0","400","1","2","0","1","0","5154065","0","3","0"
"515406504","3.2","0","4","0","0","0","0","5154065","0","4","1"
"515406505","0","0","2","0","vo_abd_0402","0","vo_abd","5154065","0","5","0"
"515406506","0","400","1","2","0","2","0","5154065","0","6","0"
"515406507","3.7","0","4","0","0","0","0","5154065","0","7","1"
"515406508","0","0","2","0","vo_abd_0403","0","vo_abd","5154065","0","8","0"
"515406509","0","400","1","2","0","3","0","5154065","0","9","0"
"515406510","3","0","4","0","0","0","0","5154065","0","10","1"
"515406511","0","0","2","0","vo_abd_0404","0","vo_abd","5154065","0","11","0"
"515406512","0","155","1","1","0","4","0","5154065","0","12","0"
"515406513","1.15","0","4","0","0","0","0","5154065","0","13","1"
"515406514","0","425","1","1","0","4","0","5154065","155","14","0"
"515406515","2.5","0","4","0","0","0","0","5154065","0","15","1"
"515406516","0","0","2","0","vo_abd_0405","0","vo_abd","5154065","0","16","0"
"515406517","0","450","1","2.4","0","5","0","5154065","0","17","0"
"515406518","2.9","0","4","0","0","0","0","5154065","0","18","1"
"515406519","0","0","2","0","vo_abd_0407","0","vo_abd","5154065","0","19","0"
"515406520","0","300","1","1","0","6","0","5154065","0","20","0"
"515406521","1.5","0","4","0","0","0","0","5154065","0","21","1"
"515406522","0","0","2","0","vo_abd_0408","0","vo_abd","5154065","0","22","0"
"515406523","0","250","1","1","0","7","0","5154065","0","23","0"
"515406524","1","0","4","0","0","0","0","5154065","0","24","1"
"515406525","0","0","2","0","vo_abd_0409","0","vo_abd","5154065","0","25","0"
"515406526","0","250","1","1","0","8","0","5154065","0","26","0"
"515406527","2","0","4","0","0","0","0","5154065","0","27","1"
"515406528","0","0","2","0","vo_abd_0410","0","vo_abd","5154065","0","28","0"
"515406529","0","50","1","0.2","0","9","0","5154065","0","29","0"
"515406530","0.7","0","4","0","0","0","0","5154065","0","30","1"
"515406531","0","280","1","1.5","0","9","0","5154065","50","31","0"
"515406532","2.5","0","4","0","0","0","0","5154065","0","32","1"
"515406533","0","0","2","0","vo_abd_0411","0","vo_abd","5154065","0","33","0"
"515406534","0","35","1","0.2","0","10","0","5154065","0","34","0"
"515406535","1.08","0","4","0","0","0","0","5154065","0","35","1"
"515406536","0","107","1","0.3","0","10","0","5154065","35","36","0"
"515406537","0.9","0","4","0","0","0","0","5154065","0","37","1"
"515406538","0","425","1","1.5","0","10","0","5154065","107","38","0"
