bc31f2126dc1f50819f432a84d414c4e7c7635febbc4a0a117116a361649a943,96eb37bac7e6c589499c004e266bf0225bee03fc5b13ba72f19fe8103f3bb10f,7298edbe289cd4c2dea3653233c99815d5a491fcf727202f3df12b829186d807,bf1d62328d1f83907b2e321f30ed63a96e1c923cdb96b99849210a311479ebda,4fa9f65c8df95e3adb26e27541bb6ace02b8e74f899133711529205d5c8848fa,dabd413f3b053d5025e35877907339963e495c36b4f570b5e34ce964e3efe939,db834260196c07a3a09b3370800e3a8f043468331b5ec2c887b905ee0df58cef,206a8daca5eadd599024af6145b7e59c6e70127e67f22af532c6a2eecb0ac92e,cedb4042e265076715dbc53dfa929ae4602b90fa60502584c9548264fdbc8fe8,ac3ebc1e51c25125bdfdea8158ba78f35ee775c5da50b315102a1f381905f600,7e656f5127dadda939d7bb397473268acedf99c5ff6729ac3c58a40c1a313e53,675230fff9553e5d3846523236f4715cc5020d1666e2eb32b54c4cf86c03f9f0
"34","4","0","0","0","0","16","0","1160034","7","1","2.33961038961039"
"35","2","vo_10011600_1611","vo_10011600","0","0","16","0","1160035","0","0","0"
"36","1","0","0","190","360","16","0.706493506493507","1160036","7","0","0"
"37","4","0","0","0","0","16","0","1160037","7","1","1.00649350649351"
"38","2","vo_10011600_1612","vo_10011600","0","0","16","0","1160038","0","0","0"
"39","1","0","0","360","710","16","1.45454545454545","1160039","7","0","0"
"40","4","0","0","0","0","16","0","1160040","7","1","2.95454545454545"
"41","2","vo_10011600_1613","vo_10011600","0","0","16","0","1160041","0","0","0"
"42","1","0","0","710","770","16","0.249350649350649","1160042","7","0","0"
"43","4","0","0","0","0","16","0","1160043","7","1","0.749350649350649"
"44","2","vo_10011600_1614","vo_10011600","0","0","16","0","1160044","0","0","0"
"45","1","0","0","0","558","16","2.31896103896104","1160045","8","0","0"
"46","4","0","0","0","0","16","0","1160046","8","1","3.71896103896104"
"47","2","vo_10011600_1615","vo_10011600","0","0","16","0","1160047","0","0","0"
"48","1","0","0","558","730","16","0.714805194805195","1160048","8","0","0"
"49","4","0","0","0","0","16","0","1160049","8","1","2.71480519480519"
"50","1","0","0","0","560","16","0.01","1160050","9","0","0"
"51","4","0","0","0","0","16","0","1160051","9","1","0"
"52","2","vo_10011600_1616","vo_10011600","0","0","16","0","1160052","0","0","0"
"53","1","0","0","560","710","16","0.623376623376623","1160053","9","0","0"
"1","2","vo_10011600_1701","vo_10011600","0","0","17","0","1170001","0","0","0"
"2","1","0","0","0","160","17","0.664935064935065","1170002","1","0","0"
"3","4","0","0","0","0","17","0","1170003","1","1","2.16493506493507"
"4","2","vo_10011600_1702","vo_10011600","0","0","17","0","1170004","0","0","0"
"5","1","0","0","0","125","17","0.730519480519481","1170005","2","0","0"
"6","4","0","0","0","0","17","0","1170006","2","1","1.53051948051948"
"7","2","vo_10011600_1703","vo_10011600","0","0","17","0","1170007","0","0","0"
"8","1","0","0","125","770","17","3.35064935064935","1170008","2","0","0"
"9","4","0","0","0","0","17","0","1170009","2","1","4.85064935064935"
"10","2","vo_10011600_1704","vo_10011600","0","0","17","0","1170010","0","0","0"
"11","1","0","0","0","205","17","0.851948051948052","1170011","3","0","0"
"12","4","0","0","0","0","17","0","1170012","3","1","2.10194805194805"
"13","2","vo_10011600_1705","vo_10011600","0","0","17","0","1170013","0","0","0"
"14","1","0","0","205","730","17","2.72727272727273","1170014","3","0","0"
"15","4","0","0","0","0","17","0","1170015","3","1","4.47727272727273"
"16","2","vo_10011600_1706","vo_10011600","0","0","17","0","1170016","0","0","0"
"17","1","0","0","0","400","17","1.66233766233766","1170017","4","0","0"
"18","4","0","0","0","0","17","0","1170018","4","1","2.86233766233766"
"19","2","vo_10011600_1707","vo_10011600","0","0","17","0","1170019","0","0","0"
"20","1","0","0","400","710","17","1.28831168831169","1170020","4","0","0"
"21","4","0","0","0","0","17","0","1170021","4","1","3.03831168831169"
"22","2","vo_10011600_1708","vo_10011600","0","0","17","0","1170022","0","0","0"
"23","1","0","0","0","570","17","2.36883116883117","1170023","5","0","0"
"24","4","0","0","0","0","17","0","1170024","5","1","3.76883116883117"
"25","2","vo_10011600_1709","vo_10011600","0","0","17","0","1170025","0","0","0"
"26","1","0","0","0","360","17","1.4961038961039","1170026","6","0","0"
"27","4","0","0","0","0","17","0","1170027","6","1","2.2461038961039"
"28","2","vo_10011600_1710","vo_10011600","0","0","17","0","1170028","0","0","0"
"29","1","0","0","360","595","17","0.976623376623377","1170029","6","0","0"
"30","4","0","0","0","0","17","0","1170030","6","1","1.97662337662338"
"31","2","vo_10011600_1711","vo_10011600","0","0","17","0","1170031","0","0","0"
"32","1","0","0","0","333","17","1.3838961038961","1170032","7","0","0"
"33","4","0","0","0","0","17","0","1170033","7","1","2.7838961038961"
"34","2","vo_10011600_1712","vo_10011600","0","0","17","0","1170034","0","0","0"
"35","1","0","0","333","530","17","0.818701298701299","1170035","7","0","0"
"36","4","0","0","0","0","17","0","1170036","7","1","1.8187012987013"
"37","2","vo_10011600_1713","vo_10011600","0","0","17","0","1170037","0","0","0"
"38","1","0","0","530","740","17","0.872727272727273","1170038","7","0","0"
"39","4","0","0","0","0","17","0","1170039","7","1","2.67272727272727"
"40","2","vo_10011600_1714","vo_10011600","0","0","17","0","1170040","0","0","0"
"41","1","0","0","0","140","17","0.581818181818182","1170041","8","0","0"
"42","4","0","0","0","0","17","0","1170042","8","1","1.38181818181818"
"43","2","vo_10011600_1715","vo_10011600","0","0","17","0","1170043","0","0","0"
"44","1","0","0","140","465","17","1.35064935064935","1170044","8","0","0"
"45","4","0","0","0","0","17","0","1170045","8","1","2.60064935064935"
"46","2","vo_10011600_1716","vo_10011600","0","0","17","0","1170046","0","0","0"
"47","1","0","0","465","700","17","0.976623376623377","1170047","8","0","0"
"48","4","0","0","0","0","17","0","1170048","8","1","2.97662337662338"
"49","1","0","0","0","470","17","0.01","1170049","9","0","0"
"50","4","0","0","0","0","17","0","1170050","9","1","0"
"51","2","vo_10011600_1717","vo_10011600","0","0","17","0","1170051","0","0","0"
"52","1","0","0","470","700","17","1.19480519480519","1170052","9","0","0"
