2e736e30de9508439d8ae6c0cea3c724b6755384372fe697597022202335f0a8,60e0b88fb5f213940078fe446c92984eb5d272793add93321d7c3042452e3550,e0026c0fd8bf742f383f48ae9944cb39c645ec0c4e53bc9c5a48d6cb54bf32f9,be1ef0c892151bfe6b3aa0849f97ecd7166ede43764ccb42ae0da247c8162996,41c68a827da4d3337ebc8f4b3a12263048212c8e87b8f631a66b2e366088cc48,45d472c13e89a8ac31ba98398079d1f45dd9e1e1ea4b99e9685c5abb5073ec06,ad4b42976655b146af22d95b3fa4fad9c240214d05315f020e98aa02f0a51116,fc374fa7924919b9d6a8d1d51cbbc7251e0eaf107cd91d0fc4c7443682690dba,b81f1cd3e6bdf9667938b45b1317ddc3ee3305e1e91c2c5f21c34cc8018e146b,e872527e61de0fa2d03d4a17e21f14dd75099ab04fa895dac98f56b168df6d03,43d8efc36cbaa9af5713a343735f0838018d4ca377d69d3fe67199d41c5ed566
"13003","","","21","0","vo_minigame_1010_top_talk_1_013","vo_minigame_1010","","0","13",""
"13004","0","1","11","8","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","122411","0","1","13","0"
"13005","","","91","","","0","","","13",""
"13006","","","3","1","sjr_talk_idle","122411","0.2","","13",""
"14001","-194","sjr_talk_idle","1","100","122411","1","1.65","40","14","1"
"14002","1","","3","0","sjr_talk_watch_arm_opened","122411","0.2","sjr_talk_swing_joy","14","0"
"14003","","","21","0","vo_minigame_1010_top_talk_1_014","vo_minigame_1010","","0","14",""
"14004","0","1","11","7","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","122411","0","1","14","0"
"14005","","","91","","","0","","","14",""
"14006","","","3","1","sjr_talk_idle","122411","0.2","","14",""
"15001","-194","sjr_talk_idle","1","100","122411","1","1.65","40","15","1"
"15002","","","3","1","sjr_talk_wish_doya","122411","0.2","","15",""
"15003","","","21","0","vo_minigame_1010_top_talk_1_015","vo_minigame_1010","","0","15",""
"15004","0","1","11","7","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","122411","0","1","15","0"
"15005","","","91","","","0","","","15",""
"15006","","","3","1","sjr_talk_idle","122411","0.2","","15",""
"16001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","16","1"
"16002","-194","sjr_talk_idle","1","100","122511","1","1.65","-72","16","0"
"16003","","","3","1","sjr_talk_wish_doya","122611","0.2","","16",""
"16004","","","21","0","vo_minigame_1010_top_talk_2_001","vo_minigame_1010","","0","16",""
"16005","0","1","11","5","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","122611","0","1","16","0"
"16006","","","91","","","0","","","16",""
"16007","","","3","1","sjr_talk_idle","122611","0.2","","16",""
"16008","1","","3","0","sjr_talk_arm_crossed_normal_joy","122511","0.2","sjr_talk_arm_crossed_joy_loop","16","0"
"16009","","","21","0","vo_minigame_1010_top_talk_2_002","vo_minigame_1010","","0","16",""
"16010","0","0.5","11","6","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","122511","0","1","16","0"
"16011","","","91","","","0","","","16",""
"16012","","","3","1","sjr_talk_idle","122511","0.2","","16",""
"17001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","17","1"
"17002","-194","sjr_talk_idle","1","100","122511","1","1.65","-72","17","0"
"17003","","","3","1","sjr_talk_worry_shy","122511","0.2","","17",""
"17004","","","21","0","vo_minigame_1010_top_talk_2_003","vo_minigame_1010","","0","17",""
"17005","0","0.5","11","6","ねぇユイ\n水着で走るのって\nちょっと…","122511","0","1","17","0"
"17006","","","91","","","0","","","17",""
"17007","","","3","1","sjr_talk_idle","122511","0.2","","17",""
"17008","","","3","1","sjr_talk_wish_shy","122611","0.2","","17",""
"17009","","","21","0","vo_minigame_1010_top_talk_2_004","vo_minigame_1010","","0","17",""
"17010","0","0.5","11","5","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","122611","0","1","17","0"
"17011","","","91","","","0","","","17",""
"17012","","","3","1","sjr_talk_idle","122611","0.2","","17",""
"17013","1","","3","0","sjr_talk_thinking_blink_light","122511","0.2","sjr_talk_thinking_light","17","0"
"17014","","","21","0","vo_minigame_1010_top_talk_2_005","vo_minigame_1010","","0","17",""
"17015","0","0.5","11","6","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","122511","0","1","17","0"
"17016","","","91","","","0","","","17",""
"17017","","","3","1","sjr_talk_idle","122511","0.2","","17",""
"18001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","18","1"
"18002","-194","sjr_talk_idle","1","100","122511","1","1.65","-72","18","0"
"18003","","","3","1","sjr_talk_wish_surprise","122611","0.2","","18",""
"18004","","","21","0","vo_minigame_1010_top_talk_2_006","vo_minigame_1010","","0","18",""
"18005","0","0.5","11","7","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","122611","0","1","18","0"
"18006","","","91","","","0","","","18",""
"18007","","","3","1","sjr_talk_idle","122611","0.2","","18",""
"18008","1","","3","0","sjr_talk_arm_crossed_normal2","122511","0.2","sjr_talk_arm_crossed_normal2_loop","18","0"
"18009","","","21","0","vo_minigame_1010_top_talk_2_007","vo_minigame_1010","","0","18",""
"18010","0","0.5","11","7","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","122511","0","1","18","0"
"18011","","","91","","","0","","","18",""
"18012","","","3","1","sjr_talk_idle","122511","0.2","","18",""
"19001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","19","1"
"19002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","19","0"
"19003","1","","3","0","sjr_talk_wave_hand","122611","0.2","sjr_talk_idle_joy","19","0"
"19004","","","21","0","vo_minigame_1010_top_talk_2_008","vo_minigame_1010","","0","19",""
"19005","0","0.5","11","11","ヒヨリちゃん\n楽しんでる？","122611","0","1","19","0"
"19006","","","91","","","0","","","19",""
"19007","","","3","1","sjr_talk_idle","122611","0.2","","19",""
"19008","1","","3","0","sjr_talk_fun","122411","0.2","sjr_talk_swing_joy2","19","0"
"19009","","","21","0","vo_minigame_1010_top_talk_2_009","vo_minigame_1010","","0","19",""
"19010","0","0.5","11","8","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","122411","0","1","19","0"
"19011","","","91","","","0","","","19",""
"19012","","","3","1","sjr_talk_idle","122411","0.2","","19",""
"19013","","","3","1","sjr_talk_laugh","122611","0.2","","19",""
"19014","","","21","0","vo_minigame_1010_top_talk_2_010","vo_minigame_1010","","0","19",""
"19015","0","0.5","11","8","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","122611","0","1","19","0"
"19016","","","91","","","0","","","19",""
"19017","","","3","1","sjr_talk_idle","122611","0.2","","19",""
"20001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","20","1"
"20002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","20","0"
"20003","1","","3","0","sjr_talk_guts2","122411","0.2","sjr_talk_guts2_loop","20","0"
"20004","","","21","0","vo_minigame_1010_top_talk_2_011","vo_minigame_1010","","0","20",""
"20005","0","0.5","11","9","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","122411","0","1","20","0"
"20006","","","91","","","0","","","20",""
"20007","","","3","1","sjr_talk_idle","122411","0.2","","20",""
"20008","1","","3","0","sjr_talk_mouth_hidden_dere_guru","122611","0.2","sjr_talk_mouth_hidden_guru","20","0"
"20009","","","21","0","vo_minigame_1010_top_talk_2_012","vo_minigame_1010","","0","20",""
"20010","0","0.5","11","5","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","122611","0","1","20","0"
"20011","","","91","","","0","","","20",""
"20012","1","","3","0","sjr_talk_shock","122411","0.2","sjr_talk_shock_loop","20","0"
"20013","","","21","0","vo_minigame_1010_top_talk_2_013","vo_minigame_1010","","0","20",""
"20014","0","0.5","11","17","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","122411","0","1","20","0"
"20015","","","91","","","0","","","20",""
"20016","","","3","1","sjr_talk_idle","122611","0.2","","20",""
"20017","","","3","1","sjr_talk_idle","122411","0.2","","20",""
"21001","-194","sjr_talk_idle","1","100","122611","1","1.65","72","21","1"
"21002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","21","0"
"21003","","","3","1","sjr_talk_worry_sad","122611","0.2","","21",""
"21004","","","21","0","vo_minigame_1010_top_talk_2_014","vo_minigame_1010","","0","21",""
"21005","0","0.5","11","9","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","122611","0","1","21","0"
"21006","","","91","","","0","","","21",""
"21007","","","3","1","sjr_talk_idle","122611","0.2","","21",""
"21008","0","","3","0","sjr_talk_laugh_guts","122411","0.2","sjr_talk_guts2_joy_loop","21","0"
"21009","","","21","0","vo_minigame_1010_top_talk_2_015","vo_minigame_1010","","0","21",""
"21010","0","0.5","11","6","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","122411","0","1","21","0"
"21011","","","91","","","0","","","21",""
"21012","","","3","1","sjr_talk_idle","122411","0.2","","21",""
"22001","-194","sjr_talk_idle","1","100","122511","1","1.65","72","22","1"
"22002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","22","0"
"22003","1","","3","0","sjr_talk_arm_crossed_normal","122511","0.2","sjr_talk_arm_crossed_normal_loop","22","0"
"22004","","","21","0","vo_minigame_1010_top_talk_2_016","vo_minigame_1010","","0","22",""
"22005","0","0.5","11","7","相手がヒヨリとはいえ\n負けるつもりは\nないからね","122511","0","1","22","0"
"22006","","","91","","","0","","","22",""
"22007","","","3","1","sjr_talk_idle","122511","0.2","","22",""
"22008","1","","3","0","sjr_talk_guts","122411","0.2","sjr_talk_guts_loop","22","0"
"22009","","","21","0","vo_minigame_1010_top_talk_2_017","vo_minigame_1010","","0","22",""
"22010","0","0.5","11","8","レイさんが相手なら\nあたしだって\n全力全開だよ！","122411","0","1","22","0"
"22011","","","91","","","0","","","22",""
"22012","","","3","1","sjr_talk_idle","122411","0.2","","22",""
"23001","-194","sjr_talk_idle","1","100","122511","1","1.65","72","23","1"
"23002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","23","0"
"23003","1","","3","0","sjr_talk_fun_eieio","122411","0.2","sjr_talk_eieio_loop","23","0"
"23004","","","21","0","vo_minigame_1010_top_talk_2_018","vo_minigame_1010","","0","23",""
"23005","0","0.5","11","5","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","122411","0","1","23","0"
"23006","","","91","","","0","","","23",""
"23007","","","3","1","sjr_talk_idle","122411","0.2","","23",""
"23008","","","3","1","sjr_talk_mouth_hidden_sad","122511","0.2","","23",""
"23009","","","21","0","vo_minigame_1010_top_talk_2_019","vo_minigame_1010","","0","23",""
"23010","0","0.5","11","7","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","122511","0","1","23","0"
"23011","","","91","","","0","","","23",""
"23012","","","3","1","sjr_talk_idle","122511","0.2","","23",""
"23013","1","","3","0","sjr_talk_arm_opened_joy_guru","122411","0.2","sjr_talk_arm_opened_guru","23","0"
"23014","","","21","0","vo_minigame_1010_top_talk_2_020","vo_minigame_1010","","0","23",""
"23015","0","0.5","11","5","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","122411","0","1","23","0"
"23016","","","91","","","0","","","23",""
"23017","","","3","1","sjr_talk_idle","122411","0.2","","23",""
"24001","-194","sjr_talk_idle","1","100","122511","1","1.65","72","24","1"
"24002","-194","sjr_talk_idle","1","100","122411","1","1.65","-72","24","0"
"24003","","","3","1","sjr_talk_mouth_hidden_sad","122411","0.2","","24",""
"24004","","","21","0","vo_minigame_1010_top_talk_2_021","vo_minigame_1010","","0","24",""
"24005","0","1","11","7","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","122411","0","1","24","0"
"24006","","","91","","","0","","","24",""
"24007","","","3","1","sjr_talk_idle","122411","0.2","","24",""
"24008","0","","3","0","sjr_talk_arm_crossed_normal_joy","122511","0.2","sjr_talk_arm_crossed_joy_loop","24","0"
"24009","","","21","0","vo_minigame_1010_top_talk_2_022","vo_minigame_1010","","0","24",""
"24010","0","0.5","11","5","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","122511","0","1","24","0"
"24011","","","91","","","0","","","24",""
"24012","","","3","1","sjr_talk_idle","122511","0.2","","24",""
"24013","","","3","1","sjr_talk_laugh","122411","0.2","","24",""
"24014","","","21","0","vo_minigame_1010_top_talk_2_023","vo_minigame_1010","","0","24",""
"24015","0","0.5","11","7","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","122411","0","1","24","0"
"24016","","","91","","","0","","","24",""
"24017","","","3","1","sjr_talk_idle","122411","0.2","","24",""
