dfda1868050c8b77599a7fb64c20c2a4e545ebc121ce672bd991de3e634528dc,44eab9074e9fe95e4485e49b846d4e99f624acb573d4203a3d7697da988e1aab,d42a8b910365b5572b771d47f65ecf6c4bb8ccb99e4a0f5071a019bf46890c71,2575d4be18ff6f7ddc65dda9354b6cf6f65b1aeec2d978413b0a7d6488cf148b,627908ffadee22a936e0460b327eb60dfa33e5cae84cafe9e905141c3951f5d5,5f987e6eb503a5e2538ba28774945ba872d338fe5a4fa86238ce3a26f59bcc1b,3a30d8bb12dbaaed59b1aecec109f1de168167aa6e362879d0cd8ad10d03e3a6,a62a63cbaedc9dc8bdff09dca793aa684edd2ac0ed708d6afb57d04574ff51a5,8c74aed6075aab0a127a2217db4cf6ff151b2c2e2ecfc1b113bc8c6e63038cab,5a49049b24c3f1bc4ff8b669dea5f4de20ae6bb8e7e26bb536aae2f4e29bfc07
"10022","1","0","2022/08/15 14:59:59","0","0","0","1001","1","2022/02/28 12:00:00"
"10023","2","0","2022/08/15 14:59:59","2015009","0","0","1002","2","2022/02/28 12:00:00"
"10024","1","1007","2022/08/31 11:59:59","0","0","0","1001","1","2022/08/15 15:00:00"
"10025","2","1007","2022/08/31 11:59:59","2015009","0","0","1002","2","2022/08/15 15:00:00"
"10026","1","0","2023/02/15 14:59:59","0","0","0","1001","1","2022/08/31 12:00:00"
"10027","2","0","2023/02/15 14:59:59","2015009","0","0","1002","2","2022/08/31 12:00:00"
"10028","1","1008","2023/02/28 11:59:59","0","1005","1005","1001","1","2023/02/15 15:00:00"
"10029","2","1008","2023/02/28 11:59:59","2015009","1005","1005","1002","2","2023/02/15 15:00:00"
"10030","1","0","2023/08/15 14:59:59","0","0","0","1001","1","2023/02/28 12:00:00"
"10031","2","0","2023/08/15 14:59:59","2015009","0","0","1002","2","2023/02/28 12:00:00"
"10032","3","0","2023/08/15 14:59:59","2201005","0","0","1003","2","2023/03/15 12:00:00"
"10033","1","1009","2023/08/31 11:59:59","0","0","0","1001","1","2023/08/15 15:00:00"
"10034","2","1009","2023/08/31 11:59:59","2015009","0","0","1002","2","2023/08/15 15:00:00"
"10035","1","0","2024/02/14 23:59:59","0","0","0","1001","1","2023/08/31 12:00:00"
"10036","2","0","2024/02/14 23:59:59","2015009","0","0","1002","2","2023/08/31 12:00:00"
"10037","3","1009","2023/08/31 11:59:59","2201005","0","0","1003","2","2023/08/15 15:00:00"
"10038","3","0","2024/02/14 23:59:59","2201005","0","0","1003","3","2023/08/31 12:00:00"
"10039","1","1010","2024/02/29 11:59:59","0","1006","1006","1001","1","2024/02/15"
"10040","2","1010","2024/02/29 11:59:59","2015009","1006","1006","1002","2","2024/02/15"
"10041","1","0","2024/08/15 14:59:59","0","0","0","1001","1","2024/02/29 12:00:00"
"10042","2","0","2024/08/15 14:59:59","2015009","0","0","1002","2","2024/02/29 12:00:00"
"10043","3","1010","2024/02/29 11:59:59","2201005","1006","1006","1003","3","2024/02/15"
"10044","3","0","2024/08/15 14:59:59","2201005","0","0","1003","3","2024/02/29 12:00:00"
"10045","1","1011","2024/08/16 11:59:59","0","0","0","1001","1","2024/08/15 15:00:00"
"10046","2","1011","2024/08/16 11:59:59","2015009","0","0","1002","2","2024/08/15 15:00:00"
"10047","3","1011","2024/08/16 11:59:59","2201005","0","0","1003","3","2024/08/15 15:00:00"
"10048","1","1011","2024/08/21 11:59:59","0","0","0","1004","1","2024/08/16 12:00:00"
"10049","2","1011","2024/08/21 11:59:59","2015009","0","0","1004","2","2024/08/16 12:00:00"
"10050","3","1011","2024/08/21 11:59:59","2201005","0","0","1004","3","2024/08/16 12:00:00"
"10051","1","1011","2024/08/31 11:59:59","0","0","0","1001","1","2024/08/21 12:00:00"
"10052","2","1011","2024/08/31 11:59:59","2015009","0","0","1002","2","2024/08/21 12:00:00"
"10053","1","0","2025/02/14 23:59:59","0","0","0","1001","1","2024/08/31 12:00:00"
"10054","2","0","2025/02/14 23:59:59","2015009","0","0","1002","2","2024/08/31 12:00:00"
"10055","3","1011","2024/08/31 11:59:59","2201005","0","0","1003","3","2024/08/21 12:00:00"
"10056","3","0","2025/02/14 23:59:59","2201005","0","0","1003","3","2024/08/31 12:00:00"
