f0aeef1f06df6458fee8156ac3d706a1152a5d34904801e76ec44dddd9496a92,8aa8f1634f4406b3451ac5d8b445e19e74a1680d3391768850164f253fd2ef77,9e468983a2df531ecbbe3c35b7d5b01097e77bf94b7ad75e8f523b7903cedbdb,59f5494e256b8dd3272b0451435945e2f93c19aba5859f2aa6e8b85974f36a2c,da586b5d5e27cf1f758f6d6538e6bee79a634cc5a0c2bfb5fc3f335271289bd6,0e73793b7b82a4d7e3a5fae746978a9dd52c0589bf43914fafc96ea98aaeb78f,ac0b0d82896e0b29c5ee39ee746e8ffb1608f1b6c1168a87dc51c84e7b8f10fb,401958470766c60afb586fa2960e14b8694bf231a153614e40c9f32f7587a066,119d276e649b070fcdf859ba551a1ea3afa56066daf9c7f8fb68e523ab05317b,96743ce59da7646c77e02642eb382f31238cce06c52d03a611c07887947f636d,cc5107b6d0b2b6bf9e7a6f835643821827b8e88ed0d896f0714c24a3a3150484
"130110030","0.4","3011","1","1000001","1","1","","0","0","6"
"130110031","","3011","","0.4","","0","","","","93"
"130110032","","3011","","1","","","","","","113"
"130120001","0.2","3012","1","1000001","","idle","","","","3"
"130120002","0","3012","0","301200","0","13","","1","","31"
"130120003","0","3012","0","101","0","14","","1","","31"
"130120004","0","3012","260","301204","-150","16","","1","","31"
"130120005","0","3012","0","301205","0","17","","1","","31"
"130120006","0","3012","345.4","6","0","18","","1","","31"
"130120007","0","3012","345.4","301201","0","20","","1","","31"
"130120008","0","3012","345.4","301202","0","21","","1","","31"
"130120009","1","3012","55","1","9340","3","round_monster_walk","-234","0","5"
"130120010","","3012","","0","","","","","","91"
"130120011","0","3012","1","3","1","1","","0","0","6"
"130120012","0","3012","-234","3","0","345","","0","0","2"
"130120013","0","3012","1.05","1.05","1.05","1.05","","7.4","0","123"
"130120014","0.2","3012","0","1000001","","wait","","","","3"
"130120015","","3012","","2","","1","","","","35"
"130120016","0","3012","0","301203","0","15","","1","","31"
"130120017","0.89","3012","57","2","9340","1000002","<weapon>_run","-250","0","1"
"130120018","","3012","","4.3","","0","","","","93"
"130120019","0","3012","0.95","0.95","0.95","0.95","","0.4","","123"
"130120020","","3012","","21","","1","","","","32"
"130120021","","3012","","21","","0","","","","35"
"130120022","","3012","","se_travel","","se_travel_treasure_success_monster_helper_1","","","","23"
"130120023","","3012","","18","","1","","","","32"
"130120024","","3012","","0.1","","0","","","","93"
"130120025","","3012","","2","","0","","","","32"
"130120026","0.3","3012","1","3","1","1","","1","0","6"
"130120027","","3012","","13","","1","","","","32"
"130120028","","3012","0","3","","round_monster_appear","","","","3"
"130120029","","3012","0","1000001","","back","","","","3"
"130120030","","3012","","0.67","","0","","","","93"
"130120031","0.2","3012","0","3","","round_monster_walk","","","","3"
"130120032","","3012","-234","3","1.4","220","","0","","2"
"130120033","","3012","","20","","1","","","","32"
"130120034","","3012","","0.1","","0","","","","93"
"130120035","","3012","","18","","0","","","","32"
"130120036","","3012","","0.5","","0","","","","93"
"130120037","","3012","","1000002","","1","","","","4"
"130120038","","3012","-240","1000002","0","1445","","0","","2"
"130120039","","3012","","0.5","","0","","","","93"
"130120040","0.3","3012","0","3","","round_monster_attack","","","","3"
"130120041","","3012","","0.5","","0","","","","93"
"130120042","","3012","","17","","1","","","","32"
"130120043","0.1","3012","0","1000001","","back_loop","","","","3"
"130120044","","3012","","0.5","","0","","","","93"
"130120045","","3012","-240","1000002","0","950","","0","","2"
"130120046","","3012","-240","1000002","0.16","650","","0","","2"
"130120047","0.2","3012","0","1000002","","<weapon>_run","","","","3"
"130120048","","3012","","0.16","","0","","","","93"
"130120049","0.2","3012","0","1000002","","<weapon>_attack_skipQuest","","","","3"
"130120050","","3012","","0.1","","0","","","","93"
"130120051","","3012","-234","3","0","280","","0","","2"
"130120052","","3012","","3","","1","","","","4"
"130120053","0.2","3012","0","3","","round_monster_die","","","","3"
"130120054","","3012","","16","","1","","","","32"
"130120055","","3012","","0.5","","0","","","","93"
"130120056","","3012","-240","1000001","0","20","","0","","2"
"130120057","0","3012","0","1000001","","back_origin","","","","3"
"130120058","0.2","3012","0","1000001","","surprise","","","","3"
"130120059","0.2","3012","1","1000002","","<weapon>_idle","","","","3"
"130120060","","3012","","0.66","","0","","","","93"
"130120061","","3012","","15","","1","","","","32"
"130120062","","3012","","996","","1","","","","32"
"130120063","0.6","3012","1","3","1","1","","0","","6"
"130120064","0.2","3012","0","1000001","","joy_short","","","","3"
"130120065","","3012","","18","","1","","","","32"
"130120066","","3012","","0.02","","0","","","","93"
"130120067","","3012","","20","","0","","","","32"
"130120068","","3012","","21","","0","","","","32"
"130120069","","3012","","1.5","","0","","","","93"
"130120070","0.2","3012","0","1000001","","smile","","","","3"
"130120071","0","3012","1","1000002","","<weapon>_run","","","","3"
"130120072","","3012","","1000002","","0","","","","4"
"130120073","","3012","-250","1000002","2","1500","","0","","2"
"130120074","","3012","","1","","0","","","","93"
"130120075","0.2","3012","1","1000002","1","1","","0","","6"
"130120076","0.2","3012","1","1000001","","run_gatein","","","","3"
"130120077","","3012","-200","1000001","1","360","","0","","2"
"130120078","","3012","","0.5","","0","","","","93"
"130120079","0.4","3012","1","1000001","1","1","","0","","6"
"130120080","","3012","","0.4","","0","","","","93"
"130120081","","3012","","1","","0","","","","113"
"130130001","0","3013","345.4","301300","0","301300","","1","","31"
"130130002","","3013","","0","","","","","","91"
"130130003","0.2","3013","0","1000001","","wait_gradeUp","","","","3"
"130130004","","3013","","301300","","1","","","","32"
"130130005","","3013","","0.1","","0","","","","93"
"130130006","","3013","","2","","0","","","","32"
"130130007","","3013","","0.8","","0","","","","93"
"130130008","0","3013","1.05","1.05","1.05","1.05","","0","","123"
"130130009","","3013","0.5","5","","5","","","","122"
"130130010","","3013","","1.1","","0","","","","93"
"130130011","0","3013","1.05","1.05","1.05","1.05","","0","","123"
"130130012","","3013","0.5","10","","10","","","","122"
"130130013","","3013","","0.8","","0","","","","93"
"130130014","0.2","3013","0","1000001","","glad","","","","3"
"130130015","","3013","","0.1","","0","","","","93"
"130130016","2","3013","0.907","0.907","0.907","0.907","","2","","123"
"130130017","","3013","","0.3","","0","","","","93"
"130130018","","3013","","996","","1","","","","32"
"130130019","","3013","","0.5","","0","","","","93"
"130130020","0.2","3013","0","1000001","","joy","","","","3"
"130130021","","3013","","1.7","","0","","","","93"
"130130022","0","3013","1","1000001","","run_gatein","","","","3"
"130130023","","3013","-195","1000001","1","450","","0","","2"
"130130024","","3013","","0.5","","1","","","","93"
"130130025","0.4","3013","1","1000001","1","1","","0","0","6"
"130130026","","3013","","0.4","","0","","","","93"
"130130027","","3013","","1","","","","","","113"
"130140001","0","3014","345.4","301400","0","301400","","1","","31"
"130140002","","3014","","0","","","","","","91"
"130140003","0","3014","1.05","1.05","1.05","1.05","","7.4","","123"
"130140004","0.2","3014","0","1000001","","wait","","","","3"
"130140005","","3014","","301400","","1","","","","32"
"130140006","","3014","","0.1","","0","","","","93"
"130140007","","3014","","2","","0","","","","32"
"130140008","","3014","","3.4","","0","","","","93"
"130140009","5","3014","0.95","0.95","0.95","0.95","","3.2","","123"
"130140010","","3014","","1.6","","0","","","","93"
"130140011","0.2","3014","0","1000001","","relief","","","","3"
"130140012","","3014","","996","","1","","","","32"
"130140013","","3014","","1.7","","0","","","","93"
"130140014","0","3014","1","1000001","","run_gatein","","","","3"
"130140015","","3014","-195","1000001","1","450","","0","","2"
"130140016","","3014","","0.5","","1","","","","93"
"130140017","0.4","3014","1","1000001","1","1","","0","0","6"
"130140018","","3014","","0.4","","0","","","","93"
"130140019","","3014","","1","","","","","","113"
"130150001","0","3015","345.4","301501","0","301501","","1","","31"
"130150002","1","3015","345.4","301500","0","301500","","1","","31"
"130150003","","3015","","0","","","","","","91"
"130150004","0","3015","1.05","1.05","1.05","1.05","","7.4","","123"
"130150005","0.2","3015","0","1000001","","wait_wakuwaku","","","","3"
"130150006","","3015","","2","","1","","","","35"
"130150007","","3015","","5.4","","0","","","","93"
"130150008","0","3015","0.95","0.95","0.95","0.95","","0.4","","123"
"130150009","0.2","3015","0","1000001","","glad","","","","3"
"130150010","","3015","","301501","","1","","","","32"
"130150011","","3015","","996","","1","","","","32"
"130150012","","3015","","0.1","","0","","","","93"
"130150013","","3015","","2","","0","","","","32"
"130150014","","3015","","3","","0","","","","32"
"130150015","","3015","","1.5","","0","","","","93"
"130150016","0.2","3015","0","1000001","","joy","","","","3"
"130150017","","3015","","1.7","","0","","","","93"
"130150018","0","3015","1","1000001","","run_gatein","","","","3"
"130150019","","3015","-195","1000001","1","450","","0","","2"
"130150020","","3015","","0.5","","1","","","","93"
"130150021","0.4","3015","1","1000001","1","1","","0","0","6"
"130150022","","3015","","0.4","","0","","","","93"
"130150023","","3015","","1","","","","","","113"
"130160001","0","3016","345.4","6","0","6","","1","","31"
"130160002","0","3016","345.4","8","0","8","","1","","31"
"130160003","0","3016","345.4","301600","-80","301600","","1","","31"
"130160004","0","3016","345.4","301601","0","301601","","1","","31"
"130160005","1","3016","345.4","990002","0","990002","","1","","31"
"130160006","","3016","","0","","","","","","91"
"130160007","0","3016","1.05","1.05","1.05","1.05","","7.4","","123"
"130160008","0.2","3016","0","1000001","","wait","","","","3"
"130160009","","3016","","2","","1","","","","35"
"130160010","","3016","","5.4","","0","","","","93"
"130160011","0","3016","0.95","0.95","0.95","0.95","","0.4","","123"
"130160012","","3016","","8","","1","","","","32"
"130160013","","3016","","8","","0","","","","35"
"130160014","","3016","","301600","","1","","","","32"
"130160015","","3016","","6","","1","","","","32"
"130160016","","3016","","0.1","","0","","","","93"
"130160017","","3016","","2","","0","","","","32"
"130160018","","3016","","3","","0","","","","32"
"130160019","0.1","3016","0","1000001","","glad","","","","3"
"130160020","","3016","0","se_travel","","se_travel_treasure_success_butterfly","","","","23"
"130160021","","3016","","0.5","","0","","","","93"
"130160022","","3016","","8","","1","","","","35"
"130160023","","3016","","1.1","","0","","","","93"
"130160024","","3016","","301601","","1","","","","32"
"130160025","","3016","","996","","1","","","","32"
"130160026","0.2","3016","0","1000001","","joy","","","","3"
"130160027","","3016","","1.67","","0","","","","93"
"130160028","0","3016","1","1000001","","run_gatein","","","","3"
"130160029","","3016","0","se_travel","","se_travel_treasure_cha_run","","","","23"
"130160030","","3016","-195","1000001","1","450","","0","","2"
"130160031","","3016","","0.5","","1","","","","93"
"130160032","0.4","3016","1","1000001","1","1","","0","0","6"
"130160033","","3016","","0.4","","0","","","","93"
"130160034","","3016","","1","","","","","","113"
"130170001","0","3017","345.4","310000","0","310000","","1","","31"
"130170002","0","3017","0","310001","0","310001","","1","","31"
"130170003","0","3017","345.4","301700","0","301700","","1","","31"
"130170004","0","3017","740","301701","-115","301701","","1","","31"
"130170005","0","3017","345.4","301702","0","301702","","1","","31"
"130170006","0","3017","345.4","301703","0","301703","","1","","31"
"130170007","0.44","3017","100","5","610","15","empty","-235","0","5"
"130170008","0.44","3017","55","5","610","16","empty","-235","0","5"
"130170009","","3017","","0","","","","","","91"
"130170010","0","3017","1.05","1.05","1.05","1.05","","7.4","","123"
"130170011","0.2","3017","0","1000001","","wait","","","","3"
"130170012","","3017","","2","","1","","","","35"
"130170013","","3017","","5.4","","0","","","","93"
"130170014","0","3017","0.95","0.95","0.95","0.95","","0.3","","123"
"130170015","","3017","","310000","","1","","","","32"
"130170016","","3017","","310001","","1","","","","32"
"130170017","","3017","","0.2","","0","","","","93"
"130170018","","3017","0.6","50","","50","","","","122"
"130170019","0.2","3017","0","1000001","","shock","","","","3"
"130170020","","3017","","1.6","","0","","","","93"
"130170021","","3017","","301700","","1","","","","32"
"130170022","","3017","","1.2","","0","","","","93"
"130170023","","3017","0","se_travel","","se_travel_treasure_croce_ui","","","","23"
"130170024","","3017","0","15","","punch","","","","3"
"130170025","","3017","0","16","","punch_B","","","","3"
"130170026","","3017","","0.2","","0","","","","93"
"130170027","11","3017","1.05","1.05","1.05","1.05","","0.1","","123"
"130170028","","3017","","0.1","","0","","","","93"
"130170029","0","3017","0.95","0.95","0.95","0.95","","0.3","","123"
"130170030","","3017","","1","","0","","","","93"
"130170031","","3017","0","se_travel","","se_travel_treasure_croce_door","","","","23"
"130170032","","3017","","0.4","","0","","","","93"
"130170033","","3017","","301701","","1","","","","32"
"130170034","","3017","","0.9","","0","","","","93"
"130170035","0","3017","1.05","1.05","1.05","1.05","","0","","123"
"130170036","","3017","0.6","75","","75","","","","122"
"130170037","","3017","","301702","","1","","","","32"
"130170038","","3017","","0.4","","0","","","","93"
"130170039","","3017","","2","","0","","","","32"
"130170040","","3017","","310000","","0","","","","32"
"130170041","","3017","","0.4","","0","","","","93"
"130170042","11","3017","0.95","0.95","0.95","0.95","","2","","123"
"130170043","","3017","","0.2","","0","","","","93"
"130170044","0.2","3017","0","1000001","","glad","","","","3"
"130170045","","3017","","301703","","1","","","","32"
"130170046","","3017","","0.1","","0","","","","93"
"130170047","","3017","","996","","1","","","","32"
"130170048","","3017","","0.9","","0","","","","93"
"130170049","0.2","3017","0","1000001","","joy","","","","3"
"130170050","","3017","","1.7","","0","","","","93"
"130170051","0","3017","1","1000001","","run_gatein","","","","3"
"130170052","","3017","","se_travel","","se_travel_treasure_cha_run","","","","23"
"130170053","","3017","-195","1000001","1","450","","0","","2"
"130170054","","3017","","0.5","","1","","","","93"
"130170055","0.4","3017","1","1000001","1","1","","0","0","6"
"130170056","","3017","","0.4","","0","","","","93"
"130170057","","3017","","1","","","","","","113"
"131000001","0","3100","345.4","310000","0","310000","","1","","31"
"131000002","0","3100","0","310001","0","310001","","1","","31"
"131000003","","3100","","0","","","","","","91"
"131000004","0","3100","1.05","1.05","1.05","1.05","","7.4","","123"
"131000005","0.2","3100","0","1000001","","wait","","","","3"
"131000006","","3100","","2","","1","","","","35"
"131000007","","3100","","5.4","","0","","","","93"
"131000008","0","3100","0.95","0.95","0.95","0.95","","0.3","","123"
"131000009","","3100","","310000","","1","","","","32"
"131000010","","3100","","310001","","1","","","","32"
"131000011","","3100","","0.2","","0","","","","93"
"131000012","","3100","0.6","50","","50","","","","122"
"131000013","0.2","3100","0","1000001","","shock","","","","3"
"131000014","","3100","","1.6","","0","","","","93"
"131000015","","3100","","2","","","","","","113"
"131110001","0","3111","345.4","6","0","6","","1","","31"
"131110002","0","3111","345.4","7","0","7","","1","","31"
"131110003","0","3111","345.4","8","0","8","","1","","31"
"131110004","1.3","3111","55","3","8000","13","appear","0","0","5"
"131110005","","3111","","0","","","","","","91"
"131110006","0","3111","1","13","1","1","","0","0","6"
"131110007","","3111","-250","13","0","95","","0","","2"
"131110008","0","3111","1.05","1.05","1.05","1.05","","7.4","","123"
"131110009","0.2","3111","0","1000001","","wait","","","","3"
"131110010","","3111","","2","","1","","","","35"
"131110011","","3111","","4.9","","0","","","","93"
"131110012","0","3111","0.95","0.95","0.95","0.95","","0.3","","123"
"131110013","","3111","0","se_travel","","se_travel_treasure_ghost_fail","","","","23"
"131110014","","3111","","8","","1","","","","32"
"131110015","","3111","","8","","0","","","","35"
"131110016","","3111","","6","","1","","","","32"
"131110017","","3111","","0.1","","0","","","","93"
"131110018","","3111","","2","","0","","","","32"
"131110019","","3111","","3","","0","","","","32"
"131110020","","3111","0","1000001","","dotEyes","","","","3"
"131110021","","3111","","0.3","","0","","","","93"
"131110022","","3111","0","13","","appear","","","","3"
"131110023","0","3111","1","13","1","1","","1","0","6"
"131110024","","3111","","0.67","","0","","","","93"
"131110025","","3111","0","1000001","","shock_jump","","","","3"
"131110026","","3111","-250","1000001","1","70","","0","","2"
"131110027","","3111","","1.1","","0","","","","93"
"131110028","","3111","1","1000001","","escape","","","","3"
"131110029","","3111","-250","1000001","1.2","-350","","0","","2"
"131110030","","3111","0","13","","march","","","","3"
"131110031","","3111","","0.2","","0","","","","93"
"131110032","","3111","","7","","1","","","","32"
"131110033","","3111","","0.1","","0","","","","93"
"131110034","","3111","","6","","0","","","","32"
"131110035","","3111","","1.6","","0","","","","93"
"131110036","","3111","","2","","","","","","113"
"131120001","0.2","3112","1","1000001","","idle","","","","3"
"131120002","0","3112","0","301200","0","13","","1","","31"
"131120003","0","3112","0","101","0","14","","1","","31"
"131120004","0","3112","0","301205","0","15","","1","","31"
"131120005","0","3112","130","301206","-170","16","","1","","31"
"131120006","0","3112","345.4","6","0","18","","1","","31"
"131120007","0","3112","345.4","301201","0","20","","1","","31"
"131120008","0","3112","345.4","301202","0","21","","1","","31"
"131120009","1","3112","55","1","9340","3","round_monster_walk","-234","0","5"
"131120010","","3112","","0","","","","","","91"
"131120011","0","3112","1","3","1","1","","0","0","6"
"131120012","0","3112","-234","3","0","345","","0","0","2"
"131120013","0","3112","1.05","1.05","1.05","1.05","","7.4","0","123"
"131120014","0.2","3112","0","1000001","","wait","","","","3"
"131120015","","3112","","2","","1","","","","35"
"131120016","","3112","","4.3","","0","","","","93"
"131120017","0","3112","0.95","0.95","0.95","0.95","","0.4","","123"
"131120018","","3112","","21","","1","","","","32"
"131120019","","3112","","21","","0","","","","35"
"131120020","","3112","","se_travel","","se_travel_treasure_monster_failure","","","","23"
"131120021","","3112","","18","","1","","","","32"
"131120022","","3112","","0.1","","0","","","","93"
"131120023","","3112","","2","","0","","","","32"
"131120024","0.3","3112","1","3","1","1","","1","0","6"
"131120025","","3112","","13","","1","","","","32"
"131120026","","3112","0","3","","round_monster_appear","","","","3"
"131120027","","3112","0","1000001","","back","","","","3"
"131120028","","3112","","0.67","","0","","","","93"
"131120029","0.2","3112","0","3","","round_monster_walk","","","","3"
"131120030","0","3112","-234","3","1.4","220","","0","0","2"
"131120031","","3112","","20","","1","","","","32"
"131120032","","3112","","0.1","","0","","","","93"
"131120033","","3112","","18","","0","","","","32"
"131120034","","3112","","1","","0","","","","93"
"131120035","0.3","3112","0","3","","round_monster_attack","","","","3"
"131120036","","3112","","0.5","","0","","","","93"
"131120037","","3112","","15","","1","","","","32"
"131120038","0.2","3112","1","1000001","","back_loop","","","","3"
"131120039","","3112","","1","","0","","","","93"
"131120040","","3112","","16","","1","","","","32"
"131120041","","3112","0.5","0","","50","","","","122"
"131120042","","3112","-250","1000001","0","40","","0","","2"
"131120043","0","3112","0","1000001","","shock_jump","","","","3"
