230c6459c39b131a8b20228fbdc18d172da36ead62faf1e493bcbf57abe816f5,96678c8e825a8cc3052bbc55003295149db564deb019a3cc1d47c0bc79db6cb4,4119c1c000462085a637737c6a70bba9ad90a0c2e1ce8ccd3afccf34b5335cab,5310f636ca0be867a90e5ecf1139073df63203a5a5aeb4314db6d66fe9144b86,e770821e96be317d23fa9318d869737f8468fa6a6f6b61e5e9e9cc4132904271,41bd8fc1064e87984b9b3c52d821dc01f60d82b807e823ac0102c80f6874e692,013346b0eab5f02789d972c51c6d0a9a258b869f791ff08d17ec74fca1c250d0,db1263d2263686082b5faf9728b938ee438be6e3b00c34c7755fd7ef583b86fa,53fc16a865574eebd3463be80e8f1f45f8f680faa049adc71a14b98ca8cc3888,7ed195e26814dca070f26ce063e58d1b7213053281c39d658f062316298eca0e,1d04f217f67b944de0e563f27f07474f02bc8956e49040af9c48a46d8d106e90
"112023","","0","","0","vo_wac_220215_004","","21","112","vo_wac_220215",""
"112024","0.5","10","0","1","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","0","11","112","118511","1"
"112025","","","","","","","91","112","112024",""
"112026","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112027","","0","0.2","wac_215_talk_normal","wac_215_shefy_humu","0.2","3","112","106431","1"
"112028","","0","","0","vo_wac_220215_005","","21","112","vo_wac_220215",""
"112029","0.5","10","0","1","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","0","11","112","106431","1"
"112030","","","","","","","91","112","112029",""
"112031","","1","","","wac_215_idle_normal2_joy","0.2","3","112","106431",""
"112032","","1","","","wac_215_karin_talk_normal","0.2","3","112","118511",""
"112033","","0","","0","vo_wac_220215_006","","21","112","vo_wac_220215",""
"112034","0.5","10","0","1","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","0","11","112","118511","1"
"112035","","","","","","","91","112","112034",""
"112036","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112037","","1","","","wac_215_talk_sad","0.2","3","112","106431",""
"112038","","0","","0","vo_wac_220215_007","","21","112","vo_wac_220215",""
"112039","0.5","10","0","1","え？　ランドソルの壁を……\nぐるっと一周？","0","11","112","106431","1"
"112040","","","","","","","91","112","112039",""
"112041","","1","","","wac_215_idle_sad","0.2","3","112","106431",""
"112042","","1","","","wac_215_karin_talk_wish","0.2","3","112","118511",""
"112043","","0","","0","vo_wac_220215_008","","21","112","vo_wac_220215",""
"112044","0.5","10","0","1","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","0","11","112","118511","1"
"112045","","","","","","","91","112","112044",""
"112046","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112047","","1","","","wac_215_coccoro_talk_wish","0.2","3","112","105911",""
"112048","","0","","0","vo_wac_220215_009","","21","112","vo_wac_220215",""
"112049","0.5","10","0","1","それは……壮大な計画でございますね。\nカリンさま。","0","11","112","105911","1"
"112050","","","","","","","91","112","112049",""
"112051","","1","","","wac_215_coccoro_idle_wish","0.2","3","112","105911",""
"112052","","0","0","wac_215_peko_talk_guts2_loop","wac_215_peko_talk_guts2","0.2","3","112","105811","1"
"112053","","0","","0","vo_wac_220215_010","","21","112","vo_wac_220215",""
"112054","0.5","10","0","1","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","0","11","112","105811","1"
"112055","","","","","","","91","112","112054",""
"112056","","1","","","wac_215_peko_idle_guts2","0.2","3","112","105811",""
"112057","","","","","0","","4","112","105811",""
"112058","","","","","0","","4","112","105911",""
"112059","","1","","","wac_215_idle_joy1","0.2","3","112","105811",""
"112060","","1","","","wac_215_idle_normal","0.2","3","112","105911",""
"112061","","1","","","wac_215_idle_surprise1","0.2","3","112","106431",""
"112062","","1","0.2","wac_215_talk_anger2","wac_215_kyaru_anger","0.2","3","112","106011","1"
"112063","","0","","0","vo_wac_220215_011","","21","112","vo_wac_220215",""
"112064","0.5","10","0","1","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","0","11","112","106011","1"
"112065","","","","","","","91","112","112064",""
"112066","","1","","","wac_215_idle_anger2","0.2","3","112","106011",""
"112067","","1","","","wac_215_talk_sad","0.2","3","112","106011",""
"112068","","0","","0","vo_wac_220215_012","","21","112","vo_wac_220215",""
"112069","0.5","10","0","1","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","0","11","112","106011","1"
"112070","","","","","","","91","112","112069",""
"112071","","1","","","wac_215_idle_sad","0.2","3","112","106011",""
"112072","","1","","","wac_215_coccoro_talk_wish2","0.2","3","112","105911",""
"112073","","0","","0","vo_wac_220215_013","","21","112","vo_wac_220215",""
"112074","0.5","10","0","1","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","0","11","112","105911","1"
"112075","","","","","","","91","112","112074",""
"112076","","1","","","wac_215_coccoro_idle_wish2","0.2","3","112","105911",""
"112077","","0","0","wac_215_kyaru_talk_doya_loop","wac_215_kyaru_talk_doya","0.2","3","112","106011","1"
"112078","","0","","0","vo_wac_220215_014","","21","112","vo_wac_220215",""
"112079","0.5","10","0","1","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","0","11","112","106011","1"
"112080","","","","","","","91","112","112079",""
"112081","","1","","","wac_215_idle_arm_crossed","0.2","3","112","106011",""
"112082","","","","","1","","4","112","105811",""
"112083","","","","","1","","4","112","105911",""
"112084","","1","","","wac_215_idle_normal_joy","0.2","3","112","105911",""
"112085","","1","","","wac_215_idle_normal2_joy","0.2","3","112","106431",""
"112086","","1","","","wac_215_karin_talk_wish","0.2","3","112","118511",""
"112087","","0","","0","vo_wac_220215_015","","21","112","vo_wac_220215",""
"112088","0.5","10","0","1","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","0","11","112","118511","1"
"112089","","","","","","","91","112","112088",""
"112090","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112091","","1","","","wac_215_karin_talk_normal","0.2","3","112","118511",""
"112092","","0","","0","vo_wac_220215_016","","21","112","vo_wac_220215",""
"112093","0.5","10","0","1","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","0","11","112","118511","1"
"112094","","","","","","","91","112","112093",""
"112095","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112096","","0","0.2","wac_215_peko_talk_wish_loop","wac_215_peko_talk_wish","0.2","3","112","105811","1"
"112097","","0","","0","vo_wac_220215_017","","21","112","vo_wac_220215",""
"112098","0.5","10","0","1","わかりました！
\nそれじゃあわたしは、魔物料理の絵を――","0","11","112","105811","1"
"112099","","","","","","","91","112","112098",""
"112100","","1","","","wac_215_peko_idle_wish","0.2","3","112","105811",""
"112101","","0","0.2","wac_215_talk_arm_crossed_loop","wac_215_kyaru_talk_anger","0.2","3","112","106011","1"
"112102","","0","","0","vo_wac_220215_018","","21","112","vo_wac_220215",""
"112103","0.5","10","0","1","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","0","11","112","106011","1"
"112104","","","","","","","91","112","112103",""
"112105","","1","","","wac_215_idle_arm_crossed","0.2","3","112","106011",""
"112106","","0","0","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0.2","3","112","105811","1"
"112107","","0","0","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0.2","3","112","106431","1"
"112108","","","","","","","93","112","0.1",""
"112109","","0","0","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0.2","3","112","105911","1"
"112110","","0","0.2","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0.2","3","112","106011","1"
"112111","","","","","","","93","112","0.9",""
"112112","","0","0.2","wac_215_karin_idle_normal","wac_215_handclap","0.2","3","112","118511","1"
"112113","","","","","0","","93","112","2",""
"112114","","","","","","","91","112","0",""
"113001","","1","","","wac_215_karin_idle_normal","0.2","3","113","118511",""
"113002","","1","","","wac_215_idle_joy1","0.2","3","113","105811",""
"113003","","","","","","","93","113","0.1",""
"113004","","1","","","wac_215_coccoro_idle_wish","0.2","3","113","105911",""
"113005","","1","","","wac_215_idle_arm_crossed","0.2","3","113","106011",""
"113006","","","","","","","93","113","0.1",""
"113007","","1","","","wac_215_idle_normal2_joy","0.2","3","113","106431",""
"113008","","","","","","","91","113","0",""
"211001","wac_default_11","202","0","-108","105811","2","1","211","1","-212.75"
"211002","wac_default_11","201","0","-108","111","2","5","211","1","-212.75"
"211003","","0","","0","1","1","31","211","1","1"
"211004","","0","","0","2","0","31","211","2","1"
"211005","","0","","0","11","0","31","211","11","1"
"211006","","0","","","wac_paint_11","0.2","3","211","105811","0"
"211007","","0","","","wac_paint_11","0.2","3","211","111","0"
"211008","","","","","0","","93","211","0.3",""
"211009","wac_default_11","","","","1","","32","211","11",""
"211010","","0","","","se_10035700_roller","","23","211","se_10035700",""
"211011","","","","","","","131","211","1",""
"212001","","0","","wac_talk_kyapi_loop","wac_talk_kyapi_in","0.2","3","212","105811","1"
"212002","","1","","","wac_no_items","0.2","3","212","111",""
"212003","","-340","","0","200","","2","212","105811",""
"212004","","-340","","0","200","","2","212","111",""
"212005","","","","","0","","32","212","1",""
"212006","","","","","1","","32","212","2",""
"212007","","","","","0","","32","212","11",""
"212008","","0","","0","vo_wac_220216_000","","21","212","vo_wac_220216",""
"212009","0.5","10","0","1","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","0","11","212","105811","1"
"212010","","","","","","","91","212","0",""
"212011","","0","","0","vo_wac_220216_001","","21","212","vo_wac_220216",""
"212012","0.5","10","0","1","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","0","11","212","105811","1"
"212013","","","","","","","91","212","0",""
"212014","","","","","0","","22","212","0",""
"213001","","1","","","wac_idle_kyapi","0.2","3","213","105811",""
"213002","","1","","","wac_no_items","0.2","3","213","111",""
"213003","","-340","","0","200","","2","213","105811",""
"213004","","-340","","0","200","","2","213","111",""
"213005","","","","","0","","32","213","1",""
"213006","","","","","1","","32","213","2",""
"213007","","","","","0","","32","213","11",""
"213008","","","","","","","91","213","0",""
"311001","wac_default_01","202","0","-108","105911","2","1","311","1","-212.75"
"311002","wac_default_03","201","0","-108","111","2","5","311","1","-212.75"
"311003","","0","","0","1","1","31","311","1","1"
"311004","","0","","0","2","0","31","311","2","1"
"311005","","0","","0","11","0","31","311","11","1"
"311006","","0","","","wac_paint_01","0.2","3","311","105911",""
"311007","","0","","","wac_paint_03","0.2","3","311","111",""
"311008","wac_default_11","","","","1","","32","311","11",""
"311009","","0","","","se_10035700_brush","","23","311","se_10035700",""
"311010","","","","","","","131","311","1",""
"312001","","0","","wac_talk_wish_loop","wac_talk_wish_in","0.2","3","312","105911","1"
"312002","","1","","","wac_no_items","0.2","3","312","111",""
"312003","","-340","","0","200","","2","312","105911",""
"312004","","-340","","0","200","","2","312","111",""
"312005","","","","","0","","32","312","1",""
"312006","","","","","1","","32","312","2",""
"312007","","","","","0","","32","312","11",""
"312008","","0","","0","vo_wac_220217_000","","21","312","vo_wac_220217",""
"312009","0.5","10","0","1","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","0","11","312","105911","1"
"312010","","","","","","","91","312","0",""
"312011","","0","","0","vo_wac_220217_001","","21","312","vo_wac_220217",""
"312012","0.5","10","0","1","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","0","11","312","105911","1"
"312013","","","","","","","91","312","0",""
"312014","","","","","0","","22","312","0",""
"313001","","1","","","wac_idle_wish","0.2","3","313","105911",""
"313002","","1","","","wac_no_items","0.2","3","313","111",""
"313003","","-340","","0","200","","2","313","105911",""
"313004","","-340","","0","200","","2","313","111",""
"313005","","","","","0","","32","313","1",""
"313006","","","","","1","","32","313","2",""
"313007","","","","","0","","32","313","11",""
"313008","","","","","","","91","313","0",""
"411001","wac_default_01","202","0","-108","106011","2","1","411","1","-212.75"
"411002","wac_default_02","201","0","-108","111","2","5","411","1","-212.75"
"411003","","0","","0","1","1","31","411","1","1"
"411004","","0","","0","2","0","31","411","2","1"
"411005","","0","","0","11","0","31","411","11","1"
"411006","","0","","","wac_paint_01","0.2","3","411","106011",""
"411007","","0","","","wac_paint_02","0.2","3","411","111",""
"411008","wac_default_11","","","","1","","32","411","11",""
"411009","","0","","","se_10035700_brush","0.2","23","411","se_10035700","0"
"411010","","","","","","","131","411","1",""
"412001","","0","","wac_talk_doya_loop","wac_talk_doya_in","0.2","3","412","106011","1"
"412002","","1","","","wac_no_items","0.2","3","412","111",""
"412003","","-340","","0","200","","2","412","106011",""
"412004","","-340","","0","200","","2","412","111",""
"412005","","","","","0","","32","412","1",""
"412006","","","","","1","","32","412","2",""
"412007","","","","","0","","32","412","11",""
"412008","","0","","0","vo_wac_220218_000","","21","412","vo_wac_220218",""
"412009","0.5","10","0","1","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","0","11","412","106011","1"
"412010","","","","","","","91","412","0",""
"412011","","0","","0","vo_wac_220218_001","","21","412","vo_wac_220218",""
"412012","0.5","10","0","1","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","0","11","412","106011","1"
"412013","","","","","","","91","412","0",""
"412014","","","","","0","","22","412","0",""
"413001","","1","","","wac_idle_doya","0.2","3","413","106011",""
"413002","","1","","","wac_no_items","0.2","3","413","111",""
"413003","","-340","","0","200","","2","413","106011",""
"413004","","-340","","0","200","","2","413","111",""
"413005","","","","","0","","32","413","1",""
"413006","","","","","1","","32","413","2",""
"413007","","","","","0","","32","413","11",""
"413008","","","","","","","91","413","0",""
"511001","wac_default_11","202","0","-108","106431","2","1","511","1","-212.75"
"511002","wac_default_12","201","0","-108","111","2","5","511","1","-212.75"
"511003","","0","","0","1","1","31","511","1","1"
"511004","","0","","0","2","0","31","511","2","1"
"511005","","0","","0","11","0","31","511","11","1"
"511006","","0","","","wac_paint_11","0.2","3","511","106431",""
"511007","","0","","","wac_paint_12","0.2","3","511","111",""
"511008","","","","","0","","93","511","0.3",""
"511009","wac_default_11","","","","1","","32","511","11",""
"511010","","0","","","se_10035700_roller","0.2","23","511","se_10035700","0"
"511011","","","","","","","131","511","1",""
"512001","","0","","wac_talk_smile_loop","wac_talk_smile_in","0.2","3","512","106431","1"
"512002","","1","","","wac_no_items","0.2","3","512","111",""
"512003","","-340","","0","200","","2","512","106431",""
"512004","","-340","","0","200","","2","512","111",""
"512005","","","","","0","","32","512","1",""
"512006","","","","","1","","32","512","2",""
"512007","","","","","0","","32","512","11",""
"512008","","0","","0","vo_wac_220219_000","","21","512","vo_wac_220219",""
"512009","0.5","10","0","1","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","0","11","512","106431","1"
"512010","","","","","","","91","512","0",""
"512011","","0","","0","vo_wac_220219_001","","21","512","vo_wac_220219",""
"512012","0.5","10","0","1","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","0","11","512","106431","1"
"512013","","","","","","","91","512","0",""
"512014","","","","","0","","22","512","0",""
"513001","","1","","","wac_idle_smile","0.2","3","513","106431",""
"513002","","1","","","wac_no_items","0.2","3","513","111",""
"513003","","-340","","0","200","","2","513","106431",""
"513004","","-340","","0","200","","2","513","111",""
"513005","","","","","0","","32","513","1",""
"513006","","","","","1","","32","513","2",""
"513007","","","","","0","","32","513","11",""
"513008","","","","","","","91","513","0",""
"611001","wac_default_01","202","0","-108","104411","2","1","611","1","-212.75"
"611002","wac_default_01","201","0","-108","111","2","5","611","1","-212.75"
"611003","","0","","0","1","1","31","611","1","1"
"611004","","0","","0","2","0","31","611","2","1"
"611005","","0","","0","11","0","31","611","11","1"
"611006","","0","","","wac_paint_01","0.2","3","611","104411",""
"611007","","0","","","wac_paint_01","0.2","3","611","111",""
"611008","wac_default_11","","","","1","","32","611","11",""
"611009","","0","","","se_10035700_brush","0.2","23","611","se_10035700","0"
"611010","","","","","","","131","611","1",""
"612001","","0","","wac_talk_doya_loop","wac_talk_doya_in","0.2","3","612","104411","1"
"612002","","1","","","wac_no_items","0.2","3","612","111",""
"612003","","-340","","0","200","","2","612","104411",""
"612004","","-340","","0","200","","2","612","111",""
"612005","","","","","0","","32","612","1",""
"612006","","","","","1","","32","612","2",""
"612007","","","","","0","","32","612","11",""
"612008","","0","","0","vo_wac_220220_000","","21","612","vo_wac_220220",""
"612009","0.5","10","0","1","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","0","11","612","104411","1"
"612010","","","","","","","91","612","0",""
"612011","","0","","0","vo_wac_220220_001","","21","612","vo_wac_220220",""
"612012","0.5","10","0","1","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","0","11","612","104411","1"
"612013","","","","","","","91","612","0",""
"612014","","","","","0","","22","612","0",""
"613001","","1","","","wac_idle_doya","0.2","3","613","104411",""
"613002","","1","","","wac_no_items","0.2","3","613","111",""
"613003","","-340","","0","200","","2","613","104411",""
"613004","","-340","","0","200","","2","613","111",""
"613005","","","","","0","","32","613","1",""
"613006","","","","","1","","32","613","2",""
"613007","","","","","0","","32","613","11",""
"613008","","","","","","","91","613","0",""
"711001","wac_default_bot_01","202","0","-108","102211","2","1","711","1","-325"
"711002","wac_default_02","201","0","-108","111","2","5","711","1","-325"
"711003","","0","","0","3","1","31","711","3","1"
"711004","","0","","0","2","0","31","711","2","1"
"711005","","0","","0","13","0","31","711","13","1"
"711006","","0","","","wac_paint_bot_01","0.2","3","711","102211",""
"711007","","0","","","wac_paint_02","0.2","3","711","111",""
"711008","wac_default_11","","","","1","","32","711","13",""
"711009","","0","","","se_10035700_brush","0.2","23","711","se_10035700","0"
"711010","","","","","","","131","711","1",""
"712001","","0","","wac_talk_sad_loop","wac_talk_sad_in","0.2","3","712","102211","1"
"712002","","1","","","wac_no_items","0.2","3","712","111",""
"712003","","-340","","0","200","","2","712","102211",""
"712004","","-340","","0","200","","2","712","111",""
"712005","","","","","0","","32","712","3",""
"712006","","","","","1","","32","712","2",""
"712007","","","","","0","","32","712","13",""
"712008","","0","","0","vo_wac_220221_000","","21","712","vo_wac_220221",""
"712009","0.5","10","0","1","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","0","11","712","102211","1"
"712010","","","","","","","91","712","0",""
"712011","","0","","0","vo_wac_220221_001","","21","712","vo_wac_220221",""
"712012","0.5","10","0","1","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","0","11","712","102211","1"
"712013","","","","","","","91","712","0",""
"712014","","","","","0","","22","712","0",""
"713001","","1","","","wac_idle_sad","0.2","3","713","102211",""
"713002","","1","","","wac_no_items","0.2","3","713","111",""
"713003","","-340","","0","200","","2","713","102211",""
"713004","","-340","","0","200","","2","713","111",""
"713005","","","","","0","","32","713","3",""
"713006","","","","","1","","32","713","2",""
"713007","","","","","0","","32","713","13",""
"713008","","","","","","","91","713","0",""
"811001","wac_default_bot_11","202","0","-108","100611","2","1","811","1","-325"
"811002","wac_default_12","201","0","-108","111","2","5","811","1","-325"
"811003","","0","","0","3","1","31","811","3","1"
"811004","","0","","0","2","0","31","811","2","1"
"811005","","0","","0","13","0","31","811","13","1"
"811006","","0","","","wac_paint_bot_11","0.2","3","811","100611",""
"811007","","0","","","wac_paint_12","0.2","3","811","111",""
"811008","","","","","0","","93","811","0.3",""
"811009","wac_default_11","","","","1","","32","811","13",""
"811010","","0","","","se_10035700_roller","0.2","23","811","se_10035700","0"
"811011","","","","","","","131","811","1",""
"812001","","0","","wac_talk_smile_loop","wac_talk_smile_in","0.2","3","812","100611","1"
"812002","","1","","","wac_no_items","0.2","3","812","111",""
"812003","","-340","","0","200","","2","812","100611",""
"812004","","-340","","0","200","","2","812","111",""
"812005","","","","","0","","32","812","3",""
"812006","","","","","1","","32","812","2",""
"812007","","","","","0","","32","812","13",""
"812008","","0","","0","vo_wac_220222_000","","21","812","vo_wac_220222",""
"812009","0.5","10","0","1","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","0","11","812","100611","1"
"812010","","","","","","","91","812","0",""
"812011","","0","","0","vo_wac_220222_001","","21","812","vo_wac_220222",""
"812012","0.5","10","0","1","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","0","11","812","100611","1"
"812013","","","","","","","91","812","0",""
"812014","","","","","0","","22","812","0",""
"813001","","1","","","wac_idle_smile","0.2","3","813","100611",""
"813002","","1","","","wac_no_items","0.2","3","813","111",""
"813003","","-340","","0","200","","2","813","100611",""
"813004","","-340","","0","200","","2","813","111",""
"813005","","","","","0","","32","813","3",""
"813006","","","","","1","","32","813","2",""
"813007","","","","","0","","32","813","13",""
"813008","","","","","","","91","813","0",""
"911001","wac_default_01","202","0","-108","103111","2","1","911","1","-212.75"
"911002","wac_default_03","201","0","-108","111","2","5","911","1","-212.75"
"911003","","0","","0","1","1","31","911","1","1"
"911004","","0","","0","2","0","31","911","2","1"
"911005","","0","","0","11","0","31","911","11","1"
"911006","","0","","","wac_paint_01","0.2","3","911","103111",""
"911007","","0","","","wac_paint_03","0.2","3","911","111",""
"911008","wac_default_11","","","","1","","32","911","11",""
"911009","","0","","","se_10035700_brush","0.2","23","911","se_10035700","0"
"911010","","","","","","","131","911","1",""
"912001","","0","","wac_talk_wish_loop","wac_talk_wish_in","0.2","3","912","103111","1"
"912002","","1","","","wac_no_items","0.2","3","912","111",""
"912003","","-340","","0","200","","2","912","103111",""
"912004","","-340","","0","200","","2","912","111",""
"912005","","","","","0","","32","912","1",""
"912006","","","","","1","","32","912","2",""
"912007","","","","","0","","32","912","11",""
"912008","","0","","0","vo_wac_220223_000","","21","912","vo_wac_220223",""
"912009","0.5","10","0","1","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","0","11","912","103111","1"
"912010","","","","","","","91","912","0",""
"912011","","0","","0","vo_wac_220223_001","","21","912","vo_wac_220223",""
"912012","0.5","10","0","1","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","0","11","912","103111","1"
"912013","","","","","","","91","912","0",""
"912014","","","","","0","","22","912","0",""
"913001","","1","","","wac_idle_wish","0.2","3","913","103111",""
"913002","","1","","","wac_no_items","0.2","3","913","111",""
"913003","","-340","","0","200","","2","913","103111",""
"913004","","-340","","0","200","","2","913","111",""
"913005","","","","","0","","32","913","1",""
"913006","","","","","1","","32","913","2",""
"913007","","","","","0","","32","913","11",""
"913008","","","","","","","91","913","0",""
"1011001","wac_default_01","202","0","-108","100711","2","1","1011","1","-212.75"
"1011002","wac_default_01","201","0","-108","111","2","5","1011","1","-212.75"
"1011003","","0","","0","1","1","31","1011","1","1"
"1011004","","0","","0","2","0","31","1011","2","1"
"1011005","","0","","0","11","0","31","1011","11","1"
"1011006","","0","","","wac_paint_01","0.2","3","1011","100711",""
"1011007","","0","","","wac_paint_01","0.2","3","1011","111",""
"1011008","wac_default_11","","","","1","","32","1011","11",""
"1011009","","0","","","se_10035700_brush","0.2","23","1011","se_10035700","0"
"1011010","","","","","","","131","1011","1",""
"1012001","","0","","wac_talk_smile_loop","wac_talk_smile_in","0.2","3","1012","100711","1"
"1012002","","1","","","wac_no_items","0.2","3","1012","111",""
"1012003","","-340","","0","200","","2","1012","100711",""
"1012004","","-340","","0","200","","2","1012","111",""
"1012005","","","","","0","","32","1012","1",""
"1012006","","","","","1","","32","1012","2",""
"1012007","","","","","0","","32","1012","11",""
"1012008","","0","","0","vo_wac_220224_000","","21","1012","vo_wac_220224",""
"1012009","0.5","10","0","1","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","0","11","1012","100711","1"
"1012010","","","","","","","91","1012","0",""
"1012011","","0","","0","vo_wac_220224_001","","21","1012","vo_wac_220224",""
