2c460ed330e7dd13426db4f1a507ab9b8910c9b4abe8f9a1ba4c4558a2eca55e,368d4cafb3795b05aca359e8eab101c1dd54d57ef08f013c9d35f9843301d088,466e47966ea96574f38665d6d080b86a64e8f7a78b8919b7f1bbefa55219e43f,d294e3bd66e641649eff70fb117e491c724803f0a2af8a32ed6bc09c0d651034,5aadfd47bf283dfa91c8194744cdeeadb2ca25e448978daeafabeb28a321b1e8,1371867d61afb19796111b0a16fe55b4ecb65f64b3fbb446457bf46f6f5b2603,529f825144d9c0b0cc3bb7dfd93f347fb4022a74aae7bbc3994bf4ac4e2e4600,20d4c13e831ddf7460999175d72a10f6a48b298b5e37b1f7fc978bdcf0f1f757,9962050ac954094867a7c22fcec24b7e27b4c06e25f1c67cd5c26e370f3a809f,d9b3b66bf235c1d5152f0ea8e86a50dca4edcd9b882cdc63fec23a45b9f53cf7,d46a01ce79b746e2c58b24069442527b0624449fe5ea50c2bed1d83b0577d4af,74ab658f1cdacae36fac669c3cdf18611545de810ad664dfa7e0a21fe7584cfa
"1","7005","5000000","31001312","2022/12/23 11:59:59","1001","31001312","ファントムバロンに1度のバトルで500万ダメージ与えよう","31","3003","2022/12/16 12:00:00","3"
"5000000","7004","0","31001401","2022/12/23 11:59:59","1001","31001401","テンタパスに累積500万ダメージ与えよう","40","3004","2022/12/16 12:00:00","3"
"7500000","7004","0","31001402","2022/12/23 11:59:59","1001","31001402","テンタパスに累積750万ダメージ与えよう","40","3004","2022/12/16 12:00:00","3"
"10000000","7004","0","31001403","2022/12/23 11:59:59","1001","31001403","テンタパスに累積1000万ダメージ与えよう","40","3004","2022/12/16 12:00:00","3"
"1","7005","2500000","31001411","2022/12/23 11:59:59","1001","31001411","テンタパスに1度のバトルで250万ダメージ与えよう","41","3004","2022/12/16 12:00:00","3"
"1","7005","5000000","31001412","2022/12/23 11:59:59","1001","31001412","テンタパスに1度のバトルで500万ダメージ与えよう","41","3004","2022/12/16 12:00:00","3"
"5000000","7004","0","31002101","2022/12/23 11:59:59","1002","31002101","ゴウシンに累積500万ダメージ与えよう","10","3005","2022/12/16 12:00:00","3"
"7500000","7004","0","31002102","2022/12/23 11:59:59","1002","31002102","ゴウシンに累積750万ダメージ与えよう","10","3005","2022/12/16 12:00:00","3"
"10000000","7004","0","31002103","2022/12/23 11:59:59","1002","31002103","ゴウシンに累積1000万ダメージ与えよう","10","3005","2022/12/16 12:00:00","3"
"110000000","7004","0","31002104","2022/12/23 11:59:59","1002","31002104","ゴウシンに累積1億1000万ダメージ与えよう","10","3005","2022/12/16 12:00:00","3"
"1","7005","2500000","31002111","2022/12/23 11:59:59","1002","31002111","ゴウシンに1度のバトルで250万ダメージ与えよう","11","3005","2022/12/16 12:00:00","3"
"1","7005","5000000","31002112","2022/12/23 11:59:59","1002","31002112","ゴウシンに1度のバトルで500万ダメージ与えよう","11","3005","2022/12/16 12:00:00","3"
"1","7005","22000000","31002113","2022/12/23 11:59:59","1002","31002113","ゴウシンに1度のバトルで2200万ダメージ与えよう","11","3005","2022/12/16 12:00:00","3"
"5000000","7004","0","31003101","2022/12/23 11:59:59","1003","31003101","アルマ＆オラムに累積500万ダメージ与えよう","10","3006","2022/12/16 12:00:00","3"
"7500000","7004","0","31003102","2022/12/23 11:59:59","1003","31003102","アルマ＆オラムに累積750万ダメージ与えよう","10","3006","2022/12/16 12:00:00","3"
"10000000","7004","0","31003103","2022/12/23 11:59:59","1003","31003103","アルマ＆オラムに累積1000万ダメージ与えよう","10","3006","2022/12/16 12:00:00","3"
"100000000","7004","0","31003104","2022/12/23 11:59:59","1003","31003104","アルマ＆オラムに累積1億ダメージ与えよう","10","3006","2022/12/16 12:00:00","3"
"1","7005","2500000","31003111","2022/12/23 11:59:59","1003","31003111","アルマ＆オラムに1度のバトルで250万ダメージ与えよう","11","3006","2022/12/16 12:00:00","3"
"1","7005","5000000","31003112","2022/12/23 11:59:59","1003","31003112","アルマ＆オラムに1度のバトルで500万ダメージ与えよう","11","3006","2022/12/16 12:00:00","3"
"1","7005","20000000","31003113","2022/12/23 11:59:59","1003","31003113","アルマ＆オラムに1度のバトルで2000万ダメージ与えよう","11","3006","2022/12/16 12:00:00","3"
"5000000","7004","0","31003201","2022/12/23 11:59:59","1003","31003201","なかよしX＆名もなき芸術に累積500万ダメージ与えよう","20","3007","2022/12/16 12:00:00","3"
"7500000","7004","0","31003202","2022/12/23 11:59:59","1003","31003202","なかよしX＆名もなき芸術に累積750万ダメージ与えよう","20","3007","2022/12/16 12:00:00","3"
"10000000","7004","0","31003203","2022/12/23 11:59:59","1003","31003203","なかよしX＆名もなき芸術に累積1000万ダメージ与えよう","20","3007","2022/12/16 12:00:00","3"
"120000000","7004","0","31003204","2022/12/23 11:59:59","1003","31003204","なかよしX＆名もなき芸術に累積1億2000万ダメージ与えよう","20","3007","2022/12/16 12:00:00","3"
"1","7005","2500000","31003211","2022/12/23 11:59:59","1003","31003211","なかよしX＆名もなき芸術に1度のバトルで250万ダメージ与えよう","21","3007","2022/12/16 12:00:00","3"
"1","7005","5000000","31003212","2022/12/23 11:59:59","1003","31003212","なかよしX＆名もなき芸術に1度のバトルで500万ダメージ与えよう","21","3007","2022/12/16 12:00:00","3"
"1","7005","24000000","31003213","2022/12/23 11:59:59","1003","31003213","なかよしX＆名もなき芸術に1度のバトルで2400万ダメージ与えよう","21","3007","2022/12/16 12:00:00","3"
