69c0f91e2c3ee377e250eea4e6b0f538048748d7405cedb899aa47797a74fad6,afbdba06ee1186cfbd1fce554a78ec3a058d0e223e886f972a7f01831396ea27,aabf470bd732a3f2b34a37ee96a47c1f736d3c11d8ef1d8e46277380ed8469c5,93a8c145285d44da59c249834973296b78ade99eb136ac5c9bcc38c61bd2fbdc,1777c5b0fb9d924667324a911df7fae905a2c0fc3ac74307fedd787713cdc044,d0aadd1eade0c140d4509d8942286dd50c3eedeaf9355b5da420a375b9751c57,25116a4049e1bcc945d3cb3ec78ca48acc91843f4b6ef89818c7e339430ac8a5,442267524648363866d52b1bca7af4fe28930adde27703b08328087d1b463fd3,0008716fc0e90ad84d51fc3ccf49203a853ff61933165f86e4cd2d04a29189fc,82d30a9781c1ed303353fe8ba052fac1a1dd15d03fa77d20a04c4f6730454141,d1e6b88310e19cd44eebf3d17b9d2413b7f446f9c380d13e957be6ae5e3fd8a5,34f0eca16f55dfa872925a945ed36595476638ada351bc43d4b62ba843212607,5c203e978c98f842762bbee4eb3c7392b7540a836bdd564586c96cdaecca4951
"201280","0","129711","バトル開始から1.5秒間、敵の移動速度を\n35％ダウンさせる。","3","相手の移動速度をダウン","1","0","ネフィ＝ネラ","0","0","0","2222801"
"201290","0","131311","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","2","攻撃力と移動速度をアップ","1","20129001","リリ","0","0","0","2222901"
"201300","0","127711","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を50％アップさせる。","2","攻撃速度と攻撃力をアップ","1","0","リンド","0","0","0","2223001"
"201310","0","105811","最大HPを50％アップさせる。","2","最大HPをアップ","1","20131001","ペコリーヌ","0","0","0","0"
"201320","0","106011","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","2","敵の移動速度をダウン","1","0","キャル","0","0","0","2223201"
"201330","0","105911","コスト上限を100％アップさせる。","2","コスト上限をアップ","1","20133001","コッコロ","0","0","0","0"
"201340","0","106411","移動速度を25％アップさせる。","3","移動速度をアップ","1","0","シェフィ","0","0","0","2223401"
"201350","0","131311","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","2","攻撃力と移動速度をアップ","1","20135001","リリ","0","0","0","2223501"
"201360","0","131411","最大HPを50％アップさせ、移動速度を20％\nアップさせる。","2","最大HPと移動速度をアップ","1","20136001","クリア","0","0","0","2223601"
"201370","0","131511","コスト上限を50％アップさせ、移動速度を\n20％アップさせる。","2","コスト上限と移動速度をアップ","1","20137001","プレシア","0","0","0","2223701"
"201380","0","126411","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を25％アップさせる。","2","攻撃力と攻撃速度をアップ","1","20138001","クローチェ","0","0","0","2223801"
"201390","0","126511","バトル開始から３秒間、攻撃力を35％アップ\nさせる。","3","攻撃力をアップ","1","0","ライラエル","0","0","0","2223901"
"201400","0","127711","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を25％アップさせる。","2","攻撃速度と攻撃力をアップ","1","0","リンド","0","0","0","2224001"
"201410","0","127811","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を25％ダ\nウンさせる。","2","自分の攻撃速度と敵の攻撃力をダウン","1","0","ヴルム","0","0","0","2224101"
"201420","0","130911","コスト上限を50％アップさせ、HPを50％\nアップさせる。","3","コスト上限とHPをアップ","1","20142001","クルル","0","20142002","0","0"
"201430","0","129611","敵の攻撃力と攻撃速度を20％ダウンさせる。","2","相手の攻撃力と攻撃速度をダウン","1","0","アネモネ","0","0","0","2224301"
"201440","0","129711","バトル開始から1.5秒間、敵の移動速度を\n75％ダウンさせる。","3","相手の移動速度をダウン","1","0","ネフィ＝ネラ","0","0","0","2224401"
"201450","0","105811","最大HPを100％アップさせる。","2","最大HPをアップ","1","20145001","ペコリーヌ","0","0","0","0"
"201460","0","105911","コスト上限を100％アップさせる。","2","コスト上限をアップ","1","20146001","コッコロ","0","0","0","0"
"201470","0","131311","攻撃力を75％アップさせ、移動速度を30％\nアップさせる。","2","攻撃力と移動速度をアップ","1","20147001","リリ","0","0","0","2224701"
"201480","0","126511","バトル開始から３秒間、攻撃力を75％アップ\nさせる。","3","攻撃力をアップ","1","0","ライラエル","0","0","0","2224801"
"201490","0","129711","バトル開始から1.5秒間、敵の移動速度を\n90％ダウンさせる。","3","相手の移動速度をダウン","1","0","ネフィ＝ネラ","0","0","0","2224901"
"201500","0","105811","最大HPを200％アップさせる。","2","最大HPをアップ","1","20150001","ペコリーヌ","0","0","0","0"
