03eba52f91cc07185c4855fff001036fd1b873d7003fdc974096838c2b37bda8,a911c55828250f2d8a03ba36d4a0fc0eba9326ceca9db1f10c68de879289c76b,012c359e292b454d0f67dc56e3f620780f05fb6da17a4c3e8dc5b24d48fdd644,3a963e1fadccc1d8f40936448ea2c37c84b4c3b72791236e6a59e27ce94d9955,0cec9ccd4698e60b44f99096fafa5766077fcf28827373cd622f369ca0cff8b8,e0dcc175f9afc8d9ac29c9350afd947fc68acdc2bf59b56368333d558287521c,89c30fa11d0b456dd0367f4aac59fb1b9f639f57f277748d62e64be95aa44e34,f37840d668b15cedc84959f3805cec324e15f424d0a42ad1c9e46558be00010f,e7d93522039a864928e5b99441798d0fc1e398efebc6ccdb25ba2377f0d4e1bc,b1b6be3db110cffce4432cac206eb93bc938b34f05ecc46b55ce5ca8f5c3dc9b,598c079a51233a2eba46d5d050bcc2550286a0818cfd601ddae5112997b656f0
"","1","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0104","0","","1044"
"0.5","1","119931","11","0","0","1","みんなみんな\nおいしいプリンにしてやるの～♪","5","0","1045"
"","1","4","93","","","","1","","","1046"
"","1","119931","3","0.2","0.2","psy_miyako_fight_loop","psy_miyako_fight_in","0","1","1047"
"","1","1","3","0.2","0.2","psy_item00_handsup_loop","psy_item00_handsup","0","1","1048"
"","1","1.5","93","","","","","","","1049"
"","1","1045","91","","","","","","","1050"
"","1","0","22","","","","0","","","1051"
"psy_miyako_start","2","1","1","1.7","0","-300","119931","100","-200","2001"
"psy_walk","2","1","1","1.7","1","300","106011","100","-220","2002"
"","2","1","31","1","","0","11","0","1","2003"
"psy_smoke_start","2","1","5","1.7","0","-300","1","101","-200","2004"
"","2","106011","2","","","2","185","-220","0","2005"
"","2","2","93","","","","","","","2006"
"","2","106011","3","0.2","0","psy_kyaru_talk_arm_crossed_loop","psy_kyaru_talk_arm_crossed","0","1","2007"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0305","0","","2008"
"0.5","2","106011","11","0","0","1","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","8","0","2009"
"","2","0","91","","","","","","","2010"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0306","0","","2011"
"","2","106011","3","0.2","","","psy_talk_sad","1","","2012"
"0.5","2","106011","11","0","0","1","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","8","0","2013"
"","2","4","93","","","","1","","","2014"
"","2","106011","3","0.2","","","psy_talk_sad","1","","2015"
"","2","2013","91","","","","","","","2016"
"","2","106011","3","0.2","","","psy_idle_sad","1","","2017"
"","2","119931","3","0.2","0.2","psy_miyako_thinking4","psy_miyako_appear","0","1","2018"
"","2","1","3","0","0","psy_smoke_start","psy_smoke_appear","0","0","2019"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0301","0","","2020"
"1","2","119931","11","0","0","1","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","4","0","2021"
"","2","1","93","","","","1","","","2022"
"","2","106011","3","0.2","0.2","psy_idle_surprise2","psy_surprise","0","1","2023"
"","2","2021","91","","","","","","","2024"
"","2","0","22","","","","0","","","2025"
"","2","119931","3","0.2","","","psy_miyako_idle_thinking","1","","2026"
"","2","106011","3","0.2","","","psy_talk_surprise2","1","","2027"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0307","0","","2028"
"0.5","2","106011","11","0","0","1","キャッ！？\nいきなり出てきてなんなのよあんた！","8","0","2029"
"","2","0","91","","","","","","","2030"
"","2","106011","3","0.2","","","psy_idle_surprise2","1","","2031"
"","2","119931","3","0.2","","","psy_miyako_anger1","1","","2032"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0302","0","","2033"
"1","2","119931","11","0","0","1","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","5","0","2034"
"","2","8","93","","","","1","","","2035"
"","2","119931","3","0.2","","","psy_miyako_thinking2","1","","2036"
"","2","2034","91","","","","","","","2037"
"","2","0","22","","","","0","","","2038"
"","2","106011","3","0.2","","","psy_talk_sad","1","","2039"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0308","0","","2040"
"0.5","2","106011","11","0","0","1","な、何よ……","8","0","2041"
"","2","0","91","","","","","","","2042"
"","2","106011","3","0.2","","","psy_idle_sad","1","","2043"
"","2","119931","3","0.2","","","psy_miyako_run","1","","2044"
"","2","119931","2","","","2","0","-200","0","2045"
"","2","2","93","","","","","","","2046"
"","2","119931","3","0.2","","","psy_miyako_thinking2","1","","2047"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0303","0","","2048"
"1","2","119931","11","0","0","1","むむむむむ……\nオマエ、なんかおいしそうなの……","6","0","2049"
"","2","0","91","","","","","","","2050"
"","2","0","22","","","","0","","","2051"
"","2","0.5","93","","","","","","","2052"
"","2","106011","3","0.2","","","psy_talk_sad","1","","2053"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0309","0","","2054"
"0.5","2","106011","11","0","0","1","はぁ～？","8","0","2055"
"","2","0","91","","","","","","","2056"
"","2","106011","3","0.2","","","psy_idle_sad","1","","2057"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0304","0","","2058"
"0.5","2","119931","11","0","0","1","オマエをプリンにしてやるの～～！！","6","0","2059"
"","2","0.5","93","","","","1","","","2060"
"","2","119931","3","0.2","0","psy_miyako_attack_loop","psy_miyako_attack_in","0","1","2061"
"","2","0.2","93","","","","1","","","2062"
"","2","106011","3","0.2","0.2","psy_idle_surprise2","psy_surprise","0","1","2063"
"","2","2059","91","","","","","","","2064"
"","2","0","22","","","","0","","","2065"
"","2","106011","3","0.2","","","psy_talk_surprise2","1","","2066"
"","2","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0310","0","","2067"
"0.5","2","106011","11","0","0","1","な、なんなのよこの店～～！！","8","0","2068"
"","2","0","91","","","","","","","2069"
"","2","106011","4","","","","0","","","2070"
"","2","106011","3","0.2","","","psy_run_shy","1","","2071"
"","2","119931","3","0.2","","","psy_miyako_attack_loop_move","1","","2072"
"","2","106011","2","","","3","1000","-220","0","2073"
"","2","119931","2","","","5","1000","-220","0","2074"
"","2","3.5","93","","","","","","","2075"
"","2","0","22","","","","0","","","2076"
"","2","0","91","","","","","","","2077"
"psy_miyako_gasagoso_B","3","1","1","1.65","1","-250","119931","100","-150","3001"
"psy_walk","3","1","1","1.7","1","340","105511","100","-180","3002"
"","3","1","31","1","","0","11","0","1","3003"
"psy_smoke_start","3","1","5","1.7","0","-300","1","101","-220","3004"
"","3","105511","2","","","2","225","-180","0","3005"
"","3","2","93","","","","","","","3006"
"","3","105511","3","0.2","","","psy_talk_wish","1","","3007"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0203","0","","3008"
"0.5","3","105511","11","0","0","1","こ、ここで先輩が働いてるんですよね？","8","0","3009"
"","3","0","91","","","","","","","3010"
"","3","105511","3","0.2","0","psy_ayumi_kyoro_loop","psy_ayumi_kyoro_in","0","1","3011"
"","3","1.8","93","","","","","","","3012"
"","3","105511","3","0.2","","","psy_talk_joy1","1","","3013"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0204","0","","3014"
"0.5","3","105511","11","0","0","1","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","8","0","3015"
"","3","0","91","","","","","","","3016"
"","3","105511","3","0.2","","","psy_talk_call","1","","3017"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0205","0","","3018"
"0.5","3","105511","11","0","0","1","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","8","0","3019"
"","3","3","93","","","","1","","","3020"
"0","3","119931","12","0","0","1","5","0.8","0","3021"
"","3","119931","4","","","","0","","","3022"
"","3","119931","3","0","","","psy_miyako_idle_thinking","1","","3023"
"","3","1.5","93","","","","1","","","3024"
"","3","119931","4","","","","1","","","3025"
"","3","119931","3","0","","","psy_miyako_gasagoso_B","1","","3026"
"","3","0.5","93","","","","1","","","3027"
"","3","105511","3","0.2","","","psy_talk_sad","1","","3028"
"","3","3019","91","","","","","","","3029"
"","3","105511","3","0.2","","","psy_talk_wish","1","","3030"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0206","0","","3031"
"0.5","3","105511","11","0","0","1","と、とりあえずお金はおいておきますね\n失礼します！","8","0","3032"
"","3","2","93","","","","1","","","3033"
"","3","105511","3","0.2","","","psy_gasagoso_B2","1","","3034"
"","3","1","93","","","","1","","","3035"
"","3","105511","3","0.2","0.2","psy_idle_normal","psy_pekori","0","1","3036"
"","3","3032","91","","","","","","","3037"
"","3","105511","4","","","","0","","","3038"
"","3","105511","3","0.2","","","psy_run","1","","3039"
"","3","105511","2","","","3","1000","-180","0","3040"
"","3","3","93","","","","","","","3041"
"","3","0.5","93","","","","","","","3042"
"","3","119931","3","0","","","psy_miyako_idle_thinking","1","","3043"
"","3","2","93","","","","","","","3044"
"","3","119931","4","","","","0","","","3045"
"","3","119931","3","0.2","","","psy_miyako_run","1","","3046"
"","3","119931","2","","","2","0","-165","0","3047"
"","3","2","93","","","","","","","3048"
"","3","119931","3","0.2","","","psy_miyako_thinking4","1","","3049"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0201","0","","3050"
"0.5","3","119931","11","0","0","1","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","5","0","3051"
"","3","4","93","","","","1","","","3052"
"","3","119931","3","0.2","","","psy_miyako_panic1","1","","3053"
"","3","3051","91","","","","","","","3054"
"","3","0","22","","","","0","","","3055"
"","3","119931","3","0.2","0","psy_miyako_surprise2_loop","psy_miyako_surprise2_in","0","1","3056"
"","3","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0202","0","","3057"
"1","3","119931","11","0","0","1","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","5","0","3058"
"","3","4","93","","","","1","","","3059"
"","3","119931","3","0.2","","","psy_miyako_thinking4","1","","3060"
"","3","3058","91","","","","","","","3061"
"","3","0","22","","","","0","","","3062"
"","3","1","93","","","","","","","3063"
"","3","0","91","","","","","","","3064"
"psy_miyako_start","4","1","1","1.7","0","-300","119931","100","-200","4001"
"psy_walk","4","1","1","1.7","1","300","107131","100","-220","4002"
"","4","1","31","1","","0","11","0","1","4003"
"psy_smoke_start","4","1","5","1.7","0","-300","1","101","-200","4004"
"","4","107131","2","","","2","185","-220","0","4005"
"","4","2","93","","","","","","","4006"
"","4","107131","3","0.2","0.2","psy_talk_doya_loop","psy_talk_doya","0","1","4007"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0405","0","","4008"
"0.5","4","107131","11","0","0","1","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","8","0","4009"
"","4","0","91","","","","","","","4010"
"","4","107131","3","0.2","","","psy_idle_doya","1","","4011"
"","4","107131","3","0.2","","","psy_talk_sad","1","","4012"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0406","0","","4013"
"0.5","4","107131","11","0","0","1","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","8","0","4014"
"","4","6","93","","","","1","","","4015"
"","4","107131","3","0.2","","","psy_talk_call","1","","4016"
"","4","4014","91","","","","","","","4017"
"","4","107131","3","0.2","","","psy_idle_arm_crossed","1","","4018"
"","4","119931","3","0","0.2","psy_miyako_talk_joy1","psy_miyako_appear","0","1","4019"
"","4","1","3","0","0","psy_smoke_start","psy_smoke_appear","0","0","4020"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0401","0","","4021"
"0.5","4","119931","11","0","0","1","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","6","0","4022"
"","4","0","91","","","","","","","4023"
"","4","0","22","","","","0","","","4024"
"","4","119931","3","0.2","","","psy_miyako_idle","1","","4025"
"","4","107131","3","0.2","","","psy_talk_normal","1","","4026"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0407","0","","4027"
"0.5","4","107131","11","0","0","1","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","8","0","4028"
"","4","0","91","","","","","","","4029"
"","4","107131","3","0.2","","","psy_idle_normal","1","","4030"
"","4","119931","3","0.2","","","psy_miyako_sad1","1","","4031"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0402","0","","4032"
"0.5","4","119931","11","0","0","1","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","6","0","4033"
"","4","5","93","","","","1","","","4034"
"","4","119931","3","0.2","","","psy_miyako_talk4","1","","4035"
"","4","4033","91","","","","","","","4036"
"","4","0","22","","","","0","","","4037"
"","4","119931","3","0.2","","","psy_miyako_idle2","1","","4038"
"","4","107131","3","0.2","0.2","psy_ahaha_loop","psy_ahaha_in","0","1","4039"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0408","0","","4040"
"0.5","4","107131","11","0","0","1","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","8","0","4041"
"","4","1.7","93","","","","1","","","4042"
"","4","107131","3","0.2","","","psy_talk_joy1","1","","4043"
"","4","4041","91","","","","","","","4044"
"","4","107131","3","0.2","0.2","psy_talk_doya_loop","psy_talk_doya","0","1","4045"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0409","0","","4046"
"0.5","4","107131","11","0","0","1","なんとしてもおまえからお菓子を\n買わせてもらおう。","8","0","4047"
"","4","0","91","","","","","","","4048"
"","4","107131","3","0.2","","","psy_idle_wish","1","","4049"
"","4","119931","3","0.2","","","psy_miyako_panic1","1","","4050"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0403","0","","4051"
"0.5","4","119931","11","0","0","1","なんでそうなるの！？\nいいから帰れなの！","6","0","4052"
"","4","0","91","","","","","","","4053"
"","4","0","22","","","","0","","","4054"
"","4","119931","3","0.2","","","psy_miyako_idle_panic","1","","4055"
"","4","107131","3","0.2","0","psy_cris_approach_loop","psy_cris_approach_in","0","1","4056"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0410","0","","4057"
"0.5","4","107131","11","0","0","1","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","8","0","4058"
"","4","4","93","","","","1","","","4059"
"","4","107131","3","0.2","0","psy_talk_arm_crossed_loop","psy_talk_arm_crossed","0","1","4060"
"","4","4058","91","","","","","","","4061"
"","4","107131","3","0.2","","","psy_talk_joy1","1","","4062"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0411","0","","4063"
"0.5","4","107131","11","0","0","1","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","8","0","4064"
"","4","0","91","","","","","","","4065"
"","4","107131","3","0.2","","","psy_idle_joy1","1","","4066"
"","4","119931","3","0.2","","","psy_miyako_anger2","1","","4067"
"","4","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0404","0","","4068"
"0.5","4","119931","11","0","0","1","な、なんでそうなるのーー！？","6","0","4069"
"","4","4","93","","","","","","","4070"
"","4","0","91","","","","","","","4071"
"psy_miyako_start","5","1","1","1.7","0","-300","119931","100","-200","5001"
"psy_walk","5","1","1","1.7","1","300","104931","100","-220","5002"
"","5","1","31","1","","0","11","0","1","5003"
"psy_smoke_start","5","1","5","1.7","0","-300","1","101","-200","5004"
"","5","104931","2","","","2","185","-220","0","5005"
"","5","2","93","","","","","","","5006"
"","5","104931","3","0.2","","","psy_talk_wish","1","","5007"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0504","0","","5008"
"0.5","5","104931","11","0","0","1","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","8","0","5009"
"","5","4.3","93","","","","1","","","5010"
"","5","104931","3","0.2","","","psy_talk_joy1","1","","5011"
"","5","5009","91","","","","","","","5012"
"","5","104931","3","0.2","","","psy_idle_joy1","1","","5013"
"","5","119931","3","0","0.2","psy_miyako_talk3","psy_miyako_appear","0","1","5014"
"","5","1","3","0","0","psy_smoke_start","psy_smoke_appear","0","0","5015"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0501","0","","5016"
"0.5","5","119931","11","0","0","1","うるさいの。\nいきなりなんなの？","6","0","5017"
"","5","0","91","","","","","","","5018"
"","5","0","22","","","","0","","","5019"
"","5","119931","3","0.2","","","psy_miyako_idle","1","","5020"
"","5","104931","3","0.2","","","psy_talk_joy1","1","","5021"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0505","0","","5022"
"0.5","5","104931","11","0","0","1","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","8","0","5023"
"","5","4","93","","","","","","","5024"
"","5","104931","3","0.2","","","psy_talk_wish","1","","5025"
"","5","5023","91","","","","","","","5026"
"","5","0","91","","","","","","","5027"
"","5","104931","3","0.2","","","psy_idle_wish","1","","5028"
"","5","119931","3","0.2","","","psy_miyako_anger3","1","","5029"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0502","0","","5030"
"0.5","5","119931","11","0","0","1","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","6","0","5031"
"","5","5","93","","","","1","","","5032"
"","5","119931","3","0.2","0","psy_miyako_arm_crossed_loop","psy_miyako_arm_crossed_in","0","1]","5033"
"","5","5031","91","","","","","","","5034"
"","5","0","22","","","","0","","","5035"
"","5","119931","3","0.2","","","psy_miyako_arm_crossed_idle","1","","5036"
"","5","104931","3","0.2","","","psy_talk_wish","1","","5037"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0506","0","","5038"
"0.5","5","104931","11","0","0","1","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","8","0","5039"
"","5","0","91","","","","","","","5040"
"","5","104931","3","0.2","","","psy_talk_joy2","1","","5041"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0507","0","","5042"
"0.5","5","104931","11","0","0","1","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","8","0","5043"
"","5","0","91","","","","","","","5044"
"","5","104931","3","0.2","","","psy_talk_memory","1","","5045"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0508","0","","5046"
"0.5","5","104931","11","0","0","1","まずはそう、運命の出会いから……","8","0","5047"
"","5","0","91","","","","","","","5048"
"","5","104931","3","0.2","","","psy_idle_memory","1","","5049"
"","5","119931","3","0.2","","","psy_miyako_sad1","1","","5050"
"","5","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0503","0","","5051"
"0.5","5","119931","11","0","0","1","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","6","0","5052"
"","5","0","91","","","","","","","5053"
"","5","0","22","","","","0","","","5054"
"","5","119931","3","0.2","","","psy_miyako_hide","0","","5055"
"","5","1","3","0","0","psy_smoke_start","psy_smoke_hide","0","0","5056"
"","5","2","93","","","","","","","5057"
"","5","0","91","","","","","","","5058"
"psy_miyako_idle_thinking","6","1","1","1.7","1","-300","119931","100","-200","6001"
"psy_walk","6","1","1","1.7","1","300","103131","100","-220","6002"
"","6","1","31","1","","0","11","0","1","6003"
"0","6","119931","12","0","0","0","17","2","0","6004"
"","6","103131","2","","","2","185","-220","0","6005"
"","6","2","93","","","","","","","6006"
"","6","103131","3","0.2","","","psy_talk_wish","1","","6007"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0605","0","","6008"
"0.5","6","103131","11","0","0","1","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","8","0","6009"
"","6","0","91","","","","","","","6010"
"","6","103131","3","0.2","","","psy_idle_wish","1","","6011"
"","6","119931","4","","","","0","","","6012"
"","6","119931","3","0.2","0.2","psy_miyako_talk_joy2","psy_miyako_surprise2_in","0","1","6013"
"","6","1","93","","","","","","","6014"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0601","0","","6015"
"0.5","6","119931","11","0","0","1","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","6","0","6016"
"","6","3","93","","","","1","","","6017"
"","6","119931","3","0.2","","","psy_miyako_talk2","1","","6018"
"","6","6016","91","","","","","","","6019"
"","6","0","22","","","","0","","","6020"
"","6","119931","3","0.2","","","psy_miyako_idle_sad","1","","6021"
"","6","103131","3","0.2","","","psy_talk_sad","1","","6022"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0606","0","","6023"
"0.5","6","103131","11","0","0","1","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","8","0","6024"
"","6","0","91","","","","","","","6025"
"","6","103131","3","0.2","","","psy_idle_sad","1","","6026"
"","6","119931","3","0.2","","","psy_miyako_panic3","1","","6027"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0602","0","","6028"
"0.5","6","119931","11","0","0","1","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","5","0","6029"
"","6","5.5","93","","","","1","","","6030"
"","6","119931","3","0.2","","","psy_miyako_sad2","1","","6031"
"","6","6029","91","","","","","","","6032"
"","6","0","22","","","","0","","","6033"
"","6","119931","3","0.2","","","psy_miyako_idle_sad","1","","6034"
"","6","103131","3","0.2","0.2","psy_talk_surprise1","psy_surprise","0","1","6035"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0607","0","","6036"
"0.5","6","103131","11","0","0","1","ミヤコさんが……自分で……\nプリンを……","8","0","6037"
"","6","0","91","","","","","","","6038"
"","6","103131","3","0.2","","","psy_idle_surprise1","1","","6039"
"","6","119931","3","0.2","","","psy_miyako_talk2","1","","6040"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0603","0","","6041"
"0.5","6","119931","11","0","0","1","どうしたの？","6","0","6042"
"","6","0","91","","","","","","","6043"
"","6","0","22","","","","0","","","6044"
"","6","119931","3","0.2","","","psy_miyako_idle","1","","6045"
"","6","103131","3","0.2","","","psy_talk_joy1","1","","6046"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0608","0","","6047"
"0.5","6","103131","11","0","0","1","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","8","0","6048"
"","6","4","93","","","","1","","","6049"
"","6","103131","3","0.2","","","psy_talk_wish","1","","6050"
"","6","6048","91","","","","","","","6051"
"","6","103131","3","0.2","","","psy_idle_wish","1","","6052"
"","6","119931","3","0.2","","","psy_miyako_joy1","1","","6053"
"","6","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0604","0","","6054"
"0.5","6","119931","11","0","0","1","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","6","0","6055"
"","6","5","93","","","","1","","","6056"
"","6","119931","3","0.2","0","psy_miyako_guts1_loop","psy_miyako_guts1_in","0","1","6057"
"","6","6055","91","","","","","","","6058"
"","6","0","22","","","","0","","","6059"
"","6","1.5","93","","","","","","","6060"
"","6","0","91","","","","","","","6061"
"psy_miyako_idle","7","1","1","1.7","0","-200","119931","100","-200","7001"
"psy_fairy_idle","7","1","5","1.7","0","125","1","100","-220","7002"
"","7","1","31","1","","0","11","0","1","7003"
