f76ae966daea3e750122b3097e775f771d100717bf206026d2ba70eb96a0ec53,8b5fdfaf76b6186a703ec3547596cd6ab842474090cd0728fddcfbf23c4b4ee9,a3cbe9d416f8bf5314aeb8989221c7a78b836570cd3e929010c2c5e6883acb9f,6725a36255b3b732fe2ff1611d55d9cec0750b957bba36b4d2c55548e5d8dd63,56741d2fd09dc612a81926a51e0a45de60e964a71f62b2c32802909c5bda2e0a,fd4f0b5970b8c77b609b9212330d9b3484279d4f639c2c76465c9f7b306150ab,85d0898ca0cf50159d339e04e3f71f84cd6f4c72b17bd3a8698b1b91c39cc3d1,eda7fecb09e7ffd612846a043b3ea74b806f2033b2062338b2431f3f47ff5140
"5","96003","3","5","1500","31236","2","46"
"5","96003","3","10","2500","90005","2","47"
"5","96003","3","50","2500","140001","4","48"
"5","96003","3","5","500","25001","2","49"
"5","96003","3","30","500","150003","4","50"
"5","96003","3","30","650","150004","4","51"
"5","96003","3","30","750","150005","4","52"
"5","96003","3","30","900","150006","4","53"
"5","96003","3","30","1000","150007","4","54"
"5","96003","3","30","1150","150008","4","55"
"5","96003","3","500","2500","20004","2","56"
"5","96003","3","500","1000","22003","2","57"
"0","96003","3","100","1000","20004","2","58"
"0","96003","3","100","400","22003","2","59"
"1","96004","4","1","20000","21952","2","60"
"1","96004","4","1","10000","21905","2","61"
"2","96004","4","1","10000","41000","2","62"
"5","96004","4","5","2000","31807","2","63"
"5","96004","4","5","1500","31245","2","64"
"5","96004","4","5","1500","31248","2","65"
"5","96004","4","5","1500","31250","2","66"
"5","96004","4","5","1500","31091","2","67"
"5","96004","4","10","2500","90005","2","68"
"10","96004","4","50","2500","140001","4","69"
"10","96004","4","10","1000","25001","2","70"
"5","96004","4","30","500","150003","4","71"
"5","96004","4","30","650","150004","4","72"
"5","96004","4","30","750","150005","4","73"
"5","96004","4","30","900","150006","4","74"
"5","96004","4","30","1000","150007","4","75"
"5","96004","4","30","1150","150008","4","76"
"5","96004","4","30","1300","150009","4","77"
"5","96004","4","500","2500","20004","2","78"
"5","96004","4","500","1000","22003","2","79"
"0","96004","4","100","1000","20004","2","80"
"0","96004","4","100","400","22003","2","81"
"1","96005","5","1","20000","25101","2","82"
"1","96005","5","1","20000","21952","2","83"
"1","96005","5","1","10000","21905","2","84"
"2","96005","5","1","10000","41000","2","85"
"5","96005","5","5","1500","31200","2","86"
"5","96005","5","5","1500","31253","2","87"
"5","96005","5","5","1500","31255","2","88"
"5","96005","5","5","1500","31256","2","89"
"5","96005","5","10","2500","90005","2","90"
"10","96005","5","50","2500","140001","4","91"
"10","96005","5","10","1000","25001","2","92"
"5","96005","5","30","500","150003","4","93"
"5","96005","5","30","650","150004","4","94"
"5","96005","5","30","750","150005","4","95"
"5","96005","5","30","900","150006","4","96"
"5","96005","5","30","1000","150007","4","97"
"5","96005","5","30","1150","150008","4","98"
"5","96005","5","30","1300","150009","4","99"
"5","96005","5","500","2500","20004","2","100"
"5","96005","5","500","1000","22003","2","101"
"0","96005","5","100","1000","20004","2","102"
"0","96005","5","100","400","22003","2","103"
"1","96006","6","1","20000","25101","2","104"
"1","96006","6","1","20000","21952","2","105"
"1","96006","6","1","10000","21905","2","106"
"2","96006","6","1","10000","41000","2","107"
"5","96006","6","5","1500","31262","2","108"
"5","96006","6","5","1500","31266","2","109"
"5","96006","6","5","1500","31269","2","110"
"5","96006","6","5","1500","31271","2","111"
"5","96006","6","10","2500","90005","2","112"
"10","96006","6","50","2500","140001","4","113"
"10","96006","6","10","1000","25001","2","114"
"5","96006","6","30","500","150003","4","115"
"5","96006","6","30","650","150004","4","116"
"5","96006","6","30","750","150005","4","117"
"5","96006","6","30","900","150006","4","118"
"5","96006","6","30","1000","150007","4","119"
"5","96006","6","30","1150","150008","4","120"
"5","96006","6","30","1300","150009","4","121"
"5","96006","6","500","2500","20004","2","122"
"5","96006","6","500","1000","22003","2","123"
"0","96006","6","100","1000","20004","2","124"
"0","96006","6","100","400","22003","2","125"
"1","96007","7","1","20000","25101","2","126"
"1","96007","7","1","20000","21952","2","127"
"1","96007","7","1","10000","21905","2","128"
"2","96007","7","1","10000","41000","2","129"
"5","96007","7","5","1500","31272","2","130"
"5","96007","7","5","2000","31808","2","131"
"5","96007","7","5","1500","31275","2","132"
"5","96007","7","10","2500","90005","2","133"
"10","96007","7","50","2500","140001","4","134"
"10","96007","7","10","1000","25001","2","135"
"5","96007","7","30","500","150003","4","136"
"5","96007","7","30","650","150004","4","137"
"5","96007","7","30","750","150005","4","138"
"5","96007","7","30","900","150006","4","139"
"5","96007","7","30","1000","150007","4","140"
"5","96007","7","30","1150","150008","4","141"
"5","96007","7","30","1300","150009","4","142"
"5","96007","7","500","2500","20004","2","143"
"5","96007","7","500","1000","22003","2","144"
"0","96007","7","100","1000","20004","2","145"
"0","96007","7","100","400","22003","2","146"
"1","96008","8","1","20000","25101","2","147"
"1","96008","8","1","20000","21952","2","148"
"1","96008","8","1","10000","21905","2","149"
"2","96008","8","1","10000","41000","2","150"
"5","96008","8","5","1500","31279","2","151"
"5","96008","8","5","2000","31809","2","152"
"5","96008","8","5","1500","31284","2","153"
"5","96008","8","5","1500","31285","2","154"
"5","96008","8","5","1500","31289","2","155"
"5","96008","8","5","1500","31287","2","156"
"5","96008","8","5","1500","31293","2","157"
"5","96008","8","10","2500","90005","2","158"
"10","96008","8","50","2500","140001","4","159"
"10","96008","8","10","1000","25001","2","160"
"5","96008","8","30","500","150003","4","161"
"5","96008","8","30","650","150004","4","162"
"5","96008","8","30","750","150005","4","163"
"5","96008","8","30","900","150006","4","164"
"5","96008","8","30","1000","150007","4","165"
"5","96008","8","30","1150","150008","4","166"
"5","96008","8","30","1300","150009","4","167"
"5","96008","8","500","2500","20004","2","168"
"5","96008","8","500","1000","22003","2","169"
"0","96008","8","100","1000","20004","2","170"
"0","96008","8","100","400","22003","2","171"
"1","96009","9","1","20000","25101","2","172"
"1","96009","9","1","20000","21952","2","173"
"1","96009","9","1","10000","21905","2","174"
"2","96009","9","1","10000","41000","2","175"
"5","96009","9","5","1500","31298","2","176"
"5","96009","9","5","2000","31181","2","177"
"5","96009","9","5","1500","31307","2","178"
"5","96009","9","5","1500","31310","2","179"
"5","96009","9","10","2500","90005","2","180"
"10","96009","9","50","2500","140001","4","181"
"10","96009","9","10","1000","25001","2","182"
"5","96009","9","30","500","150003","4","183"
"5","96009","9","30","650","150004","4","184"
"5","96009","9","30","750","150005","4","185"
"5","96009","9","30","900","150006","4","186"
"5","96009","9","30","1000","150007","4","187"
"5","96009","9","30","1150","150008","4","188"
"5","96009","9","30","1300","150009","4","189"
"5","96009","9","500","2500","20004","2","190"
"5","96009","9","500","1000","22003","2","191"
"0","96009","9","100","1000","20004","2","192"
"0","96009","9","100","400","22003","2","193"
