f590547cda25204daf74f1ae80bca50de0aee8acac332f449e991d99fd897f65,bb7a566a532ca44019aff045bdace18ecd484b97f95917217793c16849110a7d,6b429ebfea1efce986350149532e6984992133500ddaf9c6d48abcd1fabda500,f974ef88b396794c6182f93f77183c5217c8c7f8f336b219482df70ab86c10fd,059ddb9da03762e0b4bcd92125f8b6c0d6f7ed1145841ede0217a449530216c7,3ecfb1da11754eee7e048f085ab5077c28554bc01ac4a132ceb3b9bc1ce992fb
"300125","1","212","110","2145035","803100253"
"300126","0","104","100","2145036","803100253"
"300127","0","105","102","2145037","803100253"
"300128","0","106","103","2145038","803100253"
"300201","0","107","101","2145041","803100254"
"300202","0","107","101","2145042","803100254"
"300203","0","105","102","2145043","803100254"
"300204","0","106","103","2145044","803100254"
"300205","1","202","113","2145045","803100254"
"300206","1","203","114","2145046","803100254"
"300207","0","107","101","2145047","803100254"
"300208","1","202","113","2145048","803100254"
"300209","1","203","114","2145049","803100254"
"300210","0","107","101","2145050","803100254"
"300211","0","107","101","2145051","803100255"
"300212","0","105","102","2145052","803100255"
"300213","0","106","103","2145053","803100255"
"300214","1","202","113","2145054","803100255"
"300215","1","203","114","2145055","803100255"
"300216","0","107","101","2145056","803100255"
"300217","1","202","113","2145057","803100255"
"300218","1","203","114","2145058","803100255"
"300219","0","107","101","2145059","803100255"
"300220","0","107","101","2145060","803100255"
"300221","0","105","102","2145061","803100256"
"300222","0","106","103","2145062","803100256"
"300223","0","107","101","2145063","803100256"
"300224","1","208","112","2145064","803100256"
"300225","1","212","110","2145065","803100256"
"300226","0","105","102","2145066","803100256"
"300227","0","106","103","2145067","803100256"
"300228","0","107","101","2145068","803100256"
"300301","0","104","100","2145071","803100257"
"300302","0","107","101","2145072","803100257"
"300303","0","107","101","2145073","803100257"
"300304","1","202","113","2145074","803100257"
"300305","1","203","114","2145075","803100257"
"300306","0","104","100","2145076","803100257"
"300307","0","107","101","2145077","803100257"
"300308","1","204","111","2145078","803100257"
"300309","1","205","112","2145079","803100257"
"300310","0","104","100","2145080","803100257"
"300311","0","107","101","2145081","803100258"
"300312","0","107","101","2145082","803100258"
"300313","1","202","113","2145083","803100258"
"300314","1","203","114","2145084","803100258"
"300315","0","104","100","2145085","803100258"
"300316","0","107","101","2145086","803100258"
"300317","1","204","111","2145087","803100258"
"300318","1","205","112","2145088","803100258"
"300319","0","104","100","2145089","803100258"
"300320","0","107","101","2145090","803100258"
"300321","0","104","100","2145091","803100259"
"300322","0","107","101","2145092","803100259"
"300323","1","202","113","2145093","803100259"
"300324","1","208","112","2145094","803100259"
"300325","0","104","100","2145095","803100259"
"300326","0","107","101","2145096","803100259"
"300327","1","204","111","2145097","803100259"
"300328","1","205","112","2145098","803100259"
"300401","0","105","102","2146011","803100260"
"300402","0","105","102","2146012","803100260"
"300403","1","202","113","2146013","803100260"
"300404","1","203","114","2146014","803100260"
"300405","0","105","102","2146015","803100260"
"300406","1","202","113","2146016","803100260"
"300407","1","203","114","2146017","803100260"
"300408","0","105","102","2146018","803100260"
"300409","0","105","102","2146019","803100260"
"300410","0","105","102","2146020","803100260"
"300411","0","105","102","2146021","803100261"
"300412","1","202","113","2146022","803100261"
"300413","1","203","114","2146023","803100261"
"300414","0","105","102","2146024","803100261"
"300415","1","202","113","2146025","803100261"
"300416","1","203","114","2146026","803100261"
"300417","0","105","102","2146027","803100261"
"300418","0","105","102","2146028","803100261"
"300419","1","202","113","2146029","803100261"
"300420","1","202","113","2146030","803100261"
"300421","1","202","113","2146031","803100262"
"300422","1","203","114","2146032","803100262"
"300423","0","105","102","2146033","803100262"
"300424","1","208","112","2146034","803100262"
"300425","1","212","110","2146035","803100262"
"300426","1","202","113","2146036","803100262"
"300427","1","202","113","2146037","803100262"
"300428","0","105","102","2146038","803100262"
"300501","0","104","100","2146051","803100264"
"300502","0","104","100","2146052","803100264"
"300503","0","104","100","2146053","803100264"
"300504","0","104","100","2146054","803100264"
"300505","0","105","102","2146055","803100264"
"300506","0","106","103","2146056","803100264"
"300507","0","104","100","2146057","803100264"
"300508","0","104","100","2146058","803100264"
"300509","0","105","102","2146059","803100264"
"300510","0","106","103","2146060","803100264"
"300511","0","104","100","2146061","803100265"
"300512","0","104","100","2146062","803100265"
"300513","0","104","100","2146063","803100265"
"300514","0","104","100","2146064","803100265"
"300515","0","105","102","2146065","803100265"
"300516","0","106","103","2146066","803100265"
"300517","0","104","100","2146067","803100265"
"300518","0","104","100","2146068","803100265"
"300519","0","105","102","2146069","803100265"
"300520","0","106","103","2146070","803100265"
"300521","0","104","100","2146071","803100266"
"300522","0","104","100","2146072","803100266"
"300523","1","202","113","2146073","803100266"
"300524","1","203","114","2146074","803100266"
"300525","0","104","100","2146075","803100266"
"300526","1","208","112","2146076","803100266"
"300527","1","212","110","2146077","803100266"
"300528","1","202","113","2146078","803100266"
"300529","1","203","114","2146079","803100266"
"300530","0","104","100","2146080","803100266"
"300601","1","203","114","2146091","803100268"
"300602","1","202","113","2146092","803100268"
"300603","0","105","102","2146093","803100268"
"300604","1","203","114","2146094","803100268"
"300605","0","106","103","2146095","803100268"
"300606","1","203","114","2146096","803100268"
"300607","1","204","111","2146097","803100268"
"300608","1","203","114","2146098","803100268"
"300609","1","202","113","2146099","803100268"
"300610","0","105","102","2146100","803100268"
"300611","1","203","114","2147011","803100269"
"300612","0","106","103","2147012","803100269"
"300613","1","203","114","2147013","803100269"
"300614","1","204","111","2147014","803100269"
"300615","1","212","110","2147015","803100269"
"300616","1","203","114","2147016","803100269"
"300617","0","105","102","2147017","803100269"
"300618","0","106","103","2147018","803100269"
"300701","1","204","111","2147021","803100270"
"300702","0","104","100","2147022","803100270"
"300703","0","107","101","2147023","803100270"
"300704","1","202","113","2147024","803100270"
"300705","1","203","114","2147025","803100270"
"300706","0","105","102","2147026","803100270"
"300707","1","205","112","2147027","803100270"
"300708","1","204","111","2147028","803100270"
"300709","0","104","100","2147029","803100270"
"300710","0","107","101","2147030","803100270"
"300711","1","202","113","2147031","803100271"
"300712","1","203","114","2147032","803100271"
"300713","0","105","102","2147033","803100271"
"300714","1","205","112","2147034","803100271"
"300715","0","110","107","2147035","803100271"
"300716","1","204","111","2147036","803100271"
"300717","0","104","100","2147037","803100271"
"300718","0","107","101","2147038","803100271"
