298e87f43019cc784e08ad2bac0333f1d4e7a253e43b0f22d76c738767e9c0a2,89fa6a041bef6ecca9d05c1792f93259bd1f2fd5355652ad1d9458d66f8415c0,edd5ac6a2dbc8e22c4bc476702bf3c111c8fdbd0932d965129acaf24213f88e2,c92d614dc2384e0e8d6e8fd43958f308bb45edefc3843765d5018b606ceb3062,7130ca344bdf29e377ca70d96f15de115de0e6be967c2f3088a671b761456a3b,4d99ed1a387c76ab80c76a0f3afd076ba3dfb722641d6768168948428c1492d8,1499823486b9df1bca16e69b25b53010c4502536c2f678dd71840c6768dc2e52,4d05f2435abe81783f5b26a5a8e477088bfe65fc6139d5fcd0a3fe1840e69b27,0150cb8c08eaba07d4a0b0f1ff6f5b11d94b7c74a95c9b93dc46b5478c7a02e5,62267bcb0176ba299012044a9a2e9ebf107cbecaffe783feb60c24278a8c957b,e837b1287d5b002774def8d02f8b2177ebf0d6da9e2791cce62580cb58d5ff6c,594e50ebff7c291cf5b628ce146be359399fcd8a0e8a6a0fc8018b20d99f646e
"21008","0","0","0","999","マヒル（クリスマス）専用スフィア / Lv215","21","2030/08/01 14:59:59","2021/11/30 12:00:00","9","1","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21009","0","0","0","999","ルカ（ニューイヤー）専用スフィア / Lv215","21","2030/08/01 14:59:59","2021/12/31 12:00:00","10","1","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21010","0","0","0","999","ラビリスタ（オーバーロード）専用スフィア / Lv215","21","2030/08/01 14:59:59","2022/02/07 12:00:00","12","1","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21011","0","0","0","999","アオイ（キャンプ）専用スフィア / Lv215","21","2030/08/01 14:59:59","2022/05/31 12:00:00","13","1","アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21012","0","0","0","999","ヒヨリ（サマー）専用スフィア / Lv215","21","2030/08/01 14:59:59","2022/06/30 12:00:00","14","1","ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21013","0","0","0","999","ミソギ（サマー）専用スフィア / Lv215","21","2030/08/01 14:59:59","2022/07/31 12:00:00","15","1","ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21014","0","0","0","999","リン（ハロウィン）専用スフィア / Lv215","21","2030/08/01 14:59:59","2022/09/30 12:00:00","16","1","リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21015","0","0","0","999","ヨリ（クリスマス）専用スフィア / Lv250","21","2030/08/01 14:59:59","2022/11/30 12:00:00","17","1","ヨリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21016","0","0","0","999","ミツキ（ニューイヤー）専用スフィア / Lv250","21","2030/08/01 14:59:59","2022/12/31 12:00:00","20","1","ミツキ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21017","0","0","0","999","カヤ（リベレイター）専用スフィア / Lv250","21","2030/08/01 14:59:59","2023/01/31 12:00:00","21","1","カヤ（リベレイター）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21018","0","0","0","999","カリン（アルケミスト）専用スフィア / Lv250","21","2030/08/01 14:59:59","2023/04/30 12:00:00","22","1","カリン（アルケミスト）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21019","0","0","0","999","アキノ（サマー）専用スフィア / Lv250","21","2030/08/01 14:59:59","2023/06/30 12:00:00","24","1","アキノ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21020","0","0","0","999","クウカ（サマー）専用スフィア / Lv250","21","2030/08/01 14:59:59","2023/07/31 12:00:00","25","1","クウカ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21021","0","0","0","999","イノリ（ニューイヤー）専用スフィア / Lv280","21","2030/08/01 14:59:59","2023/12/31 12:00:00","27","1","イノリ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。"
"21022","0","0","0","999","レイ（アストラル）専用スフィア / Lv280","21","2030/08/01 14:59:59","2024/01/31 12:00:00","28","1","レイ（アストラル）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。"
"21900","0","0","0","999","グロウスフィア / Lv180","21","2030/08/01 14:59:59","2021/02/21 12:00:00","4","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21901","0","0","0","999","グロウスフィア / Lv215","21","2030/08/01 14:59:59","2022/01/31 12:00:00","11","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。"
"21902","0","0","0","999","グロウスフィア / Lv250","21","2030/08/01 14:59:59","2022/11/30 12:00:00","18","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。"
"21903","0","0","0","999","グロウスフィア / Lv100","21","2030/08/01 14:59:59","2022/12/15 12:00:00","19","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv100/RANK12まで強化できる。"
"21904","0","0","0","999","グロウスフィア / Lv260","21","2030/08/01 14:59:59","2023/04/30 12:00:00","23","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv260/RANK28まで強化できる。"
"21905","0","0","0","999","グロウスフィア / Lv280","21","2030/08/01 14:59:59","2023/10/30 12:00:00","26","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。"
"21951","0","0","0","999","専用装備１グロウスフィア / Lv240","23","2030/08/01 14:59:59","2022/06/15 15:00:00","10001","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv240まで強化できる。"
"21952","0","0","0","999","専用装備１グロウスフィア / Lv270","23","2030/08/01 14:59:59","2023/05/15 15:00:00","10002","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv270まで強化できる。"
"21953","0","0","0","999","専用装備１グロウスフィア / Lv290","23","2030/08/01 14:59:59","2024/02/15","10003","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv290まで強化できる。"
"22001","0","0","120","999999","精錬石","3","2030/08/01 14:59:59","2015/12/17 15:00:00","10","1","キャラの装備強化に使用すると、装備強化Ptが10加算される。"
"22002","0","0","720","999999","上精錬石","3","2030/08/01 14:59:59","2015/12/17 15:00:00","60","2","キャラの装備強化に使用すると、装備強化Ptが60加算される。"
"22003","0","0","2400","999999","精錬結晶","3","2030/08/01 14:59:59","2015/12/17 15:00:00","200","3","キャラの装備強化に使用すると、装備強化Ptが200加算される。"
"23001","0","0","0","999999","スキップチケット","5","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","クリアランク★3を獲得したクエストの、プレイ時間をスキップするチケット。"
"23002","0","0","0","999999","ファストチケット","5","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","アドベンチャーのクエストにかかる時間を短縮することができるチケット。"
"23003","0","0","0","999999","マスタリーチケット","5","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","マスタリーガチャを1回引くことができるチケット。"
"24001","0","0","0","999","プラチナガチャチケット","8","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","プラチナガチャやピックアップガチャを1回引くことができるガチャチケット。"
"24003","0","0","0","999","共闘チケット","10","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","共闘時に使用すると、クリア時の報酬が豪華になるチケット。"
"24004","0","0","0","999","10回ガチャチケット","8","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","ガチャを10回引くことができるガチャチケット。"
"24005","0","0","0","999","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","17","2030/08/01 14:59:59","2020/08/04 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24006","0","0","0","999","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","17","2030/08/01 14:59:59","2020/09/03 19:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24007","0","0","0","999","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","17","2030/08/01 14:59:59","2020/10/01 17:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24008","0","0","0","999","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","17","2030/08/01 14:59:59","2020/11/05 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24009","0","0","0","999","★3確定 プリコネフェス記念ガチャチケット","17","2030/08/01 14:59:59","2021/02/21 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24010","0","0","0","999","★3確定 プリコネフェス2022記念ガチャチケット","17","2030/08/01 14:59:59","2022/02/14 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24011","0","0","0","999","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","17","2030/08/01 14:59:59","2022/03/21","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24012","0","0","0","999","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","17","2030/08/01 14:59:59","2022/04/18","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24013","0","0","0","999","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","17","2030/08/01 14:59:59","2022/05/16","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24014","0","0","0","999","★3確定 プリコネフェス2023記念ガチャチケット","17","2030/08/01 14:59:59","2022/01/15 15:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24015","0","0","0","999","★3確定 5周年記念ガチャチケット","17","2030/08/01 14:59:59","2023/02/14 15:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24016","0","0","0","999","★3確定 Sダッシュガチャチケット","17","2030/08/01 14:59:59","2023/02/14 15:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24017","0","0","0","999","★3確定 プリコネフェス2024記念ガチャチケット","17","2030/08/01 14:59:59","2024/02/09 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"24018","0","0","0","999","★3確定 プリコネフェス2025記念ガチャチケット","17","2030/08/01 14:59:59","2025/02/09 12:00:00","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。"
"25001","0","0","0","99999","プリンセスオーブ","20","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","キャラの大いなる力を呼び醒ますアイテム。"
"25011","0","0","0","999999999","アストラルスフィア（火）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルのうち火の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。"
"25012","0","0","0","999999999","アストラルスフィア（水）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルのうち水の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。"
"25013","0","0","0","999999999","アストラルスフィア（風）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルのうち風の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。"
"25014","0","0","0","999999999","アストラルスフィア（光）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルのうち光の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。"
"25015","0","0","0","999999999","アストラルスフィア（闇）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルのうち闇の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。"
"25021","0","0","0","999999999","アストラルシャード","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","世界を構成している属性の力であるアストラルの結晶。内に秘めた属性が未分化の不安定な状態ゆえに励起されると莫大な属性の力を放つ。"
"25101","0","0","0","9999","マスターピース","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","アストラルの顕在化により発生した宝珠。未確認物質でできており使用するとなぜかプリンセスナイトの　権能を強化拡張することができる。"
"25102","0","0","0","99999","マスターピース（欠片）","29","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","アストラルの顕在化により発生したマスターピースの欠片。互いに引きあう性質を持ち複数を集めることで合体し、マスターピースとなる。"
"26101","0","0","0","999","ルナコイン","9","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","ルナの塔に挑戦した者のみが獲得できる、アストルム内のショップでは流通していない珍しいコイン。"
"26201","0","0","0","999999999","EX装備強化Pt","25","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","EX装備の強化に使用すると、強化Ptが1加算される。"
"26202","0","0","0","999999999","EX装備錬成Pt","25","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","EX装備の錬成に使用することができる。"
"26203","0","0","0","999999999","錬成スフィア","33","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","アルケス錬金堂の最高の秘術である究極錬成において使用される宝玉。装備の効果自体を物質化したもので特殊な武具に付与することが可能。"
"27001","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27002","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27003","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27004","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27005","0","0","0","999","4th Anniv. スペシャル交換チケット","17","2030/08/01 14:59:59","2022/02/15 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27006","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27007","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27008","0","0","0","999","5th Anniv. スペシャル交換チケット","17","2030/08/01 14:59:59","2023/02/15 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27009","0","0","0","999","コラボ記念 スペシャル交換チケット","17","2030/08/01 14:59:59","2023/04/30 12:00:00","0","1","特定のキャラを交換できるチケット。"
"27010","0","0","0","999","スペシャル交換チケット","17","2030/08/01 14:59:59","2015/12/17 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27011","0","0","0","999","Sダッシュ スペシャル交換チケット","17","2030/08/01 14:59:59","2023/08/15 12:00:00","0","1","特定のキャラを交換できるチケット。"
"27012","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2023/12/31 12:00:00","0","1","特定のキャラを交換できるチケット。"
"27013","0","0","0","999","6th Anniv. スペシャル交換チケット","17","2030/08/01 14:59:59","2024/02/15 00:00:00","0","1","特定のキャラを交換できるチケット。"
"27014","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2024/04/30 12:00:00","0","1","特定のキャラを交換できるチケット。"
"27015","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2024/08/15 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27016","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2024/12/20 5:30:00","0","1","特定のキャラを交換できるチケット。"
"27017","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2024/12/31 12:00:00","0","1","特定のキャラを交換できるチケット。"
"27018","0","0","0","999","スペシャル交換チケット（フェス限定＋）","17","2030/08/01 14:59:59","2025/02/15 15:00:00","0","1","特定のキャラを交換できるチケット。"
"27019","0","0","0","999","スペシャル交換チケット（限定＋）","17","2030/08/01 14:59:59","2025/02/15 15:00:00","0","1","特定のキャラを交換できるチケット。"
"28001","0","0","0","999","ペコリーヌのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/08/04 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28002","0","0","0","999","コッコロのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/08/04 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28003","0","0","0","999","キャルのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/08/04 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28004","0","0","0","999","ハツネのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/09/03 19:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28005","0","0","0","999","シオリのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/09/03 19:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28006","0","0","0","999","クリスティーナのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/09/03 19:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28007","0","0","0","999","ミミのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/10/01 17:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28008","0","0","0","999","ミソギのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/10/01 17:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28009","0","0","0","999","キョウカのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/10/01 17:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28010","0","0","0","999","シズルのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/11/05 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28011","0","0","0","999","リノのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/11/05 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28012","0","0","0","999","ネネカのメモリーピース交換チケット","17","2030/08/01 14:59:59","2020/11/05 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28013","0","0","0","999","ユニのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/03/21","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28014","0","0","0","999","チエルのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/03/21","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28015","0","0","0","999","クロエのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/03/21","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28016","0","0","0","999","チカのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/04/18","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28017","0","0","0","999","カスミのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/04/18","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28018","0","0","0","999","モニカのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/04/18","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28019","0","0","0","999","ラビリスタのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/05/16","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28020","0","0","0","999","ジュンのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/05/16","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28021","0","0","0","999","エリコのメモリーピース交換チケット","17","2030/08/01 14:59:59","2022/05/16","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28022","0","0","0","999","プリンセスフェス限定メモリーピース交換チケット2023","17","2030/08/01 14:59:59","2022/01/15 15:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28023","0","0","0","999","限定メモリーピース交換チケット2023","17","2030/08/01 14:59:59","2022/01/15 15:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28024","0","0","0","999","メモリーピース交換チケット2023","17","2030/08/01 14:59:59","2022/01/15 15:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28025","0","0","0","999","GWメモリーピース交換チケット2024","17","2030/08/01 14:59:59","2024/04/30 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28026","0","0","0","999","GWピュアメモリーピース交換チケット2024","17","2030/08/01 14:59:59","2024/04/30 12:00:00","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。"
"28027","0","0","0","999","6.5周年メモリーピース交換チケット","17","2030/08/01 14:59:59","2024/08/15 15:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28028","0","0","0","999","6.5周年ピュアメモリーピース交換チケット","17","2030/08/01 14:59:59","2024/08/15 15:00:00","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。"
"28029","0","0","0","999","2024 年末年始メモリーピース交換チケット","17","2030/08/01 14:59:59","2024/12/31 12:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28030","0","0","0","999","2024 年末年始ピュアメモリーピース交換チケット","17","2030/08/01 14:59:59","2024/12/31 12:00:00","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。"
"28031","0","0","0","999","7周年 メモリーピース交換チケット","17","2030/08/01 14:59:59","2025/02/15 15:00:00","0","1","特定のキャラのメモリーピースを交換できるチケット。"
"28032","0","0","0","999","7周年 ピュアメモリーピース交換チケット","17","2030/08/01 14:59:59","2025/02/15 15:00:00","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。"
"28501","0","0","0","999","EX★5武器交換チケット","17","2030/08/01 14:59:59","2024/10/15 15:00:00","0","1","特定のEX★5武器と交換できるチケット。"
"31000","0","0","0","1","メモリーピース","6","2030/08/01 14:59:59","2015/12/17 15:00:00","0","2","記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31001","5174112","0","0","9999","ヒヨリのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31001","1","ヒヨリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31002","7201112","0","0","9999","ユイのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31002","1","ユイの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31003","8301112","0","0","9999","レイのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31003","1","レイの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31004","6124112","0","0","9999","ミソギのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31004","1","ミソギの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31005","6032112","0","0","9999","マツリのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31005","1","マツリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31006","10112","0","0","9999","アカリのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31006","1","アカリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31007","6170112","0","0","9999","ミヤコのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31007","1","ミヤコの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31008","7211112","0","0","9999","ユキのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31008","1","ユキの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31009","94312","0","0","9999","アンナのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31009","1","アンナの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
"31010","6054112","0","0","9999","マホのメモリーピース","11","2030/08/01 14:59:59","2015/12/17 15:00:00","31010","1","マホの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。"
