3dd82ad46dc77b6eb006167d135dda1c054a31c2d8dc17d3ab709149435b4787,3e0e5b16d8cc80473e4d0e66463d51aaf4ccab171ba831d9e10d5e5dcf45789f,1bc638cbfcdabb9f589cdabf766a8fb813b589c9103b53037c9124182505d0a7,bdc225f39f671ecf3c67dfd93388e0c8cd64d4645aed560e771e9fda8d9a635f,2fdb889b32738fc9da5fad130e40f0de6d77793cd597f14b1ce938d4ccd6ae1a,19a89e79d9762e17ef2ee59aeba217f6dcb161f78fe7a96ee594726f7937e50d,15ece86fdfa635042546b785cde4a1a83b503f4fa472f934dfd353a59a1a6514,f11901ed8a725af2077b51b5433802373fc4571db2f54f9cae699e4f9dc6df3e,47a22c7fdecc1fac1b87e71df460778077670e0119d9b092018adfe8274c03ae,359a2f32ddb65e75d805d82a9b72f9b8b3b53de31192ef0a74c1b1d2e2c2d1fd,dc58bf6f9add16274912b19bcdd43d7e5b507fce5f4bc80ec77f0eeb92c85fc7
"1","1","102","","6","105911","0.1","1","1","102005","0"
"1","1","102","","6","106411","0.1","1","1","102006","0"
"","0","102","","93","0.2","","","","102007",""
"0","vo_minigame_1007_top_talk_2_003","102","","21","vo_minigame_1007","","","0","102008",""
"0","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","102","0","11","105911","0","0","5","102009","0"
"","cgg_idle_surprise1","102","","3","1","0.2","","1","102010",""
"","cgg_lookup","102","","3","105911","0.2","","0","102011",""
"","0","102","","93","2.6","","","","102012",""
"","cgg_talk_wish_surprise","102","","3","105911","0.2","","1","102013",""
"","","102","","91","102009","","","","102014",""
"","cgg_idle_def","102","","3","105911","0.4","","1","102015",""
"0","vo_minigame_1007_top_talk_2_004","102","","21","vo_minigame_1007","","","0","102016",""
"0","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","102","0","11","106411","0","0","5","102017","0"
"","cgg_idle_reaction1","102","","3","1","0.2","","1","102018",""
"","cgg_talk_surprise1","102","","3","106411","0.2","","1","102019",""
"","0","102","","93","2.6","","","","102020",""
"cgg_idle_nod","cgg_talk_nod","102","","3","1","0.2","1","0","102021","0"
"","cgg_talk_joy3_blink","102","","3","106411","0.2","","1","102022",""
"","0","102","","93","3.2","","","","102023",""
"","cgg_idle_reaction5","102","","3","1","0.2","","1","102024",""
"","cgg_talk_normal","102","","3","106411","0.2","","1","102025",""
"","","102","","91","102017","","","","102026",""
"","0","102","","93","0.5","","","","102027",""
"","cgg_idle_def","102","","3","106411","0.2","","1","102028",""
"","cgg_idle_normal","102","","3","1","0.2","","1","102029",""
"","cgg_talk_joy3_blink","102","","3","105911","0.2","","1","102030",""
"","10","102","","12","105911","0.2","","1.4","102031",""
"","0","102","","93","3","","","","102032",""
"","cgg_idle_def","102","","3","105911","0.2","","1","102033",""
"","cgg_talk_joy1","102","","3","106411","0.2","","1","102034",""
"","11","102","","12","106411","0.2","","1.4","102035",""
"","0","102","","93","3","","","","102036",""
"","cgg_idle_def","102","","3","106411","0.2","","1","102037",""
"","cgg_idle_surprise3","102","","3","1","0.2","","1","102038",""
"","6","102","","12","1","0.2","","1.4","102039",""
"","0","102","","93","3","","","","102040",""
"","0","102","","101","102029","","","","102041",""
"","0.5","102","","22","0","","","","102042",""
"1","1","102","","6","1","0.1","0","1","102043","0"
"1","1","102","","6","105911","0.1","0","1","102044","0"
"1","1","102","","6","106411","0.1","0","1","102045","0"
"","0","102","","93","0.1","","","","102046",""
"","cgg_idle_normal","102","","3","1","0","","1","102047",""
"","cgg_idle_def","102","","3","105911","0","","1","102048",""
"","cgg_idle_def","102","","3","106411","0","","1","102049",""
"-420","1","103","cgg_idle_normal","5","1","160","-230","100","103001","0"
"375","100211","103","cgg_idle_def","1","1","1.6","-230","100","103002","1"
"490","100111","103","cgg_idle_def","1","1","1.6","-230","101","103003","1"
"1","1","103","","6","1","0.1","1","1","103004","0"
"1","1","103","","6","100211","0.1","1","1","103005","0"
"1","1","103","","6","100111","0.1","1","1","103006","0"
"","0","103","","93","0.2","","","","103007",""
"0","vo_minigame_1007_top_talk_3_005","103","","21","vo_minigame_1007","","","0","103008",""
"0","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","103","0","11","100211","0","0","6","103009","0"
"","cgg_idle_surprise1","103","","3","1","0.2","","1","103010",""
"","cgg_talk_wish","103","","3","100211","0.2","","1","103011",""
"","0","103","","93","2.4","","","","103012",""
"","cgg_talk_joy3","103","","3","100211","0.2","","1","103013",""
"","","103","","91","103009","","","","103014",""
"","cgg_idle_def","103","","3","100211","0.2","","1","103015",""
"0","vo_minigame_1007_top_talk_3_006","103","","21","vo_minigame_1007","","","0","103016",""
"0","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","103","0","11","100111","0","0","5","103017","0"
"","cgg_idle_reaction5","103","","3","1","0.2","","1","103018",""
"","cgg_talk_joy1","103","","3","100111","0.2","","1","103019",""
"","0","103","","93","2.5","","","","103020",""
"cgg_idle_guts","cgg_talk_guts_NoBlink","103","","3","100111","0.2","1","0","103021","0"
"","0","103","","93","4","","","","103022",""
"cgg_idle_reaction3","cgg_joy","103","","3","1","0.2","1","0","103023","0.2"
"","cgg_talk_joy2","103","","3","100111","0.2","","1","103024",""
"","","103","","91","103017","","","","103025",""
"","0","103","","93","0.7","","","","103026",""
"","cgg_idle_normal","103","","3","1","0.2","","1","103027",""
"","cgg_idle_def","103","","3","100111","0.2","","1","103028",""
"","cgg_idle_bitter3","103","","3","100211","0.2","","1","103029",""
"","1","103","","12","100211","0.2","","1.4","103030",""
"","0","103","","93","3","","","","103031",""
"","cgg_idle_def","103","","3","100211","0.2","","1","103032",""
"cgg_idle_reaction1","cgg_talk_handsup","103","","3","1","0.2","1","0","103033","0.2"
"","10","103","","12","1","0.2","","1.4","103034",""
"","0","103","","93","3","","","","103035",""
"","cgg_idle_normal","103","","3","1","0.2","","1","103036",""
"","cgg_idle_joy3","103","","3","100111","0.2","","1","103037",""
"","6","103","","12","100111","0.2","","1.4","103038",""
"","0","103","","93","3","","","","103039",""
"","0","103","","101","103028","","","","103040",""
"","0.5","103","","22","0","","","","103041",""
"1","1","103","","6","1","0.1","0","1","103042","0"
"1","1","103","","6","100211","0.1","0","1","103043","0"
"1","1","103","","6","100111","0.1","0","1","103044","0"
"","0","103","","93","0.1","","","","103045",""
"","cgg_idle_normal","103","","3","1","0","","1","103046",""
"","cgg_idle_def","103","","3","100211","0","","1","103047",""
"","cgg_idle_def","103","","3","100111","0","","1","103048",""
"-420","1","104","cgg_idle_normal","5","1","160","-230","100","104001","0"
"375","100111","104","cgg_idle_def","1","1","1.6","-230","100","104002","1"
"490","100311","104","cgg_idle_def","1","1","1.6","-230","101","104003","1"
"1","1","104","","6","1","0.1","1","1","104004","0"
"1","1","104","","6","100111","0.1","1","1","104005","0"
"1","1","104","","6","100311","0.1","1","1","104006","0"
"","0","104","","93","0.2","","","","104007",""
"0","vo_minigame_1007_top_talk_4_007","104","","21","vo_minigame_1007","","","0","104008",""
"0","ねーねーレイさん、\nもっかい引いていい？","104","0","11","100111","0","0","5","104009","0"
"","cgg_idle_reaction2","104","","3","1","0.2","","1","104010",""
"","cgg_talk_joy3_dere","104","","3","100111","0.2","","1","104011",""
"","0","104","","93","2.7","","","","104012",""
"cgg_idle_guts2","cgg_talk_guts2","104","","3","1","0.2","1","0","104013","0"
"","cgg_talk_normal_dere2","104","","3","100111","0.2","","1","104014",""
"","","104","","91","104009","","","","104015",""
"0","vo_minigame_1007_top_talk_4_008","104","","21","vo_minigame_1007","","","0","104016",""
"0","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","104","0","11","100311","0","0","5","104017","0"
"","cgg_idle_reaction2","104","","3","1","0.2","","1","104018",""
"cgg_idle_def","cgg_No","104","","3","100311","0.2","1","0","104019","0"
"","0","104","","93","0.8","","","","104020",""
"","cgg_idle_surprise2","104","","3","100111","0.2","","1","104021",""
"","0","104","","93","0.9","","","","104022",""
"cgg_idle_surprise2","cgg_surprise2","104","","3","1","0.2","1","0","104023","0"
"cgg_idle_arm_crossed2","cgg_talk_arm_crossed2","104","","3","100311","0.2","1","0","104024","0"
"","0","104","","93","2.5","","","","104025",""
"","cgg_idle_bitter","104","","3","100311","0.2","","1","104026",""
"","0","104","","93","2","","","","104027",""
"cgg_idle_nod","cgg_talk_nod","104","","3","1","0.2","1","0","104028","0"
"","","104","","91","104017","","","","104029",""
"","0","104","","93","0.5","","","","104030",""
"","cgg_idle_def","104","","3","100311","0.2","","1","104031",""
"","cgg_idle_normal","104","","3","1","0.2","","1","104032",""
"","cgg_idle_anger","104","","3","100111","0.2","","1","104033",""
"","17","104","","12","100111","0.2","","1.4","104034",""
"","0","104","","93","3","","","","104035",""
"","cgg_idle_def","104","","3","100111","0.2","","1","104036",""
"","cgg_idle_bitter4","104","","3","100311","0.2","","1","104037",""
"","2","104","","12","100311","0.2","","1.4","104038",""
"","0","104","","93","3","","","","104039",""
"","cgg_idle_def","104","","3","100311","0.2","","1","104040",""
"","cgg_idle_surprise2","104","","3","1","0.2","","1","104041",""
"","1","104","","12","1","0.2","","1.4","104042",""
"","0","104","","93","3","","","","104043",""
"","0","104","","101","104032","","","","104044",""
"","0.5","104","","22","0","","","","104045",""
"1","1","104","","6","1","0.1","0","1","104046","0"
"1","1","104","","6","100111","0.1","0","1","104047","0"
"1","1","104","","6","100311","0.1","0","1","104048","0"
"","0","104","","93","0.1","","","","104049",""
"","cgg_idle_normal","104","","3","1","0","","1","104050",""
"","cgg_idle_def","104","","3","100111","0","","1","104051",""
"","cgg_idle_def","104","","3","100311","0","","1","104052",""
"-420","1","105","cgg_idle_normal","5","1","160","-230","100","105001","0"
"375","100211","105","cgg_idle_def","1","1","1.6","-230","100","105002","1"
"490","105811","105","cgg_idle_def","1","1","1.6","-230","101","105003","1"
"1","1","105","","6","1","0.1","1","1","105004","0"
"1","1","105","","6","100211","0.1","1","1","105005","0"
"1","1","105","","6","105811","0.1","1","1","105006","0"
"","0","105","","93","0.2","","","","105007",""
"0","vo_minigame_1007_top_talk_5_009","105","","21","vo_minigame_1007","","","0","105008",""
"0","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","105","0","11","100211","0","0","7","105009","0"
"","cgg_idle_reaction1","105","","3","1","0.2","","1","105010",""
"","cgg_talk_normal","105","","3","100211","0.2","","1","105011",""
"","0","105","","93","2.4","","","","105012",""
"","cgg_talk_joy3","105","","3","100211","0.2","","1","105013",""
"","0","105","","93","1.1","","","","105014",""
"cgg_idle_reaction1","cgg_talk_handsup","105","","3","1","0.2","1","0","105015","0.2"
"","","105","","91","105009","","","","105016",""
"","cgg_idle_def","105","","3","100211","0.2","","1","105017",""
"0","vo_minigame_1007_top_talk_5_010","105","","21","vo_minigame_1007","","","0","105018",""
"0","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","105","0","11","105811","0","0","6","105019","0"
"cgg_idle_arm_crossed","cgg_talk_arm_crossed","105","","3","1","0.2","0","0","105020","0"
"","cgg_talk_joy1","105","","3","105811","0.2","","1","105021",""
"","0","105","","93","5","","","","105022",""
"cgg_idle_guts2","cgg_talk_guts2","105","","3","1","0.2","1","0","105023","0"
"cgg_idle_def","cgg_jump_def_N","105","","3","105811","0.2","1","0","105024","0.2"
"","","105","","91","105019","","","","105025",""
"","0","105","","93","0.5","","","","105026",""
"","cgg_idle_normal","105","","3","1","0.2","","1","105027",""
"","cgg_talk_joy3","105","","3","100211","0.2","","1","105028",""
"","10","105","","12","100211","0.2","","1.4","105029",""
"","0","105","","93","3","","","","105030",""
"","cgg_idle_def","105","","3","100211","0.2","","1","105031",""
"cgg_idle_guts_anger","cgg_talk_guts_anger","105","","3","105811","0.2","1","0","105032","0"
"","4","105","","12","105811","0.2","","1.4","105033",""
"","0","105","","93","3","","","","105034",""
"","cgg_idle_def","105","","3","105811","0.2","","1","105035",""
"cgg_idle_guts2","cgg_talk_guts2","105","","3","1","0.2","1","0","105036","0"
"","7","105","","12","1","0.2","","1.4","105037",""
"","0","105","","93","3","","","","105038",""
"","0","105","","101","105027","","","","105039",""
"","0.5","105","","22","0","","","","105040",""
"1","1","105","","6","1","0.1","0","1","105041","0"
"1","1","105","","6","100211","0.1","0","1","105042","0"
"1","1","105","","6","105811","0.1","0","1","105043","0"
"","0","105","","93","0.1","","","","105044",""
"","cgg_idle_normal","105","","3","1","0","","1","105045",""
"","cgg_idle_def","105","","3","100211","0","","1","105046",""
"","cgg_idle_def","105","","3","105811","0","","1","105047",""
"-420","1","106","cgg_idle_normal","5","1","160","-230","100","106001","0"
"420","110911","106","cgg_idle_def","1","1","1.6","-230","100","106002","1"
"1","1","106","","6","1","0.1","1","1","106003","0"
"1","1","106","","6","110911","0.1","1","1","106004","0"
"","0","106","","93","0.2","","","","106005",""
"0","vo_minigame_1007_top_talk_6_011","106","","21","vo_minigame_1007","","","0","106006",""
"0","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","106","0","11","110911","0","0","6","106007","0"
"","cgg_idle_reaction2","106","","3","1","0.2","","1","106008",""
"","cgg_shock","106","","3","110911","0.2","","0","106009",""
"","0","106","","93","1","","","","106010",""
"","cgg_idle_bitter2","106","","3","110911","0.2","","1","106011",""
"","0","106","","93","4.2","","","","106012",""
"cgg_idle_shock","cgg_shock","106","","3","1","0.2","1","0","106013","0"
"","","106","","91","106007","","","","106014",""
"0","vo_minigame_1007_top_talk_6_012","106","","21","vo_minigame_1007","","","0","106015",""
"0","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","106","0","11","110911","0","0","6","106016","0"
"","cgg_talk_tsun_pain","106","","3","110911","0.2","1","1","106017","0"
"","0","106","","93","0.7","","","","106018",""
"cgg_idle_surprise2","cgg_surprise2","106","","3","1","0.2","1","0","106019","0"
"","0","106","","93","1.3","","","","106020",""
"","cgg_talk_joy1_sad","106","","3","110911","0.2","1","1","106021","0"
"","0","106","","93","3","","","","106022",""
"cgg_idle_guts_anger","cgg_talk_guts_anger","106","","3","110911","0.2","1","0","106023",""
"","0","106","","93","0.7","","","","106024",""
"cgg_idle_guts2","cgg_talk_guts2","106","","3","1","0.2","1","0","106025","0"
"","","106","","91","106016","","","","106026",""
"","0","106","","93","0.5","","","","106027",""
"","cgg_idle_def","106","","3","110911","0.2","","1","106028",""
"cgg_idle_doya","cgg_talk_doya","106","","3","1","0.2","1","0","106029","0"
"","6","106","","12","1","0.2","","1.4","106030",""
"","0","106","","93","3","","","","106031",""
"","cgg_idle_normal","106","","3","1","0.2","","1","106032",""
"cgg_idle_guts_anger","cgg_talk_guts_anger","106","","3","110911","0.2","1","0","106033","0"
"","11","106","","12","110911","0.2","","1.4","106034",""
"","0","106","","93","3","","","","106035",""
"","cgg_idle_def","106","","3","110911","0.2","","1","106036",""
"cgg_idle_surprise1","cgg_surprise1","106","","3","1","0.2","1","0","106037","0"
"","4","106","","12","1","0.2","","1.4","106038",""
"","0","106","","93","3","","","","106039",""
"","cgg_idle_normal","106","","3","1","0.2","","1","106040",""
"","cgg_talk_joy3_blink","106","","3","110911","0.2","","1","106041",""
"","10","106","","12","110911","0.2","","1.4","106042",""
"","0","106","","93","3","","","","106043",""
"","0","106","","101","106028","","","","106044",""
"","0.5","106","","22","0","","","","106045",""
"1","1","106","","6","1","0.1","0","1","106046","0"
"1","1","106","","6","110911","0.1","0","1","106047","0"
"","0","106","","93","0.1","","","","106048",""
"","cgg_idle_normal","106","","3","1","0","","1","106049",""
"","cgg_idle_def","106","","3","110911","0","","1","106050",""
"-420","1","201","cgg_idle_normal","5","1","160","-230","100","201001","0"
"420","100411","201","cgg_idle_def","1","1","1.6","-230","100","201002","1"
"1","1","201","","6","1","0.1","1","1","201003","0"
"1","1","201","","6","100411","0.1","1","1","201004","0"
"","0","201","","93","0.2","","","","201005",""
"0","vo_minigame_1007_top_talk_7_013","201","","21","vo_minigame_1007","","","0","201006",""
"0","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","201","0","11","100411","0","0","7","201007","0"
"","cgg_idle_reaction2","201","","3","1","0.2","","1","201008",""
"","cgg_talk_joy1_normal","201","","3","100411","0.2","","1","201009",""
"","0","201","","93","1.3","","","","201010",""
"cgg_idle_doya","cgg_talk_doya","201","","3","1","0.2","1","0","201011","0"
"","cgg_talk_surprise_kira","201","","3","100411","0.2","","1","201012",""
"","0","201","","93","2.7","","","","201013",""
"cgg_idle_reaction1","cgg_talk_handsup","201","","3","1","0.2","1","0","201014","0.2"
"cgg_idle_guts","cgg_talk_guts","201","","3","100411","0.2","1","0","201015","0"
"","","201","","91","201007","","","","201016",""
"","0","201","","93","0.5","","","","201017",""
"","cgg_idle_def","201","","3","100411","0.2","","1","201018",""
"","cgg_idle_surprise3","201","","3","1","0.2","","1","201019",""
"","6","201","","12","1","0.2","","1.4","201020",""
"","0","201","","93","3","","","","201021",""
"","cgg_idle_normal","201","","3","1","0.2","","1","201022",""
"","cgg_talk_surprise_kira","201","","3","100411","0.2","","1","201023",""
"","7","201","","12","100411","0.2","","1.4","201024",""
"","0","201","","93","3","","","","201025",""
"","cgg_idle_def","201","","3","100411","0.2","","1","201026",""
"cgg_idle_reaction1","cgg_talk_handsup","201","","3","1","0.2","1","0","201027","0"
"","11","201","","12","1","0.2","","1.4","201028",""
"","0","201","","93","3","","","","201029",""
"","cgg_idle_normal","201","","3","1","0.2","","1","201030",""
"","cgg_talk_joy1","201","","3","100411","0.2","","1","201031",""
"","10","201","","12","100411","0.2","","1.4","201032",""
"","0","201","","93","3","","","","201033",""
"","0","201","","101","201018","","","","201034",""
"","0.5","201","","22","0","","","","201035",""
"1","1","201","","6","1","0.1","0","1","201036","0"
"1","1","201","","6","100411","0.1","0","1","201037","0"
"","0","201","","93","0.1","","","","201038",""
"","cgg_idle_normal","201","","3","1","0","","1","201039",""
"","cgg_idle_def","201","","3","100411","0","","1","201040",""
"-420","1","202","cgg_idle_normal","5","1","160","-230","100","202001","0"
"420","102011","202","cgg_idle_def","1","1","1.6","-230","100","202002","1"
"1","1","202","","6","1","0.1","1","1","202003","0"
"1","1","202","","6","102011","0.1","1","1","202004","0"
"","0","202","","93","0.2","","","","202005",""
"0","vo_minigame_1007_top_talk_8_014","202","","21","vo_minigame_1007","","","0","202006",""
"0","すごいね～♪\n全部そろったところが\n見てみたいな～♪","202","0","11","102011","0","0","5","202007","0"
"","cgg_idle_reaction1","202","","3","1","0.2","","1","202008",""
"","cgg_talk_joy3","202","","3","102011","0.2","","1","202009",""
"","0","202","","93","2","","","","202010",""
"","cgg_idle_nod","202","","3","1","0.2","","1","202011",""
"","cgg_talk_wish","202","","3","102011","0.2","","1","202012",""
"","","202","","91","202007","","","","202013",""
"","0","202","","93","0.5","","","","202014",""
"","cgg_idle_def","202","","3","102011","0.2","","1","202015",""
"","cgg_idle_reaction3","202","","3","1","0.2","","1","202016",""
"","6","202","","12","1","0.2","","1.4","202017",""
"","0","202","","93","3","","","","202018",""
"","cgg_idle_normal","202","","3","1","0.2","","1","202019",""
"","cgg_talk_joy1_normal","202","","3","102011","0.2","","1","202020",""
"","11","202","","12","102011","0.2","","1.4","202021",""
"","0","202","","93","3","","","","202022",""
"","cgg_idle_def","202","","3","102011","0.2","","1","202023",""
"cgg_idle_guts2","cgg_talk_guts2","202","","3","1","0.2","1","0","202024","0"
"","11","202","","12","1","0.2","","1.4","202025",""
"","0","202","","93","3","","","","202026",""
"","cgg_idle_normal","202","","3","1","0.2","","1","202027",""
"","cgg_talk_joy3","202","","3","102011","0.2","","1","202028",""
"","7","202","","12","102011","0.2","","1.4","202029",""
"","0","202","","93","3","","","","202030",""
"","0","202","","101","202015","","","","202031",""
"","0.5","202","","22","0","","","","202032",""
"1","1","202","","6","1","0.1","0","1","202033","0"
"1","1","202","","6","102011","0.1","0","1","202034","0"
"","0","202","","93","0.1","","","","202035",""
"","cgg_idle_normal","202","","3","1","0","","1","202036",""
"","cgg_idle_def","202","","3","102011","0","","1","202037",""
"-420","1","203","cgg_idle_normal","5","1","160","-230","100","203001","0"
"420","103611","203","cgg_idle_def","1","1","1.6","-230","100","203002","1"
"1","1","203","","6","1","0.1","1","1","203003","0"
"1","1","203","","6","103611","0.1","1","1","203004","0"
"","0","203","","93","0.2","","","","203005",""
"0","vo_minigame_1007_top_talk_9_015","203","","21","vo_minigame_1007","","","0","203006",""
"0","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","203","0","11","103611","0","0","6","203007","0"
"cgg_idle_arm_crossed","cgg_talk_arm_crossed","203","","3","1","0.2","1","0","203008","0"
"","cgg_talk_normal","203","","3","103611","0.2","","1","203009",""
"","0","203","","93","1.9","","","","203010",""
"","cgg_idle_surprise1","203","","3","1","0.2","","1","203011",""
"","cgg_talk_joy3_blink","203","","3","103611","0.2","","1","203012",""
"","0","203","","93","3.1","","","","203013",""
"cgg_idle_guts2","cgg_talk_guts2","203","","3","1","0.2","1","0","203014","0"
"","cgg_talk_surprise_dere","203","","3","103611","0.2","","1","203015",""
"","","203","","91","203007","","","","203016",""
"","0","203","","93","0.5","","","","203017",""
"","cgg_idle_def","203","","3","103611","0.2","","1","203018",""
"cgg_idle_nod","cgg_talk_nod","203","","3","1","0.2","1","0","203019","0"
"","6","203","","12","1","0.2","","1.4","203020",""
"","0","203","","93","3","","","","203021",""
"","cgg_idle_normal","203","","3","1","0.2","","1","203022",""
"","cgg_talk_joy1","203","","3","103611","0.2","","1","203023",""
"","10","203","","12","103611","0.2","","1.4","203024",""
"","0","203","","93","3","","","","203025",""
"","cgg_idle_def","203","","3","103611","0.2","","1","203026",""
"cgg_idle_guts1","cgg_talk_guts1","203","","3","1","0.2","1","0","203027","0"
"","4","203","","12","1","0.2","","1.4","203028",""
"","0","203","","93","3","","","","203029",""
"","cgg_idle_normal","203","","3","1","0.2","","1","203030",""
"","cgg_talk_joy3_dere","203","","3","103611","0.2","","1","203031",""
"","7","203","","12","103611","0.2","","1.4","203032",""
"","0","203","","93","3","","","","203033",""
"","0","203","","101","203018","","","","203034",""
"","0.5","203","","22","0","","","","203035",""
"1","1","203","","6","1","0.1","0","1","203036","0"
"1","1","203","","6","103611","0.1","0","1","203037","0"
"","0","203","","93","0.1","","","","203038",""
"","cgg_idle_normal","203","","3","1","0","","1","203039",""
"","cgg_idle_def","203","","3","103611","0","","1","203040",""
"-420","1","204","cgg_idle_normal","5","1","160","-230","100","204001","0"
"420","102811","204","cgg_idle_def","1","1","1.6","-230","100","204002","1"
"1","1","204","","6","1","0.1","1","1","204003","0"
"1","1","204","","6","102811","0.1","1","1","204004","0"
"","0","204","","93","0.2","","","","204005",""
"0","vo_minigame_1007_top_talk_10_016","204","","21","vo_minigame_1007","","","0","204006",""
"0","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","204","0","11","102811","0","0","6","204007","0"
"cgg_idle_doya","cgg_talk_doya","204","","3","1","0.2","1","0","204008","0"
"cgg_talk_surprise1","cgg_surprise","204","","3","102811","0.2","1","0","204009","0"
"","0","204","","93","2.5","","","","204010",""
"","cgg_idle_reaction5","204","","3","1","0.2","","1","204011",""
"","cgg_talk_bitter","204","","3","102811","0.2","","1","204012",""
"","","204","","91","204007","","","","204013",""
"","0","204","","93","0.5","","","","204014",""
"","cgg_idle_def","204","","3","102811","0.2","","1","204015",""
"cgg_idle_doya","cgg_talk_doya","204","","3","1","0.2","1","0","204016","0"
"","6","204","","12","1","0.2","","1.4","204017",""
"","0","204","","93","3","","","","204018",""
