a428eb2bd98132b5f8013cf5cd9de689de05310ec94621582d1c06511b5ed5a4,6c022331c449df2b8e99b872c1eb497c988392914f84fe60614d981426364caa,2c06465e0a1efef8690110038268bebc7ceafc90a09e25e15109c4a6dad82a98,3e85e79560ed986d7f2e57a36f1c88e3e55c1903354168ef16aec3671668b08c,f8525beaad3a4b4a87ccb3db6de91c3ab27c13a878004835f21eaf9add8423b2,75ebc9a542ab5692e02d380d0d72c7b98a1e13884c2a69a319a3eb2e69543384,e92bd8861e75db9924c42d35ba613e257b2ca47b6a2c2bfff9807d2c26b17e86,655ffe2048a3151660a82c41ef8b95df8631e5a04076cacbe2727748db8081ee,096116d0555da0a14461439da9bb7ff0f9eb600a532c10eee6d628dbc14d3ec5,92057146da8a8d96a0651a543816c815e8101fcd73615376096ec1e3b7d88f36,ab8bef89357cce4a08374161884e9330fad4d0cd30b6c850df75ba450d0cd037
"18","","3","","","0.2","1","18003","","122611","sjr_talk_wish_surprise"
"18","","21","","","","0","18004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_006"
"18","0","11","0.5","0","0","7","18005","1","122611","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"18","","91","","","","","18006","","0",""
"18","","3","","","0.2","1","18007","","122611","sjr_talk_idle"
"18","0","3","","1","0.2","0","18008","sjr_talk_arm_crossed_normal2_loop","122511","sjr_talk_arm_crossed_normal2"
"18","","21","","","","0","18009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_007"
"18","0","11","0.5","0","0","7","18010","1","122511","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"18","","91","","","","","18011","","0",""
"18","","3","","","0.2","1","18012","","122511","sjr_talk_idle"
"19","1","1","sjr_talk_idle","-194","1.65","100","19001","72","1","122611"
"19","0","1","sjr_talk_idle","-194","1.65","100","19002","-72","1","122411"
"19","0","3","","1","0.2","0","19003","sjr_talk_idle_joy","122611","sjr_talk_wave_hand"
"19","","21","","","","0","19004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_008"
"19","0","11","0.5","0","0","11","19005","1","122611","ヒヨリちゃん\n楽しんでる？"
"19","","91","","","","","19006","","0",""
"19","","3","","","0.2","1","19007","","122611","sjr_talk_idle"
"19","0","3","","1","0.2","0","19008","sjr_talk_swing_joy2","122411","sjr_talk_fun"
"19","","21","","","","0","19009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_009"
"19","0","11","0.5","0","0","8","19010","1","122411","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"19","","91","","","","","19011","","0",""
"19","","3","","","0.2","1","19012","","122411","sjr_talk_idle"
"19","","3","","","0.2","1","19013","","122611","sjr_talk_laugh"
"19","","21","","","","0","19014","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_010"
"19","0","11","0.5","0","0","8","19015","1","122611","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"19","","91","","","","","19016","","0",""
"19","","3","","","0.2","1","19017","","122611","sjr_talk_idle"
"20","1","1","sjr_talk_idle","-194","1.65","100","20001","72","1","122611"
"20","0","1","sjr_talk_idle","-194","1.65","100","20002","-72","1","122411"
"20","0","3","","1","0.2","0","20003","sjr_talk_guts2_loop","122411","sjr_talk_guts2"
"20","","21","","","","0","20004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_011"
"20","0","11","0.5","0","0","9","20005","1","122411","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"20","","91","","","","","20006","","0",""
"20","","3","","","0.2","1","20007","","122411","sjr_talk_idle"
"20","0","3","","1","0.2","0","20008","sjr_talk_mouth_hidden_guru","122611","sjr_talk_mouth_hidden_dere_guru"
"20","","21","","","","0","20009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_012"
"20","0","11","0.5","0","0","5","20010","1","122611","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"20","","91","","","","","20011","","0",""
"20","0","3","","1","0.2","0","20012","sjr_talk_shock_loop","122411","sjr_talk_shock"
"20","","21","","","","0","20013","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_013"
"20","0","11","0.5","0","0","17","20014","1","122411","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"20","","91","","","","","20015","","0",""
"20","","3","","","0.2","1","20016","","122611","sjr_talk_idle"
"20","","3","","","0.2","1","20017","","122411","sjr_talk_idle"
"21","1","1","sjr_talk_idle","-194","1.65","100","21001","72","1","122611"
"21","0","1","sjr_talk_idle","-194","1.65","100","21002","-72","1","122411"
"21","","3","","","0.2","1","21003","","122611","sjr_talk_worry_sad"
"21","","21","","","","0","21004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_014"
"21","0","11","0.5","0","0","9","21005","1","122611","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"21","","91","","","","","21006","","0",""
"21","","3","","","0.2","1","21007","","122611","sjr_talk_idle"
"21","0","3","","0","0.2","0","21008","sjr_talk_guts2_joy_loop","122411","sjr_talk_laugh_guts"
"21","","21","","","","0","21009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_015"
"21","0","11","0.5","0","0","6","21010","1","122411","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"21","","91","","","","","21011","","0",""
"21","","3","","","0.2","1","21012","","122411","sjr_talk_idle"
"22","1","1","sjr_talk_idle","-194","1.65","100","22001","72","1","122511"
"22","0","1","sjr_talk_idle","-194","1.65","100","22002","-72","1","122411"
"22","0","3","","1","0.2","0","22003","sjr_talk_arm_crossed_normal_loop","122511","sjr_talk_arm_crossed_normal"
"22","","21","","","","0","22004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_016"
"22","0","11","0.5","0","0","7","22005","1","122511","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"22","","91","","","","","22006","","0",""
"22","","3","","","0.2","1","22007","","122511","sjr_talk_idle"
"22","0","3","","1","0.2","0","22008","sjr_talk_guts_loop","122411","sjr_talk_guts"
"22","","21","","","","0","22009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_017"
"22","0","11","0.5","0","0","8","22010","1","122411","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"22","","91","","","","","22011","","0",""
"22","","3","","","0.2","1","22012","","122411","sjr_talk_idle"
"23","1","1","sjr_talk_idle","-194","1.65","100","23001","72","1","122511"
"23","0","1","sjr_talk_idle","-194","1.65","100","23002","-72","1","122411"
"23","0","3","","1","0.2","0","23003","sjr_talk_eieio_loop","122411","sjr_talk_fun_eieio"
"23","","21","","","","0","23004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_018"
"23","0","11","0.5","0","0","5","23005","1","122411","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"23","","91","","","","","23006","","0",""
"23","","3","","","0.2","1","23007","","122411","sjr_talk_idle"
"23","","3","","","0.2","1","23008","","122511","sjr_talk_mouth_hidden_sad"
"23","","21","","","","0","23009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_019"
"23","0","11","0.5","0","0","7","23010","1","122511","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"23","","91","","","","","23011","","0",""
"23","","3","","","0.2","1","23012","","122511","sjr_talk_idle"
"23","0","3","","1","0.2","0","23013","sjr_talk_arm_opened_guru","122411","sjr_talk_arm_opened_joy_guru"
"23","","21","","","","0","23014","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_020"
"23","0","11","0.5","0","0","5","23015","1","122411","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"23","","91","","","","","23016","","0",""
"23","","3","","","0.2","1","23017","","122411","sjr_talk_idle"
"24","1","1","sjr_talk_idle","-194","1.65","100","24001","72","1","122511"
"24","0","1","sjr_talk_idle","-194","1.65","100","24002","-72","1","122411"
"24","","3","","","0.2","1","24003","","122411","sjr_talk_mouth_hidden_sad"
"24","","21","","","","0","24004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_021"
"24","0","11","1","0","0","7","24005","1","122411","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"24","","91","","","","","24006","","0",""
"24","","3","","","0.2","1","24007","","122411","sjr_talk_idle"
"24","0","3","","0","0.2","0","24008","sjr_talk_arm_crossed_joy_loop","122511","sjr_talk_arm_crossed_normal_joy"
"24","","21","","","","0","24009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_022"
"24","0","11","0.5","0","0","5","24010","1","122511","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"24","","91","","","","","24011","","0",""
"24","","3","","","0.2","1","24012","","122511","sjr_talk_idle"
"24","","3","","","0.2","1","24013","","122411","sjr_talk_laugh"
"24","","21","","","","0","24014","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_023"
"24","0","11","0.5","0","0","7","24015","1","122411","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"24","","91","","","","","24016","","0",""
"24","","3","","","0.2","1","24017","","122411","sjr_talk_idle"
