4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360,2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2
"100811","1500","2","222","90008"
"100812","40","8","223","91002"
"100812","9","2","224","25001"
"100813","1000000","12","225","94002"
"100813","400","2","226","20004"
"100814","1500","2","227","90008"
"100815","1","2","228","41000"
"100816","1000000","12","229","94002"
"100816","500","2","230","20004"
"100817","40","8","231","91002"
"100817","1500","2","232","90008"
"100818","2000000","12","233","94002"
"100818","2000","2","234","90008"
"100901","3000000","12","235","94002"
"100901","300","2","236","20004"
"100902","1000","2","237","90008"
"100902","150","2","238","23003"
"100903","12","2","239","25001"
"100904","1000000","12","240","94002"
"100904","300","2","241","20004"
"100905","1000","2","242","90008"
"100905","150","2","243","23003"
"100906","10","2","244","25001"
"100907","40","8","245","91002"
"100907","1000000","12","246","94002"
"100907","300","2","247","20004"
"100908","1000","2","248","90008"
"100908","200","2","249","23003"
"100909","1","2","250","41000"
"100909","10","2","251","25001"
"100910","1000000","12","252","94002"
"100910","400","2","253","20004"
"100911","1500","2","254","90008"
"100912","40","8","255","91002"
"100912","9","2","256","25001"
"100913","1000000","12","257","94002"
"100913","400","2","258","20004"
"100914","1500","2","259","90008"
"100915","1","2","260","41000"
"100916","1000000","12","261","94002"
"100916","500","2","262","20004"
"100917","40","8","263","91002"
"100917","1500","2","264","90008"
"100918","2000000","12","265","94002"
"100918","2000","2","266","90008"
"101001","3000000","12","267","94002"
"101001","300","2","268","20004"
"101002","1000","2","269","90008"
"101002","150","2","270","23003"
"101003","12","2","271","25001"
"101004","1000000","12","272","94002"
"101004","300","2","273","20004"
"101005","1000","2","274","90008"
"101005","150","2","275","23003"
"101006","10","2","276","25001"
"101007","40","8","277","91002"
"101007","1000000","12","278","94002"
"101007","300","2","279","20004"
"101008","1000","2","280","90008"
"101008","200","2","281","23003"
"101009","1","2","282","41000"
"101009","10","2","283","25001"
"101010","1000000","12","284","94002"
"101010","400","2","285","20004"
"101011","1500","2","286","90008"
"101012","40","8","287","91002"
"101012","9","2","288","25001"
"101013","1000000","12","289","94002"
"101013","400","2","290","20004"
"101014","1500","2","291","90008"
"101015","1","2","292","41000"
"101016","1000000","12","293","94002"
"101016","500","2","294","20004"
"101017","40","8","295","91002"
"101017","1500","2","296","90008"
"101018","2000000","12","297","94002"
"101018","2000","2","298","90008"
"101101","3000000","12","299","94002"
"101101","300","2","300","20004"
"101102","1000","2","301","90008"
"101102","150","2","302","23003"
"101103","12","2","303","25001"
"101104","1000000","12","304","94002"
"101104","300","2","305","20004"
"101105","1000","2","306","90008"
"101105","150","2","307","23003"
"101106","10","2","308","25001"
"101107","40","8","309","91002"
"101107","1000000","12","310","94002"
"101107","300","2","311","20004"
"101108","1000","2","312","90008"
"101108","200","2","313","23003"
"101109","1","2","314","41000"
"101109","10","2","315","25001"
"101110","1000000","12","316","94002"
"101110","400","2","317","20004"
"101111","1500","2","318","90008"
"101112","40","8","319","91002"
"101112","9","2","320","25001"
"101113","1000000","12","321","94002"
"101113","400","2","322","20004"
"101114","1500","2","323","90008"
"101115","1","2","324","41000"
"101116","1000000","12","325","94002"
"101116","500","2","326","20004"
"101117","40","8","327","91002"
"101117","1500","2","328","90008"
"101118","2000000","12","329","94002"
"101118","2000","2","330","90008"
"101201","3000000","12","331","94002"
"101201","300","2","332","20004"
"101202","1000","2","333","90008"
"101202","150","2","334","23003"
"101203","12","2","335","25001"
"101204","1000000","12","336","94002"
"101204","300","2","337","20004"
"101205","1000","2","338","90008"
"101205","150","2","339","23003"
"101206","10","2","340","25001"
"101207","40","8","341","91002"
"101207","1000000","12","342","94002"
"101207","300","2","343","20004"
"101208","1000","2","344","90008"
"101208","200","2","345","23003"
"101209","1","2","346","41000"
"101209","10","2","347","25001"
"101210","1000000","12","348","94002"
"101210","400","2","349","20004"
"101211","1500","2","350","90008"
"101212","40","8","351","91002"
"101212","9","2","352","25001"
"101213","1000000","12","353","94002"
"101213","400","2","354","20004"
"101214","1500","2","355","90008"
"101215","1","2","356","41000"
"101216","1000000","12","357","94002"
"101216","500","2","358","20004"
"101217","40","8","359","91002"
"101217","1500","2","360","90008"
"101218","2000000","12","361","94002"
"101218","2000","2","362","90008"
