449706335ce2df5e96a831f81108582333464fc3e7a43e414ec2db2902aed727,774598b67b296ded80fcd4280803fc418de9a32571b3af1144b60f11c20c51b9,11e63b09921b0c673e3e8c14cb6a7ab68d77a70bb9c8b34cc0eb83bb315dd45c,49bae0d0f3707a96eb0b97cf17cf1dab0a6e88283fda448589fda498677ab046,c362d49a41435bb02c7dd39835be6b054595e8d82b884ba1c2c71f822ced95e0,566d34be5e30174a7503072d773ed4e255afe98b9b50c047b59c8d4720aa8ad5,6c0a12f3b94e400e76e22d04f233c5e85b0e4971f0460f96bbd8f36641e60270,6b86230d2247cd22a6be3ea8d0e364542221039e6b399ef8f3ef6f594ceca6d2,ffdee39e79473440d093fc50c952987421b1d8e0ee54ce920fd54aa53afe52bb,8c3bc52ccd92060b8595ceeb160428af9bdc261c27dd0d2d186a6e051bf7380a,7355c8c1dbf7481e9fde4d32d9db96fc15b8d67b5420a3b30cd73c652666007e
"8","3","113411","0","1080006","","","","0.2","","pkb_hatsune_kiran"
"8","91","1080004","","1080007","","","","","",""
"8","3","113411","1","1080008","","","","0.2","","pkb_idle_normal"
"9","1","1","100","1090001","pkb_idle_normal","1","64","1.65","-175","113411"
"9","3","113411","1","1090002","","","","0.2","","pkb_talk_joy2"
"9","21","vo_minigame_1006","0","1090003","","","0","","","vo_minigame_1006_top_203"
"9","11","113411","6","1090004","0","0","0","0","0","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！"
"9","93","3","","1090005","","","","","",""
"9","3","113411","0","1090006","","0.2","pkb_idle_surprise1","0.2","1","pkb_surprise"
"9","93","1","","1090007","","","","","",""
"9","3","113411","1","1090008","","","","0.2","","pkb_talk_joy3"
"9","91","1090004","","1090009","","","","","",""
"9","3","113411","1","1090010","","","","0.2","","pkb_idle_normal"
"10","1","1","100","1100001","pkb_idle_normal","1","64","1.65","-175","106531"
"10","3","106531","0","1100002","","","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"10","21","vo_minigame_1006","0","1100003","","","0","","","vo_minigame_1006_top_301"
"10","11","106531","8","1100004","0","0","0","0","0","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！"
"10","93","2.8","","1100005","","","","","",""
"10","3","106531","1","1100006","","","","0.2","","pkb_talk_joy1"
"10","91","1100004","","1100007","","","","","",""
"10","3","106531","1","1100008","","","","0.2","","pkb_idle_normal"
"11","1","1","100","1110001","pkb_idle_normal","1","64","1.65","-175","106531"
"11","3","106531","1","1110002","","","","0.2","","pkb_talk_normal"
"11","21","vo_minigame_1006","0","1110003","","","0","","","vo_minigame_1006_top_302"
"11","11","106531","8","1110004","0","0","0","0","0","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？"
"11","93","3.2","","1110005","","","","","",""
"11","3","106531","0","1110006","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"11","91","1110004","","1110007","","","","","",""
"11","3","106531","1","1110008","","","","0.2","","pkb_idle_normal"
"12","1","1","100","1120001","pkb_idle_normal","1","64","1.65","-175","106531"
"12","3","106531","0","1120002","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"12","21","vo_minigame_1006","0","1120003","","","0","","","vo_minigame_1006_top_303"
"12","11","106531","8","1120004","0.5","0","0","0","0","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？"
"12","93","3.2","","1120005","","","","","",""
"12","3","106531","0","1120006","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"12","91","1120004","","1120007","","","","","",""
"12","3","106531","1","1120008","","","","0.2","","pkb_idle_normal"
"13","1","1","100","1130001","pkb_idle_normal","1","64","1.65","-175","102311"
"13","3","102311","0","1130002","","0.4","pkb_talk_joy1","0.2","1","pkb_talk_fun"
"13","21","vo_minigame_1006","0","1130003","","","0","","","vo_minigame_1006_top_401"
"13","11","102311","8","1130004","0","0","0","0","0","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！"
"13","91","1130004","","1130005","","","","","",""
"13","3","102311","1","1130006","","","","0.2","","pkb_idle_normal"
"14","1","1","100","1140001","pkb_idle_normal","1","64","1.65","-175","102311"
"14","3","102311","1","1140002","","","","0.2","","pkb_talk_joy1"
"14","21","vo_minigame_1006","0","1140003","","","0","","","vo_minigame_1006_top_402"
"14","11","102311","8","1140004","0","0","0","0","0","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！"
"14","93","3","","1140005","","","","","",""
"14","3","102311","0","1140006","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"14","91","1140004","","1140007","","","","","",""
"14","3","102311","1","1140008","","","","0.2","","pkb_idle_normal"
"15","1","1","100","1150001","pkb_idle_normal","1","64","1.65","-175","102311"
"15","3","102311","1","1150002","","","","0.2","","pkb_talk_wish"
"15","21","vo_minigame_1006","0","1150003","","","0","","","vo_minigame_1006_top_403"
"15","11","102311","8","1150004","-0.5","0","0","0","0","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！"
"15","93","2.4","","1150005","","","","","",""
"15","3","102311","0","1150006","","0.4","pkb_talk_joy1","0.2","1","pkb_talk_fun"
"15","91","1150004","","1150007","","","","","",""
"15","3","102311","1","1150008","","","","0.2","","pkb_idle_normal"
"16","5","1","100","1160001","pkb_idle_normal_l","1","64","57","-155","1"
"16","3","1","0","1160002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"16","21","vo_minigame_1006","0","1160003","","","0","","","vo_minigame_1006_top_701"
"16","11","1","8","1160004","0","0","0","0","0","全国大会を目指して\n今日も練習頑張ろう！"
"16","93","2.6","","1160005","","","","","",""
"16","3","1","0","1160006","","0.2","pkb_idle_doya_l","0.2","1","pkb_talk_doya_l"
"16","91","1160004","","1160007","","","","","",""
"16","3","1","1","1160008","","","","0.2","","pkb_idle_normal_l"
"17","5","1","100","1170001","pkb_idle_normal_l","1","64","57","-155","1"
"17","3","1","0","1170002","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"17","21","vo_minigame_1006","0","1170003","","","0","","","vo_minigame_1006_top_702"
"17","11","1","8","1170004","0","0","0","0","0","夢を叶えるために\n全力で練習に\n取り組もう！"
"17","91","0","","1170005","","","","","",""
"17","3","1","1","1170006","","","","0.2","","pkb_idle_normal_l"
"18","5","1","100","1180001","pkb_idle_normal_l","1","64","57","-155","1"
"18","3","1","0","1180002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"18","21","vo_minigame_1006","0","1180003","","","0","","","vo_minigame_1006_top_703"
"18","11","1","8","1180004","0","0","0","0","0","部員のみんなも\nすごく上達してる…\n俺も負けてられない！"
"18","93","2.9","","1180005","","","","","",""
"18","3","1","0","1180006","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"18","91","1180004","","1180007","","","","","",""
"18","3","1","1","1180008","","","","0.2","","pkb_idle_normal_l"
"19","5","2","100","1190001","pkb_idle_normal_l","1","64","57","-155","2"
"19","3","2","0","1190002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"19","21","vo_minigame_1006","0","1190003","","","0","","","vo_minigame_1006_top_801"
"19","11","2","8","1190004","0","0","0","0","0","上達してるってとこ\n見せてやる\nオレだって選手なんだ"
"19","93","3.8","","1190005","","","","","",""
"19","3","2","0","1190006","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"19","91","1190004","","1190007","","","","","",""
"19","3","2","1","1190008","","","","0.2","","pkb_idle_normal_l"
"20","5","2","100","1200001","pkb_idle_normal_l","1","64","57","-155","2"
"20","3","2","0","1200002","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"20","21","vo_minigame_1006","0","1200003","","","0","","","vo_minigame_1006_top_802"
"20","11","2","8","1200004","0","0","0","0","0","今日もかっとばす\n遠慮せず全力で\nかかってこい"
"20","93","3.2","","1200005","","","","","",""
"20","3","2","0","1200006","","","pkb_idle_doya_l","0.2","1","pkb_talk_doya_l"
"20","91","1200004","","1200007","","","","","",""
"20","3","2","1","1200008","","","","0.2","","pkb_idle_normal_l"
"21","5","2","100","1210001","pkb_idle_normal_l","1","64","57","-155","2"
"21","3","2","0","1210002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"21","21","vo_minigame_1006","0","1210003","","","0","","","vo_minigame_1006_top_803"
"21","11","2","8","1210004","0","0","0","0","0","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな"
"21","91","0","","1210005","","","","","",""
"21","3","2","1","1210006","","","","0.2","","pkb_idle_normal_l"
"22","1","1","100","1220001","pkb_idle_normal","0","-20","1.6","-150","113511"
"22","1","1","100","1220002","pkb_idle_normal","1","170","1.6","-150","113411"
"22","3","113511","1","1220003","","","","0.2","","pkb_talk_joy1"
"22","21","vo_minigame_1006","0","1220004","","","0","","","vo_minigame_1006_top_talk_1_101"
"22","11","113511","6","1220005","-0.5","0","0","0","0","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪"
"22","91","0","","1220006","","","","","",""
"22","3","113511","1","1220007","","","","0.2","","pkb_idle_normal"
"22","3","113411","1","1220008","","","","0.2","","pkb_talk_joy1"
"22","21","vo_minigame_1006","0","1220009","","","0","","","vo_minigame_1006_top_talk_1_202"
"22","11","113411","6","1220010","-0.5","0","0","0","0","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！"
"22","93","4","","1220011","","","","","",""
"22","3","113411","0","1220012","","0","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"22","91","1220010","","1220013","","","","","",""
"22","3","113411","1","1220014","","","","0.2","","pkb_idle_normal"
"23","1","1","100","1230001","pkb_idle_normal","1","170","1.6","-150","113411"
"23","1","1","100","1230002","pkb_idle_normal","0","-20","1.6","-150","113511"
"23","3","113411","1","1230003","","","","0.2","","pkb_talk_normal"
"23","21","vo_minigame_1006","0","1230004","","","0","","","vo_minigame_1006_top_talk_2_201"
"23","11","113411","8","1230005","-1.5","0","0","0","0","ミサト先生も一緒に\n応援しようよ！"
"23","91","0","","1230006","","","","","",""
"23","3","113411","1","1230007","","","","0.2","","pkb_idle_normal"
"23","3","113511","1","1230008","","","","0.2","","pkb_talk_normal"
"23","21","vo_minigame_1006","0","1230009","","","0","","","vo_minigame_1006_top_talk_2_102"
"23","11","113511","5","1230010","3","0","0","0","0","あらあら\n楽しそうね～♪\nフレーフレー！"
"23","93","4","","1230011","","","","","",""
"23","3","113511","0","1230012","","0.2","pkb_talk_fun","0.2","0","pkb_talk_fun"
"23","93","2.7","","1230013","","","","","",""
"23","3","113511","0","1230014","","0.2","pkb_talk_joy1","0.2","1","pkb_idle_normal"
"23","91","1230010","","1230015","","","","","",""
"23","3","113511","1","1230016","","","","0.2","","pkb_idle_normal"
"24","1","1","100","1240001","pkb_idle_normal","1","170","1.6","-150","113511"
"24","5","3","100","1240002","pkb_idle_normal","0","-20","55","-130","3"
"24","3","113511","1","1240003","","","","0.2","","pkb_talk_joy3"
"24","21","vo_minigame_1006","0","1240004","","","0","","","vo_minigame_1006_top_talk_3_101"
"24","11","113511","6","1240005","-1","0","0","0","0","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？"
"24","93","4","","1240006","","","","","",""
"24","3","113511","1","1240007","","","","0.2","","pkb_talk_wish"
"24","91","1240005","","1240008","","","","","",""
"24","3","113511","1","1240009","","","","0.2","","pkb_idle_normal"
"24","3","3","1","1240010","","","","0.2","","pkb_talk_normal"
"24","21","vo_minigame_1006","0","1240011","","","0","","","vo_minigame_1006_top_talk_3_602"
"24","11","3","6","1240012","-1","0","0","0","0","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！"
"24","93","2","","1240013","","","","","",""
"24","3","3","0","1240014","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"24","91","1240012","","1240015","","","","","",""
"24","3","3","1","1240016","","","","0.2","","pkb_idle_normal"
"25","5","3","100","1250001","pkb_idle_normal","0","-20","55","-130","3"
"25","1","1","100","1250002","pkb_idle_normal","1","170","1.6","-150","113511"
"25","3","3","0","1250003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"25","21","vo_minigame_1006","0","1250004","","","0","","","vo_minigame_1006_top_talk_4_601"
"25","11","3","8","1250005","-0.5","0","0","0","0","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！"
"25","93","3","","1250006","","","","","",""
"25","3","3","0","1250007","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"25","91","1250005","","1250008","","","","","",""
"25","3","3","1","1250009","","","","0.2","","pkb_idle_normal"
"25","3","113511","1","1250010","","","","0.2","","pkb_talk_wish"
"25","21","vo_minigame_1006","0","1250011","","","0","","","vo_minigame_1006_top_talk_4_102"
"25","11","113511","6","1250012","1","0","0","0","0","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪"
"25","93","5.6","","1250013","","","","","",""
"25","3","113511","0","1250014","","0.2","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"25","91","0","","1250015","","","","","",""
"25","3","113511","1","1250016","","","","0.2","","pkb_idle_normal"
"26","1","1","100","1260001","pkb_idle_normal","1","170","1.6","-150","113511"
"26","5","1","100","1260002","pkb_idle_normal","0","-20","55","-130","1"
"26","3","113511","1","1260003","","","","0.2","","pkb_talk_joy3"
"26","21","vo_minigame_1006","0","1260004","","","0","","","vo_minigame_1006_top_talk_5_101"
"26","11","113511","6","1260005","0","0","0","0","0","ふふ、先生も\n練習のお手伝いを\nしますからね～"
"26","91","0","","1260006","","","","","",""
"26","3","113511","1","1260007","","","","0.2","","pkb_idle_normal"
"26","3","1","0","1260008","","0.2","pkb_idle_guts","0.2","1","pkb_talk_guts"
"26","21","vo_minigame_1006","0","1260009","","","0","","","vo_minigame_1006_top_talk_5_702"
"26","11","1","8","1260010","-1","0","0","0","0","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！"
"26","91","0","","1260011","","","","","",""
"26","3","1","1","1260012","","","","0.2","","pkb_idle_normal"
"27","5","1","100","1270001","pkb_idle_normal","0","-20","55","-130","1"
"27","1","1","100","1270002","pkb_idle_normal","1","170","1.6","-150","113511"
"27","3","1","0","1270003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"27","21","vo_minigame_1006","0","1270004","","","0","","","vo_minigame_1006_top_talk_6_701"
"27","11","1","8","1270005","-0.5","0","0","0","0","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！"
"27","93","2.6","","1270006","","","","","",""
"27","3","1","0","1270007","","0.2","pkb_idle_guts","0.2","1","pkb_talk_guts"
"27","91","1270005","","1270008","","","","","",""
"27","3","1","1","1270009","","","","0.2","","pkb_idle_normal"
"27","3","113511","1","1270010","","","","0.2","","pkb_talk_joy3"
"27","21","vo_minigame_1006","0","1270011","","","0","","","vo_minigame_1006_top_talk_6_102"
"27","11","113511","6","1270012","0.5","0","0","0","0","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪"
"27","93","4","","1270013","","","","","",""
"27","3","113511","1","1270014","","","","0.2","","pkb_talk_wish"
"27","91","1270012","","1270015","","","","","",""
"27","3","113511","1","1270016","","","","0.2","","pkb_idle_normal"
"28","1","1","100","1280001","pkb_idle_normal","1","170","1.6","-150","113411"
"28","5","3","100","1280002","pkb_idle_normal","0","-20","55","-130","3"
"28","3","113411","0","1280003","","0.2","pkb_talk_joy1","0.2","1","pkb_talk_yell"
"28","21","vo_minigame_1006","0","1280004","","","0","","","vo_minigame_1006_top_talk_7_201"
"28","11","113411","8","1280005","-0.5","0","0","0","0","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！"
"28","93","4.6","","1280006","","","","","",""
"28","3","113411","0","1280007","","0.2","pkb_idle_normal","0.2","1","pkb_talk_fun"
"28","91","1280005","","1280008","","","","","",""
"28","3","113411","1","1280009","","","","0.2","","pkb_idle_normal"
"28","3","3","0","1280010","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"28","21","vo_minigame_1006","0","1280011","","","0","","","vo_minigame_1006_top_talk_7_602"
"28","11","3","8","1280012","0","0","0","0","0","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！"
"28","93","5","","1280013","","","","","",""
"28","3","3","0","1280014","","","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"28","91","1280012","","1280015","","","","","",""
"28","3","3","1","1280016","","","","0.2","","pkb_idle_normal"
"29","5","3","100","1290001","pkb_idle_normal","0","-20","55","-130","3"
"29","1","1","100","1290002","pkb_idle_normal","1","170","1.6","-150","113411"
"29","3","3","0","1290003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"29","21","vo_minigame_1006","0","1290004","","","0","","","vo_minigame_1006_top_talk_8_601"
"29","11","3","8","1290005","-1","0","0","0","0","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！"
"29","93","2.8","","1290006","","","","","",""
"29","3","3","0","1290007","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"29","91","1290005","","1290008","","","","","",""
"29","3","3","1","1290009","","","","0.2","","pkb_idle_normal"
"29","3","113411","1","1290010","","","","0.2","","pkb_talk_joy1"
"29","21","vo_minigame_1006","0","1290011","","","0","","","vo_minigame_1006_top_talk_8_202"
"29","11","113411","8","1290012","-0.5","0","0","0","0","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！"
"29","93","2.2","","1290013","","","","","",""
"29","3","113411","0","1290014","","0.4","pkb_smile","0.2","0","pkb_talk_fun"
"29","93","2.2","","1290015","","","","","",""
"29","3","113411","1","1290016","","","","0.2","","pkb_idle_normal"
"29","91","1290012","","1290017","","","","","",""
"29","3","113411","1","1290018","","","","0.2","","pkb_idle_normal"
"30","1","1","100","1300001","pkb_idle_normal","1","170","1.6","-150","113411"
"30","5","1","100","1300002","pkb_idle_normal","0","-20","55","-130","1"
"30","3","113411","1","1300003","","","","0.2","","pkb_talk_joy1"
"30","21","vo_minigame_1006","0","1300004","","","0","","","vo_minigame_1006_top_talk_9_201"
"30","11","113411","8","1300005","1","0","0","0","0","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！"
"30","93","5","","1300006","","","","","",""
"30","3","113411","0","1300007","","","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"30","91","1300005","","1300008","","","","","",""
"30","3","113411","1","1300009","","","","0.2","","pkb_idle_normal"
"30","3","1","1","1300010","","","","0.2","","pkb_talk_normal"
"30","21","vo_minigame_1006","0","1300011","","","0","","","vo_minigame_1006_top_talk_9_702"
"30","11","1","8","1300012","-1","0","0","0","0","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！"
"30","93","3.3","","1300013","","","","","",""
"30","3","1","0","1300014","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"30","91","1300012","","1300015","","","","","",""
"30","3","1","1","1300016","","","","0.2","","pkb_idle_normal"
"31","5","1","100","1310001","pkb_idle_normal","0","-20","55","-130","1"
"31","1","1","100","1310002","pkb_idle_normal","1","170","1.6","-150","113411"
"31","3","1","0","1310003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"31","21","vo_minigame_1006","0","1310004","","","0","","","vo_minigame_1006_top_talk_10_701"
"31","11","1","8","1310005","-1.5","0","0","0","0","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！"
"31","93","3.6","","1310006","","","","","",""
"31","3","1","0","1310007","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"31","91","1310005","","1310008","","","","","",""
"31","3","1","1","1310009","","","","0.2","","pkb_idle_normal"
"31","3","113411","1","1310010","","","","0.2","","pkb_talk_joy1"
"31","21","vo_minigame_1006","0","1310011","","","0","","","vo_minigame_1006_top_talk_10_202"
"31","11","113411","8","1310012","-0.5","0","0","0","0","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆"
"31","93","3.6","","1310013","","","","","",""
"31","3","113411","0","1310014","","","pkb_talk_fun","0.2","0","pkb_talk_fun"
"31","93","3","","1310015","","","","","",""
"31","3","113411","1","1310016","","","","0.2","","pkb_idle_normal"
"31","91","1310012","","1310017","","","","","",""
"32","5","2","100","1320001","pkb_idle_normal","0","-20","55","-130","2"
"32","1","1","100","1320002","pkb_idle_normal","1","170","1.6","-150","113411"
"32","3","2","0","1320003","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"32","21","vo_minigame_1006","0","1320004","","","0","","","vo_minigame_1006_top_talk_11_801"
"32","11","2","8","1320005","0","0","0","0","0","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ"
"32","93","5","","1320006","","","","","",""
"32","3","2","0","1320007","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"32","91","1320005","","1320008","","","","","",""
"32","3","2","1","1320009","","","","0.2","","pkb_idle_normal"
"32","3","113411","1","1320010","","","","0.2","","pkb_talk_joy2"
"32","21","vo_minigame_1006","0","1320011","","","0","","","vo_minigame_1006_top_talk_11_202"
"32","11","113411","8","1320012","0","0","0","0","0","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！"
"32","93","4.6","","1320013","","","","","",""
"32","3","113411","0","1320014","","0.2","pkb_idle_normal","0.2","1","pkb_hatsune_kiran"
"32","91","1320012","","1320015","","","","","",""
"32","3","113411","1","1320016","","","","0.2","","pkb_idle_normal"
"33","1","1","100","1330001","pkb_idle_normal","1","170","1.6","-150","102311"
"33","5","2","100","1330002","pkb_idle_normal","0","-20","55","-130","2"
"33","3","102311","1","1330003","","","","0.2","","pkb_talk_normal"
"33","21","vo_minigame_1006","0","1330004","","","0","","","vo_minigame_1006_top_talk_12_401"
"33","11","102311","8","1330005","-0.5","0","0","0","0","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！"
"33","93","1.6","","1330006","","","","","",""
"33","3","102311","0","1330007","","0.2","pkb_talk_joy1","0.2","1","pkb_talk_yell"
"33","91","1330005","","1330008","","","","","",""
"33","3","102311","1","1330009","","","","0.2","","pkb_idle_normal"
"33","21","vo_minigame_1006","0","1330010","","","0","","","vo_minigame_1006_top_talk_12_802"
"33","11","2","8","1330011","0","0","0","0","0","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな"
"33","93","0.5","","1330012","","","","","",""
