3db13960448feb4c0d0188f75d03582a61a5e83664c854ef61961d6691a4507f,57f7771cd8306667839955cf1ed074b8bc6ba63a0c1c6f833a9334046088d56b,7c2d7dc66daa82f35417f84c92477419741e22569a9c467c28cc700a09a8c1de,c3538cac1003067502e8b0be4079e04ff0eda88e0f70e779db468d3fd1b4fdab,5cbc2870e5ad9c1cc3bd1c46bab7b6d3462b2036d8bc5496c09cdd7f0faf08c5,6e8b8e5703d8ed8b22e0476b09da69d0feaca8be43cc9d8329fa60968b7dabc4,d1eda560b9b44f6c9769e333a30240361fb404ae5a8786b8e903a63f3ef7e7a0,2f48a755619ee2fed3e64a5bb592b202811fed421c70add6542c057c8279ee57,1e462be7ebf4b130cfbd0103d964fbeba9cb97a983e5dc7c2e91b137e50edab2,ff422b62f747ae2b3f049bc8676b4ce7de466daceb9e8ee8b4191719a5148be5,ccdf5328ef2a01ec00342d17364f0cf6d140314d5362747dd686c725f1258e3d
"13510003","-850","1.75","22","1","351","5","0","1","-180","cmn_swm_flutterKick_floatBoad"
"13510004","-180","1","-850","1","351","31","","1","1",""
"13510005","","","","0","351","91","","0","",""
"13510006","10","","-180","<unit_id>","351","2","","1050","",""
"13510007","10","","-180","1","351","2","","1050","",""
"13510008","10","","-180","1","351","33","","1050","",""
"13520001","","","","se_10053800","352","23","","se_fpc_water_random","",""
"13520002","-850","1.75","23","1","352","1","0","<unit_id>","-180","cmn_swm_flutterKick_floatRing"
"13520003","-850","1.75","22","1","352","5","0","1","-180","cmn_swm_flutterKick_floatBoad_blue"
"13520004","-180","1","-850","1","352","31","","1","1",""
"13520005","","","","0","352","91","","0","",""
"13520006","10","","-180","<unit_id>","352","2","","1050","",""
"13520007","10","","-180","1","352","2","","1050","",""
"13520008","10","","-180","1","352","33","","1050","",""
"14010001","","","","se_10053800","401","23","","se_fpc_water_random","",""
"14010002","-850","1.75","22","1","401","1","0","<unit_id>","-180","cmn_float"
"14010003","-180","1","-850","6","401","31","","6","1",""
"14010004","","","","0","401","91","","0","",""
"14010005","10","","-180","<unit_id>","401","2","","1050","",""
"14010006","10","","-180","6","401","33","","1050","",""
"14020001","","","","se_10053800","402","23","","se_fpc_water_random","",""
"14020002","-850","1.75","22","1","402","1","0","<unit_id>","-180","cmn_float_4"
"14020003","-180","1","-850","6","402","31","","6","1",""
"14020004","","","","0","402","91","","0","",""
"14020005","10","","-180","<unit_id>","402","2","","1050","",""
"14020006","10","","-180","6","402","33","","1050","",""
"14510001","","","","se_10053800","451","23","","se_fpc_water_random","",""
"14510002","-850","1.75","22","1","451","1","0","<unit_id>","-180","cmn_crawl"
"14510003","-180","1","-850","1","451","31","","1","1",""
"14510004","","","","0","451","91","","0","",""
"14510005","10","","-180","<unit_id>","451","2","","1050","",""
"14510006","10","","-180","1","451","33","","1050","",""
"15010001","","","","se_10053800","501","23","","se_fpc_water_random","",""
"15010002","-850","1.75","45","1","501","1","0","<unit_id>","-250","cmn_surfing"
"15010003","-850","1.75","44","6","501","5","0","6","-250","cmn_surfing"
"15010004","-250","1","-850","11","501","31","","11","1",""
"15010005","","","","0","501","91","","0","",""
"15010006","6","","-250","<unit_id>","501","2","","1800","",""
"15010007","6","","-250","6","501","2","","1800","",""
"15010008","6","","-250","11","501","33","","1800","",""
"15010009","","","","se_10053800","501","23","","se_10053800_surfing_wave","",""
"18510001","","","","se_10053800","851","23","","se_fpc_water_random","",""
"18510002","-850","1.75","45","1","851","1","0","107511","-125","cmn_surfing"
"18510003","-1100","1.75","45","1","851","1","0","107611","-250","cmn_surfing"
"18510004","-1350","1.75","45","1","851","1","0","107811","-125","cmn_surfing"
"18510005","-850","1.75","44","6","851","5","0","1","-125","cmn_surfing"
"18510006","-1100","1.75","44","6","851","5","0","2","-250","cmn_surfing"
"18510007","-1350","1.75","44","6","851","5","0","3","-125","cmn_surfing"
"18510008","-125","1","-850","11","851","31","","1","1",""
"18510009","-250","1","-1100","11","851","31","","2","1",""
"18510010","-125","1","-1350","11","851","31","","3","1",""
"18510011","6","","-125","107511","851","2","","2350","",""
"18510012","6","","-250","107611","851","2","","2100","",""
"18510013","6","","-125","107811","851","2","","1850","",""
"18510014","6","","-125","1","851","2","","2350","",""
"18510015","6","","-250","2","851","2","","2100","",""
"18510016","6","","-125","3","851","2","","1850","",""
"18510017","6","","-125","1","851","33","","2350","",""
"18510018","6","","-250","2","851","33","","2100","",""
"18510019","6","","-125","3","851","33","","1850","",""
"18510020","","","","se_10053800","851","23","","se_10053800_surfing_wave","",""
"18510021","","","","0.3","851","93","","","",""
"18510022","0","","","vo_fpc","851","21","","vo_fpc_85101","",""
"18520001","","","","se_10053800","852","23","","se_fpc_water_random","",""
"18520002","-850","1.75","13","1","852","1","0","122411","-125","cmn_swm_flutterKick_floatRing"
"18520003","-1100","1.75","33","1","852","1","0","122511","-250","cmn_swm_flutterKick_floatRing"
"18520004","-1350","1.75","13","1","852","1","0","122611","-125","cmn_swm_flutterKick_floatRing"
"18520005","-850","1.75","12","1","852","5","0","1","-125","cmn_swm_flutterKick_floatRing"
"18520006","-1100","1.75","32","1","852","5","0","2","-250","cmn_swm_flutterKick_floatRing_blue"
"18520007","-1350","1.75","12","1","852","5","0","3","-125","cmn_swm_flutterKick_floatRing_pink"
"18520008","-125","1","-850","7","852","31","","1","1",""
"18520009","-250","1","-1100","1","852","31","","2","1",""
"18520010","-125","1","-1350","7","852","31","","3","1",""
"18520011","10","","-125","122411","852","2","","1750","",""
"18520012","10","","-250","122511","852","2","","1500","",""
"18520013","10","","-125","122611","852","2","","1250","",""
"18520014","10","","-125","1","852","2","","1750","",""
"18520015","10","","-250","2","852","2","","1500","",""
"18520016","10","","-125","3","852","2","","1250","",""
"18520017","10","","-125","1","852","33","","1750","",""
"18520018","10","","-250","2","852","33","","1500","",""
"18520019","10","","-125","3","852","33","","1250","",""
"18530001","","","","se_10053800","853","23","","se_fpc_water_random","",""
"18530002","-850","1.75","12","1","853","1","0","117211","-125","cmn_swm_breastStroke"
"18530003","-1100","1.75","32","1","853","1","0","117311","-250","cmn_swm_breastStroke"
"18530004","-1350","1.75","12","1","853","1","0","117411","-125","cmn_swm_breastStroke"
"18530005","-125","1","-850","2","853","31","","1","1",""
"18530006","-250","1","-1100","2","853","31","","2","1",""
"18530007","-125","1","-1350","2","853","31","","3","1",""
"18530008","10","","-125","117211","853","2","","1750","",""
"18530009","10","","-250","117311","853","2","","1500","",""
"18530010","10","","-125","117411","853","2","","1250","",""
"18530011","10","","-125","1","853","33","","1750","",""
"18530012","10","","-250","2","853","33","","1500","",""
"18530013","10","","-125","3","853","33","","1250","",""
"18540001","","","","se_10053800","854","23","","se_fpc_water_random","",""
"18540002","-850","1.75","13","1","854","1","0","122711","-125","cmn_swm_flutterKick_floatRing"
"18540003","-1100","1.75","33","1","854","1","0","122811","-250","cmn_swm_flutterKick_floatRing"
"18540004","-1350","1.75","13","1","854","1","0","122911","-125","cmn_swm_flutterKick_floatRing"
"18540005","-850","1.75","12","1","854","5","0","1","-125","cmn_swm_flutterKick_floatBoad"
"18540006","-1100","1.75","32","1","854","5","0","2","-250","cmn_swm_flutterKick_floatBoad_blue"
"18540007","-1350","1.75","12","1","854","5","0","3","-125","cmn_swm_flutterKick_floatBoad"
"18540008","-125","1","-850","7","854","31","","1","1",""
"18540009","-250","1","-1100","1","854","31","","2","1",""
"18540010","-125","1","-1350","7","854","31","","3","1",""
"18540011","10","","-125","122711","854","2","","1750","",""
"18540012","10","","-250","122811","854","2","","1500","",""
"18540013","10","","-125","122911","854","2","","1250","",""
"18540014","10","","-125","1","854","2","","1750","",""
"18540015","10","","-250","2","854","2","","1500","",""
"18540016","10","","-125","3","854","2","","1250","",""
"18540017","10","","-125","1","854","33","","1750","",""
"18540018","10","","-250","2","854","33","","1500","",""
"18540019","10","","-125","3","854","33","","1250","",""
"18550001","","","","se_10053800","855","23","","se_fpc_water_random","",""
"18550002","-850","1.75","13","1","855","1","0","113411","-125","cmn_swm_flutterKick_floatRing"
"18550003","-1100","1.75","33","1","855","1","0","113511","-250","cmn_swm_flutterKick_floatRing"
"18550004","-850","1.75","12","1","855","5","0","1","-125","cmn_swm_flutterKick_floatBoad"
"18550005","-1100","1.75","32","1","855","5","0","2","-250","cmn_swm_flutterKick_floatBoad_blue"
"18550006","-125","1","-850","7","855","31","","1","1",""
"18550007","-250","1","-1100","1","855","31","","2","1",""
"18550008","10","","-125","113411","855","2","","1750","",""
"18550009","10","","-250","113511","855","2","","1500","",""
"18550010","10","","-125","1","855","2","","1750","",""
"18550011","10","","-250","2","855","2","","1500","",""
"18550012","10","","-125","1","855","33","","1750","",""
"18550013","10","","-250","2","855","33","","1500","",""
"18560001","","","","se_10053800","856","23","","se_fpc_water_random","",""
"18560002","-850","1.75","13","1","856","1","0","110311","-125","cmn_swm_tread"
"18560003","-1100","1.75","33","1","856","1","0","107711","-250","cmn_swm_tread"
"18560004","-850","1.75","12","1","856","5","0","1","-125","cmn_swm_tread_pink"
"18560005","-1100","1.75","32","1","856","5","0","2","-250","cmn_swm_tread"
"18560006","-125","1","-850","13","856","31","","1","1",""
"18560007","-250","1","-1100","3","856","31","","2","1",""
"18560008","13.5","","-125","110311","856","2","","1750","",""
"18560009","13.5","","-250","107711","856","2","","1500","",""
"18560010","13.5","","-125","1","856","2","","1750","",""
"18560011","13.5","","-250","2","856","2","","1500","",""
"18560012","13.5","","-125","1","856","33","","1750","",""
"18560013","13.5","","-250","2","856","33","","1500","",""
"18570001","","","","se_10053800","857","23","","se_fpc_water_random","",""
"18570002","-850","1.75","13","1","857","1","0","110411","-125","cmn_swm_tread"
"18570003","-1100","1.75","33","1","857","1","0","110511","-250","cmn_swm_tread"
"18570004","-1350","1.75","13","1","857","1","0","115711","-125","cmn_swm_tread"
"18570005","-1600","1.75","33","1","857","1","0","110611","-250","cmn_boat_relax"
"18570006","-850","1.75","12","1","857","5","0","1","-125","cmn_swm_tread_blue"
"18570007","-1100","1.75","32","1","857","5","0","2","-250","cmn_swm_tread"
"18570008","-1350","1.75","12","1","857","5","0","3","-125","cmn_swm_tread_pink"
"18570009","-1600","1.75","32","2","857","5","0","4","-250","cmn_boat_idle_l"
"18570010","-125","1","-850","13","857","31","","1","1",""
"18570011","-250","1","-1100","3","857","31","","2","1",""
"18570012","-125","1","-1350","13","857","31","","3","1",""
"18570013","-250","1","-1600","116","857","31","","4","1",""
"18570014","13.5","","-125","110411","857","2","","1750","",""
"18570015","13.5","","-250","110511","857","2","","1500","",""
"18570016","13.5","","-125","115711","857","2","","1250","",""
"18570017","13.5","","-250","110611","857","2","","1000","",""
"18570018","13.5","","-125","1","857","2","","1750","",""
"18570019","13.5","","-250","2","857","2","","1500","",""
"18570020","13.5","","-125","3","857","2","","1250","",""
"18570021","13.5","","-250","4","857","2","","1000","",""
"18570022","13.5","","-125","1","857","33","","1750","",""
"18570023","13.5","","-250","2","857","33","","1500","",""
"18570024","13.5","","-125","3","857","33","","1250","",""
"18570025","13.5","","-250","4","857","33","","1000","",""
"18580001","","","","se_10053800","858","23","","se_fpc_water_random","",""
"18580002","-850","1.75","13","1","858","1","0","126711","-125","cmn_swm_tread"
"18580003","-850","1.75","13","1","858","1","0","126711","-125","cmn_swm_tread"
"18580004","-1100","1.75","33","1","858","1","0","126811","-250","cmn_swm_tread"
"18580005","-1350","1.75","13","1","858","1","0","108011","-125","cmn_swm_tread"
"18580006","-1600","1.75","33","1","858","1","0","107911","-250","cmn_boat_cat"
"18580007","-850","1.75","12","1","858","5","0","1","-125","cmn_swm_tread_pink"
"18580008","-1100","1.75","32","1","858","5","0","2","-250","cmn_swm_tread"
"18580009","-1350","1.75","12","1","858","5","0","3","-125","cmn_swm_tread_blue"
"18580010","-1600","1.75","32","2","858","5","0","4","-250","cmn_boat_idle_l"
"18580011","-125","1","-850","13","858","31","","1","1",""
"18580012","-250","1","-1100","3","858","31","","2","1",""
"18580013","-125","1","-1350","13","858","31","","3","1",""
"18580014","-250","1","-1600","116","858","31","","4","1",""
"18580015","13.5","","-125","126711","858","2","","1750","",""
"18580016","13.5","","-250","126811","858","2","","1500","",""
"18580017","13.5","","-125","108011","858","2","","1250","",""
"18580018","13.5","","-250","107911","858","2","","1000","",""
"18580019","13.5","","-125","1","858","2","","1750","",""
"18580020","13.5","","-250","2","858","2","","1500","",""
"18580021","13.5","","-125","3","858","2","","1250","",""
"18580022","13.5","","-250","4","858","2","","1000","",""
"18580023","13.5","","-125","1","858","33","","1750","",""
"18580024","13.5","","-250","2","858","33","","1500","",""
"18580025","13.5","","-125","3","858","33","","1250","",""
"18580026","13.5","","-250","4","858","33","","1000","",""
"18590001","","","","se_10053800","859","23","","se_fpc_water_random","",""
"18590002","-850","1.75","45","1","859","1","0","113111","-125","cmn_surfing"
"18590003","-1100","1.75","45","1","859","1","0","113211","-250","cmn_surfing"
"18590004","-1350","1.75","45","1","859","1","0","113311","-125","cmn_surfing"
"18590005","-1600","1.75","45","1","859","1","0","117011","-250","cmn_surfing"
"18590006","-850","1.75","44","6","859","5","0","1","-125","cmn_surfing"
"18590007","-1100","1.75","44","6","859","5","0","2","-250","cmn_surfing"
"18590008","-1350","1.75","44","6","859","5","0","3","-125","cmn_surfing"
"18590009","-1600","1.75","44","6","859","5","0","4","-250","cmn_surfing"
"18590010","-125","1","-850","11","859","31","","1","1",""
"18590011","-250","1","-1100","11","859","31","","2","1",""
"18590012","-125","1","-1350","11","859","31","","3","1",""
"18590013","-250","1","-1600","11","859","31","","4","1",""
"18590014","6","","-125","113111","859","2","","2350","",""
"18590015","6","","-250","113211","859","2","","2100","",""
"18590016","6","","-125","113311","859","2","","1850","",""
"18590017","6","","-250","117011","859","2","","1600","",""
"18590018","6","","-125","1","859","2","","2350","",""
"18590019","6","","-250","2","859","2","","2100","",""
"18590020","6","","-125","3","859","2","","1850","",""
"18590021","6","","-250","4","859","2","","1600","",""
"18590022","6","","-125","1","859","33","","2350","",""
"18590023","6","","-250","2","859","33","","2100","",""
"18590024","6","","-125","3","859","33","","1850","",""
"18590025","6","","-250","4","859","33","","1600","",""
"18590026","","","","se_10053800","859","23","","se_10053800_surfing_wave","",""
"18590027","","","","0.3","859","93","","","",""
"18590028","0","","","vo_fpc","859","21","","vo_fpc_85901","",""
"18600001","","","","se_10053800","860","23","","se_fpc_water_random","",""
"18600002","-850","1.75","23","1","860","1","0","110011","-180","cmn_boat_relax_l"
"18600003","-1200","1.75","23","1","860","1","0","110111","-180","cmn_boat_relax"
"18600004","-850","1.75","22","2","860","5","0","1","-180","cmn_boat_idle_blue"
"18600005","-1200","1.75","22","2","860","5","0","2","-180","cmn_boat_idle_l"
"18600006","-180","1","-850","116","860","31","","1","1",""
"18600007","-180","1","-1200","116","860","31","","2","1",""
"18600008","13.5","","-180","110011","860","2","","1750","",""
"18600009","13.5","","-180","110111","860","2","","1400","",""
"18600010","13.5","","-180","1","860","2","","1750","",""
"18600011","13.5","","-180","2","860","2","","1400","",""
"18600012","13.5","","-180","1","860","33","","1750","",""
"18600013","13.5","","-180","2","860","33","","1400","",""
"18600014","","","","2.7","860","93","","","",""
"18600015","0","","","vo_fpc","860","21","","vo_fpc_86001","",""
"18610001","","","","se_10053800","861","23","","se_fpc_water_random","",""
"18610002","-850","1.75","13","1","861","1","0","129511","-125","cmn_swm_tread"
"18610003","-1100","1.75","33","1","861","1","0","129411","-250","cmn_swm_tread"
"18610004","-1350","1.75","13","1","861","1","0","129311","-125","cmn_swm_tread"
"18610005","-850","1.75","12","1","861","5","0","1","-125","cmn_swm_tread_pink"
"18610006","-1100","1.75","32","1","861","5","0","2","-250","cmn_swm_tread_blue"
"18610007","-1350","1.75","12","1","861","5","0","3","-125","cmn_swm_tread"
"18610008","-125","1","-850","13","861","31","","1","1",""
"18610009","-250","1","-1100","3","861","31","","2","1",""
"18610010","-125","1","-1350","13","861","31","","3","1",""
"18610011","13.5","","-125","129511","861","2","","1750","",""
"18610012","13.5","","-250","129411","861","2","","1500","",""
"18610013","13.5","","-125","129311","861","2","","1250","",""
"18610014","13.5","","-125","1","861","2","","1750","",""
"18610015","13.5","","-250","2","861","2","","1500","",""
"18610016","13.5","","-125","3","861","2","","1250","",""
"18610017","13.5","","-125","1","861","33","","1750","",""
"18610018","13.5","","-250","2","861","33","","1500","",""
"18610019","13.5","","-125","3","861","33","","1250","",""
"18620001","","","","se_10053800","862","23","","se_fpc_water_random","",""
"18620002","-850","1.75","13","1","862","1","0","126711","-125","cmn_swm_tread"
"18620003","-1100","1.75","33","1","862","1","0","126811","-250","cmn_swm_tread"
"18620004","-1350","1.66","22","21","862","5","0","21","-180","02_neneka_floatRing"
"18620005","-850","1.75","12","1","862","5","0","1","-125","cmn_swm_tread"
"18620006","-1100","1.75","32","1","862","5","0","2","-250","cmn_swm_tread_blue"
"18620007","-125","1","-850","13","862","31","","1","1",""
"18620008","-250","1","-1100","3","862","31","","2","1",""
"18620009","-180","1","-1350","102","862","31","","3","1",""
"18620010","13.5","","-125","126711","862","2","","1750","",""
"18620011","13.5","","-250","126811","862","2","","1500","",""
"18620012","13.5","","-180","21","862","2","","1250","",""
"18620013","13.5","","-125","1","862","2","","1750","",""
"18620014","13.5","","-250","2","862","2","","1500","",""
"18620015","13.5","","-125","1","862","33","","1750","",""
"18620016","13.5","","-250","2","862","33","","1500","",""
"18620017","13.5","","-180","3","862","33","","1250","",""
"18630001","","","","se_10053800","863","23","","se_fpc_water_random","",""
"18630002","-1100","1.75","22","1","863","1","1","126911","-180","cmn_float"
"18630003","-1350","1.75","12","1","863","1","0","127011","-125","cmn_float"
"18630004","-1600","1.75","22","1","863","1","0","127111","-180","cmn_float"
"18630005","-180","1","-1070","6","863","31","","2","1",""
"18630006","-125","1","-1350","6","863","31","","3","1",""
"18630007","-180","1","-1600","6","863","31","","4","1",""
"18630008","13.5","","-180","126911","863","2","","1500","",""
"18630009","13.5","","-125","127011","863","2","","1250","",""
"18630010","13.5","","-180","127111","863","2","","1000","",""
"18630011","13.5","","-180","2","863","33","","1530","",""
"18630012","13.5","","-125","3","863","33","","1250","",""
"18630013","13.5","","-180","4","863","33","","1000","",""
"18630014","","","","2.3","863","93","","","",""
"18630015","0","","","vo_fpc","863","21","","vo_fpc_86301","",""
"18640001","","","","se_10053800","864","23","","se_fpc_water_random","",""
"18640002","-850","1.75","45","1","864","1","0","107811","-125","cmn_surfing"
"18640003","-1100","1.75","45","1","864","1","0","110011","-250","cmn_surfing"
"18640004","-850","1.75","44","6","864","5","0","1","-125","cmn_surfing"
"18640005","-1100","1.75","44","6","864","5","0","2","-250","cmn_surfing"
"18640006","-125","1","-850","11","864","31","","1","1",""
"18640007","-250","1","-1100","11","864","31","","2","1",""
"18640008","6","","-125","107811","864","2","","2350","",""
"18640009","6","","-250","110011","864","2","","2100","",""
"18640010","6","","-125","1","864","2","","2350","",""
"18640011","6","","-250","2","864","2","","2100","",""
"18640012","6","","-125","1","864","33","","2350","",""
"18640013","6","","-250","2","864","33","","2100","",""
"18640014","","","","se_10053800","864","23","","se_10053800_surfing_wave","",""
"18640015","","","","0.2","864","93","","","",""
"18640016","0","","","vo_fpc","864","21","","vo_fpc_86401","",""
"18650001","","","","se_10053800","865","23","","se_fpc_water_random","",""
"18650002","-850","1.75","13","1","865","1","0","110311","-125","cmn_swm_flutterKick_floatRing"
"18650003","-1100","1.75","33","1","865","1","0","113111","-250","cmn_swm_flutterKick_floatRing"
"18650004","-850","1.75","12","1","865","5","0","1","-125","cmn_swm_flutterKick_floatRing_pink"
"18650005","-1100","1.75","32","1","865","5","0","2","-250","cmn_swm_flutterKick_floatRing_blue"
"18650006","-125","1","-850","7","865","31","","1","1",""
"18650007","-250","1","-1100","1","865","31","","2","1",""
"18650008","10","","-125","110311","865","2","","1750","",""
"18650009","10","","-250","113111","865","2","","1500","",""
"18650010","10","","-125","1","865","2","","1750","",""
"18650011","10","","-250","2","865","2","","1500","",""
"18650012","10","","-125","1","865","33","","1750","",""
"18650013","10","","-250","2","865","33","","1500","",""
"18660001","","","","se_10053800","866","23","","se_fpc_water_random","",""
"18660002","-850","1.75","13","1","866","1","0","113411","-125","cmn_swm_flutterKick_floatRing"
"18660003","-1100","1.75","33","1","866","1","0","115711","-250","cmn_swm_flutterKick_floatRing"
"18660004","-850","1.75","12","1","866","5","0","1","-125","cmn_swm_flutterKick_floatRing_pink"
"18660005","-1100","1.75","32","1","866","5","0","2","-250","cmn_swm_flutterKick_floatRing_blue"
"18660006","-125","1","-850","7","866","31","","1","1",""
"18660007","-250","1","-1100","1","866","31","","2","1",""
"18660008","10","","-125","113411","866","2","","1750","",""
"18660009","10","","-250","115711","866","2","","1500","",""
"18660010","10","","-125","1","866","2","","1750","",""
"18660011","10","","-250","2","866","2","","1500","",""
"18660012","10","","-125","1","866","33","","1750","",""
"18660013","10","","-250","2","866","33","","1500","",""
"18670001","","","","se_10053800","867","23","","se_fpc_water_random","",""
"18670002","-850","1.75","13","1","867","1","0","113211","-125","cmn_swm_tread"
"18670003","-1100","1.75","33","1","867","1","0","127111","-250","cmn_swm_tread"
"18670004","-850","1.75","12","1","867","5","0","1","-125","cmn_swm_tread_pink"
"18670005","-1100","1.75","32","1","867","5","0","2","-250","cmn_swm_tread_blue"
"18670006","-125","1","-850","13","867","31","","1","1",""
"18670007","-250","1","-1100","3","867","31","","2","1",""
"18670008","13.5","","-125","113211","867","2","","1750","",""
"18670009","13.5","","-250","127111","867","2","","1500","",""
"18670010","13.5","","-125","1","867","2","","1750","",""
"18670011","13.5","","-250","2","867","2","","1500","",""
"18670012","13.5","","-125","1","867","33","","1750","",""
"18670013","13.5","","-250","2","867","33","","1500","",""
"18680001","","","","se_10053800","868","23","","se_fpc_water_random","",""
"18680002","-850","1.75","12","1","868","1","0","117011","-125","cmn_swm_diving"
"18680003","-1100","1.75","22","1","868","1","0","117111","-180","cmn_swm_diving"
"18680004","-125","1","-850","9","868","31","","1","1",""
"18680005","-180","1","-1100","9","868","31","","2","1",""
"18680006","13.5","","-125","117011","868","2","","1750","",""
"18680007","13.5","","-180","117111","868","2","","1500","",""
"18680008","13.5","","-125","1","868","33","","1750","",""
"18680009","13.5","","-180","2","868","33","","1500","",""
"18690001","","","","se_10053800","869","23","","se_fpc_water_random","",""
"18690002","-850","1.75","13","1","869","1","0","110511","-125","cmn_swm_flutterKick_floatRing"
"18690003","-1100","1.75","33","1","869","1","0","110011","-250","cmn_swm_flutterKick_floatRing"
"18690004","-850","1.75","12","1","869","5","0","1","-125","cmn_swm_flutterKick_floatBoad"
"18690005","-1100","1.75","32","1","869","5","0","2","-250","cmn_swm_flutterKick_floatBoad_blue"
