3bca6eed48cb3320b4798b715c691d27b9602dd1273d3e6663f2c3fc173883b0,4032c529e5a3719ca5a6e3bbf162d1de15a910905bf9483bb99a301ebf5d1e7f,afca4d6057ade46a56ecdb68a40816cc434e3afcbdb65ab9d6ee0b692e6db67c,a4ed6a5c1e455b5ebdb92fc7e0c34211e5d985eca05b9bb05afea7a32d5ef339,d504e6829bd79f292a9ac09dd0f468395bd4df2c18c45d0f083d004cad14f23c,ebcd3a9f3a141a5092da39f135d2b69e82918904f4486155f1a934172dca2b8a,a6e2f28e3874c75cf84c1105d02ea32ce293285c2100ff01b8b0a46b289c8064,f02d85bb9efa767ef7d0f3204bffbd9ca25e73fa26e7b5ca951bd6bad3ee9375,3488e0ff71b8ca377a8aefb1810049480c66c0e7e01de5be4deffaddcdf777d8,9a2a3a87d3ecf79a98c56186a983f9d26fe331fb587658fe77feafef421104be,bf2c28d715b53f241f3f4c6bffe4904825fd588f25a8e0dda42ecb9babae5c39
"","","","32","","","","4","4023","11","0"
"","","","93","","","","4","4024","1","0"
"","","","4","","","","4","4025","11","0"
"","","","2","0","7","130","4","4026","11","980"
"","","","93","","","","4","4027","1.5","0"
"","","","32","","","","4","4028","11","1"
"","","","37","","","","4","4029","11","smokeL"
"","","","33","0","5.964","-130","4","4030","11","980"
"0","","","3","","","1","4","4031","2","top_iroha_run_joy"
"","","","4","","","","4","4032","2","0"
"","","","2","0","5.964","-130","4","4033","2","980"
"","","","93","","","","4","4034","2.2","0"
"0","","","3","","","1","4","4035","1","top_luis_surprise_look"
"","","","93","","","","4","4036","3.764","0"
"0.2","","","3","","","1","4","4037","1","top_luis_thinking"
"","","","32","","","","4","4038","11","0"
"","","","93","","","","4","4039","2","0"
"0","","","3","","","1","4","4040","2","top_iroha_walk"
"","","","4","","","","4","4041","2","1"
"","","","2","0","3","-130","4","4042","2","400"
"","","","33","0","3","-130","4","4043","11","400"
"","","","93","","","","4","4044","3","0"
"0.2","0","","3","1","idle_normal","0","4","4045","2","top_iroha_walk_out"
"","","","93","","","","4","4046","0.4","0"
"0.2","0.2","","3","","","0","4","4047","2","top_iroha_sit_in"
"","","","93","","","","4","4048","4","0"
"","","","101","","","","4","4049","4007",""
"1.4","1","top_sono_readPaper","5","-130","350","100","5","5001","3","3"
"1.4","1","top_iroha_read_loop","5","-130","452","110","5","5002","2","2"
"","","","91","","","","5","5003","0","0"
"0.2","","","3","","","1","5","5004","2","top_iroha_read_loop"
"0.2","","","3","","","1","5","5005","3","top_sono_readPaper"
"","","","93","","","","5","5006","13.6","0"
"0.2","0","","3","1","top_sono_stretch","0","5","5007","3","top_sono_sit_out"
"","","","2","0","0.3","-130","5","5008","3","287"
"","","","93","","","","5","5009","3.5","0"
"0.2","","","3","","","1","5","5010","3","top_sono_drink"
"","","","93","","","","5","5011","2.6","0"
"0.4","","","3","","","0","5","5012","2","top_iroha_read_look"
"","","","93","","","","5","5013","7.9","0"
"0.2","","","3","","","0","5","5014","3","top_sono_sit_in"
"","","","93","","","","5","5015","0.1","0"
"0.2","","","3","","","1","5","5016","2","top_iroha_read_loop"
"","","","2","0","0.3","-130","5","5017","3","350"
"","","","93","","","","5","5018","2.5","0"
"","","","101","","","","5","5019","5005",""
"1.4","1","idle_normal","5","-103","-216","100","6","6001","1","1"
"1.38","1","top_sono_readPaper_loop","5","-130","350","101","6","6002","3","3"
"1","","","31","1","-18","475","6","6003","10","10"
"0","","","31","1","-140","56","6","6004","13","13"
"0","","","31","1","-140","56","6","6005","14","14"
"","","","91","","","","6","6006","0","0"
"0.2","","","3","","","1","6","6007","3","top_sono_readPaper_loop"
"0.2","0","","3","1","top_luis_arm_crossed_idle","0","6","6008","1","top_luis_arm_crossed_in"
"","","","93","","","","6","6009","4","0"
"0.2","0","","3","1","top_luis_approach_idle","0","6","6010","1","top_luis_approach_in"
"","","","93","","","","6","6011","3.5","0"
"0.2","","","3","","","1","6","6012","1","top_luis_thinking"
"","","","93","","","","6","6013","3.5","0"
"0.2","","","3","","","1","6","6014","1","top_luis_walk_think"
"","","","2","0","2","-103","6","6015","1","-495"
"","","","93","","","","6","6016","2","0"
"","","","4","","","","6","6017","1","0"
"","","","2","0","2","-103","6","6018","1","-216"
"","","","93","","","","6","6019","2","0"
"0","","","3","","","1","6","6020","1","top_luis_notice"
"","","","93","","","","6","6021","1","0"
"0.2","","","3","","","1","6","6022","1","top_luis_walk_jog"
"","","","2","0","0.5","-130","6","6023","1","-100"
"","","","93","","","","6","6024","0.5","0"
"","","","4","","","","6","6025","1","1"
"0.2","0","","3","1","top_luis_sit_idle","0","6","6026","1","top_luis_sit_in"
"","","","93","","","","6","6027","0.1","0"
"","","","2","0","0.4","-140","6","6028","1","-57"
"","","","93","","","","6","6029","0.4","0"
"","","","2","0","0","-140","6","6030","1","-16"
"","","","4","","","","6","6031","1","0"
"","","","93","","","","6","6032","0.6","0"
"0.2","","","3","","","0","6","6033","1","top_luis_experiment_failer_in"
"","","","93","","","","6","6034","2.3","0"
"0.1","","","3","","","0","6","6035","1","top_luis_experiment_failer_mix"
"","","","93","","","","6","6036","2.7","0"
"0.2","0","","3","1","top_sono_notice_loop_surprise","0","6","6037","3","top_sono_notice_in_surprise"
"","","","32","","","","6","6038","13","1"
"0.1","","","3","","","0","6","6039","1","top_luis_experiment_failer_burst"
"","","","93","","","","6","6040","2.7","0"
"0.2","","","3","","","1","6","6041","3","top_sono_readPaper_loop"
"0.1","","","3","","","0","6","6042","1","top_luis_experiment_failer_out"
"","","","93","","","","6","6043","1.1","0"
"0.2","0","","3","1","idle_normal","0","6","6044","1","top_luis_sit_out"
"","","","4","","","","6","6045","1","1"
"","","","2","0","0","-140","6","6046","1","-57"
"","","","2","0","0.3","-130","6","6047","1","-100"
"","","","93","","","","6","6048","1","0"
"0.2","","","3","","","0","6","6049","1","walk_normal"
"","","","2","0","1","-103","6","6050","1","-216"
"","","","93","","","","6","6051","1","0"
"0.1","","","3","","","0","6","6052","1","idle_normal"
"","","","93","","","","6","6053","0.8","0"
"","","","32","","","","6","6054","13","0"
"0.2","0","","3","1","top_luis_arm_crossed_idle","0","6","6055","1","top_luis_arm_crossed_in"
"","","","93","","","","6","6056","4","0"
"0.2","0","","3","1","top_luis_approach_idle","0","6","6057","1","top_luis_approach_in"
"","","","93","","","","6","6058","3.5","0"
"0.2","","","3","","","1","6","6059","1","top_luis_thinking"
"","","","93","","","","6","6060","3.5","0"
"0.2","","","3","","","1","6","6061","1","top_luis_walk_think"
"","","","2","0","2","-103","6","6062","1","-495"
"","","","93","","","","6","6063","2","0"
"","","","4","","","","6","6064","1","0"
"","","","2","0","2","-103","6","6065","1","-216"
"","","","93","","","","6","6066","2","0"
"0","","","3","","","1","6","6067","1","top_luis_notice"
"","","","93","","","","6","6068","1","0"
"0.2","","","3","","","1","6","6069","1","top_luis_walk_jog"
"","","","2","0","0.5","-130","6","6070","1","-100"
"","","","93","","","","6","6071","0.5","0"
"","","","4","","","","6","6072","1","1"
"0.2","0","","3","1","top_luis_sit_idle","0","6","6073","1","top_luis_sit_in"
"","","","93","","","","6","6074","0.1","0"
"","","","2","0","0.4","-140","6","6075","1","-57"
"","","","93","","","","6","6076","0.4","0"
"","","","2","0","0","-140","6","6077","1","-16"
"","","","4","","","","6","6078","1","0"
"","","","93","","","","6","6079","0.6","0"
"0.2","","","3","","","0","6","6080","1","top_luis_experiment_success_in"
"","","","93","","","","6","6081","2.3","0"
"0.1","","","3","","","0","6","6082","1","top_luis_experiment_success_mix"
"","","","93","","","","6","6083","2.7","0"
"0.2","0","","3","1","top_sono_notice_loop_dere","0","6","6084","3","top_sono_notice_in_dere"
"","","","32","","","","6","6085","14","1"
"0.1","","","3","","","0","6","6086","1","top_luis_experiment_success_burst"
"","","","93","","","","6","6087","2.7","0"
"0.2","","","3","","","1","6","6088","3","top_sono_readPaper_loop"
"0.1","","","3","","","0","6","6089","1","top_luis_experiment_success_out"
"","","","93","","","","6","6090","1.1","0"
"0.2","0","","3","1","idle_normal","0","6","6091","1","top_luis_sit_out"
"","","","4","","","","6","6092","1","1"
"","","","2","0","0","-140","6","6093","1","-57"
"","","","2","0","0.3","-130","6","6094","1","-100"
"","","","93","","","","6","6095","1","0"
"0.2","","","3","","","0","6","6096","1","walk_normal"
"","","","2","0","1","-103","6","6097","1","-216"
"","","","93","","","","6","6098","1","0"
"0.1","","","3","","","0","6","6099","1","idle_normal"
"","","","93","","","","6","6100","0.8","0"
"","","","32","","","","6","6101","14","0"
"","","","101","","0","0","6","6102","6008",""
"1.4","1","idle_normal","5","-103","-216","100","7","7001","1","1"
"1.43","1","top_iroha_read_loop","5","-130","452","110","7","7002","2","2"
"1.38","1","top_sono_readPaper_loop","5","-130","350","101","7","7003","3","3"
"1.4","1","butterfly","5","130","980","111","7","7004","11","11"
"0","","","31","1","-130","452","7","7005","11","11"
"0","","","31","1","-140","56","7","7006","14","14"
"","","","91","","","","7","7007","0","0"
"0.2","","","3","","","1","7","7008","2","top_iroha_read_loop"
"0.2","","","3","","","1","7","7009","3","top_sono_readPaper_loop"
"0.2","0","","3","1","top_luis_arm_crossed_idle","0","7","7010","1","top_luis_arm_crossed_in"
"","","","93","","","","7","7011","4","0"
"0.2","0","","3","1","top_luis_approach_idle","0","7","7012","1","top_luis_approach_in"
"","","","93","","","","7","7013","3.5","0"
"0.2","","","3","","","1","7","7014","1","top_luis_thinking"
"","","","93","","","","7","7015","3.5","0"
"0.2","","","3","","","1","7","7016","1","top_luis_walk_think"
"","","","2","0","2","-103","7","7017","1","-495"
"","","","93","","","","7","7018","2","0"
"","","","4","","","","7","7019","1","0"
"","","","2","0","2","-103","7","7020","1","-216"
"","","","93","","","","7","7021","2","0"
"0","","","3","","","1","7","7022","1","top_luis_notice"
"","","","93","","","","7","7023","1","0"
"0.2","","","3","","","1","7","7024","1","top_luis_walk_jog"
"","","","2","0","0.5","-130","7","7025","1","-100"
"","","","93","","","","7","7026","0.5","0"
"","","","4","","","","7","7027","1","1"
"0.2","0","","3","1","top_luis_sit_idle","0","7","7028","1","top_luis_sit_in"
"","","","93","","","","7","7029","0.1","0"
"","","","2","0","0.4","-140","7","7030","1","-57"
"","","","93","","","","7","7031","0.4","0"
"","","","2","0","0","-140","7","7032","1","-16"
"","","","4","","","","7","7033","1","0"
"","","","93","","","","7","7034","0.6","0"
"0.2","","","3","","","0","7","7035","1","top_luis_experiment_success_in"
"","","","93","","","","7","7036","2.3","0"
"0.1","","","3","","","0","7","7037","1","top_luis_experiment_success_mix"
"","","","93","","","","7","7038","2.7","0"
"0.2","0","","3","1","top_sono_notice_loop_dere","0","7","7039","3","top_sono_notice_in_dere"
"0.2","","","3","","","1","7","7040","2","top_iroha_read_look_light"
"","","","32","","","","7","7041","14","1"
"0.1","","","3","","","0","7","7042","1","top_luis_experiment_success_burst"
"","","","93","","","","7","7043","2.7","0"
"0.2","","","3","","","1","7","7044","3","top_sono_readPaper_loop"
"0.2","","","3","","","1","7","7045","2","top_iroha_read"
"0.1","","","3","","","0","7","7046","1","top_luis_experiment_success_out"
"","","","93","","","","7","7047","1.1","0"
"0.2","0","","3","1","idle_normal","0","7","7048","1","top_luis_sit_out"
"","","","4","","","","7","7049","1","1"
"","","","2","0","0","-140","7","7050","1","-57"
"","","","2","0","0.3","-130","7","7051","1","-100"
"","","","93","","","","7","7052","1","0"
"0.2","","","3","","","0","7","7053","1","walk_normal"
"","","","2","0","1","-103","7","7054","1","-216"
"","","","93","","","","7","7055","1","0"
"0.1","","","3","","","0","7","7056","1","idle_normal"
"","","","93","","","","7","7057","0.8","0"
"","","","32","","","","7","7058","14","0"
"0.2","","","3","","","1","7","7059","1","top_luis_thinking"
"","","","93","","","","7","7060","5.1","0"
"","","","4","","","","7","7061","11","1"
"","","","2","0","7","130","7","7062","11","-980"
"","","","93","","","","7","7063","2.5","0"
"0.2","","","3","","","0","7","7064","2","top_iroha_read_notice"
"","","","93","","","","7","7065","0.6","0"
"0","0","","3","1","top_iroha_run","0","7","7066","2","top_iroha_notice_to_run"
"","","","93","","","","7","7067","0.4","0"
"","","","32","","","","7","7068","11","1"
"","","","37","","","","7","7069","11","smokeR"
"","","","33","0","4.2","-130","7","7070","11","-980"
"","","","2","0","4.2","-130","7","7071","2","-980"
"","","","93","","","","7","7072","0.2","0"
"0.2","0","","3","1","top_sono_notice_loop_surprise","0","7","7073","3","top_sono_notice_in_surprise"
"","","","93","","","","7","7074","1.7","0"
"0.2","0","","3","1","top_luis_surprise_idle","0","7","7075","1","top_luis_surprise_in"
"","","","93","","","","7","7076","2.5","0"
"","","","32","","","","7","7077","11","0"
"","","","93","","","","7","7078","1","0"
"","","","4","","","","7","7079","11","0"
"","","","2","0","7","130","7","7080","11","980"
"","","","93","","","","7","7081","1.5","0"
"","","","32","","","","7","7082","11","1"
"","","","37","","","","7","7083","11","smokeL"
"","","","33","0","5.964","-130","7","7084","11","980"
"0","","","3","","","1","7","7085","2","top_iroha_run_joy"
"","","","4","","","","7","7086","2","0"
"","","","2","0","5.964","-130","7","7087","2","980"
"","","","93","","","","7","7088","2.2","0"
"0","","","3","","","1","7","7089","1","top_luis_surprise_look"
"","","","93","","","","7","7090","1.8","0"
"0","","","3","","","1","7","7091","3","top_sono_notice_loop_look"
"","","","93","","","","7","7092","1.964","0"
"","","","32","","","","7","7093","11","0"
"","","","93","","","","7","7094","0.5","0"
"0.2","","","3","","","1","7","7095","1","top_luis_thinking"
"","","","93","","","","7","7096","1.5","0"
"0","","","3","","","1","7","7097","2","top_iroha_walk"
"","","","4","","","","7","7098","2","1"
"","","","2","0","0","-130","7","7099","2","1032"
"","","","33","0","0","-130","7","7100","11","1032"
"","","","2","0","3","-130","7","7101","2","452"
"","","","33","0","3","-130","7","7102","11","452"
"","","","93","","","","7","7103","3","0"
"0.2","0","","3","1","idle_normal","0","7","7104","2","top_iroha_walk_out"
"","","","93","","","","7","7105","0.4","0"
"0.2","0.2","","3","1","top_iroha_read_loop","0","7","7106","2","top_iroha_sit_in"
"0.2","","","3","","","1","7","7107","3","top_sono_readPaper"
"","","","93","","","","7","7108","4","0"
"","","","93","","","","7","7109","9.6","0"
"0.2","0","","3","1","top_sono_stretch","0","7","7110","3","top_sono_sit_out"
"","","","2","0","0.3","-130","7","7111","3","287"
"","","","93","","","","7","7112","3.5","0"
"0.2","","","3","","","1","7","7113","3","top_sono_drink"
"","","","93","","","","7","7114","2.6","0"
"0.4","","","3","","","0","7","7115","2","top_iroha_read_look"
"","","","93","","","","7","7116","3.5","0"
"0.2","","","3","","","1","7","7117","1","top_luis_thinking_look"
"","","","93","","","","7","7118","2.9","0"
"0.2","","","3","","","1","7","7119","1","top_luis_thinking"
"","","","93","","","","7","7120","1.5","0"
"0.2","","","3","","","0","7","7121","3","top_sono_sit_in"
"","","","93","","","","7","7122","0.1","0"
"0.2","","","3","","","1","7","7123","2","top_iroha_read_loop"
"","","","2","0","0.3","-130","7","7124","3","350"
"","","","93","","","","7","7125","2.5","0"
"0.2","","","3","","","1","7","7126","3","top_sono_readPaper_loop"
"","","","93","","","","7","7127","1","0"
"","","","101","","","","7","7128","7012",""
"1.4","0","fantasize_all","5","-140","-16","101","8","8001","1","1"
"1.38","1","empty","5","-130","980","100","8","8002","3","3"
"1","0","fantasize_all","5","-140","-16","102","8","8003","15","15"
"0","","","31","1","-140","27","8","8004","11","11"
"0","","","31","1","0","0","8","8005","15","15"
"","","","91","","","","8","8006","0","0"
"0.2","0","","3","1","fantasize_3","0","8","8007","1","fantasize_all"
"0.2","0","","3","1","fantasize_3","0","8","8008","15","fantasize_all"
"","","","93","","","","8","8009","2","0"
"","","","23","","","0","8","8010","se_alces","se_alces_fantasy1"
"","","","93","","","","8","8011","10","0"
"0.2","","","3","","","1","8","8012","3","walk"
"","","","2","0","3","-130","8","8013","3","350"
"","","","93","","","","8","8014","3","0"
"0.2","","","3","","","0","8","8015","3","sono_notice_in_anger2"
"","","","93","","","","8","8016","1.5","0"
"0.2","0","","3","1","idle_normal","0","8","8017","3","kohon"
"","","","93","","","","8","8018","0.6","0"
"","","","23","","","0","8","8019","se_alces","se_alces_fantasy2"
"0","","","3","","","0","8","8020","15","fantasize_out"
"","","","32","","","","8","8021","15","1"
"0.2","","","3","","","0","8","8022","1","fantasize_3_surprise"
"","","","93","","","","8","8023","1.5","0"
"0.2","","","3","","","0","8","8024","1","fantasize_sit_out"
"","","","2","0","0.3","-140","8","8025","1","27"
"","","","93","","","","8","8026","0.8","0"
"0.2","0","","3","1","fantasize_armcrossed_idle","0","8","8027","1","fantasize_armcrossed_in"
"","","","93","","","","8","8028","0.5","0"
"0.2","","","3","","","1","8","8029","3","idle_surprise"
"","","","93","","","","8","8030","1.5","0"
"","","","23","","","0","8","8031","se_alces","se_alces_run"
"0","","","3","","","1","8","8032","1","fantasize_run"
"","","","2","0","1.5","-140","8","8033","1","1080"
"","","","32","","","","8","8034","11","1"
"","","","33","0","1.5","-140","8","8035","11","1080"
"","","","93","","","","8","8036","0.5","0"
"0.2","0","","3","1","lookback_idle","0","8","8037","3","lookback_in"
"","","","93","","","","8","8038","1.8","0"
"","","","23","","","0","8","8039","se_alces","se_alces_sweat"
"1.4","1","walk_jog_Ex3_shy","5","-140","560","101","9","9001","1","1"
"1.4","1","empty","5","-114","147","100","9","9002","1","2"
"0","","","31","1","-114","147","9","9003","16","16"
"0","","","31","1","-114","147","9","9004","17","17"
"","","","91","","","","9","9005","0","0"
"0.2","","","3","","","1","9","9006","1","walk_jog_Ex3_shy"
"","","","2","0","1.2","-140","9","9007","1","270"
"","","","93","","","","9","9008","1.2","0"
"0.2","","","3","","","1","9","9009","1","idle_normal_Ex0003_shy"
"","","","93","","","","9","9010","0.3","0"
"0.2","","","3","","","0","9","9011","1","lookAround"
"","","","93","","","","9","9012","2.7","0"
"0.2","","","3","","","1","9","9013","1","walk_jog_anger_shy"
"","","","2","0","0.7","-114","9","9014","1","147"
"","","","93","","","","9","9015","0.7","0"
"0","0","","3","1","crouch_search_read_idle","0","9","9016","1","crouch_search_read_F"
"0","","","3","","","0","9","9017","2","crouch_search_read_B"
"","","","93","","","","9","9018","0.9","0"
"","","","23","","","0","9","9019","se_alces","se_alces_book_take"
"","","","93","","","","9","9020","5.2","0"
"","","","23","","","0","9","9021","se_alces","se_alces_book_open"
"","","","93","","","","9","9022","0.5","0"
"","","","23","","","0","9","9023","se_alces","se_alces_steam"
"","","","32","","","","9","9024","17","1"
"","","","93","","","","9","9025","6.2","0"
"","","","32","","","","9","9026","16","1"
"1.4","0","iroha_sleep","5","-130","400","100","10","10001","2","2"
"1.4","0","iroha_sleep","5","-130","400","101","10","10002","12","12"
