ab0c877705c0304c15795888475ce785e7c9cc861058c8ce30b82ad6a2df8525,e2986c336685d9f6e11086a2439a05e4ce1eed6bbd2f8ed347fd44a7a6837c70,c35a598b411501bbcd81957d0636ba037141f0f0341781df712d730b19503ce4,739de39f86dee11184ef4b6d2ab4f3e4e7b557a8f584b0d5b65b70ea226b4338,2df206420e54a6e090a2cd23f8bdcaadb7cd889caf9ea4bcf80be317f97656d9,86b099534cf590cdebb80bffbf3ab80d174c558f3720b99ce66144041ae882cf
"25","1013406","101201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"26","1013406","101201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"27","1013406","116501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"28","1013406","116501","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"29","1013406","121601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"30","1013406","121601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"31","1013406","128301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/12/31 12:00:00"
"32","1013406","128301","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"33","1013406","112201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"34","1013406","112201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"35","1013406","115701","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"36","1013406","115701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"37","1013406","113401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"38","1013406","113401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"39","1013406","128401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/01/03 19:00:00"
"40","1013406","128401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/03 19:00:00"
"41","1013406","180701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"42","1013406","180701","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/12/31 12:00:00"
"43","1013606","100101","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"44","1013606","100101","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"45","1013606","100101","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"46","1013606","100201","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/01/31 12:00:00"
"47","1013606","100201","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"48","1013606","100201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"49","1013606","100201","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"50","1013606","100301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"51","1013606","100301","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"52","1013606","100301","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"53","1013606","108701","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"54","1013606","108701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"55","1013606","108701","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"56","1013606","180101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"57","1013606","180101","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"58","1013606","122401","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"59","1013606","122401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"62","1013606","108801","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/01/31 12:00:00"
"63","1013606","108801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"64","1013606","108801","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"65","1013606","108801","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"66","1013606","115601","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"67","1013606","115601","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"68","1013606","180201","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"69","1013606","180201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"70","1013606","122601","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"71","1013606","122601","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"72","1013606","128901","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"73","1013606","128901","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"74","1013606","108901","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"75","1013606","108901","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/01/31 12:00:00"
"76","1013606","108901","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"77","1013606","114001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"78","1013606","114001","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"79","1013606","180301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"80","1013606","180301","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"81","1013606","122501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"82","1013606","122501","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"83","1013606","128801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"84","1013606","128801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"85","1013706","100101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"86","1013706","100101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"87","1013706","100201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"88","1013706","100201","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"89","1013706","100301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"90","1013706","100301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"91","1013706","108701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"92","1013706","108701","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"93","1013706","180101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"94","1013706","180101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"95","1013706","122401","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"96","1013706","122401","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"99","1013706","108801","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"100","1013706","108801","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"101","1013706","115601","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"102","1013706","115601","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"103","1013706","180201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"104","1013706","180201","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"105","1013706","122601","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"106","1013706","122601","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"107","1013706","128901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"108","1013706","128901","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"109","1013706","108901","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"110","1013706","108901","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"111","1013706","114001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"112","1013706","114001","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"113","1013706","180301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"114","1013706","180301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"115","1013706","122501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"116","1013706","122501","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"117","1013706","128801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"118","1013706","128801","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
