9c6900480681e8fdf12fc630e4b52a16acb09b336d94fd3faa10675f66429b65,4a023c32c5c42ecf767c9876f448f2f150bb44201d8e6d5a14299b8390ba0e3f,4473e618ee3f2c98992e2c0717f32c24c51f26ca28e5553b41ea31818445b6be,35e7b60b754e423a8021cd5ad5cda5e1ae1a5fb1b4ce160ec2296132a81bcf60,efe3879c12f9e80a872c5b954eaabddfdd5c7c668a0f63e770592cad008ab3ef,729566e2023a65b8594729e2f380b0189ce8627cf511dd0349abab591b9655a5,89eb53db5b617f6cb54b0fabfb8307ae1dbe0eca559d5330182ecaf4de9ebdfc,eba73c6051ec557a75174ae9fec61bcd520f21204b8232bfb1da852377bd3c50,498cdd4ff8ac8a4585542048d95ed9f2e35209f770b0e71f96a6c189f3cbd41f,9dae0255c9354f3a0650285dbc1987fa6d3be174912d43009bb9e4f47ce7d3aa,f4dfda8ed8bcd1686869c9a3738a90922491b9166aecb44e8ba65f51646feaaf
"0.56","0.63","6","0.23","1021301","0","","1","0","9","1021301022"
"","","141","","1021301","","","","","1","1021301023"
"","","91","","1021301","","","","","0","1021301024"
"","","93","0","1021301","","","","","0.033","1021301025"
"","0","23","se_obtent_10213_drama_cook_lyrael","1021301","","","","","se_10067600","1021301026"
"","0","3","raira_cook","1021301","0","","","0","1","1021301027"
"","0","3","raira_cook","1021301","0","","","0","2","1021301028"
"","0","3","raira_end","1021301","0","","","0","3","1021301029"
"","0","3","raira_cook","1021301","0","","","0","4","1021301030"
"","0","3","raira_white","1021301","0","","","0","5","1021301031"
"","0","3","raira_cook","1021301","0","","","0","6","1021301032"
"","0","3","raira_white","1021301","0","","","0","7","1021301033"
"","0","3","raira_cook","1021301","0","","","0","8","1021301034"
"","0","3","raira_cook_w","1021301","0","","","0","9","1021301035"
"","","93","0","1021301","","","","","3","1021301036"
"0","0","21","vo_obtent_1021301_01","1021301","","","","","vo_obtent_1021301","1021301037"
"","","93","0","1021301","","","","","2.366","1021301038"
"","","101","","1021301","","","","","1021301040","1021301039"
"","","24","0","1021301","","","","","se_obtent_10213_drama_cook_lyrael","1021301040"
"","","22","0","1021301","","","","","0","1021301041"
"1","1","6","1","1021301","0","","0","0","1","1021301042"
"1","1","6","1","1021301","0","","0","0","2","1021301043"
"1","1","6","1","1021301","0","","0","0","3","1021301044"
"1","1","6","1","1021301","0","","0","0","4","1021301045"
"1","1","6","1","1021301","0","","0","0","5","1021301046"
"1","1","6","1","1021301","0","","0","0","6","1021301047"
"1","1","6","1","1021301","0","","0","0","7","1021301048"
"1","1","6","1","1021301","0","","0","0","8","1021301049"
"1","1","6","1","1021301","0","","0","0","9","1021301050"
"","","37","eat","1021301","","","","","1","1021301051"
"","","32","0","1021301","","","","","2","1021301052"
"","","32","0","1021301","","","","","5","1021301053"
"","","32","1","1021301","","","","","10","1021301054"
"","","32","1","1021301","","","","","100","1021301055"
"","0","23","se_obtent_10213_drama_eat","1021301","","","","","se_10067600","1021301056"
"","","93","0","1021301","","","","","0","1021301057"
"0","0","21","vo_obtent_1021301_02","1021301","","","","","vo_obtent_1021301","1021301058"
"","","93","0","1021301","","","","","2.8","1021301059"
"0","0","21","vo_obtent_1021301_03","1021301","","","","","vo_obtent_1021301","1021301060"
"","","93","0","1021301","","","","","2.6","1021301061"
"","","26","","1021301","","","","","2","1021301062"
"0","0","21","vo_obtent_1021301_04","1021301","","","","","vo_obtent_1021301","1021301063"
"","","93","0","1021301","","","","","2.5","1021301064"
"","","101","","1021301","","","","","1021301066","1021301065"
"","","32","0","1021301","","","","","10","1021301066"
"","","32","0","1021301","","","","","100","1021301067"
"","","32","1","1021301","","","","","20","1021301068"
"","","32","1","1021301","","","","","200","1021301069"
"","","32","1","1021301","","","","","300","1021301070"
"","","24","0","1021301","","","","","se_obtent_10213_drama_eat","1021301071"
"","","22","0","1021301","","","","","0","1021301072"
"0","0","21","vo_obtent_1021301_05","1021301","","","","","vo_obtent_1021301","1021301073"
"","","25","bgm_MC319A","1021301","","","","","bgm_MC319A","1021301074"
"","0","23","se_obtent_10213_drama_break_1","1021301","","","","","se_10067600","1021301075"
"","","93","0","1021301","","","","","3.5","1021301076"
"","","101","","1021301","","","","","1021301078","1021301077"
"","","37","break_2","1021301","","","","","20","1021301078"
"","","37","break_2","1021301","","","","","200","1021301079"
"","","37","break_2","1021301","","","","","300","1021301080"
"","","24","0","1021301","","","","","se_obtent_10213_drama_break_1","1021301081"
"","","22","0","1021301","","","","","0","1021301082"
"0","0","21","vo_obtent_1021301_06","1021301","","","","","vo_obtent_1021301","1021301083"
"","0","23","se_obtent_10213_drama_break_2","1021301","","","","","se_10067600","1021301084"
"","","93","0","1021301","","","","","4","1021301085"
"","","101","","1021301","","","","","1021301087","1021301086"
"","","37","break_3","1021301","","","","","20","1021301087"
"","","37","break_3","1021301","","","","","200","1021301088"
"","","37","break_3","1021301","","","","","300","1021301089"
"","","24","0","1021301","","","","","se_obtent_10213_drama_break_2","1021301090"
"","","22","0","1021301","","","","","0","1021301091"
"0","0","21","vo_obtent_1021301_07","1021301","","","","","vo_obtent_1021301","1021301092"
"","0","23","se_obtent_10213_drama_break_3","1021301","","","","","se_10067600","1021301093"
"","","93","0","1021301","","","","","5","1021301094"
"","","101","","1021301","","","","","1021301096","1021301095"
"","","37","break_4","1021301","","","","","300","1021301096"
"","","32","1","1021301","","","","","21","1021301097"
"","","93","0","1021301","","","","","0.2","1021301098"
"","","141","","1021301","","","","","0","1021301099"
"","","93","0","1021301","","","","","0.1","1021301100"
"","","92","","1021301","","","","","","1021301101"
"","","101","","1021301","","","","","1021301103","1021301102"
"","","24","0","1021301","","","","","se_obtent_10213_drama_break_3","1021301103"
"","","22","0","1021301","","","","","0","1021301104"
"","","32","1","1021301","","","","","22","1021301105"
"","","93","0","1021301","","","","","0.4","1021301106"
"0","0","31","1","1021302","1","","1","","1","1021302001"
"0","0","31","2","1021302","1","","1","","2","1021302002"
"0","0","31","5","1021302","1","","1","","5","1021302003"
"0","0","31","10","1021302","0","","1","","10","1021302004"
"0","0","31","20","1021302","0","","1","","20","1021302005"
"0","0","31","21","1021302","0","","1","","21","1021302006"
"0","0","31","22","1021302","0","","1","","22","1021302007"
"0","0","31","100","1021302","0","","1","","102","1021302008"
"0","0","31","200","1021302","0","","1","","202","1021302009"
"0","0","31","300","1021302","0","","1","","302","1021302010"
"0","27","5","1","1021302","1","empty","-14","0","1","1021302011"
"0","28","5","2","1021302","1","empty","-14","0","2","1021302012"
"0","26","5","3","1021302","1","empty","-14","0","2","1021302013"
"0","25","5","4","1021302","1","empty","-14","0","11","1021302014"
"0","24","5","5","1021302","1","empty","-14","0","12","1021302015"
"-10","13","5","6","1021302","1","empty","-24","0","11","1021302016"
"-10","12","5","7","1021302","1","empty","-24","0","12","1021302017"
"0","29","5","8","1021302","1","empty","-14","0","0","1021302018"
"-5","10","5","9","1021302","1","empty","-19","0","0","1021302019"
"0.56","0.63","6","0.23","1021302","0","","1","0","6","1021302020"
"0.56","0.63","6","0.23","1021302","0","","1","0","7","1021302021"
"0.56","0.63","6","0.23","1021302","0","","1","0","9","1021302022"
"","","141","","1021302","","","","","1","1021302023"
"","","91","","1021302","","","","","0","1021302024"
"","","93","0","1021302","","","","","0.033","1021302025"
"","0","23","se_obtent_10213_drama_cook_lyrael","1021302","","","","","se_10067600","1021302026"
"","0","3","raira_cook","1021302","0","","","0","1","1021302027"
"","0","3","raira_cook","1021302","0","","","0","2","1021302028"
"","0","3","raira_end","1021302","0","","","0","3","1021302029"
"","0","3","raira_cook","1021302","0","","","0","4","1021302030"
"","0","3","raira_white","1021302","0","","","0","5","1021302031"
"","0","3","raira_cook","1021302","0","","","0","6","1021302032"
"","0","3","raira_white","1021302","0","","","0","7","1021302033"
"","0","3","raira_cook","1021302","0","","","0","8","1021302034"
"","0","3","raira_cook_w","1021302","0","","","0","9","1021302035"
"","","93","0","1021302","","","","","3","1021302036"
"0","0","21","vo_obtent_1021302_01","1021302","","","","","vo_obtent_1021302","1021302037"
"","","93","0","1021302","","","","","2.366","1021302038"
"","","101","","1021302","","","","","1021302040","1021302039"
"","","24","0","1021302","","","","","se_obtent_10213_drama_cook_lyrael","1021302040"
"","","22","0","1021302","","","","","0","1021302041"
"1","1","6","1","1021302","0","","0","0","1","1021302042"
"1","1","6","1","1021302","0","","0","0","2","1021302043"
"1","1","6","1","1021302","0","","0","0","3","1021302044"
"1","1","6","1","1021302","0","","0","0","4","1021302045"
"1","1","6","1","1021302","0","","0","0","5","1021302046"
"1","1","6","1","1021302","0","","0","0","6","1021302047"
"1","1","6","1","1021302","0","","0","0","7","1021302048"
"1","1","6","1","1021302","0","","0","0","8","1021302049"
"1","1","6","1","1021302","0","","0","0","9","1021302050"
"","","37","eat","1021302","","","","","1","1021302051"
"","","32","0","1021302","","","","","2","1021302052"
"","","32","0","1021302","","","","","5","1021302053"
"","","32","1","1021302","","","","","10","1021302054"
"","","32","1","1021302","","","","","100","1021302055"
"","0","23","se_obtent_10213_drama_eat","1021302","","","","","se_10067600","1021302056"
"","","93","0","1021302","","","","","0","1021302057"
"0","0","21","vo_obtent_1021302_02","1021302","","","","","vo_obtent_1021302","1021302058"
"","","93","0","1021302","","","","","2.8","1021302059"
"0","0","21","vo_obtent_1021302_03","1021302","","","","","vo_obtent_1021302","1021302060"
"","","93","0","1021302","","","","","2.6","1021302061"
"","","26","","1021302","","","","","2","1021302062"
"0","0","21","vo_obtent_1021302_04","1021302","","","","","vo_obtent_1021302","1021302063"
"","","93","0","1021302","","","","","2.5","1021302064"
"","","101","","1021302","","","","","1021302066","1021302065"
"","","32","0","1021302","","","","","10","1021302066"
"","","32","0","1021302","","","","","100","1021302067"
"","","32","1","1021302","","","","","20","1021302068"
"","","32","1","1021302","","","","","200","1021302069"
"","","32","1","1021302","","","","","300","1021302070"
"","","24","0","1021302","","","","","se_obtent_10213_drama_eat","1021302071"
"","","22","0","1021302","","","","","0","1021302072"
"0","0","21","vo_obtent_1021302_05","1021302","","","","","vo_obtent_1021302","1021302073"
"","","25","bgm_MC319A","1021302","","","","","bgm_MC319A","1021302074"
"","0","23","se_obtent_10213_drama_break_1","1021302","","","","","se_10067600","1021302075"
"","","93","0","1021302","","","","","3.5","1021302076"
"","","101","","1021302","","","","","1021302078","1021302077"
"","","37","break_2","1021302","","","","","20","1021302078"
"","","37","break_2","1021302","","","","","200","1021302079"
"","","37","break_2","1021302","","","","","300","1021302080"
"","","24","0","1021302","","","","","se_obtent_10213_drama_break_1","1021302081"
"","","22","0","1021302","","","","","0","1021302082"
"0","0","21","vo_obtent_1021302_06","1021302","","","","","vo_obtent_1021302","1021302083"
"","0","23","se_obtent_10213_drama_break_2","1021302","","","","","se_10067600","1021302084"
"","","93","0","1021302","","","","","4","1021302085"
"","","101","","1021302","","","","","1021302087","1021302086"
"","","37","break_3","1021302","","","","","20","1021302087"
"","","37","break_3_02","1021302","","","","","200","1021302088"
"","","37","break_3","1021302","","","","","300","1021302089"
"","","24","0","1021302","","","","","se_obtent_10213_drama_break_2","1021302090"
"","","22","0","1021302","","","","","0","1021302091"
"0","0","21","vo_obtent_1021302_07","1021302","","","","","vo_obtent_1021302","1021302092"
"","0","23","se_obtent_10213_drama_break_3","1021302","","","","","se_10067600","1021302093"
"","","93","0","1021302","","","","","5","1021302094"
"","","101","","1021302","","","","","1021302096","1021302095"
"","","37","break_4","1021302","","","","","300","1021302096"
"","","32","1","1021302","","","","","21","1021302097"
"","","93","0","1021302","","","","","0.2","1021302098"
"","","141","","1021302","","","","","0","1021302099"
"","","93","0","1021302","","","","","0.1","1021302100"
"","","92","","1021302","","","","","","1021302101"
"","","101","","1021302","","","","","1021302103","1021302102"
"","","24","0","1021302","","","","","se_obtent_10213_drama_break_3","1021302103"
"","","22","0","1021302","","","","","0","1021302104"
"","","32","1","1021302","","","","","22","1021302105"
"","","93","0","1021302","","","","","0.4","1021302106"
"0","0","31","1","1021303","1","","1","","1","1021303001"
"0","0","31","2","1021303","1","","1","","2","1021303002"
"0","0","31","5","1021303","1","","1","","5","1021303003"
"0","0","31","10","1021303","0","","1","","10","1021303004"
"0","0","31","20","1021303","0","","1","","20","1021303005"
"0","0","31","21","1021303","0","","1","","21","1021303006"
"0","0","31","22","1021303","0","","1","","22","1021303007"
"0","0","31","100","1021303","0","","1","","103","1021303008"
"0","0","31","200","1021303","0","","1","","203","1021303009"
"0","0","31","300","1021303","0","","1","","303","1021303010"
"0","27","5","1","1021303","1","empty","-14","0","1","1021303011"
"0","28","5","2","1021303","1","empty","-14","0","2","1021303012"
"0","26","5","3","1021303","1","empty","-14","0","2","1021303013"
"0","25","5","4","1021303","1","empty","-14","0","11","1021303014"
"0","24","5","5","1021303","1","empty","-14","0","12","1021303015"
"-10","13","5","6","1021303","1","empty","-24","0","11","1021303016"
"-10","12","5","7","1021303","1","empty","-24","0","12","1021303017"
"0","29","5","8","1021303","1","empty","-14","0","0","1021303018"
"-5","10","5","9","1021303","1","empty","-19","0","0","1021303019"
"0.56","0.63","6","0.23","1021303","0","","1","0","6","1021303020"
"0.56","0.63","6","0.23","1021303","0","","1","0","7","1021303021"
"0.56","0.63","6","0.23","1021303","0","","1","0","9","1021303022"
"","","141","","1021303","","","","","1","1021303023"
"","","91","","1021303","","","","","0","1021303024"
"","","93","0","1021303","","","","","0.033","1021303025"
"","0","23","se_obtent_10213_drama_cook_lyrael","1021303","","","","","se_10067600","1021303026"
"","0","3","raira_cook","1021303","0","","","0","1","1021303027"
"","0","3","raira_cook","1021303","0","","","0","2","1021303028"
"","0","3","raira_end","1021303","0","","","0","3","1021303029"
"","0","3","raira_cook","1021303","0","","","0","4","1021303030"
"","0","3","raira_white","1021303","0","","","0","5","1021303031"
"","0","3","raira_cook","1021303","0","","","0","6","1021303032"
"","0","3","raira_white","1021303","0","","","0","7","1021303033"
"","0","3","raira_cook","1021303","0","","","0","8","1021303034"
"","0","3","raira_cook_w","1021303","0","","","0","9","1021303035"
"","","93","0","1021303","","","","","3","1021303036"
"0","0","21","vo_obtent_1021303_01","1021303","","","","","vo_obtent_1021303","1021303037"
"","","93","0","1021303","","","","","2.366","1021303038"
"","","101","","1021303","","","","","1021303040","1021303039"
"","","24","0","1021303","","","","","se_obtent_10213_drama_cook_lyrael","1021303040"
"","","22","0","1021303","","","","","0","1021303041"
"1","1","6","1","1021303","0","","0","0","1","1021303042"
"1","1","6","1","1021303","0","","0","0","2","1021303043"
"1","1","6","1","1021303","0","","0","0","3","1021303044"
"1","1","6","1","1021303","0","","0","0","4","1021303045"
"1","1","6","1","1021303","0","","0","0","5","1021303046"
"1","1","6","1","1021303","0","","0","0","6","1021303047"
"1","1","6","1","1021303","0","","0","0","7","1021303048"
"1","1","6","1","1021303","0","","0","0","8","1021303049"
"1","1","6","1","1021303","0","","0","0","9","1021303050"
"","","37","eat","1021303","","","","","1","1021303051"
"","","32","0","1021303","","","","","2","1021303052"
"","","32","0","1021303","","","","","5","1021303053"
"","","32","1","1021303","","","","","10","1021303054"
"","","32","1","1021303","","","","","100","1021303055"
"","0","23","se_obtent_10213_drama_eat","1021303","","","","","se_10067600","1021303056"
"","","93","0","1021303","","","","","0","1021303057"
"0","0","21","vo_obtent_1021303_02","1021303","","","","","vo_obtent_1021303","1021303058"
"","","93","0","1021303","","","","","2.8","1021303059"
"0","0","21","vo_obtent_1021303_03","1021303","","","","","vo_obtent_1021303","1021303060"
"","","93","0","1021303","","","","","2.6","1021303061"
"","","26","","1021303","","","","","2","1021303062"
"0","0","21","vo_obtent_1021303_04","1021303","","","","","vo_obtent_1021303","1021303063"
"","","93","0","1021303","","","","","2.5","1021303064"
"","","101","","1021303","","","","","1021303066","1021303065"
"","","32","0","1021303","","","","","10","1021303066"
"","","32","0","1021303","","","","","100","1021303067"
"","","32","1","1021303","","","","","20","1021303068"
"","","32","1","1021303","","","","","200","1021303069"
"","","32","1","1021303","","","","","300","1021303070"
"","","24","0","1021303","","","","","se_obtent_10213_drama_eat","1021303071"
"","","22","0","1021303","","","","","0","1021303072"
"0","0","21","vo_obtent_1021303_05","1021303","","","","","vo_obtent_1021303","1021303073"
"","","25","bgm_MC319A","1021303","","","","","bgm_MC319A","1021303074"
"","0","23","se_obtent_10213_drama_break_1","1021303","","","","","se_10067600","1021303075"
"","","93","0","1021303","","","","","3.5","1021303076"
"","","101","","1021303","","","","","1021303078","1021303077"
"","","37","break_2","1021303","","","","","20","1021303078"
"","","37","break_2","1021303","","","","","200","1021303079"
"","","37","break_2","1021303","","","","","300","1021303080"
"","","24","0","1021303","","","","","se_obtent_10213_drama_break_1","1021303081"
"","","22","0","1021303","","","","","0","1021303082"
"0","0","21","vo_obtent_1021303_06","1021303","","","","","vo_obtent_1021303","1021303083"
"","0","23","se_obtent_10213_drama_break_2","1021303","","","","","se_10067600","1021303084"
"","","93","0","1021303","","","","","4","1021303085"
"","","101","","1021303","","","","","1021303087","1021303086"
"","","37","break_3","1021303","","","","","20","1021303087"
"","","37","break_3","1021303","","","","","200","1021303088"
"","","37","break_3","1021303","","","","","300","1021303089"
"","","24","0","1021303","","","","","se_obtent_10213_drama_break_2","1021303090"
"","","22","0","1021303","","","","","0","1021303091"
"0","0","21","vo_obtent_1021303_07","1021303","","","","","vo_obtent_1021303","1021303092"
"","0","23","se_obtent_10213_drama_break_3","1021303","","","","","se_10067600","1021303093"
"","","93","0","1021303","","","","","5","1021303094"
"","","101","","1021303","","","","","1021303096","1021303095"
"","","37","break_4","1021303","","","","","300","1021303096"
"","","32","1","1021303","","","","","21","1021303097"
"","","93","0","1021303","","","","","0.2","1021303098"
"","","141","","1021303","","","","","0","1021303099"
"","","93","0","1021303","","","","","0.1","1021303100"
"","","92","","1021303","","","","","","1021303101"
"","","101","","1021303","","","","","1021303103","1021303102"
"","","24","0","1021303","","","","","se_obtent_10213_drama_break_3","1021303103"
"","","22","0","1021303","","","","","0","1021303104"
"","","32","1","1021303","","","","","22","1021303105"
"","","93","0","1021303","","","","","0.4","1021303106"
"0","0","31","1","1021304","1","","1","","1","1021304001"
"0","0","31","2","1021304","1","","1","","2","1021304002"
"0","0","31","5","1021304","1","","1","","5","1021304003"
"0","0","31","10","1021304","0","","1","","10","1021304004"
"0","0","31","20","1021304","0","","1","","20","1021304005"
"0","0","31","21","1021304","0","","1","","21","1021304006"
"0","0","31","22","1021304","0","","1","","22","1021304007"
"0","0","31","100","1021304","0","","1","","104","1021304008"
"0","0","31","200","1021304","0","","1","","204","1021304009"
"0","0","31","300","1021304","0","","1","","304","1021304010"
"0","27","5","1","1021304","1","empty","-14","0","1","1021304011"
"0","28","5","2","1021304","1","empty","-14","0","2","1021304012"
"0","26","5","3","1021304","1","empty","-14","0","2","1021304013"
"0","25","5","4","1021304","1","empty","-14","0","11","1021304014"
"0","24","5","5","1021304","1","empty","-14","0","12","1021304015"
"-10","13","5","6","1021304","1","empty","-24","0","11","1021304016"
"-10","12","5","7","1021304","1","empty","-24","0","12","1021304017"
"0","29","5","8","1021304","1","empty","-14","0","0","1021304018"
"-5","10","5","9","1021304","1","empty","-19","0","0","1021304019"
"0.56","0.63","6","0.23","1021304","0","","1","0","6","1021304020"
"0.56","0.63","6","0.23","1021304","0","","1","0","7","1021304021"
"0.56","0.63","6","0.23","1021304","0","","1","0","9","1021304022"
"","","141","","1021304","","","","","1","1021304023"
"","","91","","1021304","","","","","0","1021304024"
"","","93","0","1021304","","","","","0.033","1021304025"
"","0","23","se_obtent_10213_drama_cook_lyrael","1021304","","","","","se_10067600","1021304026"
"","0","3","raira_cook","1021304","0","","","0","1","1021304027"
"","0","3","raira_cook","1021304","0","","","0","2","1021304028"
"","0","3","raira_end","1021304","0","","","0","3","1021304029"
"","0","3","raira_cook","1021304","0","","","0","4","1021304030"
"","0","3","raira_white","1021304","0","","","0","5","1021304031"
"","0","3","raira_cook","1021304","0","","","0","6","1021304032"
"","0","3","raira_white","1021304","0","","","0","7","1021304033"
"","0","3","raira_cook","1021304","0","","","0","8","1021304034"
"","0","3","raira_cook_w","1021304","0","","","0","9","1021304035"
"","","93","0","1021304","","","","","3","1021304036"
"0","0","21","vo_obtent_1021304_01","1021304","","","","","vo_obtent_1021304","1021304037"
"","","93","0","1021304","","","","","2.366","1021304038"
"","","101","","1021304","","","","","1021304040","1021304039"
"","","24","0","1021304","","","","","se_obtent_10213_drama_cook_lyrael","1021304040"
"","","22","0","1021304","","","","","0","1021304041"
"1","1","6","1","1021304","0","","0","0","1","1021304042"
"1","1","6","1","1021304","0","","0","0","2","1021304043"
"1","1","6","1","1021304","0","","0","0","3","1021304044"
"1","1","6","1","1021304","0","","0","0","4","1021304045"
"1","1","6","1","1021304","0","","0","0","5","1021304046"
"1","1","6","1","1021304","0","","0","0","6","1021304047"
"1","1","6","1","1021304","0","","0","0","7","1021304048"
"1","1","6","1","1021304","0","","0","0","8","1021304049"
"1","1","6","1","1021304","0","","0","0","9","1021304050"
"","","37","eat","1021304","","","","","1","1021304051"
"","","32","0","1021304","","","","","2","1021304052"
"","","32","0","1021304","","","","","5","1021304053"
"","","32","1","1021304","","","","","10","1021304054"
"","","32","1","1021304","","","","","100","1021304055"
"","0","23","se_obtent_10213_drama_eat","1021304","","","","","se_10067600","1021304056"
"","","93","0","1021304","","","","","0","1021304057"
"0","0","21","vo_obtent_1021304_02","1021304","","","","","vo_obtent_1021304","1021304058"
"","","93","0","1021304","","","","","2.8","1021304059"
"0","0","21","vo_obtent_1021304_03","1021304","","","","","vo_obtent_1021304","1021304060"
"","","93","0","1021304","","","","","2.8","1021304061"
"","","26","","1021304","","","","","2","1021304062"
"0","0","21","vo_obtent_1021304_04","1021304","","","","","vo_obtent_1021304","1021304063"
"","","93","0","1021304","","","","","2.3","1021304064"
"","","101","","1021304","","","","","1021304066","1021304065"
"","","32","0","1021304","","","","","10","1021304066"
"","","32","0","1021304","","","","","100","1021304067"
"","","32","1","1021304","","","","","20","1021304068"
"","","32","1","1021304","","","","","200","1021304069"
"","","32","1","1021304","","","","","300","1021304070"
"","","24","0","1021304","","","","","se_obtent_10213_drama_eat","1021304071"
"","","22","0","1021304","","","","","0","1021304072"
"0","0","21","vo_obtent_1021304_05","1021304","","","","","vo_obtent_1021304","1021304073"
"","","25","bgm_MC319A","1021304","","","","","bgm_MC319A","1021304074"
"","0","23","se_obtent_10213_drama_break_1","1021304","","","","","se_10067600","1021304075"
"","","93","0","1021304","","","","","3.5","1021304076"
"","","101","","1021304","","","","","1021304078","1021304077"
"","","37","break_2","1021304","","","","","20","1021304078"
"","","37","break_2","1021304","","","","","200","1021304079"
"","","37","break_2","1021304","","","","","300","1021304080"
"","","24","0","1021304","","","","","se_obtent_10213_drama_break_1","1021304081"
"","","22","0","1021304","","","","","0","1021304082"
"0","0","21","vo_obtent_1021304_06","1021304","","","","","vo_obtent_1021304","1021304083"
"","0","23","se_obtent_10213_drama_break_2","1021304","","","","","se_10067600","1021304084"
"","","93","0","1021304","","","","","4","1021304085"
"","","101","","1021304","","","","","1021304087","1021304086"
"","","37","break_3","1021304","","","","","20","1021304087"
"","","37","break_3","1021304","","","","","200","1021304088"
"","","37","break_3","1021304","","","","","300","1021304089"
"","","24","0","1021304","","","","","se_obtent_10213_drama_break_2","1021304090"
"","","22","0","1021304","","","","","0","1021304091"
"0","0","21","vo_obtent_1021304_07","1021304","","","","","vo_obtent_1021304","1021304092"
"","0","23","se_obtent_10213_drama_break_3","1021304","","","","","se_10067600","1021304093"
"","","93","0","1021304","","","","","5","1021304094"
"","","101","","1021304","","","","","1021304096","1021304095"
"","","37","break_4","1021304","","","","","300","1021304096"
"","","32","1","1021304","","","","","21","1021304097"
"","","93","0","1021304","","","","","0.2","1021304098"
"","","141","","1021304","","","","","0","1021304099"
"","","93","0","1021304","","","","","0.1","1021304100"
"","","92","","1021304","","","","","","1021304101"
"","","101","","1021304","","","","","1021304103","1021304102"
"","","24","0","1021304","","","","","se_obtent_10213_drama_break_3","1021304103"
"","","22","0","1021304","","","","","0","1021304104"
"","","32","1","1021304","","","","","22","1021304105"
"","","93","0","1021304","","","","","0.4","1021304106"
"0","0","31","1","1021305","1","","1","","1","1021305001"
"0","0","31","2","1021305","1","","1","","2","1021305002"
"0","0","31","5","1021305","1","","1","","5","1021305003"
"0","0","31","10","1021305","0","","1","","10","1021305004"
"0","0","31","20","1021305","0","","1","","20","1021305005"
"0","0","31","21","1021305","0","","1","","21","1021305006"
"0","0","31","22","1021305","0","","1","","22","1021305007"
"0","0","31","100","1021305","0","","1","","105","1021305008"
"0","0","31","200","1021305","0","","1","","205","1021305009"
"0","0","31","300","1021305","0","","1","","305","1021305010"
"0","27","5","1","1021305","1","empty","-14","0","1","1021305011"
"0","28","5","2","1021305","1","empty","-14","0","2","1021305012"
"0","26","5","3","1021305","1","empty","-14","0","2","1021305013"
"0","25","5","4","1021305","1","empty","-14","0","11","1021305014"
"0","24","5","5","1021305","1","empty","-14","0","12","1021305015"
"-10","13","5","6","1021305","1","empty","-24","0","11","1021305016"
"-10","12","5","7","1021305","1","empty","-24","0","12","1021305017"
"0","29","5","8","1021305","1","empty","-14","0","0","1021305018"
"-5","10","5","9","1021305","1","empty","-19","0","0","1021305019"
"0.56","0.63","6","0.23","1021305","0","","1","0","6","1021305020"
"0.56","0.63","6","0.23","1021305","0","","1","0","7","1021305021"
"0.56","0.63","6","0.23","1021305","0","","1","0","9","1021305022"
"","","141","","1021305","","","","","1","1021305023"
"","","91","","1021305","","","","","0","1021305024"
"","","93","0","1021305","","","","","0.033","1021305025"
