8cbccb21eb41f59eeaf6935bfd66008917b79840226e95e5d9af378104b3d21f,e154d00d4ee18c0b70dac1d002f59461aa2cd84a0287c1da6008a423fb998234,eb5053e1a3b746bdc15f87f802789ca8bee4ca508550cc811df4e2d326b92d5f,86c5e9e3ec6d92e33d232cf1651c3bf0fcacae0887de17128310da3c68a2b878,b81539cbb459bfc3deab0b2fcc3d33187b5d95f77292d89413a35fc9f97031d7,7fcb370032aea23bfcbead741daa6de30c838020668bad8371bc8d38d4761bf4,e6ed8a46228d9f28b4db5e7521da9891a9ee9bcbc5d85fbff1f4ee47c44e2561
"7","1","2","6","6","0","2"
"4","1","1","6","7","0","5"
"10","2","1","6","8","0","4"
"13","1","2","6","9","0","10"
"7","1","1","7","1","0","8"
"10","2","1","7","2","0","12"
"12","2","1","7","3","0","4"
"7","1","1","7","4","0","11"
"10","1","1","7","5","0","1"
"12","2","1","7","6","0","5"
"11","2","1","7","7","0","5"
"10","2","1","7","8","0","8"
"8","1","1","7","9","0","2"
"7","1","1","7","10","0","8"
"9","2","1","7","11","0","4"
"10","1","2","8","1","0","1"
"10","2","1","8","2","0","12"
"5","1","1","8","3","0","12"
"12","1","1","8","4","0","5"
"10","2","1","8","5","0","1"
"12","1","1","8","6","0","5"
"12","1","1","8","7","0","5"
"10","2","1","8","8","0","1"
"9","2","1","8","9","0","8"
"9","1","2","8","10","0","4"
"8","1","1","9","1","0","4"
"10","1","1","9","2","0","5"
"7","2","1","9","3","0","4"
"8","2","1","9","4","0","6"
"10","1","1","9","5","0","1"
"11","1","1","9","6","0","11"
"6","1","1","9","7","0","1"
"8","2","1","9","8","0","5"
"7","2","1","9","9","0","8"
"6","1","1","9","10","0","4"
"10","2","1","10","1","0","11"
"7","1","1","10","2","0","1"
"8","1","2","10","3","0","8"
"9","2","1","10","4","0","5"
"8","1","1","10","5","0","10"
"7","1","2","10","6","0","1"
"6","1","2","10","7","0","2"
"10","1","1","10","8","0","11"
"10","2","1","10","9","0","8"
"8","1","1","11","1","0","9"
"0","2","1","11","2","0","5"
"12","2","1","11","3","0","6"
"5","1","1","11","4","0","1"
"10","2","1","11","5","0","5"
"12","2","1","11","6","0","6"
"4","1","1","11","7","0","1"
"0","1","1","11","8","0","11"
"0","1","1","11","9","0","6"
"10","2","1","11","10","0","1"
"11","1","1","11","11","0","6"
"12","2","1","11","12","0","1"
"6","2","1","11","13","0","5"
"7","1","1","11","14","0","10"
"7","2","1","11","15","0","4"
"4","2","1","12","1","0","11"
"5","1","1","12","2","0","1"
"10","2","1","12","3","0","6"
"10","2","1","12","4","0","5"
"0","1","1","12","5","0","11"
"0","2","1","12","6","0","6"
"17","2","1","12","7","0","12"
"1","1","1","12","8","0","5"
"2","1","1","12","9","0","1"
"10","2","1","12","10","0","6"
"10","2","1","12","11","0","4"
"0","1","1","12","12","0","1"
"13","1","1","12","13","0","5"
"8","2","1","12","14","0","11"
"10","1","1","12","15","0","8"
"10","1","1","13","1","0","11"
"8","3","1","13","2","0","11"
"0","2","1","13","3","0","6"
"10","1","1","13","4","0","11"
"7","2","1","13","5","0","11"
"6","3","1","13","6","0","2"
"0","3","1","13","7","1500","1"
"5","1","3","13","8","0","11"
"10","3","1","13","9","0","5"
"4","2","1","13","10","0","1"
"4","1","1","13","11","0","1"
"6","3","1","13","12","0","6"
"6","1","1","13","13","0","4"
"10","1","3","13","14","0","9"
"10","3","1","13","15","0","8"
"6","1","1","13","16","0","4"
"0","3","1","13","17","0","1"
"8","2","1","13","18","0","8"
"0","1","1","14","1","0","11"
"13","1","2","14","2","0","2"
"10","3","1","14","3","0","11"
"10","1","1","14","4","0","1"
"10","1","2","14","5","0","4"
"0","2","1","14","6","0","11"
"0","2","1","14","7","0","1"
"10","1","1","14","8","0","1"
"12","3","1","14","9","0","12"
"12","3","1","14","10","0","12"
"0","3","1","14","11","0","5"
"12","1","1","14","12","0","5"
"6","1","2","14","13","0","10"
"10","1","1","14","14","0","11"
"6","1","3","14","15","0","10"
"10","1","1","14","16","0","11"
"6","1","3","14","17","0","2"
"6","1","2","14","18","0","10"
"4","1","1","14","19","0","11"
"10","2","1","14","20","0","8"
"4","1","3","14","21","0","8"
"10","2","1","15","1","0","12"
"12","1","1","15","2","0","12"
"12","3","1","15","3","0","11"
"6","1","1","15","4","0","11"
"12","2","1","15","5","0","12"
"0","2","1","15","6","0","5"
"12","1","1","15","7","0","11"
"0","1","1","15","8","0","1"
"0","1","1","15","9","0","5"
"12","1","2","15","10","0","12"
"0","3","1","15","11","0","11"
"11","3","1","15","12","0","12"
"9","2","1","15","13","0","1"
"12","1","1","15","14","0","1"
"0","1","1","15","15","0","12"
"9","1","1","15","16","0","12"
"4","2","1","15","17","0","11"
"4","1","3","15","18","0","11"
"12","2","1","15","19","0","5"
"0","2","1","15","20","0","12"
"7","2","1","15","21","0","12"
"12","1","3","15","22","0","12"
"7","1","3","15","23","0","1"
"0","3","1","15","24","0","4"
"10","1","3","15","25","0","4"
"0","2","1","15","26","0","8"
"0","1","1","15","27","0","11"
"0","2","1","15","28","0","11"
"0","1","1","16","1","0","6"
"10","2","1","16","2","0","11"
"0","3","1","16","3","0","12"
"0","2","1","16","4","0","4"
"12","1","1","16","5","0","6"
"0","1","1","16","6","0","6"
"4","2","1","16","7","0","4"
"4","3","1","16","8","0","5"
"0","3","1","16","9","0","1"
"17","1","1","16","10","0","12"
"0","2","1","16","11","0","11"
"10","3","1","16","12","0","1"
"11","2","1","16","13","0","11"
"0","3","1","16","14","0","11"
"12","1","1","16","15","0","12"
"10","1","1","16","16","0","11"
"10","1","1","16","17","0","11"
"6","1","1","16","18","0","6"
"6","2","1","16","19","0","11"
"8","3","1","16","20","0","1"
"8","3","1","16","21","0","5"
"9","1","1","16","22","0","4"
"10","1","1","16","23","0","11"
"4","1","1","17","1","0","11"
"10","1","3","17","2","0","4"
"4","1","1","17","3","0","11"
"0","1","1","17","4","0","1"
"10","1","2","17","5","0","1"
"4","2","1","17","6","0","11"
"10","1","2","17","7","0","1"
"4","2","1","17","8","0","11"
"0","3","1","17","9","0","1"
"10","1","2","17","10","0","8"
"12","1","1","17","11","0","12"
"4","3","1","17","12","0","11"
"4","1","3","17","13","0","1"
"10","1","1","17","14","0","11"
"0","1","2","17","15","0","1"
"4","1","2","17","16","0","11"
"7","1","2","17","17","0","8"
"0","1","1","17","18","0","11"
"6","1","3","17","19","0","2"
"10","1","1","17","20","0","10"
"10","2","1","17","21","0","11"
"7","3","1","17","22","0","8"
"4","1","1","18","1","0","11"
"13","1","2","18","2","0","5"
"10","1","1","18","3","0","4"
"10","2","1","18","4","0","4"
"10","3","1","18","5","0","11"
"7","1","3","18","6","0","5"
"10","1","1","18","7","0","11"
"10","3","1","18","8","0","4"
"10","2","1","18","9","0","11"
"6","1","3","18","10","0","5"
"10","1","1","18","11","0","11"
"10","2","1","18","12","0","11"
"10","3","1","18","13","0","4"
"8","1","2","18","14","0","5"
"6","1","2","18","15","0","6"
"0","3","1","18","16","0","10"
"0","2","1","18","17","0","10"
"0","1","1","18","18","0","10"
"7","1","2","18","19","0","10"
"10","1","1","18","20","0","8"
"10","1","1","18","21","0","11"
"9","1","2","18","22","0","2"
"0","1","2","19","1","0","13"
"8","1","2","19","2","0","4"
"0","1","2","19","3","0","8"
"10","1","2","20","1","0","14"
"0","1","2","20","2","0","8"
"13","1","2","21","1","0","15"
"0","1","2","22","1","0","15"
"0","1","2","22","2","0","13"
"0","1","2","23","1","0","42"
"0","1","2","23","2","0","72"
"0","1","2","24","1","0","43"
"0","1","2","25","1","0","44"
"0","1","2","26","1","0","45"
"0","1","2","27","1","0","46"
"0","1","2","28","1","0","47"
"0","1","2","29","1","0","14"
"0","1","1","30","1","0","15"
"0","2","1","30","2","0","8"
"13","1","1","30","3","0","10"
"13","2","1","30","4","0","10"
"9","2","1","30","5","0","12"
"6","1","1","30","6","0","72"
"8","1","2","30","7","0","2"
"0","1","2","30","8","0","13"
"8","1","1","31","1","0","4"
"0","2","1","31","2","0","1"
"6","1","1","31","3","0","10"
"0","2","1","31","4","0","4"
"7","1","1","31","5","0","9"
"0","2","1","31","6","0","1"
"6","1","1","32","1","0","10"
"13","2","1","32","2","0","10"
"0","3","1","32","3","0","1"
"11","2","1","32","4","0","2"
"8","1","1","32","5","0","2"
"0","3","1","32","6","0","1"
"7","3","1","32","7","0","72"
"0","3","1","33","1","0","6"
"13","1","3","33","2","0","10"
"3","3","1","33","3","0","3"
"0","1","3","33","4","0","72"
"2","3","1","33","5","0","12"
"6","1","2","34","1","0","4"
"7","1","1","34","2","0","5"
"0","2","1","34","3","0","1"
"8","2","1","34","4","0","12"
"0","1","1","34","5","0","1"
"0","1","2","34","6","0","15"
"0","1","2","35","1","0","8"
"10","1","2","35","2","0","72"
"0","1","2","35","3","0","13"
"0","1","2","36","1","0","4"
"6","1","1","36","2","0","6"
"0","1","1","36","3","0","1"
"10","2","1","36","4","0","72"
"0","2","1","36","5","0","9"
"7","2","2","36","6","0","2"
"7","1","2","37","1","0","8"
"0","1","1","37","2","0","4"
"0","2","1","37","3","0","5"
"6","1","2","37","4","0","13"
"10","1","2","38","1","0","13"
"8","1","1","38","2","0","5"
"7","2","1","38","3","0","6"
"0","1","1","38","4","0","1"
"7","2","1","38","5","0","9"
"13","2","1","38","6","0","15"
"0","1","2","38","7","0","8"
"6","1","2","39","1","0","4"
"13","1","1","39","2","0","6"
"10","2","1","39","3","0","72"
"6","1","2","39","4","0","13"
