181d5e4c665ddddbc1d7b28b8fae0dc850ed569226e4a1b5c3de2e3a8e9fbbad,1f45d05e6f57c029b750a093e4eb6fa6a5eb61845a511ca21ceac9b4ba885306,32dc48c4030f43dda0f9be5a1b22358f501c3513d987a975faf202d06c8ad827,8ae574267521af385afa6e5e8bf866a9bb36d3ee0e5c52c25b8615a595e3ba04,20e85058e47ae95778449390950e9e81c2d9c9a4fb3747268486b1a777e98d3e,b438665db4927645656c2411d38ccc32e00244befedb03e93b3b4d94b47a3d1c,505f6519a8aff493fd544cd2e39b4603d699f043800860debe869f96288a90c8,e60ca86dc8b342eb7f15b43217829f38d13b4753ad30b299c5317d99cbd7d62b,7bd94bacdf579a2923f1fea037e883f1fdb8f6e75b30255d15fc2ffb2c6c9cfd,c74a312d4157eed4fc14a7dff9dfab15880a2a341688fefbf4046af31c18772a,658e11276cebd11891e67ab89ffc43f0e802ed0d1846877bbe3afb95cc720999
"1","あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","11","0.2","1","1010801","10","2","1010801023","0","0"
"","","91","","","1010801","","0","1010801024","",""
"","dsb_idle_worry","3","","","1010801","1","2","1010801025","","0.5"
"","dsb_talk_worry_Ex3","3","","","1010801","1","1","1010801026","","0.5"
"","vo_dsb_1002","21","","0","1010801","0","vo_dsb_1010801","1010801027","",""
"1","今はボスじゃなくて\n若女将って呼んでほしいな～？","11","0.2","1","1010801","10","1","1010801028","0","0"
"","","91","","","1010801","","0","1010801029","",""
"","dsb_idle_normal","3","","","1010801","1","1","1010801030","","0.5"
"1","dsb_talk_doya_sing","3","","dsb_talk_doya_sing_loop","1010801","0","2","1010801031","0.5","0.5"
"","vo_dsb_1003","21","","0","1010801","0","vo_dsb_1010801","1010801032","",""
"1","けっ。\nな～にが若女将ですか……\n根性のねじ曲がったババ女将のくせに。","11","0.2","1","1010801","10","2","1010801033","0","0"
"","","91","","","1010801","","0","1010801034","",""
"","dsb_idle_doya_blink","3","","","1010801","1","2","1010801035","","0.5"
"","dsb_talk_sad2_talkjoy2","3","","","1010801","1","1","1010801036","","0.5"
"","vo_dsb_1004","21","","0","1010801","0","vo_dsb_1010801","1010801037","",""
"1","イノリちゃん……\n今なんか言った？","11","0.2","1","1010801","10","1","1010801038","0","0"
"","","91","","","1010801","","0","1010801039","",""
"","dsb_idle_normal","3","","","1010801","1","1","1010801040","","0.5"
"1","dsb_surprise_inori","3","","dsb_talk_surprise1_2","1010801","0","2","1010801041","0.5","0.2"
"","vo_dsb_1005","21","","0","1010801","0","vo_dsb_1010801","1010801042","",""
"1","いいい、いや何も言ってないですよ～？\nそんなことより温泉です！\nこの熱さはただごとじゃないです……\n絶対ヤバいものが入ってるですよ！","11","0.2","1","1010801","10","2","1010801043","0","0"
"","","91","","","1010801","","0","1010801044","",""
"","dsb_idle_surprise1_normal","3","","","1010801","1","2","1010801045","","0.5"
"","dsb_talk_bitter","3","","","1010801","1","1","1010801046","","0.5"
"","vo_dsb_1006","21","","0","1010801","0","vo_dsb_1010801","1010801047","",""
"1","人聞きが悪いな～\n危険なものなんて入ってないよ～\n……むしろイノリちゃんだって\nよく知ってるものだし？","11","0.2","1","1010801","10","1","1010801048","0","0"
"","","91","","","1010801","","0","1010801049","",""
"","dsb_idle_normal","3","","","1010801","1","1","1010801050","","0.5"
"","dsb_sniff","3","","","1010801","1","2","1010801051","","0.5"
"","vo_dsb_1007","21","","0","1010801","0","vo_dsb_1010801","1010801052","",""
"1","言われてみれば……クンクン。\nこのお湯の匂い\nどっかで嗅いだような気がするです。","11","0.2","1","1010801","10","2","1010801053","0","0"
"","","91","","","1010801","","0","1010801054","",""
"","dsb_idle_normal","3","","","1010801","1","2","1010801055","","0.5"
"","dsb_talk_joy3","3","","","1010801","1","1","1010801056","","0.5"
"","vo_dsb_1008","21","","0","1010801","0","vo_dsb_1010801","1010801057","",""
"1","そうでしょ～？\n正解は～……\nドラゴンもどきちゃんからもらった\n食べると火が吹ける木の実でした～☆","11","0.2","1","1010801","10","1","1010801058","0","0"
"","","91","","","1010801","","0","1010801059","",""
"","dsb_idle_normal","3","","","1010801","1","1","1010801060","","0.5"
"1","dsb_talk_guts2","3","","dsb_talk_guts2_loop","1010801","0","2","1010801061","0.5","0.5"
"","vo_dsb_1009","21","","0","1010801","0","vo_dsb_1010801","1010801062","",""
"1","ああっ！？\nあの火の実ですか！\nだったらこの熱さも納得ですよ！\nあいつ、元気だったですか？","11","0.2","1","1010801","10","2","1010801063","0","0"
"","","91","","","1010801","","0","1010801064","",""
"","dsb_idle_guts2","3","","","1010801","1","2","1010801065","","0.5"
"","dsb_talk_normal","3","","","1010801","1","1","1010801066","","0.5"
"","vo_dsb_1010","21","","0","1010801","0","vo_dsb_1010801","1010801067","",""
"1","うん☆\n私のこと覚えててくれたみたいでね？\nすぐに実を分けてくれたんだ～♪\nこころよ～く、ね？","11","0.2","1","1010801","10","1","1010801068","0","0"
"","","91","","","1010801","","0","1010801069","",""
"","dsb_hot","3","","","1010801","1","1","1010801070","","0.5"
"","vo_dsb_1011","21","","0","1010801","0","vo_dsb_1010801","1010801071","",""
"1","それにしても……\nふぅ。\n実の量を多くしすぎたかな～？\nちょっと火照ってきちゃった～","11","0.2","1","1010801","10","1","1010801072","0","0"
"","","91","","","1010801","","0","1010801073","",""
"","dsb_hot_loop","3","","","1010801","1","1","1010801074","","0.5"
"","dsb_talk_thinking_Ex9","3","","","1010801","1","2","1010801075","","0.3"
"","vo_dsb_1012","21","","0","1010801","0","vo_dsb_1010801","1010801076","",""
"1","（こ、これは……チャンスですよ！\nあたしよりも先にボスがのぼせたら\nその時点でボスはあたしよりへっぽこ！\nつまりあたしの勝ち！　ザ・下克上！）","11","0.2","1","1010801","10","2","1010801077","0","0"
"","","91","","","1010801","","0","1010801078","",""
"1","dsb_talk_arm_crossed_Ex10","3","","dsb_talk_arm_crossed_Ex10_loop","1010801","0","2","1010801079","0.5","0.5"
"","vo_dsb_1013","21","","0","1010801","0","vo_dsb_1010801","1010801080","",""
"1","くっくっく……\nこの勝負、もらったですよー！\nあーっはっはっはっは！","11","0.2","1","1010801","10","2","1010801081","0","0"
"","1","93","","","1010801","","5.6","1010801082","",""
"1","dsb_ahaha_in","3","","dsb_ahaha_loop","1010801","0","2","1010801083","0","0.5"
"","","91","","","1010801","","1010801081","1010801084","",""
"","1","32","","","1010801","","40","1010801085","",""
"","0","93","","","1010801","","1.5","1010801086","",""
"","dsb_inori_dizzy","3","","","1010801","1","2","1010801087","","0"
"","dsb_idle_normal","3","","","1010801","1","1","1010801088","","0"
"","0","93","","","1010801","","0.5","1010801089","",""
"","0","22","","","1010801","","0","1010801090","",""
"","0","93","","","1010801","","1","1010801091","",""
"1","dsb_smile4","3","","dsb_talk_joy3","1010801","0","1","1010801092","0.2","0.5"
"","vo_dsb_1014","21","","0","1010801","0","vo_dsb_1010801","1010801093","",""
"1","うーん♪\nようやくあったまってきた～\nね、イノリちゃん？","11","0.2","1","1010801","10","1","1010801094","0","0"
"","","91","","","1010801","","0","1010801095","",""
"","dsb_idle_normal","3","","","1010801","1","1","1010801096","","0.5"
"","vo_dsb_1015","21","","0","1010801","0","vo_dsb_1010801","1010801097","",""
"1","ぴ……\nぴぃいいい……\nゆでドラゴン族になっちまうです～っ！","11","0.2","1","1010801","10","2","1010801098","0","0"
"","","91","","","1010801","","0","1010801099","",""
"","0","22","","","1010801","","0","1010801100","",""
"","se_10044200_get_out_water","23","","","1010801","0","se_10044200","1010801101","",""
"1","dsb_inori_stand_up_in","3","","dsb_inori_stand_up_loop","1010801","0","2","1010801102","0.2","0.2"
"1","dsb_smile2","3","","dsb_idle_normal","1010801","0","1","1010801103","0.2","0.3"
"","0","93","","","1010801","","0.3","1010801104","",""
"","se_adv_emote_sweat_02","23","","","1010801","0","se_adv_emote_sweat_02","1010801105","",""
"0","2","12","0","0","1010801","1.4","2","1010801106","0","0"
"0","10","12","0","0","1010801","1.4","1","1010801107","0","0"
"","0","93","","","1010801","","2.5","1010801108","",""
"-345","1","5","dsb_idle_normal","-165","1010802","70","12","1010802001","0","2"
"-345","2","5","dsb_idle_normal","165","1010802","70","6","1010802002","1","2"
"1","1","31","","0","1010802","0","1","1010802003","","1"
"1","3","31","","0","1010802","0","3","1010802004","","1"
"1","4","31","","0","1010802","0","4","1010802005","","1"
"1","10","31","","0","1010802","0","16","1010802006","","1"
"1","20","31","","0","1010802","0","26","1010802007","","1"
"1","30","31","","-168","1010802","155","36","1010802008","","1"
"1","31","31","","-168","1010802","-155","36","1010802009","","1"
"","170","13","","","1010802","","1","1010802010","",""
"","170","13","","","1010802","","2","1010802011","",""
"","","91","","","1010802","","0","1010802012","",""
"","se_10044200_cmn_amb","23","","","1010802","1","se_10044200","1010802013","",""
"","se_10044200_cmn_steam","23","","","1010802","0","se_10044200","1010802014","",""
"","0","93","","","1010802","","6","1010802015","",""
"","se_10044200_hotspring_06","23","","","1010802","1","se_10044200","1010802016","",""
"","0","93","","","1010802","","1.5","1010802017","",""
"1","dsb_smile3_joy","3","","dsb_talk_joy1","1010802","0","2","1010802018","0.5","0.5"
"","vo_dsb_2001","21","","0","1010802","0","vo_dsb_1010802","1010802019","",""
"1","やっばー！　おフロ、ひっろ～い☆\n温泉きちゃった感まじパない！\nそれにミサトっちにも会えるとか\nちょーウケるし！　アガる～♪","11","0.2","1","1010802","10","2","1010802020","0","0"
"","","91","","","1010802","","0","1010802021","",""
"","dsb_idle_joy1","3","","","1010802","1","2","1010802022","","0.5"
"","dsb_talk_normal_joy","3","","","1010802","1","1","1010802023","","0.5"
"","vo_dsb_2002","21","","0","1010802","0","vo_dsb_1010802","1010802024","",""
"1","久しぶりね～、スズナちゃん♪\n今日の温泉はね\nお花のアロマ風呂にしてみたの。\n香りはいいし、お肌にもいいのよ～","11","0.2","1","1010802","10","1","1010802025","0","0"
"","","91","","","1010802","","0","1010802026","",""
"","dsb_idle_normal","3","","","1010802","1","1","1010802027","","0.5"
"1","dsb_surprise2","3","","dsb_talk_surprise1_2","1010802","0","2","1010802028","0.5","0.5"
"","vo_dsb_2003","21","","0","1010802","0","vo_dsb_1010802","1010802029","",""
"1","やばば、温泉天才じゃん！\nビヨーにもいいとかビビる！\nここ教えてくれた\nちゃんイオに感謝じゃん♪","11","0.2","1","1010802","10","2","1010802030","0","0"
"","1","93","","","1010802","","6.5","1010802031","",""
"","dsb_talk_joy3","3","","","1010802","1","2","1010802032","","0.5"
"","","91","","","1010802","","1010802030","1010802033","",""
"1","dsb_talk_guts2_doya","3","","dsb_talk_guts2_doya_loop","1010802","0","2","1010802034","0.5","0.3"
"","vo_dsb_2004","21","","0","1010802","0","vo_dsb_1010802","1010802035","",""
"1","よーし！\nじゃあいーっぱい入ってー\nお肌ツヤッツヤにしてー\nヒデサイびっくりさせちゃおーっと☆","11","0.2","1","1010802","10","2","1010802036","0","0"
"","","91","","","1010802","","0","1010802037","",""
"","dsb_talk_worry_normal2","3","","","1010802","1","2","1010802038","","0.5"
"","vo_dsb_2005","21","","0","1010802","0","vo_dsb_1010802","1010802039","",""
"1","あ、そーだ！\nびっくりっていったらさー？\nここももっとすごそー感\n出しちゃってもいんじゃない？","11","0.2","1","1010802","10","2","1010802040","0","0"
"","","91","","","1010802","","0","1010802041","",""
"","dsb_idle_normal","3","","","1010802","1","2","1010802042","","0.5"
"","dsb_talk_surprise1","3","","","1010802","1","1","1010802043","","0.5"
"","vo_dsb_2006","21","","0","1010802","0","vo_dsb_1010802","1010802044","",""
"1","すごそー感？","11","0.2","1","1010802","10","1","1010802045","0","0"
"","","91","","","1010802","","0","1010802046","",""
"","dsb_idle_wish_normal","3","","","1010802","1","1","1010802047","","0.2"
"","dsb_talk_surprise1_normal2","3","","","1010802","1","2","1010802048","","0.5"
"","vo_dsb_2007","21","","0","1010802","0","vo_dsb_1010802","1010802049","",""
"1","そそ！\nみんな一発でやばば！\nってわかるようにすんの！","11","0.2","1","1010802","10","2","1010802050","0","0"
"","","91","","","1010802","","0","1010802051","",""
"","dsb_talk_surprise1_talkjoy2","3","","","1010802","1","2","1010802052","","0.5"
"","vo_dsb_2008","21","","0","1010802","0","vo_dsb_1010802","1010802053","",""
"1","フンイキ変わるとバズるかもだし！\nめっちゃかわいいおフロだったら\nお客さんもジャンジャンだよ！","11","0.2","1","1010802","10","2","1010802054","0","0"
"","","91","","","1010802","","0","1010802055","",""
"","dsb_idle_joy1","3","","","1010802","1","2","1010802056","","0.5"
"","dsb_talk_joy3","3","","","1010802","1","1","1010802057","","0.5"
"","vo_dsb_2009","21","","0","1010802","0","vo_dsb_1010802","1010802058","",""
"1","かわいいお風呂……\n気になるわね～♪\nどんな感じになるのかしら？","11","0.2","1","1010802","10","1","1010802059","0","0"
"","","91","","","1010802","","0","1010802060","",""
"","dsb_idle_sad_talkjoy2","3","","","1010802","1","1","1010802061","","0.5"
"","dsb_talk_worry_normal2","3","","","1010802","1","2","1010802062","","0.5"
"","vo_dsb_2010","21","","0","1010802","0","vo_dsb_1010802","1010802063","",""
"1","んっとねー\nやっぱお花はもっと浮かせるっしょ！\nもちろんいろんなやつね！\nカラフルだったらビビビッとくるし♪","11","0.2","1","1010802","10","2","1010802064","0","0"
"","","91","","","1010802","","0","1010802065","",""
"","dsb_idle_normal","3","","","1010802","1","2","1010802066","","0.5"
"","dsb_talk_memory","3","","","1010802","1","1","1010802067","","0.5"
"","vo_dsb_2011","21","","0","1010802","0","vo_dsb_1010802","1010802068","",""
"1","まるで温泉のお花畑ね～♪\n色とりどりのお花に囲まれて\nお風呂に入れるなんて……うふふ♪\n想像するだけで気持ちが華やぐわ～","11","0.2","1","1010802","10","1","1010802069","0","0"
"","","91","","","1010802","","0","1010802070","",""
"","dsb_talk_normal","3","","","1010802","1","1","1010802071","","0.5"
"","vo_dsb_2012","21","","0","1010802","0","vo_dsb_1010802","1010802072","",""
"1","そうね、それだったら……\nお花の香りの相性もこだわりたいわね。\nあとは花言葉の意味も。","11","0.2","1","1010802","10","1","1010802073","0","0"
"","","91","","","1010802","","0","1010802074","",""
"","dsb_idle_normal","3","","","1010802","1","1","1010802075","","0.5"
"1","dsb_surprise","3","","dsb_talk_surprise1","1010802","0","2","1010802076","0.5","0.5"
"","vo_dsb_2013","21","","0","1010802","0","vo_dsb_1010802","1010802077","",""
"1","へ？\nハナコトバ？","11","0.2","1","1010802","10","2","1010802078","0","0"
"","","91","","","1010802","","0","1010802079","",""
"","dsb_idle_surprise1","3","","","1010802","1","2","1010802080","","0.5"
"","dsb_talk_worry_normal2","3","","","1010802","1","1","1010802081","","0.5"
"","vo_dsb_2014","21","","0","1010802","0","vo_dsb_1010802","1010802082","",""
"1","お花にはね、その一つ一つに\n意味があるの。\n誰かに贈るときには\n相手へのメッセージにもなるのよ～","11","0.2","1","1010802","10","1","1010802083","0","0"
"","","91","","","1010802","","0","1010802084","",""
"","dsb_talk_wish_dere","3","","","1010802","1","1","1010802085","","0.3"
"","vo_dsb_2015","21","","0","1010802","0","vo_dsb_1010802","1010802086","",""
"1","ちなみに今日のお花の意味は……\n『愛するあなたのために』\nうふふ、素敵でしょう♪","11","0.2","1","1010802","10","1","1010802087","0","0"
"","","91","","","1010802","","0","1010802088","",""
"","dsb_idle_wish_normal","3","","","1010802","1","1","1010802089","","0.5"
"","dsb_talk_anger_shy2","3","","","1010802","1","2","1010802090","","0.5"
"","vo_dsb_2016","21","","0","1010802","0","vo_dsb_1010802","1010802091","",""
"1","あ、愛する……！\nちょ、それまじ……？\nそんなの、ストレートで……\nなんか…………ズルじゃん。","11","0.2","1","1010802","10","2","1010802092","0","0"
"","","91","","","1010802","","0","1010802093","",""
"","dsb_talk_sad2_dead","3","","","1010802","1","2","1010802094","","0.5"
"","vo_dsb_2017","21","","0","1010802","0","vo_dsb_1010802","1010802095","",""
"1","えっと……\nバズり計画、ナシで。\n……あー、あつぅ。","11","0.2","1","1010802","10","2","1010802096","0","0"
"","","91","","","1010802","","0","1010802097","",""
"","dsb_hot_dead_loop","3","","","1010802","1","2","1010802098","","0.2"
"1","dsb_smile2_dere2","3","","dsb_talk_normal_dere2","1010802","0","1","1010802099","0.5","0.5"
"","vo_dsb_2018","21","","0","1010802","0","vo_dsb_1010802","1010802100","",""
"1","うふふ♪\nのぼせないように気をつけてね。","11","0.2","1","1010802","10","1","1010802101","0","0"
"","","91","","","1010802","","0","1010802102","",""
"","0","93","","","1010802","","0.3","1010802103","",""
"-345","1","5","dsb_idle_normal","-165","1010803","70","11","1010803001","0","2"
"-345","2","5","dsb_idle_normal","165","1010803","70","2","1010803002","1","2"
"1","1","31","","0","1010803","0","1","1010803003","","1"
"1","3","31","","0","1010803","0","3","1010803004","","1"
"1","4","31","","0","1010803","0","4","1010803005","","1"
"1","10","31","","0","1010803","0","12","1010803006","","1"
"1","20","31","","0","1010803","0","22","1010803007","","1"
"1","30","31","","-168","1010803","155","32","1010803008","","1"
"1","31","31","","-168","1010803","-155","32","1010803009","","1"
"","170","13","","","1010803","","1","1010803010","",""
"","170","13","","","1010803","","2","1010803011","",""
"","","91","","","1010803","","0","1010803012","",""
"","se_10044200_cmn_amb","23","","","1010803","1","se_10044200","1010803013","",""
"","se_10044200_cmn_steam","23","","","1010803","0","se_10044200","1010803014","",""
"","0","93","","","1010803","","6.2","1010803015","",""
"","se_10044200_hotspring_02","23","","","1010803","1","se_10044200","1010803016","",""
"","0","93","","","1010803","","1.3","1010803017","",""
"1","dsb_smile3_kyouka","3","","dsb_talk_anger_dere2","1010803","0","2","1010803018","0.5","0.5"
"","vo_dsb_3001","21","","0","1010803","0","vo_dsb_1010803","1010803019","",""
"1","わわっ……\nすごい、シュワシュワしてる……！\n本当にメロンソーダのお風呂に\n入っているみたい……♪","11","0.2","1","1010803","10","2","1010803020","0","0"
"","","91","","","1010803","","0","1010803021","",""
"","dsb_idle_joy1_Ex2","3","","","1010803","1","2","1010803022","","0.5"
"","dsb_talk_normal_dere","3","","","1010803","1","1","1010803023","","0.5"
"","vo_dsb_3002","21","","0","1010803","0","vo_dsb_1010803","1010803024","",""
"1","ふふふ、素敵でしょう？\n子どもたちが喜んでくれるような\n温泉にしたいと思って作ったの。","11","0.2","1","1010803","10","1","1010803025","0","0"
"","","91","","","1010803","","0","1010803026","",""
"","dsb_idle_normal","3","","","1010803","1","1","1010803027","","0.5"
"","dsb_talk_surprise1","3","","","1010803","1","2","1010803028","","0.5"
"","vo_dsb_3003","21","","0","1010803","0","vo_dsb_1010803","1010803029","",""
"1","そうだったんですか……","11","0.2","1","1010803","10","2","1010803030","0","0"
"","","91","","","1010803","","0","1010803031","",""
"","dsb_idle_surprise1_look","3","","","1010803","1","2","1010803032","","0.5"
"","vo_dsb_3004","21","","0","1010803","0","vo_dsb_1010803","1010803033","",""
"1","（なんだかあやしい人かと思ったけど\n本当はいい人なのかな……）","11","0.2","1","1010803","10","2","1010803034","0","0"
"","","91","","","1010803","","0","1010803035","",""
"","dsb_talk_thinking","3","","","1010803","1","2","1010803036","","0.3"
"","vo_dsb_3005","21","","0","1010803","0","vo_dsb_1010803","1010803037","",""
"1","たしかに子どもは喜びますね。\n……わ、私も思わず\n童心に帰ってしまいましたから。","11","0.2","1","1010803","10","2","1010803038","0","0"
"","","91","","","1010803","","0","1010803039","",""
"","dsb_idle_arm_crossed","3","","","1010803","1","2","1010803040","","0.5"
"","dsb_talk_thinking_normal2","3","","","1010803","1","1","1010803041","","0.5"
"","vo_dsb_3006","21","","0","1010803","0","vo_dsb_1010803","1010803042","",""
"1","童心……？\nああ、なるほど。\nそれはよかったわ♪","11","0.2","1","1010803","10","1","1010803043","0","0"
"","","91","","","1010803","","0","1010803044","",""
"","dsb_idle_arm_crossed","3","","","1010803","1","1","1010803045","","0.5"
"","dsb_talk_sad2_Ex5","3","","","1010803","1","2","1010803046","","0.5"
"","0","22","","","1010803","","0","1010803047","",""
"","vo_dsb_3007","21","","0.9","1010803","0","vo_dsb_1010803","1010803048","",""
"1","……何か引っかかることでも？","11","0.2","1","1010803","10","2","1010803049","0","0"
"","","91","","","1010803","","0","1010803050","",""
"","dsb_idle_sad_blink","3","","","1010803","1","2","1010803051","","0.5"
"","dsb_talk_sad_dere","3","","","1010803","1","1","1010803052","","0.5"
"","vo_dsb_3008","21","","0","1010803","0","vo_dsb_1010803","1010803053","",""
"1","いいえ、何も♪","11","0.2","1","1010803","10","1","1010803054","0","0"
"","","91","","","1010803","","0","1010803055","",""
"","dsb_idle_normal","3","","","1010803","1","2","1010803056","","0.5"
"","dsb_talk_normal_joy","3","","","1010803","1","1","1010803057","","0.5"
"","vo_dsb_3009","21","","0","1010803","0","vo_dsb_1010803","1010803058","",""
"1","ところで……\n童心に帰ると大きなお風呂で\n泳ぎたくなったりするわよね？\nキョウカちゃんはどう？","11","0.2","1","1010803","10","1","1010803059","0","0"
"","","91","","","1010803","","0","1010803060","",""
"","dsb_idle_normal","3","","","1010803","1","1","1010803061","","0.5"
"","dsb_talk_tsun_shy","3","","","1010803","1","2","1010803062","","0.5"
"","vo_dsb_3010","21","","0","1010803","0","vo_dsb_1010803","1010803063","",""
"1","泳ぐなんて……！\nしませんよ、そんなことっ！\nはしたないですし……","11","0.2","1","1010803","10","2","1010803064","0","0"
"","","91","","","1010803","","0","1010803065","",""
"","dsb_idle_anger","3","","","1010803","1","2","1010803066","","0.5"
"","dsb_talk_normal","3","","","1010803","1","1","1010803067","","0.5"
"","vo_dsb_3011","21","","0","1010803","0","vo_dsb_1010803","1010803068","",""
"1","はしたないなんて……\n今は私たち二人きりなのよ。\nメロンソーダの中で泳いだら\nきっと楽しいと思うけど……？","11","0.2","1","1010803","10","1","1010803069","0","0"
"","","91","","","1010803","","0","1010803070","",""
"","dsb_idle_normal","3","","","1010803","1","1","1010803071","","0.5"
"","dsb_talk_surprise1_shy","3","","","1010803","1","2","1010803072","","0.5"
"","vo_dsb_3012","21","","0","1010803","0","vo_dsb_1010803","1010803073","",""
"1","そ、それは……\n楽しそうですけど……\n私も少し泳げるようになりましたし……\nでも、マナー的に……う～ん……","11","0.2","1","1010803","10","2","1010803074","0","0"
"","","91","","","1010803","","0","1010803075","",""
"","dsb_idle_surprise1_normal","3","","","1010803","1","2","1010803076","","0.5"
"","dsb_talk_thinking_joy","3","","","1010803","1","1","1010803077","","0.5"
"","0","22","","","1010803","","0","1010803078","",""
"","vo_dsb_3013","21","","0.9","1010803","0","vo_dsb_1010803","1010803079","",""
"1","……ふふふ。\nじゃあ、私は泳いじゃおっかな～？","11","0.2","1","1010803","10","1","1010803080","0","0"
"","","91","","","1010803","","0","1010803081","",""
"","dsb_idle_joy1","3","","","1010803","1","1","1010803082","","0.5"
"1","dsb_surprise2","3","","dsb_talk_surprise1_2","1010803","0","2","1010803083","0.5","0.5"
"","vo_dsb_3014","21","","0","1010803","0","vo_dsb_1010803","1010803084","",""
"1","ええっ！？\nそんな、ズルいですっ。\nだったら……わ、私もっ！","11","0.2","1","1010803","10","2","1010803085","0","0"
"","1","93","","","1010803","","3.5","1010803086","",""
"","dsb_talk_anger_shy2","3","","","1010803","1","2","1010803087","","0.5"
"","","91","","","1010803","","1010803085","1010803088","",""
"","0","22","","","1010803","","0","1010803089","",""
"","dsb_surprise_kyouka","3","","","1010803","1","2","1010803090","","0.2"
"","dsb_surprise_mitsuki","3","","","1010803","1","1","1010803091","","0.2"
"","0","93","","","1010803","","0.7","1010803092","",""
"1","dsb_smile2_kyouka","3","","dsb_idle_normal_Ex1","1010803","0","2","1010803093","0.2","0.3"
"1","dsb_smile2_mitsuki2","3","","dsb_idle_normal","1010803","0","1","1010803094","0.2","0.3"
"","0","93","","","1010803","","0.3","1010803095","",""
"","se_adv_emote_common_01","23","","","1010803","0","se_adv_emote_common_01","1010803096","",""
"0","10","12","0","0","1010803","1.4","2","1010803097","0","0"
"0","10","12","0","0","1010803","1.4","1","1010803098","0","0"
"","0","93","","","1010803","","2","1010803099","",""
"-219","124531","1","dsb_idle_normal","-475","1010804","70","1","1010804001","0","2"
"-360","2","5","dsb_idle_relax_Ex2","0","1010804","70","7","1010804002","1","2"
"-219","99","5","dsb_empty","-345","1010804","71","10","1010804003","0","2"
"1","1","31","","0","1010804","0","1","1010804004","","1"
"1","3","31","","0","1010804","0","3","1010804005","","1"
"1","4","31","","0","1010804","0","4","1010804006","","1"
"1","10","31","","0","1010804","0","17","1010804007","","1"
"1","20","31","","0","1010804","0","27","1010804008","","1"
"1","30","31","","-183","1010804","-10","37","1010804009","","1"
"1","43","31","","0","1010804","0","43","1010804010","","1"
"1","44","31","","0","1010804","130","44","1010804011","","0"
"1","45","31","","-141","1010804","133","45","1010804012","","0"
"1","46","31","","0","1010804","130","46","1010804013","","0"
"1","47","31","","-212","1010804","142","47","1010804014","","0"
"1","48","31","","-212","1010804","142","48","1010804015","","0"
"","170","13","","","1010804","","124531","1010804016","",""
"","170","13","","","1010804","","2","1010804017","",""
"","","91","","","1010804","","0","1010804018","",""
"","se_10044200_cmn_amb","23","","","1010804","1","se_10044200","1010804019","",""
"","se_10044200_cmn_steam","23","","","1010804","0","se_10044200","1010804020","",""
"","0","93","","","1010804","","6","1010804021","",""
"","se_10044200_hotspring_07","23","","","1010804","1","se_10044200","1010804022","",""
"","0","93","","","1010804","","1.5","1010804023","",""
"","dsb_idle_relax_blink","3","","","1010804","1","2","1010804024","","0.5"
"","vo_dsb_4001","21","","0","1010804","0","vo_dsb_1010804","1010804025","",""
