23ad39943447060fb0ed96ea5686e1778fb2f436e8da8560de0b65c178f448a5,ed2b96381d367a231680ca0b25f84d04e295ca05f98d483afb56b4b5ae30a90c,9bfaa11e193d631610c85f525de1d58e510fafdaea78eddbe0a412c6b3f64641,54d1d46d951917ec26726d94ba132ff605a4a0dbbf27f23d109fc8c090503d67,c707a9aa1cb2ed5d02a53a0140974b1994b3e164b24b20474b8054503237727c,5c6b4773e3dcf2fc3cffb8c2e18d53cce8209f183d24db4c26ad6d03963f33ce,009098d9cd1d580d8a4a1a2d3948f0a99f438c99cf2a117bee8b7900816eb4c3,2b93ae33318e20da272eee37ec5f16bf5fd4cf7d897bf3468879fb87117e89b1,333f3467278fec978252067382c0974ced285fd07c43093bf997bc9a38d61363,960e15c7e0bf61e3db8fea91ac63c871257f3a47047315ea094155a8ff76ffef,d289a44e20707422e246c43d6a966e162fa7144e39506bd757db3a093afd1f00
"3","1","106021","","cgg_talk_joy1_sad","0.2","1","","110911","0","106"
"93","","106022","","0","","","","3","","106"
"3","0","106023","cgg_idle_guts_anger","cgg_talk_guts_anger","0.2","1","","110911","","106"
"93","","106024","","0","","","","0.7","","106"
"3","0","106025","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","106"
"91","","106026","","","","","","106016","","106"
"93","","106027","","0","","","","0.5","","106"
"3","1","106028","","cgg_idle_def","0.2","","","110911","","106"
"3","0","106029","cgg_idle_doya","cgg_talk_doya","0.2","1","","1","0","106"
"12","1.4","106030","","6","0.2","","","1","","106"
"93","","106031","","0","","","","3","","106"
"3","1","106032","","cgg_idle_normal","0.2","","","1","","106"
"3","0","106033","cgg_idle_guts_anger","cgg_talk_guts_anger","0.2","1","","110911","0","106"
"12","1.4","106034","","11","0.2","","","110911","","106"
"93","","106035","","0","","","","3","","106"
"3","1","106036","","cgg_idle_def","0.2","","","110911","","106"
"3","0","106037","cgg_idle_surprise1","cgg_surprise1","0.2","1","","1","0","106"
"12","1.4","106038","","4","0.2","","","1","","106"
"93","","106039","","0","","","","3","","106"
"3","1","106040","","cgg_idle_normal","0.2","","","1","","106"
"3","1","106041","","cgg_talk_joy3_blink","0.2","","","110911","","106"
"12","1.4","106042","","10","0.2","","","110911","","106"
"93","","106043","","0","","","","3","","106"
"101","","106044","","0","","","","106028","","106"
"22","","106045","","0.5","","","","0","","106"
"6","1","106046","1","1","0.1","0","","1","0","106"
"6","1","106047","1","1","0.1","0","","110911","0","106"
"93","","106048","","0","","","","0.1","","106"
"3","1","106049","","cgg_idle_normal","0","","","1","","106"
"3","1","106050","","cgg_idle_def","0","","","110911","","106"
"5","100","201001","-420","1","160","-230","cgg_idle_normal","1","0","201"
"1","100","201002","420","100411","1.6","-230","cgg_idle_def","1","1","201"
"6","1","201003","1","1","0.1","1","","1","0","201"
"6","1","201004","1","1","0.1","1","","100411","0","201"
"93","","201005","","0","","","","0.2","","201"
"21","0","201006","0","vo_minigame_1007_top_talk_7_013","","","","vo_minigame_1007","","201"
"11","7","201007","0","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","0","0","0","100411","0","201"
"3","1","201008","","cgg_idle_reaction2","0.2","","","1","","201"
"3","1","201009","","cgg_talk_joy1_normal","0.2","","","100411","","201"
"93","","201010","","0","","","","1.3","","201"
"3","0","201011","cgg_idle_doya","cgg_talk_doya","0.2","1","","1","0","201"
"3","1","201012","","cgg_talk_surprise_kira","0.2","","","100411","","201"
"93","","201013","","0","","","","2.7","","201"
"3","0","201014","cgg_idle_reaction1","cgg_talk_handsup","0.2","1","","1","0.2","201"
"3","0","201015","cgg_idle_guts","cgg_talk_guts","0.2","1","","100411","0","201"
"91","","201016","","","","","","201007","","201"
"93","","201017","","0","","","","0.5","","201"
"3","1","201018","","cgg_idle_def","0.2","","","100411","","201"
"3","1","201019","","cgg_idle_surprise3","0.2","","","1","","201"
"12","1.4","201020","","6","0.2","","","1","","201"
"93","","201021","","0","","","","3","","201"
"3","1","201022","","cgg_idle_normal","0.2","","","1","","201"
"3","1","201023","","cgg_talk_surprise_kira","0.2","","","100411","","201"
"12","1.4","201024","","7","0.2","","","100411","","201"
"93","","201025","","0","","","","3","","201"
"3","1","201026","","cgg_idle_def","0.2","","","100411","","201"
"3","0","201027","cgg_idle_reaction1","cgg_talk_handsup","0.2","1","","1","0","201"
"12","1.4","201028","","11","0.2","","","1","","201"
"93","","201029","","0","","","","3","","201"
"3","1","201030","","cgg_idle_normal","0.2","","","1","","201"
"3","1","201031","","cgg_talk_joy1","0.2","","","100411","","201"
"12","1.4","201032","","10","0.2","","","100411","","201"
"93","","201033","","0","","","","3","","201"
"101","","201034","","0","","","","201018","","201"
"22","","201035","","0.5","","","","0","","201"
"6","1","201036","1","1","0.1","0","","1","0","201"
"6","1","201037","1","1","0.1","0","","100411","0","201"
"93","","201038","","0","","","","0.1","","201"
"3","1","201039","","cgg_idle_normal","0","","","1","","201"
"3","1","201040","","cgg_idle_def","0","","","100411","","201"
"5","100","202001","-420","1","160","-230","cgg_idle_normal","1","0","202"
"1","100","202002","420","102011","1.6","-230","cgg_idle_def","1","1","202"
"6","1","202003","1","1","0.1","1","","1","0","202"
"6","1","202004","1","1","0.1","1","","102011","0","202"
"93","","202005","","0","","","","0.2","","202"
"21","0","202006","0","vo_minigame_1007_top_talk_8_014","","","","vo_minigame_1007","","202"
"11","5","202007","0","すごいね～♪\n全部そろったところが\n見てみたいな～♪","0","0","0","102011","0","202"
"3","1","202008","","cgg_idle_reaction1","0.2","","","1","","202"
"3","1","202009","","cgg_talk_joy3","0.2","","","102011","","202"
"93","","202010","","0","","","","2","","202"
"3","1","202011","","cgg_idle_nod","0.2","","","1","","202"
"3","1","202012","","cgg_talk_wish","0.2","","","102011","","202"
"91","","202013","","","","","","202007","","202"
"93","","202014","","0","","","","0.5","","202"
"3","1","202015","","cgg_idle_def","0.2","","","102011","","202"
"3","1","202016","","cgg_idle_reaction3","0.2","","","1","","202"
"12","1.4","202017","","6","0.2","","","1","","202"
"93","","202018","","0","","","","3","","202"
"3","1","202019","","cgg_idle_normal","0.2","","","1","","202"
"3","1","202020","","cgg_talk_joy1_normal","0.2","","","102011","","202"
"12","1.4","202021","","11","0.2","","","102011","","202"
"93","","202022","","0","","","","3","","202"
"3","1","202023","","cgg_idle_def","0.2","","","102011","","202"
"3","0","202024","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","202"
"12","1.4","202025","","11","0.2","","","1","","202"
"93","","202026","","0","","","","3","","202"
"3","1","202027","","cgg_idle_normal","0.2","","","1","","202"
"3","1","202028","","cgg_talk_joy3","0.2","","","102011","","202"
"12","1.4","202029","","7","0.2","","","102011","","202"
"93","","202030","","0","","","","3","","202"
"101","","202031","","0","","","","202015","","202"
"22","","202032","","0.5","","","","0","","202"
"6","1","202033","1","1","0.1","0","","1","0","202"
"6","1","202034","1","1","0.1","0","","102011","0","202"
"93","","202035","","0","","","","0.1","","202"
"3","1","202036","","cgg_idle_normal","0","","","1","","202"
"3","1","202037","","cgg_idle_def","0","","","102011","","202"
"5","100","203001","-420","1","160","-230","cgg_idle_normal","1","0","203"
"1","100","203002","420","103611","1.6","-230","cgg_idle_def","1","1","203"
"6","1","203003","1","1","0.1","1","","1","0","203"
"6","1","203004","1","1","0.1","1","","103611","0","203"
"93","","203005","","0","","","","0.2","","203"
"21","0","203006","0","vo_minigame_1007_top_talk_9_015","","","","vo_minigame_1007","","203"
"11","6","203007","0","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","0","0","0","103611","0","203"
"3","0","203008","cgg_idle_arm_crossed","cgg_talk_arm_crossed","0.2","1","","1","0","203"
"3","1","203009","","cgg_talk_normal","0.2","","","103611","","203"
"93","","203010","","0","","","","1.9","","203"
"3","1","203011","","cgg_idle_surprise1","0.2","","","1","","203"
"3","1","203012","","cgg_talk_joy3_blink","0.2","","","103611","","203"
"93","","203013","","0","","","","3.1","","203"
"3","0","203014","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","203"
"3","1","203015","","cgg_talk_surprise_dere","0.2","","","103611","","203"
"91","","203016","","","","","","203007","","203"
"93","","203017","","0","","","","0.5","","203"
"3","1","203018","","cgg_idle_def","0.2","","","103611","","203"
"3","0","203019","cgg_idle_nod","cgg_talk_nod","0.2","1","","1","0","203"
"12","1.4","203020","","6","0.2","","","1","","203"
"93","","203021","","0","","","","3","","203"
"3","1","203022","","cgg_idle_normal","0.2","","","1","","203"
"3","1","203023","","cgg_talk_joy1","0.2","","","103611","","203"
"12","1.4","203024","","10","0.2","","","103611","","203"
"93","","203025","","0","","","","3","","203"
"3","1","203026","","cgg_idle_def","0.2","","","103611","","203"
"3","0","203027","cgg_idle_guts1","cgg_talk_guts1","0.2","1","","1","0","203"
"12","1.4","203028","","4","0.2","","","1","","203"
"93","","203029","","0","","","","3","","203"
"3","1","203030","","cgg_idle_normal","0.2","","","1","","203"
"3","1","203031","","cgg_talk_joy3_dere","0.2","","","103611","","203"
"12","1.4","203032","","7","0.2","","","103611","","203"
"93","","203033","","0","","","","3","","203"
"101","","203034","","0","","","","203018","","203"
"22","","203035","","0.5","","","","0","","203"
"6","1","203036","1","1","0.1","0","","1","0","203"
"6","1","203037","1","1","0.1","0","","103611","0","203"
"93","","203038","","0","","","","0.1","","203"
"3","1","203039","","cgg_idle_normal","0","","","1","","203"
"3","1","203040","","cgg_idle_def","0","","","103611","","203"
"5","100","204001","-420","1","160","-230","cgg_idle_normal","1","0","204"
"1","100","204002","420","102811","1.6","-230","cgg_idle_def","1","1","204"
"6","1","204003","1","1","0.1","1","","1","0","204"
"6","1","204004","1","1","0.1","1","","102811","0","204"
"93","","204005","","0","","","","0.2","","204"
"21","0","204006","0","vo_minigame_1007_top_talk_10_016","","","","vo_minigame_1007","","204"
"11","6","204007","0","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","0","0","0","102811","0","204"
"3","0","204008","cgg_idle_doya","cgg_talk_doya","0.2","1","","1","0","204"
"3","0","204009","cgg_talk_surprise1","cgg_surprise","0.2","1","","102811","0","204"
"93","","204010","","0","","","","2.5","","204"
"3","1","204011","","cgg_idle_reaction5","0.2","","","1","","204"
"3","1","204012","","cgg_talk_bitter","0.2","","","102811","","204"
"91","","204013","","","","","","204007","","204"
"93","","204014","","0","","","","0.5","","204"
"3","1","204015","","cgg_idle_def","0.2","","","102811","","204"
"3","0","204016","cgg_idle_doya","cgg_talk_doya","0.2","1","","1","0","204"
"12","1.4","204017","","6","0.2","","","1","","204"
"93","","204018","","0","","","","3","","204"
"3","1","204019","","cgg_idle_normal","0.2","","","1","","204"
