96f8ba67a2b169060bbcf8af38897e70b40977d522ee8ac768b2d4fc919bc21f,f20789560a48c4e7473fe646dfb91682e6aa97dd7fcdf9357127de478446180d,2facf1f706b9aa27217781551c567f3f0917381abe84acb060b40eb4f4a295f6,f3497450cb0cef57e6b42063f128957d4f3c6a6d72afab78faa1f17a572640ac,d5f57c47bf6079adf5c336f6f2ba78b9d954fb4df1689f411f0191724235965f,ffa9ecfa530c98900d94ac80549e70cdf37b4fed1be63a25866c19b2564c26ea,037341a07c35d518483c5dfb231798c4fbd8e7020df9a60309db8ed82e5727f5,eccdce2a180c949e8e06799d55cd411eb948d14ea74f8913e7244ce5573c1bc8,a964c09a46e061cba3a94341add862f561206dd0e83c20e756b4c5d65a0a94d9,e649433465b2a60b123ce1e314102213f6dd4a4e8799755196670c1d0cada883,de229946ff930f6c1ee695e62963dd9aaaeb32838d69aaf3463c076ff39882f3,ee5ba73def85bd2fdb59ef252e9e486045db574147fe07b6217163cf439dcc0c
"6","1","0","515406406","2","0","0","0","5154064","0","2","400"
"7","4","0","515406407","0","0","3.5","0","5154064","1","0","0"
"8","2","vo_abd","515406408","0","vo_abd_0303","0","0","5154064","0","0","0"
"9","1","0","515406409","2.8","0","0","0","5154064","0","3","425"
"10","4","0","515406410","0","0","3.5","0","5154064","1","0","0"
"11","2","vo_abd","515406411","0","vo_abd_0304","0","0","5154064","0","0","0"
"12","1","0","515406412","3","0","0","0","5154064","0","4","450"
"13","4","0","515406413","0","0","4","0","5154064","1","0","0"
"14","2","vo_abd","515406414","0","vo_abd_0305","0","0","5154064","0","0","0"
"15","1","0","515406415","0.2","0","0","0","5154064","0","5","35"
"16","4","0","515406416","0","0","1.05","0","5154064","1","0","0"
"17","1","0","515406417","2","0","0","45","5154064","0","5","420"
"18","4","0","515406418","0","0","3.5","0","5154064","1","0","0"
"19","2","vo_abd","515406419","0","vo_abd_0306","0","0","5154064","0","0","0"
"20","1","0","515406420","1","0","0","0","5154064","0","6","175"
"21","4","0","515406421","0","0","1.7","0","5154064","1","0","0"
"22","1","0","515406422","1","0","0","175","5154064","0","6","260"
"23","4","0","515406423","0","0","2.8","0","5154064","1","0","0"
"24","1","0","515406424","0.8","0","0","260","5154064","0","6","400"
"25","4","0","515406425","0","0","0.96","0","5154064","1","0","0"
"26","2","vo_abd","515406426","0","vo_abd_0307","0","0","5154064","0","0","0"
"27","1","0","515406427","1.5","0","0","0","5154064","0","7","245"
"28","4","0","515406428","0","0","1.7","0","5154064","1","0","0"
"29","1","0","515406429","0.8","0","0","245","5154064","0","7","400"
"30","4","0","515406430","0","0","2","0","5154064","1","0","0"
"31","2","vo_abd","515406431","0","vo_abd_0308","0","0","5154064","0","0","0"
"32","1","0","515406432","1","0","0","0","5154064","0","8","208"
"33","4","0","515406433","0","0","2","0","5154064","1","0","0"
"34","1","0","515406434","0.3","0","0","208","5154064","0","8","270"
"35","4","0","515406435","0","0","1.5","0","5154064","1","0","0"
"36","1","0","515406436","0.8","0","0","275","5154064","0","8","400"
"37","4","0","515406437","0","0","2","0","5154064","1","0","0"
"38","2","vo_abd","515406438","0","vo_abd_0309","0","0","5154064","0","0","0"
"39","1","0","515406439","2","0","0","0","5154064","0","9","300"
"40","4","0","515406440","0","0","2.65","0","5154064","1","0","0"
"41","1","0","515406441","1","0","0","300","5154064","0","9","425"
"42","4","0","515406442","0","0","2","0","5154064","1","0","0"
"43","2","vo_abd","515406443","0","vo_abd_0310","0","0","5154064","0","0","0"
"44","1","0","515406444","2.5","0","0","0","5154064","0","10","375"
"45","4","0","515406445","0","0","4","0","5154064","1","0","0"
"46","2","vo_abd","515406446","0","vo_abd_0311","0","0","5154064","0","0","0"
"47","1","0","515406447","1.2","0","0","0","5154064","0","11","165"
"48","4","0","515406448","0","0","2","0","5154064","1","0","0"
"49","1","0","515406449","1","0","0","165","5154064","0","11","295"
"50","4","0","515406450","0","0","2.5","0","5154064","1","0","0"
"51","1","0","515406451","0.5","0","0","295","5154064","0","11","400"
"1","4","0","515406501","0","0","0.8","0","5154065","1","0","0"
"2","2","vo_abd","515406502","0","vo_abd_0401","0","0","5154065","0","0","0"
"3","1","0","515406503","2","0","0","0","5154065","0","1","400"
"4","4","0","515406504","0","0","3.2","0","5154065","1","0","0"
"5","2","vo_abd","515406505","0","vo_abd_0402","0","0","5154065","0","0","0"
"6","1","0","515406506","2","0","0","0","5154065","0","2","400"
"7","4","0","515406507","0","0","3.7","0","5154065","1","0","0"
"8","2","vo_abd","515406508","0","vo_abd_0403","0","0","5154065","0","0","0"
"9","1","0","515406509","2","0","0","0","5154065","0","3","400"
"10","4","0","515406510","0","0","3","0","5154065","1","0","0"
"11","2","vo_abd","515406511","0","vo_abd_0404","0","0","5154065","0","0","0"
"12","1","0","515406512","1","0","0","0","5154065","0","4","155"
"13","4","0","515406513","0","0","1.15","0","5154065","1","0","0"
"14","1","0","515406514","1","0","0","155","5154065","0","4","425"
"15","4","0","515406515","0","0","2.5","0","5154065","1","0","0"
"16","2","vo_abd","515406516","0","vo_abd_0405","0","0","5154065","0","0","0"
"17","1","0","515406517","2.4","0","0","0","5154065","0","5","450"
"18","4","0","515406518","0","0","2.9","0","5154065","1","0","0"
"19","2","vo_abd","515406519","0","vo_abd_0407","0","0","5154065","0","0","0"
"20","1","0","515406520","1","0","0","0","5154065","0","6","300"
"21","4","0","515406521","0","0","1.5","0","5154065","1","0","0"
"22","2","vo_abd","515406522","0","vo_abd_0408","0","0","5154065","0","0","0"
"23","1","0","515406523","1","0","0","0","5154065","0","7","250"
"24","4","0","515406524","0","0","1","0","5154065","1","0","0"
"25","2","vo_abd","515406525","0","vo_abd_0409","0","0","5154065","0","0","0"
"26","1","0","515406526","1","0","0","0","5154065","0","8","250"
"27","4","0","515406527","0","0","2","0","5154065","1","0","0"
"28","2","vo_abd","515406528","0","vo_abd_0410","0","0","5154065","0","0","0"
"29","1","0","515406529","0.2","0","0","0","5154065","0","9","50"
"30","4","0","515406530","0","0","0.7","0","5154065","1","0","0"
"31","1","0","515406531","1.5","0","0","50","5154065","0","9","280"
"32","4","0","515406532","0","0","2.5","0","5154065","1","0","0"
"33","2","vo_abd","515406533","0","vo_abd_0411","0","0","5154065","0","0","0"
"34","1","0","515406534","0.2","0","0","0","5154065","0","10","35"
"35","4","0","515406535","0","0","1.08","0","5154065","1","0","0"
"36","1","0","515406536","0.3","0","0","35","5154065","0","10","107"
"37","4","0","515406537","0","0","0.9","0","5154065","1","0","0"
"38","1","0","515406538","1.5","0","0","107","5154065","0","10","425"
