330c7278dd1080fd9beabab65fed921bd1fd4e3ff4f74a1c51594d49990cf52d,c803573edfb000ec66b51064d1dcb11d718ca7a4272f259ebe0696a138cf61bc,180e3e4e542d8a9b8cbe37b10602fb68e8186996d2bf26d2c88a66d3f39b08a1,724046ba916081d65183510c080baf849375a2ccdf2363133f441ed16186ee23,e451f7b3997723f728a28369e2841e87245fe9ea2e8ee438200aaf9538ea6342,d17fab8b9dc6ca0c36573b4c60e86861068d9cee7dfe38af6f8fea53abb9ddfa,824413f10c277c8056a82a1ecc1835554c5d5fdfedd64bb62e35c847f816ec78,3d0052a2a9da40451decf73b571a0ad61f994b49b1c2ae5c2ca4dcbfccf8e0c6,4a61efb8ad649e374d96357c6660e13a05084186106c2f19af758195438f8083,8dc58893533d5d951db56a66e098035feba4e5629f5cc2a7049b1fa849568281,1c225ccc74631e5a7110a0fa5626324ad1444a4ebb5e8ca79ca7cad3b0196e81
"11010026","","","","11","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","","110931","7","101"
"11010027","","","","93","","","","0.4","","101"
"11010028","","","","32","0","","","3","","101"
"11010029","","","","32","1","","","3","","101"
"11010030","","","","93","","","","0.6","","101"
"11010031","","","0.2","3","nyx_talk_bitter","","","103431","1","101"
"11010032","","","0.2","3","nyx_cmn_04","","","104631","1","101"
"11010033","","","","93","","","","2","","101"
"11010034","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","2","0","101"
"11010035","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","110931","0","101"
"11010036","","","","93","","","","0.4","","101"
"11010037","","","","32","0","","","3","","101"
"11010038","","","","32","1","","","4","","101"
"11010039","","","","91","","","","11010026","","101"
"11010040","","","0.2","3","nyx_idle_bitter","","","103431","1","101"
"11010041","","","0.2","3","nyx_talk_sad","","","104831","1","101"
"11010042","","","","11","ね、ねぇ…\n廊下の方から\n何か聞こえない？","","","104831","10","101"
"11010043","","","","91","","","","0","","101"
"11010044","","","","4","1","","","110931","","101"
"11010045","","","","4","1","","","2","","101"
"11010046","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","2","0","101"
"11010047","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","110931","0","101"
"11010048","","","0.2","3","nyx_idle_sad","","","104831","1","101"
"11010049","","","0.2","3","nyx_talk_sad","","","104631","1","101"
"11010050","","","","11","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","","104631","10","101"
"11010051","","","","91","","","","0","","101"
"11010052","","","0.2","3","nyx_idle_sad","","","104631","1","101"
"11010053","","","0.2","3","nyx_talk_sad","","","103431","1","101"
"11010054","","","","11","学校の七不思議的な\nやつかしら…\nか、帰りたい…","","","103431","10","101"
"11010055","","","","91","","","","0","","101"
"11010056","","","0.2","3","nyx_idle_sad","","","103431","1","101"
"11010057","","","0.2","3","nyx_talk_joy2","","","103231","1","101"
"11010058","","","","11","面白いですわね！\n何が出てくるか\nワクワクしますわ！","","","103231","10","101"
"11010059","","","","91","","","","0","","101"
"11010060","","","","93","","","","0.4","","101"
"11010061","","","","4","0","","","110931","","101"
"11010062","","","","4","0","","","2","","101"
"11010063","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","110931","0","101"
"11010064","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","2","0","101"
"11010065","","","","12","1","","","104831","1","101"
"11010066","0.2","1","0.2","3","nyx_talk_sad","","nyx_idle_sad","104831","0","101"
"11010067","","","","93","","","","0.4","","101"
"11010068","","","","32","0","","","3","","101"
"11010069","","","","32","1","","","3","","101"
"11010070","","","","93","","","","1.6","","101"
"11010071","","","","12","15","","","104631","1","101"
"11010072","0.2","1","0.2","3","nyx_talk_sad","","nyx_idle_sad","104631","0","101"
"11010073","","","","93","","","","3","","101"
"11010074","","","","4","1","","","110931","","101"
"11010075","","","","4","1","","","2","","101"
"11010076","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","110931","0","101"
"11010077","","1","0.2","3","nyx_101_chieru_02","","nyx_101_chieru_loop","2","0","101"
"11010078","","","","12","10","","","103231","1","101"
"11010079","0.2","1","0.2","3","nyx_talk_joy1","","nyx_idle_joy1","103231","0","101"
"11010080","","","","93","","","","2","","101"
"11010081","","","","12","2","","","103431","1","101"
"11010082","0.2","1","0.2","3","nyx_talk_sad","","nyx_idle_sad","103431","0","101"
"11010083","","","","93","","","","2.5","","101"
"11010084","","","","101","","","","11010060","","101"
"11020001","1","-209.3","1.35","1","110831","nyx_102_chloe_01","-362","1","110","102"
"11020002","0","-182.5","1.35","1","104831","nyx_102_mifuyu_01","90","1","110","102"
"11020003","0","-182.5","1.35","1","104631","nyx_idle_normal","220","1","110","102"
"11020004","1","-182.5","1.35","1","103231","nyx_talk_normal","336","1","110","102"
"11020005","1","-182.5","1.35","1","103431","nyx_idle_normal","457","1","110","102"
"11020006","","1","1","31","1","","0","1","0","102"
"11020007","0","-209.3","1.35","5","2","NoItem","-362","2","120","102"
"11020008","","","","25","bgm_M347","","","bgm_M347","","102"
"11020009","","","","93","","","","2","","102"
"11020010","","","0.2","3","nyx_102_chloe_02","","","110831","1","102"
"11020011","","","","11","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","","110831","10","102"
"11020012","","","","91","1","","","0","","102"
"11020013","","","0.2","3","nyx_idle_sad","","","110831","1","102"
"11020014","","","","11","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","","110831","10","102"
"11020015","","","","91","1","","","0","","102"
"11020016","0.2","1","0.2","3","cmn_pose02_def_N","","nyx_102_chloe_02","110831","0","102"
"11020017","","","","11","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","","110831","10","102"
"11020018","","","","93","","","","3","","102"
"11020019","","","0.2","3","nyx_idle_normal","","","103231","1","102"
"11020020","","","0.2","3","nyx_talk_sad","","","104631","1","102"
"11020021","","","","4","0","","","110831","","102"
"11020022","","","","91","","","","11020016","","102"
"11020023","","","","93","","","","1","","102"
"11020024","","","0.2","3","nyx_102_chloe_01","","","110831","1","102"
"11020025","","","","11","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","","110831","10","102"
"11020026","","","","93","","","","2.5","","102"
"11020027","","1","0.2","3","nyx_102_chloe_03","","nyx_102_chloe_03_loop","110831","0","102"
"11020028","","1","0.2","3","nyx_102_chloe_03","","nyx_102_chloe_03_loop","2","0","102"
"11020029","","","","91","","","","11020025","","102"
"11020030","","","","93","","","","1","","102"
"11020031","","","","11","ちぇる…ちぇる…","","","104831","10","102"
"11020032","","","","93","","","","1.5","","102"
"11020033","","","","4","1","","","104631","0","102"
"11020034","0.2","1","0.2","3","cmn_shock_def_N","","nyx_idle_surprise2","104631","0","102"
"11020035","0.2","1","0.2","3","cmn_shock_def_N","","nyx_idle_surprise2","103431","0","102"
"11020036","0.2","1","0.2","3","nyx_surprise","","nyx_idle_surprise1","103231","0","102"
"11020037","","","","93","","","","1.5","","102"
"11020038","0.2","1","0.2","3","nyx_talk_surprise2","","","104631","1","102"
"11020039","","","0.2","3","nyx_102_yukari_01","","","103431","1","102"
"11020040","","","","11","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","","103431","10","102"
"11020041","","","","91","1","","","0","","102"
"11020042","0.2","1","0.2","3","cmn_shock_def_N","","nyx_102_tamaki_01_loop","103431","0","102"
"11020043","","","","4","0","","","103231","0","102"
"11020044","","","","4","0","","","104631","0","102"
"11020045","","","","91","","","","0","","102"
"11020046","","","","11","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","","104631","10","102"
"11020047","","","","93","","","","2.6","","102"
"11020048","0.2","1","0.2","3","nyx_102_tamaki_01","","nyx_102_tamaki_01_loop","104631","0","102"
"11020049","","","","93","","","","0.1","","102"
"11020050","","","","4","1","","","103231","0","102"
"11020051","","","","93","","","","1.5","","102"
"11020052","","","","11","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","","103231","10","102"
"11020053","","","","91","","","","0","","102"
"11020054","","","","93","","","","1","","102"
"11020055","","1","0.2","3","nyx_102_chloe_04","","nyx_102_chloe_03_loop","110831","0","102"
"11020056","","1","0.2","3","nyx_102_chloe_04","","nyx_102_chloe_03_loop","2","0","102"
"11020057","","","","93","","","","1.5","","102"
"11020058","","","","12","12","","","110831","1","102"
"11020059","","","","93","","","","1","","102"
"11020060","","","","12","1","","","103431","1","102"
"11020061","0.2","1","0.2","3","nyx_cmn_01","","nyx_cmn_03","103431","0","102"
"11020062","0.2","1","0.2","3","nyx_idle_worry","","","104631","1","102"
"11020063","","","","93","","","","2","","102"
"11020064","","","","12","12","","","104831","1","102"
"11020065","","","","93","","","","2","","102"
"11020066","","","","12","10","","","103231","1","102"
"11020067","0.2","1","0.2","3","nyx_talk_normal","","nyx_idle_normal","103231","0","102"
"11020068","","","","93","","","","2","","102"
"11020069","","","","12","2","","","104631","1","102"
"11020070","0.2","1","0.2","3","nyx_talk_sad","","nyx_idle_worry","104631","0","102"
"11020071","","","","93","","","","4","","102"
"11020072","","","","101","1","","","11020055","","102"
"11030001","0","-209.3","1.35","1","111031","nyx_103_yuni_01","-421","1","110","103"
"11030002","0","-182.5","1.35","1","104831","nyx_idle_normal","121.8","1","110","103"
"11030003","0","-182.5","1.35","5","2","NoItem","121.8","2","120","103"
"11030004","0","-182.5","1.35","1","104631","nyx_idle_normal","227.7","1","110","103"
"11030005","0","-182.5","1.35","5","2","NoItem","227.7","2","120","103"
"11030006","1","-182.5","1.35","1","103231","nyx_idle_normal","340.3","1","110","103"
"11030007","1","-182.5","1.35","1","103431","nyx_cmn_03","449.6","1","110","103"
"11030008","1","-182.5","1.35","5","2","NoItem","449.6","2","120","103"
"11030009","","1","1","31","1","","0","1","0","103"
"11030010","","","","25","bgm_M347","","","bgm_M347","","103"
"11030011","","","","93","","","","2","","103"
"11030012","","","0.2","3","nyx_talk_sad","","","103431","1","103"
"11030013","","","","11","プレゼンって\nこんなに\n疲れるものなの…？","","","103431","10","103"
"11030014","","","","91","","","","0","","103"
"11030015","","","0.2","3","nyx_cmn_03","","","103431","1","103"
"11030016","","","0.2","3","nyx_cmn_05","","","104831","1","103"
"11030017","","","","11","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","","104831","10","103"
"11030018","","","","91","","","","0","","103"
"11030019","","","0.2","3","nyx_cmn_04","","","104831","1","103"
"11030020","","","0.2","3","nyx_talk_normal","","","103231","1","103"
"11030021","","","","11","あら？\n次もなかよし部の方\nみたいですわよ？","","","103231","10","103"
"11030022","","","","91","","","","0","","103"
"11030023","","","0.2","3","nyx_idle_normal","","","103231","1","103"
"11030024","","","0.2","3","nyx_talk_sad","","","104631","1","103"
"11030025","","","","11","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","","104631","10","103"
"11030026","","","","93","","","","2.6","","103"
"11030027","","","0.2","3","nyx_102_chloe_01","","","111031","1","103"
"11030028","","","","91","","","","11030025","","103"
"11030029","0.3","1","0.2","3","nyx_cmn_02","","nyx_idle_sad","104631","0","103"
"11030030","","","0.2","3","nyx_cmn_02","","","2","0","103"
"11030031","0.3","1","0.2","3","nyx_cmn_02","","nyx_cmn_03","103431","0","103"
"11030032","","","0.2","3","nyx_cmn_02","","","2","0","103"
"11030033","0.2","1","0.2","3","nyx_cmn_02","","nyx_idle_normal","104831","0","103"
"11030034","","","0.2","3","nyx_cmn_02","","","2","0","103"
"11030035","","","","93","","","","1.5","","103"
"11030036","","","0.2","3","nyx_303_yuni_01","","","111031","1","103"
"11030037","","","","11","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","","111031","10","103"
"11030038","","","","93","","","","2.8","","103"
"11030039","","","","12","13","","","104831","1","103"
"11030040","","","0.2","3","nyx_talk_normal","","","104831","1","103"
"11030041","","","","91","","","","11030037","","103"
"11030042","","","","11","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","","111031","10","103"
"11030043","","","","91","","","","0","","103"
"11030044","","","0.2","3","nyx_103_yuni_02","","","111031","1","103"
"11030045","","","","11","いざ上級生としての\n責務を果たす時だ","","","111031","10","103"
"11030046","","","","93","","","","1.5","","103"
"11030047","","","","12","17","","","103231","1","103"
"11030048","","","0.2","3","nyx_idle_normal","","","104831","1","103"
"11030049","","","0.2","3","nyx_cmn_05","","","103231","1","103"
"11030050","","","","91","","","","11030045","","103"
"11030051","0.6","0","0.3","3","nyx_103_yuni_03","","nyx_103_yuni_04","111031","0","103"
"11030052","","","","11","ユニちゃんズの\n名に懸けて…！","","","111031","10","103"
"11030053","","","","91","","","","0","","103"
"11030054","","","0.2","3","nyx_idle_normal","","","103231","1","103"
"11030055","","","","93","","","","0.6","","103"
"11030056","","","0.2","12","12","","","111031","1","103"
"11030057","0.2","1","0.2","3","cmn_pose02_def_N","","nyx_idle_normal","111031","0","103"
"11030058","","","","93","","","","1.5","","103"
"11030059","","","","12","15","","","104631","1","103"
"11030060","0.2","1","0.2","3","nyx_talk_sad","","nyx_idle_worry","104631","0","103"
"11030061","","","","93","","","","2","","103"
"11030062","","","","12","10","","","103231","1","103"
"11030063","0.2","1","0.2","3","nyx_talk_joy1","","nyx_idle_normal","103231","0","103"
"11030064","0.2","1","0.2","3","nyx_103_yuni_01","","nyx_idle_normal","111031","0","103"
"11030065","","","","93","","","","2.5","","103"
"11030066","","","","12","1","","","103431","1","103"
"11030067","0.3","1","0.2","3","nyx_cmn_01","","nyx_cmn_03","103431","0","103"
"11030068","","","","93","","","","2","","103"
"11030069","","","","12","12","","","104831","1","103"
"11030070","","","0.2","3","nyx_talk_bitter","","","104831","1","103"
"11030071","","","","93","","","","2","","103"
"11030072","","","0.2","3","nyx_idle_bitter","","","104831","1","103"
"11030073","","","","93","","","","1","","103"
"11030074","","","","101","","","","11030056","","103"
"12010001","1","-294.7","1.2","1","103231","nyx_201_akino_01","-235.4","1","110","201"
"12010002","1","-294.7","1.2","5","2","nyx_201_akino_01","-235.4","2","120","201"
"12010003","0","-281.6","1.2","1","104631","nyx_idle_normal","-357","1","110","201"
"12010004","1","-281.6","1.2","1","103431","nyx_idle_normal","310.5","1","110","201"
"12010005","0","-281.6","1.2","1","104831","nyx_idle_normal","-453.3","1","110","201"
"12010006","","1","1","31","1","","0","2","0","201"
"12010007","","1","1","31","2","","0","11","0","201"
"12010008","","","","25","bgm_M347","","","bgm_M347","","201"
"12010009","","","","93","","","","2","","201"
"12010010","","","","11","タマキさん、この\n部品の組み立てを\nお願いしますわ！","","","103231","10","201"
"12010011","","","","91","","","","0","","201"
"12010012","0.3","1","0.3","3","nyx_surprise","","nyx_idle_surprise1","104631","0","201"
"12010013","","","","11","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","","104631","10","201"
"12010014","","","","91","","","","0","","201"
"12010015","","","","4","0","","","103231","0","201"
"12010016","","","","4","0","","","2","","201"
"12010017","0.3","","0.3","3","nyx_idle_bitter2","","","104631","1","201"
"12010018","0.3","","0.3","3","nyx_201_akino_02","","","103231","1","201"
"12010019","0.3","","0.3","3","nyx_201_akino_02","","","2","1","201"
"12010020","","","","2","199","","2.2","103231","-294.7","201"
"12010021","","","","2","199","","2.2","2","-294.7","201"
"12010022","","","","93","","","","2.2","","201"
"12010023","0.3","","0.3","3","nyx_201_akino_01","","","103231","1","201"
"12010024","0.3","","0.3","3","nyx_201_akino_01","","","2","1","201"
"12010025","","","","11","ユカリさん！\nこの回路の発注を\n至急お願いします！","","","103231","10","201"
"12010026","","","","91","","","","0","","201"
"12010027","0.3","","0.3","3","nyx_cmn_01","","","103431","1","201"
"12010028","","","","11","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","","103431","10","201"
"12010029","","","","91","","","","0","","201"
"12010030","0.3","","0.3","3","nyx_idle_bitter2","","","103431","1","201"
"12010031","","","","4","1","","","103231","","201"
"12010032","","","","4","1","","","2","","201"
"12010033","0.3","","0.3","3","nyx_201_akino_02","","","103231","1","201"
"12010034","0.3","","0.3","3","nyx_201_akino_02","","","2","1","201"
"12010035","","","","2","-235.4","","2.2","103231","-294.7","201"
"12010036","","","","2","-235.4","","2.2","2","-294.7","201"
"12010037","","","","93","","","","2.2","","201"
"12010038","0.3","","0.3","3","nyx_201_akino_01","","","103231","1","201"
"12010039","0.3","","0.3","3","nyx_201_akino_01","","","2","1","201"
"12010040","","","","11","ミフユさんは動作\nチェックを念入りに\nお願いします！","","","103231","10","201"
"12010041","","","","91","","","","0","","201"
"12010042","0.3","1","0.3","3","nyx_surprise","","nyx_idle_surprise1","104831","0","201"
"12010043","","","0","11","は、はいっ！\n…アキノさんが\n燃えてるわ…","","","104831","10","201"
"12010044","","","","91","","","","0","","201"
"12010045","0.3","","0.3","3","nyx_talk_sad","","","104831","1","201"
"12010046","","","0","11","でもなぜかしら\n不安だわ…\n不安しかない…","","","104831","10","201"
"12010047","","","","91","","","","0","","201"
"12010048","0.3","","0.3","3","nyx_idle_bitter2","","","104831","1","201"
"12010049","","","","91","","","","0","","201"
"12010050","","","","93","","","","0.4","","201"
"12010051","","","","4","0","","","103231","0","201"
"12010052","","","","4","0","","","2","","201"
"12010053","0.2","","0.2","3","nyx_201_akino_02","","","103231","1","201"
"12010054","0.2","","0.2","3","nyx_201_akino_02","","","2","1","201"
"12010055","","","","2","199","","2.2","103231","-294.7","201"
"12010056","","","","2","199","","2.2","2","-294.7","201"
"12010057","0.2","","0.2","3","nyx_cmn_03","","","103431","1","201"
"12010058","","","","93","","","","2.2","","201"
"12010059","","","","12","10","","","103231","1","201"
"12010060","0.2","","0.2","3","nyx_201_akino_01","","","103231","1","201"
"12010061","0.2","","0.2","3","nyx_201_akino_01","","","2","1","201"
"12010062","","","","91","","","","0","","201"
"12010063","0.2","","0.2","3","nyx_idle_surprise1","","","103431","1","201"
"12010064","","","","91","","","","0","","201"
"12010065","0.2","","0.2","3","nyx_102_chloe_02","","","103431","1","201"
"12010066","","","","4","1","","","103231","","201"
"12010067","","","","4","1","","","2","","201"
"12010068","0.2","","0.2","3","nyx_201_akino_02","","","103231","1","201"
"12010069","0.2","","0.2","3","nyx_201_akino_02","","","2","1","201"
"12010070","","","","2","-235.4","","2.2","103231","-294.7","201"
"12010071","","","","2","-235.4","","2.2","2","-294.7","201"
"12010072","","","","93","","","","2.2","","201"
"12010073","","","","12","10","","","103231","1","201"
"12010074","0.2","","0.2","3","nyx_201_akino_01","","","103231","1","201"
"12010075","0.2","","","3","nyx_201_akino_01","","","2","1","201"
"12010076","","","","93","","","","3","","201"
"12010077","0.2","1","0.2","3","cmn_nod_def_N","","nyx_idle_normal","104631","0","201"
"12010078","","","","93","","","","0.8","","201"
"12010079","","","","12","3","","","104831","1","201"
"12010080","0.2","1","0.2","3","nyx_talk_worry","","nyx_idle_sad","104831","0","201"
"12010081","","","","93","","","","1","","201"
"12010082","","","","101","","","","12010051","","201"
"12020001","0","-255","1.2","5","3","nyx_202_tamaki_03_loop","-136","1","100","202"
"12020002","1","-286.1","1.2","1","103231","nyx_idle_joy1","183.7","1","110","202"
"12020003","1","-286.1","1.2","5","5","nyx_202_yukari_01","312.6","2","120","202"
"12020004","1","-286.1","1.2","1","103431","nyx_202_yukari_01","312.6","1","110","202"
"12020005","0","-286.1","1.2","1","104831","nyx_idle_normal","-269.8","1","120","202"
"12020006","","1","1","31","1","","0","2","0","202"
"12020007","","1","1","31","2","","34","12","0","202"
"12020008","","1","0","31","7","","130","16","-74","202"
"12020009","0","-255","1","5","4","nyx_yagura_idle","-208","3","110","202"
"12020010","0","-286.1","1.2","5","6","NoItem","-269.8","2","120","202"
"12020011","","","","25","bgm_M347","","","bgm_M347","","202"
"12020012","","","","93","","","","2","","202"
"12020013","","","","11","開発もなんだか\n楽しくなってきた\nにゃ～！","","","3","10","202"
"12020014","","","","91","","","","0","","202"
"12020015","","","","11","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","","3","10","202"
"12020016","","","","91","","","","0","","202"
"12020017","","","","11","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","","3","10","202"
"12020018","","","","93","","","","0.4","","202"
"12020019","","1","0.2","3","nyx_202_tamaki_03_puton","","nyx_202_tamaki_loop","3","0","202"
"12020020","","","","91","","","","12020017","","202"
"12020021","","1","0.2","3","nyx_202_tamaki_up","","nyx_202_tamaki_01","3","0","202"
"12020022","","1","","3","nyx_yagura_up","","nyx_yagura_up_idle","4","0","202"
"12020023","","","","93","","","","2.4","","202"
"12020024","","","","32","1","","","7","","202"
"12020025","","","0.2","3","nyx_202_akino_01_loop","","","103231","1","202"
"12020026","","","","11","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","","103231","10","202"
"12020027","","","","91","","","","0","","202"
"12020028","","","0.2","3","nyx_talk_anger2","","","104831","1","202"
"12020029","","","","11","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","","104831","10","202"
"12020030","","","","91","","","","0","","202"
"12020031","","","0.2","3","nyx_idle_anger2","","","103431","1","202"
"12020032","","","0.2","3","nyx_202_yukari_01","","","103431","1","202"
"12020033","","","","11","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","","103431","10","202"
"12020034","","","","91","","","","0","","202"
"12020035","0.2","","0.2","3","nyx_cmn_05","","nyx_cmn_04","104831","0","202"
"12020036","","","0","11","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","","","104831","10","202"
"12020037","","","","91","","","","0","","202"
"12020038","","","0.2","3","nyx_202_yukari_01","","","103431","1","202"
"12020039","","","","11","え～？\nにゃんのことぉ～？\n…うっふふ～♪","","","103431","10","202"
"12020040","","","","91","","","","0","","202"
"12020041","","","","93","","","","2","","202"
"12020042","","","","12","13","","","103231","1","202"
"12020043","0.2","1","0.2","3","nyx_talk_joy2","","nyx_202_akino_01_loop","103231","0","202"
"12020044","","","","93","","","","2.5","","202"
"12020045","","","","12","3","","","104831","1","202"
"12020046","","","0.2","3","nyx_talk_anger2","","","104831","1","202"
"12020047","","","","93","","","","2","","202"
"12020048","","","0.2","3","nyx_cmn_02","","","104831","0","202"
"12020049","","1","0.2","3","nyx_cmn_02","","NoItem","6","0","202"
"12020050","","","","93","","","","1","","202"
"12020051","0.2","1","0.2","3","nyx_cmn_05","","nyx_cmn_04","104831","0","202"
"12020052","","","","93","","","","2","","202"
"12020053","","","","12","5","","","103431","1","202"
"12020054","0.2","1","0.2","3","nyx_203_yukari_01","","nyx_202_yukari_01","5","0","202"
"12020055","0.2","1","0.2","3","nyx_203_yukari_01","","nyx_202_yukari_01","103431","0","202"
"12020056","","","","93","","","","1.2","","202"
"12020057","","","","12","11","","","3","1","202"
"12020058","","","","93","","","","0.8","","202"
"12020059","","","","101","","","","12020041","","202"
"12030001","0","-286","1.2","1","104831","nyx_idle_normal","-300","1","130","203"
"12030002","1","-286","1.2","1","104631","nyx_idle_normal","316","1","100","203"
"12030003","1","-286","1.2","1","103231","nyx_idle_normal","110","1","100","203"
"12030004","0","-10","1.2","1","103431","nyx_203_yukari_01","-200","1","100","203"
"12030005","","1","1","31","1","","0","2","0","203"
"12030006","","1","1","31","2","","34","13","-80","203"
"12030007","0","-10","1.2","5","3","nyx_203_yukari_01","-200","2","110","203"
"12030008","0","-255","1","5","4","nyx_yagura_up_harf","-250","3","120","203"
"12030009","","","","25","bgm_M347","","","bgm_M347","","203"
"12030010","","","","93","","","","2","","203"
"12030011","","","","11","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","","103431","10","203"
"12030012","","","","93","","","","0.6","","203"
"12030013","0.2","1","0.2","3","nyx_lookup","","nyx_lookup_loop2","103231","0","203"
"12030014","","","","91","","","","12030011","","203"
"12030015","","","","11","ん～？\nにゃ～にこの\nでっかいのぉ～","","","103431","10","203"
"12030016","","","","93","","","","0.6","","203"
"12030017","0.2","1","0.2","3","nyx_lookup","","nyx_lookup_loop2","104631","0","203"
"12030018","","","","91","","","","12030015","","203"
"12030019","","1","0.2","3","nyx_203_yukari_02","","nyx_203_yukari_05","3","0","203"
"12030020","","1","0.2","3","nyx_203_yukari_02","","nyx_203_yukari_05","103431","0","203"
"12030021","","","","11","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","","103431","10","203"
"12030022","","","","93","","","","0.4","","203"
"12030023","0.2","1","0.2","3","nyx_lookup","","nyx_lookup_loop2","104831","0","203"
"12030024","","","","91","","","","12030021","","203"
"12030025","","","","93","","","","0.2","","203"
"12030026","0.2","1","0.2","3","nyx_cmn_02","","nyx_idle_sad","104831","0","203"
"12030027","","","0","11","何してるのよ\nユカリさん…","","","104831","10","203"
"12030028","","","","93","","","","0.1","","203"
"12030029","0.2","1","0.2","3","nyx_cmn_02","","nyx_cmn_04","103231","0","203"
"12030030","","","","11","何してますの…\nユカリさん…","","","103231","10","203"
"12030031","","","","93","","","","0.1","","203"
"12030032","0.2","1","0.2","3","nyx_cmn_02","","nyx_idle_sad","104631","0","203"
"12030033","","","","11","何してるのにゃ\nユカリ…","","","104631","10","203"
"12030034","","","","91","","","","0","","203"
"12030035","","","0.5","3","nyx_203_yukari_03","","","3","1","203"
