f586eeb44ac159ef127eeaeb9c5a2ad04e1b9731273b07e2353b1b5ef4ace83e,f6c1b598372da11150b2e92b1483a1f3a2a6cf499ba9b24acc2ea6d7f594fc1a,cbfe58f2e0a6d29ec60c51e7cd52677dad050779f07626d0f5bd1be696bb49c3,7a220b363abfa0cfc56170e5a58c6609574653b006e5ed8f6d86a70dc731e035,0ababcc2eb7bd8e85045812e2cd5292f84e3c6e4cb5e045079a9ebf5722d4c01
"17","ＴＰ上昇上限付与","92407110","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","20"
"9","ＨＰ吸収ダウン","92407110","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","21"
"boss_tp_down_cut","ＴＰダウンカット","92407110","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","22"
"12","火属性ボーナス特大アップ","92407120","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","23"
"18","ダメージ減衰","92407120","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","24"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407120","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","25"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407120","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","26"
"17","ＴＰ上昇上限付与","92407120","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","27"
"9","ＨＰ吸収ダウン","92407120","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","28"
"boss_tp_down_cut","ＴＰダウンカット","92407120","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","29"
"12","火属性ボーナス特大アップ","92407130","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","30"
"18","ダメージ減衰","92407130","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","31"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407130","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","32"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407130","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","33"
"17","ＴＰ上昇上限付与","92407130","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","34"
"9","ＨＰ吸収ダウン","92407130","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","35"
"boss_tp_down_cut","ＴＰダウンカット","92407130","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","36"
"12","火属性ボーナス特大アップ","92407140","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","37"
"18","ダメージ減衰","92407140","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","38"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407140","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","39"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407140","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","40"
"17","ＴＰ上昇上限付与","92407140","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","41"
"9","ＨＰ吸収ダウン","92407140","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","42"
"boss_tp_down_cut","ＴＰダウンカット","92407140","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","43"
"12","火属性ボーナス特大アップ","92407210","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","44"
"18","ダメージ減衰","92407210","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","45"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407210","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","46"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407210","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","47"
"17","ＴＰ上昇上限付与","92407210","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","48"
"9","ＨＰ吸収ダウン","92407210","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","49"
"boss_tp_down_cut","ＴＰダウンカット","92407210","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","50"
"energy_recover","ＴＰ回復","92407210","バトル開始時、すべてのモンスターのＴＰを特大回復。","51"
"12","火属性ボーナス特大アップ","92407220","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","52"
"18","ダメージ減衰","92407220","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","53"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407220","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","54"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407220","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","55"
"17","ＴＰ上昇上限付与","92407220","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","56"
"9","ＨＰ吸収ダウン","92407220","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","57"
"boss_tp_down_cut","ＴＰダウンカット","92407220","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","58"
"12","火属性ボーナス特大アップ","92407230","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","59"
"18","ダメージ減衰","92407230","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","60"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407230","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","61"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407230","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","62"
"17","ＴＰ上昇上限付与","92407230","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","63"
"9","ＨＰ吸収ダウン","92407230","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","64"
"boss_tp_down_cut","ＴＰダウンカット","92407230","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","65"
"12","火属性ボーナス特大アップ","92407240","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","66"
"18","ダメージ減衰","92407240","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","67"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407240","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","68"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407240","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","69"
"17","ＴＰ上昇上限付与","92407240","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","70"
"9","ＨＰ吸収ダウン","92407240","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","71"
"boss_tp_down_cut","ＴＰダウンカット","92407240","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","72"
"12","火属性ボーナス特大アップ","92407310","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","73"
"18","ダメージ減衰","92407310","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407310","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407310","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76"
"17","ＴＰ上昇上限付与","92407310","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","77"
"9","ＨＰ吸収ダウン","92407310","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","78"
"boss_tp_down_cut","ＴＰダウンカット","92407310","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","79"
"12","火属性ボーナス特大アップ","92407320","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","80"
"18","ダメージ減衰","92407320","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407320","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407320","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","83"
"17","ＴＰ上昇上限付与","92407320","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","84"
"9","ＨＰ吸収ダウン","92407320","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","85"
"boss_tp_down_cut","ＴＰダウンカット","92407320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","86"
"12","火属性ボーナス特大アップ","92407330","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","87"
"18","ダメージ減衰","92407330","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","88"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407330","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","89"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407330","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","90"
"17","ＴＰ上昇上限付与","92407330","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","91"
"9","ＨＰ吸収ダウン","92407330","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92"
"boss_tp_down_cut","ＴＰダウンカット","92407330","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","93"
"12","火属性ボーナス特大アップ","92407340","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","94"
"18","ダメージ減衰","92407340","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","95"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407340","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","96"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407340","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","97"
"17","ＴＰ上昇上限付与","92407340","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","98"
"9","ＨＰ吸収ダウン","92407340","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","99"
"boss_tp_down_cut","ＴＰダウンカット","92407340","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","100"
"13","水属性ボーナス特大アップ","92408010","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","101"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408010","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","102"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408010","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","103"
"17","ＴＰ上昇上限付与","92408010","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","104"
"9","ＨＰ吸収ダウン","92408010","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","105"
"13","水属性ボーナス特大アップ","92408020","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","106"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408020","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","107"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408020","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","108"
"17","ＴＰ上昇上限付与","92408020","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","109"
"9","ＨＰ吸収ダウン","92408020","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","110"
"13","水属性ボーナス特大アップ","92408030","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","111"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408030","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","112"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408030","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","113"
"17","ＴＰ上昇上限付与","92408030","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","114"
"9","ＨＰ吸収ダウン","92408030","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","115"
"13","水属性ボーナス特大アップ","92408110","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","116"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408110","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","117"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408110","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","118"
"boss_tp_down_cut","ＴＰダウンカット","92408110","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","119"
"18","ダメージ減衰","92408110","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","120"
"17","ＴＰ上昇上限付与","92408110","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","121"
"9","ＨＰ吸収ダウン","92408110","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","122"
"13","水属性ボーナス特大アップ","92408120","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","123"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408120","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","124"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408120","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","125"
"boss_tp_down_cut","ＴＰダウンカット","92408120","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","126"
"18","ダメージ減衰","92408120","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","127"
"17","ＴＰ上昇上限付与","92408120","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","128"
"9","ＨＰ吸収ダウン","92408120","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","129"
"13","水属性ボーナス特大アップ","92408130","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","130"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408130","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","131"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408130","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","132"
"boss_tp_down_cut","ＴＰダウンカット","92408130","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","133"
"18","ダメージ減衰","92408130","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","134"
"17","ＴＰ上昇上限付与","92408130","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","135"
"9","ＨＰ吸収ダウン","92408130","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","136"
"13","水属性ボーナス特大アップ","92408140","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","137"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408140","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","138"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408140","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","139"
"boss_tp_down_cut","ＴＰダウンカット","92408140","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","140"
"18","ダメージ減衰","92408140","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","141"
"17","ＴＰ上昇上限付与","92408140","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","142"
"9","ＨＰ吸収ダウン","92408140","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","143"
"13","水属性ボーナス特大アップ","92408210","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","144"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408210","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","145"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408210","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","146"
"boss_tp_down_cut","ＴＰダウンカット","92408210","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","147"
"18","ダメージ減衰","92408210","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","148"
"17","ＴＰ上昇上限付与","92408210","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","149"
"9","ＨＰ吸収ダウン","92408210","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","150"
"13","水属性ボーナス特大アップ","92408220","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","151"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408220","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","152"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408220","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","153"
"boss_tp_down_cut","ＴＰダウンカット","92408220","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","154"
"18","ダメージ減衰","92408220","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","155"
"17","ＴＰ上昇上限付与","92408220","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","156"
"9","ＨＰ吸収ダウン","92408220","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","157"
"13","水属性ボーナス特大アップ","92408230","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","158"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408230","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","159"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408230","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","160"
"boss_tp_down_cut","ＴＰダウンカット","92408230","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","161"
"18","ダメージ減衰","92408230","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","162"
"17","ＴＰ上昇上限付与","92408230","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","163"
"9","ＨＰ吸収ダウン","92408230","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","164"
"13","水属性ボーナス特大アップ","92408240","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","165"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408240","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","166"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408240","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","167"
"boss_tp_down_cut","ＴＰダウンカット","92408240","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","168"
"18","ダメージ減衰","92408240","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","169"
"17","ＴＰ上昇上限付与","92408240","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","170"
"9","ＨＰ吸収ダウン","92408240","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","171"
"13","水属性ボーナス特大アップ","92408310","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","172"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408310","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","173"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408310","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","174"
"boss_tp_down_cut","ＴＰダウンカット","92408310","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","175"
"18","ダメージ減衰","92408310","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","176"
"17","ＴＰ上昇上限付与","92408310","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","177"
"9","ＨＰ吸収ダウン","92408310","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","178"
"13","水属性ボーナス特大アップ","92408320","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","179"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92408320","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","180"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92408320","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","181"
"boss_tp_down_cut","ＴＰダウンカット","92408320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","182"
"18","ダメージ減衰","92408320","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","183"
"17","ＴＰ上昇上限付与","92408320","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","184"
