6c435e6daff3921d634f698d48cf1191dd52b8561ba17f5646a6cf6978699dfa,dc3d627653b9f510d8151b107625759d7dda985638591ef1e71f4675211fd3cf,aa7ad53db97f8e42e730976311a9aba5e90ca16469da3927aa2d08a94c410dd7,446890f16dc2a1b4d53bbdc6a8a7bf7a9e0172e38ea56a02185cff4396b9b79e,a0582e69356d557807743b153e7a62008a406e334def9b30a8f43bbd9f10615e,554c4dd1312aa65b238459234dfb5986bfb5e63c0c32d23e1aa287496da577d3
"164","15","1","1001","10201121","56011121"
"165","15","1","1002","10201122","56011122"
"166","15","1","1003","10201123","56011123"
"167","8","50","0","91002","56011123"
"168","15","1","1001","10201124","56011124"
"169","15","1","1002","10201125","56011125"
"170","15","1","1003","10201126","56011126"
"171","8","50","0","91002","56011126"
"172","15","1","1001","10201127","56011127"
"173","15","1","1002","10201128","56011128"
"174","15","1","1003","10201129","56011129"
"175","8","50","0","91002","56011129"
"176","15","1","1001","10201130","56011130"
"177","15","1","1002","10201131","56011131"
"178","15","1","1003","10201132","56011132"
"179","8","50","0","91002","56011132"
"180","15","1","1001","10201133","56011133"
"181","15","1","1002","10201134","56011134"
"182","15","1","1003","10201135","56011135"
"183","8","50","0","91002","56011135"
"184","15","1","1001","10201136","56011136"
"185","15","1","1002","10201137","56011137"
"186","15","1","1003","10201138","56011138"
"187","8","50","0","91002","56011138"
"188","15","1","1001","10201139","56011139"
"189","15","1","1002","10201140","56011140"
"190","15","1","1003","10201141","56011141"
"191","8","50","0","91002","56011141"
"192","15","1","1001","10201142","56011142"
"193","15","1","1002","10201143","56011143"
"194","15","1","1003","10201144","56011144"
"195","8","50","0","91002","56011144"
"196","15","1","1001","10201145","56011145"
"197","15","1","1002","10201146","56011146"
"198","15","1","1003","10201147","56011147"
"199","8","50","0","91002","56011147"
"200","15","1","1001","10201148","56011148"
"201","15","1","1002","10201149","56011149"
"202","15","1","1003","10201150","56011150"
"203","8","50","0","91002","56011150"
"204","15","1","1001","10201151","56011151"
"205","15","1","1002","10201152","56011152"
"206","15","1","1003","10201153","56011153"
"207","8","50","0","91002","56011153"
"208","15","1","1001","10201154","56011154"
"209","15","1","1002","10201155","56011155"
"210","15","1","1003","10201156","56011156"
"211","8","50","0","91002","56011156"
"212","15","1","1001","10201157","56011157"
"213","15","1","1002","10201158","56011158"
"214","15","1","1003","10201159","56011159"
"215","8","50","0","91002","56011159"
"216","15","1","1001","10201160","56011160"
"217","15","1","1002","10201161","56011161"
"218","15","1","1003","10201162","56011162"
"219","8","50","0","91002","56011162"
"220","15","1","1001","10201163","56011163"
"221","15","1","1002","10201164","56011164"
"222","15","1","1003","10201165","56011165"
"223","8","50","0","91002","56011165"
"224","15","1","1001","10201166","56011166"
"225","15","1","1002","10201167","56011167"
"226","15","1","1003","10201168","56011168"
"227","8","50","0","91002","56011168"
"228","15","1","1001","10201169","56011169"
"229","15","1","1002","10201170","56011170"
"230","15","1","1003","10201171","56011171"
"231","8","50","0","91002","56011171"
"232","15","1","1001","10201172","56011172"
"233","15","1","1002","10201173","56011173"
"234","15","1","1003","10201174","56011174"
"235","8","50","0","91002","56011174"
"236","15","1","1001","10201175","56011175"
"237","15","1","1002","10201176","56011176"
"238","15","1","1003","10201177","56011177"
"239","8","50","0","91002","56011177"
"240","15","1","1001","10201178","56011178"
"241","15","1","1002","10201179","56011179"
"242","15","1","1003","10201180","56011180"
"243","8","50","0","91002","56011180"
"244","15","1","1001","10201181","56011181"
"245","15","1","1002","10201182","56011182"
"246","15","1","1003","10201183","56011183"
"247","8","50","0","91002","56011183"
"248","15","1","1001","10201184","56011184"
"249","15","1","1002","10201185","56011185"
"250","15","1","1003","10201186","56011186"
"251","8","50","0","91002","56011186"
"252","15","1","1001","10201187","56011187"
"253","15","1","1002","10201188","56011188"
"254","15","1","1003","10201189","56011189"
"255","8","50","0","91002","56011189"
"256","15","1","1001","10201190","56011190"
"257","15","1","1002","10201191","56011191"
"258","15","1","1003","10201192","56011192"
"259","8","50","0","91002","56011192"
"260","15","1","1001","10201193","56011193"
"261","15","1","1002","10201194","56011194"
"262","15","1","1003","10201195","56011195"
"263","8","50","0","91002","56011195"
"264","15","1","1001","10201196","56011196"
"265","15","1","1002","10201197","56011197"
"266","15","1","1003","10201198","56011198"
"267","8","50","0","91002","56011198"
"268","15","1","1001","10201199","56011199"
"269","15","1","1002","10201200","56011200"
"270","15","1","1003","10201201","56011201"
"271","8","50","0","91002","56011201"
"272","15","1","1001","10201202","56011202"
"273","15","1","1002","10201203","56011203"
"274","15","1","1003","10201204","56011204"
"275","8","50","0","91002","56011204"
"276","15","1","1001","10201205","56011205"
"277","15","1","1002","10201206","56011206"
"278","15","1","1003","10201207","56011207"
"279","8","50","0","91002","56011207"
"280","15","1","1001","10201208","56011208"
"281","15","1","1002","10201209","56011209"
"282","15","1","1003","10201210","56011210"
"283","8","50","0","91002","56011210"
"284","15","1","1001","10201211","56011211"
"285","15","1","1002","10201212","56011212"
"286","15","1","1003","10201213","56011213"
"287","8","50","0","91002","56011213"
"288","15","1","1001","10201214","56011214"
"289","15","1","1002","10201215","56011215"
"290","15","1","1003","10201216","56011216"
"291","8","50","0","91002","56011216"
"292","15","1","1001","10201217","56011217"
"293","15","1","1002","10201218","56011218"
"294","15","1","1003","10201219","56011219"
"295","8","50","0","91002","56011219"
"296","15","1","1001","10201220","56011220"
"297","15","1","1002","10201221","56011221"
"298","15","1","1003","10201222","56011222"
"299","8","50","0","91002","56011222"
"300","15","1","1001","10201223","56011223"
"301","15","1","1002","10201224","56011224"
"302","15","1","1003","10201225","56011225"
"303","8","50","0","91002","56011225"
"304","15","1","1001","10201226","56011226"
"305","15","1","1002","10201227","56011227"
"306","15","1","1003","10201228","56011228"
"307","8","50","0","91002","56011228"
"308","15","1","1001","10201229","56011229"
"309","15","1","1002","10201230","56011230"
"310","15","1","1003","10201231","56011231"
"311","8","50","0","91002","56011231"
"312","15","1","1001","10201232","56011232"
"313","15","1","1002","10201233","56011233"
"314","15","1","1003","10201234","56011234"
"315","8","50","0","91002","56011234"
"316","15","1","1003","10202001","56012001"
"317","15","1","1003","10202002","56012002"
"318","15","1","1003","10202003","56012003"
"319","15","1","1003","10202004","56012004"
"320","15","1","1003","10202005","56012005"
"321","15","1","1003","10202006","56012006"
"322","15","1","1003","10202007","56012007"
"323","15","1","1003","10202008","56012008"
"324","15","1","1003","10202009","56012009"
"325","15","1","1003","10202010","56012010"
"326","15","1","1003","10202011","56012011"
"327","15","1","1003","10202012","56012012"
"328","15","1","1003","10202013","56012013"
"329","15","1","1003","10202014","56012014"
"330","15","1","1003","10202015","56012015"
"447","15","1","1001","10501001","54002001"
"448","8","50","0","91002","54002001"
"449","15","1","1002","10501002","54002002"
"450","8","50","0","91002","54002002"
"451","15","1","1003","10501003","54002003"
"452","8","50","0","91002","54002003"
"453","15","1","1001","10502001","54004001"
"454","8","50","0","91002","54004001"
"455","15","1","1002","10502002","54004002"
"456","8","50","0","91002","54004002"
"457","15","1","1003","10502003","54004003"
"458","8","50","0","91002","54004003"
"459","15","1","1001","10601001","55006001"
"460","8","10","0","91002","55006001"
"461","15","1","1002","10601002","55006002"
"462","8","30","0","91002","55006002"
"463","15","1","1003","10601003","55006003"
"464","8","50","0","91002","55006003"
"465","15","1","1001","10201235","56011235"
"466","15","1","1002","10201236","56011236"
"467","15","1","1003","10201237","56011237"
"468","8","50","0","91002","56011237"
"469","15","1","1001","10201238","56011238"
"470","15","1","1002","10201239","56011239"
"471","15","1","1003","10201240","56011240"
"472","8","50","0","91002","56011240"
"473","15","1","1001","10201241","56011241"
"474","15","1","1002","10201242","56011242"
"475","15","1","1003","10201243","56011243"
"476","8","50","0","91002","56011243"
"477","15","1","1001","10201244","56011244"
"478","15","1","1002","10201245","56011245"
"479","15","1","1003","10201246","56011246"
"480","8","50","0","91002","56011246"
"481","15","1","1001","10201247","56011247"
"482","15","1","1002","10201248","56011248"
"483","15","1","1003","10201249","56011249"
"484","8","50","0","91002","56011249"
"485","15","1","1001","10201250","56011250"
"486","15","1","1002","10201251","56011251"
"487","15","1","1003","10201252","56011252"
"488","8","50","0","91002","56011252"
"489","15","1","1001","10201253","56011253"
"490","15","1","1002","10201254","56011254"
"491","15","1","1003","10201255","56011255"
"492","8","50","0","91002","56011255"
"493","15","1","1001","10201256","56011256"
"494","15","1","1002","10201257","56011257"
"495","15","1","1003","10201258","56011258"
"496","8","50","0","91002","56011258"
"497","15","1","1001","10201259","56011259"
"498","15","1","1002","10201260","56011260"
"499","15","1","1003","10201261","56011261"
"500","8","50","0","91002","56011261"
"501","15","1","1001","10201262","56011262"
"502","15","1","1002","10201263","56011263"
"503","15","1","1003","10201264","56011264"
"504","8","50","0","91002","56011264"
"505","15","1","1001","10201265","56011265"
"506","15","1","1002","10201266","56011266"
"507","15","1","1003","10201267","56011267"
"508","8","50","0","91002","56011267"
"509","15","1","1001","10201268","56011268"
"510","15","1","1002","10201269","56011269"
"511","15","1","1003","10201270","56011270"
"512","8","50","0","91002","56011270"
"513","15","1","1003","10201271","56011271"
"514","8","100","0","91002","56011271"
"515","15","1","1003","10201272","56011272"
"516","8","100","0","91002","56011272"
"517","15","1","1003","10201273","56011273"
"518","8","100","0","91002","56011273"
"519","15","1","1001","10201274","56011274"
"520","15","1","1002","10201275","56011275"
"521","15","1","1003","10201276","56011276"
"522","8","50","0","91002","56011276"
"523","15","1","1001","10201277","56011277"
"524","15","1","1002","10201278","56011278"
"525","15","1","1003","10201279","56011279"
"526","8","50","0","91002","56011279"
"527","15","1","1001","10201280","56011280"
"528","15","1","1002","10201281","56011281"
"529","15","1","1003","10201282","56011282"
"530","8","50","0","91002","56011282"
"531","15","1","1001","10201283","56011283"
"532","15","1","1002","10201284","56011284"
"533","15","1","1003","10201285","56011285"
"534","8","50","0","91002","56011285"
"535","15","1","1003","10201286","56011286"
"536","8","100","0","91002","56011286"
"537","15","1","1001","11101001","56014001"
"538","8","10","0","91002","56014001"
"539","15","1","1002","11101002","56014002"
"540","8","20","0","91002","56014002"
"541","15","1","1003","11101003","56014003"
"542","8","50","0","91002","56014003"
"543","15","1","1001","11201001","56015001"
"544","8","50","0","91002","56015001"
"545","15","1","1002","11201002","56015002"
"546","8","50","0","91002","56015002"
"547","15","1","1003","11201003","56015003"
"548","8","50","0","91002","56015003"
"549","15","1","1001","10201287","56011287"
"550","15","1","1002","10201288","56011288"
"551","15","1","1003","10201289","56011289"
"552","8","50","0","91002","56011289"
"553","15","1","1001","10201290","56011290"
"554","15","1","1002","10201291","56011291"
"555","15","1","1003","10201292","56011292"
"556","8","50","0","91002","56011292"
"557","15","1","1003","10201293","56011293"
"558","8","100","0","91002","56011293"
"559","15","1","1001","10201294","56011294"
"560","15","1","1002","10201295","56011295"
"561","15","1","1003","10201296","56011296"
"562","8","50","0","91002","56011296"
"563","15","1","1001","10201297","56011297"
"564","15","1","1002","10201298","56011298"
"565","15","1","1003","10201299","56011299"
"566","8","50","0","91002","56011299"
"567","15","1","1001","10201300","56011300"
"568","15","1","1002","10201301","56011301"
"569","15","1","1003","10201302","56011302"
"570","8","50","0","91002","56011302"
"571","15","1","1003","10201303","56011303"
"572","8","100","0","91002","56011303"
"573","15","1","1001","10201304","56011304"
"574","15","1","1002","10201305","56011305"
"575","15","1","1003","10201306","56011306"
"576","8","50","0","91002","56011306"
"577","15","1","1003","10301015","58008015"
"578","8","50","0","91002","58008015"
"579","15","1","1001","10201307","56011307"
"580","15","1","1002","10201308","56011308"
"581","15","1","1003","10201309","56011309"
"582","8","50","0","91002","56011309"
"583","15","1","1001","10201310","56011310"
"584","15","1","1002","10201311","56011311"
"585","15","1","1003","10201312","56011312"
"586","8","50","0","91002","56011312"
"587","15","1","1003","10201313","56011313"
"588","8","100","0","91002","56011313"
"589","15","1","1001","10201314","56011314"
"590","15","1","1002","10201315","56011315"
"591","15","1","1003","10201316","56011316"
"592","8","50","0","91002","56011316"
"593","15","1","1001","10201317","56011317"
"594","15","1","1002","10201318","56011318"
"595","15","1","1003","10201319","56011319"
"596","8","50","0","91002","56011319"
"597","15","1","1001","10201320","56011320"
"598","15","1","1002","10201321","56011321"
"599","15","1","1003","10201322","56011322"
"600","8","50","0","91002","56011322"
"601","15","1","1003","10201323","56011323"
"602","8","100","0","91002","56011323"
"603","15","1","1001","10201324","56011324"
"604","15","1","1002","10201325","56011325"
"605","15","1","1003","10201326","56011326"
"606","8","50","0","91002","56011326"
"607","15","1","1001","10201327","56011327"
"608","15","1","1002","10201328","56011328"
"609","15","1","1003","10201329","56011329"
"610","8","50","0","91002","56011329"
"611","15","1","1001","10201330","56011330"
"612","15","1","1002","10201331","56011331"
"613","15","1","1003","10201332","56011332"
"614","8","50","0","91002","56011332"
"615","15","1","1003","10201333","56011333"
"616","8","100","0","91002","56011333"
"617","15","1","1003","10201334","56011334"
"618","8","100","0","91002","56011334"
"619","15","1","1003","10201335","56011335"
"620","8","100","0","91002","56011335"
"621","15","1","1003","10202100","56012100"
"622","15","1","1001","10201336","56011336"
"623","15","1","1002","10201337","56011337"
"624","15","1","1003","10201338","56011338"
"625","8","50","0","91002","56011338"
"626","15","1","1001","10201339","56011339"
"627","15","1","1002","10201340","56011340"
"628","15","1","1003","10201341","56011341"
"629","8","50","0","91002","56011341"
"630","15","1","1003","10202016","56012016"
"631","15","1","1003","10201342","56011342"
"632","8","100","0","91002","56011342"
"633","15","1","1001","10201343","56011343"
"634","15","1","1002","10201344","56011344"
"635","15","1","1003","10201345","56011345"
"636","8","50","0","91002","56011345"
"637","15","1","1001","10201346","56011346"
"638","15","1","1002","10201347","56011347"
"639","15","1","1003","10201348","56011348"
"640","8","50","0","91002","56011348"
"641","15","1","1003","10201349","56011349"
"642","8","100","0","91002","56011349"
"643","15","1","1001","10603001","55008001"
"644","8","50","0","91002","55008001"
"645","15","1","1001","10603002","55008002"
"646","8","50","0","91002","55008002"
"647","15","1","1002","10603003","55008003"
"648","8","50","0","91002","55008003"
"649","15","1","1002","10603004","55008004"
"650","8","50","0","91002","55008004"
"651","15","1","1003","10603005","55008005"
"652","8","50","0","91002","55008005"
"653","15","1","1003","10603006","55008006"
"654","8","50","0","91002","55008006"
"655","15","1","1001","10201350","56011350"
"656","15","1","1002","10201351","56011351"
"657","15","1","1003","10201352","56011352"
"658","8","50","0","91002","56011352"
"659","15","1","1001","10201353","56011353"
"660","15","1","1002","10201354","56011354"
"661","15","1","1003","10201355","56011355"
"662","8","50","0","91002","56011355"
"663","15","1","1001","10201356","56011356"
"664","15","1","1002","10201357","56011357"
"665","15","1","1003","10201358","56011358"
"666","8","50","0","91002","56011358"
"667","15","1","1003","10201359","56011359"
"668","8","100","0","91002","56011359"
"669","15","1","1001","10201360","56011360"
"670","15","1","1002","10201361","56011361"
"671","15","1","1003","10201362","56011362"
"672","8","50","0","91002","56011362"
"673","15","1","1001","10201363","56011363"
"674","15","1","1002","10201364","56011364"
"675","15","1","1003","10201365","56011365"
"676","8","50","0","91002","56011365"
"677","15","1","1003","10202017","56012017"
"678","15","1","1001","10201366","56011366"
"679","15","1","1002","10201367","56011367"
"680","15","1","1003","10201368","56011368"
"681","8","50","0","91002","56011368"
"682","15","1","1001","10201369","56011369"
"683","15","1","1002","10201370","56011370"
"684","15","1","1003","10201371","56011371"
"685","8","50","0","91002","56011371"
"686","15","1","1003","10201372","56011372"
"687","8","100","0","91002","56011372"
"688","15","1","1001","10201373","56011373"
"689","15","1","1002","10201374","56011374"
"690","15","1","1003","10201375","56011375"
"691","8","50","0","91002","56011375"
"692","15","1","1001","10201376","56011376"
"693","15","1","1002","10201377","56011377"
"694","15","1","1003","10201378","56011378"
"695","8","50","0","91002","56011378"
"696","15","1","1001","10201379","56011379"
"697","15","1","1002","10201380","56011380"
"698","15","1","1003","10201381","56011381"
"699","8","50","0","91002","56011381"
"700","15","1","1001","10201382","56011382"
"701","15","1","1002","10201383","56011383"
"702","15","1","1003","10201384","56011384"
"703","8","50","0","91002","56011384"
"704","15","1","1003","10201385","56011385"
"705","8","100","0","91002","56011385"
"706","15","1","1001","10201386","56011386"
"707","15","1","1002","10201387","56011387"
"708","15","1","1003","10201388","56011388"
"709","8","50","0","91002","56011388"
"710","15","1","1001","10201389","56011389"
"711","15","1","1002","10201390","56011390"
"712","15","1","1003","10201391","56011391"
"713","8","50","0","91002","56011391"
"714","15","1","1001","10201392","56011392"
"715","15","1","1002","10201393","56011393"
"716","15","1","1003","10201394","56011394"
"717","8","50","0","91002","56011394"
"718","15","1","1003","10201395","56011395"
"719","8","100","0","91002","56011395"
"720","15","1","1003","10201396","56011396"
"721","8","100","0","91002","56011396"
"722","15","1","1001","10201397","56011397"
"723","15","1","1002","10201398","56011398"
"724","15","1","1003","10201399","56011399"
"725","8","50","0","91002","56011399"
"726","15","1","1001","10201400","56011400"
"727","15","1","1002","10201401","56011401"
"728","15","1","1003","10201402","56011402"
"729","8","50","0","91002","56011402"
"730","15","1","1001","10201403","56011403"
"731","15","1","1002","10201404","56011404"
"732","15","1","1003","10201405","56011405"
"733","8","50","0","91002","56011405"
"734","15","1","1003","10201406","56011406"
"735","8","100","0","91002","56011406"
"736","15","1","1001","10201407","56011407"
"737","15","1","1002","10201408","56011408"
"738","15","1","1003","10201409","56011409"
"739","8","50","0","91002","56011409"
"740","15","1","1001","10201410","56011410"
"741","15","1","1002","10201411","56011411"
"742","15","1","1003","10201412","56011412"
"743","8","50","0","91002","56011412"
"744","15","1","1003","10201413","56011413"
"745","8","100","0","91002","56011413"
"746","15","1","1001","10201414","56011414"
"747","15","1","1002","10201415","56011415"
"748","15","1","1003","10201416","56011416"
"749","8","50","0","91002","56011416"
"750","15","1","1001","10201417","56011417"
"751","15","1","1002","10201418","56011418"
"752","15","1","1003","10201419","56011419"
"753","8","50","0","91002","56011419"
"754","15","1","1001","10201420","56011420"
"755","15","1","1002","10201421","56011421"
"756","15","1","1003","10201422","56011422"
"757","8","50","0","91002","56011422"
"758","15","1","1003","10201423","56011423"
"759","8","100","0","91002","56011423"
"760","15","1","1001","10201424","56011424"
"761","15","1","1002","10201425","56011425"
"762","15","1","1003","10201426","56011426"
"763","8","50","0","91002","56011426"
"764","15","1","1001","10201427","56011427"
"765","15","1","1002","10201428","56011428"
"766","15","1","1003","10201429","56011429"
"767","8","50","0","91002","56011429"
"768","15","1","1001","10201430","56011430"
"769","15","1","1002","10201431","56011431"
"770","15","1","1003","10201432","56011432"
"771","8","50","0","91002","56011432"
"772","15","1","1001","10201433","56011433"
"773","15","1","1002","10201434","56011434"
"774","15","1","1003","10201435","56011435"
"775","8","50","0","91002","56011435"
"776","15","1","1003","10201436","56011436"
"777","8","100","0","91002","56011436"
"778","15","1","1001","10201437","56011437"
"779","15","1","1002","10201438","56011438"
"780","15","1","1003","10201439","56011439"
"781","8","50","0","91002","56011439"
"782","15","1","1001","10201440","56011440"
"783","15","1","1002","10201441","56011441"
"784","15","1","1003","10201442","56011442"
"785","8","50","0","91002","56011442"
"786","15","1","1001","10201443","56011443"
"787","15","1","1002","10201444","56011444"
"788","15","1","1003","10201445","56011445"
"789","8","50","0","91002","56011445"
"790","15","1","1003","10201446","56011446"
"791","8","100","0","91002","56011446"
"792","15","1","1001","10201447","56011447"
"793","15","1","1002","10201448","56011448"
"794","15","1","1003","10201449","56011449"
"795","8","50","0","91002","56011449"
"796","15","1","1001","10201450","56011450"
"797","15","1","1002","10201451","56011451"
"798","15","1","1003","10201452","56011452"
"799","8","50","0","91002","56011452"
"800","15","1","1001","10201453","56011453"
"801","15","1","1002","10201454","56011454"
"802","15","1","1003","10201455","56011455"
"803","8","50","0","91002","56011455"
"804","15","1","1001","10201456","56011456"
"805","15","1","1002","10201457","56011457"
"806","15","1","1003","10201458","56011458"
"807","8","50","0","91002","56011458"
"808","15","1","1001","10201459","56011459"
"809","15","1","1002","10201460","56011460"
"810","15","1","1003","10201461","56011461"
"811","8","50","0","91002","56011461"
"812","15","1","1003","10201462","56011462"
"813","8","100","0","91002","56011462"
"814","15","1","1003","10201463","56011463"
"815","8","100","0","91002","56011463"
"816","15","1","1003","10201464","56011464"
"817","8","100","0","91002","56011464"
"818","15","1","1001","10201465","56011465"
"819","15","1","1002","10201466","56011466"
"820","15","1","1003","10201467","56011467"
"821","8","50","0","91002","56011467"
"822","15","1","1001","10201468","56011468"
"823","15","1","1002","10201469","56011469"
"824","15","1","1003","10201470","56011470"
"825","8","50","0","91002","56011470"
"826","15","1","1003","10201471","56011471"
"827","8","100","0","91002","56011471"
"828","15","1","1001","10201472","56011472"
"829","15","1","1002","10201473","56011473"
"830","15","1","1003","10201474","56011474"
"831","8","50","0","91002","56011474"
"832","15","1","1001","10201475","56011475"
"833","15","1","1002","10201476","56011476"
"834","15","1","1003","10201477","56011477"
"835","8","50","0","91002","56011477"
"836","15","1","1003","10201484","56011484"
"837","8","100","0","91002","56011484"
"838","15","1","1001","10201485","56011485"
"839","15","1","1002","10201486","56011486"
"840","15","1","1003","10201487","56011487"
"841","8","50","0","91002","56011487"
"842","15","1","1001","10201488","56011488"
"843","15","1","1002","10201489","56011489"
"844","15","1","1003","10201490","56011490"
"845","8","50","0","91002","56011490"
"846","15","1","1001","10201491","56011491"
"847","15","1","1002","10201492","56011492"
