9eb0592f3f3fd9f228e0a3aad5379a93f94b5677cd22ed009fdee9052456f036,d74a5143679836ea1d6b18ba951513fbb017c24fa82ba040cc53e0cbdfdaed0e,1377d5750511ccd1829e24a450c561364ecb3d2acb5153e4f0e308631c88ca77,eed8e980c009bc12e68540ad20275d990e20fbd386d9acc53e0772086ea26abe,33b5acf2c2c08c4f5482e113e537ca41f775fac8ed08d5fb0db6a22fc147d2ca,9deef9fce40209b1646656a3e733245982484953d46c49bb1d8556b9c7fca9d4
"300327","803100259","204","111","1","2145097"
"300328","803100259","205","112","1","2145098"
"300401","803100260","105","102","0","2146011"
"300402","803100260","105","102","0","2146012"
"300403","803100260","202","113","1","2146013"
"300404","803100260","203","114","1","2146014"
"300405","803100260","105","102","0","2146015"
"300406","803100260","202","113","1","2146016"
"300407","803100260","203","114","1","2146017"
"300408","803100260","105","102","0","2146018"
"300409","803100260","105","102","0","2146019"
"300410","803100260","105","102","0","2146020"
"300411","803100261","105","102","0","2146021"
"300412","803100261","202","113","1","2146022"
"300413","803100261","203","114","1","2146023"
"300414","803100261","105","102","0","2146024"
"300415","803100261","202","113","1","2146025"
"300416","803100261","203","114","1","2146026"
"300417","803100261","105","102","0","2146027"
"300418","803100261","105","102","0","2146028"
"300419","803100261","202","113","1","2146029"
"300420","803100261","202","113","1","2146030"
"300421","803100262","202","113","1","2146031"
"300422","803100262","203","114","1","2146032"
"300423","803100262","105","102","0","2146033"
"300424","803100262","208","112","1","2146034"
"300425","803100262","212","110","1","2146035"
"300426","803100262","202","113","1","2146036"
"300427","803100262","202","113","1","2146037"
"300428","803100262","105","102","0","2146038"
"300501","803100264","104","100","0","2146051"
"300502","803100264","104","100","0","2146052"
"300503","803100264","104","100","0","2146053"
"300504","803100264","104","100","0","2146054"
"300505","803100264","105","102","0","2146055"
"300506","803100264","106","103","0","2146056"
"300507","803100264","104","100","0","2146057"
"300508","803100264","104","100","0","2146058"
"300509","803100264","105","102","0","2146059"
"300510","803100264","106","103","0","2146060"
"300511","803100265","104","100","0","2146061"
"300512","803100265","104","100","0","2146062"
"300513","803100265","104","100","0","2146063"
"300514","803100265","104","100","0","2146064"
"300515","803100265","105","102","0","2146065"
"300516","803100265","106","103","0","2146066"
"300517","803100265","104","100","0","2146067"
"300518","803100265","104","100","0","2146068"
"300519","803100265","105","102","0","2146069"
"300520","803100265","106","103","0","2146070"
"300521","803100266","104","100","0","2146071"
"300522","803100266","104","100","0","2146072"
"300523","803100266","202","113","1","2146073"
"300524","803100266","203","114","1","2146074"
"300525","803100266","104","100","0","2146075"
"300526","803100266","208","112","1","2146076"
"300527","803100266","212","110","1","2146077"
"300528","803100266","202","113","1","2146078"
"300529","803100266","203","114","1","2146079"
"300530","803100266","104","100","0","2146080"
"300601","803100268","203","114","1","2146091"
"300602","803100268","202","113","1","2146092"
"300603","803100268","105","102","0","2146093"
"300604","803100268","203","114","1","2146094"
"300605","803100268","106","103","0","2146095"
"300606","803100268","203","114","1","2146096"
"300607","803100268","204","111","1","2146097"
"300608","803100268","203","114","1","2146098"
"300609","803100268","202","113","1","2146099"
"300610","803100268","105","102","0","2146100"
"300611","803100269","203","114","1","2147011"
"300612","803100269","106","103","0","2147012"
"300613","803100269","203","114","1","2147013"
"300614","803100269","204","111","1","2147014"
"300615","803100269","212","110","1","2147015"
"300616","803100269","203","114","1","2147016"
"300617","803100269","105","102","0","2147017"
"300618","803100269","106","103","0","2147018"
"300701","803100270","204","111","1","2147021"
"300702","803100270","104","100","0","2147022"
"300703","803100270","107","101","0","2147023"
"300704","803100270","202","113","1","2147024"
"300705","803100270","203","114","1","2147025"
"300706","803100270","105","102","0","2147026"
"300707","803100270","205","112","1","2147027"
"300708","803100270","204","111","1","2147028"
"300709","803100270","104","100","0","2147029"
"300710","803100270","107","101","0","2147030"
"300711","803100271","202","113","1","2147031"
"300712","803100271","203","114","1","2147032"
"300713","803100271","105","102","0","2147033"
"300714","803100271","205","112","1","2147034"
"300715","803100271","110","107","0","2147035"
"300716","803100271","204","111","1","2147036"
"300717","803100271","104","100","0","2147037"
"300718","803100271","107","101","0","2147038"
