f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9
"-850","11030004","","31","3","","-180","3","1","1","103"
"","11030005","","91","0","","","0","","","103"
"-180","11030006","","2","<unit_id>","","10","850","","","103"
"-180","11030007","","2","1","","10","850","","","103"
"-180","11030008","","33","3","","10","850","","","103"
"","11510001","","23","se_10053800","","","se_fpc_water_random","","","151"
"22","11510002","cmn_swm_flutterKick","1","1","0","-850","<unit_id>","-180","1.75","151"
"-850","11510003","","31","1","","-180","1","1","1","151"
"","11510004","","91","0","","","0","","","151"
"-180","11510005","","2","<unit_id>","","10","1050","","","151"
"-180","11510006","","33","1","","10","1050","","","151"
"","12010001","","23","se_10053800","","","se_fpc_water_random","","","201"
"22","12010002","cmn_swm_breastStroke","1","1","0","-850","<unit_id>","-180","1.75","201"
"-850","12010003","","31","2","","-180","2","1","1","201"
"","12010004","","91","0","","","0","","","201"
"-180","12010005","","2","<unit_id>","","10","850","","","201"
"-180","12010006","","33","2","","10","850","","","201"
"","12510001","","23","se_10053800","","","se_fpc_water_random","","","251"
"22","12510002","cmn_swm_diving","1","1","0","-850","<unit_id>","-180","1.75","251"
"-850","12510003","","31","9","","-180","9","1","1","251"
"","12510004","","91","0","","","0","","","251"
"-180","12510005","","2","<unit_id>","","10","850","","","251"
"-180","12510006","","33","9","","10","850","","","251"
"","13010001","","23","se_10053800","","","se_fpc_water_random","","","301"
"23","13010002","cmn_swm_flutterKick_floatRing","1","1","0","-850","<unit_id>","-180","1.75","301"
"22","13010003","cmn_swm_flutterKick_floatRing_pink","5","1","0","-850","1","-180","1.75","301"
"-850","13010004","","31","1","","-180","1","1","1","301"
"","13010005","","91","0","","","0","","","301"
"-180","13010006","","2","<unit_id>","","10","1050","","","301"
"-180","13010007","","2","1","","10","1050","","","301"
"-180","13010008","","33","1","","10","1050","","","301"
"","13020001","","23","se_10053800","","","se_fpc_water_random","","","302"
"23","13020002","cmn_swm_flutterKick_floatRing","1","1","0","-850","<unit_id>","-180","1.75","302"
"22","13020003","cmn_swm_flutterKick_floatRing_blue","5","1","0","-850","1","-180","1.75","302"
"-850","13020004","","31","1","","-180","1","1","1","302"
"","13020005","","91","0","","","0","","","302"
"-180","13020006","","2","<unit_id>","","10","1050","","","302"
"-180","13020007","","2","1","","10","1050","","","302"
"-180","13020008","","33","1","","10","1050","","","302"
"","13030001","","23","se_10053800","","","se_fpc_water_random","","","303"
"23","13030002","cmn_swm_flutterKick_floatRing","1","1","0","-850","<unit_id>","-180","1.75","303"
"22","13030003","cmn_swm_flutterKick_floatRing","5","1","0","-850","1","-180","1.75","303"
"-850","13030004","","31","1","","-180","1","1","1","303"
"","13030005","","91","0","","","0","","","303"
"-180","13030006","","2","<unit_id>","","10","1050","","","303"
"-180","13030007","","2","1","","10","1050","","","303"
"-180","13030008","","33","1","","10","1050","","","303"
"","13510001","","23","se_10053800","","","se_fpc_water_random","","","351"
"23","13510002","cmn_swm_flutterKick_floatRing","1","1","0","-850","<unit_id>","-180","1.75","351"
"22","13510003","cmn_swm_flutterKick_floatBoad","5","1","0","-850","1","-180","1.75","351"
"-850","13510004","","31","1","","-180","1","1","1","351"
"","13510005","","91","0","","","0","","","351"
"-180","13510006","","2","<unit_id>","","10","1050","","","351"
"-180","13510007","","2","1","","10","1050","","","351"
"-180","13510008","","33","1","","10","1050","","","351"
"","13520001","","23","se_10053800","","","se_fpc_water_random","","","352"
"23","13520002","cmn_swm_flutterKick_floatRing","1","1","0","-850","<unit_id>","-180","1.75","352"
"22","13520003","cmn_swm_flutterKick_floatBoad_blue","5","1","0","-850","1","-180","1.75","352"
"-850","13520004","","31","1","","-180","1","1","1","352"
"","13520005","","91","0","","","0","","","352"
"-180","13520006","","2","<unit_id>","","10","1050","","","352"
"-180","13520007","","2","1","","10","1050","","","352"
"-180","13520008","","33","1","","10","1050","","","352"
"","14010001","","23","se_10053800","","","se_fpc_water_random","","","401"
"22","14010002","cmn_float","1","1","0","-850","<unit_id>","-180","1.75","401"
"-850","14010003","","31","6","","-180","6","1","1","401"
"","14010004","","91","0","","","0","","","401"
"-180","14010005","","2","<unit_id>","","10","1050","","","401"
"-180","14010006","","33","6","","10","1050","","","401"
"","14020001","","23","se_10053800","","","se_fpc_water_random","","","402"
"22","14020002","cmn_float_4","1","1","0","-850","<unit_id>","-180","1.75","402"
"-850","14020003","","31","6","","-180","6","1","1","402"
"","14020004","","91","0","","","0","","","402"
"-180","14020005","","2","<unit_id>","","10","1050","","","402"
"-180","14020006","","33","6","","10","1050","","","402"
"","14510001","","23","se_10053800","","","se_fpc_water_random","","","451"
"22","14510002","cmn_crawl","1","1","0","-850","<unit_id>","-180","1.75","451"
"-850","14510003","","31","1","","-180","1","1","1","451"
"","14510004","","91","0","","","0","","","451"
"-180","14510005","","2","<unit_id>","","10","1050","","","451"
"-180","14510006","","33","1","","10","1050","","","451"
"","15010001","","23","se_10053800","","","se_fpc_water_random","","","501"
"45","15010002","cmn_surfing","1","1","0","-850","<unit_id>","-250","1.75","501"
"44","15010003","cmn_surfing","5","6","0","-850","6","-250","1.75","501"
"-850","15010004","","31","11","","-250","11","1","1","501"
"","15010005","","91","0","","","0","","","501"
"-250","15010006","","2","<unit_id>","","6","1800","","","501"
"-250","15010007","","2","6","","6","1800","","","501"
"-250","15010008","","33","11","","6","1800","","","501"
"","15010009","","23","se_10053800","","","se_10053800_surfing_wave","","","501"
"","18510001","","23","se_10053800","","","se_fpc_water_random","","","851"
"45","18510002","cmn_surfing","1","1","0","-850","107511","-125","1.75","851"
"45","18510003","cmn_surfing","1","1","0","-1100","107611","-250","1.75","851"
"45","18510004","cmn_surfing","1","1","0","-1350","107811","-125","1.75","851"
"44","18510005","cmn_surfing","5","6","0","-850","1","-125","1.75","851"
"44","18510006","cmn_surfing","5","6","0","-1100","2","-250","1.75","851"
"44","18510007","cmn_surfing","5","6","0","-1350","3","-125","1.75","851"
"-850","18510008","","31","11","","-125","1","1","1","851"
"-1100","18510009","","31","11","","-250","2","1","1","851"
"-1350","18510010","","31","11","","-125","3","1","1","851"
"-125","18510011","","2","107511","","6","2350","","","851"
"-250","18510012","","2","107611","","6","2100","","","851"
"-125","18510013","","2","107811","","6","1850","","","851"
"-125","18510014","","2","1","","6","2350","","","851"
"-250","18510015","","2","2","","6","2100","","","851"
"-125","18510016","","2","3","","6","1850","","","851"
"-125","18510017","","33","1","","6","2350","","","851"
"-250","18510018","","33","2","","6","2100","","","851"
"-125","18510019","","33","3","","6","1850","","","851"
"","18510020","","23","se_10053800","","","se_10053800_surfing_wave","","","851"
"","18510021","","93","0.3","","","","","","851"
"","18510022","","21","vo_fpc","","0","vo_fpc_85101","","","851"
"","18520001","","23","se_10053800","","","se_fpc_water_random","","","852"
"13","18520002","cmn_swm_flutterKick_floatRing","1","1","0","-850","122411","-125","1.75","852"
"33","18520003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","122511","-250","1.75","852"
"13","18520004","cmn_swm_flutterKick_floatRing","1","1","0","-1350","122611","-125","1.75","852"
"12","18520005","cmn_swm_flutterKick_floatRing","5","1","0","-850","1","-125","1.75","852"
"32","18520006","cmn_swm_flutterKick_floatRing_blue","5","1","0","-1100","2","-250","1.75","852"
"12","18520007","cmn_swm_flutterKick_floatRing_pink","5","1","0","-1350","3","-125","1.75","852"
"-850","18520008","","31","7","","-125","1","1","1","852"
"-1100","18520009","","31","1","","-250","2","1","1","852"
"-1350","18520010","","31","7","","-125","3","1","1","852"
"-125","18520011","","2","122411","","10","1750","","","852"
"-250","18520012","","2","122511","","10","1500","","","852"
"-125","18520013","","2","122611","","10","1250","","","852"
"-125","18520014","","2","1","","10","1750","","","852"
"-250","18520015","","2","2","","10","1500","","","852"
"-125","18520016","","2","3","","10","1250","","","852"
"-125","18520017","","33","1","","10","1750","","","852"
"-250","18520018","","33","2","","10","1500","","","852"
"-125","18520019","","33","3","","10","1250","","","852"
"","18530001","","23","se_10053800","","","se_fpc_water_random","","","853"
"12","18530002","cmn_swm_breastStroke","1","1","0","-850","117211","-125","1.75","853"
"32","18530003","cmn_swm_breastStroke","1","1","0","-1100","117311","-250","1.75","853"
"12","18530004","cmn_swm_breastStroke","1","1","0","-1350","117411","-125","1.75","853"
"-850","18530005","","31","2","","-125","1","1","1","853"
"-1100","18530006","","31","2","","-250","2","1","1","853"
"-1350","18530007","","31","2","","-125","3","1","1","853"
"-125","18530008","","2","117211","","10","1750","","","853"
"-250","18530009","","2","117311","","10","1500","","","853"
"-125","18530010","","2","117411","","10","1250","","","853"
"-125","18530011","","33","1","","10","1750","","","853"
"-250","18530012","","33","2","","10","1500","","","853"
"-125","18530013","","33","3","","10","1250","","","853"
"","18540001","","23","se_10053800","","","se_fpc_water_random","","","854"
"13","18540002","cmn_swm_flutterKick_floatRing","1","1","0","-850","122711","-125","1.75","854"
"33","18540003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","122811","-250","1.75","854"
"13","18540004","cmn_swm_flutterKick_floatRing","1","1","0","-1350","122911","-125","1.75","854"
"12","18540005","cmn_swm_flutterKick_floatBoad","5","1","0","-850","1","-125","1.75","854"
"32","18540006","cmn_swm_flutterKick_floatBoad_blue","5","1","0","-1100","2","-250","1.75","854"
"12","18540007","cmn_swm_flutterKick_floatBoad","5","1","0","-1350","3","-125","1.75","854"
"-850","18540008","","31","7","","-125","1","1","1","854"
"-1100","18540009","","31","1","","-250","2","1","1","854"
"-1350","18540010","","31","7","","-125","3","1","1","854"
"-125","18540011","","2","122711","","10","1750","","","854"
"-250","18540012","","2","122811","","10","1500","","","854"
"-125","18540013","","2","122911","","10","1250","","","854"
"-125","18540014","","2","1","","10","1750","","","854"
"-250","18540015","","2","2","","10","1500","","","854"
"-125","18540016","","2","3","","10","1250","","","854"
"-125","18540017","","33","1","","10","1750","","","854"
"-250","18540018","","33","2","","10","1500","","","854"
"-125","18540019","","33","3","","10","1250","","","854"
"","18550001","","23","se_10053800","","","se_fpc_water_random","","","855"
"13","18550002","cmn_swm_flutterKick_floatRing","1","1","0","-850","113411","-125","1.75","855"
"33","18550003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","113511","-250","1.75","855"
"12","18550004","cmn_swm_flutterKick_floatBoad","5","1","0","-850","1","-125","1.75","855"
"32","18550005","cmn_swm_flutterKick_floatBoad_blue","5","1","0","-1100","2","-250","1.75","855"
"-850","18550006","","31","7","","-125","1","1","1","855"
"-1100","18550007","","31","1","","-250","2","1","1","855"
"-125","18550008","","2","113411","","10","1750","","","855"
"-250","18550009","","2","113511","","10","1500","","","855"
"-125","18550010","","2","1","","10","1750","","","855"
"-250","18550011","","2","2","","10","1500","","","855"
"-125","18550012","","33","1","","10","1750","","","855"
"-250","18550013","","33","2","","10","1500","","","855"
"","18560001","","23","se_10053800","","","se_fpc_water_random","","","856"
"13","18560002","cmn_swm_tread","1","1","0","-850","110311","-125","1.75","856"
"33","18560003","cmn_swm_tread","1","1","0","-1100","107711","-250","1.75","856"
"12","18560004","cmn_swm_tread_pink","5","1","0","-850","1","-125","1.75","856"
"32","18560005","cmn_swm_tread","5","1","0","-1100","2","-250","1.75","856"
"-850","18560006","","31","13","","-125","1","1","1","856"
"-1100","18560007","","31","3","","-250","2","1","1","856"
"-125","18560008","","2","110311","","13.5","1750","","","856"
"-250","18560009","","2","107711","","13.5","1500","","","856"
"-125","18560010","","2","1","","13.5","1750","","","856"
"-250","18560011","","2","2","","13.5","1500","","","856"
"-125","18560012","","33","1","","13.5","1750","","","856"
"-250","18560013","","33","2","","13.5","1500","","","856"
"","18570001","","23","se_10053800","","","se_fpc_water_random","","","857"
"13","18570002","cmn_swm_tread","1","1","0","-850","110411","-125","1.75","857"
"33","18570003","cmn_swm_tread","1","1","0","-1100","110511","-250","1.75","857"
"13","18570004","cmn_swm_tread","1","1","0","-1350","115711","-125","1.75","857"
"33","18570005","cmn_boat_relax","1","1","0","-1600","110611","-250","1.75","857"
"12","18570006","cmn_swm_tread_blue","5","1","0","-850","1","-125","1.75","857"
"32","18570007","cmn_swm_tread","5","1","0","-1100","2","-250","1.75","857"
"12","18570008","cmn_swm_tread_pink","5","1","0","-1350","3","-125","1.75","857"
"32","18570009","cmn_boat_idle_l","5","2","0","-1600","4","-250","1.75","857"
"-850","18570010","","31","13","","-125","1","1","1","857"
"-1100","18570011","","31","3","","-250","2","1","1","857"
"-1350","18570012","","31","13","","-125","3","1","1","857"
"-1600","18570013","","31","116","","-250","4","1","1","857"
"-125","18570014","","2","110411","","13.5","1750","","","857"
"-250","18570015","","2","110511","","13.5","1500","","","857"
"-125","18570016","","2","115711","","13.5","1250","","","857"
"-250","18570017","","2","110611","","13.5","1000","","","857"
"-125","18570018","","2","1","","13.5","1750","","","857"
"-250","18570019","","2","2","","13.5","1500","","","857"
"-125","18570020","","2","3","","13.5","1250","","","857"
"-250","18570021","","2","4","","13.5","1000","","","857"
"-125","18570022","","33","1","","13.5","1750","","","857"
"-250","18570023","","33","2","","13.5","1500","","","857"
"-125","18570024","","33","3","","13.5","1250","","","857"
"-250","18570025","","33","4","","13.5","1000","","","857"
"","18580001","","23","se_10053800","","","se_fpc_water_random","","","858"
"13","18580002","cmn_swm_tread","1","1","0","-850","126711","-125","1.75","858"
"13","18580003","cmn_swm_tread","1","1","0","-850","126711","-125","1.75","858"
"33","18580004","cmn_swm_tread","1","1","0","-1100","126811","-250","1.75","858"
"13","18580005","cmn_swm_tread","1","1","0","-1350","108011","-125","1.75","858"
"33","18580006","cmn_boat_cat","1","1","0","-1600","107911","-250","1.75","858"
"12","18580007","cmn_swm_tread_pink","5","1","0","-850","1","-125","1.75","858"
"32","18580008","cmn_swm_tread","5","1","0","-1100","2","-250","1.75","858"
"12","18580009","cmn_swm_tread_blue","5","1","0","-1350","3","-125","1.75","858"
"32","18580010","cmn_boat_idle_l","5","2","0","-1600","4","-250","1.75","858"
"-850","18580011","","31","13","","-125","1","1","1","858"
"-1100","18580012","","31","3","","-250","2","1","1","858"
"-1350","18580013","","31","13","","-125","3","1","1","858"
"-1600","18580014","","31","116","","-250","4","1","1","858"
"-125","18580015","","2","126711","","13.5","1750","","","858"
"-250","18580016","","2","126811","","13.5","1500","","","858"
"-125","18580017","","2","108011","","13.5","1250","","","858"
"-250","18580018","","2","107911","","13.5","1000","","","858"
"-125","18580019","","2","1","","13.5","1750","","","858"
"-250","18580020","","2","2","","13.5","1500","","","858"
"-125","18580021","","2","3","","13.5","1250","","","858"
"-250","18580022","","2","4","","13.5","1000","","","858"
"-125","18580023","","33","1","","13.5","1750","","","858"
"-250","18580024","","33","2","","13.5","1500","","","858"
"-125","18580025","","33","3","","13.5","1250","","","858"
"-250","18580026","","33","4","","13.5","1000","","","858"
"","18590001","","23","se_10053800","","","se_fpc_water_random","","","859"
"45","18590002","cmn_surfing","1","1","0","-850","113111","-125","1.75","859"
"45","18590003","cmn_surfing","1","1","0","-1100","113211","-250","1.75","859"
"45","18590004","cmn_surfing","1","1","0","-1350","113311","-125","1.75","859"
"45","18590005","cmn_surfing","1","1","0","-1600","117011","-250","1.75","859"
"44","18590006","cmn_surfing","5","6","0","-850","1","-125","1.75","859"
"44","18590007","cmn_surfing","5","6","0","-1100","2","-250","1.75","859"
"44","18590008","cmn_surfing","5","6","0","-1350","3","-125","1.75","859"
"44","18590009","cmn_surfing","5","6","0","-1600","4","-250","1.75","859"
"-850","18590010","","31","11","","-125","1","1","1","859"
"-1100","18590011","","31","11","","-250","2","1","1","859"
"-1350","18590012","","31","11","","-125","3","1","1","859"
"-1600","18590013","","31","11","","-250","4","1","1","859"
"-125","18590014","","2","113111","","6","2350","","","859"
"-250","18590015","","2","113211","","6","2100","","","859"
"-125","18590016","","2","113311","","6","1850","","","859"
"-250","18590017","","2","117011","","6","1600","","","859"
"-125","18590018","","2","1","","6","2350","","","859"
"-250","18590019","","2","2","","6","2100","","","859"
"-125","18590020","","2","3","","6","1850","","","859"
"-250","18590021","","2","4","","6","1600","","","859"
"-125","18590022","","33","1","","6","2350","","","859"
"-250","18590023","","33","2","","6","2100","","","859"
"-125","18590024","","33","3","","6","1850","","","859"
"-250","18590025","","33","4","","6","1600","","","859"
"","18590026","","23","se_10053800","","","se_10053800_surfing_wave","","","859"
"","18590027","","93","0.3","","","","","","859"
"","18590028","","21","vo_fpc","","0","vo_fpc_85901","","","859"
"","18600001","","23","se_10053800","","","se_fpc_water_random","","","860"
"23","18600002","cmn_boat_relax_l","1","1","0","-850","110011","-180","1.75","860"
"23","18600003","cmn_boat_relax","1","1","0","-1200","110111","-180","1.75","860"
"22","18600004","cmn_boat_idle_blue","5","2","0","-850","1","-180","1.75","860"
"22","18600005","cmn_boat_idle_l","5","2","0","-1200","2","-180","1.75","860"
"-850","18600006","","31","116","","-180","1","1","1","860"
"-1200","18600007","","31","116","","-180","2","1","1","860"
"-180","18600008","","2","110011","","13.5","1750","","","860"
"-180","18600009","","2","110111","","13.5","1400","","","860"
"-180","18600010","","2","1","","13.5","1750","","","860"
"-180","18600011","","2","2","","13.5","1400","","","860"
"-180","18600012","","33","1","","13.5","1750","","","860"
"-180","18600013","","33","2","","13.5","1400","","","860"
"","18600014","","93","2.7","","","","","","860"
"","18600015","","21","vo_fpc","","0","vo_fpc_86001","","","860"
"","18610001","","23","se_10053800","","","se_fpc_water_random","","","861"
"13","18610002","cmn_swm_tread","1","1","0","-850","129511","-125","1.75","861"
"33","18610003","cmn_swm_tread","1","1","0","-1100","129411","-250","1.75","861"
"13","18610004","cmn_swm_tread","1","1","0","-1350","129311","-125","1.75","861"
"12","18610005","cmn_swm_tread_pink","5","1","0","-850","1","-125","1.75","861"
"32","18610006","cmn_swm_tread_blue","5","1","0","-1100","2","-250","1.75","861"
"12","18610007","cmn_swm_tread","5","1","0","-1350","3","-125","1.75","861"
"-850","18610008","","31","13","","-125","1","1","1","861"
"-1100","18610009","","31","3","","-250","2","1","1","861"
"-1350","18610010","","31","13","","-125","3","1","1","861"
"-125","18610011","","2","129511","","13.5","1750","","","861"
"-250","18610012","","2","129411","","13.5","1500","","","861"
"-125","18610013","","2","129311","","13.5","1250","","","861"
"-125","18610014","","2","1","","13.5","1750","","","861"
"-250","18610015","","2","2","","13.5","1500","","","861"
"-125","18610016","","2","3","","13.5","1250","","","861"
"-125","18610017","","33","1","","13.5","1750","","","861"
"-250","18610018","","33","2","","13.5","1500","","","861"
"-125","18610019","","33","3","","13.5","1250","","","861"
"","18620001","","23","se_10053800","","","se_fpc_water_random","","","862"
"13","18620002","cmn_swm_tread","1","1","0","-850","126711","-125","1.75","862"
"33","18620003","cmn_swm_tread","1","1","0","-1100","126811","-250","1.75","862"
"22","18620004","02_neneka_floatRing","5","21","0","-1350","21","-180","1.66","862"
"12","18620005","cmn_swm_tread","5","1","0","-850","1","-125","1.75","862"
"32","18620006","cmn_swm_tread_blue","5","1","0","-1100","2","-250","1.75","862"
"-850","18620007","","31","13","","-125","1","1","1","862"
"-1100","18620008","","31","3","","-250","2","1","1","862"
"-1350","18620009","","31","102","","-180","3","1","1","862"
"-125","18620010","","2","126711","","13.5","1750","","","862"
"-250","18620011","","2","126811","","13.5","1500","","","862"
"-180","18620012","","2","21","","13.5","1250","","","862"
"-125","18620013","","2","1","","13.5","1750","","","862"
"-250","18620014","","2","2","","13.5","1500","","","862"
"-125","18620015","","33","1","","13.5","1750","","","862"
"-250","18620016","","33","2","","13.5","1500","","","862"
"-180","18620017","","33","3","","13.5","1250","","","862"
"","18630001","","23","se_10053800","","","se_fpc_water_random","","","863"
"22","18630002","cmn_float","1","1","1","-1100","126911","-180","1.75","863"
"12","18630003","cmn_float","1","1","0","-1350","127011","-125","1.75","863"
"22","18630004","cmn_float","1","1","0","-1600","127111","-180","1.75","863"
"-1070","18630005","","31","6","","-180","2","1","1","863"
"-1350","18630006","","31","6","","-125","3","1","1","863"
"-1600","18630007","","31","6","","-180","4","1","1","863"
"-180","18630008","","2","126911","","13.5","1500","","","863"
"-125","18630009","","2","127011","","13.5","1250","","","863"
"-180","18630010","","2","127111","","13.5","1000","","","863"
"-180","18630011","","33","2","","13.5","1530","","","863"
"-125","18630012","","33","3","","13.5","1250","","","863"
"-180","18630013","","33","4","","13.5","1000","","","863"
"","18630014","","93","2.3","","","","","","863"
"","18630015","","21","vo_fpc","","0","vo_fpc_86301","","","863"
"","18640001","","23","se_10053800","","","se_fpc_water_random","","","864"
"45","18640002","cmn_surfing","1","1","0","-850","107811","-125","1.75","864"
"45","18640003","cmn_surfing","1","1","0","-1100","110011","-250","1.75","864"
"44","18640004","cmn_surfing","5","6","0","-850","1","-125","1.75","864"
"44","18640005","cmn_surfing","5","6","0","-1100","2","-250","1.75","864"
"-850","18640006","","31","11","","-125","1","1","1","864"
"-1100","18640007","","31","11","","-250","2","1","1","864"
"-125","18640008","","2","107811","","6","2350","","","864"
"-250","18640009","","2","110011","","6","2100","","","864"
"-125","18640010","","2","1","","6","2350","","","864"
"-250","18640011","","2","2","","6","2100","","","864"
"-125","18640012","","33","1","","6","2350","","","864"
"-250","18640013","","33","2","","6","2100","","","864"
"","18640014","","23","se_10053800","","","se_10053800_surfing_wave","","","864"
"","18640015","","93","0.2","","","","","","864"
"","18640016","","21","vo_fpc","","0","vo_fpc_86401","","","864"
"","18650001","","23","se_10053800","","","se_fpc_water_random","","","865"
"13","18650002","cmn_swm_flutterKick_floatRing","1","1","0","-850","110311","-125","1.75","865"
"33","18650003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","113111","-250","1.75","865"
"12","18650004","cmn_swm_flutterKick_floatRing_pink","5","1","0","-850","1","-125","1.75","865"
"32","18650005","cmn_swm_flutterKick_floatRing_blue","5","1","0","-1100","2","-250","1.75","865"
"-850","18650006","","31","7","","-125","1","1","1","865"
"-1100","18650007","","31","1","","-250","2","1","1","865"
"-125","18650008","","2","110311","","10","1750","","","865"
"-250","18650009","","2","113111","","10","1500","","","865"
"-125","18650010","","2","1","","10","1750","","","865"
"-250","18650011","","2","2","","10","1500","","","865"
"-125","18650012","","33","1","","10","1750","","","865"
"-250","18650013","","33","2","","10","1500","","","865"
"","18660001","","23","se_10053800","","","se_fpc_water_random","","","866"
"13","18660002","cmn_swm_flutterKick_floatRing","1","1","0","-850","113411","-125","1.75","866"
"33","18660003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","115711","-250","1.75","866"
"12","18660004","cmn_swm_flutterKick_floatRing_pink","5","1","0","-850","1","-125","1.75","866"
"32","18660005","cmn_swm_flutterKick_floatRing_blue","5","1","0","-1100","2","-250","1.75","866"
"-850","18660006","","31","7","","-125","1","1","1","866"
"-1100","18660007","","31","1","","-250","2","1","1","866"
"-125","18660008","","2","113411","","10","1750","","","866"
"-250","18660009","","2","115711","","10","1500","","","866"
"-125","18660010","","2","1","","10","1750","","","866"
"-250","18660011","","2","2","","10","1500","","","866"
"-125","18660012","","33","1","","10","1750","","","866"
"-250","18660013","","33","2","","10","1500","","","866"
"","18670001","","23","se_10053800","","","se_fpc_water_random","","","867"
"13","18670002","cmn_swm_tread","1","1","0","-850","113211","-125","1.75","867"
"33","18670003","cmn_swm_tread","1","1","0","-1100","127111","-250","1.75","867"
"12","18670004","cmn_swm_tread_pink","5","1","0","-850","1","-125","1.75","867"
"32","18670005","cmn_swm_tread_blue","5","1","0","-1100","2","-250","1.75","867"
"-850","18670006","","31","13","","-125","1","1","1","867"
"-1100","18670007","","31","3","","-250","2","1","1","867"
"-125","18670008","","2","113211","","13.5","1750","","","867"
"-250","18670009","","2","127111","","13.5","1500","","","867"
"-125","18670010","","2","1","","13.5","1750","","","867"
"-250","18670011","","2","2","","13.5","1500","","","867"
"-125","18670012","","33","1","","13.5","1750","","","867"
"-250","18670013","","33","2","","13.5","1500","","","867"
"","18680001","","23","se_10053800","","","se_fpc_water_random","","","868"
"12","18680002","cmn_swm_diving","1","1","0","-850","117011","-125","1.75","868"
"22","18680003","cmn_swm_diving","1","1","0","-1100","117111","-180","1.75","868"
"-850","18680004","","31","9","","-125","1","1","1","868"
"-1100","18680005","","31","9","","-180","2","1","1","868"
"-125","18680006","","2","117011","","13.5","1750","","","868"
"-180","18680007","","2","117111","","13.5","1500","","","868"
"-125","18680008","","33","1","","13.5","1750","","","868"
"-180","18680009","","33","2","","13.5","1500","","","868"
"","18690001","","23","se_10053800","","","se_fpc_water_random","","","869"
"13","18690002","cmn_swm_flutterKick_floatRing","1","1","0","-850","110511","-125","1.75","869"
"33","18690003","cmn_swm_flutterKick_floatRing","1","1","0","-1100","110011","-250","1.75","869"
"12","18690004","cmn_swm_flutterKick_floatBoad","5","1","0","-850","1","-125","1.75","869"
"32","18690005","cmn_swm_flutterKick_floatBoad_blue","5","1","0","-1100","2","-250","1.75","869"
"-850","18690006","","31","7","","-125","1","1","1","869"
"-1100","18690007","","31","1","","-250","2","1","1","869"
