d301694cb6c2927fdc348762579ca47bf40ec5e5d94fc9680f75e8e87fcd22eb,c4219e66e90433789ff81d341fe9109604098fca71b7ad81f43cbb87adf73473,f9f0dac3a5a4f8a95c954923ca71f85e9f026528088678bd3822ba1afc9e4cc6,3b78f75e9cd4475b51de4727924bf1cdafac74c592f3aa797845e3894732b0e6,75b9e7993687f2da7360acf4b8a3d4f5896a3a8cd2b37c8572386e514adad32a,24de95161c867d9fceee34859504cc6d38774abf5f669fde72e05c511b4f5c31,da3e694f37218bf1c4ac09aaf7c17ae39c3a740866e9b0ba7c3257007dea72ae,6f725d5d4e0377f09e5d24565a7573141e5db94d316efdc66f29455cede700db,de0f1df3d1292f1e1f1af912e5e2dcb3ac2b9f3fc6ae948538310e0c9d7c62ab,faf8c22239b6e954566b9c257d2b0bc209829a67fb64e2104627cec05175db58,4fe4b319c5c2e8a45a935329826ff588fb048bd6c19edbfd86463f47df749bff
"02_uek_cmn_idol_def_N","101631","1","1","1","70","5","100","1050002","1.3","1"
"","02_uek_05_misaki","105031","","3","02_uek_05_misaki_loop","5","0","1050003","","-15"
"","02_uek_05_suzuna","101631","","3","02_uek_05_suzuna_loop","5","0","1050004","","0"
"","大人の階段を\n登るわよー！","105031","","11","0","5","10","1050005","",""
"","","0","","91","","5","","1050006","","0"
"","うちもモデルの\nてっぺん目指すし！","101631","","11","0","5","10","1050007","",""
"02_uek_cmn_idol_def_N","100531","1","1","1","120","6","100","1060001","1.3","25"
"02_uek_cmn_idol_def_N","103731","1","0","1","-20","6","100","1060002","1.3","5"
"","02_uek_cmn_pose04","100531","","3","","6","1","1060003","",""
"","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","100531","","11","0","6","10","1060004","",""
"","","0","","91","","6","","1060005","",""
"","02_uek_talk_normal","103731","","3","","6","1","1060006","0.2",""
"","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","103731","","11","0","6","10","1060007","",""
"","","0","","91","","6","","1060008","",""
"","02_uek_cmn_idol_def_N","103731","","3","","6","1","1060009","0.2",""
"02_uek_cmn_idol_def_N","103831","1","0","1","-60","7","100","1070001","1.3","-20"
"","02_uek_07_shiori","103831","","3","","7","1","1070002","0.2",""
"","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","103831","","11","","7","10","1070003","",""
"02_uek_08_kuka_loop","104531","1","0","1","90","8","100","1080001","1.3","40"
"","2","2","","31","60","8","90","1080002","1","1"
"","あ、足に絡みつく\nツタの感触が\nたまりません～～！","104531","","11","0","8","10","1080003","","0"
"","","0","","91","","8","","1080004","",""
"05_idle","105831","2","0","1","-195","9","100","1090001","0.9","-35"
"302102_idle","302102","2","0","1","150","9","1000","1090002","1.2","-30"
"","15","102","","31","50","9","150","1090003","1","1"
"","16","103","","31","400","9","150","1090004","1","1"
"01_uek_cmn_idol_def_N","112531","1","0","1","-160","10","100","1100001","1.3","-25"
"01_uek_cmn_idol_def_N","112431","1","1","1","-40","10","100","1100002","1.3","-5"
"01_uek_cmn_idol_def_N","112631","1","1","1","125","10","100","1100003","1.3","20"
"","01_uek_talk_surprise2","112631","","3","","10","1","1100004","","0"
"","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","112631","","11","0","10","10","1100005","","0"
"","","0","","91","","10","","1100006","",""
"","01_uek_cmn_idol_def_N","112631","","3","","10","1","1100007","0.2","0"
"","01_uek_talk_joy1","112431","","3","","10","1","1100008","",""
"","なんだか不思議な\n感触してますね～\nふわふわですよ♪","112431","","11","0","10","10","1100009","","0"
"","","0","","91","","10","","1100010","",""
"","01_uek_cmn_idol_def_N","112431","","3","","10","1","1100011","0.2",""
"","01_uek_talk_normal","112531","","3","","10","1","1100012","",""
"","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","112531","","11","0","10","10","1100013","","0"
"","","0","","91","","10","","1100014","",""
"","01_uek_cmn_idol_def_N","112531","","3","","10","1","1100015","0.2",""
"","","0","","91","","10","","1100016","",""
"03_uek_cmn_idol_def_N","104731","1","0","1","-135","11","100","1110001","1.3","-20"
"03_uek_cmn_idol_def_N","107131","1","1","1","100","11","100","1110002","1.3","5"
"","03_uek_11_jun","104731","","3","03_uek_11_jun_loop","11","0","1110003","0","1"
"","03_uek_11_chris","107131","0.2","3","03_uek_cmn_idol_def_N","11","0","1110004","0","1"
"","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","104731","","11","","11","10","1110005","","0"
"","","0","","91","","11","","1110006","",""
"","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","107131","","11","0","11","10","1110007","","0"
"","","1.5","","93","","11","","1110008","",""
"","-135","104731","","2","1.5","11","0","1110009","","1"
"","","1110007","","91","","11","","1110010","",""
"03_uek_cmn_idol_def_N","101031","1","0","1","-120","12","100","1120001","1.3","-20"
"03_uek_cmn_idol_def_N","101431","1","1","1","10","12","100","1120002","1.3","-5"
"","03_uek_talk_joy1","101031","","3","","12","1","1120003","","0"
"","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","101031","","11","0","12","10","1120004","","0"
"","","0","","91","","12","","1120005","",""
"","03_uek_cmn_idol_def_N","101031","","3","","12","1","1120006","0.2","0"
"","03_uek_talk_normal","101431","","3","","12","1","1120007","","0"
"","いくらなんでも\nそれは難しいんじゃ\nないかな…？","101431","","11","0","12","10","1120008","","0"
"","","0","","91","","12","","1120009","",""
"","03_uek_cmn_idol_def_N","101431","","3","","12","1","1120010","0.2","0"
"01_uek_cmn_idol_def_N","105831","1","0","1","-165","13","100","1130001","1.3","-45"
"01_uek_cmn_idol_def_N","105931","1","0","1","-45","13","100","1130002","1.3","-20"
"01_uek_cmn_idol_def_N","106031","1","1","1","120","13","100","1130003","1.3","-5"
"","01_uek_talk_normal","105931","","3","","13","1","1130004","","1"
"","かなり高くまで\n登ってまいりました\nですが…","105931","","11","0","13","10","1130005","","0"
"","","0","","91","","13","","1130006","",""
"","01_uek_13_kokkoro","105931","","3","01_uek_cmn_idol_def_N","13","0","1130007","0.2","1"
"","01_uek_13_kyaru","106031","","3","01_uek_13_kyaru_loop","13","0","1130008","","1"
"","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","106031","","11","0","13","10","1130009","","0"
"","","0","","91","","13","","1130010","",""
"","01_uek_13_peco_loop","105831","","3","","13","1","1130011","","0"
"","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","105831","","11","0","13","10","1130012","","0"
"","","0","","91","","13","","1130013","",""
"03_uek_cmn_idol_def_N","104031","1","0","1","-86","14","100","1140001","1.3","-25"
"","1","1","","31","250","14","0","1140002","1","1"
"","03_uek_14_aoi","104031","","3","03_uek_14_aoi_loop","14","0","1140003","","1"
"","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","104031","","11","0","14","10","1140004","","0"
"03_uek_cmn_idol_def_N","100731","1","0","1","-75","15","100","1150001","1.3","-20"
"03_uek_15_father","103131","1","1","1","65","15","100","1150002","1.3","10"
"","03_uek_15_miyako","100731","","3","","15","1","1150003","","0"
"","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","100731","","11","0","15","10","1150004","","0"
"","","0","","91","","15","","1150005","",""
"","03_uek_15_father","103131","","3","","15","1","1150006","","0"
"","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","103131","","11","0","15","10","1150007","","0"
"","","0","","91","","15","","1150008","",""
"","03_uek_talk_normal","103131","","3","","15","1","1150009","","0"
"","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","103131","","11","0","15","10","1150010","","0"
"","","0","","91","","15","","1150011","",""
"","03_uek_cmn_idol_def_N","103131","","3","","15","1","1150012","0.2","0"
"01_uek_cmn_idol_def_N","112431","1","0","1","-110","16","100","1160001","1.3","-45"
"01_uek_cmn_idol_def_N","105831","1","1","1","40","16","100","1160002","1.3","-15"
"01_uek_cmn_idol_def_N","105931","1","1","1","140","16","100","1160003","1.3","10"
"","01_uek_01_kokkoro","105931","","3","01_uek_cmn_idol_def_N","16","0","1160004","","0"
"","01_uek_01_uduki","112431","","3","01_uek_cmn_idol_def_N","16","0","1160005","","1"
"","01_uek_01_peko","105831","","3","01_uek_cmn_idol_def_N","16","0","1160006","","1"
"","","0","","91","","16","","1160007","",""
"","01_uek_talk_normal","105931","","3","","16","1","1160008","","1"
"","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","105931","","11","0","16","10","1160009","","0"
"","","0","","91","","16","","1160010","",""
"","01_uek_cmn_idol_def_N","105931","","3","","16","1","1160011","","1"
"","01_uek_talk_joy1","112431","","3","","16","1","1160012","",""
"","はい、平気です！\nとっても楽しくって\nやばいです☆","112431","","11","0","16","10","1160013","","0"
"","","1.5","","93","","16","","1160014","",""
"","01_uek_16_uduki","112431","","3","01_uek_16_uduki_loop","16","0","1160015","0.2","1"
"","","1160013","","91","","16","","1160016","",""
"","01_uek_talk_joy1","105831","","3","","16","1","1160017","",""
"","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","105831","","11","0","16","10","1160018","","0"
"","","2.2","","93","","16","","1160019","",""
"","01_uek_16_peco","105831","","3","01_uek_16_uduki_loop","16","0","1160020","0.2","1"
"","","1160018","","91","","16","","1160021","",""
"03_uek_cmn_idol_def_N","102331","1","1","1","150","17","300","1170001","1.3","10"
"03_uek_cmn_idol_def_N","102131","1","0","1","-100","17","100","1170002","1.3","-15"
"","3","3","","31","10","17","20","1170003","0","1.3"
"","03_uek_17_ayane","102331","0.2","3","03_uek_17_ayane_loop","17","0","1170004","0.2","1"
"","03_uek_cmn_pose05","102131","","3","03_uek_cmn_idol_def_N","17","0","1170005","0.2","1"
"","1","3","","32","","17","","1170006","",""
"","見て見て！\n雲でぷうきちを\n作ったよー！","102331","","11","0","17","10","1170007","","0"
"","","0","","91","","17","","1170008","",""
"","03_uek_talk_joy1","102131","","3","","17","1","1170009","0.2",""
"","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","102131","","11","0","17","10","1170010","","0"
"","","0","","91","","17","","1170011","",""
"","03_uek_cmn_idol_def_N","102131","","3","","17","1","1170012","0.2",""
"01_uek_cmn_idol_def_N","112631","1","0","1","229","18","100","1180001","1.3","45"
"01_uek_cmn_idol_def_N","105831","1","0","1","170","18","110","1180002","1.3","20"
"01_uek_cmn_idol_def_N","105931","1","0","1","-85","18","100","1180003","1.3","-10"
"","01_uek_18_mio","112631","","3","01_uek_18_mio_loop","18","0","1180004","","1"
"","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","112631","","11","0","18","10","1180005","","0"
"","","0","","91","","18","","1180006","",""
"","01_uek_18_mio","105831","","3","01_uek_18_mio_loop","18","0","1180007","","1"
"","そうですね！\nえーと、どれどれ…\nって、わわわわ！","105831","","11","0","18","10","1180008","","0"
"","","3","","93","","18","","1180009","",""
"","170","105831","","2","2","18","5","1180010","","1"
"","","1180008","","91","","18","","1180011","",""
"","01_uek_18_kokkoro","105931","","3","01_uek_cmn_idol_def_N","18","0","1180012","","1"
"","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","105931","","11","0","18","10","1180013","","0"
"02_uek_19_hatsune","101231","1","0","1","402","19","100","1190001","1.3","110"
"02_uek_talk_surprise2","103831","1","0","1","166","19","100","1190002","1.3","30"
"","02_uek_talk_surprise2","103831","","3","","19","1","1190003","0.2","0"
"","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","103831","","11","0","19","10","1190004","","0"
"","","0","","91","","19","","1190005","",""
"","しおりんの声が\n聞こえたような…\nすやぁ…☆","101231","","11","0","19","10","1190006","","0"
"05_idle","105831","2","0","1","-195","20","100","1200001","0.9","-35"
"304602_idle","304602","2","0","1","150","20","1000","1200002","1.4","30"
"","17","102","","31","50","20","150","1200003","1","1"
"","18","103","","31","400","20","150","1200004","1","1"
"01_uek_21_kokkoro_loop","105931","1","0","1","185","21","110","1210001","1.3","25"
"01_uek_21_rin_loop","112531","1","0","1","65","21","120","1210002","1.3","-5"
"01_uek_cmn_idol_def_N","106031","1","0","1","-140","21","100","1210003","1.3","-35"
"","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","105931","","11","0","21","10","1210004","","0"
"","","0","","91","","21","","1210005","",""
"","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","112531","","11","0","21","10","1210006","","0"
"","","0","","91","","21","","1210007","",""
"","01_uek_21_kyaru","106031","","3","01_uek_cmn_idol_def_N","21","0","1210008","","1"
"","…あんたたち\nなんか妙なところで\nシンクロしてるわね","106031","","11","0","21","10","1210009","","0"
"","","0","","91","","21","","1210010","",""
"01_uek_cmn_idol_def_N","105831","1","0","1","180","22","100","1220001","1.3","40"
"","4","4","","31","250","22","420","1220002","1","1.3"
"","01_uek_cmn_pose03","105831","","3","","22","1","1220003","0.2",""
"","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","105831","","11","0","22","10","1220004","","0"
"","","0","","91","","22","","1220005","",""
"03_uek_cmn_idol_def_N","105231","1","0","1","33","23","100","1230001","1.3","5"
"03_uek_23_rin","102631","1","0","1","200","23","1010","1230002","1.3","40"
"03_uek_cmn_idol_def_N","103331","1","0","1","-110","23","100","1230003","1.3","-25"
"","5","5","","31","32","23","220","1230004","1","1"
"","03_uek_23_rin","102631","","3","","23","1","1230005","0.2",""
"","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","102631","","11","0","23","10","1230006","","0"
"","","0","","91","","23","","1230007","",""
"","1100","102631","","2","45","23","40","1230008","","0"
"","1120","5","","33","45","23","32","1230009","","0"
"","03_uek_cmn_pose04","105231","","3","","23","1","1230010","0.2",""
"","03_uek_talk_surprise2","103331","","3","","23","1","1230011","0.2",""
"","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","105231","","11","0","23","10","1230012","","0"
"","","0","","91","","23","","1230013","",""
"","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","103331","","11","0","23","10","1230014","","0"
"","","0","","91","","23","","1230015","",""
"03_uek_24_ayumi","105531","1","0","1","-240","24","10","1240001","1.3","-45"
"","03_uek_24_ayumi","105531","","3","","24","1","1240002","","0"
"","あっ、あそこに\n先輩がいる\nじーーーー…","105531","","11","0","24","10","1240003","","0"
"03_uek_cmn_idol_def_N","103631","1","1","1","175","25","100","1250001","1.3","15"
"03_uek_cmn_idol_def_N","100431","1","0","1","-36","25","100","1250002","1.3","-10"
"03_uek_cmn_idol_def_N","102031","1","0","1","-158","25","100","1250003","1.3","-45"
"","03_uek_cmn_pose06","102031","","3","","25","1","1250004","","0"
"","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","102031","","11","0","25","10","1250005","","0"
"","","0","","91","","25","","1250006","",""
"","03_uek_25_misogi","100431","","3","03_uek_25_misogi_loop","25","0","1250007","","1"
"","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","100431","","11","0","25","10","1250008","","0"
"","03_uek_25_kyouka","103631","","3","03_uek_25_kyouka_loop","25","1","1250009","","0"
"","","0","","91","","25","","1250010","",""
"","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","103631","","11","0","25","10","1250011","","0"
"","","0","","91","","25","","1250012","",""
"01_uek_cmn_idol_def_N","104831","1","0","1","-179","27","100","1270001","1.3","-43"
"01_uek_27_tamaki_loop","104631","1","0","1","0","27","100","1270002","1.3","-14"
"01_uek_cmn_idol_def_N","103231","1","1","1","200","27","100","1270003","1.3","24"
"","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","104631","","11","0","27","10","1270004","","0"
"","","0","","91","","27","","1270005","",""
"","01_uek_cmn_pose02","104831","","3","01_uek_talk_normal","27","0","1270006","","1"
"","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","104831","","11","0","27","10","1270007","","0"
"","","0","","91","","27","","1270008","",""
"","01_uek_cmn_idol_def_N","104831","","3","","27","1","1270009","0.3","0"
"","01_uek_27_akino_loop","103231","","3","","27","1","1270010","","0"
"","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","103231","","11","0","27","10","1270011","","0"
"04_uek_cmn_idol_def_N","102931","1","0","1","0","28","110","1280001","1.3","-10"
"04_uek_cmn_idol_def_N","104231","1","0","1","-120","28","120","1280002","1.3","-30"
"04_uek_cmn_idol_def_N","105431","1","0","1","120","28","100","1280003","1.3","10"
"","6","6","","31","10","28","35","1280004","0","1.3"
"","9","6","","31","-10","28","-85","1280005","0","1.3"
"","10","6","","31","30","28","155","1280006","0","1.3"
"","04_uek_28_nozomi","102931","","3","","28","1","1280007","0.2",""
"","04_uek_28_chika","104231","","3","","28","1","1280008","0.2",""
"","04_uek_28_tsumugi","105431","","3","","28","1","1280009","0.2",""
"","1","6","","32","","28","","1280010","",""
"","1","9","","32","","28","","1280011","",""
"","1","10","","32","","28","","1280012","",""
"","空の上でも\nカルミナ…\nオンステージ！","102931","","11","0","28","10","1280013","","0"
"","","0","","91","","28","","1280014","",""
"","風が気持ちいい…！\n精霊たちも\n楽しそうです！","104231","","11","0","28","10","1280015","","0"
"","","0","","91","","28","","1280016","",""
"","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","105431","","11","0","28","10","1280017","","0"
"","","0","","91","","28","","1280018","",""
"03_uek_cmn_idol_def_N","101531","1","0","1","-40","29","100","1290001","1.3","-10"
"03_uek_cmn_idol_def_N","101831","1","1","1","95","29","100","1290002","1.3","10"
"","03_uek_talk_joy1","101831","","3","","29","1","1290003","","0"
"","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","101831","","11","0","29","10","1290004","","0"
"","","0","","91","","29","","1290005","",""
"","03_uek_cmn_idol_def_N","101831","","3","","29","1","1290006","0.3","0"
"","03_uek_talk_joy1","101531","","3","","29","1","1290007","0.3","0"
"","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","101531","","11","0","29","10","1290008","","0"
"","","0","","91","","29","","1290009","",""
"","03_uek_cmn_idol_def_N","101531","","3","","29","1","1290010","0.3","0"
"05_idle","105831","2","0","1","-195","30","100","1300001","0.9","-35"
"307505_idle","307505","2","0","1","150","30","1000","1300002","1.5","-50"
"","19","102","","31","50","30","150","1300003","1","1"
"","20","103","","31","400","30","150","1300004","1","1"
"","307505_awake","307505","","3","307505_idle","30","0","1300005","0","1"
"01_uek_cmn_idol_def_N","105831","1","0","1","140","31","110","1310001","1.3","10"
"01_uek_cmn_idol_def_N","105931","1","0","1","20","31","110","1310002","1.3","0"
"01_uek_26_kyaru_loop","106031","1","0","1","-200","31","110","1310003","1.3","-55"
"","","1","","93","","31","","1310004","",""
"","1","105831","","4","","31","","1310005","",""
"","01_uek_cmn_pose04","105831","","3","","31","1","1310006","0",""
"","見てください！\nお星様の世界です！\nすごい景色ですね☆","105831","","11","","31","10","1310007","",""
"","","2.3","","93","","31","","1310008","",""
"","01_uek_cmn_idol_def_N","105831","","3","","31","0","1310009","0.2","0"
"","","1310007","","91","","31","","1310010","",""
"","01_uek_cmn_idol_def_N","105831","","3","","31","1","1310011","0.2","0"
"","01_uek_talk_normal","105931","","3","","31","1","1310012","",""
"","本当に素晴らしい\n場所でございます\n堪能いたしましょう","105931","","11","","31","10","1310013","",""
"","","0","","91","","31","","1310014","",""
"","01_uek_cmn_idol_def_N","105931","","3","","31","1","1310015","0.2",""
"","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","106031","","11","","31","10","1310016","",""
"02_uek_32_kuka_loop","104531","1","1","1","255","32","100","1320001","1.3","91"
"02_uek_cmn_idol_def_N","105331","1","0","1","-97","32","100","1320002","1.3","-29"
"02_uek_cmn_idol_def_N","103031","1","0","1","50","32","100","1320003","1.3","0"
"","02_uek_32_kuka","104531","","3","","32","0","1320004","0.5","0"
"","02_uek_cmn_shock_def_N","105331","","3","02_uek_talk_surprise2","32","0","1320005","0.5","1"
"","02_uek_cmn_shock_def_N","103031","","3","02_uek_talk_surprise2","32","0","1320006","0.5","1"
"","","0","","91","","32","","1320007","",""
"","02_uek_talk_surprise2","103031","","3","","32","1","1320008","0.5","0"
"","せっかく見つけた\nクウカがまた\n飛んでマス！","103031","","11","0","32","10","1320009","","0"
"","","0","","91","","32","","1320010","",""
"","02_uek_talk_surprise2","105331","","3","","32","1","1320011","0.5","0"
"","やっぱりよろこんで\nなかったか！？","105331","","11","0","32","10","1320012","","0"
"02_uek_cmn_idol_def_N","100831","1","1","1","0","33","100","1330001","1.3","0"
"","7","7","","31","130","33","-120","1330002","1","1.3"
"","02_uek_33_yuki","100831","","3","02_uek_33_yuki_loop","33","0","1330003","0.2","1"
"","星の輝きを浴びた\nボクはまた一段と\n美しいね…","100831","","11","0","33","10","1330004","","0"
"","","0","","91","","33","","1330005","",""
"02_uek_cmn_idol_def_N","100931","1","1","1","10","34","110","1340001","1.3","0"
"02_uek_cmn_idol_def_N","101331","1","1","1","180","34","110","1340002","1.3","10"
"","","1","","93","","34","","1340003","",""
"","02_uek_cmn_pose01","101331","0.2","3","02_uek_cmn_idol_def_N","34","1","1340004","0.2","1"
"","ウチュウキター！\nテンション爆上がり\nですしおすし！","101331","","11","0","34","10","1340005","","0"
"","","0","","91","","34","","1340006","",""
"","02_uek_34_anna","100931","0","3","02_uek_34_anna_loop","34","0","1340007","0.2","1"
"","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","100931","","11","0","34","10","1340008","","0"
"01_uek_cmn_idol_def_N","100231","1","1","1","-200","35","100","1350001","1.3","-60"
"01_uek_cmn_idol_def_N","100331","1","1","1","0","35","100","1350002","1.3","10"
"01_uek_cmn_idol_def_N","100131","1","1","1","200","35","100","1350003","1.3","20"
"","8","8","","31","270","35","0","1350004","1","1"
"","01_uek_35_yui","100231","0.2","3","01_uek_35_yui_loop","35","0","1350005","0.2","1"
"","01_uek_35_rei","100331","0.2","3","01_uek_35_rei_loop","35","0","1350006","0.2","1"
"","01_uek_cmn_pose03","100131","","3","","35","1","1350007","0.2",""
"","見て、流れ星…！\nみんなで願い事を\nしようよ","100231","","11","0","35","10","1350008","","0"
"","","0","","91","","35","","1350009","",""
"","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","100331","","11","0","35","10","1350010","","0"
"","","0","","91","","35","","1350011","",""
"","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","100131","","11","0","35","10","1350012","","0"
